FolderNumber,Category,Type,Subject,Status,Latitude,Longitude,URL,KMLDescription
BP117797,Building Permits,Garage / Carport Permit,6436 Portsmouth -- Scanned,COMPLETED,49.2400301,-124.0457051,https://www.nanaimo.ca/whatsbuilding/folder/BP117797,TYPE: Garage / Carport Permit   SUBJECT: 6436 Portsmouth -- Scanned   STATUS: COMPLETED
BP117534,Building Permits,Single / Two Family Alteration,1589 Sherwood Drive -- Scanned,COMPLETED,49.2097069,-123.9752359,https://www.nanaimo.ca/whatsbuilding/folder/BP117534,TYPE: Single / Two Family Alteration   SUBJECT: 1589 Sherwood Drive -- Scanned   STATUS: COMPLETED
BP118133,Building Permits,Single / Two Family Dwelling,461 Albert Street - SCANNED,COMPLETED,49.1616404,-123.9383382,https://www.nanaimo.ca/whatsbuilding/folder/BP118133,TYPE: Single / Two Family Dwelling   SUBJECT: 461 Albert Street - SCANNED   STATUS: COMPLETED
BP117623,Building Permits,Single / Two Family Alteration,5433 Ocean View Terrace - SCANNED,COMPLETED,49.2364842,-124.0041441,https://www.nanaimo.ca/whatsbuilding/folder/BP117623,TYPE: Single / Two Family Alteration   SUBJECT: 5433 Ocean View Terrace - SCANNED   STATUS: COMPLETED
BP117443,Building Permits,Single / Two Family Alteration,2800 Cosgrove Crescent - SCANNED,RETIRED,49.2038002,-123.9779959,https://www.nanaimo.ca/whatsbuilding/folder/BP117443,TYPE: Single / Two Family Alteration   SUBJECT: 2800 Cosgrove Crescent - SCANNED   STATUS: RETIRED
BP117179,Building Permits,On-site Servicing Permit,1064 Old Victoria Road,CANCELLED,49.1375370,-123.9250947,https://www.nanaimo.ca/whatsbuilding/folder/BP117179,TYPE: On-site Servicing Permit   SUBJECT: 1064 Old Victoria Road   STATUS: CANCELLED
BP117370,Building Permits,Single / Two Family Dwelling,200 White Court Way -- Scanned,COMPLETED,49.2025991,-124.0190260,https://www.nanaimo.ca/whatsbuilding/folder/BP117370,TYPE: Single / Two Family Dwelling   SUBJECT: 200 White Court Way -- Scanned   STATUS: COMPLETED
BP118036,Building Permits,Single / Two Family Alteration,3460 Country Club -- Scanned,COMPLETED,49.2080491,-123.9944073,https://www.nanaimo.ca/whatsbuilding/folder/BP118036,TYPE: Single / Two Family Alteration   SUBJECT: 3460 Country Club -- Scanned   STATUS: COMPLETED
BP117783,Building Permits,Single / Two Family Dwelling,466 Nottingham Drive,COMPLETED,49.2169645,-123.9635440,https://www.nanaimo.ca/whatsbuilding/folder/BP117783,TYPE: Single / Two Family Dwelling   SUBJECT: 466 Nottingham Drive   STATUS: COMPLETED
BP117755,Building Permits,Temporary Location,2800 Highland Blvd - Locate two temporary trailers,COMPLETED,49.2008882,-123.9849058,https://www.nanaimo.ca/whatsbuilding/folder/BP117755,TYPE: Temporary Location   SUBJECT: 2800 Highland Blvd - Locate two temporary trailers   STATUS: COMPLETED
BP117118,Building Permits,Commercial / Multi / Industrial,6057 Doumont Road   Units 109 to 114 buildings only. -- Scanned,COMPLETED,49.2240378,-124.044329,https://www.nanaimo.ca/whatsbuilding/folder/BP117118,TYPE: Commercial / Multi / Industrial   SUBJECT: 6057 Doumont Road   Units 109 to 114 buildings only. -- Scanned   STATUS: COMPLETED
BP117153,Building Permits,Single / Two Family Dwelling,35 Ranchview -- Scanned,COMPLETED,49.1142219,-123.9206502,https://www.nanaimo.ca/whatsbuilding/folder/BP117153,TYPE: Single / Two Family Dwelling   SUBJECT: 35 Ranchview -- Scanned   STATUS: COMPLETED
BP117333,Building Permits,Single / Two Family Alteration,1352 Discovery Avenue -- Scanned,COMPLETED,49.1843356,-123.9485499,https://www.nanaimo.ca/whatsbuilding/folder/BP117333,TYPE: Single / Two Family Alteration   SUBJECT: 1352 Discovery Avenue -- Scanned   STATUS: COMPLETED
BP118072,Building Permits,Single / Two Family Alteration,2618 Melodi Wood -- Scanned,COMPLETED,49.1967243,-124.0203831,https://www.nanaimo.ca/whatsbuilding/folder/BP118072,TYPE: Single / Two Family Alteration   SUBJECT: 2618 Melodi Wood -- Scanned   STATUS: COMPLETED
BP117300,Building Permits,Single / Two Family Alteration,1510 Wilson Road -- Scanned,COMPLETED,49.1226549,-123.9159702,https://www.nanaimo.ca/whatsbuilding/folder/BP117300,TYPE: Single / Two Family Alteration   SUBJECT: 1510 Wilson Road -- Scanned   STATUS: COMPLETED
BP118125,Building Permits,Retaining Wall,466 Nottingham Drive -- Scanned,COMPLETED,49.2169645,-123.9635440,https://www.nanaimo.ca/whatsbuilding/folder/BP118125,TYPE: Retaining Wall   SUBJECT: 466 Nottingham Drive -- Scanned   STATUS: COMPLETED
BP116961,Building Permits,Commercial / Multi-Res Alteration,90 Commercial Street,COMPLETED,49.1655519,-123.9362848,https://www.nanaimo.ca/whatsbuilding/folder/BP116961,TYPE: Commercial / Multi-Res Alteration   SUBJECT: 90 Commercial Street   STATUS: COMPLETED
BP117176,Building Permits,Single / Two Family Dwelling,176 Wakesiah Avenue -- Scanned,COMPLETED,49.1673705,-123.9606381,https://www.nanaimo.ca/whatsbuilding/folder/BP117176,TYPE: Single / Two Family Dwelling   SUBJECT: 176 Wakesiah Avenue -- Scanned   STATUS: COMPLETED
BP118267,Building Permits,Commercial / Multi-Res Alteration,4 321 Wesley Street -- Scanned,COMPLETED,49.1649572,-123.9415255,https://www.nanaimo.ca/whatsbuilding/folder/BP118267,TYPE: Commercial / Multi-Res Alteration   SUBJECT: 4 321 Wesley Street -- Scanned   STATUS: COMPLETED
BP117464,Building Permits,Single / Two Family Alteration,2293 Kingsford Place -- Scanned,COMPLETED,49.1215133,-123.9267326,https://www.nanaimo.ca/whatsbuilding/folder/BP117464,TYPE: Single / Two Family Alteration   SUBJECT: 2293 Kingsford Place -- Scanned   STATUS: COMPLETED
BP117051,Building Permits,Single / Two Family Alteration,196 Westwood Road - SCANNED,COMPLETED,49.1714935,-123.9862671,https://www.nanaimo.ca/whatsbuilding/folder/BP117051,TYPE: Single / Two Family Alteration   SUBJECT: 196 Westwood Road - SCANNED   STATUS: COMPLETED
BP117903,Building Permits,Sign Permit,1815 Bowen Road -- Scanned,COMPLETED,49.1827723,-123.9820579,https://www.nanaimo.ca/whatsbuilding/folder/BP117903,TYPE: Sign Permit   SUBJECT: 1815 Bowen Road -- Scanned   STATUS: COMPLETED
BP117809,Building Permits,Service Permit,105 Green Lake Crescent,COMPLETED,49.2330506,-124.0610768,https://www.nanaimo.ca/whatsbuilding/folder/BP117809,TYPE: Service Permit   SUBJECT: 105 Green Lake Crescent   STATUS: COMPLETED
BP117911,Building Permits,Single / Two Family Alteration,673 Chestnut Street,RETIRED,49.1872772,-123.9563192,https://www.nanaimo.ca/whatsbuilding/folder/BP117911,TYPE: Single / Two Family Alteration   SUBJECT: 673 Chestnut Street   STATUS: RETIRED
BP117011,Building Permits,Single / Two Family Dwelling,5624 Westdale -- Scanned,COMPLETED,49.2352384,-124.0111413,https://www.nanaimo.ca/whatsbuilding/folder/BP117011,TYPE: Single / Two Family Dwelling   SUBJECT: 5624 Westdale -- Scanned   STATUS: COMPLETED
BP117004,Building Permits,Single / Two Family Alteration,1867 Richardson Road,COMPLETED,49.1088474,-123.9266758,https://www.nanaimo.ca/whatsbuilding/folder/BP117004,TYPE: Single / Two Family Alteration   SUBJECT: 1867 Richardson Road   STATUS: COMPLETED
BP117319,Building Permits,Commercial / Multi-Res Alteration,101 2046 Boxwood -- Scanned,COMPLETED,49.1868638,-123.9936765,https://www.nanaimo.ca/whatsbuilding/folder/BP117319,TYPE: Commercial / Multi-Res Alteration   SUBJECT: 101 2046 Boxwood -- Scanned   STATUS: COMPLETED
BP117223,Building Permits,Commercial / Multi / Industrial,5650 Hammond Bay (parent) 5714 Oceanview -- Scanned,COMPLETED,49.2343943,-124.0119710,https://www.nanaimo.ca/whatsbuilding/folder/BP117223,TYPE: Commercial / Multi / Industrial   SUBJECT: 5650 Hammond Bay (parent) 5714 Oceanview -- Scanned   STATUS: COMPLETED
BP117005,Building Permits,Single / Two Family Dwelling,3340 Stephenson Point Road -- Scanned,COMPLETED,49.2109962,-123.9460050,https://www.nanaimo.ca/whatsbuilding/folder/BP117005,TYPE: Single / Two Family Dwelling   SUBJECT: 3340 Stephenson Point Road -- Scanned   STATUS: COMPLETED
BP114577,Building Permits,Commercial / Multi / Industrial,1631 Fuller (164 Pryde = Parent) -- Scanned,COMPLETED,49.1745591,-123.9714431,https://www.nanaimo.ca/whatsbuilding/folder/BP114577,TYPE: Commercial / Multi / Industrial   SUBJECT: 1631 Fuller (164 Pryde = Parent) -- Scanned   STATUS: COMPLETED
BP117697,Building Permits,Leasehold Improvements,6 6338 Metral Drive -- Scanned,COMPLETED,49.2300628,-124.0426370,https://www.nanaimo.ca/whatsbuilding/folder/BP117697,TYPE: Leasehold Improvements   SUBJECT: 6 6338 Metral Drive -- Scanned   STATUS: COMPLETED
BP117454,Building Permits,Single / Two Family Dwelling,5412 Jeevans Road (Building 1) -- Scanned,COMPLETED,49.2163995,-124.0415365,https://www.nanaimo.ca/whatsbuilding/folder/BP117454,TYPE: Single / Two Family Dwelling   SUBJECT: 5412 Jeevans Road (Building 1) -- Scanned   STATUS: COMPLETED
BP117447,Building Permits,Single / Two Family Dwelling,368 Hillcrest -- Scanned,COMPLETED,49.1606208,-123.9590745,https://www.nanaimo.ca/whatsbuilding/folder/BP117447,TYPE: Single / Two Family Dwelling   SUBJECT: 368 Hillcrest -- Scanned   STATUS: COMPLETED
BP117885,Building Permits,Service Permit,6639 Green Acres Way -- Scanned,COMPLETED,49.2304642,-124.0547220,https://www.nanaimo.ca/whatsbuilding/folder/BP117885,TYPE: Service Permit   SUBJECT: 6639 Green Acres Way -- Scanned   STATUS: COMPLETED
BP117888,Building Permits,Service Permit,6611 Hillside Terrace -- Scanned,COMPLETED,49.2305605,-124.0535882,https://www.nanaimo.ca/whatsbuilding/folder/BP117888,TYPE: Service Permit   SUBJECT: 6611 Hillside Terrace -- Scanned   STATUS: COMPLETED
BP117612,Building Permits,Single / Two Family Alteration,105 Lenwood,COMPLETED,49.1177353,-123.9265356,https://www.nanaimo.ca/whatsbuilding/folder/BP117612,TYPE: Single / Two Family Alteration   SUBJECT: 105 Lenwood   STATUS: COMPLETED
BP117622,Building Permits,Commercial / Multi-Res Alteration,1609 Bowen --Drawings Attached,COMPLETED,49.1780263,-123.9738100,https://www.nanaimo.ca/whatsbuilding/folder/BP117622,TYPE: Commercial / Multi-Res Alteration   SUBJECT: 1609 Bowen --Drawings Attached   STATUS: COMPLETED
BP117624,Building Permits,Single / Two Family Alteration,636 Kennedy Street,COMPLETED,49.1578963,-123.9366566,https://www.nanaimo.ca/whatsbuilding/folder/BP117624,TYPE: Single / Two Family Alteration   SUBJECT: 636 Kennedy Street   STATUS: COMPLETED
BP117734,Building Permits,Single / Two Family Alteration,3211 Crystal Place -- Scanned,COMPLETED,49.2121530,-124.0029291,https://www.nanaimo.ca/whatsbuilding/folder/BP117734,TYPE: Single / Two Family Alteration   SUBJECT: 3211 Crystal Place -- Scanned   STATUS: COMPLETED
BP117221,Building Permits,Grow Op Damage Permit,288 Machelary -- Scanned,COMPLETED,49.1647045,-123.9483563,https://www.nanaimo.ca/whatsbuilding/folder/BP117221,TYPE: Grow Op Damage Permit   SUBJECT: 288 Machelary -- Scanned   STATUS: COMPLETED
BP117227,Building Permits,Single / Two Family Alteration,7 2323 Arbot Road -- Scanned,CANCELLED,49.1651881,-124.0029536,https://www.nanaimo.ca/whatsbuilding/folder/BP117227,TYPE: Single / Two Family Alteration   SUBJECT: 7 2323 Arbot Road -- Scanned   STATUS: CANCELLED
BP117499,Building Permits,Single / Two Family Alteration,5102 - 999 Bowen Road -- Scanned,CANCELLED,49.1755651,-123.9670440,https://www.nanaimo.ca/whatsbuilding/folder/BP117499,TYPE: Single / Two Family Alteration   SUBJECT: 5102 - 999 Bowen Road -- Scanned   STATUS: CANCELLED
BP117500,Building Permits,Commercial / Multi-Res Alteration,1400 Cranberry Avenue,COMPLETED,49.1262530,-123.9193366,https://www.nanaimo.ca/whatsbuilding/folder/BP117500,TYPE: Commercial / Multi-Res Alteration   SUBJECT: 1400 Cranberry Avenue   STATUS: COMPLETED
BP117439,Building Permits,Sign Permit,#3 4341 Boban -- Scanned,COMPLETED,49.2081508,-124.0346191,https://www.nanaimo.ca/whatsbuilding/folder/BP117439,TYPE: Sign Permit   SUBJECT: #3 4341 Boban -- Scanned   STATUS: COMPLETED
BP117879,Building Permits,Service Permit,6642 Green Acres Way,COMPLETED,49.2313473,-124.0548517,https://www.nanaimo.ca/whatsbuilding/folder/BP117879,TYPE: Service Permit   SUBJECT: 6642 Green Acres Way   STATUS: COMPLETED
BP117887,Building Permits,Service Permit,6617 Hillside Terrace -- Scanned,COMPLETED,49.2309798,-124.0539354,https://www.nanaimo.ca/whatsbuilding/folder/BP117887,TYPE: Service Permit   SUBJECT: 6617 Hillside Terrace -- Scanned   STATUS: COMPLETED
BP117805,Building Permits,Service Permit,110 Green Lake Crescent,COMPLETED,49.2334738,-124.0631829,https://www.nanaimo.ca/whatsbuilding/folder/BP117805,TYPE: Service Permit   SUBJECT: 110 Green Lake Crescent   STATUS: COMPLETED
BP117859,Building Permits,Service Permit,6634 Valley View Drive,ACTIVE,49.2332251,-124.0568475,https://www.nanaimo.ca/whatsbuilding/folder/BP117859,TYPE: Service Permit   SUBJECT: 6634 Valley View Drive   STATUS: ACTIVE
BP117996,Building Permits,Commercial / Multi-Res Alteration,1551 Estevan,COMPLETED,49.1854976,-123.9571778,https://www.nanaimo.ca/whatsbuilding/folder/BP117996,TYPE: Commercial / Multi-Res Alteration   SUBJECT: 1551 Estevan   STATUS: COMPLETED
BP117801,Building Permits,Service Permit,124 Green Lake Crescent,COMPLETED,49.2330836,-124.0644139,https://www.nanaimo.ca/whatsbuilding/folder/BP117801,TYPE: Service Permit   SUBJECT: 124 Green Lake Crescent   STATUS: COMPLETED
BP117827,Building Permits,Service Permit,114 Dines Place -- Scanned,COMPLETED,49.2294482,-124.0635320,https://www.nanaimo.ca/whatsbuilding/folder/BP117827,TYPE: Service Permit   SUBJECT: 114 Dines Place -- Scanned   STATUS: COMPLETED
BP117856,Building Permits,Service Permit,6622 Valley View Drive,COMPLETED,49.2333623,-124.0554788,https://www.nanaimo.ca/whatsbuilding/folder/BP117856,TYPE: Service Permit   SUBJECT: 6622 Valley View Drive   STATUS: COMPLETED
BP117725,Building Permits,Single / Two Family Alteration,6508 Kestrel Crescent -- Scanned,COMPLETED,49.2442778,-124.0490808,https://www.nanaimo.ca/whatsbuilding/folder/BP117725,TYPE: Single / Two Family Alteration   SUBJECT: 6508 Kestrel Crescent -- Scanned   STATUS: COMPLETED
BP117468,Building Permits,Single / Two Family Alteration,6254 McRobb -- Scanned,COMPLETED,49.2394278,-124.0367096,https://www.nanaimo.ca/whatsbuilding/folder/BP117468,TYPE: Single / Two Family Alteration   SUBJECT: 6254 McRobb -- Scanned   STATUS: COMPLETED
BP117506,Building Permits,Access Permit,189 Cilaire Drive,COMPLETED,49.1975643,-123.9669961,https://www.nanaimo.ca/whatsbuilding/folder/BP117506,TYPE: Access Permit   SUBJECT: 189 Cilaire Drive   STATUS: COMPLETED
BP118019,Building Permits,Single / Two Family Alteration,4914 Fillinger Crescent,COMPLETED,49.2386208,-123.9826852,https://www.nanaimo.ca/whatsbuilding/folder/BP118019,TYPE: Single / Two Family Alteration   SUBJECT: 4914 Fillinger Crescent   STATUS: COMPLETED
BP117877,Building Permits,Service Permit,6630 Green Acres Way,ACTIVE,49.2318936,-124.0540236,https://www.nanaimo.ca/whatsbuilding/folder/BP117877,TYPE: Service Permit   SUBJECT: 6630 Green Acres Way   STATUS: ACTIVE
BP117882,Building Permits,Service Permit,6666 Green Acres Way,COMPLETED,49.2310022,-124.0564039,https://www.nanaimo.ca/whatsbuilding/folder/BP117882,TYPE: Service Permit   SUBJECT: 6666 Green Acres Way   STATUS: COMPLETED
BP117904,Building Permits,Access Permit,2635 Stobart Road,COMPLETED,49.1734066,-124.0155092,https://www.nanaimo.ca/whatsbuilding/folder/BP117904,TYPE: Access Permit   SUBJECT: 2635 Stobart Road   STATUS: COMPLETED
BP117926,Building Permits,Sign Permit,EXTREME PITAS   PURBLENDZ -- Scanned,COMPLETED,49.1854516,-123.9847022,https://www.nanaimo.ca/whatsbuilding/folder/BP117926,TYPE: Sign Permit   SUBJECT: EXTREME PITAS   PURBLENDZ -- Scanned   STATUS: COMPLETED
BP117916,Building Permits,On-site Servicing Permit,6369 Hammond Bay Road,COMPLETED,49.2335524,-124.0427747,https://www.nanaimo.ca/whatsbuilding/folder/BP117916,TYPE: On-site Servicing Permit   SUBJECT: 6369 Hammond Bay Road   STATUS: COMPLETED
BP118291,Building Permits,Single / Two Family Alteration,5306 Lost Lake Road -- Scanned,COMPLETED,49.2300769,-123.9988744,https://www.nanaimo.ca/whatsbuilding/folder/BP118291,TYPE: Single / Two Family Alteration   SUBJECT: 5306 Lost Lake Road -- Scanned   STATUS: COMPLETED
BP117550,Building Permits,Single / Two Family Dwelling,4558 Laguna Way -- Scanned,COMPLETED,49.2290996,-123.9732935,https://www.nanaimo.ca/whatsbuilding/folder/BP117550,TYPE: Single / Two Family Dwelling   SUBJECT: 4558 Laguna Way -- Scanned   STATUS: COMPLETED
BP118169,Building Permits,Single / Two Family Dwelling,3476 Pacific Edge,CANCELLED,49.2175035,-124.0006527,https://www.nanaimo.ca/whatsbuilding/folder/BP118169,TYPE: Single / Two Family Dwelling   SUBJECT: 3476 Pacific Edge   STATUS: CANCELLED
BP118181,Building Permits,Single / Two Family Dwelling,1736 Trevors,COMPLETED,49.1149664,-123.9277155,https://www.nanaimo.ca/whatsbuilding/folder/BP118181,TYPE: Single / Two Family Dwelling   SUBJECT: 1736 Trevors   STATUS: COMPLETED
BP118159,Building Permits,Single / Two Family Dwelling,1724 Trevors Road,COMPLETED,49.1153436,-123.9272997,https://www.nanaimo.ca/whatsbuilding/folder/BP118159,TYPE: Single / Two Family Dwelling   SUBJECT: 1724 Trevors Road   STATUS: COMPLETED
BP118193,Building Permits,Single / Two Family Dwelling,5747 Linley Valley Drive,COMPLETED,49.2264123,-124.0152802,https://www.nanaimo.ca/whatsbuilding/folder/BP118193,TYPE: Single / Two Family Dwelling   SUBJECT: 5747 Linley Valley Drive   STATUS: COMPLETED
BP117991,Building Permits,Single / Two Family Alteration,316 Cobblestone Place,COMPLETED,49.2035686,-124.0204801,https://www.nanaimo.ca/whatsbuilding/folder/BP117991,TYPE: Single / Two Family Alteration   SUBJECT: 316 Cobblestone Place   STATUS: COMPLETED
BP117751,Building Permits,Commercial / Multi-Res Alteration,6896 Island Highway N -- Scanned,COMPLETED,49.2401081,-124.0517729,https://www.nanaimo.ca/whatsbuilding/folder/BP117751,TYPE: Commercial / Multi-Res Alteration   SUBJECT: 6896 Island Highway N -- Scanned   STATUS: COMPLETED
BP117752,Building Permits,Commercial / Multi / Industrial,1009 Old Victoria Road -- Scanned,COMPLETED,49.139562,-123.9294776,https://www.nanaimo.ca/whatsbuilding/folder/BP117752,TYPE: Commercial / Multi / Industrial   SUBJECT: 1009 Old Victoria Road -- Scanned   STATUS: COMPLETED
BP117688,Building Permits,Demolition Permit,1706 Northfield,COMPLETED,49.1927106,-123.9776695,https://www.nanaimo.ca/whatsbuilding/folder/BP117688,TYPE: Demolition Permit   SUBJECT: 1706 Northfield   STATUS: COMPLETED
BP117729,Building Permits,Single / Two Family Dwelling,5358 Laguna Way,COMPLETED,49.2329615,-124.0027835,https://www.nanaimo.ca/whatsbuilding/folder/BP117729,TYPE: Single / Two Family Dwelling   SUBJECT: 5358 Laguna Way   STATUS: COMPLETED
BP117681,Building Permits,Single / Two Family Dwelling,1998 Leo Terrace -- Scanned,COMPLETED,49.1716330,-123.9862558,https://www.nanaimo.ca/whatsbuilding/folder/BP117681,TYPE: Single / Two Family Dwelling   SUBJECT: 1998 Leo Terrace -- Scanned   STATUS: COMPLETED
BP117687,Building Permits,Leasehold Improvements,324 Terminal -- Scanned,COMPLETED,49.1658320,-123.9381793,https://www.nanaimo.ca/whatsbuilding/folder/BP117687,TYPE: Leasehold Improvements   SUBJECT: 324 Terminal -- Scanned   STATUS: COMPLETED
BP117936,Building Permits,Single / Two Family Alteration,130 Adams Avenue -- Scanned,COMPLETED,49.1757991,-123.9695732,https://www.nanaimo.ca/whatsbuilding/folder/BP117936,TYPE: Single / Two Family Alteration   SUBJECT: 130 Adams Avenue -- Scanned   STATUS: COMPLETED
BP117690,Building Permits,Leasehold Improvements,1 - 5140 Metral Drive,COMPLETED,49.2160270,-124.0315845,https://www.nanaimo.ca/whatsbuilding/folder/BP117690,TYPE: Leasehold Improvements   SUBJECT: 1 - 5140 Metral Drive   STATUS: COMPLETED
BP117779,Building Permits,Single / Two Family Alteration,239 Princess Street -- Scanned,COMPLETED,49.1500946,-123.9392114,https://www.nanaimo.ca/whatsbuilding/folder/BP117779,TYPE: Single / Two Family Alteration   SUBJECT: 239 Princess Street -- Scanned   STATUS: COMPLETED
BP117784,Building Permits,Commercial / Multi / Industrial,5714 Turner Road Units 1 to 4. -- Drawings Scanned/Attached,HOLDBACK,49.2275097,-124.0330285,https://www.nanaimo.ca/whatsbuilding/folder/BP117784,TYPE: Commercial / Multi / Industrial   SUBJECT: 5714 Turner Road Units 1 to 4. -- Drawings Scanned/Attached   STATUS: HOLDBACK
BP117290,Building Permits,Sign Permit,193 Nicol Street -- Scanned,COMPLETED,49.1583674,-123.9334029,https://www.nanaimo.ca/whatsbuilding/folder/BP117290,TYPE: Sign Permit   SUBJECT: 193 Nicol Street -- Scanned   STATUS: COMPLETED
BP118097,Building Permits,Single / Two Family Dwelling,5662 Oceanview -- Scanned,COMPLETED,49.2363274,-124.0122972,https://www.nanaimo.ca/whatsbuilding/folder/BP118097,TYPE: Single / Two Family Dwelling   SUBJECT: 5662 Oceanview -- Scanned   STATUS: COMPLETED
BP117566,Building Permits,Single / Two Family Dwelling,5825 Turner -- Scanned,COMPLETED,49.2228825,-124.0386222,https://www.nanaimo.ca/whatsbuilding/folder/BP117566,TYPE: Single / Two Family Dwelling   SUBJECT: 5825 Turner -- Scanned   STATUS: COMPLETED
BP117726,Building Permits,Commercial / Multi / Industrial,1861 Dufferin Crescent - Foundation Permit for BP117554 - Buzz Coffee House -- Scanned,COMPLETED,49.1827936,-123.9843244,https://www.nanaimo.ca/whatsbuilding/folder/BP117726,TYPE: Commercial / Multi / Industrial   SUBJECT: 1861 Dufferin Crescent - Foundation Permit for BP117554 - Buzz Coffee House -- Scanned   STATUS: COMPLETED
BP117782,Building Permits,Sign Permit,Emco Corporation -- Scanned,COMPLETED,49.1948713,-123.9840510,https://www.nanaimo.ca/whatsbuilding/folder/BP117782,TYPE: Sign Permit   SUBJECT: Emco Corporation -- Scanned   STATUS: COMPLETED
BP117787,Building Permits,Single / Two Family Dwelling,5740 Linley Valley Drive -- Scanned,COMPLETED,49.2267947,-124.0144808,https://www.nanaimo.ca/whatsbuilding/folder/BP117787,TYPE: Single / Two Family Dwelling   SUBJECT: 5740 Linley Valley Drive -- Scanned   STATUS: COMPLETED
BP117793,Building Permits,Demolition Permit,6250 Hammond Bay,COMPLETED,49.2350706,-124.0385316,https://www.nanaimo.ca/whatsbuilding/folder/BP117793,TYPE: Demolition Permit   SUBJECT: 6250 Hammond Bay   STATUS: COMPLETED
BP117977,Building Permits,Single / Two Family Alteration,1912 Richardson,COMPLETED,49.1076454,-123.9251292,https://www.nanaimo.ca/whatsbuilding/folder/BP117977,TYPE: Single / Two Family Alteration   SUBJECT: 1912 Richardson   STATUS: COMPLETED
BP117924,Building Permits,Single / Two Family Alteration,2099 Bay Street -- Scanned,COMPLETED,49.2066269,-123.9871106,https://www.nanaimo.ca/whatsbuilding/folder/BP117924,TYPE: Single / Two Family Alteration   SUBJECT: 2099 Bay Street -- Scanned   STATUS: COMPLETED
BP117929,Building Permits,Single / Two Family Alteration,290 WOODHAVEN DRIVE -- Scanned,COMPLETED,49.2119287,-124.0161917,https://www.nanaimo.ca/whatsbuilding/folder/BP117929,TYPE: Single / Two Family Alteration   SUBJECT: 290 WOODHAVEN DRIVE -- Scanned   STATUS: COMPLETED
BP117796,Building Permits,Leasehold Improvements,40 Cavan Street -- Scanned,COMPLETED,49.1628749,-123.9355609,https://www.nanaimo.ca/whatsbuilding/folder/BP117796,TYPE: Leasehold Improvements   SUBJECT: 40 Cavan Street -- Scanned   STATUS: COMPLETED
