FolderNumber,FolderCategory,Type,ReportCode,DateIssued,DateApproved,DateExpired,DateCompleted,Status,Subject,Unit,Address,StreetName,Value,ESRI_OID,CreationDate,Creator,EditDate,Editor
PP023241,BUILDING PERMITS,PLUMBING PERMIT,,Dec 21 2018 12:00AM,2018-12-20T08:00:00.000Z,Dec 21 2020 12:00AM,,ACTIVE,New SFD,,4585,FERGUSON LAKE RD,,6032,,,,
PP023242,BUILDING PERMITS,PLUMBING PERMIT,,Dec 11 2018 12:00AM,2018-12-11T08:00:00.000Z,Dec 10 2020 12:00AM,,ACTIVE,Tenant Improvements,,774,3RD AVE,,6033,,,,
PP023243,BUILDING PERMITS,PLUMBING PERMIT,,Dec 11 2018 12:00AM,2018-12-11T08:00:00.000Z,Dec 10 2020 12:00AM,,ACTIVE,Tenant Improvements,,1011,4TH AVE,,6034,,,,
PP023244,BUILDING PERMITS,PLUMBING PERMIT,,Dec 13 2018 12:00AM,2018-12-13T08:00:00.000Z,Dec 14 2020 12:00AM,,ACTIVE,New Triplex at 2425 Rowe Street,,2425,ROWE ST,,6035,,,,
PP023245,BUILDING PERMITS,PLUMBING PERMIT,,Dec 11 2018 12:00AM,2018-12-11T08:00:00.000Z,Dec 10 2020 12:00AM,2019-01-14T08:00:00.000Z,COMPLETED,New mobile home,,2221,PROGRESS RD,,6036,,,,
PP023246,BUILDING PERMITS,PLUMBING PERMIT,,Dec 13 2018 12:00AM,2018-12-13T08:00:00.000Z,Dec 14 2020 12:00AM,,ACTIVE,New Triplex,,2425,ROWE ST,,6037,,,,
PP023247,BUILDING PERMITS,PLUMBING PERMIT,,Dec 13 2018 12:00AM,2018-12-13T08:00:00.000Z,Dec 14 2020 12:00AM,,ACTIVE,New Triplex,,2425,ROWE ST,,6038,,,,
PP023248,BUILDING PERMITS,PLUMBING PERMIT,,Dec 13 2018 12:00AM,2018-12-13T08:00:00.000Z,Dec 14 2020 12:00AM,,ACTIVE,New Triplex,,2425,ROWE ST,,6039,,,,
PP023249,BUILDING PERMITS,PLUMBING PERMIT,,Jan 17 2019 12:00AM,2019-01-17T08:00:00.000Z,Jan 18 2021 12:00AM,,ACTIVE,Tennant Improvements,3040,3030,RECPLACE DR,,6040,,,,
PP023250,BUILDING PERMITS,PLUMBING PERMIT,,Jan  2 2019 12:00AM,2019-01-02T08:00:00.000Z,Jan  1 2021 12:00AM,,ACTIVE,Commercial Alteration,,3055,MASSEY DR,,6041,,,,
PP023251,BUILDING PERMITS,PLUMBING PERMIT,,Jan 17 2019 12:00AM,2019-01-17T08:00:00.000Z,Jan 18 2021 12:00AM,,ACTIVE,Tenant Improvements,,3055,MASSEY DR,,6042,,,,
PP023252,BUILDING PERMITS,PLUMBING PERMIT,,Jan  2 2019 12:00AM,2019-01-02T08:00:00.000Z,Jan  1 2021 12:00AM,,ACTIVE,New SFD,,4871,PARKSIDE DR,,6043,,,,
PP023253,BUILDING PERMITS,PLUMBING PERMIT,,May  2 2019 12:00AM,2019-05-02T07:00:00.000Z,May  3 2021 12:00AM,,ACTIVE,Tenant Improvements to Commercial Building,,490,QUEBEC ST,,6044,,,,
PP023254,BUILDING PERMITS,PLUMBING PERMIT,,Mar 29 2019 12:00AM,2019-03-29T07:00:00.000Z,Mar 29 2021 12:00AM,,ACTIVE,New SFD,,2587,CHANCELLOR BLVD,,6045,,,,
PP023255,BUILDING PERMITS,PLUMBING PERMIT,,Mar 29 2019 12:00AM,2019-03-29T07:00:00.000Z,Mar 29 2021 12:00AM,,ACTIVE,New SFD,,2607,CHANCELLOR BLVD,,6046,,,,
PP023256,BUILDING PERMITS,PLUMBING PERMIT,,Jan 16 2019 12:00AM,2019-01-16T08:00:00.000Z,Jan 15 2021 12:00AM,2019-02-14T08:00:00.000Z,COMPLETED,Plumbing permit: to install or alter a plumbing system,,1345,GORSE ST,,6047,,,,
PP023257,BUILDING PERMITS,PLUMBING PERMIT,,Jan 16 2019 12:00AM,2019-01-16T08:00:00.000Z,Jan 15 2021 12:00AM,,ACTIVE,New SFD,,4723,PARKSIDE DR,,6048,,,,
PP023258,BUILDING PERMITS,PLUMBING PERMIT,,Jan 25 2019 12:00AM,2019-01-25T08:00:00.000Z,Jan 25 2021 12:00AM,,ACTIVE,New SFD,,4036,ESTAVILLA DR,,6049,,,,
PP023259,BUILDING PERMITS,PLUMBING PERMIT,,Jan 18 2019 12:00AM,2019-01-18T08:00:00.000Z,Jan 18 2021 12:00AM,,ACTIVE,New SFD,,4953,PARKSIDE DR,,6050,,,,
PP023260,BUILDING PERMITS,PLUMBING PERMIT,,Feb 15 2019 12:00AM,2019-02-15T08:00:00.000Z,Feb 15 2021 12:00AM,,ACTIVE,Commercial Alteration,1739,1709,NICHOLSON ST S,,6051,,,,
PP023261,BUILDING PERMITS,PLUMBING PERMIT,,Feb 15 2019 12:00AM,2019-02-15T08:00:00.000Z,Feb 15 2021 12:00AM,,ACTIVE,Duplex - Side A (West),2965,2963,HOPKINS RD,,6052,,,,
PP023262,BUILDING PERMITS,PLUMBING PERMIT,,Feb 15 2019 12:00AM,2019-02-15T08:00:00.000Z,Feb 15 2021 12:00AM,,ACTIVE,Duplex - Side B (East),2965,2963,HOPKINS RD,,6053,,,,
PP023263,BUILDING PERMITS,PLUMBING PERMIT,,Jan 25 2019 12:00AM,2019-01-25T08:00:00.000Z,Jan 25 2021 12:00AM,2019-05-01T07:00:00.000Z,COMPLETED,Duplex - Fire Restoration,,2260,VICTORIA ST,,6054,,,,
PP023265,BUILDING PERMITS,PLUMBING PERMIT,,Feb  4 2019 12:00AM,2019-02-04T08:00:00.000Z,Feb  3 2021 12:00AM,2019-03-07T08:00:00.000Z,COMPLETED,Commercial Addition,,2050,ROBERTSON RD,,6055,,,,
PP023266,BUILDING PERMITS,PLUMBING PERMIT,,Feb  4 2019 12:00AM,2019-02-04T08:00:00.000Z,Feb  3 2021 12:00AM,,ACTIVE,New Mobile Home,,2493,PERRIN HTS,,6056,,,,
PP023267,BUILDING PERMITS,PLUMBING PERMIT,,Feb  4 2019 12:00AM,2019-02-04T08:00:00.000Z,Feb  3 2021 12:00AM,,ACTIVE,New Fiveplex - BUILDING 1,,2422,VANIER DR,,6057,,,,
PP023268,BUILDING PERMITS,PLUMBING PERMIT,,Feb  4 2019 12:00AM,2019-02-04T08:00:00.000Z,Feb  3 2021 12:00AM,,ACTIVE,New Fiveplex - BUILDING 1,,2422,VANIER DR,,6058,,,,
PP023269,BUILDING PERMITS,PLUMBING PERMIT,,Feb  4 2019 12:00AM,2019-02-04T08:00:00.000Z,Feb  3 2021 12:00AM,,ACTIVE,New Fiveplex - BUILDING 1,,2422,VANIER DR,,6059,,,,
PP023270,BUILDING PERMITS,PLUMBING PERMIT,,Feb  4 2019 12:00AM,2019-02-04T08:00:00.000Z,Feb  3 2021 12:00AM,,ACTIVE,New Fiveplex - BUILDING 1,,2422,VANIER DR,,6060,,,,
PP023271,BUILDING PERMITS,PLUMBING PERMIT,,Feb  4 2019 12:00AM,2019-02-04T08:00:00.000Z,Feb  3 2021 12:00AM,,ACTIVE,New Fiveplex - BUILDING 1,,2422,VANIER DR,,6061,,,,
PP023272,BUILDING PERMITS,PLUMBING PERMIT,,Feb  4 2019 12:00AM,2019-02-04T08:00:00.000Z,Feb  3 2021 12:00AM,2019-02-05T08:00:00.000Z,COMPLETED,Volunteer Water Meter,,691,EWERT ST,,6062,,,,
PP023274,BUILDING PERMITS,PLUMBING PERMIT,,Mar 26 2019 12:00AM,2019-03-26T07:00:00.000Z,Mar 25 2021 12:00AM,,ACTIVE,Tenant Improvements,,3055,MASSEY DR,,6063,,,,
PP023275,BUILDING PERMITS,PLUMBING PERMIT,,Feb 13 2019 12:00AM,2019-02-13T08:00:00.000Z,Feb 12 2021 12:00AM,2019-03-05T08:00:00.000Z,COMPLETED,Volunteer Water Meter,,1489,GORSE ST,,6064,,,,
PP023276,BUILDING PERMITS,PLUMBING PERMIT,,Feb 11 2019 12:00AM,2019-02-11T08:00:00.000Z,Feb 10 2021 12:00AM,,ACTIVE,Fire Restoration to existing SFD,,2883,NIXON CRES,,6065,,,,
PP023277,BUILDING PERMITS,PLUMBING PERMIT,,Feb 25 2019 12:00AM,2019-02-25T08:00:00.000Z,Feb 24 2021 12:00AM,,ACTIVE,Tenant Improvements,,3167,MASSEY DR,,6066,,,,
PP023278,BUILDING PERMITS,PLUMBING PERMIT,,Feb 13 2019 12:00AM,2019-02-13T08:00:00.000Z,Feb 12 2021 12:00AM,,ACTIVE,Tenant Improvements,6569,6541,HART HWY,,6067,,,,
PP023279,BUILDING PERMITS,PLUMBING PERMIT,,Feb 20 2019 12:00AM,2019-02-20T08:00:00.000Z,Feb 19 2021 12:00AM,,ACTIVE,New SFD,,5217,WOODSTOCK CRT,,6068,,,,
PP023280,BUILDING PERMITS,PLUMBING PERMIT,,Feb 21 2019 12:00AM,2019-02-21T08:00:00.000Z,Feb 22 2021 12:00AM,2019-04-12T07:00:00.000Z,COMPLETED,Volunteer Water Meter,,4363,SULLIVAN PL,,6069,,,,
PP023281,BUILDING PERMITS,PLUMBING PERMIT,,Mar  4 2019 12:00AM,2019-03-04T08:00:00.000Z,Mar  3 2021 12:00AM,,ACTIVE,New SFD,,870,HOFERKAMP RD,,6070,,,,
PP023282,BUILDING PERMITS,PLUMBING PERMIT,,Feb 27 2019 12:00AM,2019-02-27T08:00:00.000Z,Feb 26 2021 12:00AM,,ACTIVE,New SFD,,3350,HILLSIDE DR,,6071,,,,
PP023283,BUILDING PERMITS,PLUMBING PERMIT,,Feb 25 2019 12:00AM,2019-02-25T08:00:00.000Z,Feb 24 2021 12:00AM,2019-03-04T08:00:00.000Z,COMPLETED,Volunteer Water Meter,,1210,CUDDIE CRES,,6072,,,,
PP023284,BUILDING PERMITS,PLUMBING PERMIT,,Feb 25 2019 12:00AM,2019-02-25T08:00:00.000Z,Feb 24 2021 12:00AM,,ACTIVE,Tenant Improvements,,556,NORTH NECHAKO RD,,6073,,,,
PP023285,BUILDING PERMITS,PLUMBING PERMIT,,May 17 2019 12:00AM,2019-06-03T07:00:00.000Z,May 17 2021 12:00AM,,ACTIVE,Tenant Improvements,,1011,4TH AVE,,6074,,,,
PP023286,BUILDING PERMITS,PLUMBING PERMIT,,Feb 28 2019 12:00AM,2019-02-28T08:00:00.000Z,Mar  1 2021 12:00AM,,ACTIVE,New SFD,,6367,RITA PL,,6075,,,,
PP023287,BUILDING PERMITS,PLUMBING PERMIT,,Feb 28 2019 12:00AM,2019-02-28T08:00:00.000Z,Mar  1 2021 12:00AM,,ACTIVE,Tenant Improvements,3040,3030,RECPLACE DR,,6076,,,,
PP023288,BUILDING PERMITS,PLUMBING PERMIT,,Mar 15 2019 12:00AM,2019-03-15T07:00:00.000Z,Mar 15 2021 12:00AM,,ACTIVE,New SFD,,2862,HOPKINS RD,,6077,,,,
PP023289,BUILDING PERMITS,PLUMBING PERMIT,,Mar  8 2019 12:00AM,2019-03-08T08:00:00.000Z,Mar  8 2021 12:00AM,,ACTIVE,New SFD,,5251,GABLE PL,,6078,,,,
PP023290,BUILDING PERMITS,PLUMBING PERMIT,,Mar 12 2019 12:00AM,2019-03-12T07:00:00.000Z,Mar 11 2021 12:00AM,,ACTIVE,New SFD,,5176,WOODVALLEY DR,,6079,,,,
PP023291,BUILDING PERMITS,PLUMBING PERMIT,,Jun  5 2019 12:00AM,2019-06-05T07:00:00.000Z,Jun  4 2021 12:00AM,,ACTIVE,New SFD,,2270,PROGRESS RD,,6080,,,,
PP023292,BUILDING PERMITS,PLUMBING PERMIT,,Apr  3 2019 12:00AM,2019-04-03T07:00:00.000Z,Apr  2 2021 12:00AM,,ACTIVE,Tenant Improvements,3040,3030,RECPLACE DR,,6081,,,,
PP023293,BUILDING PERMITS,PLUMBING PERMIT,,Mar 12 2019 12:00AM,2019-03-22T07:00:00.000Z,Mar 11 2021 12:00AM,,ACTIVE,New SFD,,2802,LINKS DR,,6082,,,,
PP023294,BUILDING PERMITS,PLUMBING PERMIT,,Mar 19 2019 12:00AM,2019-03-19T07:00:00.000Z,Mar 18 2021 12:00AM,,ACTIVE,New SFD,,8992,INGLEWOOD RD,,6083,,,,
PP023295,BUILDING PERMITS,PLUMBING PERMIT,,Mar 20 2019 12:00AM,2019-03-20T07:00:00.000Z,Mar 19 2021 12:00AM,,ACTIVE,New SFD,,4135,ZANETTE PL,,6084,,,,
PP023296,BUILDING PERMITS,PLUMBING PERMIT,,Mar 27 2019 12:00AM,2019-03-27T07:00:00.000Z,Mar 26 2021 12:00AM,,ACTIVE,New SFD,,2853,VISTA RIDGE DR,,6085,,,,
PP023297,BUILDING PERMITS,PLUMBING PERMIT,,Mar 21 2019 12:00AM,2019-03-21T07:00:00.000Z,Mar 22 2021 12:00AM,,ACTIVE,New SFD,,5195,WOODSTOCK CRT,,6086,,,,
PP023298,BUILDING PERMITS,PLUMBING PERMIT,,Mar 21 2019 12:00AM,2019-03-21T07:00:00.000Z,Mar 22 2021 12:00AM,,ACTIVE,New SFD,,5256,GABLE PL,,6087,,,,
PP023300,BUILDING PERMITS,PLUMBING PERMIT,,Mar 28 2019 12:00AM,2019-03-28T07:00:00.000Z,Mar 29 2021 12:00AM,,ACTIVE,New SFD,,2833,VISTA RIDGE CRT,,6088,,,,
PP023301,BUILDING PERMITS,PLUMBING PERMIT,,Apr 25 2019 12:00AM,2019-04-25T07:00:00.000Z,Apr 26 2021 12:00AM,,ACTIVE,New SFD,,7506,HAVILAND RD,,6089,,,,
PP023302,BUILDING PERMITS,PLUMBING PERMIT,,Apr  2 2019 12:00AM,2019-04-02T07:00:00.000Z,Apr  1 2021 12:00AM,,ACTIVE,New SFD,,7182,EUGENE RD,,6090,,,,
PP023303,BUILDING PERMITS,PLUMBING PERMIT,,Mar 25 2019 12:00AM,2019-03-25T07:00:00.000Z,Mar 24 2021 12:00AM,,ACTIVE,New SFD,,2991,ELLINGTON AVE,,6091,,,,
PP023305,BUILDING PERMITS,PLUMBING PERMIT,,Apr 29 2019 12:00AM,2019-04-29T07:00:00.000Z,Apr 28 2021 12:00AM,,ACTIVE,New SFD,,960,NORTH NECHAKO RD,,6092,,,,
PP023306,BUILDING PERMITS,PLUMBING PERMIT,,Apr 29 2019 12:00AM,2019-04-29T07:00:00.000Z,Apr 28 2021 12:00AM,,ACTIVE,New SFD,846,868,NORTH NECHAKO RD,,6093,,,,
PP023307,BUILDING PERMITS,PLUMBING PERMIT,,Apr  9 2019 12:00AM,2019-04-09T07:00:00.000Z,Apr  8 2021 12:00AM,,ACTIVE,New SFD,,2883,ANDRES RD,,6094,,,,
PP023309,BUILDING PERMITS,PLUMBING PERMIT,,Apr 10 2019 12:00AM,2019-04-10T07:00:00.000Z,Apr  9 2021 12:00AM,,ACTIVE,New Triplex at 2425 Rowe Street.,,2425,ROWE ST,,6095,,,,
PP023310,BUILDING PERMITS,PLUMBING PERMIT,,Apr 10 2019 12:00AM,2019-04-10T07:00:00.000Z,Apr  9 2021 12:00AM,,ACTIVE,New Triplex,,2425,ROWE ST,,6096,,,,
PP023311,BUILDING PERMITS,PLUMBING PERMIT,,Apr 10 2019 12:00AM,2019-04-10T07:00:00.000Z,Apr  9 2021 12:00AM,,ACTIVE,New Triplex,,2425,ROWE ST,,6097,,,,
PP023312,BUILDING PERMITS,PLUMBING PERMIT,,Apr 10 2019 12:00AM,2019-04-10T07:00:00.000Z,Apr  9 2021 12:00AM,,ACTIVE,New Triplex,,2425,ROWE ST,,6098,,,,
PP023313,BUILDING PERMITS,PLUMBING PERMIT,,Apr 26 2019 12:00AM,2019-04-26T07:00:00.000Z,Apr 26 2021 12:00AM,,ACTIVE,New SFD,,6296,ORBIN PL,,6099,,,,
PP023314,BUILDING PERMITS,PLUMBING PERMIT,,Apr 26 2019 12:00AM,2019-04-26T07:00:00.000Z,Apr 26 2021 12:00AM,,ACTIVE,New SFD,,6306,RITA PL,,6100,,,,
PP023315,BUILDING PERMITS,PLUMBING PERMIT,,Mar 28 2019 12:00AM,2019-03-28T07:00:00.000Z,Mar 29 2021 12:00AM,,ACTIVE,New SFD,,5244,GABLE PL,,6101,,,,
PP023316,BUILDING PERMITS,PLUMBING PERMIT,,Mar 26 2019 12:00AM,2019-03-26T07:00:00.000Z,Mar 25 2021 12:00AM,,ACTIVE,Tenant Improvements - Northern Health,,1600,15TH AVE,,6102,,,,
PP023317,BUILDING PERMITS,PLUMBING PERMIT,,Mar 26 2019 12:00AM,2019-03-26T07:00:00.000Z,Mar 25 2021 12:00AM,,ACTIVE,Tenant Improvements,,556,NORTH NECHAKO RD,,6103,,,,
PP023318,BUILDING PERMITS,PLUMBING PERMIT,,Mar 26 2019 12:00AM,2019-03-26T07:00:00.000Z,Mar 25 2021 12:00AM,2019-03-29T07:00:00.000Z,COMPLETED,Volunteer Water Meter,,1057,DAVIE AVE,,6104,,,,
PP023319,BUILDING PERMITS,PLUMBING PERMIT,,May 21 2019 12:00AM,2019-05-21T07:00:00.000Z,May 20 2021 12:00AM,,ACTIVE,Plumbing permit: New Commercial Building,,6222,MONTEREY RD,,6105,,,,
PP023322,BUILDING PERMITS,PLUMBING PERMIT,,Apr  3 2019 12:00AM,2019-04-03T07:00:00.000Z,Apr  2 2021 12:00AM,,ACTIVE,New SFD,,2466,ROWE ST,,6106,,,,
PP023323,BUILDING PERMITS,PLUMBING PERMIT,,Apr  9 2019 12:00AM,2019-04-09T07:00:00.000Z,Apr  8 2021 12:00AM,,ACTIVE,New SFD,,5230,GABLE PL,,6107,,,,
PP023324,BUILDING PERMITS,PLUMBING PERMIT,,Apr 24 2019 12:00AM,2019-04-24T07:00:00.000Z,Apr 23 2021 12:00AM,,ACTIVE,Volunteer Water Meter,,5659,BROCK DR,,6108,,,,
PP023325,BUILDING PERMITS,PLUMBING PERMIT,,May 13 2019 12:00AM,2019-05-13T07:00:00.000Z,May 12 2021 12:00AM,,ACTIVE,Sec. Suite,,5659,BROCK DR,,6109,,,,
PP023326,BUILDING PERMITS,PLUMBING PERMIT,,Apr 15 2019 12:00AM,2019-04-15T07:00:00.000Z,Apr 14 2021 12:00AM,,ACTIVE,New SFD,,3923,AREND DR,,6110,,,,
PP023327,BUILDING PERMITS,PLUMBING PERMIT,,Apr  8 2019 12:00AM,2019-04-08T07:00:00.000Z,Apr  7 2021 12:00AM,,ACTIVE,New SFD,,2997,ELLINGTON AVE,,6111,,,,
PP023328,BUILDING PERMITS,PLUMBING PERMIT,,Apr 24 2019 12:00AM,2019-04-24T07:00:00.000Z,Apr 23 2021 12:00AM,,ACTIVE,New Duplex - 661 Carney St,661,663,CARNEY ST,,6112,,,,
PP023329,BUILDING PERMITS,PLUMBING PERMIT,,Apr 30 2019 12:00AM,2019-05-01T07:00:00.000Z,Apr 29 2021 12:00AM,,ACTIVE,New SFD,,9375,KELLY RD N,,6113,,,,
PP023330,BUILDING PERMITS,PLUMBING PERMIT,,Apr 24 2019 12:00AM,2019-04-24T07:00:00.000Z,Apr 23 2021 12:00AM,,ACTIVE,New Duplex - 663 Carney St,661,663,CARNEY ST,,6114,,,,
PP023331,BUILDING PERMITS,PLUMBING PERMIT,,Apr  3 2019 12:00AM,2019-04-03T07:00:00.000Z,Apr  2 2021 12:00AM,,ACTIVE,Volunteer Water Meter,,1508,PEARSON AVE,,6115,,,,
PP023333,BUILDING PERMITS,PLUMBING PERMIT,,Apr  3 2019 12:00AM,2019-04-03T07:00:00.000Z,Apr  2 2021 12:00AM,,ACTIVE,Volunteer Water Meter,,175,MCEACHERN PL,,6116,,,,
PP023334,BUILDING PERMITS,PLUMBING PERMIT,,Apr  4 2019 12:00AM,2019-04-04T07:00:00.000Z,Apr  5 2021 12:00AM,,ACTIVE,Volunteer Water Meter,159,111,TABOR BLVD S,,6117,,,,
