FolderNumber,Category,Type,Subject,Status,Latitude,Longitude,URL,KMLDescription
DP000771,Development,Development Permit,241 Skinner Street,ON HOLD,49.1657563,-123.9377547,https://www.nanaimo.ca/whatsbuilding/folder/DP000771,TYPE: Development Permit   SUBJECT: 241 Skinner Street   STATUS: ON HOLD
RA000289,Development,Rezoning Application,994 Park Avenue,COMPLETED,49.1404621,-123.9430501,https://www.nanaimo.ca/whatsbuilding/folder/RA000289,TYPE: Rezoning Application   SUBJECT: 994 Park Avenue   STATUS: COMPLETED
DVP00188,Development,Development Variance Permit,5502 Fernandez Place,COMPLETED,49.2185448,-124.0389661,https://www.nanaimo.ca/whatsbuilding/folder/DVP00188,TYPE: Development Variance Permit   SUBJECT: 5502 Fernandez Place   STATUS: COMPLETED
DP000772,Development,Development Permit,5650 Hammond Bay Road,COMPLETED,49.2343943,-124.011971,https://www.nanaimo.ca/whatsbuilding/folder/DP000772,TYPE: Development Permit   SUBJECT: 5650 Hammond Bay Road   STATUS: COMPLETED
DP000773,Development,Development Permit,4750 Rutherford Road,COMPLETED,49.2175560,-124.0291289,https://www.nanaimo.ca/whatsbuilding/folder/DP000773,TYPE: Development Permit   SUBJECT: 4750 Rutherford Road   STATUS: COMPLETED
RA000290,Development,Rezoning Application,191 King Road,COMPLETED,49.1677104,-123.9837228,https://www.nanaimo.ca/whatsbuilding/folder/RA000290,TYPE: Rezoning Application   SUBJECT: 191 King Road   STATUS: COMPLETED
DVP00189,Development,Development Variance Permit,5341 Dunster Road,COMPLETED,49.2137399,-124.0400620,https://www.nanaimo.ca/whatsbuilding/folder/DVP00189,TYPE: Development Variance Permit   SUBJECT: 5341 Dunster Road   STATUS: COMPLETED
DP000774,Development,Development Permit,2113 Boxwood Road,COMPLETED,49.1888263,-123.9978193,https://www.nanaimo.ca/whatsbuilding/folder/DP000774,TYPE: Development Permit   SUBJECT: 2113 Boxwood Road   STATUS: COMPLETED
RA000291,Development,Rezoning Application,1850 & 1860 Dufferin Crescent,COMPLETED,49.1834154,-123.9846897,https://www.nanaimo.ca/whatsbuilding/folder/RA000291,TYPE: Rezoning Application   SUBJECT: 1850 & 1860 Dufferin Crescent   STATUS: COMPLETED
DP000775,Development,Development Permit,555 Prideaux Street,COMPLETED,49.1599313,-123.937978,https://www.nanaimo.ca/whatsbuilding/folder/DP000775,TYPE: Development Permit   SUBJECT: 555 Prideaux Street   STATUS: COMPLETED
DP000776,Development,Development Permit,4123  4171  4181 Wellington Road,COMPLETED,49.2067122,-124.0202285,https://www.nanaimo.ca/whatsbuilding/folder/DP000776,TYPE: Development Permit   SUBJECT: 4123  4171  4181 Wellington Road   STATUS: COMPLETED
LA000078,Development,Liquor Licence Application,Simonholt Restaurant,COMPLETED,49.2380145,-124.0420005,https://www.nanaimo.ca/whatsbuilding/folder/LA000078,TYPE: Liquor Licence Application   SUBJECT: Simonholt Restaurant   STATUS: COMPLETED
DP000777,Development,Development Permit,1451 Estevan Road,COMPLETED,49.1843169,-123.9543828,https://www.nanaimo.ca/whatsbuilding/folder/DP000777,TYPE: Development Permit   SUBJECT: 1451 Estevan Road   STATUS: COMPLETED
DP000778,Development,Development Permit,6250 Hammond Bay Road,COMPLETED,49.2350706,-124.0385316,https://www.nanaimo.ca/whatsbuilding/folder/DP000778,TYPE: Development Permit   SUBJECT: 6250 Hammond Bay Road   STATUS: COMPLETED
DP000779,Development,Development Permit,10 Chapel Street,COMPLETED,49.1694073,-123.9383125,https://www.nanaimo.ca/whatsbuilding/folder/DP000779,TYPE: Development Permit   SUBJECT: 10 Chapel Street   STATUS: COMPLETED
DP000780,Development,Development Permit,360 / 370 Westwood Road,COMPLETED,49.165727,-123.9936032,https://www.nanaimo.ca/whatsbuilding/folder/DP000780,TYPE: Development Permit   SUBJECT: 360 / 370 Westwood Road   STATUS: COMPLETED
RA000292,Development,Rezoning Application,2375 Hayes Road,COMPLETED,49.2033173,-124.0050486,https://www.nanaimo.ca/whatsbuilding/folder/RA000292,TYPE: Rezoning Application   SUBJECT: 2375 Hayes Road   STATUS: COMPLETED
DP000781,Development,Development Permit,650 Terminal Ave,COMPLETED,49.1645432,-123.9330789,https://www.nanaimo.ca/whatsbuilding/folder/DP000781,TYPE: Development Permit   SUBJECT: 650 Terminal Ave   STATUS: COMPLETED
LA000079,Development,Liquor Licence Application,Splitsville Entertainment Ltd. - 171 Calder Road,COMPLETED,49.1684305,-123.9867787,https://www.nanaimo.ca/whatsbuilding/folder/LA000079,TYPE: Liquor Licence Application   SUBJECT: Splitsville Entertainment Ltd. - 171 Calder Road   STATUS: COMPLETED
DP000782,Development,Development Permit,6115 Glacier Way,COMPLETED,49.227952,-124.0333682,https://www.nanaimo.ca/whatsbuilding/folder/DP000782,TYPE: Development Permit   SUBJECT: 6115 Glacier Way   STATUS: COMPLETED
DVP00191,Development,Development Variance Permit,3606 Overlook Drive,COMPLETED,49.2231066,-123.9515898,https://www.nanaimo.ca/whatsbuilding/folder/DVP00191,TYPE: Development Variance Permit   SUBJECT: 3606 Overlook Drive   STATUS: COMPLETED
DVP00192,Development,Development Variance Permit,4771 Hammond Bay Road,COMPLETED,49.2309755,-123.981351,https://www.nanaimo.ca/whatsbuilding/folder/DVP00192,TYPE: Development Variance Permit   SUBJECT: 4771 Hammond Bay Road   STATUS: COMPLETED
RA000293,Development,Rezoning Application,2491 Kenworth Road,CANCELLED,49.2022813,-124.0055559,https://www.nanaimo.ca/whatsbuilding/folder/RA000293,TYPE: Rezoning Application   SUBJECT: 2491 Kenworth Road   STATUS: CANCELLED
DVP00193,Development,Development Variance Permit,6728 & 6738 Dickinson Road,COMPLETED,49.2433229,-124.0515227,https://www.nanaimo.ca/whatsbuilding/folder/DVP00193,TYPE: Development Variance Permit   SUBJECT: 6728 & 6738 Dickinson Road   STATUS: COMPLETED
RA000295,Development,Rezoning Application,2021 Northfield Road,COMPLETED,49.1917083,-123.9872380,https://www.nanaimo.ca/whatsbuilding/folder/RA000295,TYPE: Rezoning Application   SUBJECT: 2021 Northfield Road   STATUS: COMPLETED
RA000294,Development,Rezoning Application,Part of 380 Fifth Street,COMPLETED,49.155386,-123.9469436,https://www.nanaimo.ca/whatsbuilding/folder/RA000294,TYPE: Rezoning Application   SUBJECT: Part of 380 Fifth Street   STATUS: COMPLETED
RA000296,Development,Rezoning Application,Part of 3500 Rock City Road,COMPLETED,49.2155258,-123.9879584,https://www.nanaimo.ca/whatsbuilding/folder/RA000296,TYPE: Rezoning Application   SUBJECT: Part of 3500 Rock City Road   STATUS: COMPLETED
BOV00594,Development,Board of Variance,320 Fawn Place,COMPLETED,49.2118670,-124.0130492,https://www.nanaimo.ca/whatsbuilding/folder/BOV00594,TYPE: Board of Variance   SUBJECT: 320 Fawn Place   STATUS: COMPLETED
BOV00593,Development,Board of Variance,3601 Shenton Road,COMPLETED,49.2044326,-124.0092642,https://www.nanaimo.ca/whatsbuilding/folder/BOV00593,TYPE: Board of Variance   SUBJECT: 3601 Shenton Road   STATUS: COMPLETED
LA000080,Development,Liquor Licence Application,63 Victoria Road - The Cambie Hotel,COMPLETED,49.1630666,-123.9352682,https://www.nanaimo.ca/whatsbuilding/folder/LA000080,TYPE: Liquor Licence Application   SUBJECT: 63 Victoria Road - The Cambie Hotel   STATUS: COMPLETED
RA000297,Development,Rezoning Application,2350 Barclay Road,COMPLETED,49.197204,-124.0052564,https://www.nanaimo.ca/whatsbuilding/folder/RA000297,TYPE: Rezoning Application   SUBJECT: 2350 Barclay Road   STATUS: COMPLETED
DVP00194,Development,Development Variance Permit,1135 Farquhar Street,COMPLETED,49.1572906,-123.9260558,https://www.nanaimo.ca/whatsbuilding/folder/DVP00194,TYPE: Development Variance Permit   SUBJECT: 1135 Farquhar Street   STATUS: COMPLETED
RA000298,Development,Rezoning Application,4951 Denford Place,CANCELLED,49.2354204,-123.9864688,https://www.nanaimo.ca/whatsbuilding/folder/RA000298,TYPE: Rezoning Application   SUBJECT: 4951 Denford Place   STATUS: CANCELLED
BOV00595,Development,Board of Variance,2249 Neil Drive,COMPLETED,49.1689537,-123.9978618,https://www.nanaimo.ca/whatsbuilding/folder/BOV00595,TYPE: Board of Variance   SUBJECT: 2249 Neil Drive   STATUS: COMPLETED
BOV00596,Development,Board of Variance,141 Shammy's Place,COMPLETED,49.2110791,-124.0079523,https://www.nanaimo.ca/whatsbuilding/folder/BOV00596,TYPE: Board of Variance   SUBJECT: 141 Shammy's Place   STATUS: COMPLETED
RA000299,Development,Rezoning Application,Part of 2022 Latimer Road,COMPLETED,49.1899618,-123.9860733,https://www.nanaimo.ca/whatsbuilding/folder/RA000299,TYPE: Rezoning Application   SUBJECT: Part of 2022 Latimer Road   STATUS: COMPLETED
DP000783,Development,Development Permit,4474 Wellington Road,CANCELLED,49.2094420,-124.0254480,https://www.nanaimo.ca/whatsbuilding/folder/DP000783,TYPE: Development Permit   SUBJECT: 4474 Wellington Road   STATUS: CANCELLED
DP000785,Development,Development Permit,1861 Dufferin Crescent,COMPLETED,49.1827936,-123.9843244,https://www.nanaimo.ca/whatsbuilding/folder/DP000785,TYPE: Development Permit   SUBJECT: 1861 Dufferin Crescent   STATUS: COMPLETED
DP000784,Development,Development Permit,6470 Metral Drive,COMPLETED,49.2331098,-124.0441600,https://www.nanaimo.ca/whatsbuilding/folder/DP000784,TYPE: Development Permit   SUBJECT: 6470 Metral Drive   STATUS: COMPLETED
DP000786,Development,Development Permit,610 Miller Farm Drive,COMPLETED,49.217365,-123.9553481,https://www.nanaimo.ca/whatsbuilding/folder/DP000786,TYPE: Development Permit   SUBJECT: 610 Miller Farm Drive   STATUS: COMPLETED
DP000787,Development,Development Permit,6253 Farber Way,COMPLETED,49.2278846,-124.0508435,https://www.nanaimo.ca/whatsbuilding/folder/DP000787,TYPE: Development Permit   SUBJECT: 6253 Farber Way   STATUS: COMPLETED
DVP00195,Development,Development Variance Permit,2340 Wild Dove Road,COMPLETED,49.1972170,-124.0193774,https://www.nanaimo.ca/whatsbuilding/folder/DVP00195,TYPE: Development Variance Permit   SUBJECT: 2340 Wild Dove Road   STATUS: COMPLETED
DP000788,Development,Development Permit,1925 Bowen Road,COMPLETED,49.1854516,-123.9847022,https://www.nanaimo.ca/whatsbuilding/folder/DP000788,TYPE: Development Permit   SUBJECT: 1925 Bowen Road   STATUS: COMPLETED
DP000790,Development,Development Permit,5085 Uplands Drive,COMPLETED,49.2271922,-124.0369994,https://www.nanaimo.ca/whatsbuilding/folder/DP000790,TYPE: Development Permit   SUBJECT: 5085 Uplands Drive   STATUS: COMPLETED
DP000789,Development,Development Permit,5011 Hammond Bay Road,COMPLETED,49.231481,-123.9886817,https://www.nanaimo.ca/whatsbuilding/folder/DP000789,TYPE: Development Permit   SUBJECT: 5011 Hammond Bay Road   STATUS: COMPLETED
DVP00196,Development,Development Variance Permit,2469 Labieux Road,COMPLETED,49.1989054,-124.0047928,https://www.nanaimo.ca/whatsbuilding/folder/DVP00196,TYPE: Development Variance Permit   SUBJECT: 2469 Labieux Road   STATUS: COMPLETED
DP000791,Development,Development Permit,645 Wakesiah Avenue,COMPLETED,49.1489037,-123.9640586,https://www.nanaimo.ca/whatsbuilding/folder/DP000791,TYPE: Development Permit   SUBJECT: 645 Wakesiah Avenue   STATUS: COMPLETED
DVP00197,Development,Development Variance Permit,6500 Raven Road,COMPLETED,49.2464342,-124.0481433,https://www.nanaimo.ca/whatsbuilding/folder/DVP00197,TYPE: Development Variance Permit   SUBJECT: 6500 Raven Road   STATUS: COMPLETED
DVP00198,Development,Development Variance Permit,6334 Metral Drive,CANCELLED,49.2300628,-124.0426370,https://www.nanaimo.ca/whatsbuilding/folder/DVP00198,TYPE: Development Variance Permit   SUBJECT: 6334 Metral Drive   STATUS: CANCELLED
DP000792,Development,Development Permit,220 Haliburton Street,CANCELLED,49.1570115,-123.9330359,https://www.nanaimo.ca/whatsbuilding/folder/DP000792,TYPE: Development Permit   SUBJECT: 220 Haliburton Street   STATUS: CANCELLED
DP000793,Development,Development Permit,1030 Old Victoria Road,COMPLETED,49.1389607,-123.9272643,https://www.nanaimo.ca/whatsbuilding/folder/DP000793,TYPE: Development Permit   SUBJECT: 1030 Old Victoria Road   STATUS: COMPLETED
BOV00597,Development,Board of Variance,605 Bowen Road,COMPLETED,49.1709675,-123.9554518,https://www.nanaimo.ca/whatsbuilding/folder/BOV00597,TYPE: Board of Variance   SUBJECT: 605 Bowen Road   STATUS: COMPLETED
BOV00599,Development,Board of Variance,590 Bradley Street - Boundary Adjustment,COMPLETED,49.1753128,-123.9547953,https://www.nanaimo.ca/whatsbuilding/folder/BOV00599,TYPE: Board of Variance   SUBJECT: 590 Bradley Street - Boundary Adjustment   STATUS: COMPLETED
BOV00598,Development,Board of Variance,706 Connaught Avenue,COMPLETED,49.1510798,-123.9422328,https://www.nanaimo.ca/whatsbuilding/folder/BOV00598,TYPE: Board of Variance   SUBJECT: 706 Connaught Avenue   STATUS: COMPLETED
DP000794,Development,Development Permit,2373 Rosstown Road,COMPLETED,49.1958574,-124.0013618,https://www.nanaimo.ca/whatsbuilding/folder/DP000794,TYPE: Development Permit   SUBJECT: 2373 Rosstown Road   STATUS: COMPLETED
RA000300,Development,Rezoning Application,Part of 6414 Portsmouth Road,COMPLETED,49.2400191,-124.0437798,https://www.nanaimo.ca/whatsbuilding/folder/RA000300,TYPE: Rezoning Application   SUBJECT: Part of 6414 Portsmouth Road   STATUS: COMPLETED
DP000795,Development,Development Permit,6334 Metral Drive,COMPLETED,49.2300628,-124.0426370,https://www.nanaimo.ca/whatsbuilding/folder/DP000795,TYPE: Development Permit   SUBJECT: 6334 Metral Drive   STATUS: COMPLETED
DP000796,Development,Development Permit,6535 Metral Drive,COMPLETED,49.2316467,-124.047432,https://www.nanaimo.ca/whatsbuilding/folder/DP000796,TYPE: Development Permit   SUBJECT: 6535 Metral Drive   STATUS: COMPLETED
DVP00199,Development,Development Variance Permit,3836 Jingle Pot Road,COMPLETED,49.2005095,-124.0347702,https://www.nanaimo.ca/whatsbuilding/folder/DVP00199,TYPE: Development Variance Permit   SUBJECT: 3836 Jingle Pot Road   STATUS: COMPLETED
DP000797,Development,Development Permit,4800 Cedar Ridge Place,COMPLETED,49.2150003,-124.0218731,https://www.nanaimo.ca/whatsbuilding/folder/DP000797,TYPE: Development Permit   SUBJECT: 4800 Cedar Ridge Place   STATUS: COMPLETED
BOV00600,Development,Board of Variance,465 Stewart Avenue,DENIED,49.1771652,-123.9447451,https://www.nanaimo.ca/whatsbuilding/folder/BOV00600,TYPE: Board of Variance   SUBJECT: 465 Stewart Avenue   STATUS: DENIED
DVP00200,Development,Development Variance Permit,5300 Rutherford Road,COMPLETED,49.2277021,-124.0195451,https://www.nanaimo.ca/whatsbuilding/folder/DVP00200,TYPE: Development Variance Permit   SUBJECT: 5300 Rutherford Road   STATUS: COMPLETED
DP000799,Development,Development Permit,421 Milton Street,COMPLETED,49.1615737,-123.9433051,https://www.nanaimo.ca/whatsbuilding/folder/DP000799,TYPE: Development Permit   SUBJECT: 421 Milton Street   STATUS: COMPLETED
RA000301,Development,Rezoning Application,2073 Boxwood Road,CANCELLED,49.1876958,-123.9979876,https://www.nanaimo.ca/whatsbuilding/folder/RA000301,TYPE: Rezoning Application   SUBJECT: 2073 Boxwood Road   STATUS: CANCELLED
BOV00601,Development,Board of Variance,1222 Nanaimo Lakes Road,CANCELLED,49.1369422,-123.9739304,https://www.nanaimo.ca/whatsbuilding/folder/BOV00601,TYPE: Board of Variance   SUBJECT: 1222 Nanaimo Lakes Road   STATUS: CANCELLED
BOV00602,Development,Board of Variance,2242 Neil Drive,DENIED,49.1694839,-123.9968344,https://www.nanaimo.ca/whatsbuilding/folder/BOV00602,TYPE: Board of Variance   SUBJECT: 2242 Neil Drive   STATUS: DENIED
DP000800,Development,Development Permit,1099 Bruce Avenue,COMPLETED,49.1355479,-123.956612,https://www.nanaimo.ca/whatsbuilding/folder/DP000800,TYPE: Development Permit   SUBJECT: 1099 Bruce Avenue   STATUS: COMPLETED
RA000302,Development,Rezoning Application,2609 Rosstown Road,COMPLETED,49.1947822,-124.0153307,https://www.nanaimo.ca/whatsbuilding/folder/RA000302,TYPE: Rezoning Application   SUBJECT: 2609 Rosstown Road   STATUS: COMPLETED
DP000801,Development,Development Permit,5701 Vanderneuk Road,COMPLETED,49.2261038,-124.0058698,https://www.nanaimo.ca/whatsbuilding/folder/DP000801,TYPE: Development Permit   SUBJECT: 5701 Vanderneuk Road   STATUS: COMPLETED
BOV00603,Development,Board of Variance,136 Yon Place,COMPLETED,49.2058652,-124.0236037,https://www.nanaimo.ca/whatsbuilding/folder/BOV00603,TYPE: Board of Variance   SUBJECT: 136 Yon Place   STATUS: COMPLETED
BOV00605,Development,Board of Variance,1186 St. Patrick Crescent,CANCELLED,49.1799130,-123.9679271,https://www.nanaimo.ca/whatsbuilding/folder/BOV00605,TYPE: Board of Variance   SUBJECT: 1186 St. Patrick Crescent   STATUS: CANCELLED
BOV00604,Development,Board of Variance,6486 Peregrine Road,COMPLETED,49.2456967,-124.0473616,https://www.nanaimo.ca/whatsbuilding/folder/BOV00604,TYPE: Board of Variance   SUBJECT: 6486 Peregrine Road   STATUS: COMPLETED
DVP00201,Development,Development Variance Permit,945 Howard Avenue,COMPLETED,49.1415226,-123.9558891,https://www.nanaimo.ca/whatsbuilding/folder/DVP00201,TYPE: Development Variance Permit   SUBJECT: 945 Howard Avenue   STATUS: COMPLETED
BOV00606,Development,Board of Variance,501 Woodhaven Drive,COMPLETED,49.2115787,-124.0109965,https://www.nanaimo.ca/whatsbuilding/folder/BOV00606,TYPE: Board of Variance   SUBJECT: 501 Woodhaven Drive   STATUS: COMPLETED
DP000802,Development,Development Permit,58 Mill Street,COMPLETED,49.1718290,-123.9439557,https://www.nanaimo.ca/whatsbuilding/folder/DP000802,TYPE: Development Permit   SUBJECT: 58 Mill Street   STATUS: COMPLETED
RA000303,Development,Rezoning Application,2291 Lynn-La-Ran Road,CANCELLED,49.1770339,-124.0064326,https://www.nanaimo.ca/whatsbuilding/folder/RA000303,TYPE: Rezoning Application   SUBJECT: 2291 Lynn-La-Ran Road   STATUS: CANCELLED
DP000803,Development,Development Permit,1850 Dufferin Crescent,COMPLETED,49.1834154,-123.9846897,https://www.nanaimo.ca/whatsbuilding/folder/DP000803,TYPE: Development Permit   SUBJECT: 1850 Dufferin Crescent   STATUS: COMPLETED
DP000804,Development,Development Permit,2920 Robson Road,COMPLETED,49.2066805,-123.9775198,https://www.nanaimo.ca/whatsbuilding/folder/DP000804,TYPE: Development Permit   SUBJECT: 2920 Robson Road   STATUS: COMPLETED
DP000805,Development,Development Permit,1505 Extension Road,COMPLETED,49.1238246,-123.9215224,https://www.nanaimo.ca/whatsbuilding/folder/DP000805,TYPE: Development Permit   SUBJECT: 1505 Extension Road   STATUS: COMPLETED
DVP00202,Development,Development Variance Permit,5477 Lost Lake Road,COMPLETED,49.2297285,-124.0071983,https://www.nanaimo.ca/whatsbuilding/folder/DVP00202,TYPE: Development Variance Permit   SUBJECT: 5477 Lost Lake Road   STATUS: COMPLETED
DP000806,Development,Development Permit,190 Nicol Street,COMPLETED,49.1583374,-123.9344633,https://www.nanaimo.ca/whatsbuilding/folder/DP000806,TYPE: Development Permit   SUBJECT: 190 Nicol Street   STATUS: COMPLETED
DP000807,Development,Development Permit,253 Victoria Road,COMPLETED,49.1563560,-123.9353485,https://www.nanaimo.ca/whatsbuilding/folder/DP000807,TYPE: Development Permit   SUBJECT: 253 Victoria Road   STATUS: COMPLETED
DVP00203,Development,Development Variance Permit,461 Albert Street,COMPLETED,49.1616404,-123.9383382,https://www.nanaimo.ca/whatsbuilding/folder/DVP00203,TYPE: Development Variance Permit   SUBJECT: 461 Albert Street   STATUS: COMPLETED
BOV00607,Development,Board of Variance,431 Larch Street,COMPLETED,49.1850100,-123.9515618,https://www.nanaimo.ca/whatsbuilding/folder/BOV00607,TYPE: Board of Variance   SUBJECT: 431 Larch Street   STATUS: COMPLETED
DP000808,Development,Development Permit,4989 Wills Road,COMPLETED,49.2148625,-124.0249061,https://www.nanaimo.ca/whatsbuilding/folder/DP000808,TYPE: Development Permit   SUBJECT: 4989 Wills Road   STATUS: COMPLETED
BOV00608,Development,Board of Variance,5643 Big Whale Lookout,COMPLETED,49.2299723,-124.0113497,https://www.nanaimo.ca/whatsbuilding/folder/BOV00608,TYPE: Board of Variance   SUBJECT: 5643 Big Whale Lookout   STATUS: COMPLETED
DP000809,Development,Development Permit,1505 Extension Road,COMPLETED,49.1228520,-123.9219931,https://www.nanaimo.ca/whatsbuilding/folder/DP000809,TYPE: Development Permit   SUBJECT: 1505 Extension Road   STATUS: COMPLETED
DP000810,Development,Development Permit,13 Haliburton Street,COMPLETED,49.1615083,-123.9324523,https://www.nanaimo.ca/whatsbuilding/folder/DP000810,TYPE: Development Permit   SUBJECT: 13 Haliburton Street   STATUS: COMPLETED
DP000811,Development,Development Permit,4600 Hammond Bay Road,CANCELLED,49.2329503,-123.9712222,https://www.nanaimo.ca/whatsbuilding/folder/DP000811,TYPE: Development Permit   SUBJECT: 4600 Hammond Bay Road   STATUS: CANCELLED
DP000813,Development,Development Permit,1880 Dufferin Crescent,COMPLETED,49.1832334,-123.9852902,https://www.nanaimo.ca/whatsbuilding/folder/DP000813,TYPE: Development Permit   SUBJECT: 1880 Dufferin Crescent   STATUS: COMPLETED
DP000812,Development,Development Permit,5800 Turner Road,COMPLETED,49.2258571,-124.0358801,https://www.nanaimo.ca/whatsbuilding/folder/DP000812,TYPE: Development Permit   SUBJECT: 5800 Turner Road   STATUS: COMPLETED
DP000814,Development,Development Permit,1890 Boxwood Road,COMPLETED,49.1836362,-123.9851278,https://www.nanaimo.ca/whatsbuilding/folder/DP000814,TYPE: Development Permit   SUBJECT: 1890 Boxwood Road   STATUS: COMPLETED
LA000082,Development,Liquor Licence Application,Alice's Restaurant - 728 Nicol Street,COMPLETED,49.1492845,-123.9341419,https://www.nanaimo.ca/whatsbuilding/folder/LA000082,TYPE: Liquor Licence Application   SUBJECT: Alice's Restaurant - 728 Nicol Street   STATUS: COMPLETED
LA000083,Development,Liquor Licence Application,The Port Theatre - 125 Front Street,COMPLETED,49.1658587,-123.935444,https://www.nanaimo.ca/whatsbuilding/folder/LA000083,TYPE: Liquor Licence Application   SUBJECT: The Port Theatre - 125 Front Street   STATUS: COMPLETED
DP000815,Development,Development Permit,5360 Dewar Road,CANCELLED,49.2311902,-124.0012408,https://www.nanaimo.ca/whatsbuilding/folder/DP000815,TYPE: Development Permit   SUBJECT: 5360 Dewar Road   STATUS: CANCELLED
BOV00609,Development,Board of Variance,3384 Greyhawk Drive,COMPLETED,49.2151396,-123.9502447,https://www.nanaimo.ca/whatsbuilding/folder/BOV00609,TYPE: Board of Variance   SUBJECT: 3384 Greyhawk Drive   STATUS: COMPLETED
BOV00610,Development,Board of Variance,619 Fourth Street,COMPLETED,49.1587858,-123.9593665,https://www.nanaimo.ca/whatsbuilding/folder/BOV00610,TYPE: Board of Variance   SUBJECT: 619 Fourth Street   STATUS: COMPLETED
LA000084,Development,Liquor Licence Application,Original Joe's - New Years Eve,COMPLETED,49.2063104,-124.0055781,https://www.nanaimo.ca/whatsbuilding/folder/LA000084,TYPE: Liquor Licence Application   SUBJECT: Original Joe's - New Years Eve   STATUS: COMPLETED
RA000304,Development,Rezoning Application,1621 Dufferin Crescent,COMPLETED,49.1828222,-123.9731015,https://www.nanaimo.ca/whatsbuilding/folder/RA000304,TYPE: Rezoning Application   SUBJECT: 1621 Dufferin Crescent   STATUS: COMPLETED
RA000305,Development,Rezoning Application,433 Milton Street,COMPLETED,49.1612347,-123.9429634,https://www.nanaimo.ca/whatsbuilding/folder/RA000305,TYPE: Rezoning Application   SUBJECT: 433 Milton Street   STATUS: COMPLETED
DP000816,Development,Development Permit,3607 Shenton Road,COMPLETED,49.203409,-124.0111485,https://www.nanaimo.ca/whatsbuilding/folder/DP000816,TYPE: Development Permit   SUBJECT: 3607 Shenton Road   STATUS: COMPLETED
DP000817,Development,Development Permit,2067 Boxwood Road,COMPLETED,49.1873277,-123.9973044,https://www.nanaimo.ca/whatsbuilding/folder/DP000817,TYPE: Development Permit   SUBJECT: 2067 Boxwood Road   STATUS: COMPLETED
DVP00204,Development,Development Variance Permit,2609 Rosstown Road,COMPLETED,49.1947822,-124.0153307,https://www.nanaimo.ca/whatsbuilding/folder/DVP00204,TYPE: Development Variance Permit   SUBJECT: 2609 Rosstown Road   STATUS: COMPLETED
DP000818,Development,Development Permit,1041 Maughan Road,COMPLETED,49.1360366,-123.8732116,https://www.nanaimo.ca/whatsbuilding/folder/DP000818,TYPE: Development Permit   SUBJECT: 1041 Maughan Road   STATUS: COMPLETED
DVP00205,Development,Development Variance Permit,474 Hewgate Street,CANCELLED,49.1498569,-123.9480424,https://www.nanaimo.ca/whatsbuilding/folder/DVP00205,TYPE: Development Variance Permit   SUBJECT: 474 Hewgate Street   STATUS: CANCELLED
