Province,City or Region,Type,MainLink,SourceLink,Direct CSV Link,Direct KML Link,Open,Special Note,Provider,License or Terms of Use,Attribution Statement,,,,,
AB,St. Albert,Arts,https://data.stalbert.ca/datasets/867601a480194c2a8b8dc033c4996ba8_0/data,,https://opendata.arcgis.com/datasets/867601a480194c2a8b8dc033c4996ba8_0.csv?outSR=%7B%22wkid%22%3A3780%2C%22latestWkid%22%3A3780%7D,https://opendata.arcgis.com/datasets/867601a480194c2a8b8dc033c4996ba8_0.kml?outSR=%7B%22wkid%22%3A3780%2C%22latestWkid%22%3A3780%7D,,,St. Albert,https://data.stalbert.ca/pages/licence,Contains information licensed under the Open Government Licence - St. Albert,,,,,
BC,Vancouver,Arts,https://opendata.vancouver.ca/explore/dataset/cultural-spaces/information/?disjunctive.type&disjunctive.primary_use&disjunctive.ownership,,https://opendata.vancouver.ca/explore/dataset/cultural-spaces/download/?format=csv&timezone=America/Goose_Bay&use_labels_for_header=true&csv_separator=%3B,https://opendata.vancouver.ca/explore/dataset/cultural-spaces/download/?format=kml&timezone=America/Goose_Bay&use_labels_for_header=true&kml_separator=%3B,,,Vancouver,https://vancouver.ca/your-government/open-data-catalogue.aspx#tab19099,Contains information licensed under the Open Government Licence – Vancouver.,,,,,
BC,District of North Vancouver,POI,http://geoweb.dnv.org/data/,http://geoweb.dnv.org/Products/Data/SHP/CulPointsOfInterest_shp.zip,,,,,District of North Vancouver,http://geoweb.dnv.org/data/metadata.php?dataset=RegZoning,Contains information licensed under the Open Government Licence - North Vancouver.,,,,,
BC,Victoria,Many,http://opendata.victoria.ca/datasets/arts-and-culture-facilities-ocp,,https://opendata.arcgis.com/datasets/b8aaa451b784440db8df591066504326_6.csv?outSR=%7B%22latestWkid%22%3A3157%2C%22wkid%22%3A3157%7D,https://opendata.arcgis.com/datasets/b8aaa451b784440db8df591066504326_6.kml?outSR=%7B%22latestWkid%22%3A3157%2C%22wkid%22%3A3157%7D,,,Victoria,http://opendata.victoria.ca/pages/open-data-licence,Contains information licensed under the Open Government Licence – City of Victoria.,,,,,
BC,Kelowna,Many,http://opendata.kelowna.ca/datasets/business-license/data,,https://opendata.arcgis.com/datasets/f2c521d63ecc46e3a704f38ad79fbbbc_8.csv?outSR=%7B%22latestWkid%22%3A26911%2C%22wkid%22%3A26911%7D,https://opendata.arcgis.com/datasets/f2c521d63ecc46e3a704f38ad79fbbbc_8.kml?outSR=%7B%22latestWkid%22%3A26911%2C%22wkid%22%3A26911%7D,,,Kelowna,http://apps.kelowna.ca/images/opendata/opengovernmentlicence.pdf,Contains information licensed under the Open Government Licence – City of Kelowna.,,,,,
BC,Kamloops,Many,http://mydata-kamloops.opendata.arcgis.com/datasets/recreation-entertainment/data,,,,,,Kamloops,https://www.kamloops.ca/node/29807,Contains information licensed under the Open Government Licence - Kamloops,,,,,
BC,Kamloops,Many,http://mydata-kamloops.opendata.arcgis.com/datasets/public-services?page=13,,https://opendata.arcgis.com/datasets/7dc0af522979425f97e7a1e625aab439_19.csv?outSR=%7B%22latestWkid%22%3A3157%2C%22wkid%22%3A3157%7D,https://opendata.arcgis.com/datasets/7dc0af522979425f97e7a1e625aab439_19.kml?outSR=%7B%22latestWkid%22%3A3157%2C%22wkid%22%3A3157%7D,,,Kamloops,https://www.kamloops.ca/node/29807,Contains information licensed under the Open Government Licence - Kamloops,,,,,
BC,Kamloops,Many,http://mydata-kamloops.opendata.arcgis.com/datasets/arts-education,,https://opendata.arcgis.com/datasets/2aa38b5978eb42fd9ecf0b82d8b8bcec_14.csv?outSR=%7B%22latestWkid%22%3A3157%2C%22wkid%22%3A3157%7D,https://opendata.arcgis.com/datasets/2aa38b5978eb42fd9ecf0b82d8b8bcec_14.kml?outSR=%7B%22latestWkid%22%3A3157%2C%22wkid%22%3A3157%7D,,,Kamloops,https://www.kamloops.ca/node/29807,Contains information licensed under the Open Government Licence - Kamloops,,,,,
BC,Township of Langley,Many,https://data-tol.opendata.arcgis.com/datasets/facilities/data?page=2,,https://opendata.arcgis.com/datasets/85b5e3e40a6b47068c6bd37de4503617_0.csv?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,https://opendata.arcgis.com/datasets/85b5e3e40a6b47068c6bd37de4503617_0.kml?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,,,Township of Langley,https://www.tol.ca/connect/talk-to-us/freedom-of-information/open-data-license/,Contains information licensed under the Open Government License – Township of Langley.,,,,,
BC,Township of Langley,Many,https://data-tol.opendata.arcgis.com/datasets/business-licenses,,https://opendata.arcgis.com/datasets/c80ce8a03364426aa301ca888f149272_0.csv?outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,https://opendata.arcgis.com/datasets/c80ce8a03364426aa301ca888f149272_0.kml?outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,,,Township of Langley,https://www.tol.ca/connect/talk-to-us/freedom-of-information/open-data-license/,Contains information licensed under the Open Government License – Township of Langley.,,,,,
BC,White Rock,Museum,http://data.whiterockcity.ca/dataset/museum,http://wroms.whiterockcity.ca/opendata/GIS/Data/Spatial/Landbase/KML/Museum.kmz,,,,,White Rock,,,,,,,
BC,Nanaimo,Many,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/BusinessLicences#,,https://www.nanaimo.ca/open-data-catalogue/Download/Index?container=nanaimo&entitySetName=BusinessLicences&downloadID=127,https://www.nanaimo.ca/open-data-catalogue/Download/Index?container=nanaimo&entitySetName=BusinessLicences&downloadID=127,,,Nanaimo,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,Contains information licenced under the Open Government Licence – Nanaimo.,,,,,
BC,Nanaimo,Many,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/CulturalMap#,,,,,,Nanaimo,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,Contains information licenced under the Open Government Licence – Nanaimo.,,,,,
BC,Nanaimo,Many,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/Facilities#,https://www.nanaimo.ca/facilities/KML,,,,,Nanaimo,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,Contains information licenced under the Open Government Licence – Nanaimo.,,,,,
BC,Chilliwack,Many,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=viewItem&odID=130,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=CSV&odID=130,,,,,Chilliwack,https://www.chilliwack.com/main/page.cfm?id=2391,Contains information made available from the City of Chilliwack under an open data license.,,,,,
BC,Maple Ridge,Many,https://opengov.mapleridge.ca/datasets/facilities-and-attractions,,https://opendata.arcgis.com/datasets/c64070e12e6a475f99444f8b7ce17800_7.csv?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,https://opendata.arcgis.com/datasets/c64070e12e6a475f99444f8b7ce17800_7.kml?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,,,Maple Ridge,http://opengov.mapleridge.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence – Maple Ridge,,,,,
BC,Maple Ridge,Many,https://opengov.mapleridge.ca/datasets/business-licences/data,,https://opendata.arcgis.com/datasets/cf1043e267d04cabbead7970832e4f9a_2.csv?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,https://opendata.arcgis.com/datasets/cf1043e267d04cabbead7970832e4f9a_2.kml?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,,,Maple Ridge,http://opengov.mapleridge.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence – Maple Ridge,,,,,
BC,New Westminster,Arts,http://opendata.newwestcity.ca/datasets/artists,,http://opendata.newwestcity.ca/downloads/artists/ARTISTS.csv,http://opendata.newwestcity.ca/downloads/artists/ARTISTS.kml,,,New Westminster,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,,,,
BC,New Westminster,Many,http://opendata.newwestcity.ca/datasets/business-license-active-resident,,http://opendata.newwestcity.ca/downloads/business-license-active-resident/BL_RESIDENT.CSV,http://opendata.newwestcity.ca/downloads/business-license-active-resident/BL_RESIDENT.kml,,,New Westminster,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,,,,
BC,New Westminster,Cultural buildings,http://opendata.newwestcity.ca/datasets/cultural-buildings,,http://opendata.newwestcity.ca/downloads/cultural-buildings/CULTURAL_BUILDINGS.csv,http://opendata.newwestcity.ca/downloads/cultural-buildings/CULTURAL_BUILDINGS.kml,,,New Westminster,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,,,,
BC,New Westminster,Creative industries,http://opendata.newwestcity.ca/datasets/creative-industries,,http://opendata.newwestcity.ca/downloads/creative-industries/CREATIVE_INDUSTRIES.csv,http://opendata.newwestcity.ca/downloads/creative-industries/CREATIVE_INDUSTRIES.kml,,,New Westminster,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,,,,
BC,New Westminster,Cultural organizations,http://opendata.newwestcity.ca/datasets/cultural-organizations,,http://opendata.newwestcity.ca/downloads/cultural-organizations/CULTURAL_ORGANIZATIONS.csv,http://opendata.newwestcity.ca/downloads/cultural-organizations/CULTURAL_ORGANIZATIONS.kml,,,New Westminster,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,,,,
BC,New Westminster,Cultural venues,http://opendata.newwestcity.ca/datasets/cultural-venues,,http://opendata.newwestcity.ca/downloads/cultural-venues/VENUES.csv,http://opendata.newwestcity.ca/downloads/cultural-venues/VENUES.kml,,,New Westminster,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,,,,
BC,Port Moody,Many,https://data.portmoody.ca/datasets/9a77a2f934144cdebb72c0f179a59e36_104/data,,https://opendata.arcgis.com/datasets/9a77a2f934144cdebb72c0f179a59e36_104.csv,https://opendata.arcgis.com/datasets/9a77a2f934144cdebb72c0f179a59e36_104.kml,,,Port Moody,http://www.portmoody.ca/index.aspx?page=1354,Contains information licensed under the Open Government Licence – Port Moody,,,,,
BC,Port Moody,Many,https://data.portmoody.ca/datasets/b82634bcf4b247cebaa3096a487ba6f8_0,,https://opendata.arcgis.com/datasets/b82634bcf4b247cebaa3096a487ba6f8_0.csv,https://opendata.arcgis.com/datasets/b82634bcf4b247cebaa3096a487ba6f8_0.kml,,,Port Moody,http://www.portmoody.ca/index.aspx?page=1354,Contains information licensed under the Open Government Licence – Port Moody,,,,,
BC,Prince George,Many,https://data-cityofpg.opendata.arcgis.com/datasets/business-license,,https://opendata.arcgis.com/datasets/d6249e4996084b39bb65268382d99d2e_0.csv?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,https://opendata.arcgis.com/datasets/d6249e4996084b39bb65268382d99d2e_0.kml?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,,,Prince George,http://pgmap.princegeorge.ca/opendata/CityofPrinceGeorge_Open_Government_License_Open_Data.pdf,Containsinformation licensed under the Open Government License – City of Prince George,,,,,
BC,Surrey,POI,https://data.surrey.ca/dataset/places-of-interest,,http://data.surrey.ca/dataset/3cd9a93e-0132-4082-ab54-0b0dbf6fcad2/resource/94900a32-8613-4b16-89c4-f1c65375e4b7/download/placesofinterest.csv,http://data.surrey.ca/dataset/3cd9a93e-0132-4082-ab54-0b0dbf6fcad2/resource/94900a32-8613-4b16-89c4-f1c65375e4b7/download/placesofinterest.kml,,,Surrey,http://data.surrey.ca/pages/open-government-licence-surrey,Contains information licensed under the Open Government License – City of Surrey.,,,,,
BC,Surrey,Cultural businesses,https://data.surrey.ca/dataset/cultural-businesses,,http://data.surrey.ca/dataset/10cdf066-0ff8-401d-9685-17aed6aba783/resource/5c268421-cf04-4037-93bd-841af5e81a1b/download/qsustainabilitycharter-implementationdashboarddata-sheets--open-datacsv-files-consolidated-for-ckanc,http://data.surrey.ca/dataset/10cdf066-0ff8-401d-9685-17aed6aba783/resource/5c268421-cf04-4037-93bd-841af5e81a1b/download/qsustainabilitycharter-implementationdashboarddata-sheets--open-datakml-files-consolidated-for-ckanc,,,Surrey,http://data.surrey.ca/pages/open-government-licence-surrey,Contains information licensed under the Open Government License – City of Surrey.,,,,,
BC,Campbell River,POI,https://data-crcc.opendata.arcgis.com/datasets/847147a51b5a4dc297cd5d21f9fd3c23_0/data,,https://opendata.arcgis.com/datasets/847147a51b5a4dc297cd5d21f9fd3c23_0.csv?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,https://opendata.arcgis.com/datasets/847147a51b5a4dc297cd5d21f9fd3c23_0.kml?outSR=%7B%22latestWkid%22%3A26910%2C%22wkid%22%3A26910%7D,,,Campbell River,,,,,,,
MB,Winnipeg,Many,https://data.winnipeg.ca/Recreation/Recreation-Complex/xuqw-wemm,,https://data.winnipeg.ca/api/views/xuqw-wemm/rows.csv?accessType=DOWNLOAD,https://data.winnipeg.ca/api/views/xuqw-wemm/rows.kml?accessType=DOWNLOAD,,,Winnipeg,https://data.winnipeg.ca/stories/s/Open-Data-Licence/rwzh-4ijx/,Contains information licensed under the Open Government Licence – Winnipeg,,,,,
NB,Moncton,POI,http://open.moncton.ca/datasets/points-of-interest/data,,https://opendata.arcgis.com/datasets/f13ec4ddadde46f6b0875047b13ec333_0.csv?outSR=%7B%22latestWkid%22%3A2953%2C%22wkid%22%3A2036%7D,https://opendata.arcgis.com/datasets/f13ec4ddadde46f6b0875047b13ec333_0.kml?outSR=%7B%22latestWkid%22%3A2953%2C%22wkid%22%3A2036%7D,,,Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,,,,,,
NB,Moncton,Cultural assets,http://open.moncton.ca/datasets/cultural-assets,,https://opendata.arcgis.com/datasets/4676b60c204542449c4a17af073040fe_0.csv?outSR=%7B%22latestWkid%22%3A2953%2C%22wkid%22%3A2036%7D,https://opendata.arcgis.com/datasets/4676b60c204542449c4a17af073040fe_0.kml?outSR=%7B%22latestWkid%22%3A2953%2C%22wkid%22%3A2036%7D,,,Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,,,,,,
NB,Saint John,Galleries,http://catalogue-saintjohn.opendata.arcgis.com/datasets/art-galleries?geometry=-66.104%2C45.268%2C-65.989%2C45.289,,https://opendata.arcgis.com/datasets/52d175fa001e49a69c21b63ff4dfbb77_0.csv?outSR=%7B%22latestWkid%22%3A2953%2C%22wkid%22%3A2036%7D,https://opendata.arcgis.com/datasets/52d175fa001e49a69c21b63ff4dfbb77_0.kml?outSR=%7B%22latestWkid%22%3A2953%2C%22wkid%22%3A2036%7D,,,Saint John,https://ago-item-storage.s3.us-east-1.amazonaws.com/2b0da92076ce4cf48cda63a86fdc316f/Open_Data_Policy-2015-v.01-MAR-02.pdf?X-Amz-Security-Token=AgoJb3JpZ2luX2VjEL3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQD%2BGcaR5MOqHKo3L4A20x9Tq7BgSLu8KGBwIiqxzFvZlQIhAIZfZLco%2FkqvGyXlU9eEdaa1%2FGDGhjCwIVIIkFkZ32ToKtoDCGUQABoMNjA0NzU4MTAyNjY1Igx3sb%2BuDpx87jeBQigqtwP5t%2BS7xYLnACS577ZqQG6dkfXeyC2VdaAs2ndZMljVoF8mSfQg0QkLg4wkKdFxNnLQ7YQ5nxFknRCfH6SIDvE%2F%2FC%2BNAw8cCVB0xJI%2FBlVXUp6MmYN8P7UC8zS1ZIF58Zo2Un1oymrXWXbc0jQfoxtE%2BWtUyCArHDJpEle0Ce5YKoPHa%2F8nx%2BGs%2BZbARhDvAPVJADAcck%2BjsJm38I5FaeSW%2FVdmb5Pzn0IJTidAtqcGPuxiH9nDWgigb2xUF5QB4T1omd6VoRLsURgrwwGi5KE919yX5HiRLxJ6ottIYTCl7T30h6a6n131z2FgO41dl%2FQhz%2FlBW4WBHz4SmzV2nJHBjAgv4PwrhUVPm3GUhu%2FfS3uPvC5sp5UPLarJz5zzASUv4q8djXKAlMxJyIOAmAhGQhYvGcFclCbINLHwsYQOwTGI1xzLjnbUZLYYyje03yNIpRQxQuyJRovelKU96x0rGYZNo28JEDvJn6zgIOzBpHdAOj%2FSPRf3P1kL1q02fSFoTvvt8ZJjltMIGcmY6DWd8Cq4goMjtykMFcb39FzT7cHiW5793x81XCK%2FpcW46rp%2BWoYXT8PmMNKhlusFOrMBLE45LbXGrHOk%2F9RWkEVqAa6QBIvsjPA9%2FIhMhAo2ZIpjsaJBz2VvZvsoB%2BC70TV%2Fs4GO5QNEfs24IL9Ei2IQqTPy0Av5EgWZzzLrITWuc3qWiwozEeAhwKdOl4blXDU5Jgpc2%2BCyPP3U6B32chztVQ9Wc0Lj9YFAS%2B2MvtsJHHhS4JZrGgsfbLn%2BKdMinzMDh88V6zQLZ3gkwFx09oVqawYTT7ep566PZVTt0JG84UY9984%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190827T213225Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEUSDO7WEY%2F20190827%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=42c6a5f3ac5581899257f0521e7c6d0cb8ecef07ed56cb5bc88456bb2bfb6f9a,Contains information licensed under the Open Government Licence – City of Saint John,,,,,
