X,Y,ObjectId,Regional_Health_Authority,Community,Facility,Facility_Key,Facility_Label,Address,Postal_Code,Phone_Number,Proprietary_Status,Language,Beds,Status_of_Licence,Owner_Operator,Website,Latitude,Longitude
-11208759.528,6652467.5754,13,Prairie Mountain Health,Hamiota,Birch Lodge Personal Care Home,Birch,Birch Lodge PCH,177 Birch Avenue,R0M 0T0,(204) 764-2412,Non-Proprietary,English,30,Unencumbered,Prairie Mountain Health,,51.1759,-100.69
-10910234.0495,6360524.9847,14,Southern Health-Santé Sud,Carman,Boyne Lodge Personal Care Home,Boyne,Boyne Lodge PCH,"120 - 4th Avenue South West
",R0G 0J0,(204) 745-6715,Non-Proprietary,English,70,Unencumbered,Southern Health-Santé Sud,http://boynelodge.ca/,49.5023,-98.0083
-11187386.1857,6307536.8609,15,Prairie Mountain Health,Deloraine  ,Bren-Del-Win Lodge,Brendelwin,Bren-Del-Win Lodge,103 Kellet Street South,R0M 0M0,(204) 747-1826,Non-Proprietary,English,30,Unencumbered,Prairie Mountain Health,,49.1922,-100.498
-10818451.1294,6428785.4766,16,Winnipeg,Downtown,Calvary Place Personal Care Home,Calvary,Calvary Place PCH,1325 Erin Street,R3E 3R6,(204) 943-4424,Non-Proprietary,English ,100,Unencumbered ,3885136 Manitoba Association Inc.,http://calvaryplacepch.ca/,49.8989,-97.1838
-11060292.7231,6424155.2067,17,Prairie Mountain Health,Carberry,Carberry Personal Care Home,Carberry,Carberry PCH,340 Toronto Street,R0K 0H0,(204) 834-2144,Non-Proprietary,English,36,Unencumbered,Prairie Mountain Health,,49.8721,-99.3563
-10830629.4816,6422186.3933,18,Winnipeg,Assiniboine South,Charleswood Care Centre,Charleswood,Charleswood CC,5501 Roblin Boulevard,R3R 0G8,(204) 888-3363,Proprietary,English ,155,Unencumbered ,AXR Joint Venture Limited Partnership,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/charleswood,49.8607,-97.2932
-10805025.9988,6431188.01,19,Winnipeg,River East,Concordia Place ,Concordia,Concordia Place ,1000 Molson Street,R2K 4L5,(204) 661-7372,Non-Proprietary,English ,140,Unencumbered ,Concordia Hospital,https://concordiaplace.ca/,49.9128,-97.0632
-11075242.9307,6484915.8595,20,Prairie Mountain Health,Neepawa,Country Meadows Personal Care Home,Country,Country Meadows PCH,500 Veterans Way,R0J 1H0,(204) 476-2383,Non-Proprietary,English,100,Unencumbered,Prairie Mountain Health,,50.2226,-99.4906
-11283566.2258,6661670.481,21,Prairie Mountain Health,Roblin,Crocus Court Personal Care Home,Crocus,Crocus Court PCH,15 Hospital Street,R0L 1P0,(204) 937-2149,Non-Proprietary,English,60,Unencumbered,Prairie Mountain Health,,51.2277,-101.362
-11138739.5683,6647497.3362,22,Prairie Mountain Health,Dauphin ,Dauphin Personal Care Home,Dauphin,Dauphin PCH,625 - 3rd Street South West,R7N 1R7,(204) 638-3010,Non-Proprietary,English,90,Unencumbered,Prairie Mountain Health,,51.1479,-100.061
-10824195.2151,6425243.4346,23,Winnipeg,Saint James,Deer Lodge Centre,Deer,Deer Lodge Centre,2109 Portage Avenue,R3J 0L3,(204) 837-1301,Non-Proprietary,English ,208,Unencumbered ,Winnipeg Regional Health Authority c.o.b Deer Lodge Centre,https://deerlodge.mb.ca/,49.8784,-97.2354
-11187386.1857,6307451.6927,24,Prairie Mountain Health,Deloraine  ,Delwynda Court Personal Care Home,Delwynda,Delwynda Court PCH,109 Kellett Street South,R0M 0M0,(204) 747-2754,Non-Proprietary,English,16,Unencumbered,Prairie Mountain Health,,49.1917,-100.498
-11125971.2227,6418888.8081,25,Prairie Mountain Health,Brandon,Dinsdale Personal Care Home,Dinsdale,Dinsdale PCH,510 - 6th Street,R7A 3N9,(204) 727-3636,Non-Proprietary,English,60,Unencumbered,The Governing Council of the Salvation Army in Canada,https://dinsdalepch.ca/,49.8416,-99.9463
-10806695.7911,6436877.3427,26,Winnipeg,River East,Donwood Manor Personal Care Home Inc.,Donwood,Donwood Manor PCH Inc.,171 Donwood Drive,R2G 0V9,(204) 668-4410,Non-Proprietary,English ,121,Unencumbered ,Donwood Manor Personal Care Home Inc.,https://donwoodmanor.org/,49.9457,-97.0782
-10940368.2357,6440822.382,27,Southern Health-Santé Sud,Portage la Prairie,Douglas Campbell Lodge,Douglas,Douglas Campbell Lodge,"150 - 9th Street South East
  ",R1N 3T6,(204) 239-6006,Non-Proprietary,English,60,Unencumbered,Southern Health-Santé Sud,https://www.portagehospitalfoundation.ca/facilities/douglas-campbell-lodge/,49.9685,-98.279
-11078493.4598,6631541.9599,28,Prairie Mountain Health,Ste. Rose du Lac,Dr Gendreau Personal Care Home,Gendreau,Dr Gendreau PCH,515 Mission Street,R0L 1S0,(204) 447-2019,Non-Proprietary,Bilingual,65,Unencumbered,Dr Gendreau Memorial Personal Care Home Incorporated,,51.0579,-99.5198
-10743844.8066,6455632.9471,29,Interlake-Eastern,Beausejour,East-Gate Lodge Personal Care Home,Eastgate,East-Gate Lodge PCH,646 James Avenue,R0E 0C0,(204) 268-1029,Non-Proprietary,English,80,Unencumbered,Interlake Eastern Regional Health Authority,,50.054,-96.5136
-10859227.4588,6293121.6187,30,Southern Health-Santé Sud,Altona,Eastview Place,Eastview,Eastview Place,"240-6th Avenue North East
  ",R0G 0B0,(204) 324-6411,Non-Proprietary,English,65,Unencumbered,Southern Health-Santé Sud,,49.1075,-97.5501
-11269206.0115,6442103.1912,31,Prairie Mountain Health,Elkhorn,Elkwood Manor,Elkwood,Elkwood Manor,12 Antrim Street,R0M 0N0,(204) 845-2575,Non-Proprietary,English,24,Unencumbered,Prairie Mountain Health,,49.9759,-101.233
-10822035.617,6275726.8016,32,Southern Health-Santé Sud,Emerson,Emerson Health Centre,Emerson,Emerson HC,"26 Main Street
 ",R0A 0L0,(204) 373-2109,Non-Proprietary,English,20,Unencumbered,Southern Health-Santé Sud,,49.0051,-97.216
-11121819.0057,6532604.0616,33,Prairie Mountain Health,Erickson,Erickson & District Health Centre,Erickson,Erickson & District HC,60 Queen Elizabeth Road,R0J 0P0,(204) 636-7777,Non-Proprietary,English,16,Unencumbered,Prairie Mountain Health,,50.4959,-99.909
-10920931.8526,6597430.8002,34,Interlake-Eastern,Eriksdale,Eriksdale Personal Care Home,Eriksdale,Eriksdale PCH,40 Railway Avenue,R0C 0W0,(204) 739-4416,Non-Proprietary,English,20,Unencumbered,Interlake Eastern Regional Health Authority,,50.8649,-98.1044
-11138628.2488,6313228.0504,35,Prairie Mountain Health,Boissevain,Evergreen Personal Care Home,Evergreen,Evergreen PCH,305 Mill Road,R0K 0E0,(204) 534-2451,Non-Proprietary,English,20,Unencumbered,Prairie Mountain Health,,49.2256,-100.06
-10827512.5359,6426625.5159,36,Winnipeg,Saint James,Extendicare Oakview Place,Oakview,Extendicare Oakview Place,2395 Ness Avenue,R3J 1A5,(204) 888-3005,Proprietary,English ,245,Unencumbered ,Extendicare Canada Inc.,http://www.extendicareoakviewplace.com/,49.8864,-97.2652
-10821723.9224,6423084.3909,37,Winnipeg,Assiniboine South,Extendicare Tuxedo Villa,Tuxedo,Extendicare Tuxedo Villa,2060 Corydon Avenue,R3P 0N3,(204) 889-2650,Proprietary,English ,213,Unencumbered ,Extendicare Canada Inc.,http://www.extendicaretuxedovilla.com/,49.8659,-97.2132
-10809857.2647,6415178.4249,38,Winnipeg,Saint Vital,Extendicare Vista Park Lodge,Vista,Extendicare Vista Park Lodge,144 Novavista Drive,R2N 1P8,(204) 257-6688,Proprietary,English ,100,Unencumbered ,Vista Park Developments Limited (a subsidiary of Extendicare (Canada) Inc.),http://www.extendicarevistaparklodge.com/,49.8201,-97.1066
-11126884.0425,6416696.894,39,Prairie Mountain Health,Brandon,Fairview Home ,Fairview,Fairview Home ,1351 - 13th Street,R7A 4S6,(204) 578-2600,Non-Proprietary,English,248,Unencumbered,Prairie Mountain Health,,49.8289,-99.9545
-10866641.3369,6635722.8106,40,Interlake-Eastern,Fisher Branch,Fisher Personal Care Home,Fisher,Fisher PCH,7 Chalet Drive ,R0C 0Z0,(204) 372-8703,Non-Proprietary,English,30,Unencumbered,Interlake Eastern Regional Health Authority,,51.0815,-97.6167
-11340895.7635,7316467.5177,41,Northern,Flin Flon,Flin Flon Personal Care Home,Flinflon,Flin Flon PCH,50 Church Street,R8A 1N2,(204) 687-9630,Non-Proprietary,English,30,Unencumbered,Northern Regional Health Authority ,,54.7654,-101.877
-10971181.4707,6365617.5372,42,Southern Health-Santé Sud,Notre Dame de Lourdes,Foyer Notre Dame,Foyer,Foyer Notre Dame,"40 Rogers Street
  ",R0G 1M0,(204) 248-2092,Non-Proprietary,Bilingual,60,Unencumbered,Southern Health-Santé Sud,,49.532,-98.5558
-10817538.3095,6434092.7159,43,Winnipeg,Inkster,Fred Douglas Lodge,Fred,Fred Douglas Lodge,1275 Burrows Avenue,R2X 0B8,(204) 586-8541,Non-Proprietary,English ,136,Unencumbered ,Fred Douglas Society Inc.,https://www.freddouglassociety.com/pch/,49.9296,-97.1756
-11185827.7129,6647852.2533,44,Prairie Mountain Health,Gilbert Plains,Gilbert Plains Health Centre,Gilbert,Gilbert Plains HC,100 Cuthforth Street North,R0L 0X0,(204) 548-2161,Non-Proprietary,English,30,Unencumbered,Prairie Mountain Health,http://www.gilbertplains.com/,51.1499,-100.484
-11052444.699,6370352.7848,45,Prairie Mountain Health,Glenboro,Glenboro Personal Care Home,Glenboro,Glenboro PCH,219 Murray Avenue,R0K 0X0,(204) 827-2438,Non-Proprietary,English,20,Unencumbered,Prairie Mountain Health,,49.5596,-99.2858
-10815122.6766,6416593.3533,46,Winnipeg,Fort Garry,Golden Door Geriatric Centre,Goldendoor,Golden Door Geriatric Centre,1679 Pembina Highway,R3T 2G6,(204) 269-6308,Proprietary,English ,78,Unencumbered ,Pembina Care Services Limited,http://www.goldendoor.ca/,49.8283,-97.1539
-10810992.7235,6412038.8308,47,Winnipeg,Saint Vital,Golden Links Lodge,Goldenlinks,Golden Links Lodge,2280 Saint Mary's Road,R2N 3Z6,(204) 257-9947,Non-Proprietary,English ,88,Unencumbered ,Oddfellows and Rebekahs Personal Care Home Inc.,http://www.goldenlinks.mb.ca/,49.8019,-97.1168
-10830039.4883,6427022.9066,48,Winnipeg,Saint James,Golden West Centennial Lodge,Goldenwest,Golden West Centennial Lodge,811 School Road,R2Y 0S8,(2040 888-3311,Non-Proprietary,English ,116,Unencumbered ,The Governing Council of the Salvation Army in Canada,https://www.goldenwestlodge.ca/,49.8887,-97.2879
-10826365.9452,6513551.6845,49,Interlake-Eastern,Teulon,Goodwin Lodge Personal Care Home,Goodwin,Goodwin Lodge PCH,162 - 3rd Avenue Southeast,R0C 3B0,(204) 886-2108 ,Non-Proprietary,English,20,Unencumbered,Interlake Eastern Regional Health Authority,,50.3869,-97.2549
-11209316.1254,6652378.7946,50,Prairie Mountain Health,Grandview,Grandview Personal Care Home,Grandview,Grandview PCH,308 Jackson Street,R0L 0Y0,(204) 546-2769,Non-Proprietary,English,39,Unencumbered,Prairie Mountain Health,,51.1754,-100.695
-11190614.451,6357457.2286,51,Prairie Mountain Health,Hartney,Hartney Community Health Centre,Hartney,Hartney Community HC,617 River Avenue,R0M 0X0,(204) 858-2054,Non-Proprietary,English,20,Unencumbered,Prairie Mountain Health,,49.4844,-100.527
-10803222.623,6377769.8527,52,Southern Health-Santé Sud,Niverville,Heritage Life Personal Care Home,Heritagelife,Heritage Life PCH,"100A Heritage Trail
 ",R0A 0A1,(204) 388-5000,Non-Proprietary,English,80,Unencumbered,Niverville Heritage PCH Inc.,http://heritagecentre.ca/personal-care-home/,49.6028,-97.047
-10832221.3504,6426089.9322,53,Winnipeg,Saint James,Heritage Lodge ,Heritagelodge ,Heritage Lodge ,3555 Portage Avenue,R3K 0X2,(204) 888-7940,Proprietary,English ,86,Unencumbered ,AXR Joint Venture Limited Partnership,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/heritage-lodge,49.8833,-97.3075
-11129054.7726,6417784.1495,54,Prairie Mountain Health,Brandon,Hillcrest Place Personal Care Home,Hillcrest,Hillcrest Place PCH,930 26th Street,R7B 2B8,(204) 728-6690,Proprietary,English,100,Unencumbered,Extendicare Canada Inc.,http://www.extendicarehillcrestplace.com/,49.8352,-99.974
-10812495.5366,6431862.2266,55,Winnipeg,Point Douglas,Holy Family Home,Holy,Holy Family Home,165 Aberdeen Avenue,R2W 1T9,(204) 589-7381,Non-Proprietary,English ,276,Unencumbered ,Holy Family Home Inc.,https://www.holyfamilyhome.mb.ca/,49.9167,-97.1303
-10806083.5339,6438901.5374,56,Winnipeg,River East,Kildonan Personal Care Centre,Kildonan,Kildonan Personal CC,1970 Henderson Highway,R2G 1P2,(204) 334-4633,Proprietary,English ,120,Unencumbered ,AXR Joint Venture Limited Partnership,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/kildonan,49.9574,-97.0727
-10780279.676,6436669.7608,57,Interlake-Eastern,Oakbank,Kin Place Personal Care Home,Kinplace,Kin Place PCH,680 Pine Drive,R5N 0P8,(204) 444-2004,Non-Proprietary,English,40,Unencumbered,Interlake Eastern Regional Health Authority,,49.9445,-96.8409
-10693439.3412,6490293.8707,58,Interlake-Eastern,Lac du Bonnet,Lac du Bonnet Personal Care Home,Lacdubonnet,Lac du Bonnet PCH,75 McIntosh Street,R0E 1A0,(204) 345-1222,Non-Proprietary,English,30,Unencumbered,Interlake Eastern Regional Health Authority,,50.2535,-96.0608
-10815757.1977,6427092.02,59,Winnipeg,Downtown,Lions Personal Care Centre,Lions ,Lions Personal CC,320 Sherbrook Street,R3B 2W6,(204) 784-1240,Non-Proprietary,English ,116,Unencumbered ,LHC Personal Care Home,http://lhc.ca/services/long-term-care/lions-personal-care-centre/,49.8891,-97.1596
-10940178.9925,6441393.5293,60,Southern Health-Santé Sud,Portage la Prairie,Lions Prairie Manor,Lionsprairie,Lions Prairie Manor,"24 - 9th Street South East
  ",R1N 3V4,(204) 857-7864,Non-Proprietary,English,136,Unencumbered,Southern Health-Santé Sud,,49.9718,-98.2773
-10913595.8981,6567466.3355,61,Interlake-Eastern,Lundar,Lundar Personal Care Home,Lundar,Lundar PCH,97 1st Street South,R0C 1Y0 ,(204) 762-5663,Non-Proprietary,English,20,Unencumbered,Interlake Eastern Regional Health Authority,,50.6947,-98.0385
-10811682.9043,6436773.5511,62,Winnipeg,Seven Oaks,Luther Home,Luther,Luther Home,1081 Andrews Street ,R2V 2G9,(204) 338-4641,Non-Proprietary,English ,80,Unencumbered ,Luther Home,https://www.lutherhome.com/,49.9451,-97.123
-10995694.0226,6439801.3374,63,Southern Health-Santé Sud,MacGregor,MacGregor Personal Care Home,MacGregor,MacGregor PCH,"87 Grafton Street South
 ",R0H 0R0,(204) 685-2850,Non-Proprietary,English,20,Unencumbered,Southern Health-Santé Sud,,49.9626,-98.776
-10818439.9974,6439403.3369,64,Winnipeg,Seven Oaks,Maples Personal Care Home,Maples,Maples PCH,500 Mandalay Drive,R2P 1V4,(204) 632-8570,Proprietary,English ,200,Under Review,AXR Joint Venture Limited Partnership,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/maples,49.9603,-97.1837
-11074764.2569,6581114.6349,65,Prairie Mountain Health,McCreary,McCreary/Alonsa Personal Care Home ,McCreary,McCreary/Alonsa PCH ,613 Provincial Trunk Highway 50,R0J 1B0,(204) 835-2482,Non-Proprietary,English,20,Unencumbered,Prairie Mountain Health,,50.7723,-99.4863
-10807975.9653,6417715.1132,66,Winnipeg,Saint Vital,Meadowood Manor,Meadowood,Meadowood Manor,577 Saint Anne's Road,R2M 5B2,(204) 257-2394,Non-Proprietary,English ,88,Unencumbered ,"Manitoba Baptist Home Society, Inc.",http://www.meadowoodmanor.ca/,49.8348,-97.0897
-11242711.9727,6320987.2114,67,Prairie Mountain Health,Melita,Melita Personal Care Home,Melita,Melita PCH,147 Summit Street,R0M 1L0,(204) 522-8197,Non-Proprietary,English,20,Unencumbered,Prairie Mountain Health,,49.2711,-100.995
-10782595.1214,6343999.7807,68,Southern Health-Santé Sud,Grunthal,Menno Home for the Aged,Menno,Menno Home for the Aged,"235 Park Street
  ",R0A 0R0,(204) 434-6496,Non-Proprietary,English,40,Unencumbered,"Menno Home for the Aged, Grunthal, Man.",,49.4058,-96.8617
-10805092.7905,6442639.8049,69,Winnipeg,Seven Oaks,Middlechurch Home of Winnipeg,Middlechurch,Middlechurch Home of Winnipeg,280 Balderstone Road ,R4A 4A6,(204) 339-1947,Non-Proprietary,English ,197,Unencumbered ,The Middlechurch Home of Winnipeg Inc.,https://middlechurchhome.mb.ca/,49.979,-97.0638
-11114538.711,6488988.2078,70,Prairie Mountain Health,Minnedosa,Minnedosa Personal Care Home,Minnedosa,Minnedosa PCH,138 - 3rd Avenue South West,R0J 1E0,(204) 867-2569,Non-Proprietary,English,50,Unencumbered,Prairie Mountain Health,,50.246,-99.8436
-10815645.8782,6425502.5574,71,Winnipeg,Downtown,Misericordia Place,Misericordia,Misericordia Place,44 Furby Street,R3C 2A1,(204) 774-6581,Non-Proprietary,English ,100,Unencumbered ,Misericordia General Hospital,https://misericordia.mb.ca/programs/long-term-care/misericordia-place/,49.8799,-97.1586
-11198072.8569,6522548.0279,72,Prairie Mountain Health,Shoal Lake,Morley House Personal Care Home,Morley,Morley House PCH,524 Mary Street,R0J 1Z0,(204) 759-2336,Non-Proprietary,English,40,Unencumbered,Prairie Mountain Health,,50.4384,-100.594
-11008184.0695,7515318.0229,73,Northern,Nelson House,Nisichawayasihk Personal Care Home,Nisichawayasihk,Nisichawayasihk PCH,2 Otetiskiwin Drive,R0B 1A0,(204) 484-2350,Non-Proprietary,English,24,Under Review,Nisichawayasihk Personal Care Home,http://ncnpch.com/,55.7829,-98.8882
-11337556.1788,7318937.7057,74,Northern,Flin Flon,Northern Lights Manor,Northernlights,Northern Lights Manor,274 Bracken Street,R8A 1P4,(204) 687-7325,Non-Proprietary,English,36,Unencumbered,Northern Lights Manor,,54.7782,-101.847
-10893302.355,7505564.7098,75,Northern,Thompson,Northern Spirit Manor,Northernspirit,Northern Spirit Manor,879 Thompson Drive,R8N 0A9,(204) 778-3805,Non-Proprietary,English,35,Unencumbered,Northern Spirit Manor,,55.7336,-97.8562
-10795920.0644,6428992.8622,76,Winnipeg,Transcona,Park Manor Care,Park,Park Manor Care,301 Redonda Street ,R2C 1L7,(204) 222-3251,Non-Proprietary,English ,100,Unencumbered ,Park Manor Care Inc.,http://www.adventisthealth.ca/park-manor-care/,49.9001,-96.9814
-10814677.3986,6428457.1265,77,Winnipeg,Downtown,Parkview Place,Parkview,Parkview Place,440 Edmonton Street,R3B 2M4,(204) 942-5291,Proprietary,English ,261,Under Review,Revera Long Term Care Inc.,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/parkview-place,49.897,-97.1499
-10814054.0095,6424241.5688,78,Winnipeg,River Heights,Pembina Place Mennonite Personal Care Home,Pembina,Pembina Place Mennonite PCH,285 Pembina Highway,R3L 2E1,(204) 284-0802,Non-Proprietary,English ,57,Unencumbered ,Pembina Place Mennonite Personal Care Home ,https://bethania.ca/services/pembina-place-mennonite-pch/,49.8726,-97.1443
-10969879.0327,6315989.8331,79,Southern Health-Santé Sud,Manitou,Pembina-Manitou Health Centre,Pembinamanitou,Pembina-Manitou HC,"232 Carrie Street
",R0G 1G0,(204) 242-2744,Non-Proprietary,English,18,Unencumbered,Southern Health-Santé Sud,,49.2418,-98.5441
-10885699.2337,7169436.6523,80,Northern,Norway House,Pinaow Wachi Personal Care Home,Pinaowwachi,Pinaow Wachi PCH,Building 305 Rossville,R8N 1B0,(204) 359-6606,Non-Proprietary,English,26,Unencumbered,Pinaow Wachi Personal Care Home,,53.9962,-97.7879
-10823182.2077,6604541.8009,81,Interlake-Eastern,Arborg,Pioneer Health Services,Pioneer,Pioneer,233 Saint Phillips Drive,R0C 0A0,(204) 376-5226,Non-Proprietary,English,40,Unencumbered,Interlake Eastern Regional Health Authority,,50.9052,-97.2263
-10817393.5942,6420891.3746,82,Winnipeg,River Heights,Poseidon Care Centre,Poseidon,Poseidon CC,70 Poseidon Bay,R3M 3E5,(204) 452-6204,Proprietary,English ,218,Unencumbered ,Revera Long Term Care Inc.,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/poseidon,49.8532,-97.1743
-11009597.827,6309734.4994,83,Southern Health-Santé Sud,Pilot Mound ,Prairie View Lodge,Prairie,Prairie View Lodge,"Apartment 26 - 424 Broadway Avenue West
  ",R0G 1P0,(204) 825-2717,Non-Proprietary,English,30,Unencumbered,Prairie View Lodge,https://rocklakehealthdistrict.ca/prairie-view-lodge/,49.2051,-98.9009
-10785021.8863,6468576.9541,84,Interlake-Eastern,Selkirk  ,Red River Place ,Redriver ,Red River Place ,133 Manchester Avenue,R1A 0B5,(204) 482-3036,Proprietary,English,104,Unencumbered,Red River Manor Incorporated (a subsidiary of Extendicare (Canada) Inc.),http://www.extendicareredriverplace.com/,50.1286,-96.8835
-10838733.5406,6335057.2031,85,Southern Health-Santé Sud,Morris,Red River Valley Lodge,Redrivervalley,Red River Valley Lodge,"136 Ottawa Street West
 ",R0G 1K0,(204) 746-2394,Non-Proprietary,English,40,Unencumbered,Southern Health-Santé Sud,https://www.townofmorris.ca/residents/seniors-services/red-river-valley-lodge/,49.3535,-97.366
-10796855.1481,6350640.2012,86,Southern Health-Santé Sud,St. Pierre Jolys,Repos Jolys ,Reposjolys ,Repos Jolys ,"354 Prefontaine Avenue
",R0A 1V0,(204) 433-7443,Non-Proprietary,Bilingual,22,Unencumbered,Southern Health-Santé Sud,,49.4446,-96.9898
-10764160.6137,6364296.9488,87,Southern Health-Santé Sud,Steinbach  ,Rest Haven Nursing Home,Rest,Rest Haven Nursing Home,"185 Woodhaven Avenue
 ",R5G 1K7,(204) 326-2206,Non-Proprietary,English,60,Unencumbered,Rest Haven Nursing Home of Steinbach Inc.,"https://www.havengroup.ca/rest-haven.html#:~:text=Rest%20Haven%20Nursing%20Home%20had%20its%20beginnings%20in,care%20home%20licensed%20and%20funded%20by%20Manitoba%20Health.",49.5243,-96.6961
-11124323.6942,6419147.7336,88,Prairie Mountain Health,Brandon,Rideau Park Personal Care Home,Rideau,Rideau Park PCH,525 Victoria Avenue East,R7A 6S9,(204) 578-2670,Non-Proprietary,English,100,Unencumbered,Prairie Mountain Health,,49.8431,-99.9315
-10803957.3317,6432657.5264,89,Winnipeg,River East,River East Personal Care Home,Rivereast,River East PCH,1375 Molson Street,R2K 4K8,(204) 668-7460,Proprietary,English ,120,Unencumbered ,River East Personal Care Home Limited,http://www.rivereast.ca/,49.9213,-97.0536
-10807118.8052,6415696.0538,90,Winnipeg,Saint Vital,River Park Gardens,Riverpark,River Park Gardens,735 Saint Anne's Road,R2N 0C4,(204) 255-9073,Non-Proprietary,English ,80,Unencumbered ,Winnipeg Regional Health Authority ,,49.8231,-97.082
-11158777.0766,6452252.7784,91,Prairie Mountain Health,Rivers,Riverdale Personal Care Home,Riverdale,Riverdale PCH,512 Quebec Street,R0K 1X0,(204) 328-5321,Non-Proprietary,English,20,Unencumbered,Prairie Mountain Health,,50.0345,-100.241
-10811415.7375,6423602.5104,92,Winnipeg,River Heights,Riverview Health Centre,Riverview,Riverview HC,1 Morley Avenue,R3L 2P4,(204) 478-6203,Non-Proprietary,English ,257,Unencumbered ,Riverview HC Inc.,https://www.riverviewhealthcentre.com/,49.8689,-97.1206
-11009608.9589,6309615.233,93,Southern Health-Santé Sud,Pilot Mound  ,Rock Lake Health District Personal Care Home,Rock,Rock Lake Health District PCH,"Apartment 27 -115 Brown Street South
 ",R0G 1P0,(204) 825-2246,Non-Proprietary,English,24,Unencumbered,Rock Lake Personal Care Home Inc.,https://rocklakehealthdistrict.ca/rock-lake-personal-care-home/,49.2044,-98.901
