leave_blank,Province,filename,source_url,provider,lisence_url,region_type,facility_name,facility_type,health_authority,alternative_name,number_beds,active,longitude,latitude,address_str,street_no,street_name,street_addr,city,postal_code,province,phone,email,website,fax
,NL,NL_healthcare_facilities,https://opendata.gov.nl.ca/public/opendata/page/?page-id=datasetdetails&id=67,Province of Newfoundland and Labrador,https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,Provincial,,,,,,,,,,,,,,,,,,,
,NL,NL_hospital,https://opendata.gov.nl.ca/public/opendata/page/?page-id=datasetdetails&id=86,Province of Newfoundland and Labrador,https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,Provincial,,,,,,,,,,,,,,,,,,,
,NS,NS_hospital,https://data.novascotia.ca/Health-and-Wellness/Hospitals/tmfr-3h8a,Province of Nova Scotia,https://novascotia.ca/opendata/licence.asp,Provincial,,,,,,,,,,,,,,,,,,,
,NS,NS_long_term_care_facilities,https://data.novascotia.ca/Health-and-Wellness/Long-Term-Care-and-Residential-Care-Facilities/x76a-axw2,Province of Nova Scotia,https://novascotia.ca/opendata/licence.asp,Provincial,,,,,,,,,,,,,,,,,,,
,ON,ON_healthcare_facilities,https://data.ontario.ca/en/dataset/hospital-locations,Province of Ontario,https://www.ontario.ca/page/open-government-licence-ontario,Provincial,,,,,,,,,,,,,,,,,,,
,ON,ON_covid_testing_centres,https://data.ontario.ca/en/dataset/covid-19-assessment-centre-locations,Province of Ontario,https://www.ontario.ca/page/open-government-licence-ontario,Provincial,,,,,,,,,,,,,,,,,,,
,PE,PE_healthcare_facilities,https://data.princeedwardisland.ca/Health-and-Home/OD0050-Health-PEI-Facility-Locations/dfge-zd27,Province of Prince Edward Island,https://www.princeedwardisland.ca/en/information/finance/open-government-licence-prince-edward-island,Provincial,,,,,,,,,,,,,,,,,,,
,QC,QC_healthcare_facilities,https://www.donneesquebec.ca/recherche/dataset/fichiers-cartographiques-m02-des-installations-et-etablissements/resource/2aa06e66-c1d0-4e2f-bf3c-c2e413c3f84d,Province of Quebec,https://www.donneesquebec.ca/fr/licence/#cc-by,Provincial,,,,,,,,,,,,,,,,,,,
,QC,QC_healthcare_establishments,https://www.donneesquebec.ca/recherche/dataset/fichiers-cartographiques-m02-des-installations-et-etablissements/resource/a1988030-1f8b-4c67-bc29-ca8b9f710afd,Province of Quebec,https://www.donneesquebec.ca/fr/licence/#cc-by,Provincial,,,,,,,,,,,,,,,,,,,
,AB,AB_healthcare_facilities,https://data.calgary.ca/Services-and-Amenities/Calgary-Health-Clinics-and-Hospitals/pp67-7mf4,Calgary,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Municipal,,,,,,,,,,,,,,,,,,,
,AB,AB_covid_vaccination_centres,https://data.calgary.ca/Health-and-Safety/COVID-19-Vaccination-Locations/9kkc-pfd6,Calgary,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Municipal,,,,,,,,,,,,,,,,,,,
,NB,NB_senior_care_facilities,https://open.moncton.ca/datasets/senior-care-facilities/explore,Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,Municipal,,,,,,,,,,,,,,,,,,,
,NB,NB_pharmacies,https://open.moncton.ca/datasets/pharmacies/explore,Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,Municipal,,,,,,,,,,,,,,,,,,,
,NB,NB_medical_clinics,https://open.moncton.ca/datasets/medical-clinics/explore,Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,Municipal,,,,,,,,,,,,,,,,,,,
,ON,ON_healthcare_facilities,https://opendata.durham.ca/datasets/healthcare-facilities/explore,Durham,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Municipal,,,,,,,,,,,,,,,,,,,
,ON,ON_healthcare_facilities,http://data.open.guelph.ca/dataset/health-services-in-guelph,Guelph,http://data.open.guelph.ca/pages/open-government-licence,Municipal,,,,,,,,,,,,,,,,,,,
,ON,ON_hospital,https://open.hamilton.ca/datasets/a5867b5375544ceb8f06544a5ed349a5_15/explore,Hamilton,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Municipal,,,,,,,,,,,,,,,,,,,
,ON,ON_residential_care_,,Hamilton,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Municipal,,,,,,,,,,,,,,,,,,,
,ON,ON_hospital,https://open.ottawa.ca/datasets/hospitals/explore,Ottawa,https://ottawa.ca/en/city-hall/get-know-your-city/open-data#open-data-licence-version-2-0,Municipal,,,,,,,,,,,,,,,,,,,
,ON,ON_covid_testing_clinics,https://open.toronto.ca/dataset/covid-19-testing-sites/,Toronto,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,Municipal,,,,,,,,,,,,,,,,,,,
,ON,ON_covid_vaccination_centres,https://open.toronto.ca/dataset/covid-19-immunization-clinics/,Toronto,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,Municipal,,,,,,,,,,,,,,,,,,,
,ON,ON_hospital,https://data-markham.opendata.arcgis.com/datasets/york::hospital/explore,York Region,http://insights-york.opendata.arcgis.com/datasets/york-region-open-data-licence,Municipal,,,,,,,,,,,,,,,,,,,
,QC,QC_public_places_including_hospitals,https://www.gatineau.ca/portail/default.aspx?p=publications_cartes_statistiques_donnees_ouvertes/donnees_ouvertes/jeux_donnees/details&id=1267315911,Gatineau,https://www.gatineau.ca/donneesouvertes/licence_en.aspx,Municipal,,,,,,,,,,,,,,,,,,,
,QC,QC_public_places_including_hospitals,https://www.donneesquebec.ca/recherche/dataset/vque_14,Quebec City,https://www.donneesquebec.ca/fr/licence/#cc-by,Municipal,,,,,,,,,,,,,,,,,,,
