"þÿ""School #""",School name,Division Name,Division Code,Address Line 1,Address Line 2,city,postalCode,email,infoString,gradeString,trackString,fax,phone,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3
1221,SPRUCE WOODS SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,SPRUCE WOODS COLONY,,BROOKDALE,R0K 0G0,,(  3)-1221-0153, K-12, ,2043542008.0,2043542259,0,1,1,1,1
2127,TWILIGHT COLONY SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,BOX 2380,,NEEPAWA,R0J 1H0,twilight@bpsd.mb.ca,(  1)-2127-0153, K-12, ,2044763101.0,2044768837,0,1,1,1,1
1311,WILLERTON SCHOOL,BEAUTIFUL PLAINS SCHOOL DIVISION,153,SPRINGHILL COLONY,BOX 1930,NEEPAWA,R0J 1H0,willerton@bpsd.mb.ca,(  3)-1311-0153, K-12, ,2044765713.0,2044762740,0,1,1,1,1
2086,BLUE CLAY COLONY SCHOOL,BORDER LAND SCHOOL DIVISION,185,BOX 220,,DOMINION CITY,R0A 0H0,blueclay@blsd.ca,(  3)-2086-0185, K-12, ,2044273398.0,2044272315,0,1,1,1,1
1730,ÉCOLE ELMWOOD SCHOOL,BORDER LAND SCHOOL DIVISION,185,27 - 4TH STREET S.W.,,ALTONA,R0G 0B2,elmwood@blsd.ca,( 23)-1730-0185, K-3, IM,2043248167.0,2043248611,0,1,1,0,0
1721,ÉCOLE PARKSIDE SCHOOL,BORDER LAND SCHOOL DIVISION,185,155 - 5TH STREET N.W.,,ALTONA,R0G 0B1,parkside@blsd.ca,( 12)-1721-0185, 7-8, IM,2043248172.0,2043248206,0,0,0,1,0
1533,ÉCOLE WEST PARK SCHOOL,BORDER LAND SCHOOL DIVISION,185,83 - 3RD STREET  N.W.,,ALTONA,R0G 0B1,westpark@blsd.ca,( 15)-1533-0185, 4-6, IM,2043245229.0,2043245319,0,0,1,0,0
1177,EMERSON ELEMENTARY,BORDER LAND SCHOOL DIVISION,185,BOX 422,,EMERSON,R0A 0L0,emerson@blsd.ca,(  7)-1177-0185, K-8, ,2043732234.0,2043732624,0,1,1,1,0
1380,GLENWAY COLONY SCHOOL,BORDER LAND SCHOOL DIVISION,185,GLENWAY COLONY,BOX 291,DOMINION CITY,R0A 0H0,glenway@blsd.ca,(  4)-1380-0185, K-12, ,2044272205.0,2044272223,0,1,1,1,1
2290,GREEN RIDGE SCHOOL,BORDER LAND SCHOOL DIVISION,185,BOX 156,,DOMINION CITY,R0A 0H0,GREENRIDGE@BLSD.CA,(  3)-2290-0185, K-12, ,2044273879.0,2044273827,0,1,1,1,1
1786,GRETNA ELEMENTARY,BORDER LAND SCHOOL DIVISION,185,BOX 90,,GRETNA,R0G 0V0,gretna@blsd.ca,( 15)-1786-0185, K-8, ,2043275266.0,2043275344,0,1,1,1,0
2286,HORIZON COLONY SCHOOL,BORDER LAND SCHOOL DIVISION,185,120 - 9TH STREET NW,,ALTONA,R0G 0B1,horizon@bblsd.ca,(  2)-2286-0185, K-12, ,2040000000.0,2048293226,0,1,1,1,1
2122,PINELAND COLONY SCHOOL,BORDER LAND SCHOOL DIVISION,185,BOX 39,,PINEY,R0A 1K0,pineland@blsd.ca,(  3)-2122-0185, K-12, ,2044232022.0,2044232069,0,1,1,1,1
2123,RIDGEVILLE COLONY SCHOOL,BORDER LAND SCHOOL DIVISION,185,BOX 10,,DOMINION CITY,R0A 0H0,ridgeville@blsd.ca,(  2)-2123-0185, K-12, ,2043732652.0,2043732645,0,1,1,1,1
1658,ROSEAU VALLEY SCHOOL,BORDER LAND SCHOOL DIVISION,185,BOX 176,,DOMINION CITY,R0A 0H0,roseauvalley@blsd.ca,( 21)-1658-0185, K-12, ,2044272615.0,2044272143,0,1,1,1,1
1344,ROSENFELD ELEMENTARY,BORDER LAND SCHOOL DIVISION,185,BOX 33,,ROSENFELD,R0G 1X0,rosenfeld@blsd.ca,(  7)-1344-0185, K-6, ,2043246394.0,2043248438,0,1,1,0,0
1059,ROSS L. GRAY SCHOOL,BORDER LAND SCHOOL DIVISION,185,GENERAL DELIVERY,,SPRAGUE,R0A 1Z0,rosslgray@blsd.ca,( 13)-1059-0185, K-12, ,2044372893.0,2044372175,0,1,1,1,1
1551,SHEVCHENKO SCHOOL,BORDER LAND SCHOOL DIVISION,185,BOX 1000,,VITA,R0A 2K0,shevchenko@blsd.ca,( 26)-1551-0185, K-12, ,2044253064.0,2044253535,0,1,1,1,1
1778,W. C. MILLER COLLEGIATE,BORDER LAND SCHOOL DIVISION,185,181 - 6TH STREET S.E.,,ALTONA,R0G 0B3,wcmiller@blsd.ca,( 37)-1778-0185, 9-12, IM,2043248525.0,2043246416,0,0,0,1,1
1901,ALEXANDER SCHOOL,BRANDON SCHOOL DIVISION,119,BOX 21,,ALEXANDER,R0K 0A0,alexander@bsd.ca,( 11)-1901-0119, K-8, ,2047522395.0,2047522251,0,1,1,1,0
1325,BETTY GIBSON SCHOOL,BRANDON SCHOOL DIVISION,119,701 - 12TH STREET,,BRANDON,R7A 6H7,bettygibson@bsd.ca,( 26)-1325-0119, K-8, ,2047293969.0,2047293965,0,1,1,1,0
1302,CROCUS PLAINS REGIONAL SECONDARY,BRANDON SCHOOL DIVISION,119,1930 - 1ST STREET,,BRANDON,R7A 6Y6,crocusplains@bsd.ca,( 92)-1302-0119, 9-12, ,2047272162.0,2047293900,0,0,0,1,1
1371,EARL OXFORD SCHOOL,BRANDON SCHOOL DIVISION,119,540 - 18TH STREET,,BRANDON,R7A 5B2,earloxford@bsd.ca,( 35)-1371-0119, K-8, ,2047293278.0,2047293270,0,1,1,1,0
1449,ÉCOLE HARRISON,BRANDON SCHOOL DIVISION,119,415 AVENUE QUEENS,,BRANDON,R7A 1K9,harrison@bsd.ca,( 25)-1449-0119, K-8, IM,,2047293200,0,1,1,1,0
1007,GEORGE FITTON SCHOOL,BRANDON SCHOOL DIVISION,119,1129 - 3RD STREET,,BRANDON,R7A 3E7,georgefitton@bsd.ca,( 37)-1007-0119, K-8, ,2047277674.0,2047293220,0,1,1,1,0
1112,GREEN ACRES SCHOOL,BRANDON SCHOOL DIVISION,119,335 QUEENS AVENUE EAST,,BRANDON,R7A 2B9,greenacres@bsd.ca,( 18)-1112-0119, K-8, ,2047290345.0,2047293265,0,1,1,1,0
1270,J. R. REID SCHOOL,BRANDON SCHOOL DIVISION,119,813 - 26TH STREET,,BRANDON,R7B 2B6,jrreid@bsd.ca,( 22)-1270-0119, K-8, ,2047293958.0,2047293955,0,1,1,1,0
1660,KING GEORGE SCHOOL,BRANDON SCHOOL DIVISION,119,535 PARK STREET,,BRANDON,R7A 6M6,kinggeorge@bsd.ca,( 23)-1660-0119, K-8, ,2047293996.0,2047293990,0,1,1,1,0
1987,KIRKCALDY HEIGHTS SCHOOL,BRANDON SCHOOL DIVISION,119,10 KNOWLTON DRIVE,,BRANDON,R7A 6N7,kirkcaldyheights@bsd.ca,( 28)-1987-0119, K-8, ,2047293295.0,2047293290,0,1,1,1,0
1631,LINDEN LANES SCHOOL,BRANDON SCHOOL DIVISION,119,49 SILVER BIRCH DRIVE,,BRANDON,R7B 1A8,lindenlanes@bsd.ca,( 29)-1631-0119, K-8, ,2047293264.0,2047293260,0,1,1,1,0
1706,MEADOWS SCHOOL,BRANDON SCHOOL DIVISION,119,1220 - 22ND STREET,,BRANDON,R7B 1T4,meadows@bsd.ca,( 35)-1706-0119, K-8, ,2047293970.0,2047293988,0,1,1,1,0
1758,NEELIN HIGH,BRANDON SCHOOL DIVISION,119,1020 BRANDON AVENUE,,BRANDON,R7A 1K6,neelin@bsd.ca,( 58)-1758-0119, 9-12, IM,2047265813.0,2047293180,0,0,0,1,1
1215,NEW ERA SCHOOL,BRANDON SCHOOL DIVISION,119,527 LOUISE AVENUE,,BRANDON,R7A 0X1,newera@bsd.ca,( 40)-1215-0119, K-8, IM,,2047293161,0,1,1,1,0
1845,O'KELLY SCHOOL,BRANDON SCHOOL DIVISION,119,BOX 70,C.F.B.SHILO,SHILO,R0K 2A0,okelly@bsd.ca,( 19)-1845-0119, K-8, IM,2047652589.0,2047290399,0,1,1,1,0
1604,RIVERHEIGHTS SCHOOL,BRANDON SCHOOL DIVISION,119,32 E FOTHERINGHAM DRIVE,,BRANDON,R7B 3G3,riverheights@bsd.ca,( 41)-1604-0119, K-8, ,2047293213.0,2047293210,0,1,1,1,0
1603,RIVERVIEW SCHOOL,BRANDON SCHOOL DIVISION,119,1105 LOUISE AVENUE EAST,,BRANDON,R7A 1Y2,riverview@bsd.ca,( 19)-1603-0119, K-6, ,2047290334.0,2047290330,0,1,1,0,0
1037,SPRING VALLEY COLONY SCHOOL,BRANDON SCHOOL DIVISION,119,SPRING VALLEY COLONY,C/O 1031-6TH STREET,BRANDON,R7A 4K5,,(  3)-1037-0119, K-12, ,2047272217.0,2047290320,0,1,1,1,1
1593,ST. AUGUSTINE SCHOOL,BRANDON SCHOOL DIVISION,119,330 3RD ST,,BRANDON,R7A 3C3,staugustine@bsd.ca,( 17)-1593-0119, K-8, ,2047293286.0,2047293285,0,1,1,1,0
1700,VALLEYVIEW CENTENNIAL SCHOOL,BRANDON SCHOOL DIVISION,119,65 WHILLIER DRIVE,,BRANDON,R7B 0X8,valleyview@bsd.ca,( 20)-1700-0119, K-7, ,2047293953.0,2047293950,0,1,1,1,0
1880,VINCENT MASSEY HIGH,BRANDON SCHOOL DIVISION,119,715 MCDIARMID DRIVE,,BRANDON,R7B 2H7,vincentmassey@bsd.ca,( 68)-1880-0119, 9-12, ,2047290365.0,2047293170,0,0,0,1,1
2048,WAVERLY PARK SCHOOL,BRANDON SCHOOL DIVISION,119,3800 PARK AVENUE,,BRANDON,R7B 3X2,waverlypark@bsd.ca,( 30)-2048-0119, K-8, ,2047293255.0,2047293250,0,1,1,1,0
1482,CHRIST THE KING SCHOOL,CATHOLIC SCHOOLS COMMISSION,116,12 LENNOX AVENUE,,WINNIPEG,R2M 1A6,admin@ctkschool.ca,( 14)-1482-0116, N-8, ,2042572129.0,2042570027,1,1,1,1,0
1549,HOLY CROSS SCHOOL,CATHOLIC SCHOOLS COMMISSION,116,300 DUBUC STREET,,WINNIPEG,R2H 1E4,office@holycrossschool.mb.ca,( 17)-1549-0116, K-8, ,2042377433.0,2042374936,0,1,1,1,0
1523,IMMACULATE HEART OF MARY SCHOOL,CATHOLIC SCHOOLS COMMISSION,116,650 FLORA AVENUE,,WINNIPEG,R2W 2S5,ihms@ihms.mb.ca,( 15)-1523-0116, N-8, ,2045866698.0,2045825698,1,1,1,1,0
1087,ST. ALPHONSUS SCHOOL,CATHOLIC SCHOOLS COMMISSION,116,343 MUNROE AVENUE,,WINNIPEG,R2K 1H2,info@stalphonsusschool.ca,( 14)-1087-0116, K-8, ,2046634187.0,2046676271,0,1,1,1,0
1257,ST. BONIFACE DIOCESAN HIGH SCHOOL,CATHOLIC SCHOOLS COMMISSION,116,282 DUBUC STREET,,WINNIPEG,R2H 1E4,admin@sbdhs.net,( 14)-1257-0116, 9-12, ,2042379891.0,2049871560,0,0,0,1,1
1791,ST. EMILE SCHOOL,CATHOLIC SCHOOLS COMMISSION,116,552 ST. ANNE'S ROAD,,WINNIPEG,R2M 3G4,admin@stemileschool.ca,( 20)-1791-0116, K-8, ,2049895026.0,2049895020,0,1,1,1,0
1562,ST. GERARD SCHOOL,CATHOLIC SCHOOLS COMMISSION,116,40 FOSTER STREET,,WINNIPEG,R2L 1V7,stgerard@shaw.ca,( 14)-1562-0116, N-8, ,2046687932.0,2046674862,1,1,1,1,0
1756,ST. JOSEPH THE WORKER SCHOOL,CATHOLIC SCHOOLS COMMISSION,116,505 BREWSTER STREET,,WINNIPEG,R2C 2W6,stjoesch@mymts.net,(  8)-1756-0116, N-6, ,2042221769.0,2042221841,1,1,1,0,0
2255,CENTRE SCOLAIRE LÉO-RÉMILLARD,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,1095 CHEMIN SAINTE-ANNE,,WINNIPEG,R2N 4G5,cslr@dsfm.mb.ca,( 25)-2255-0140, 9-12,FR ,2042563848.0,2042562831,0,0,0,1,1
1287,COLLÈGE LOUIS-RIEL,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,585 RUE ST-JEAN-BAPTISTE,,SAINT-BONIFACE,R2H 2Y2,louis.riel@dsfm.mb.ca,( 42)-1287-0140, 7-12,FR ,2042350139.0,2042378927,0,0,0,1,1
1332,ÉCOLE CHRISTINE-LESPÉRANCE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,425 CHEMIN JOHN FORSYTH,,WINNIPEG,R2N 4J3,c.lesperance@dsfm.mb.ca,( 37)-1332-0140, M-8,FR ,2042572545.0,2042552081,0,1,1,1,0
2078,ÉCOLE COMMUNAUTAIRE AURÈLE-LEMOINE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 900,"81, CHEM.DES ANC. COMBATTANTS",SAINT-LAURENT,R0C 2S0,aurele.lemoine@dsfm.mb.ca,(  9)-2078-0140, M-12,FR ,2046462235.0,2046462392,0,1,1,1,1
2147,ÉCOLE COMMUNAUTAIRE GILBERT-ROSSET,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 147,108 AVENUE BÉRIAULT,SAINT-CLAUDE,R0G 1Z0,gilbert.rosset@dsfm.mb.ca,(  9)-2147-0140, N-12,FR ,2043792166.0,2043792177,1,1,1,1,1
2267,ÉCOLE COMMUNAUTAIRE LA VOIE DU NORD,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 1223 STATION MAIN,271 CHEMIN WEIR,THOMPSON,R8N 1P1,la.voie.du.nord@dsfm.mb.ca,(  8)-2267-0140, M-10,FR ,2047785465.0,2047788699,0,1,1,1,1
1870,ÉCOLE COMMUNAUTAIRE RÉAL-BÉRARD,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 490,377 RUE SABOURIN,SAINT-PIERRE-JOLYS,R0A 1V0,real.berard@dsfm.mb.ca,( 26)-1870-0140, M-12,FR ,2044333086.0,2044337706,0,1,1,1,1
2091,ÉCOLE COMMUNAUTAIRE SAINT-GEORGES,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 159,14 BAIE CARON,SAINT-GEORGES,R0E 1V0,st.georges@dsfm.mb.ca,(  6)-2091-0140, N-12,FR ,2043674680.0,2043674224,1,1,1,1,1
2104,ÉCOLE JOURS DE PLAINE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 135,283 - ROUTE PROV. 480,LAURIER,R0J 1A0,jours.de.plaine@dsfm.mb.ca,(  8)-2104-0140, N-12,FR ,2044472954.0,2044473364,1,1,1,1,1
2231,ÉCOLE LA SOURCE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 240,T-102 AVENUE ST. BARBARA,SHILO,R0K 2A0,lasource@dsfm.mb.ca,( 15)-2231-0140, M-12,FR ,2047652187.0,2047655050,0,1,1,1,1
1180,ÉCOLE LACERTE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,1101 PROMENADE AUTUMNWOOD,,SAINT-BONIFACE,R2J 1C8,lacerte@dsfm.mb.ca,( 33)-1180-0140, M-8,FR ,2042547855.0,2042564384,0,1,1,1,0
1770,ÉCOLE LAGIMODIÈRE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 130,361 RUE SENEZ,LORETTE,R0A 0Y0,ecole.lagimodiere@dsfm.mb.ca,( 15)-1770-0140, M-8,FR ,2048782866.0,2048783621,0,1,1,1,0
1204,ÉCOLE NOËL-RITCHOT,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,45 AVENUE DE LA DIGUE,,SAINT-NORBERT,R3V 1M7,noel.ritchot@dsfm.mb.ca,( 23)-1204-0140, M-8,FR ,2042691704.0,2042610380,0,1,1,1,0
1648,ÉCOLE POINTE-DES-CHÊNES,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,90 CHEMIN ARENA,,SAINTE-ANNE,R5H 1G6,pointe-des-chenes@dsfm.mb.ca,( 23)-1648-0140, M-12,FR ,2044229934.0,2044225505,0,1,1,1,1
1887,ÉCOLE PRÉCIEUX-SANG,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,209 RUE KENNY,,SAINT-BONIFACE,R2H 2E5,precieux.sang@dsfm.mb.ca,( 34)-1887-0140, M-8,FR ,2042339109.0,2042334327,0,1,1,1,0
1671,ÉCOLE RÉGIONALE NOTRE-DAME,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 250,45 AVENUE NOTRE-DAME OUEST,N.-D.-DE-LOURDES,R0G 1M0,ernd@dsfm.mb.ca,( 19)-1671-0140, M-12,FR ,2042482371.0,2042482147,0,1,1,1,1
1152,ÉCOLE RÉGIONALE SAINT-JEAN-BAPTISTE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 130,"113, 2E AVENUE",SAINT-JEAN-BAPTISTE,R0G 2B0,st.jean@dsfm.mb.ca,( 14)-1152-0140, M-12,FR ,2047583243.0,2047583501,0,1,1,1,1
2211,ÉCOLE ROMÉO-DALLAIRE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,81 CHEMIN QUAIL RIDGE,,WINNIPEG,R2Y 2A9,romeo.dallaire@dsfm.mb.ca,( 15)-2211-0140, M-9,FR ,2048858005.0,2048858000,0,1,1,1,0
1399,ÉCOLE SAINT-JOACHIM,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 10,29 BAIE NORMANDEAU,LA BROQUERIE,R0A 0W0,st.joachim@dsfm.mb.ca,( 34)-1399-0140, M-12,FR ,2044245610.0,2044245287,0,1,1,1,1
1350,ÉCOLE SAINT-LAZARE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 70,116 AVENUE CHARTIER EST,SAINT-LAZARE,R0M 1Y0,st.lazare@dsfm.mb.ca,( 11)-1350-0140, N-12,FR ,2046832546.0,2046832251,1,1,1,1,1
1319,ÉCOLE SAINTE-AGATHE,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,CASE POSTALE 240,310 CHEMIN PEMBINA TRAIL,SAINTE-AGATHE,R0G 1Y0,ste.agathe@dsfm.mb.ca,( 12)-1319-0140, M-8,FR ,2048822327.0,2048822275,0,1,1,1,0
1808,ÉCOLE TACHÉ,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,744 RUE LANGEVIN,,SAINT-BONIFACE,R2H 2W7,tache@dsfm.mb.ca,( 35)-1808-0140, M-6,FR ,2042350321.0,2042338735,0,1,1,0,0
1557,ÉCOLE/COLL. RÉG. GABRIELLE-ROY,DIVISION SCOLAIRE FRANCO-MANITOBAINE,140,310 A CHEMIN LAMOUREUX,,ÎLE DES CHÊNES,R0A 0T1,gabrielle.roy@dsfm.mb.ca,( 34)-1557-0140, N-12,FR ,2048783495.0,2048782147,1,1,1,1,1
2233,BRANDON SCHOOL DIVISION SUMMER SCHOOL,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,C/O CROCUS PLAINS HIGH SCHOOL,1930 - 1ST STREET,BRANDON,R7A 6Y6,,()-2233-0163, 9-12, ,2047272162.0,2047293900,0,0,0,1,1
2112,DISTANCE LEARNING UNIT,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,MAIN PLAZA,555 MAIN STREET,WINKLER,R6W 1C4,,()-2112-0163, 9-12, ,0.0,2043259652,0,0,0,1,1
2305,INFORM NET,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,181 HENLOW BAY,,WINNIPEG,R3Y 1M7,informnet@pembinatrails.ca,()-2305-0163, 9-12, ,2048310859.0,2048887957,0,0,0,1,1
2013,NELSON MCINTYRE COLL. SUMMER SCHOOL,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,188 ST. MARY'S ROAD,,WINNIPEG,R2H 1H9,,()-2013-0163, 9-12, ,2042371615.0,2042370219,0,0,0,1,1
2099,SEVEN OAKS S.D. SUMMER SCHOOL,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,C/O MAPLES COLL.  I.T. CENTRE,2ND FLOOR-1330 JEFFERSON AVE.,WINNIPEG,R2P 1L3,,()-2099-0163, 9-12, ,2049273705.0,2049273700,0,0,0,1,1
2008,ST. JAMES-ASSINIBOIA SUMMER SCHOOL,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,ST. JAMES COLLEGIATE,1900 PORTAGE AVENUE,WINNIPEG,R3J 0J1,,()-2008-0163, 9-12, ,2048890830.0,2048884867,0,0,0,1,1
2140,TURTLE MOUNTAIN SCH. DIV. SUMMER SCHOOL,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,BOX 280,,KILLARNEY,R0K 1G0,,()-2140-0163, 9-12, ,2045234054.0,2045234492,0,0,0,1,1
2011,UNIV. OF WINNIPEG COLL. SUMMER SCHOOL,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,2W04-515 PORTAGE AVENUE,,WINNIPEG,R3B 2E9,,()-2011-0163, 10-12, ,2047751942.0,2047869221,0,0,0,0,1
2289,WAPASKWA VIRTUAL COLLEGIATE,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,C/O MFNERC,2 - 1100 WAVERLEY STREET,WINNIPEG,R3T 3X9,,( 10)-2289-0163, 7-12, ,2049422490.0,2045941290,0,0,0,1,1
2009,WINNIPEG S.D. SUMMER SCHOOL,"EVENING, SUMMER & VIRTUAL SCHOOLS",163,401 CHURCH AVENUE,,WINNIPEG,R2W 1C4,,()-2009-0163, 10-12, ,0.0,2045865015,0,0,0,0,1
1587,ARBORG COLLEGIATE,EVERGREEN SCHOOL DIVISION,144,BOX 220,461 ST. PETER STREET,ARBORG,R0C 0A0,aci@eds.ca,( 11)-1587-0144, 9-12, ,2043765160.0,2043762605,0,0,0,1,1
1423,ARBORG EARLY/MIDDLE YEARS SCHOOL,EVERGREEN SCHOOL DIVISION,144,BOX 670,,ARBORG,R0C 0A0,aems@esd.ca,( 19)-1423-0144, K-8, ,2043762958.0,2043765054,0,1,1,1,0
