X,Y,OBJECTID,ASSET_ID,Alias,LOCATION
-79.58682073878262,42.976706382112631,25,981501,Oswego Creek Bridge,"robinson rd, .5km north of hart rd"
-80.071594772058205,42.824474135999523,26,980303,Nanticoke Creek Bridge,0.1 km W of Nanticoke Road
-80.033096351748213,42.854237491165264,27,981801,Sandusk Creek Bridge,4.8 km south of Highway 3
-80.034108141983779,42.817109656258651,28,980304,Texaco Underpass,2.0 km East of Sandusk Road
-80.022666596314536,42.819036601038249,29,980310,Box Culvert,0.2 km W of Sandusk Road
-79.993716967564083,42.823794291551742,30,980305,Dennis Bridge,1.4 km W of Cheapside Road
-79.987828608981005,42.818055617349756,31,986201,Brooklin Bridge,brooklin rd .7km south of rainham rd
-79.984367142707967,42.825290340048781,32,980306,Hamilton Bridge,0.7 km W of Cheapside Road
-79.949659664353263,42.880351621362941,33,985301,Balmoral Bridge,3.9 km S of Highway 3
-79.927286302735311,42.834382838570406,34,980307,Selkirk Bridge,0.25 km E of Haldimand Road 53
-79.895874472804422,42.860998063840682,35,981201,Hemlock Creek,"haldimand rd 12, .4km north of concession 3"
-79.796404451081997,42.856551442711719,36,980311B,Sweet Corners Box Culvert,4 km E of Kohler Road
-79.45303552328393,42.875193178655792,37,986501,Pyle Driveway,0.2 km N of North Shore Drive
-79.452558375272218,42.874661931589976,38,980300,Lowbanks,northshore dr just east of hutchinson rd
-79.624351602176887,42.894911395156718,39,980308,Sulphur Creek Bridge (Dunnville Bridge),sulphur creek crossing at dunnville
-79.619939935568055,42.900077460128166,40,980309,Dunnville Bridge over Grand River,grand river crossing at dunnville
-79.996117061904144,43.088599154079617,41,985403,County Highway 54,2.2 km W of New Highway 6 Overpass
-79.868494696035214,42.970274778689664,42,985402,County Highway 54,2 km N of Kings Highway 3
-79.858761763870064,42.956896575605214,43,985401,County Highway 54,0.75 km N of Kings Highway 3
-80.165471661403302,42.99185119772163,44,010102,"Lot 2 Concession 16, Walpole",2 km W of Townline Road
-80.163343117796288,42.992145367964781,45,010103,"Lot 4 Concession 16, Walpole",1.8 km W of Townline Road
-80.161154066721181,42.992455642397772,46,010104,"Lot 3 Concession 16, Walpole",1.7 km W of Townline Road
-80.120122594893417,42.972719124278044,47,010099,"Concession 14, Walpole",0.5 km E of Nanticoke Road
-80.098683855011643,42.96297347062638,48,010094,"Lot 8 Concession 13, Walpole",1.9 km W of Sandusk Road
-80.097107454714489,42.963193179005344,49,010095,"Lot 9 Concession 13, Walpole",1.8 km W of County Road 18
-80.126315243759166,42.933810365482294,50,010029,"Lot 4 Concession 11, Walpole",1.21 km West OF Nanticoke Rd
-80.092976589068755,42.925539861535285,51,010025,Garnet Bridge,0.64 km W of Highway 6
-80.024241122602831,42.935118347427888,52,010091,"Lot 18 Concession 10, Walpole",0.5 km W of Cheapside Road
-80.009433989919884,42.937311157650328,53,010058,"Lot 20 Concession 10, Walpole",0.8 km E of Cheapside Road
-80.014623571510612,42.928544244055395,54,010090,Cheapside Road Bridge,0.8 km S of Concession 10
-79.982491908725081,42.928430284302927,55,010089,Concession 9 Culvert,1.1 km W of Haldimand Road 53
-80.021423404732019,42.922748588365188,56,010088,"Concession 9, Walpole",3 km E of Sandusk Road
-80.039621523922023,42.920109046526576,57,010087,"Lot 15 Concession 9, Walpole",1.5 km east of sandusk road
-80.063338559933044,42.916751019612477,58,010136,"Concession 9, Walpole",0.7 km W of Sandusk Road
-80.068690505112187,42.916027016941676,59,010024,Montague Bridge,0.97 km W of Sandusk Road
-80.116398668452518,42.909576888092595,60,010085,"Lot 4 Concession 9, Walpole",1.2 km W of Nanticoke Road
-80.147179521084936,42.895500005638446,61,010044,Stone Quarry Road Bridge,0.6 km W of Townsend Parkway
-80.14039540243553,42.89071820560666,62,010061,"Nanticoke Creek Bridge, Townsend",0.7km north of concession 14 townsend
-80.13726780308933,42.882365762613482,64,010060,Townline Bridge Townsend/Walpole,1.37 km W of Highway 3
-80.110054435763558,42.884985945235286,65,010107,"Talbot Street East, Jarvis",0.05 km E of Walpole Street
-80.110786460529127,42.885251235115042,66,010108,"Walpole Street, Jarvis",0.05 km N of Talbot Street East
-80.111584599509868,42.885705629114071,67,010109,"Peel Street, Jarvis",0.1 km W of Walpole Street
-80.091559374724383,42.900126503797644,68,010081,"Lot 7 Concession 8, Walpole",0.4 km E of Nanticoke Road
-80.05960581859371,42.904444550908096,69,010023,"Lot 12 Concession 8, Walpole",0.56 km W of Sandusk Road
-80.042068464024879,42.906933641167619,70,010082,"Lot 14 Concession 8, Walpole",2.8 km W of Cheapside Road
-79.985664180161478,42.915220241896598,71,010083,"Lot 21 Concession 8, Walpole",1.8 km W of Haldimand Road 53
-80.00686085941615,42.907060159178471,72,010014,Cheapside Road Bridge,0.97 km N of Highway 3
-80.007537214825703,42.908809968829729,73,010015,Cheapside Road Bridge,1.1 km N of Highway 3
-80.00830590995605,42.911885129824974,74,010016,"Lot 18/19 Concession 8, Walpole",0.03 km E of Cheapside Road
-80.009619927292661,42.914942661768016,75,010017,Miskelly Bridge,0.32 km N of Concession 8
-79.976109001247465,42.891256327132197,76,010077,Lot 22 Concession 6,2.4 km E of Cheapside Road
-79.983592467800577,42.890195252722926,77,010013,Meidima Bridge,2.41 km east of haldimand road 53
-80.0096214892624,42.886441102474855,78,010076,Concession 6 Structure,1.9 km E of Sandusk Road
-80.050489647763413,42.880352441951551,79,010021,Fleming Bridge,0.48 km W of Sandusk Road
-80.059034863889053,42.879113624540544,80,010022,Johnson Bridge,2.4 km E of Nanticoke Road
-80.101528789748897,42.873345851790248,81,010075,"Lot 5 Concession 6, Walpole",1.7 km E of Highway 6
-80.121035237998797,42.857962103887303,82,010028,Concession 5/6,0.48 km East of Haldimand Road 70
-80.074259708892825,42.864437074090368,83,010071,"Lot 8 Concession 5, Walpole",3 km W of Sandusk Road
-80.05290485475885,42.867442343937263,84,010020,Reichold Bridge,concession 5 walpole
-80.011058454129369,42.873618612965934,85,010072,"Lot 16 Concession 5, Walpole",1.4 km W of Cheapside Road
-79.975765381847793,42.878728189794288,86,010073,"Lot 21 Concession 5, Walpole",2.2 km W of Haldimand Road 53
-79.970703064290021,42.879444659751464,87,010074,"Lot 22 Concession 5, Walpole",1.8 km W of Haldimand Road 53
-79.954032372990198,42.881782054975858,88,010012,"Wilkins Bridge Lot 24 Concession 5, Walpole",0.2 km W of Haldimand Road 53
-79.966174037988893,42.867115991728994,89,010070,"Lot 22 Concession 4, Walpole",1.75 km W of Haldimand Road 53
-80.006465443900723,42.86143603721456,90,010116,"Concession 14, Walpole",1.4 km W of Cheapside Rd
-80.007528377335774,42.861279101584202,91,010011,Lofthouse Bridge,1.45 km W of Cheapside Road
-80.049864131531749,42.855183633989512,92,010019,South Coast Drive Bridge,2.25 km E of Nanticoke Road
-80.100133097110046,42.835176485070285,93,010027,"Concession 3, Saunders Bridge",2.09 km W of Nanticoke Road
-80.015840424188013,42.847426453618986,94,010009,Atkinson Bridge,1.13 km E of Sandusk Road
-79.987146507302796,42.851454710317583,95,010010,Mattice Bridge,0.1 km W of Cheapside Road
-79.984242205945336,42.848765451674517,96,010008,"Lot 18/19 Concession 3, Walpole",0.2 km S of Concession 3/4
-79.954954778462721,42.856085457383259,97,010067,"Lot 23 Concession 3, Walpole",1.1 km W of Haldimand Road 53
-79.972505501217981,42.840201706208653,98,010007,"Whitford Bridge Lot 20 Concession 2, Walpole",0.7 km E of Cheapside Road
-79.977413939164904,42.839424266108693,99,010006,Nie Bridge,0.24 km E of Cheapside Road
-79.979101727912848,42.835322115178847,100,010004,Cheapside Bridge,0.64 km N of Rainham Road
-80.004135056855773,42.835289230622749,101,010005,Hubb Bridge,2 km W of Cheapside Road
-80.055696707502307,42.827093261223915,102,010115,Esso Pipeline Culvert Number 2,1.4 km S of Rainham Road
-80.076516574971933,42.809998996790121,103,010066,"Nanticoke Bridge, Village of Nanticoke",1.1 km west of haldimand road 55
-80.023589371579433,42.807598822638695,104,010018,South Coast Drive Bridge,"south coast drive, 0.97km west of sandusk road"
-80.037437244507004,42.806562581370457,105,010114,Esso Pipeline Culvert No. 1,1 km E of Nanticoke Creek
-80.080941122220509,42.793839055867572,106,010026,Stelco Bridge,lakeshore road bridge
-79.968823179366638,42.809450664955136,107,010003,Woodlawn Bridge,"cheapside road, 1.37 km south of rainham road"
-79.936012470602307,42.813884703831619,108,010002,Blue Water Parkway,1.61 km E of Lot 20/21
-79.929997500099645,42.828716430912571,109,010001,Townline Bridge-Walpole/Rainham,0.5 km south of Rainham Road
-80.018074721311933,42.990607423468489,111,000035,"Second Line, Oneida",0.3 km E of Highway 6
-80.00160460412414,42.990873976395683,112,000039,York Road,0.8 km Southeast of McKenzie Road
-79.978674671924097,42.996779201957317,113,000036,"Third Line Road, Oneida",3.1 km E of Highway 6
-79.960698294188575,43.00186114480578,114,000038,McKenzie Road Bridge,1.1 km N of Third Line
-79.95853741808456,42.989482221154041,115,000072,"3rd Line, Oneida",0.7 km E of Mckenzie Road
-79.978508884144574,42.940578209729175,116,000070,Oneida-Rainham Townline,0.6 km E of Indian Line Road
-79.913098456828436,42.956015260147929,117,000071,Oneida-Rainham Townline,0.06 km E of Decewsville Rd
-79.914363536431637,42.946377499107363,118,000073,Decewsville Road,1.1 km N of Highway 3
-79.948940670409883,42.913021312744085,119,000015,Concession 8,"concession 8 rainham, 1km east of haldimand rd 53"
-79.931741913401396,42.902810919212037,120,000014,Concession 7 Bridge,1.4 km W Fisherville Road (Lot 4)
-79.92677321587523,42.890755580517769,121,000013,Concession 6,2.1 km E of Haldimand Road 53 (Lot 4)
-79.936995737337924,42.876429884577348,122,000012,Concession 5,2.7 km W of Fisherville Road (Lot 2)
-79.916096461946182,42.879682217704023,123,000011,Concession 5,"concession 5 rainham, 1km west of haldimand rd 12"
-79.928944509964126,42.865212160265159,124,000008,Concession 4 Bridge,1.1 km E of Haldimand Road 53 (Lot 3)
-79.918491780103949,42.853700558498268,125,000007,Concession 3 Bridge,2.2 km W of Fisherville Road (Lot 3)
-79.916481040531878,42.854013198549488,126,000006,Concession 3 Bridge,1.9 km W of Fisherville Road (Lot 4)
-79.867749201589987,42.874465214857494,127,000009,Concession 4 Culvert,"concession 4 rainham, 1km west of kohler rd"
-79.875573839364392,42.885916336767195,128,000010,Concession 5,1.3 km W of Kohler Road (Lot 11)
-79.948912095217295,43.021946231402346,129,000040,Lang's Bridge,"mckenzie road, 0.1 km north of 5th line"
-79.950040917612341,43.033957821094091,130,000041,McKenzie Creek Bridge,"0.5 km South of York Road, Oneida"
-79.897666688707588,43.019221126890514,131,000032,Peart Bridge,grand river crossing at york
-79.897326795066078,42.978283947602797,132,000033,Indiana Road,1.3 km W of River Road
-79.88433097451221,42.977005405968363,133,000031,Aldridge Bridge,1.8 km N of North Townline Road
-79.873190882466929,42.950442385362308,135,000016,C.N.R. Overpass,"river rd, .5km north of hwy 3"
-79.854467123058285,42.954504017375989,136,000058,Echo Street,"0.1 km E of  Winniet Street, Cayuga"
-79.837671749473984,42.920748645517399,137,000017,River Road,3.9 km S of Highway 3
-79.831852328632039,42.90333530722225,138,000048,Richert Road Culvert,0.5 km E of Link Road
-79.83332536473047,42.900839173026178,139,000049,Richert Road Culvert,0.02 km E of Link Road
-79.843463073933393,42.87832655930292,140,000045,Concession 4 Culvert,1 km E of Kohler Road
-79.799968082975724,42.871323916685569,141,000047,"Bains Road, South Cayuga","0.2 km South of Concession 3 Road, Rainham"
-79.784382517420525,42.860879682039297,142,000002,Sutor Road,0.3 km N of Rainham Road
-79.825612998982862,42.840176045202099,143,000075,Reicheld Road,"reicheld road, 0.7 km north of lakeshore, rainham"
-79.81856274724089,43.01757201746188,144,000069,"Concession 2, Seneca",2.3 km W of Highway 56
-79.812432901106533,43.017305058463592,145,000076,Singer Road Culvert,0.11 km S of Concession Road 2
-79.837989931072499,43.051139849188345,146,000067,Stoney Creek Road Culvert,"0.5 km S of Concession 4, Seneca"
-79.794703528534797,43.064664172775672,147,000027,North Boundary Road - Glanbrook Townline,"haldibrook rd, 0.1 km east of lot 11, con 5 seneca"
-79.7686271124863,43.043719252652174,148,000065,Turnbull Road,0.7 km S of Haldimand Road 9
-79.767376156252851,43.029687785406928,149,000064,"Concession 2, Seneca","0.5 km W of Turnbull Road, Seneca"
-79.757249026947505,43.017714605124297,150,000068,Turnbull Road Culvert,"0.6 km N of Concession 1, Seneca"
-79.743171477172709,43.016065117158462,151,000026,Concession 1,2.6 km W of County Road 2 (Lot 4)
-79.782688141909759,43.006866629391943,152,000063,"Concession 1, Seneca Culvert",0.1 km E of Highway 56
-79.752053697989382,43.005680431457691,153,000062,Turnbull Road,"0.5 km N of Indiana Road, Seneca"
-79.723910871227901,43.005949740816853,154,000024,Indiana Road,"indiana rd east, 1.2km west of hald-dunn tline rd"
-79.714055624160167,43.003356368073497,155,000023,North Cayuga-Seneca Townline,0.3 km W of Dunnville Haldimand Townline Road
-79.748690730993346,42.997827956164272,156,000061,Turnbull Road,0.2 km N of Seneca-N. Cayuga Townline
-79.744512773606061,42.994055690937273,157,000055,Junction Road,0.2 km S of Seneca-N. Cayuga Townline
-79.765789049572518,42.991207060626444,158,000060,Seneca-N. Cayuga Townline,1.1 km East of Haldimand Highway 56
-79.737982165948878,42.978559243418346,159,000054,Junction Road,0.1 km North of Highway 3
-79.709621767128695,43.00873872194019,160,000025,Seneca-Canborough Townline,0.15 km S of Caistorville Road
-79.71005788591458,43.003512768189452,161,D00005,Townline Road Bridge,"2 km N of Highway 3, Canborough"
-79.709818055113118,42.995879439646643,162,D00004,Townline Road Bridge,"1.3 km N of Highway 3, Canborough"
-79.733717125277522,42.968440887771237,163,000053,Junction Road,0.9 km North of Concession 1 South
-79.732065853278158,42.964635838678163,164,000052,Junction Road,0.5 km North of Concession 1 South
-79.726745705809535,42.952677340708561,165,000051,Junction Road,1 km North of Concession 2 South
-79.723107944104513,42.944487397342648,166,000050,Junction Road,0.2 km North of Concession 2 South
-79.708168033345501,42.964341530200436,167,D00006,Canborough/North Cayuga Townline,0.09 km S of  Concession 1  North Cayuga
-79.707931957112578,42.959623629788666,168,D00013,Townline Structure,0.1 km N of Ortt Road
-79.707585845899189,42.950988487912113,169,D00012,Haldimand-Dunnville Townline,0.5 km North of Concession 2 Road (S) North Cayuga
-79.708512844742984,42.927892018300724,170,000019,"Old River Road, North Cayuga",West of Haldimand-Dunnville Townline
-79.740958299931322,42.912247052493285,171,000059,River Road,0.3 km W of South Cayuga Road
-79.86699152546656,42.82460366476996,172,000046B,Lakeshore Road Culvert,1.3 km East of Fisherville Road
-79.81986630932964,42.835066655615748,173,000005,Gates Bridge,"lakeshore road, 0.6 km west of reicheld road"
-79.773847685545491,42.844878175097421,174,000004,Wardell's Creek Bridge,2.7 km W of Haldimand Road 50
-79.759692100601683,42.843901410557216,175,000003,Lakeshore Road,1.6 km W of County Road 50
-79.726974519402845,42.855412300387044,176,000001,Lakeshore Road,Knight's Beach
-79.841242649869315,43.081144309517327,177,000066,Haldibrook Road Culvert,0.8 km E of Moores Road
-79.934604124228599,43.065707305806605,178,000006-C,Caithness Street Culvert,0.4 km W of McClung Road
-79.937210120346009,43.069248385706047,179,000043,Kincardine Street Bridge,Kincardin street .3 km North of Caithness St East
-79.96442021881137,43.069447615726943,180,000042,C.N.R. Overpass,"stirling street, 0.67 km west of argyle street s."
-79.959892571374638,43.075222198380715,181,000044,C.N. Subway,0.7 km W of Highway 6
-79.98589657990658,43.089067096645124,182,000077,Harrison Road Bridge,"3 km W of Highway 6, N of Highway 54"
-79.963008691781354,43.107384313587907,183,000028,Mines Road,0.3 km N of Greens Road (Lot 4)
-79.70490910169805,42.964002896969745,184,D00008,Oswego Creek,0.3 km E of Haldimand-Dunnville Townline
-79.676275447391689,42.907822801725366,185,D00011,Aikens Road Structure,0.55 km N of Haldimand Road 20
-79.615019474896656,42.879423547161487,186,D00010,Johnson Road Culvert,0.5 km North of Ramsey Road
-79.619658542463341,42.986063337962705,187,D00003,Moote Road Bridge,"0.05 km N of Lane Road, Canborough"
-79.608840642249731,42.977815859648196,188,D00002,Hart Road Bridge,"0.3 km N of Swayze Road, Canborough"
-79.562438329749128,42.980671321425817,189,D00001,Oswego Creek Bridge,"1 km N of Young Road, Canborough"
-79.533043530103811,42.971979572086738,190,D00009,Wainfleet-Dunnville Townline,0.1 km E of County Road 7
-79.933393437643275,43.06502307445205,191,000078,Seneca Park,0.02 km S of Highway 54 at Seneca Street
-79.76123323794107,43.026700344417407,192,000079,McKenzie Road Culvert,1.5 km North of York Road
-80.176936986464568,42.988124378380007,193,977401,Townline Road Culvert,0.4 km South of Concession 16 - Walpole
-80.141657890755354,42.894114411731898,194,977402,Townsend Pedestrian Culvert,0.05 km N of County Road 69
-80.18295195035742,43.010290190063451,195,972002,Little Buffalo Box Culvert,0.2 km S of County Line 74
-80.162553989341447,43.002821414029178,196,972003,Indian Line Box Culvert,"0.25 km East of Concession 17, Walpole"
-80.154669170456998,42.999854970766513,197,972004,Boston Creek Culvert,2.3 km N of NANTICOKE ROAD
-80.146783741452111,42.996988267981123,198,972005,Lot 4 Concession 17,1.85 km N of Nanticoke Road
-80.069816810063429,42.827490389410528,199,975503,Lot 6/7 Culvert,"0.32 km N of Concession 2, Walpole"
-80.035774333646501,42.816802535428209,200,970303,County Road 3 Box Culvert,1.5 km E of SANDUSK RD
-79.843402530991668,42.848583877621813,201,970304,Rainham Centre Culvert,0.15 km E of Kohler Road
-79.838531774331585,42.849385259863205,202,970305,Gates Creek Culvert,0.3 km E of Kohler Road
-79.815332123433151,42.85340099662794,203,970306,Gates Creek Culvert,2.15 km E of Kohler Road
-79.778674117124595,42.859566091075784,204,970307,Wardell Creek Culvert,0.02 km East of Sutor Road
-79.766134192242887,42.862153826209401,205,970308,Evans Creek Culvert,1.5 km East of Sutor Road
-79.660361294546021,42.899812554525887,206,972007,Grand River Box Culvert,2.23 km N of Rainham Road
-79.648117420500839,42.89622732552381,207,972008,Byng Island Culvert,1.12 km N of Rainham Road
-79.593604756330564,42.88475624279414,208,971101,Sneenan Tract Culvert,0.5 km North of Kings Row
-79.577057584820821,42.899369969985713,209,970309,Maple Creek Culvert,"northshore dr, .2km west of mumby rd"
-79.562284171058579,42.892100715354459,210,970310,Feeder Canal Culvert,3.39 km E of Haldimand Road 61
-79.441812498868345,42.876859483226148,211,970311,Lowbanks Culvert,0.71 km E of Haldimand Road 65
-80.091395166582046,42.976632563430414,212,972006,Lot 11 Concession 14,1 km N of Sandusk Road
-80.100106378249592,42.907892891201385,213,975501,Nanticoke Road Culvert,0.08 km S of Highway 6
-80.08247602451236,42.860679441281519,214,975502,Sandusk Creek Twin Culverts,"0.3 km South of Concession 5, Walpole"
-80.048893460633579,42.893529281945412,215,971801,Sandusk Creek Culvert,0.02 km N of Highway 3
-79.853151548316333,42.870683218284434,216,970802,Hemlock Creek Culvert,2.4 km S of Indian Line Road
-79.869768387278484,42.918271308710843,217,970800,Kohler Road Culvert,1km north of link road
-79.84153234032766,42.939238947809471,218,971704,Cayuga Culvert,1.6 km S of Highway 3
-79.804355370117477,42.9233088822103,219,971703,Huff Tract Culvert,2.0 km Southeast of Concession 1 Road East
-79.710424569712572,42.928167749268049,220,971702,Grand River Box Culvert,0.5 km East of Junction Road
-79.675221624642063,42.926896277411117,221,971701,Dochstader Tract Culvert,0.6 km East of Jarden Road
-79.930547459882646,42.996829944317305,222,970903,Rogers Creek Culvert,0.2 km W of 4th Line
-79.923900309408126,43.063260852763086,223,975402,Haldimand Road,0.7 km E of Haldimand Road 22
-79.980227395087311,43.082490611499068,224,975403,Regional Road 54,0.8 km W of  Highway No. 6 Overpass
-79.871360651507459,42.981780016528468,225,975401,Haldimand Road Culvert,0.4 km South of Indiana Road East
-79.828076094149054,43.066014906162138,226,976601,Blackheath Culvert,1.1 km S of County Boundary
-79.803611889793174,43.051021960023967,227,975606,Haldimand Road 56 Culvert,1.1 km N of Haldimand Road 9
-79.799487987518958,43.041484860038551,228,975605,Haldimand Road 56 Culvert,0.1 km S of Haldimand Road 9
-79.761712221085432,43.050616086740554,229,970904,Empire Corners Culvert,0.1 km West of Sinclairville Road
-79.793257044909268,43.02742744824689,230,975604,Haldimand Road 56 Culvert,0.5 km North of Concession 2 Road
-79.787561590983913,43.014505749560428,231,975603,Haldimand Road Culvert,1.2 km North of Concession 1 Road
-79.784361661749813,43.007159150219486,232,975602,Haldimand Road 56 Culvert,0.1 km North of Concession 1 Road
-79.778623793438001,42.993704424417366,233,975601,Haldimand Road 56 Culvert,0.5 km South of Indiana Road East
-79.710713374849206,43.029852991527797,234,970201,Caistorville Culvert,1.2 km North of Concession 1 Road
-79.619287275710732,42.961548040579977,236,D00006-C,Moote Road Culvert,0.2 km N of Stringer Road
-79.630500376314657,42.962000094258251,237,D00007,Melick Road Culvert,1.6 km W of Moote Road
-79.685560701674007,42.981234443748413,238,D00008-C,Oswego Creek,1.2 km S of Highway 3
-79.473429180740396,42.918286974501349,239,D00001-C,Kelly Creek,0.35 km S of Booker Road
-79.488337824513664,42.936520880335408,240,D00002-C,Jenny Jump Road Drain,1.2 km S of Highway 3
-79.492429215938216,42.941549555306047,241,D00003-C,South Forks Creek,0.6 km S of Highway 3
-79.998524587688138,42.801457943323278,242,030012,South Coast Drive. Lot 14 Walpole,1.2 km E of Sandusk Road.
-80.090159852804419,42.86214597957072,243,030019,Sandusk Creek,0.6 km W of Nanticoke Road
-80.092106701737976,42.938511471795515,244,030035,Sandusk Creek,1.8 km W of Highway 6
-80.068353098555434,42.928902565436736,245,030034,Sandusk Creek,0.5 km W of Sandusk Road
-80.142425875351421,42.893637684899986,246,986909,Nanticoke Parkway Bridge,0.5 Km east of Keith Richardson Parkway
-79.815721613433254,42.940607004147864,249,000084,Concession 1 Culvert,0.2 m East of McFarlane Road
-79.615019474896656,42.879423547161487,250,D00010,Johnson Road Culvert,0.5 km North of Ramsey Road
-80.048226730592447,42.931678583878458,251,101014,Concession 10 Walpole Twin Culvert,1160m east of sandusk rd
-79.979486962101134,43.017856525981514,252,000088-N,4th Line Culvert,1.8 km E of Highway 6
-79.828916290352225,43.076759682339301,253,000004-C,Haldibrook Road,0.4 km W of Haldimand Road 66
-79.870733595474945,43.091665124665802,254,000005-C,Haldibrook Road,0.6 km W of Stoneman Road
-79.846464045517081,43.05462379267847,255,000080,Moores Road Culvert,0.8 km South of Young Road
-79.713333695425135,43.023102304611172,256,000081,Concession 1 Road Culvert,0.3 km West of County Highway 2
-79.761685408947088,43.027771039488428,257,000082,Turnbull Road Culvert,"0.3 km South of Concession 2 Road, Seneca"
-79.962724955117551,43.061816236992499,258,000083,Braemar Avenue Box Culvert,0.1 km West of Argyle Street South
-79.723294546557966,42.962144040023084,259,110101,"Concession 1 North Cayuga, Triple Culvert",1.3 km East of Junction Road
-79.458167437162132,42.884673400926538,260,116501,Hutchinson Road Bridge,1.21 km North of Shore Drive
-79.800658427145677,42.856061402115614,261,000001-C,Sweets Corner Road,0.02 km N of Rainham Road
-79.796600807589982,42.856516749635901,262,980311A,Sweet Corners Culvert,4 km E of Kohler Road
-80.113369601024274,42.888102160417489,263,000086-N,"000086-N Church Street, Jarvis",0.1 km N of Lydia Street
-80.114391914304292,42.88900131864046,264,000087-N,"000087-N Mary Street, Jarvis","0.1 km S of Elizabeth, Jarvis"
-79.874157038987889,42.824878398345319,265,000046A,Lakeshore Road Culvert,0.7 km E of Fisherville Road
-79.785977306260435,42.854628540639091,266,000002-C,Booker Road,0.4 km S of Rainham Road
-79.879382946242472,42.898105233344943,267,000003-C,"Concession 6, Rainham",0.3 km W of Indian Line Road
-79.847948000726717,42.824928475716696,268,000046,Lakeshore Road Culvert,1.3km west of kohler road
-79.868384088968952,42.915084436116047,269,970801,Sulphur Creek Culvert,0.66km north of link road
-80.113253893425494,42.887657629049151,270,000085-N,"000085-N Lydia Street, Jarvis","0.07km west of main st n, jarvis"
-80.109618859897978,42.880100985121899,271,110301,Lagoon Access Culvert,".5km south of talbot st e, jarvis"
-80.104683420023036,42.790967712071144,272,010030,New Lakeshore Road Culvert,2.3 km West of Riverside Drive
-80.009266274510651,42.821259240686508,273,970302,County Highway 3,0.9 km East of Sandusk Rd
-79.600052271712784,42.97191588113558,274,D00005-C,Hart Road Drain,1.0 km W of Haldimand Road 15
-79.92851081932551,42.820103398023249,652,010001A,Summer Haven Bridge,1.1 km South of Erie St South
-79.941312289375361,43.074321214267627,1052,000002-P,Burke Park Pedestrian Bridge,Seneca Creek at Burke Estates Park
-79.963307837445441,43.064140858370507,1452,000006-P,Paisley Park Structure,
-79.939126920392624,43.072298252310375,1852,000003-P,Black Creek Pedestrian Bridge,
-79.926574463124922,43.090139628333873,2252,000001-P,Chippewa Trail Bridge,Chippewa Trail 522m north of Greens Road Haldimand
-79.92389598509385,43.0620618704503,2253,000004-P,Rotary Trail Pedestrian Bridge,605 m E of Seneca Park parking lot 
-79.928525828363206,42.820123061871811,2254,000010-P,Waterway Park Bridge,former E Lakeshore Rd ROW Selkirk
-79.958720869678316,43.074550057590621,2652,000005-P,Pedestrian Bridge Kinsmen Park Caledonia,On Riverside Trail 92m east of Dam
-79.635732634688196,42.909378426272468,2653,000011-P,Centennial Park Bridge,Centennial Park Dunnville
-79.617589324503598,42.913642219897319,2654,000012-P,Kinsmen Park Pedestrian Bridge,985 John Street in Park
-80.139106539105384,42.896292138903732,3052,000008-P,Townsend Pedestrian Bridge,Townsend in baseball park
-80.13885929983249,42.896730458828529,3053,000007-P,Townsend Pedestrian Bridge,Townsend baseball Park
