ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"11043981","Prodimax Inc.","Prodimax Inc.","13","Laval","1050, 15e avenue"," ","H7R4N9","65005","Laval","13111","Sainte-Rose-de-Laval","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","1","8"," ","N","2010-02-24",-73.8588943481,45.5621910095,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11043999","Santé Courville inc.","Santé Courville inc.","13","Laval","5200, 80e Rue"," ","H7R5T6","65005","Laval","13111","Sainte-Rose-de-Laval","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","1","6"," ","N","2010-02-24",-73.8550033569,45.5432891846,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044088","Centre intégré de santé et de services sociaux des Îles","CISSS des Îles","11","Gaspésie–Îles-de-la-Madeleine","430, chemin Principal (Cap-aux-Meules)"," ","G4T1R9","01023","Les Îles-de-la-Madeleine","11211","Îles-de-la-Madeleine","010","Communauté maritime des Îles-de-la-Madeleine","1121","RLS des Îles-de-la-Madeleine","1","RUISSS Université Laval","1","2","1"," ","O","2007-04-11",-61.8687705994,47.3755760193,"Non","Oui","Oui","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044633","Centre d'hébergement de la Villa-les-Tilleuls Inc.","Centre d'hébergement de la Villa-les-Tilleuls Inc.","13","Laval","5590, boulevard des Laurentides"," ","H7K2K2","65005","Laval","13111","Sainte-Rose-de-Laval","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","1","8"," ","N","2010-02-24",-73.752243042,45.6267585754,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044674","Centre d'hébergement et de soins de longue durée du Manoir-de-l'Ouest-de-l'Île, S.E.C.","CHSLD du Manoir-de-l'Ouest-de-l'Île, S.E.C.","06","Montréal","17725, boulevard de Pierrefonds"," ","H9J3L1","66023","Montréal","06112","Pierrefonds","660","Montréal","0611","RLS de Pierrefonds - Lac Saint-Louis","3","RUISSS Université McGill","2","0","8"," ","N","2010-02-24",-73.8856124878,45.462852478,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044682","Groupe Champlain Inc","Groupe Champlain Inc.","06","Montréal","7150, rue Marie-Victorin"," ","H1G2J5","66023","Montréal","06521","Rivière-des-Prairies","660","Montréal","0652","RLS de Rivière-des-Prairies - Anjou - Montréal-Est","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24",-73.6037445068,45.6160697937,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044765","Centre d'hébergement et de soins de longue durée des Floralies-de-Lachine Inc.","CHSLD des Floralies-de-Lachine Inc.","06","Montréal","650, 32e Avenue"," ","H8T3K4","66023","Montréal","06121","Lachine","660","Montréal","0612","RLS de Dorval - Lachine - Lasalle","3","RUISSS Université McGill","2","1","8"," ","N","2010-02-24",-73.6918411255,45.4408454895,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044773","Centre d'hébergement et de soins de longue durée des Floralies-de-Lasalle Inc.","CHSLD des Floralies-de-Lasalle Inc.","06","Montréal","8200, rue Georges"," ","H8P3T6","66023","Montréal","06122","Lasalle","660","Montréal","0612","RLS de Dorval - Lachine - Lasalle","3","RUISSS Université McGill","2","1","8"," ","N","2010-02-24",-73.6090316772,45.4241905212,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044781","Centre d'hébergement et de soins de longue durée Côte-Jardin Inc.","CHSLD Côte-Jardin Inc.","03","Capitale-Nationale","880, avenue Painchaud"," ","G1S0A3","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","1","8"," ","N","2010-02-24",-71.2610244751,46.7881507874,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044807","Centre d'hébergement et de soins de longue durée du Château-sur-le-Lac-de-Sainte-Geneviève inc.","CHSLD du Château-sur-le-Lac-de-Sainte-Geneviève inc.","06","Montréal","16289, boulevard Gouin Ouest"," ","H9H1E2","66023","Montréal","06112","Pierrefonds","660","Montréal","0611","RLS de Pierrefonds - Lac Saint-Louis","3","RUISSS Université McGill","2","1","8"," ","N","2010-02-24",-73.8744659424,45.4779891968,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044815","Vigi Santé Ltée","Vigi Santé Ltée","06","Montréal","197, rue Thornhill"," ","H9B3H8","66142","Dollard-Des Ormeaux","06113","Dollard-des-Ormeaux","660","Montréal","0611","RLS de Pierrefonds - Lac Saint-Louis","3","RUISSS Université McGill","2","1","2"," ","N","2012-05-15",-73.816116333,45.4802017212,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044823","Centre d'hébergement et de soins de longue durée Providence - Saint-Joseph inc.","CHSLD Providence - Saint-Joseph inc.","06","Montréal","5605, rue Beaubien Est"," ","H1T1X4","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","2","1","2"," ","N","2011-09-19",-73.5674591064,45.5789260864,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044831","Maison des ainées de St-Timothée Inc.","Maison des ainées de St-Timothée Inc.","16","Montérégie","1, rue des Aînés"," ","J6S6M8","70052","Salaberry-de-Valleyfield","16321","Valleyfield-Beauharnois","700","Beauharnois-Salaberry","1632","RLS du Suroît","3","RUISSS Université McGill","2","1","8"," ","N","2011-11-09",-74.0367050171,45.2893562317,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044849","CHSLD Domaine Saint-Dominique S.E.C.","CHSLD Domaine Saint-Dominique S.E.C.","03","Capitale-Nationale","1045, boulevard René-Lévesque Ouest"," ","G1S1V3","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","0","4"," ","N","2012-05-15",-71.2416000366,46.7950134277,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044864","Centre d'hébergement et de soins de longue durée de Saint-Lambert-sur-le-Golf Inc.","CHSLD de Saint-Lambert-sur-le-Golf Inc.","16","Montérégie","549, rue de Verrazano"," ","J4B7W2","58033","Boucherville","16213","Lajemmerais","580","Longueuil","1621","RLS Pierre-Boucher","2","RUISSS Université de Montréal","2","6","4"," ","N","2012-05-15",-73.4443664551,45.6024894714,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044948","Centre d'hébergement et de soins de longue durée Wales Inc.","CHSLD Wales Inc.","05","Estrie","506, Route 243"," ","J0B2H0","42110","Cleveland","05161","Val Saint-François","420","Le Val-Saint-François","0516","RLS de Val Saint-François","4","RUISSS Université de Sherbrooke","2","1","4"," ","N","2012-04-12",-72.1738052368,45.6754226685,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044955","CHSLD Age3 Inc.","CHSLD Age3 Inc.","13","Laval","4410, boulevard Saint-Martin Ouest"," ","H7T1C3","65005","Laval","13114","Chomedey","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","1","2"," ","N","2012-04-26",-73.7676696777,45.547000885,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044971","Centre d'hébergement et de soins de longue durée du Boisé Sainte-Thérèse Inc.","CHSLD Boisé Ste-Thérèse","15","Laurentides","179, place Fabien-Drapeau"," ","J7E5W6","73010","Sainte-Thérèse","15171","Thérèse-De Blainville","730","Thérèse-De Blainville","1517","RLS de Thérèse-De Blainville","2","RUISSS Université de Montréal","2","1","4"," ","N","2014-05-05",-73.840927124,45.6491622925,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11044989","Centre de réadaptation en dépendance du Nouveau Départ Inc.","Centre de réadapt. en dépendance du Nouveau Départ Inc.","06","Montréal","1110, avenue Beaumont"," ","H3P3E5","66072","Mont-Royal","06222","Mont-Royal","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","2","1","4"," ","N","2014-04-07",-73.6224365234,45.5223045349,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","2021-12-03"
"11044997","Centre d'hébergement et de soins de longue durée de Sainte-Catherine S.E.C.","CHSLD de Sainte-Catherine S.E.C.","16","Montérégie","3065, boulevard Marie-Victorin"," ","J5C1Z3","67030","Sainte-Catherine","16342","Saint-Constant - La Prairie","670","Roussillon","1634","RLS de Jardins-Roussillon","3","RUISSS Université McGill","2","0","4"," ","N","",-73.5433731079,45.4003067017,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045044","Centre d'hébergement et de soins de longue durée Angus Inc.","CHSLD Angus Inc.","06","Montréal","3200, rue Omer-Lavallée"," ","H1Y3P5","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","2","1","4"," ","N","2014-04-07",-73.5606231689,45.5465431213,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045051","CHU de Québec – Université Laval","CHU de Québec – UL","03","Capitale-Nationale","11, côte du Palais"," ","G1R2J6","23027","Québec","03124","Québec - Haute-Ville","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","1","2","1","1","N","",-71.2109909058,46.8153915405,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045069","Centre d'hébergement et de soins de longue durée Argyle Inc.","CHSLD Argyle Inc.","16","Montérégie","33, avenue Argyle"," ","J4P3P5","58012","Saint-Lambert","16111","Brossard - Saint-Lambert","580","Longueuil","1611","RLS de Champlain","2","RUISSS Université de Montréal","2","1","4"," ","N","2014-07-30",-73.5147018433,45.5015411377,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045077","Centre d'hébergement et de soins de longue durée du Groupe-Santé-Arbec Inc.","CHSLD Groupe-Santé-Arbec Inc.","14","Lanaudière","3931, rue Lakeshore Drive"," ","J0K1S0","62037","Rawdon","14111","Matawinie","620","Matawinie","1411","RLS de Lanaudière-Nord","2","RUISSS Université de Montréal","2","1","4"," ","N","2014-07-30",-73.7022247314,46.0508613586,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045085","Centre d'hébergement et de soins de longue durée de Saint-Jean-sur-Richelieu S.E.C.","CHSLD de Saint-Jean-sur-Richelieu S.E.C.","16","Montérégie","40, rue Labrèche"," ","J3B0J3","56083","Saint-Jean-sur-Richelieu","16122","Saint-Jean-sur-Richelieu - Saint-Luc","560","Le Haut-Richelieu","1612","RLS du Haut-Richelieu - Rouville","4","RUISSS Université de Sherbrooke","2","0","4"," ","N","",-73.2614974976,45.311580658,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045093","Centre d'hébergement et de soins de longue durée Valeo Inc.","CHSLD Valeo Inc.","16","Montérégie","700, rue Docteur-Chevrier"," ","J4P0A4","58012","Saint-Lambert","16111","Brossard - Saint-Lambert","580","Longueuil","1611","RLS de Champlain","2","RUISSS Université de Montréal","2","0","4"," ","N","",-73.501701355,45.5095596313,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045119","Centre intégré de santé et de services sociaux du Bas-Saint-Laurent","CISSS du Bas-Saint-Laurent","01","Bas-Saint-Laurent","355, boulevard Saint-Germain Ouest"," ","G5L3N2","10043","Rimouski","01151","Rimouski-Neigette","100","Rimouski-Neigette","0115","RLS de Rimouski","1","RUISSS Université Laval","1","2","1"," ","N","",-68.5404815674,48.4433555603,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2021-12-03"
"11045127","Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean","CIUSSS du Saguenay – Lac-Saint-Jean","02","Saguenay–Lac-Saint-Jean","930, rue Jacques-Cartier Est"," ","G7H7K9","94068","Saguenay","02151","Saguenay","941","Saguenay","0215","RLS de Chicoutimi","1","RUISSS Université Laval","1","2","1"," ","N","",-71.0400390625,48.4213104248,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2021-12-03"
"11045135","Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale","CIUSSS de la Capitale-Nationale","03","Capitale-Nationale","2915, avenue du Bourg-Royal"," ","G1C3S2","23027","Québec","03133","Beauport","230","Québec","0313","RLS de Québec-Nord","1","RUISSS Université Laval","1","2","1"," ","N","",-71.2197647095,46.8566360474,"Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Oui","Oui","2021-12-03"
"11045143","Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec","CIUSSS de la Mauricie-et-du-Centre-du-Québec","04","Mauricie et Centre-du-Québec","858, terrasse Turcotte"," ","G9A5C5","37067","Trois-Rivières","04151","Trois-Rivières","371","Trois-Rivières","0415","RLS de Trois-Rivières","2","RUISSS Université de Montréal","1","2","1"," ","N","",-72.5371017456,46.3427963257,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","2021-12-03"
"11045150","Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke","CIUSSS de l'Estrie – CHUS","05","Estrie","375, rue Argyll"," ","J1J3H5","43027","Sherbrooke","05151","Sherbrooke","430","Sherbrooke","0515","RLS de Sherbrooke","4","RUISSS Université de Sherbrooke","1","2","1"," ","N","",-71.9150848389,45.4042434692,"Non","Oui","Oui","Oui","Oui","Non","Oui","Oui","Oui","Non","Oui","Oui","Oui","2021-12-03"
"11045168","Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal","CIUSSS de l'Ouest-de-l'Île-de-Montréal","06","Montréal","2400, boulevard des Sources, 2e étage"," ","H9R0E9","66097","Pointe-Claire","06111","Lac Saint-Louis","660","Montréal","0611","RLS de Pierrefonds - Lac Saint-Louis","3","RUISSS Université McGill","1","2","1"," ","N","",-73.8336715698,45.448551178,"Non","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","2021-12-03"
"11045176","Centre intégré universitaire de santé et de services sociaux du Centre-Ouest-de-l'Île-de-Montréal","CIUSSS du Centre-Ouest-de-l'Île-de-Montréal","06","Montréal","3755, chemin de la Côte-Sainte-Catherin","bureau B-119","H3T1E2","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","2","1"," ","N","",-73.6288070679,45.4978103638,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045184","Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal","CIUSSS du Centre-Sud-de-l'Île-de-Montréal","06","Montréal","1560, rue Sherbrooke Est"," ","H2L4M1","66023","Montréal","06323","Montréal - Centre-Sud","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","1","2","1"," ","N","",-73.5635604858,45.5253562927,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2021-12-03"
"11045192","Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal","CIUSSS du Nord-de-l'Île-de-Montréal","06","Montréal","555, boulevard Gouin Ouest"," ","H3L1K5","66023","Montréal","06421","Ahuntsic","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","1","2","1"," ","N","",-73.6876525879,45.5475997925,"Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045200","Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal","06","Montréal","5415, boulevard de l'Assomption"," ","H1T2M4","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","2","1"," ","N","",-73.5584640503,45.5742149353,"Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"11045218","Centre intégré de santé et de services sociaux de l'Outaouais","CISSS de l'Outaouais","07","Outaouais","80, avenue Gatineau"," ","J8T4J3","81017","Gatineau","07143","Gatineau","810","Gatineau","0714","RLS de Grande-Rivière - Hull - Gatineau","3","RUISSS Université McGill","1","2","1"," ","N","",-75.7229309082,45.4801902771,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2021-12-03"
"11045226","Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue","CISSS de l'Abitibi-Témiscamingue","08","Abitibi-Témiscamingue","1, 9e Rue"," ","J9X2A9","86042","Rouyn-Noranda","08131","Rouyn-Noranda","860","Rouyn-Noranda","0813","RLS de Rouyn-Noranda","3","RUISSS Université McGill","1","2","1"," ","N","",-79.0210037231,48.2433586121,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2021-12-03"
"11045234","Centre intégré de santé et de services sociaux de la Côte-Nord","CISSS de la Côte-Nord","09","Côte-Nord","835, boulevard Jolliet"," ","G5C1P5","96020","Baie-Comeau","09123","Manicouagan","960","Manicouagan","0912","RLS de la Haute-Côte-Nord  - Manicouagan","1","RUISSS Université Laval","1","2","1"," ","N","",-68.2569503784,49.1904411316,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2021-12-03"
"11045242","Centre intégré de santé et de services sociaux de la Gaspésie","CISSS de la Gaspésie","11","Gaspésie–Îles-de-la-Madeleine","215, boulevard de York Ouest"," ","G4X2W2","03005","Gaspé","11132","Gaspé","030","La Côte-de-Gaspé","1113","RLS de La Côte-de-Gaspé","1","RUISSS Université Laval","1","2","1"," ","N","",-64.4966506958,48.8129425049,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2021-12-03"
"11045267","Centre intégré de santé et de services sociaux de Laval","CISSS de Laval","13","Laval","1755, boulevard René-Laennec"," ","H7M3L9","65005","Laval","13113","Pont-Viau","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","1","2","1"," ","N","",-73.7108230591,45.6033210754,"Non","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Non","Oui","Non","Oui","2021-12-03"
"11045275","Centre intégré de santé et de services sociaux de Lanaudière","CISSS de Lanaudière","14","Lanaudière","260, rue Lavaltrie Sud"," ","J6E5X7","61025","Joliette","14113","Joliette","610","Joliette","1411","RLS de Lanaudière-Nord","2","RUISSS Université de Montréal","1","2","1"," ","N","",-73.4410705566,46.0181846619,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2021-12-03"
"11045283","Centre intégré de santé et de services sociaux des Laurentides","CISSS des Laurentides","15","Laurentides","290, rue de Montigny"," ","J7Z5T3","75017","Saint-Jérôme","15161","La Rivière-du-Nord - Mirabel","750","La Rivière-du-Nord","1516","RLS de la Rivière-du-Nord - Mirabel-Nord","2","RUISSS Université de Montréal","1","2","1"," ","N","",-74.0001907349,45.7655715942,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","2021-12-03"
"11045291","Centre intégré de santé et de services sociaux de la Montérégie-Centre","CISSS de la Montérégie-Centre","16","Montérégie","3141, boulevard Taschereau, bureau 220"," ","J4V2H2","58227","Longueuil","16111","Brossard - Saint-Lambert","580","Longueuil","1611","RLS de Champlain","2","RUISSS Université de Montréal","1","2","1"," ","N","",-73.4842071533,45.4977531433,"Non","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","2021-12-03"
"11045309","Centre intégré de santé et de services sociaux de la Montérégie-Est","CISSS de la Montérégie-Est","16","Montérégie","2750, boulevard Laframboise"," ","J2S4Y8","54048","Saint-Hyacinthe","16222","Les Maskoutains","540","Les Maskoutains","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","1","2","1"," ","N","",-72.9594726563,45.6348342896,"Non","Oui","Oui","Oui","Oui","Non","Non","Oui","Non","Non","Oui","Non","Non","2021-12-03"
"11045317","Centre intégré de santé et de services sociaux de la Montérégie-Ouest","CISSS de la Montérégie-Ouest","16","Montérégie","200, boulevard Brisebois"," ","J6K4W8","67050","Châteauguay","16341","Châteauguay-Mercier","670","Roussillon","1634","RLS de Jardins-Roussillon","3","RUISSS Université McGill","1","2","1"," ","N","",-73.7634429932,45.3456611633,"Non","Oui","Oui","Oui","Non","Oui","Oui","Oui","Non","Oui","Non","Non","Oui","2021-12-03"
"11045333","Centre intégré de santé et de services sociaux de Chaudière-Appalaches","CISSS de Chaudière-Appalaches","12","Chaudière-Appalaches","363, route Cameron"," ","G6E3E2","26030","Sainte-Marie","12115","La Nouvelle-Beauce","260","La Nouvelle-Beauce","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","1","2","1"," ","N","",-71.0452041626,46.4648017883,"Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","2021-12-03"
