OBJECTID,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
55,JOHNJULES MANAGEMENT LTD.,94 WELLINGTON ST S  HAMILTON ON,2021/12/04 00:00:00+00,14 286862 06 1X,Residential Care Facility (4-10 Res.)
56,KINGSBERRY PLACE LTD.,1221 LIMERIDGE RD E  HAMILTON ON L8W 1Y1,2021/01/25 00:00:00+00,15 255867 05 1Y,Residential Care Facility (11 or more )
57,LAKEVIEW RETIREMENT CENTRE INC.,337 HWY 8  STONEY CREEK ON,2021/06/10 00:00:00+00,14 284282 06 1Y,Residential Care Facility (11 or more )
58,LIFETIMES LIVING INC. C/O LIFETIMES LIMITED PARTNERSHIP O/A THE CARLISLE RETIREMENT RESIDENCE,467 MAIN ST E  HAMILTON ON,2021/10/03 00:00:00+00,14 286516 06 1Y,Residential Care Facility (11 or more )
59,M.G.B.E. HAMILTON INC. - KELLY'S RESIDENCE RUTHERFORD,18 RUTHERFORD AVE  HAMILTON ON,2021/03/16 00:00:00+00,14 286718 05 1Y,Residential Care Facility (11 or more )
60,M.G.B.E. MAIN INC. o/a KELLY'S RESIDENCE - MAIN,650 MAIN ST E  HAMILTON ON,2021/05/05 00:00:00+00,17 291908 03 1Y,Residential Care Facility (11 or more )
61,M.G.B.E. PROCTOR INC. o/a KELLY'S RESIDENCE - PROCTOR,81 PROCTOR BLVD  HAMILTON ON,2021/01/11 00:00:00+00,16 291627 03 1Y,Residential Care Facility (11 or more )
62,M.G.B.E. SHERMAN INC o/a KELLY'S RESIDENCE,55 SHERMAN AVE S  HAMILTON ON,2020/12/21 00:00:00+00,15 288068 04 1Y,Residential Care Facility (11 or more )
63,M.G.B.E. STINSON INC. O/A KELLY'S RESIDENCE,110 STINSON ST  HAMILTON ON,2021/08/03 00:00:00+00,16 290843 04 1Y,Residential Care Facility (11 or more )
64,MAIN EAST REST HOME INC.,939 MAIN ST E  HAMILTON ON,2021/02/22 00:00:00+00,16 124834 05 1Y,Residential Care Facility (11 or more )
65,MAPLE RETIREMENT HOMES INC,1605 MAIN ST E  HAMILTON ON,2021/06/01 00:00:00+00,18 294225 02 1Y,Residential Care Facility (11 or more )
66,MILTON BROWN ENTERPRISES LTD. O/A ST. PATRICK'S LODGE,90 EMERALD ST S  HAMILTON ON,2021/02/23 00:00:00+00,16 124821 05 1Y,Residential Care Facility (11 or more )
67,OLGA STELLA MANOR CORPORATION O/A OLGA STELLA MANOR,66 SKYVIEW DR  HAMILTON ON,2021/08/14 00:00:00+00,14 286690 06 1X,Residential Care Facility (4-10 Res.)
68,PAT'S LODGING RESIDENTIAL CARE HOME INC.,237 HERKIMER ST  HAMILTON ON L8P 2H8,2021/01/23 00:00:00+00,14 283496 05 1X,Residential Care Facility (4-10 Res.)
69,QUEENS LODGE,36 QUEEN ST S  HAMILTON ON,2021/08/10 00:00:00+00,13 140346 06 1X,Residential Care Facility (4-10 Res.)
70,RYKKA CARE CENTRE o/a NEW VILLAGE RETIREMENT,490 HWY 8  STONEY CREEK ON,2021/08/18 00:00:00+00,17 292726 01 1Y,Residential Care Facility (11 or more )
71,SAMPAGUITA LODGING & REST HOME INC.,265 BAY ST S  HAMILTON ON,2021/02/14 00:00:00+00,16 124808 05 1Y,Residential Care Facility (11 or more )
72,SCHLEGEL VILLAGES INC. O/A THE VILLAGE OF WENTWORTH HEIGHTS,1620 UPPER WENTWORTH ST  HAMILTON ON,2021/09/27 00:00:00+00,17 292009 03 1Y,Residential Care Facility (11 or more )
73,SEASONS RETIREMENT COMMUNITIES (STONEY CREEK) GP INC.,8 SHOREVIEW PL  STONEY CREEK ON,2021/01/03 00:00:00+00,17 292931 02 1Y,Residential Care Facility (11 or more )
74,THE CARDINAL RETIREMENT RESIDENCE (1982398 Ontario Inc),10 HERKIMER ST  HAMILTON ON,2021/05/11 00:00:00+00,17 293513 02 1Y,Residential Care Facility (11 or more )
75,UNICARE LIMITED PARTNERSHIP O/A ABINGTON COURT RETIREMENT RESIDENCE,1500 MAIN ST E  HAMILTON ON,2021/11/03 00:00:00+00,14 283383 06 1Y,Residential Care Facility (11 or more )
76,VENIKE INVESTMENTS INC. O/A NOYEL LODGE,53 PARK ST W  DUNDAS ON,2021/10/05 00:00:00+00,18 294279 02 1Y,Residential Care Facility (11 or more )
77,VILLA ITALIA RETIREMENT LIVING,530 UPPER PARADISE RD  HAMILTON ON,2021/09/28 00:00:00+00,13 219533 06 1Y,Residential Care Facility (11 or more )
78,WEST VALLEY SUITES INC.,809 KING ST W  HAMILTON ON L8S 1K2,2021/03/19 00:00:00+00,18 295162 01 1Y,Residential Care Facility (11 or more )
79,WESTMOUNT TERRACE INC.,723 RYMAL RD W  HAMILTON ON,2021/03/11 00:00:00+00,13 174160 05 1Y,Residential Care Facility (11 or more )
80,YWCA OF HAMILTON,70 WEST AVE S  HAMILTON ON,2021/05/30 00:00:00+00,13 283833 06 1Y,Residential Care Facility (11 or more )
81,ZEST RETIREMENT RESIDENCE INC. O/A ST. ELIZABETH RETIREMENT RESIDENCE,391 RYMAL RD W  HAMILTON ON,2021/03/25 00:00:00+00,18 294966 01 1Y,Residential Care Facility (11 or more )
