# of SCH,SCHOOL DIVISION NAME,DAN #,SCHOOL/PROGRAM NAME,ADDRESS,TOWN/CITY,PC,PHONE,GRADE RANGE, K-12 Total ,ISCED020,ISCED1,ISCED2,ISCED3
,Chinook SD 211,1710413,Fox Valley School,BOX 208,FOX VALLEY,S0N 0V0,306-666-2144,Gr. K-12,118,1,1,1,1
,Chinook SD 211,1510111,Friesen Hutterite School,PO BOX 216,WALDECK,S0H 4J0,306-784-2797,Gr. K-K, <10 ,1,0,0,0
,Chinook SD 211,810513,Frontier School,BOX 126,FRONTIER,S0N 0W0,306-296-2040,Gr. K-12,148,1,1,1,1
,Chinook SD 211,810111,Garden Plane Colony School,PO BOX 150,FRONTIER,S0N 0W0,,Gr. K-10,24,1,1,1,1
,Chinook SD 211,710533,Grassy Hill Hutterite School,PO BOX 417,TOMPKINS,S0N 2S0,306-622-2083,Gr. K-9,11,1,1,1,0
,Chinook SD 211,1610223,Gull Lake School,BOX 599,GULL LAKE,S0N 1A0,306-672-4186,Gr. K-12,247,1,1,1,1
,Chinook SD 211,1711113,Haven Hutterite School,PO BOX 668,LEADER,S0N 1H0,306-628-3340,Gr. 1-9,23,0,1,1,0
,Chinook SD 211,1610313,Hazlet School,BOX 90,HAZLET,S0N 1E0,306-678-2133,Gr. K-12,66,1,1,1,1
,Chinook SD 211,2310523,Herbert School,BOX 670,HERBERT,S0H 2A0,306-784-2454,Gr. K-12,191,1,1,1,1
,Chinook SD 211,2310623,Hodgeville School,BOX 160,HODGEVILLE,S0H 2B0,306-677-2393,Gr. K-12,55,1,1,1,1
,Chinook SD 211,,Home-based School,,,,,Gr. K-11,135,1,1,1,1
,Chinook SD 211,711213,Hulbert Hutterite School,BOX 37,PONTEIX,S0N 1Z0,306-625-3655,Gr. K-9,18,1,1,1,0
,Chinook SD 211,2410613,Leader Composite School,BOX 610,LEADER,S0N 1H0,306-628-3895,Gr. K-12,222,1,1,1,1
,Chinook SD 211,1710833,Maple Creek Composite School,PO BOX 369,MAPLE CREEK,S0N 1N0,306-662-2655,Gr. 6-12,246,0,1,1,1
,Chinook SD 211,1570403,Maverick School,580 6TH AVE SE,SWIFT CURRENT,S9H 3P6,306-778-9260,Gr. 10-12,73,0,0,0,1
,Chinook SD 211,1510213,McMahon Colony School,P.O. BOX 490,SWIFT CURRENT,S9H 3V3,306-627-3616,Gr. 1-9,12,0,1,1,0
,Chinook SD 211,2310633,Norfolk Hutterite School,BOX 357,HODGEVILLE,S0H 2B0,306-677-2256,Gr. K-10,16,1,1,1,1
,Chinook SD 211,1550901,O.M. Irwin School,999  GEORGE STREET E,SWIFT CURRENT,S6H 1Z3,306-778-9270,Gr. K-8,348,1,1,1,0
,Chinook SD 211,710813,Pelletier Hill Hutterite School,R.R. #1,ADMIRAL,S0N 0B0,306-297-6304,Gr. K-9,19,1,1,1,0
,Chinook SD 211,1510113,Pennant Colony School,BOX 38,PENNANT,S0N 1X0,,Gr. K-10,11,1,1,1,1
,Chinook SD 211,710623,Ponteix School,BOX 630,PONTEIX,S0N 1Z0,306-625-3277,Gr. K-12,110,1,1,1,1
,Chinook SD 211,1511213,Ruskin Hutterian School,PO BOX 894 STN MAIN,SWIFT CURRENT,S9H 3W8,306-773-0217,Gr. K-10, <10 ,1,1,1,1
,Chinook SD 211,710513,Sand Lake Hutterite Elementary,BOX 278,VAL MARIE,S0N 2T0,306-298-2006,Gr. 1-8,18,0,1,1,0
,Chinook SD 211,711013,Shaunavon High School,BOX 1148,SHAUNAVON,S0N 2M0,306-297-2733,Gr. 8-12,147,0,0,1,1
,Chinook SD 211,710911,Shaunavon Public School,BOX 1628,SHAUNAVON,S0N 2M0,306-297-2751,Gr. K-7,162,1,1,1,0
,Chinook SD 211,1710821,Sidney Street School,BOX 69,MAPLE CREEK,S0N 1N0,306-662-2510,Gr. K-5,213,1,1,0,0
,Chinook SD 211,810411,Sierra Hutterite School,BOX 33,SHAUNAVON,S0N 2M0,306-295-1200,Gr. K-9,12,1,1,1,0
,Chinook SD 211,2310531,Southland Hutterite School,BOX 459,HERBERT,S0H 2A0,306-784-2606,Gr. K-9,20,1,1,1,0
,Chinook SD 211,1710213,Spring Creek Hutterite School,BOX 29,WALSH,T0J 3L0,(403) 937-3798,Gr. K-10,17,1,1,1,1
,Chinook SD 211,1511323,Spring Lake Hutterite School,BOX 35,SWIFT CURRENT,S9H 3V5,306-627-3510,Gr. K-9,15,1,1,1,0
,Chinook SD 211,1510711,Stewart Valley School,BOX 70,STEWART VALLEY,S0N 2P0,306-773-2141,Gr. K-8,37,1,1,1,0
,Chinook SD 211,1510813,Success School,BOX 10,SUCCESS,S0N 2R0,306-773-7906,Gr. K-9,54,1,1,1,0
,Chinook SD 211,710713,Sunset Hutterite School,BOX 67,ADMIRAL,S0N 0B0,306-297-2218,Gr. K-9,16,1,1,1,0
,Chinook SD 211,1570304,Swift Current Comprehensive High School,1100  11TH AVENUE NE,SWIFT CURRENT,S9H 2V6,306-773-2801,Gr. 9-12,"1,018",0,0,1,1
,Chinook SD 211,1690111,Tompkins Hutterite School,PO BOX 243,TOMPKINS,S0N 2S0,306-622-4802,Gr. K-8, <10 ,1,1,1,0
,Chinook SD 211,1610413,Tompkins School,BOX 339,TOMPKINS,S0N 2S0,306-622-2144,Gr. K-5,23,1,1,0,0
,Chinook SD 211,711113,Val Marie School,BOX 240,VAL MARIE,S0N 2T0,306-298-2144,Gr. K-12,26,1,1,1,1
,Chinook SD 211,1510913,Vanguard Community School,BOX 310,VANGUARD,S0N 2V0,306-582-2134,Gr. K-12,94,1,1,1,1
,Chinook SD 211,1511013,Waldeck Elementary and Junior High School,BOX 90,WALDECK,S0H 4J0,306-778-9292,Gr. K-9,113,1,1,1,0
,Chinook SD 211,1610523,Webb Hutterite School,BOX 75,WEBB,S0N 2X0,306-674-2495,Gr. K-11,31,1,1,1,1
,Chinook SD 211,2410133,Wheatland Hutterite School,BOX 138,CABRI,S0N 0J0,306-587-2458,Gr. K-10,20,1,1,1,1
,Chinook SD 211,1511411,Wymark Hutterite School,PO BOX 386 STN MAIN,SWIFT CURRENT,S9H 3W8,,Gr. 7-9, <10 ,0,0,1,0
,Chinook SD 211,1511113,Wymark School,BOX 30,WYMARK,S0N 2Y0,306-778-9295,Gr. K-9,119,1,1,1,0
10,Christ the Teacher RCSSD 212,3670404,Dreambuilders High School,345 BROADWAY ST W,YORKTON,S3N 0N8,306-782-0901,Gr. 9-12,72,0,0,1,1
,Christ the Teacher RCSSD 212,,Home-based School,,,,,Gr. K-12,51,1,1,1,1
,Christ the Teacher RCSSD 212,3660403,Sacred Heart High School,280  GLADSTONE AVE. N.,YORKTON,S3N 2A8,306-783-3128,Gr. 9-12,348,0,0,1,1
,Christ the Teacher RCSSD 212,3660101,St. Alphonsus School,81  HENDERSON STREET,YORKTON,S3N 0A8,306-783-4121,Gr. K-8,190,1,1,1,0
,Christ the Teacher RCSSD 212,2660101,St. Henry's Junior School,840  MAIN STREET,MELVILLE,S0A 2P0,306-728-4758,Gr. K-5,128,1,1,0,0
,Christ the Teacher RCSSD 212,2660103,St. Henry's Senior School,1255  PRINCE EDWARD STREET,MELVILLE,S0A 2P0,306-728-3877,Gr. 5-9,152,0,1,1,0
,Christ the Teacher RCSSD 212,3660201,St. Mary's School,212  INDEPENDENT STREET,YORKTON,S3N 0S8,306-782-2889,Gr. K-8,102,1,1,1,0
,Christ the Teacher RCSSD 212,3660501,St. Michael's School,407  DARLINGTON STREET EAST,YORKTON,S3N 3Y9,306-782-4407,Gr. K-8,467,1,1,1,0
,Christ the Teacher RCSSD 212,3660301,St. Paul's School,487  PARKVIEW ROAD,YORKTON,S3N 2L8,306-783-9212,Gr. K-8,238,1,1,1,0
,Christ the Teacher RCSSD 212,1380103,St. Theodore School,BOX 430,THEODORE,S0A 4C0,,Gr. K-8,19,1,1,1,0
16,Conseil des écoles fransaskoises 310,4125303,ECF pavillon Gustave Dubois,2320 AVENUE LOUISE,SASKATOON,S7J 3M7,306-955-3983,Gr. 7-12,138,0,0,1,1
,Conseil des écoles fransaskoises 310,625101,École Beau Soleil,C.P. 515,GRAVELBOURG,S0H 1X0,306-648-3112,Gr. K-7,17,1,1,1,0
,Conseil des écoles fransaskoises 310,725101,École Boréale,C.P. 576,PONTEIX,S0N 1Z0,306-625-3345,Gr. K-12,40,1,1,1,1
,Conseil des écoles fransaskoises 310,4125203,École canadienne-française,ALBERT AVE,SASKATOON,S7H 5R8,306-653-8498,Gr. K-6,306,1,1,0,0
,Conseil des écoles fransaskoises 310,1025103,École de Bellegarde,C.P. 69,BELLEGARDE,S0C 0J0,306-452-6135,Gr. K-12,66,1,1,1,1
,Conseil des écoles fransaskoises 310,2125301,École du Parc,601 DOUGLAS AVE E,REGINA,S4N 1H7,,Gr. K-6,161,1,1,0,0
,Conseil des écoles fransaskoises 310,2125101,École Ducharme,340 OMINICA ST W,MOOSE JAW,S6H 1X5,306-691-0068,Gr. K-10,73,1,1,1,1
,Conseil des écoles fransaskoises 310,693003,École Mathieu de Gravelbourg,C.P. 690,GRAVELBOURG,S0H 1X0,306-648-3105,Gr. 8-11, <10 ,0,0,1,1
,Conseil des écoles fransaskoises 310,2125203,École MGR de Laval pavillon secondaire,1440 9TH AVE N,REGINA,S4R 8B1,306-775-1970,Gr. 7-12,165,0,0,1,1
,Conseil des écoles fransaskoises 310,2125103,École Monseigneur de Laval,1601 COWAN CRES,REGINA,S4S 4C4,306-584-7558,Gr. K-6,284,1,1,0,0
,Conseil des écoles fransaskoises 310,5325103,École Notre-Dame-des-Vertus,C.P. 248,ZENON PARK,S0E 1W0,306-767-2209,Gr. K-12,43,1,1,1,1
,Conseil des écoles fransaskoises 310,5825101,École Père Mercure,1881  99E RUE,NORTH BATTLEFORD,S9A 0R9,306-445-2490,Gr. K-12,52,1,1,1,1
,Conseil des écoles fransaskoises 310,4125103,École Providence,C.P. 289,VONDA,S0K 4N0,306-258-2181,Gr. K-12,125,1,1,1,1
,Conseil des écoles fransaskoises 310,4825103,École St-Isidore de Bellevue,GENERAL DELIVERY,ST ISIDORE DE BELLEVUE,S0K 3Y0,306-423-5354,Gr. K-12,91,1,1,1,1
,Conseil des écoles fransaskoises 310,5625103,École Valois,449  10E RUE EST,PRINCE ALBERT,S6V 0Z5,306-763-0230,Gr. K-12,156,1,1,1,1
,Conseil des écoles fransaskoises 310,,Home-based School,,,,,Gr. 1-7, <10 ,0,1,1,0
1,Creighton SD 111,6722013,Creighton Community School,BOX 158,CREIGHTON,S0P 0A0,306-688-5138,Gr. K-12,427,1,1,1,1
27,Good Spirit SD 204,3510301,Bear Stream School,BOX 1674,KAMSACK,S0A 1S0,306-542-9282,Gr. K-11, <10 ,1,1,1,1
,Good Spirit SD 204,3710233,Canora Composite School,BOX 986,CANORA,S0A 0L0,306-563-5492,Gr. 5-12,266,0,1,1,1
,Good Spirit SD 204,3710211,Canora Junior Elementary School,BOX 1150,CANORA,S0A 0L0,306-563-6511,Gr. K-4,157,1,1,0,0
,Good Spirit SD 204,2510423,Churchbridge Public School,BOX 470,CHURCHBRIDGE,S0A 0M0,306-896-2712,Gr. K-12,207,1,1,1,1
,Good Spirit SD 204,3650301,Columbia School,119  BRADBROOKE DRIVE,YORKTON,S3N 2K3,306-786-5510,Gr. K-8,351,1,1,1,0
,Good Spirit SD 204,2650201,Davison School,BOX 2888,MELVILLE,S0A 2P0,306-728-3955,Gr. K-6,186,1,1,0,0
,Good Spirit SD 204,3650801,Dr. Brass School,19  DARLINGTON STREET WEST,YORKTON,S3N 0E3,306-786-5520,Gr. K-8,120,1,1,1,0
,Good Spirit SD 204,2510543,Esterhazy High School,BOX 640,ESTERHAZY,S0A 0X0,306-745-6618,Gr. 6-12,322,0,1,1,1
,Good Spirit SD 204,2610613,Grayson School,BOX 10,GRAYSON,S0A 1E0,306-794-2055,Gr. K-8,49,1,1,1,0
,Good Spirit SD 204,,Home-based School,,,,,Gr. K-12,109,1,1,1,1
,Good Spirit SD 204,3710323,Invermay School,BOX 219,INVERMAY,S0A 1M0,306-593-2233,Gr. K-12,83,1,1,1,1
,Good Spirit SD 204,3510313,Kamsack Comprehensive Institute,BOX 579,KAMSACK,S0A 1S0,306-542-2521,Gr. 5-12,291,0,1,1,1
,Good Spirit SD 204,2510731,Langenburg Central School,BOX 10,LANGENBURG,S0A 2A0,306-743-2631,Gr. K-12,360,1,1,1,1
,Good Spirit SD 204,3650701,M.C. Knoll School,387  DARLINGTON STREET EAST,YORKTON,S3N 3Y9,306-786-5540,Gr. K-8,360,1,1,1,0
,Good Spirit SD 204,2511113,MacDonald School,BOX 40,STOCKHOLM,S0A 3Y0,306-793-2020,Gr. K-9,112,1,1,1,0
,Good Spirit SD 204,2670104,Melville Comprehensive School,BOX 1570,MELVILLE,S0A 2P0,306-728-4181,Gr. 7-12,354,0,0,1,1
,Good Spirit SD 204,2650301,Miller School,BOX 2800,MELVILLE,S0A 2P0,306-728-3961,Gr. K-4,84,1,1,0,0
,Good Spirit SD 204,4510423,Norquay School,BOX 430,NORQUAY,S0A 2V0,306-594-2286,Gr. K-12,215,1,1,1,1
,Good Spirit SD 204,2510521,P.J. Gillen School,BOX 1420,ESTERHAZY,S0A 0X0,306-745-2171,Gr. K-5,250,1,1,0,0
,Good Spirit SD 204,4510513,Preeceville School,BOX 679,PREECEVILLE,S0A 3B0,306-547-3148,Gr. K-12,253,1,1,1,1
,Good Spirit SD 204,3611123,Saltcoats School,BOX 187,SALTCOATS,S0A 3R0,306-744-2303,Gr. K-8,157,1,1,1,0
,Good Spirit SD 204,2622113,Silver Stream School,P O BOX 3640,MELVILLE,S0A 2P0,306-728-5609,Gr. K-9, <10 ,1,1,1,0
,Good Spirit SD 204,3611211,Springside School,BOX 100,SPRINGSIDE,S0A 3V0,306-792-2080,Gr. K-8,124,1,1,1,0
,Good Spirit SD 204,4510823,Sturgis Composite School,BOX 100,STURGIS,S0A 4A0,306-548-2103,Gr. K-12,183,1,1,1,1
,Good Spirit SD 204,3510221,Victoria School,BOX 609,KAMSACK,S0A 1S0,306-542-2546,Gr. K-4,165,1,1,0,0
,Good Spirit SD 204,3611713,Yorkdale Central School,270  GLADSTONE AVE S,YORKTON,S3N 3C6,306-783-5412,Gr. K-8,450,1,1,1,0
,Good Spirit SD 204,3670104,Yorkton Regional High School,150  GLADSTONE AVENUE N,YORKTON,S3N 2A8,306-786-5560,Gr. 9-12,790,0,0,1,1
6,Holy Family RCSSD 140,,Home-based School,,,,,Gr. K-4, <10 ,1,1,0,0
,Holy Family RCSSD 140,260101,Sacred Heart Elementary/École Sacre Coeur,1846  GIBBS ROAD,ESTEVAN,S4A 1Y2,306-634-4249,Gr. K-8,362,1,1,1,0
,Holy Family RCSSD 140,1220213,St. Augustine School (Wilcox),PO BOX 10,WILCOX,S0G 5E0,306-732-2077,Gr. K-8,54,1,1,1,0
,Holy Family RCSSD 140,260301,St. Mary's School,615  ARTHUR AVENUE,ESTEVAN,S4A 1S9,306-634-3541,Gr. K-8,278,1,1,1,0
,Holy Family RCSSD 140,1160203,St. Michael School,426  13TH STREET NE,WEYBURN,S4H 1L3,306-842-2860,Gr. K-9,496,1,1,1,0
,Holy Family RCSSD 140,324011,St. Olivier School,325 BECKWELL AVE,RADVILLE,S0C 2G0,306-869-3221,Gr. K-6,146,1,1,0,0
10,Holy Trinity RCSSD 22,2260701,All Saints Catholic School,2180 WOODROW LLOYD PLACE,SWIFT CURRENT,S9H 5R2,306-773-2460,Gr. K-8,473,1,1,1,0
,Holy Trinity RCSSD 22,724011,Christ the King School,BOX 1330,SHAUNAVON,S0N 2M0,306-297-2321,Gr. K-7,85,1,1,1,0
,Holy Trinity RCSSD 22,,Home-based School,,,,,Gr. 2-2, <10 ,0,1,0,0
,Holy Trinity RCSSD 22,2260603,Phoenix Academy,461 ATHABASCA ST E,MOOSE JAW,S6H 0L9,306-694-1289,Gr. 10-12,96,0,0,0,1
,Holy Trinity RCSSD 22,2260101,Sacred Heart School,1020  12TH AVENUE SW,MOOSE JAW,S6H 5X8,306-694-1622,Gr. K-8,241,1,1,1,0
,Holy Trinity RCSSD 22,2260201,St. Agnes School,330  OXFORD STREET W,MOOSE JAW,S6H 2P2,306-694-1767,Gr. K-8,311,1,1,1,0
,Holy Trinity RCSSD 22,2260301,St. Margaret School,495  5TH AVENUE NE,MOOSE JAW,S6H 0J9,306-694-4044,Gr. K-8,204,1,1,1,0
,Holy Trinity RCSSD 22,2260401,St. Mary School,720 5TH AVE SW,MOOSE JAW,S6H 5W3,306-694-0066,Gr. K-8,142,1,1,1,0
,Holy Trinity RCSSD 22,2260501,St. Michael School,1111  BROWN STREET,MOOSE JAW,S6H 4L2,306-693-7693,Gr. K-8,327,1,1,1,0
,Holy Trinity RCSSD 22,2260602,Vanier Collegiate,324  MACDONALD STREET W,MOOSE JAW,S6H 2V4,306-693-6744,Gr. 9-12,444,0,0,1,1
45,Horizon SD 205,4710713,Annaheim School,BOX 160,ANNAHEIM,S0K 0G0,306-598-2110,Gr. K-12,83,1,1,1,1
,Horizon SD 205,4610113,Archerwill School,BOX 308,ARCHERWILL,S0E 0B0,306-323-2132,Gr. K-9,65,1,1,1,0
,Horizon SD 205,4810213,Bruno School,BOX 160,BRUNO,S0K 0S0,306-369-2541,Gr. K-12,132,1,1,1,1
,Horizon SD 205,2910111,Bulyea Elementary,BOX 70,BULYEA,S0G 0L0,306-725-4872,Gr. K-6,63,1,1,0,0
,Horizon SD 205,4810313,Cudworth School,BOX 490,CUDWORTH,S0K 1B0,306-256-3411,Gr. K-12,146,1,1,1,1
,Horizon SD 205,4010111,Drake School,BOX 23,DRAKE,S0K 1H0,306-363-2142,Gr. K-8,56,1,1,1,0
,Horizon SD 205,4726103,Englefeld School,PO BOX 100,ENGLEFELD,S0K 1N0,306-287-3568,Gr. K-12,85,1,1,1,1
,Horizon SD 205,3810233,Foam Lake Composite High School,BOX 790,FOAM LAKE,S0A 1A0,306-272-3307,Gr. 7-12,123,0,0,1,1
,Horizon SD 205,3810211,Foam Lake Elementary,BOX 939,FOAM LAKE,S0A 1A0,306-272-3321,Gr. K-6,133,1,1,0,0
,Horizon SD 205,2910421,George Gordon Education Center,BOX 70,PUNNICHY,S0A 3C0,306-835-2222,Gr. K-8,162,1,1,1,0
,Horizon SD 205,,Home-based School,,,,,Gr. K-12,93,1,1,1,1
,Horizon SD 205,4711723,Horizon Distance Learning Centre,BOX 40,HUMBOLDT,S0K 2A0,306-682-8638,Gr. 11-12, <10 ,0,0,0,1
,Horizon SD 205,4722112,Humboldt Collegiate Institute,BOX 1780,HUMBOLDT,S0K 2A0,306-682-1010,Gr. 9-12,382,0,0,1,1
,Horizon SD 205,4722011,Humboldt Public School,BOX 848,HUMBOLDT,S0K 2A0,306-682-2684,Gr. K-8,272,1,1,1,0
,Horizon SD 205,3010413,Imperial School,BOX 240,IMPERIAL,S0G 2J0,306-963-2240,Gr. K-12,95,1,1,1,1
,Horizon SD 205,2610813,Ituna School,BOX 370,ITUNA,S0A 1N0,306-795-2581,Gr. K-12,204,1,1,1,1
,Horizon SD 205,4610323,Kelvington High School,BOX 400,KELVINGTON,S0A 1W0,306-327-5232,Gr. 6-12,122,0,1,1,1
,Horizon SD 205,4710613,Lake Lenore School,BOX 40,LAKE LENORE,S0K 2J0,306-368-2333,Gr. K-12,84,1,1,1,1
,Horizon SD 205,4611031,Lakeside Colony School,BOX 580,QUILL LAKE,S0A 3E0,306-383-2223,Gr. K-9,28,1,1,1,0
,Horizon SD 205,4010422,Lanigan Central High School,BOX 639,LANIGAN,S0K 2M0,306-365-2830,Gr. 9-12,123,0,0,1,1
,Horizon SD 205,4010411,Lanigan Elementary School,BOX 789,LANIGAN,S0K 2M0,306-365-2011,Gr. K-8,237,1,1,1,0
,Horizon SD 205,4010523,Leroy School,BOX 278,LEROY,S0K 2P0,306-286-3313,Gr. K-12,100,1,1,1,1
,Horizon SD 205,4711013,Muenster School,BOX 160,MUENSTER,S0K 2Y0,306-682-4538,Gr. K-12,156,1,1,1,1
,Horizon SD 205,3810523,New Horizon Hutterian School,BOX 190,LESTOCK,S0A 2G0,306-746-7403,Gr. K-9, <10 ,1,1,1,0
,Horizon SD 205,3010613,Nokomis School,BOX 129,NOKOMIS,S0G 3R0,306-528-2191,Gr. K-8,52,1,1,1,0
,Horizon SD 205,2910411,Punnichy Elementary,BOX 206,PUNNICHY,S0A 3C0,306-835-2128,Gr. K-8,140,1,1,1,0
,Horizon SD 205,2910423,Punnichy High School,BOX 460,PUNNICHY,S0A 3C0,306-835-2140,Gr. 9-12,168,0,0,1,1
,Horizon SD 205,4611023,Quill Lake School,BOX 250,QUILL LAKE,S0A 3E0,306-383-2533,Gr. K-12,106,1,1,1,1
,Horizon SD 205,2910623,Raymore School,BOX 520,RAYMORE,S0A 3J0,306-746-2112,Gr. K-12,240,1,1,1,1
,Horizon SD 205,4610311,Robert Melrose Elementary,BOX 160,KELVINGTON,S0A 1W0,306-327-4951,Gr. K-5,98,1,1,0,0
,Horizon SD 205,4611123,Rose Valley School,BOX 400,ROSE VALLEY,S0E 1M0,306-322-2341,Gr. K-12,87,1,1,1,1
,Horizon SD 205,3010713,Sask Central Hutterian School,BOX 24,SEMANS,S0A 3S0,306-946-7086,Gr. 2-12, <10 ,0,1,1,1
,Horizon SD 205,3010313,Schell School,BOX 28,HOLDFAST,S0G 2H0,306-488-2055,Gr. K-11,73,1,1,1,1
,Horizon SD 205,4711213,St. Brieux School,BOX 70,ST BRIEUX,S0K 3V0,306-275-2133,Gr. K-12,263,1,1,1,1
,Horizon SD 205,4710813,Three Lakes School,BOX 38,MIDDLE LAKE,S0K 2X0,306-367-2122,Gr. K-12,60,1,1,1,1
,Horizon SD 205,4010923,Viscount Central School,BOX 280,VISCOUNT,S0K 4M0,306-944-2027,Gr. K-12,135,1,1,1,1
,Horizon SD 205,4611423,Wadena Composite School,BOX 970,WADENA,S0A 4J0,306-338-2235,Gr. 7-12,149,0,0,1,1
,Horizon SD 205,4611411,Wadena Elementary,BOX 1150,WADENA,S0A 4J0,306-338-2455,Gr. K-6,203,1,1,0,0
,Horizon SD 205,4810913,Wakaw School,BOX 850,WAKAW,S0K 4P0,306-233-4683,Gr. K-12,266,1,1,1,1
,Horizon SD 205,3010911,Watrous Elementary,BOX 789,WATROUS,S0K 4T0,306-946-3366,Gr. K-7,244,1,1,1,0
,Horizon SD 205,3010922,Watrous Winston High School,BOX 1089,WATROUS,S0K 4T0,306-946-3309,Gr. 8-12,188,0,0,1,1
,Horizon SD 205,4711623,Watson School,BOX 100,WATSON,S0K 4V0,306-287-3535,Gr. K-12,138,1,1,1,1
,Horizon SD 205,2910923,William Derby School,BOX 517,STRASBOURG,S0G 4V0,306-725-3441,Gr. K-12,229,1,1,1,1
,Horizon SD 205,3810623,Wynyard Composite High School,BOX 880,WYNYARD,S0A 4T0,306-554-2539,Gr. 7-12,184,0,0,1,1
,Horizon SD 205,3810611,Wynyard Elementary,BOX 789,WYNYARD,S0A 4T0,306-554-2325,Gr. K-6,232,1,1,0,0
2,Ile a la Crosse SD 112,6720111,Rossignol Elementary School,BOX 70,ILE-A-LA-CROSSE,S0M 1C0,306-833-2010,Gr. K-6,176,1,1,0,0
,Ile a la Crosse SD 112,6720113,Rossignol High School,BOX 570,ILE-A-LA-CROSSE,S0M 1C0,306-833-2388,Gr. 7-12,169,0,0,1,1
8,Light of Christ RCSSD 16,5861101,École Monseigneur Blaise Morand,1651  96TH STREET,NORTH BATTLEFORD,S9A 0H7,306-446-2167,Gr. K-7,343,1,1,1,0
,Light of Christ RCSSD 16,5860301,Holy Family School,9201  19TH AVENUE,NORTH BATTLEFORD,S9A 2W2,306-445-2360,Gr. K-7,254,1,1,1,0
,Light of Christ RCSSD 16,,Home-based School,,,,,Gr. K-12,16,1,1,1,1
,Light of Christ RCSSD 16,5860803,John Paul II Collegiate,1491  97TH STREET,NORTH BATTLEFORD,S9A 0K1,306-446-2232,Gr. 8-12,665,0,0,1,1
,Light of Christ RCSSD 16,5860201,Notre Dame School,1241  105TH STREET,NORTH BATTLEFORD,S9A 1S8,306-445-0283,Gr. K-7,213,1,1,1,0
,Light of Christ RCSSD 16,6424011,Rivier Elementary School,BOX 678,SPIRITWOOD,S0J 2M0,306-883-2382,Gr. K-6,111,1,1,0,0
,Light of Christ RCSSD 16,5860501,St. Mary School,1352  110TH STREET,NORTH BATTLEFORD,S9A 2J1,306-445-5152,Gr. K-7,189,1,1,1,0
,Light of Christ RCSSD 16,5924111,St. Peter's School,BOX 598,UNITY,S0K 4L0,306-228-4141,Gr. K-6,149,1,1,0,0
