X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-81.0221979249999,44.9080828210001,33,137284613,9000000032,AIDS Bureau,CBAESP,Chippewas of Nawash First Nation, , , ,135 Lakeshore Boulevard,Chippewas of Nawash Health Centre,Practice Location,Wiarton,N0H2T0,20210527134249,20210527083722
-79.873524705,43.256944192,34,137284614,9000000033,AIDS Bureau,"AT site, HIV POC Testing","City of Hamilton, Hamilton Public Health, David Braley Science Centre
Sexual Health Program", , , ,100 Main Street West,4th Floor,Practice Location,Hamilton,L8P1H6,20210527134551,20210527083729
-79.8711221039999,43.257866693,35,137284615,9000000034,AIDS Bureau,"CBAESP, AT site, HIV POC Testing","City of Hamilton, Hamilton Public Health, Infectious Diseases Program", , , ,110 King Street West,4th Floor,Practice Location,Hamilton,L8P4S6,20210527134239,20210527083724
-75.690095137,45.430523957,36,137284616,9000000035,AIDS Bureau,"CBAESP, HR Program","City of Ottawa, Ottawa Public Health", , , ,179 Clarence Street, ,Practice Location,Ottawa,K1N5P7,20210527133915,20210527083731
-79.379380383,43.656544286,37,137284617,9000000036,AIDS Bureau,CBAESP,"City of Toronto, Toronto Public Health", , , ,277 Victoria Street,5th Floor,Practice Location,Toronto,M5B1W2,20210527133940,20210527083726
-79.3670335799999,43.662370787,38,137284618,9000000037,AIDS Bureau,CBAESP,"Committee for Accessible AIDS Treatment, c/o Regent Park Community Health Centre", , , ,411 Parliament Street, ,Practice Location,Toronto,M5A3A1,20210527134441,20210527083734
-78.844790431,43.869286048,39,137284619,9000000038,AIDS Bureau,"HCV Team, HIV POC Testing",Carea Community Health Centre, , , ,115 Grassmere Avenue, ,Practice Location,Oshawa,L1H3X7,20210527133620,20210527083729
-78.878957943,43.8894496500001,40,137284620,9000000039,AIDS Bureau,"AT site, HIV POC Testing","Durham Region Health Department
Oshawa Sexual Health Clinic", , , ,419 King Street West,"Suite 180, Office Galleria",Practice Location,Oshawa,L1J2K5,20210527133637,20210527083724
-79.444735204,43.654148682,41,137284621,9000000040,AIDS Bureau,CBAESP,Family Service Toronto, , , ,Sterling Road,"Unit 202, 128a",Practice Location,Toronto,M6R2B7,20210527134500,20210527083732
-79.3750863829999,43.667658288,42,137284622,9000000041,AIDS Bureau,CBAESP,Fife House, , , ,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,20210527133931,20210527083727
-79.36822568,43.6644110880001,43,137284623,9000000042,AIDS Bureau,CBAESP,"Gay Men's Sexual Health Alliance
c/o Ontario AIDS Network", , , ,252 Carlton Street,"Unit A, Suite 300",Practice Location,Toronto,M5A2L1,20210527134332,20210527083722
-79.6939130489999,44.3834345970001,44,137284624,9000000043,AIDS Bureau,"CBAESP, HR Program",Gilbert Centre for Social and Support Services, , , ,80 Bradford Street,Suite 555,Practice Location,Barrie,L4N6S7,20210527134429,20210527083729
-79.362525778,43.6561596870001,45,137284625,9000000044,AIDS Bureau,CBAESP,Good Shepherd Refuge Social Ministries (Barrett House), , , ,412 Queen Street East, ,Practice Location,Toronto,M5A1T3,20210527134408,20210527083725
-84.316074553,46.522245501,46,137284626,9000000045,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing","Group Health Centre, Sault Ste. Marie and District", , , ,240 McNabb Street, ,Practice Location,Sault Ste. Marie,P6B1Y5,20210527133639,20210527083732
-79.784582885,43.3540526140001,47,137284627,9000000046,AIDS Bureau,"AT site, HIV POC Testing",Halton Region Health Department, , , ,3350 Fairview Street, ,Practice Location,Burlington,L7N3L5,20210527133804,20210527083728
-79.854090199,43.2624780940001,48,137284628,9000000047,AIDS Bureau,HIV Outpatient Clinic,"Hamilton Health Sciences
Special Immunology Services Clinic", , , ,237 Barton Street East, ,Practice Location,Hamilton,L8L2X2,20210527134930,20210527083733
-79.3788056829999,43.6600556860001,49,137284629,9000000048,AIDS Bureau,"CBAESP, AT Site, HIV POC Testing",Hassle Free Clinic, , , ,66 Gerrard Street East,Suite 200,Practice Location,Toronto,M5B1G3,20210527133922,20210527083726
-77.391696989,44.1867127680001,50,137284630,9000000049,AIDS Bureau,HIV POC Testing,Hastings & Prince Edward Counties Health Unit, , , ,179 North Park Street, ,Practice Location,Belleville,K8P4P1,20210527133703,20210527083730
-79.374175182,43.664736088,51,137284631,9000000050,AIDS Bureau,HIV Outpatient Clinic,"Health Centre at 410
St. Michael's Hospital", , , ,410 Sherbourne Street, ,Practice Location,Toronto,M4X1K2,20210527133828,20210527083728
-81.0082657849999,46.4736402770001,52,137284632,9000000051,AIDS Bureau,HIV Outpatient Clinic,"Health Sciences North, The HAVEN Program", , , ,865 Regent Street, ,Practice Location,Greater Sudbury,P3E3Y9,20210527134616,20210527083724
-79.2356906489999,43.788679716,53,137284633,9000000052,AIDS Bureau,CBAESP,Hemophilia Ontario, , , ,10 Milner Business Court,Suite 300,Practice Location,Toronto,M1B3C6,20210527134949,20210527083731
-79.383955084,43.6467403840001,54,137284634,9000000053,AIDS Bureau,CBAESP,HIV & AIDS Legal Clinic Ontario, , , ,55 University Avenue,Suite 1400,Practice Location,Toronto,M5J2H7,20210527133832,20210527083726
-76.508930806,44.2398579160001,55,137284635,9000000054,AIDS Bureau,"CBAESP, HR Program",HIV/AIDS Regional Services, , , ,844 Princess Street,Unit A,Practice Location,Kingston,K7L1G5,20210527134027,20210527083734
-80.268985056,43.5499860250001,56,137284636,9000000055,AIDS Bureau,"CBAESP, HR Program, HIV Outpatient Clinic",HIV/AIDS Resources and Community Health Clinic (ARCH Clinic), , , ,77 Westmount Road,Unit 110,Practice Location,Guelph,M2M4K5,20210527134110,20210527083724
-79.395982793,43.7068503940001,57,137284637,9000000056,AIDS Bureau,CBAESP,Hospice Toronto, , , ,55 Eglinton Avenue East,Suite 502,Practice Location,Toronto,M4P1G8,20210527134733,20210527083729
-76.485922898,44.2308647150001,58,137284638,9000000057,AIDS Bureau,HIV Outpatient Clinic,"Hotel Dieu Hospital
Kingston Hospital Science Centre
Infection & Immunology Clinic", , , ,166 Brock Street, ,Practice Location,Kingston,K7L5G2,20210527134641,20210527083722
-78.86684194,43.898428552,59,137284639,9000000059,AIDS Bureau,"CBAESP, HR Program",John Howard Society of Durham Region, , , ,75 Richmond Street West, ,Practice Location,Oshawa,L1G1E3,20210527134552,20210527083726
-76.492059103,44.26243372,60,137284640,9000000060,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Kingston Community Health Centres, , , ,263 Weller Avenue,Unit 4,Practice Location,Kingston,K7K2V4,20210527134324,20210527083731
-76.525155511,44.227763313,61,137284641,9000000061,AIDS Bureau,"AT site, HIV POC Testing","Kingston, Frontenac and Lennox & Addington Public Health Unit", , , ,221 Portsmouth Avenue, ,Practice Location,Kingston,K7M1V5,20210527134814,20210527083723
-78.943897861,43.8550654410001,62,137284642,9000000062,AIDS Bureau,"CBAESP, HCV Team, HIV Outpatient Clinic, HIV POC Testing","Lakeridge Health, Positive Care Clinic", , , ,300 Gordon Street, ,Practice Location,Whitby,L1N5T2,20210527134523,20210527083728
-79.375905181,43.650324385,63,137284643,9000000063,AIDS Bureau,CBAESP,LOFT Community Services, , , ,15 Toronto Street,19th floor,Practice Location,Toronto,M5C2E3,20210527133824,20210527083733
-81.2297278089999,42.9890499810001,64,137284644,9000000064,AIDS Bureau,"CBAESP, HCV Team, AT Site, HIV POC Testing","London Intercommunity Health Centre, Options Clinic", , , ,659 Dundas Street, ,Practice Location,London,N5W2Z1,20210527134535,20210527083726
-79.364052678,43.6554704860001,65,137284645,9000000065,AIDS Bureau,CBAESP,Maggie's: Toronto Sex Workers Action Project, , , ,351 Queen Street East,Postal Office Box 82527,Practice Location,Toronto,M5A1T2,20210527134257,20210527083730
-81.254038216,42.9814550780001,66,137284646,9000000066,AIDS Bureau,HIV POC Testing,Middlesex-London Health Unit, , , ,50 King Street, ,Practice Location,London,N6A5L7,20210527134138,20210527083723
-79.3900881869999,43.657552486,67,137284647,9000000068,AIDS Bureau,HIV Outpatient Clinic,"Mount Sinai Hospital, Department of Psychiatry, Clinic for HIV-Related Concerns", , , ,600 University Avenue,Unit 965D,Practice Location,Toronto,M5G1X5,20210527134929,20210527083727
-79.278503707,43.1536715010001,68,137284648,9000000069,AIDS Bureau,"HCV Team, HIV POC Testing",Niagara Health System, , , ,1200 Fourth Avenue, ,Practice Location,St. Catharines,L2S0A9,20210527134456,20210527083733
-79.232121994,43.169304606,69,137284649,9000000070,AIDS Bureau,"AT site, HIV POC Testing","Niagara Region Public Health Department, St. Catharines Sexual Health Centre", , , ,277 Welland Avenue,Unit 4,Practice Location,St. Catharines,L2R2P7,20210527133802,20210527083725
-79.467664565,46.31328863,70,137284650,9000000071,AIDS Bureau,"AT site, HIV POC Testing",North Bay Parry Sound District Health Unit, , , ,345 Oak Street West, ,Practice Location,North Bay,P1B2S7,20210527133815,20210527083730
-82.00250066,43.0963356620001,71,137284651,9000000072,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",North Lambton Community Health Centre, , , ,59 King Street West,Suite 3,Practice Location,Lambton Shores,N0N1J0,20210527134240,20210527083723
-94.488231295,49.769548339,72,137284652,9000000073,AIDS Bureau,"AT site, HIV POC Testing",Northwestern Health Unit, , , ,210 First Street North, ,Practice Location,Kenora,P9N2K4,20210527134533,20210527083728
-79.393411692,43.7079869940001,73,137284653,9000000074,AIDS Bureau,"CBAESP, HR Program",Ontario Aboriginal HIV/AIDS Strategy, , , ,164 Eglinton Avenue East,Suite 301,Practice Location,Toronto,M4P1A6,20210527133712,20210527083733
-79.36822568,43.6644110880001,74,137284654,9000000075,AIDS Bureau,CBAESP,Ontario AIDS Network, , , ,252 Carlton Street,"Unit A, Suite 300",Practice Location,Toronto,M5A2L1,20210527133717,20210527083725
-79.38043019,43.734708099,75,137284655,9000000076,AIDS Bureau,CBAESP,"Ontario Association of the Deaf, Deaf Outreach Project", , , ,2395 Bayview Avenue, ,Practice Location,Toronto,M2L1A2,20210527134215,20210527083729
-79.3750863829999,43.667658288,76,137284656,9000000077,AIDS Bureau,CBAESP,Ontario Harm Reduction Network (c/o Fife House), , , ,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,20210527134659,20210527083722
-79.39276069,43.6842029900001,77,137284657,9000000078,AIDS Bureau,CBAESP,Ontario HIV Treatment Network, , , ,1300 Yonge Street,Suite 600,Practice Location,Toronto,M4T1X3,20210527134725,20210527083727
-81.248359314,42.983130579,78,137284658,9000000079,AIDS Bureau,CBAESP,Ontario Organizational Development Program, , , ,186 King Street,Unit 30,Practice Location,London,N6A1C7,20210527134750,20210527083732
-75.697357138,45.415745454,79,137284659,9000000080,AIDS Bureau,CBAESP,Ottawa Gay Men's Wellness Initiative (Operating as MAX Ottawa), , , ,400 Cooper Street,Suite 9004,Practice Location,Ottawa,K2P2H8,20210527133635,20210527083725
-75.6476279199999,45.401233054,80,137284660,9000000081,AIDS Bureau,"CBAESP, HIV Outpatient Clinic","The Ottawa Hospital, Module G", , , ,501 Smyth Road,2nd Floor,Practice Location,Ottawa,K1H8L6,20210527133943,20210527083729
-75.690095137,45.430523957,81,137284661,9000000082,AIDS Bureau,"AT site, HIV POC Testing",Ottawa Public Health, , , ,179 Clarence Street, ,Practice Location,Ottawa,K1N5P7,20210527134711,20210527083722
-81.151236865,42.777842547,82,137284662,9000000083,AIDS Bureau,"AT site, HIV POC Testing","Oxford Elgin St. Thomas Public Health, Sexual Health Program", , , ,1230 Talbot Street, ,Practice Location,St. Thomas,N5P1G9,20210527134147,20210527083727
-79.726319894,43.6586067700001,83,137284663,9000000084,AIDS Bureau,"CBAESP, HR Program",MOYO Health and Community Services, , , ,7700 Hurontario Street,Unit 601,Practice Location,Brampton,L6Y4M3,20210527134650,20210527083732
-79.4042305899999,43.646597383,84,137284664,9000000085,AIDS Bureau,"CBAESP, AT site, HR Program, HIV POC Testing",Parkdale Queen West Community Health Centre, , , ,168 Bathurst Street, ,Practice Location,Toronto,M5V2R4,20210527134213,20210527083724
-78.3203190999999,44.301808647,85,137284665,9000000086,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Peterborough AIDS Resource Network, , , ,159 King Street,Suite 302,Practice Location,Peterborough,K9J2R8,20210527133828,20210527083729
-79.3973703899999,43.669612187,86,137284666,9000000087,AIDS Bureau,"AT site, HIV POC Testing",Planned Parenthood of Toronto, , , ,36 Prince Arthur Avenue,Unit B,Practice Location,Toronto,M5R1A9,20210527134539,20210527083734
-81.3286263259999,48.4725466680001,87,137284667,9000000088,AIDS Bureau,"CBAESP, AT Site, HR Program, HIV POC Testing",Porcupine Health Unit, , , ,169 Pine Street South,Postal Office Bag 2012,Practice Location,Timmins,P4N8B7,20210527133916,20210527083726
-79.232754394,43.1633663050001,88,137284668,9000000089,AIDS Bureau,"CBAESP, HR Program",Positive Living Niagara, , , ,120 Queenston Street, ,Practice Location,St. Catharines,L2R2Z3,20210527133657,20210527083731
-79.3645549779999,43.6546728860001,89,137284669,9000000090,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Prisoners with HIV/AIDS Support Action Network, , , ,526 Richmond Street East, ,Practice Location,Toronto,M5A1R3,20210527134003,20210527083724
-79.3783245819999,43.6537763850001,90,137284670,9000000091,AIDS Bureau,CBAESP,"Providence St. Joseph's and St. Michael's Healthcare, Department of Family and Community Medicine", , , ,30 Bond Street, ,Practice Location,Toronto,M5B1W8,20210527134210,20210527083728
-79.365588879,43.659384887,91,137284671,9000000092,AIDS Bureau,"CBAESP, HR Program",Regent Park Community Health Centre, , , ,465 Dundas Street East, ,Practice Location,Toronto,M5A2B2,20210527133645,20210527083726
-79.719585697,43.718327581,92,137284672,9000000093,AIDS Bureau,"AT site, HIV POC Testing","Region of Peel, Peel Public Health -
Bramalea Clinic", , , ,150 Central Park Drive,Suite 09,Practice Location,Brampton,L6T2T9,20210527133826,20210527083731
-79.638283759,43.583194561,93,137284673,9000000094,AIDS Bureau,"AT site, HIV POC Testing","Region of Peel, Peel Public Health - Fairview Clinic", , , ,325 Central Parkway West,Unit 21,Practice Location,Mississauga,L5B3X9,20210527133848,20210527083724
-79.637413371,43.7182926850001,94,137284674,9000000095,AIDS Bureau,"AT site, HIV POC Testing","Region of Peel, Peel Public Health - Malton Clinic", , , ,7205 Goreway Drive,"Suite B7, Lower Level",Practice Location,Mississauga,L4T2T9,20210527134659,20210527083728
-79.758124997,43.5819880550001,95,137284675,9000000096,AIDS Bureau,"AT site, HIV POC Testing","Region of Peel, Peel Public Health - Meadowvale Clinic", , , ,6975 Meadowvale Town Centre Circle,Unit 3,Practice Location,Mississauga,L5N2W7,20210527135025,20210527083722
-80.520840628,43.4629274980001,96,137284676,9000000097,AIDS Bureau,"AT site, HIV POC Testing",Region of Waterloo Public Health, , , ,99 Regina Street South,2nd Floor,Practice Location,Waterloo,N2J4V3,20210527133741,20210527083726
-81.248359314,42.983130579,97,137284677,9000000098,AIDS Bureau,"CBAESP, HR Program",Regional HIV/AIDS Connection, , , ,186 King Street,Unit 30,Practice Location,London,N6A1C7,20210527133816,20210527083730
-80.9925041819999,46.491108981,98,137284678,9000000099,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Réseau Access Network, , , ,111 Larch Street,Unit 401,Practice Location,Greater Sudbury,P3E4T5,20210527134724,20210527083723
-79.57171735,43.719337088,99,137284679,9000000100,AIDS Bureau,"AT site, HIV POC Testing",Rexdale Community Health Centre, , , ,8 Taber Road, ,Practice Location,Toronto,M9W3A4,20210527134715,20210527083728
-75.6836023339999,45.4293894570001,100,137284680,9000000101,AIDS Bureau,"CBAESP, AT Site, HR Program, HIV Outpatient Clinic, HIV POC Testing","Sandy Hill Community Health Centre, OASIS Program", , , ,221 Nelson Street,1st Floor,Practice Location,Ottawa,K1N1C7,20210527134040,20210527083733
-80.521339929,43.4686192990001,101,137284681,9000000102,AIDS Bureau,"HCV Team, HIV POC Testing",Sanguen Health Centre, , , ,29 Young Street East, ,Practice Location,Waterloo,N2J2L4,20210527134301,20210527083725
-81.344091888,44.5146705380001,102,137284682,9000000103,AIDS Bureau,CBAESP,"Saugeen First Nation No. 29, 
Mino Bimaadsawin Health Centre", , , ,57 Mason Drive,R.R. 1,Practice Location,Southampton,N0L2L0,20210527133842,20210527083730
-79.287706865,43.783738612,103,137284683,9000000104,AIDS Bureau,HIV POC Testing,Scarborough Centre for Healthy Communities, , , ,4002 Sheppard Avenue East,Suite 401,Practice Location,Toronto,M1S4R5,20210527134927,20210527083723
-80.149252997,45.4350401520001,104,137284684,9000000105,AIDS Bureau,CBAESP,Shawanaga First Nation Healing Centre, , , ,19 Shebeshekong Road,R.R. 1,Practice Location,Nobel,P0G1G0,20210527134642,20210527083727
-79.3720207809999,43.6623076870001,105,137284685,9000000106,AIDS Bureau,"HCV Team, HIV POC Testing",Sherbourne Health Centre, , , ,333 Sherbourne Street, ,Practice Location,Toronto,M5A2S5,20210527133651,20210527083733
-79.3877377859999,43.657104286,106,137284686,9000000107,AIDS Bureau,HIV Outpatient Clinic,"Sick Kids Hospital, ID2 Clinic", , , ,555 University Avenue, ,Practice Location,Toronto,M5G1X8,20210527134642,20210527083725
-79.6939130489999,44.3834345970001,107,137284687,9000000108,AIDS Bureau,"CBAESP, AT site, HIV POC Testing",Simcoe Muskoka District Health Unit, , , ,80 Bradford Street,Suite 403,Practice Location,Barrie,L4N6S7,20210527133729,20210527083730
-91.9174592799999,50.0999101840001,108,137284688,9000000109,AIDS Bureau,"CBAESP, HR Program, HCV Team, HIV POC Testing",Sioux Lookout First Nations Health Authority, , , ,61 Queen Street East,Postal Office Box 1300,Practice Location,Sioux Lookout,P8T1B8,20210527134232,20210527083723
-80.116943066,43.0703540480001,109,137284689,9000000110,AIDS Bureau,CBAESP,Six Nations of The Grand River, , , ,1695 Chiefswood Road,Postal Office Box 5000,Practice Location,Ohsweken,N0A1M0,20210527134725,20210527083728
-75.709909341,45.4090382520001,110,137284690,9000000111,AIDS Bureau,"CBAESP, AT Site, HR Program, HIV POC Testing",Somerset West Community Health Centre, , , ,55 Eccles Street, ,Practice Location,Ottawa,K1R6S3,20210527134137,20210527083732
-79.339122071,43.6610322880001,111,137284691,9000000112,AIDS Bureau,"CBAESP HR Program, HCV Team, HIV POC Testing",South Riverdale Community Health Centre, , , ,955 Queen Street East, ,Practice Location,Toronto,M4M3P3,20210527134951,20210527083724
-75.675053828,45.38799185,112,137284692,9000000113,AIDS Bureau,"AT site, HIV POC Testing",South-East Ottawa Community Health Centre, , , ,1355 Bank Street,Suite 600,Practice Location,Ottawa,K1H8K7,20210527134040,20210527083729
-81.255036318,43.001268382,113,137284693,9000000114,AIDS Bureau,"CBAESP, HIV Outpatient Clinic","St. Joseph's Health Care London, Infectious Diseases Care Program", , , ,268 Grosvenor Street, ,Practice Location,London,N6A4V2,20210527134822,20210527083722
-79.3783245819999,43.6537763850001,114,137284694,9000000115,AIDS Bureau,HIV Outpatient Clinic,"St. Michael's Hospital, Positive Care Clinic", , , ,30 Bond Street,"North Wing, 4th Floor, Cardinal Carter",Practice Location,Toronto,M5B1X1,20210527134113,20210527083727
-76.483159798,44.233770516,115,137284695,9000000116,AIDS Bureau,HIV POC Testing,Street Health Centre, , , ,115 Barrack Street, ,Practice Location,Kingston,K7K1G2,20210527134057,20210527083732
-79.403564691,43.656326585,116,137284696,9000000117,AIDS Bureau,CBAESP,Neighbourhood Group Community Services, , , ,91 Bellevue Avenue, ,Practice Location,Toronto,M5T2N8,20210527134701,20210527083724
-80.999792185,46.493785481,117,137284697,9000000118,AIDS Bureau,"CBAESP, HR Program",Sudbury Action Centre for Youth, , , ,95 Pine Street, ,Practice Location,Greater Sudbury,P3C1W9,20210527134037,20210527083729
-80.997954181,46.4660569770001,118,137284698,9000000119,AIDS Bureau,CBAESP,Sudbury and District Health Unit (operating as Public Health Sudbury & Districts), , , ,1300 Paris Street, ,Practice Location,Greater Sudbury,P3E3A3,20210527134926,20210527083722
