District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,1_to_6,7_to_9,10_to_12,ISCED1,ISCED2,ISCED3,ISCED020,ISCED010
36,3636178,A J McLellan Elementary,16545 61 Ave,Surrey                        ,BC             ,V3S 5V4,Ms,Paula,Desautels,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 574-7296,604 574-9073,ajmclellan@surreyschools.ca,522,September 30 2019,0,48,0,0,0,65,73,63,61,60,77,75,0,0,0,0,0,399,75,0,1,1,0,1,
83,8389002,A L Fortune Secondary,500 Bass Ave,Enderby                       ,BC             ,V0E 1V2,Mr,Scott,Anderson,Standard School                         ,7-12,Public School,,no,yes,no,no,yes,yes,no,250 838-6431,250 804-7780,alf@sd83.bc.ca                                                                                      ,282,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,51,52,61,37,39,42,0,164,118,0,1,1,,
23,2323031,A S Matheson Elementary,2090 Gordon Dr,Kelowna                       ,BC             ,V1Y 3H9,Mrs,Monique,West,Standard School                         ,K-6,Public School,,yes,no,no,no,no,no,no,250 870-5112,250 870-5012,monique.west@sd23.bc.ca                                                                             ,291,September 30 2019,0,39,4,0,0,42,39,55,38,40,38,0,0,0,0,0,0,252,0,0,1,0,0,1,
23,2325033,A S Matheson StrongStart Centre,2090 Gordon Dr,Kelowna                       ,BC             ,V1Y 3H9,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 870-5112,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
70,7025172,A W Neill  StrongStart Centre,5055 Compton Rd,Port Alberni                  ,BC             ,V9Y 7B5,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 723-8151,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
70,7070028,A W Neill Elementary,5055 Compton Rd,Port Alberni                  ,BC             ,V9Y 7B5,Mr,Ron,Behnke,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 723-8151,250 723-5997,bwitte@sd70.bc.ca                                                                                   ,324,September 30 2019,0,34,0,0,0,41,32,56,39,44,36,42,0,0,0,0,0,248,42,0,1,1,0,1,
38,3838064,A.R. MacNeill Secondary,6611 No. 4 Rd,Richmond                      ,BC             ,V6Y 2T2,Ms,Marcy,Timmins,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,604 668-6212,604 668-6202,macneill@sd38.bc.ca                                                                                 ,748,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,147,155,145,136,165,0,302,446,0,1,1,,
87,8797074,Aatse Davie School,PO Box 79,Fort Ware                     ,BC             ,V0J 3B0,Mr,Andreas,Rohrbach,Standard School                         ,K-12,Independent School,2.0,no,no,no,no,no,no,no,250 471-2002,250 471-2080,aatse@pris.bc.ca                                                                                    ,86,September 30 2019,0,6,0,0,0,4,6,13,4,7,9,4,8,4,10,7,4,43,16,21,1,1,1,1,
34,3496069,Abbotsford Christian School,35011 Old Clayburn Rd,Abbotsford                    ,BC             ,V2S 7L7,Mr,Julius,Siebenga,Standard School                         ,K-12,Independent School,1.0,no,no,no,no,no,no,no,604 755-1891,604 859-2240,jsiebenga@abbotsfordchristian.com,1104,September 30 2019,41,41,0,0,0,84,83,85,88,69,103,76,94,87,87,84,82,512,257,253,1,1,1,1,
34,3434025,Abbotsford Middle School,33231 Bevan Ave,Abbotsford                    ,BC             ,V2S 0A9,Mr,Jamie,Beck,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 859-7125,604 850-2260,jamie.beck@abbyschools.ca                                                                           ,689,September 30 2019,0,0,0,0,0,0,0,0,0,0,210,239,240,0,0,0,0,210,479,0,1,1,0,,
34,3434022,Abbotsford Senior Secondary School,33355 Bevan  Ave,Abbotsford                    ,BC             ,V2S 0E7,Mr,Phil,Cookson,Standard School                         ,9-12,Public School,,no,no,no,no,no,yes,yes,604 853-3367,604 853-3045,phil.cookson@abbyschools.ca,1168,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,266,291,322,289,0,266,902,0,1,1,,
34,3434020,Abbotsford Traditional Middle School,2272 Windsor St,Abbotsford                    ,BC             ,V2T 6M1,Mr,Reg,Gabriel,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,604 850-3511,604 850-7692,reg.gabriel@abbyschools.ca,328,September 30 2019,0,0,0,0,0,0,0,0,0,0,120,110,98,0,0,0,0,120,208,0,1,1,0,,
34,3434061,Abbotsford Traditional Senior Secondary,2272 Windsor St,Abbotsford                    ,BC             ,V2T 6M1,Mr,Reg,Gabriel,Standard School                         ,9-12,Public School,,no,no,no,no,no,no,no,604 850-7029,604 850-7028,reg.gabriel@abbyschools.ca,416,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,101,130,94,91,0,101,315,0,1,1,,
34,3499101,Abbotsford Virtual School,33952 Pine St,Abbotsford                    ,BC             ,V2S 2P3,Mr,Zhi,Su,Distributed Learning Programs           ,"K-12, GA",Public School,,no,no,no,no,no,no,no,604 859-9803,604 854-1463,zhi.su@abbyschools.ca                                                                               ,950,September 30 2019,0,12,12,0,0,12,8,5,10,13,22,17,40,22,109,170,404,70,79,683,1,1,1,1,
34,3434026,Aberdeen Elementary,2975 Bradner Rd,Abbotsford                    ,BC             ,V4X 1K6,Mr,David,Rossi,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 856-5137,604 856-5714,david.rossi@abbyschools.ca,238,September 30 2019,0,36,0,0,0,50,49,38,37,28,0,0,0,0,0,0,0,202,0,0,1,0,0,1,
73,7324071,Aberdeen Elementary,2191 Van Horne Dr,Kamloops                      ,BC             ,V1S 1L9,Ms,Tanya,Rogers,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 372-5844,250 377-2253,trogers@sd73.bc.ca                                                                                  ,418,September 30 2019,0,51,1,0,0,51,59,54,56,48,44,55,0,0,0,0,0,312,55,0,1,1,0,1,
23,2396689,Aberdeen Hall Preparatory School,950 Academy Way,Kelowna                       ,BC             ,V1V 3A4,Mr,Christopher,Grieve,Standard School                         ,K-5,Independent School,2.0,no,no,no,no,no,no,no,250 491-1270,250 491-1289,christopher.grieve@aberdeenhall.com,275,September 30 2019,0,34,0,0,0,43,53,46,52,47,0,0,0,0,0,0,0,241,0,0,1,0,0,1,
23,2396825,Aberdeen Hall Senior,890 Academy Way,Kelowna                       ,BC             ,V1V 3A4,Mr,Christopher,Grieve,Standard School                         ,6-12,Independent School,2.0,no,no,no,no,no,no,no,250 491-1270,250 491-1289,christopher.grieve@aberdeenhall.com,369,September 30 2019,0,0,0,0,0,0,0,0,0,0,56,67,40,63,48,56,39,56,170,143,1,1,1,,
49,4997170,Acwsalcta Band School,PO Box 778,Bella Coola                   ,BC             ,V0T 1C0,Ms,Brittany,Hughes,Standard School                         ,K-12,Independent School,2.0,no,no,no,no,no,no,no,250 799-5911,250 799-5576,principal@acwsalcta.ca                                                                              ,184,September 30 2019,0,10,0,0,0,15,12,12,14,12,16,13,23,17,17,10,13,81,53,40,1,1,1,1,
8,886004,Adam Robertson Elementary,PO Box 1549 421 9 Ave n,Creston                       ,BC             ,V0B 1G0,Ms,Joanne,Beddoes,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 428-2051,250 428-2019,joanne.beddoes@sd8.bc.ca                                                                            ,335,September 30 2019,0,23,0,0,0,38,39,45,43,57,45,45,0,0,0,0,0,267,45,0,1,1,0,1,
36,3636153,Adams Road Elementary,18228 68 Ave,Surrey                        ,BC             ,V3S 9H5,Mrs,Joanne,Berka,Standard School                         ,K-7,Public School,,no,no,no,no,yes,no,no,604 595-1070,604 595-1071,adamsroad@surreyschools.ca,643,September 30 2019,0,86,0,0,0,69,87,87,77,80,77,80,0,0,0,0,0,477,80,0,1,1,0,1,
39,3939032,Admiral Seymour Elementary,1130 Keefer St,Vancouver                     ,BC             ,V6A 1Z3,Mr,Bryce,Recsky,Standard School                         ,K-7,Public School,,yes,yes,no,no,no,no,no,604 713-4641,604 713-4643,seymour@vsb.bc.ca                                                                                   ,168,September 30 2019,0,30,0,0,0,20,29,19,19,17,17,17,0,0,0,0,0,121,17,0,1,1,0,1,
39,3925416,Admiral Seymour StrongStart Centre,1130 Keefer St,Vancouver                     ,BC             ,V6A 1Z3,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 713-4641,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
23,2395064,Adolescent Psychiatric Program,1940 Underhill St,Kelowna                       ,BC             ,V1X 5X7,Dr,Peter,Molloy,Short Term PRP                          ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,250 862-4300,,pmolloy@sd23.bc.ca                                                                                  ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
36,3695058,Adolescent Psychiatric Unit Prog,14033 92 Ave,Surrey                        ,BC             ,V3V 0B7,Ms,Catherine,Remedios,Short Term PRP                          ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,604 595-5325,604 595-5326,remedios_c@surreyschools.ca,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,2323000,Adult Education SD#23,1825 Richter St,Kelowna                       ,BC             ,V1Y 2M8,Mr,Randy,Horne,Continuing Education                    ,"12, SU, GA",Public School,,no,no,yes,no,no,no,no,250 870-5120,250 870-5020,randy.horne@sd23.bc.ca                                                                              ,13,September 30 2019,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,,
79,7979000,Adult Learning Centre,1033 Nagle St,Duncan                        ,BC             ,V9L 2E6,Mr,Scott,Jackson,Continuing Education                    ,"11-12, SU, GA",Public School,,no,no,no,no,no,no,no,250 746-0277,250 746-0255,sjackson@sd79.bc.ca                                                                                 ,131,September 30 2019,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,88,0,0,89,0,0,1,,
35,3599201,Advance Alternate,26850 29 Ave,Aldergrove                    ,BC             ,V4W 3C1,Mr,Jeremy,Lyndon,Alternate Programs                      ,11-12,Public School,,no,no,no,no,no,no,no,604 856-2521,604 856-9648,jlyndon@sd35.bc.ca                                                                                  ,15,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,15,0,0,1,,
78,7899183,Agassiz Centre for Education,PO Box 69,Agassiz                       ,BC             ,V0M 1A0,Mr,Greg,Lawley,Alternate Programs                      ,8-12,Public School,,no,no,no,no,no,no,no,604 796-9496,604 796-9467,greg.lawley@sd78.bc.ca                                                                              ,18,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,6,0,2,16,0,1,1,,
78,7896105,Agassiz Christian School,7571 Morrow Rd,Agassiz                       ,BC             ,V0M 1A2,Mrs,Judy,de Waal,Standard School                         ,K-7,Independent School,1.0,no,no,no,no,no,no,no,604 796-9310,855 299-0940,jdewaal@agassizchristianschool.com,65,September 30 2019,2,6,1,0,0,10,9,9,7,12,6,4,0,0,0,0,0,53,4,0,1,1,0,1,
78,7876003,Agassiz Elem-Secondary,PO Box 1100,Agassiz                       ,BC             ,V0M 1A0,Mr,Greg,Lawley,Standard School                         ,7-12,Public School,,no,no,no,no,no,no,no,604 796-2238,604 796-3702,greg.lawley@sd78.bc.ca                                                                              ,301,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,60,52,50,46,49,44,0,162,139,0,1,1,,
50,5050004,Agnes L Mathers Elementary Secondary,PO Box 227,Sandspit                      ,BC             ,V0T 1T0,Mr,William,Bedard,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 637-5454,250 637-5451,wbedard@sd50.bc.ca                                                                                  ,24,September 30 2019,0,2,0,0,0,3,4,3,1,3,4,4,0,0,0,0,0,18,4,0,1,1,0,1,
50,5025149,Agnes L Mathers StrongStart Centre,PO Box 227,Sandspit                      ,BC             ,V0T 1T0,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 637-5454,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
71,7171077,Airport Elementary,PO Box 40,Lazo                          ,BC             ,V0R 2K0,Mr,Al,Johnson,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 339-3732,250 339-1874,albert.johnson@sd71.bc.ca                                                                           ,134,September 30 2019,0,16,0,0,0,12,14,19,24,21,8,20,0,0,0,0,0,98,20,0,1,1,0,1,
40,4096747,Al-Hidayah School,7 - 6th St,New Westminster               ,BC             ,V3L 2Y7,Mr,Mazen,Turk,Standard School                         ,K-7,Independent School,3.0,no,no,no,no,no,no,no,604 524-2752,604 524-2757,admin@alhidayahschool.ca                                                                            ,51,September 30 2019,0,3,0,0,0,7,6,11,6,4,5,9,0,0,0,0,0,39,9,0,1,1,0,1,
70,7070001,Alberni District Secondary,4000 Roger St,Port Alberni                  ,BC             ,V9Y 0B1,Mr,Robert,Souther,Standard School                         ,8-12,Public School,,no,yes,no,no,yes,yes,yes,250 723-6251,250 723-2126,adss@sd70.bc.ca                                                                                     ,1112,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,260,229,231,181,211,0,489,623,0,1,1,,
70,7070006,Alberni Elementary,4645 Helen St,Port Alberni                  ,BC             ,V9Y 6P6,Mr,James,Messenger,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 724-0623,250 724-0600,jmessenger@sd70.bc.ca                                                                               ,386,September 30 2019,0,49,0,0,0,56,43,45,40,59,53,41,0,0,0,0,0,296,41,0,1,1,0,1,
75,7575028,Albert McMahon Elementary,32865 Cherry Ave,Mission                       ,BC             ,V2V 2V1,Ms,Hardeep,Grewal,Standard School                         ,K-6,Public School,,yes,no,no,no,no,no,no,604 826-0274,604 826-1760,hardeep.grewal@mpsd.ca                                                                              ,410,September 30 2019,0,58,0,0,0,54,42,56,75,65,60,0,0,0,0,0,0,352,0,0,1,0,0,1,
42,4242005,Albion Elementary,10031 240th St,Maple Ridge                   ,BC             ,V2W 1G2,Mrs,Tanya,Dailey,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 463-4848,604 463-4689,tanya_dailey@sd42.ca                                                                                ,438,September 30 2019,0,46,0,0,0,56,54,44,55,56,54,73,0,0,0,0,0,319,73,0,1,1,0,1,
35,3596573,Aldergrove Christian Academy,26245 28th Ave,Aldergrove                    ,BC             ,V4W 2W3,Mr,Justin,Poehlke,Standard School                         ,K-11,Independent School,3.0,no,no,no,no,no,no,no,604 856-2577,604 857-0088,academy@rosbc.com                                                                                   ,23,September 30 2019,0,2,13,0,0,1,4,2,3,2,3,5,0,0,0,1,0,15,5,1,1,1,1,1,
35,3535020,Aldergrove Community Secondary,26850 29 Ave,Aldergrove                    ,BC             ,V4W 3C1,Mr,Jeremy,Lyndon,Standard School                         ,9-12,Public School,,no,no,no,no,no,no,no,604 856-2521,604 856-9648,jlyndon@sd35.bc.ca                                                                                  ,612,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,120,130,192,170,0,120,492,0,1,1,,
43,4343004,Alderson Elementary,825 Gauthier Ave,Coquitlam                     ,BC             ,V3K 7C4,Ms,Anita,Strang,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 939-8301,604 939-6571,astrang@sd43.bc.ca                                                                                  ,163,September 30 2019,0,32,0,0,0,28,27,21,27,28,0,0,0,0,0,0,0,131,0,0,1,0,0,1,
85,8585008,Alert Bay Elementary,PO Box 29,Alert Bay                     ,BC             ,V0N 1A0,Ms,Jen,Turner,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 974-5569,250 974-5925,jturner@sd85.bc.ca                                                                                  ,44,September 30 2019,0,4,0,0,0,3,7,6,9,3,4,8,0,0,0,0,0,32,8,0,1,1,0,1,
79,7965025,Alex Aitken,2494 Roome Rd,Duncan                        ,BC             ,V9L 4L2,Mr,Mike,Martin,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 748-8724,250 748-2954,mmartin@sd79.bc.ca                                                                                  ,236,September 30 2019,0,27,0,0,0,25,29,29,31,35,30,30,0,0,0,0,0,179,30,0,1,1,0,1,
35,3535047,Alex Hope Elementary,21150 85 Ave,Langley                       ,BC             ,V1M 2M4,Mr,Nathan,Erker,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 888-7109,604 888-7102,nerker@sd35.bc.ca                                                                                   ,568,September 30 2019,0,56,0,0,0,49,54,72,72,77,95,93,0,0,0,0,0,419,93,0,1,1,0,1,
39,3996870,Alexander Academy,688 Hastings St W Suite 200,Vancouver                     ,BC             ,V6B 1P1,Mr,Spencer,Todd,Standard School                         ,"9-12, SU",Independent School,4.0,no,no,no,no,no,no,no,604 687-8832,604 687-8872,s.todd@alexanderacademy.ca,97,September 30 2019,0,0,0,1,0,0,0,0,0,0,0,0,0,6,20,33,37,0,6,90,0,1,1,,
34,3434021,Alexander Elementary,2250 Lobban Rd,Abbotsford                    ,BC             ,V2S 3W1,Ms,Maralee,Lincoln,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 859-3167,604 850-5678,maralee.lincoln@abbyschools.ca,203,September 30 2019,0,36,0,0,0,30,36,44,25,32,0,0,0,0,0,0,0,167,0,0,1,0,0,1,
79,7965014,Alexander Elementary,2471 Beverly St,Duncan                        ,BC             ,V9L 3A3,Ms,Dani,Morrow,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 748-8148,250 748-3216,dmorrow@sd79.bc.ca                                                                                  ,269,September 30 2019,0,27,0,0,0,34,41,26,33,34,35,39,0,0,0,0,0,203,39,0,1,1,0,1,
6,618008,Alexander Park Elementary,PO Box 464,Golden                        ,BC             ,V0A 1H0,Mr,Bob,Wilson,Standard School                         ,K-3,Public School,,no,no,no,no,no,no,no,250 344-5513,250 342-6966,bob.wilson@sd6.bc.ca                                                                                ,222,September 30 2019,0,61,0,0,0,50,56,55,0,0,0,0,0,0,0,0,0,161,0,0,1,0,0,1,
6,625029,Alexander Park StrongStart Centre,PO Box 464,Golden                        ,BC             ,V0A 1H0,Mr,Bob,Wilson,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 344-5513,250 342-6966,bob.wilson@sd6.bc.ca                                                                                ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
42,4242042,Alexander Robinson Elementary,11849 238B St,Maple Ridge                   ,BC             ,V4R 2T8,Mr,Adam,Stanley,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 463-3035,604 463-0667,adam_stanley@sd42.ca                                                                                ,524,September 30 2019,0,55,0,0,0,73,62,60,66,74,65,69,0,0,0,0,0,400,69,0,1,1,0,1,
34,3425019,Alexander StrongStart Centre,2250 Lobban Rd,Abbotsford                    ,BC             ,V2S 3W1,Ms,Maralee,Lincoln,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 859-3167,,maralee.lincoln@abbyschools.ca,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
79,7925074,Alexander StrongStart Centre,2471 Beverly St,Duncan                        ,BC             ,V9L 3A3,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 748-3936,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
27,2727071,Alexis Creek Elementary/Secondary,PO Box 199,Alexis Creek                  ,BC             ,V0L 1A0,Ms,Caitlin,Currie,Standard School                         ,K-10,Public School,,yes,yes,no,no,no,no,no,250 394-4346,250 394-4490,caitlin.currie@sd27.bc.ca                                                                           ,34,September 30 2019,0,1,0,0,0,2,1,3,1,5,2,2,6,5,6,0,0,14,13,6,1,1,1,1,
22,2225279,Alexis Park AM StrongStart Centre,4205 35 St,Vernon                        ,BC             ,V1T 6C4,Mr,Mike,Sutch,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 545-7289,250 558-3610,msutch@sd22.bc.ca                                                                                   ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
22,2222020,Alexis Park Elementary,4205 35 St,Vernon                        ,BC             ,V1T 6C4,Mr,Mike,Sutch,Standard School                         ,K-7,Public School,,yes,yes,no,no,no,yes,no,250 545-7289,250 558-3610,msutch@sd22.bc.ca                                                                                   ,316,September 30 2019,0,73,0,0,0,33,39,37,42,31,34,27,0,0,0,0,0,216,27,0,1,1,0,1,
22,2225018,Alexis Park PM StrongStart Centre,4205 35 St,Vernon                        ,BC             ,V1T 6C4,Mr,Mike,Sutch,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 545-7289,250 558-3610,msutch@sd22.bc.ca                                                                                   ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
38,3838020,Alfred B Dixon Elementary,9331 Diamond Rd,Richmond                      ,BC             ,V7E 1P5,Mr,Sean,Harrington,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 668-6608,604 668-6574,dixon@sd38.bc.ca                                                                                    ,323,September 30 2019,0,41,0,0,0,36,42,33,42,37,38,54,0,0,0,0,0,228,54,0,1,1,0,1,
35,3535038,Alice Brown Elementary,20011 44 Ave,Langley                       ,BC             ,V3A 6L8,Mr,Michael,Carlyle,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 534-0744,604 534-8854,mcarlyle@sd35.bc.ca                                                                                 ,279,September 30 2019,0,45,0,0,0,31,40,43,21,39,27,33,0,0,0,0,0,201,33,0,1,1,0,1,
42,4242035,Alouette Elementary,22155 Isaac Cres,Maple Ridge                   ,BC             ,V2X 0V9,Mr,Kevin,Bodman,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 463-8730,604 463-3281,kevin_bodman@sd42.ca                                                                                ,457,September 30 2019,0,43,0,0,0,47,58,48,53,71,69,68,0,0,0,0,0,346,68,0,1,1,0,1,
