Province,City or Region,Type,Open data portal link,Data page link,Open,Direct Link (new),Direct Link,Special Notes,License or Terms of Use,Attribution Statement,Date last updated,Type,,Previous,,,,
SK,All,,,https://www.saskatchewan.ca/residents/health/emergency-medical-services/find-a-hospital?userLat=50.454722&userLong=-104.606667&searchRadius=150&filter-{A1EE9CD9-CA6F-4E65-8A5D-5E2EC439B11F}=on,No,,No,"Map app (search in radius), and materials on webpage copyrighted",No Open License,,,,,Yes,,,,
SK,All,,,https://www.saskhealthauthority.ca/services-locations/Pages/Home.aspx,No,,No,List to different sask regional health authority websites,No Open License,,,,,Yes,,,,
NU,All,,,https://www.gov.nu.ca/health/information/health-centres,No,,No,Local database completed,No Open License,,,,,Yes,,,,
NT,All,,,https://www.hss.gov.nt.ca/en/hospitals-and-health-centres,No,,No,Local database completed,No Open License,,,,,Yes,,,,
NL,All,,,https://www.health.gov.nl.ca/health/findhealthservices/in_your_community.html,No,,No,"Links to NL regional health authorities. There is also an open KML file, but without address info (just coordinates).",https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,Contains information licensed under the Open Government Licence - Newfoundland and Labrador.,,,,Yes,,,,
NL,All,,,https://opendata.gov.nl.ca/public/opendata/page/?page-id=datasetdetails&id=67,Yes,,No,"Health Centres, KML file, old file",https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,,,,,Yes,,,,
NL,All,,,https://opendata.gov.nl.ca/public/opendata/page/?page-id=datasetdetails&id=86,Yes,,No,"Hospitals, KML file, old file",https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,,,,,Yes,,,,
NB,All,,,https://www.nbhc.ca/data/hospital#.XEsq79tKjZ4,No,,No,Local database completed,No Open License,,,,,Yes,,,,
NB,All,,,https://gnb.socrata.com/Health-and-Wellness/Licensed-Nursing-Homes-Foyers-de-soins-agr%C3%A9es/efvh-czff,Yes,,No,Licensed Nursing Homes,,,,,,Yes,,,,
MB,All,,,https://www.gov.mb.ca/health/waittime/map.html,No,,No,Local database completed,No Open License,,,,,Yes,,,,
AB,All,,,https://www.albertahealthservices.ca/findhealth/results.aspx?type=facility&id=3&locationCity=Athabasca&radius=all#contentStart,No,,No,Local database completed,No Open License,,,,,Yes,,,,
AB,All,,,https://open.alberta.ca/publications/hospital-services-in-alberta,Yes,,No,PDF,http://open.alberta.ca/licence,,,,,Yes,,,,
NB,Moncton,,,http://open.moncton.ca/datasets/senior-care-facilities,Yes,,No,,,,,,,Yes,,,,
NB,Moncton,,,http://open.moncton.ca/datasets/medical-clinics,,,,,,,,,,Yes,,,,
NB,All,,,https://gnb.socrata.com/Health-and-Wellness/Map-of-Licensed-Nursing-Homes-Cartes-des-Foyers-de/hd36-4gjj,Yes,,No,,http://www.snb.ca/e/2000/data-E.html,,,,,Yes,,,,
NB,All,,,https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Horizon-Hea/9bqr-479n,Yes,https://gnb.socrata.com/resource/9bqr-479n.csv,No,,http://www.snb.ca/e/2000/data-E.html,,,,,Yes,,,,
NB,All,,,https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Vitalit-Hea/vc6s-v9py,Yes,https://gnb.socrata.com/resource/vc6s-v9py.csv,No,,http://www.snb.ca/e/2000/data-E.html,,,,,Yes,,,,
PE,All,,,https://exchange.maps.arcgis.com/home/item.html?id=cbeae4239f184f6999a4b4b65887c74b,,,,,,,,,,Yes,,,,
CA,All,,,CIHI,,,,,,,,,,Yes,,,,
CA,All,,,PHAC,,,,,,,,,,Yes,,,,
MB,,,Winnipeg Regional Health Authority Locations,https://wrha.mb.ca/locations-services/,No,,,,,,,,,Yes,,,,
MB,,,Locations of facilities managed by the Interlake-Eastern Regional Health Authority,https://www.ierha.ca/default.aspx?cid=6147&lang=1,No,,,,,,,,,Yes,,,,
MB,,,Locations of facilities managed by the Northern Health Region,https://northernhealthregion.com/,No,,,,,,,,,Yes,,,,
MB,,,Locations of facilities managed by the Prairie Mountain Health Authority,https://www.prairiemountainhealth.ca/our-locations,No,,,,,,,,,Yes,,,,
MB,,,Locations of facilities managed by the Southern Health Authority,https://www.southernhealth.ca/en/finding-care/,No,,,,,,,,,Yes,,,,
YT,All,,,Provided in email for v1,,,,,,,,,,Yes,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Colour:,Red ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Province,Region/ name,Region type,Portal link,Data page link,Open,Data Link ,Direct link,Special Notes,License,Attribution,Date last updated,Type,,Previous,Health related,Hospitals,,Amendment to master list
AB,Province of Alberta,Provincial,https://open.alberta.ca/opendata,https://open.alberta.ca/publications/hospital-services-in-alberta,,,,PDF - information documented by Alberta Health Services,https://open.alberta.ca/licence,Contains information licensed under the Open Government Licence – Alberta.,01-Jul-18,Hospitals,,Yes,Yes,,,
AB,Alberta Health Services,Provincial,https://www.albertahealthservices.ca/,https://www.albertahealthservices.ca/findhealth/results.aspx?type=facility&id=3&locationCity=Athabasca&radius=all#contentStart,No,,No,Local database completed,No Open License,,Not listed,"Healthcare facilities: hospitals, clinics, emergency care, community centres",,Yes,Yes,,,
AB,Banff,Municipal,https://maps.banff.ca/opendata/,,,,No,,http://banffmaps.ca/opendata/,Contains information licensed under the Open Government Licence - Banff,,,,No,No,,,
AB,Canmore,Municipal,http://opendata-canmore.opendata.arcgis.com/,,,,,,https://s3.amazonaws.com/canmoregis/OpenData/Town+of+Canmore+Open+Data+Licence.pdf,Contains information licensed under the Town of Canmore Open Data Licence,,,,No,No,,,
AB,Chestermere,Municipal,https://www.arcgis.com/home/search.html?q=owner%3Acrp_chestermere&restrict=false&start=1&sortOrder=true&sortField=relevance,,,,,,No License Provided,,,,,No,No,,,https://data-chestermere.opendata.arcgis.com/
AB,Calgary,Municipal,https://data.calgary.ca/,https://data.calgary.ca/Services-and-Amenities/Calgary-Health-Clinics-and-Hospitals/pp67-7mf4,Yes ,https://data.calgary.ca/api/views/x34e-bcjz/rows.csv?query=select%20*%20where%20(%60type%60%20%3D%20%27PHS%20Clinic%27%20OR%20%60type%60%20%3D%20%27Hospital%27)&read_from_nbe=true&version=2.1&accessType=DOWNLOAD,Yes,,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary,03-Nov-21,"Hospitals, clinics",,No,Yes,,,
AB,Calgary,Municipal,https://data.calgary.ca/,https://data.calgary.ca/Health-and-Safety/COVID-19-Vaccination-Locations/9kkc-pfd6,Yes ,https://data.calgary.ca/api/views/ynek-qdgh/rows.csv?accessType=DOWNLOAD,Yes,Alberta pharmacy and AHS clinics,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary,13-Nov-21,Covid vaccination centres,,No,Yes,,,
AB,Cochrane,Municipal,http://data-cochranegis.opendata.arcgis.com/,,,,,,https://www.cochrane.ca/947/Open-Data-Licence,Contains information licensed under the Open Data Licence – Town of Cochrane.,,,,No,No,,,
AB,Edmonton,Municipal,https://data.edmonton.ca/,,,,,,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains information made available from the City of Edmonton under an open data license.,,,,No,No,,,
AB,Airdrie,Municipal,http://data-airdrie.opendata.arcgis.com/,,,,,,http://data-airdrie.opendata.arcgis.com/pages/our-open-licence,Contains information licensed under the Open Data Licence – City of Airdrie,,,,No,No,,,
AB,Lethbridge,Municipal,http://opendata.lethbridge.ca/,https://opendata.lethbridge.ca/datasets/49562195f8c14a26ae9908bc764bb324_0/explore,Yes ,https://opendata.arcgis.com/api/v3/datasets/49562195f8c14a26ae9908bc764bb324_0/downloads/data?format=csv&spatialRefId=4326,Yes,Just 6 locations,https://www.lethbridge.ca/Pages/OpenDataLicense.aspx,Contains information made available from the City of Lethbridge under an open data license.,02-May-19,Emergency Services,,No,Yes,,,
AB,Grand Prairie,Municipal,https://data.cityofgp.com/#!/year/default,,,,,,http://www.cityofgp.com/index.aspx?page=2332,Contains information licensed under the Open Data License – City of Grande Prairie.,,,,No,,,,
AB,Red Deer,Municipal,http://data.reddeer.ca/datasets,,,,,,http://data.reddeer.ca/About,Contains information made available from the City of Red Deer under an open data license.,,,,No,,,,
AB,St. Albert,Municipal,https://data.stalbert.ca/,,,,,,https://data.stalbert.ca/pages/licence,,,,,No,,,,
AB,Strathcona County,Municipal,https://data.strathcona.ca/,,,,,,https://data.strathcona.ca/stories/s/bxnd-tfzb,Contains information licensed under the Open Government Licence – Strathcona County,,,,No,,,,
BC,Province of British Columbia,Provincial,https://data.gov.bc.ca/,,,,,,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence – British Columbia,,,,No,,Yes,,
BC,BCTransit,Transit,https://www.bctransit.com/open-data,,,,,,https://www.bctransit.com/sites/Satellite?c=Page&cid=1507213584526&pagename=Internet%2FPage%2FInternetStandardLayout,,,,,No,,,,
BC,Abbotsford,Municipal,https://opendata-abbotsford.hub.arcgis.com/,,,,,,https://opendata-abbotsford.hub.arcgis.com/pages/city-of-abbotsford-open-data-licence,,,,,No,,,,
BC,Coquitlam,Municipal,https://coquitlam.maps.arcgis.com/apps/Cascade/index.html?appid=26ed37ee4167495dbb92e2798aa2b968,,,,,,https://www.coquitlam.ca/city-services/city-maps.aspx#Spatial,,,,,No,,,,
BC,Vancouver,Municipal,https://data.vancouver.ca/datacatalogue/index.htm,,,,,,https://vancouver.ca/your-government/open-data-catalogue.aspx#tab19099,Contains information licensed under the Open Government Licence – Vancouver.,,,,No,,,,
BC,District of North Vancouver,Municipal,http://geoweb.dnv.org/,,,,,,http://geoweb.dnv.org/data/metadata.php?dataset=RegZoning,Contains information licensed under the Open Government Licence - North Vancouver.,,,,No,,,,
BC,Burnaby,Municipal,https://www.burnaby.ca/City-Services/Maps-Open-Data.html,,,,,,https://www.burnaby.ca/opendata/licence.html,,,,,No,,,,
BC,Maple Ridge,Municipal,https://opengov.mapleridge.ca/,,,,,,https://opengov.mapleridge.ca/pages/open-government-licence,,,,,No,,,,
BC,Victoria,Municipal,http://opendata.victoria.ca/,,,,,,http://opendata.victoria.ca/pages/open-data-licence,Contains information licensed under the Open Government Licence – City of Victoria.,,,,No,,,,
BC,Kelowna,Municipal,http://opendata.kelowna.ca/,,,,,,http://apps.kelowna.ca/images/opendata/opengovernmentlicence.pdf,Contains information licensed under the Open Government Licence – City of Kelowna.,,,,No,,,,
BC,Kamloops,Municipal,http://mydata-kamloops.opendata.arcgis.com/,,,,,,https://www.kamloops.ca/node/29807,Contains information licensed under the Open Government Licence - Kamloops,,,,No,,,,
BC,Township of Langley,Municipal,https://data-tol.opendata.arcgis.com/,,,,,,https://www.tol.ca/connect/talk-to-us/freedom-of-information/open-data-license/,Contains information licensed under the Open Government License – Township of Langley.,,,,No,,,,
BC,White Rock,Municipal,http://data.whiterockcity.ca/,,,,,,,,,,,No,,,,
BC,Nanaimo,Municipal,https://www.nanaimo.ca/open-data-catalogue,,,,,,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,Contains information licenced under the Open Government Licence – Nanaimo.,,,,No,,,,
BC,Chilliwack,Municipal,https://www.chilliwack.com/main/page.cfm?id=2331,,,,,,https://www.chilliwack.com/main/page.cfm?id=2391,Contains information made available from the City of Chilliwack under an open data license.,,,,No,,,,
BC,New Westminster,Municipal,http://opendata.newwestcity.ca/,,,,,,http://opendata.newwestcity.ca/licence,Contains information licenced under the Open Government Licence - City of New Westminster.,,,,No,,Yes,,
BC,Prince George,Municipal,https://data-cityofpg.opendata.arcgis.com/,,,,,,http://pgmap.princegeorge.ca/opendata/CityofPrinceGeorge_Open_Government_License_Open_Data.pdf,Containsinformation licensed under the Open Government License – City of Prince George,,,,No,,,,
BC,Saanich,Municipal,https://www.saanich.ca/EN/main/local-government/data-catalogue-1.html,,,,,,https://www.saanich.ca/assets/Local~Government/Documents/SaanichDataCatalogueLicence.pdf,Contains information licenced under the Open Government Licence – District of Saanich.,,,,No,,,,
BC,Surrey,Municipal,https://data.surrey.ca/,,,,,,http://data.surrey.ca/pages/open-government-licence-surrey,Contains information licensed under the Open Government License – City of Surrey.,,,,No,,Yes,,
BC,Vernon,Municipal,https://www.vernon.ca/government-services/maps-gis/open-data-deep,,,,,,,,,,,No,,,,
BC,Whistler,Municipal,https://portal-rmow.opendata.arcgis.com/,,,,,,https://www.whistler.ca/services/maps/terms,Contains information licensed under the Open Government Licence – Resort Municipality of Whistler.,,,,No,,,,
BC,Courtenay,Municipal,https://data-courtenay.opendata.arcgis.com/,,,,,,https://data-courtenay.opendata.arcgis.com/pages/city-of-courtenay-open-data-licence,Contains information licensed under the Open Government Licence – City of Courtenay,,,,No,,,,
BC,Campbell River,Municipal,https://data-crcc.opendata.arcgis.com/,,,,,,,,,,,No,,,,
MB,MPL,Other,https://mb.countingopinions.com/,,,,,,Unknown,,,,,No,,,,
MB,Winnipeg,Municipal,https://data.winnipeg.ca/,,,,,,https://data.winnipeg.ca/stories/s/Open-Data-Licence/rwzh-4ijx/,Contains information licensed under the Open Government Licence – Winnipeg,,,,No,,,,
MB,Brandon,Municipal,http://opendata.brandon.ca/OpenDataService/opendata.html,,,,,,http://opendata.brandon.ca/terms.aspx,Contains information made available from the City of Brandon under an open data license.,,,,No,,,,
NB,Province of New Brunswick,Provincial,https://gnb.socrata.com/,,,,,,http://www.snb.ca/e/2000/data-E.html,,,,,No,,,,
NB,Province of New Brunswick,Provincial,http://www.snb.ca/geonb1/e/index-E.asp,,,,,,https://geonb.snb.ca/documents/license/geonb-odl_en.pdf,,,,,No,,,,
NB,Moncton,Municipal,http://open.moncton.ca/,,,,,,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,,,,,No,,Yes,,
NB,Saint John,Municipal,http://catalogue-saintjohn.opendata.arcgis.com/,,,,,,,Contains information licensed under the Open Government Licence – City of Saint John,,,,No,,,,
NB,Fredericton,Municipal,http://data-fredericton.opendata.arcgis.com/,,,,,,https://www2.gnb.ca/content/dam/gnb/Departments/gs-sg/pdf/OpenDataPolicy.pdf,,,,,No,,,,
NL,Province,Provincial,https://opendata.gov.nl.ca/,,,,,,https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,Contains information licensed under the Open Government Licence - Newfoundland and Labrador.,,,,No,,Yes,,
NWT,Yellowknife,Municipal,http://opendata.yellowknife.ca/,,,,,,https://www.yellowknife.ca/en/discovering-yellowknife/resources/geomatic_services/City_of_Yellowknife_Open_Data_LIcence__Terms_of_Use.pdf,Contains public sector Datasets made available under the City of Yellowknife's Open Data License v.1,,,,No,,,,
NS,Province,Provincial,https://data.novascotia.ca/,,,,,,https://novascotia.ca/opendata/licence.asp,Contains information licensed under the Open Government Licence – Nova Scotia,,,,No,,Yes,,
NS,Cape Breton,Municipal,https://www.thedatazone.ca/,,,,,,https://www.pvsc.ca/site/media/PVSC/Documents/Open%20Data%20and%20Information%20Government%20Licence%20-%20PVSC%20and%20Participating%20Municipalities.pdf,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities,,,,No,,,,
NS,Halifax,Municipal,https://www.halifax.ca/home/open-data,,,,,,https://www.halifax.ca/home/open-data/open-data-license,Contains information licenced under the Open Government Licence—Halifax.,,,,No,,,,
ON,Province of Ontario,Provincial,https://www.ontario.ca/search/data-catalogue,,,,,,https://www.ontario.ca/page/open-government-licence-ontario,Contains information licensed under the Open Government Licence – Ontario.,,,,No,,Yes,,
ON,Ajax,Municipal,http://opendata.ajax.ca/,,,,,,https://ago-item-storage.s3.us-east-1.amazonaws.com/22e2d8e248724d7cb0310dc2db675abd/OpenDataLicenceAgreement.pdf?X-Amz-Security-Token=AgoJb3JpZ2luX2VjEJD%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQC7vnTvii%2Fypftv9recuD3nHGB86rTAgqCpH%2BTfMVLTpgIhAN%2B2WdIqBY6mqsMQBRjvCx7HOFN%2F6zVsCSLX0ABmpTv3KtoDCEgQABoMNjA0NzU4MTAyNjY1IgzpX9VFBLy0otWxiZsqtwPPjA27G6FKNFhD2nCsh5EhZC8irZqoXZi5pSIjcLOdt%2Bcj9gTs%2FbXK1QkBq%2Fv5ylDyMBxiVaZ7ExSfxj1bzObEZRoybC752vgSqJqMafK%2FvXe5z7xQgn19PIPrjkZRZeH4Ek5tE9ZxPydqHwOYrixiTIaA55P10WEfabQqFNZ05AktSGu%2F77tuwq%2F69a2G8r2jOcB%2BcnDeOh7otlALMKVMFba6ayW%2FD7EpFDCM75RgJQ1xZiwDdnC6L%2FwgIOESnIobQxR3hwfb8H2vqsLVQrpaqI0McKBDs0fbhGyGvljMCEdft%2BO%2FjWWpcKWod1%2F%2FKjpd60GtJM%2BYY0gXcxxWHCCk7BnAqpU3xm99NwNwUr9Mgv4PkYNWZb%2Fv%2BNs5BkSm%2BLkBFqoZzUfQ9783L4%2BoyPxW4zIdYHPMK00oudq6f%2Baf3DTqxOMnoxK0cbGsBPfLoTzphjSthHvFJ%2FyVtjRfXBZqePLOVoP8qTXb87vyjfvRfUFeb83VYKqyq5sQFhMYmsNipc8oGK3HZfOvr%2BPrC64nGas8YHGnvHHhZAZcn1y5oR2n8xjDdRGhEPCfZIWJYMQ2ha2xoWP%2FMJfKxOsFOrMBsGTJR%2BMXTfFZ%2BCDPgZTCIxLkXVXG1BH7KSLVqeazme6CJIqhQUpnFfk6yvoLB%2FCqcc8hnTqyXHpRtBNDdEeKDPqLNuv8rJttbWNFDfwOthCzpWnbY6f7%2B3amuHmWcDNUS4hFYT8zlXuzK6l0iF1mWhWu4SmlhRuq5eNrWotoxYV6qSFs0Q7mATCjDcgTWMrlKUFgZOm%2F1eTdPMQstfd3tXCHRZ4mPFRKLaCLT2C2TZ5bohM%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190905T154254Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE5KKTNEKF%2F20190905%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=f33591cd17a5e10dbaf4109000bbb73c5694b0e9823571ae45bbc34b5516b60a,,,,,No,,,,
ON,Barrie,Municipal,http://public-barrie.opendata.arcgis.com/,,,,,,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence – Barrie,,,,No,,,,
ON,Barrie Transit,Transit,https://www.barrie.ca/Living/Getting%20Around/BarrieTransit/Pages/Barrie-GTFS.aspx,,,,,,https://www.barrie.ca/Living/Getting%20Around/BarrieTransit/Pages/Barrie-GTFS.aspx,,,,,No,,,,
ON,Brampton,Municipal,https://geohub.brampton.ca/pages/data/,,,,,,http://www.brampton.ca/EN/City-Hall/OpenGov/Open-Data-Catalogue/Pages/Terms-of-Use.aspx,"Copyright © 2012, The City of Brampton (All rights reserved.) All intellectual property and other rights in and to the Dataset belong to the City of Brampton.",,,,No,,Yes,,
ON,Brantford,Municipal,http://data-brantford.opendata.arcgis.com/,,,,,,https://www.brantford.ca/en/your-government/open-data-licence.aspx,,,,,No,,,,
ON,Burlington,Municipal,https://www.burlington.ca/en/services-for-you/Open-Data.asp,,,,,,https://www.burlington.ca/en/services-for-you/resources/Ongoing_Projects/Open_Data/OpenDataBurlingtonTermsOfUseSeptember192011.pdf,,,,,No,,,,
ON,Cambridge,Municipal,http://geohub.cambridge.ca/,,,,,,https://maps.cambridge.ca/images/opendata/Open%20data%20licence.pdf,Contains information licensed under the Open Government Licence – City of Cambridge,,,,No,,Yes,,
ON,Durham,Municipal,http://opendata.durham.ca/,,,,,,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Contains public sector Information made available under The Regional Municipality of Durham's Open Data Licence,,,,No,,,,
ON,Greater Sudbury,Municipal,http://opendata.greatersudbury.ca/,,,,,,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/,Contains information licensed under the Open Data Licence – City of Greater Sudbury,,,,No,,,,
ON,Guelph,Municipal,http://data.open.guelph.ca/,,,,,,http://data.open.guelph.ca/pages/open-government-licence,Contains information provided by the City of Guelph under an open government license,,,,No,,,,
ON,Hamilton,Municipal,http://open.hamilton.ca/,,,,,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,,,,No,,,,
ON,Cambridge,Municipal,http://geohub.cambridge.ca/,,,,,,https://www.cambridge.ca/en/your-city/resources/Open-Data-Licence-Version-2.pdf,Contains information licensed under the Open Government Licence – City of Cambridge,,,,No,,,,
ON,Grey County,Municipal,http://maps.grey.ca/,,,,,,http://maps.grey.ca/pages/terms,Contains information licensed under the Grey County Open Data Licence,,,,No,,,,
ON,Haldimand County,Municipal,http://opendata.haldimandcounty.on.ca/,,,,,,http://opendata.haldimandcounty.on.ca/,Contains information licensed under the Open Government Licence – Haldimand County,,,,No,,,,
ON,Huron County,Municipal,http://data-huron.opendata.arcgis.com/,,,,,,https://data-huron.opendata.arcgis.com/datasets/library,Contains information licensed under the Open Government Licence – The County of Huron.,,,,No,,,,
ON,Kingston,Municipal,https://opendatakingston.cityofkingston.ca/pages/welcome/,,,,,,https://www.cityofkingston.ca/documents/10180/144997/GIS_OpenDataLicense.pdf/72f5a9ac-afbc-4fe3-959d-9111c9393bfa,Contains information licensed under the Open Data Licence – City of Kingston.,,,,No,,,,
