Province,Filename,Provider Name,Data Page Link,License or Terms of Use,Date Last Updated,Description,Open,In Previous Version,Region,Region Type,Open Data Portal Link,Format,Direct Link,Direct Link to Data,Notes,Attribution Statement,Date accessed,Action,Included in Database
NB,NB_Moncton_senior_care_facilities,City of Moncton,https://open.moncton.ca/datasets/senior-care-facilities/explore,https://ago-item-storage.s3.us-east-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEM%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIFoeMShDjMBI0qOy5gxf53BOdXkZJjl34u%2F%2FA%2FzH3Xo2AiEAmrReBWAuAse%2BMr3ba0bnHxfdXedgxbR8yRG2bMJDzoMqzQQIOBAAGgw2MDQ3NTgxMDI2NjUiDAgX7IdMiKK8gto6MyqqBAV%2FsgdVq6hty6wEirWQsPVMyZ70hNILZJvJTSE%2BC6HzBP6yTgNHy3YHVKMFIgg2q2reE2%2BMcuWmUgb79l6bVNq4CukXKvwDW1TsVCziz%2F%2FxSF2RHN0dM2mjXlDyFOxr9SN7R89d0Xaik89hWvek8G2XxbFlNVYemxUsBkRtnQ%2B2BTA%2FMvojMf%2BcFGYTL0rdVXURMwMM3vqDeJVw1QvXyt9bNMGvThC%2B6Ih5vvbJ5rG60AMlnFv8MZySkdQtWYeijtXwVeqtiPDmNzJyxiPwxBqGNKR%2FPCs%2BdcIZdnafKa71Y2U4Mjlbtgtr%2F2rOwfOuzfiYwTaF5vzjUnsljWE98SfhKwnv7lTiKTh7tUNh8nlWcafZ93sDYNx%2FjCxknm3bvfNEKhhYs8UMtyH%2BqdKIuPcm2xUNR99U0ydSjM%2Bf9PtoGm9Yvn8BL0wX%2BWvkhHIhj6jfXwgZu0wKbu7cSslF6KvERXM0Z1cPASTbGiLSI28IwZXEpjUsb45q4Icl4NtA2v2ExjS6WbCPUfSnOaAhWWsLdb2EDI%2FSPQ6XawiNu0ZJxanblB25RYCkTVGsylz%2FG1lDWYr4eS0K4lICv0d4HF3kPt0e0cA%2BWqLSyTxHn%2BVM1vNTaFcGBYplw35yh0%2FQJJHXoddPI8FYYfjDShexJzKYYC9uyv%2Berz2aA6rmeKmm%2FB9UfnDJCuRuPE1uV5mP6nfYcXY%2Fd8eQSzrNPObqsg%2Bt5mkbIxodFPAkMPeel54GOqkB4%2Fb0SCNS4YA0xp4KB0MASufhmudrGPOLtqys32OjGqAqGEhjBRVeeg%2FsZgGf5HUpdh7HbacNor3X1GxiKnr6r0KZ5siihsIrg9AQ21NYuHnERlADJt4ZPS9wQgPG06XlC7dM0HGFYzNfue9iWBhrEeJLPKGi9Sy6z%2BYwPRFcXIcTw3nXRILOo7aVuDvYpGi%2BG4aJ%2BByy3c26Ghc0nLmTTPdZxHPp6%2FpL9w%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230116T232945Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKERY3IHCGQ%2F20230116%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=753630910c1f2d0e0648ec77ea0e49c5623da5d658fbf17413e2242cd25b41e2,19-Mar-20,Senior care facilities in Moncton,No,Yes,Moncton,Municipal,http://open.moncton.ca/,geojson,https://opendata.arcgis.com/api/v3/datasets/55e06b83cb904c989a08adfb635c53c0_0/downloads/data?format=geojson&spatialRefId=4326,Yes,,These datasets are publicly available from the City of Moncton under these Terms of Use.,21-Nov,Direct download,Yes
NB,NB_Moncton_pharmacies,City of Moncton,https://open.moncton.ca/datasets/pharmacies/explore,https://ago-item-storage.s3.us-east-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEM%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIFoeMShDjMBI0qOy5gxf53BOdXkZJjl34u%2F%2FA%2FzH3Xo2AiEAmrReBWAuAse%2BMr3ba0bnHxfdXedgxbR8yRG2bMJDzoMqzQQIOBAAGgw2MDQ3NTgxMDI2NjUiDAgX7IdMiKK8gto6MyqqBAV%2FsgdVq6hty6wEirWQsPVMyZ70hNILZJvJTSE%2BC6HzBP6yTgNHy3YHVKMFIgg2q2reE2%2BMcuWmUgb79l6bVNq4CukXKvwDW1TsVCziz%2F%2FxSF2RHN0dM2mjXlDyFOxr9SN7R89d0Xaik89hWvek8G2XxbFlNVYemxUsBkRtnQ%2B2BTA%2FMvojMf%2BcFGYTL0rdVXURMwMM3vqDeJVw1QvXyt9bNMGvThC%2B6Ih5vvbJ5rG60AMlnFv8MZySkdQtWYeijtXwVeqtiPDmNzJyxiPwxBqGNKR%2FPCs%2BdcIZdnafKa71Y2U4Mjlbtgtr%2F2rOwfOuzfiYwTaF5vzjUnsljWE98SfhKwnv7lTiKTh7tUNh8nlWcafZ93sDYNx%2FjCxknm3bvfNEKhhYs8UMtyH%2BqdKIuPcm2xUNR99U0ydSjM%2Bf9PtoGm9Yvn8BL0wX%2BWvkhHIhj6jfXwgZu0wKbu7cSslF6KvERXM0Z1cPASTbGiLSI28IwZXEpjUsb45q4Icl4NtA2v2ExjS6WbCPUfSnOaAhWWsLdb2EDI%2FSPQ6XawiNu0ZJxanblB25RYCkTVGsylz%2FG1lDWYr4eS0K4lICv0d4HF3kPt0e0cA%2BWqLSyTxHn%2BVM1vNTaFcGBYplw35yh0%2FQJJHXoddPI8FYYfjDShexJzKYYC9uyv%2Berz2aA6rmeKmm%2FB9UfnDJCuRuPE1uV5mP6nfYcXY%2Fd8eQSzrNPObqsg%2Bt5mkbIxodFPAkMPeel54GOqkB4%2Fb0SCNS4YA0xp4KB0MASufhmudrGPOLtqys32OjGqAqGEhjBRVeeg%2FsZgGf5HUpdh7HbacNor3X1GxiKnr6r0KZ5siihsIrg9AQ21NYuHnERlADJt4ZPS9wQgPG06XlC7dM0HGFYzNfue9iWBhrEeJLPKGi9Sy6z%2BYwPRFcXIcTw3nXRILOo7aVuDvYpGi%2BG4aJ%2BByy3c26Ghc0nLmTTPdZxHPp6%2FpL9w%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230116T232945Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKERY3IHCGQ%2F20230116%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=753630910c1f2d0e0648ec77ea0e49c5623da5d658fbf17413e2242cd25b41e2,19-Mar-20,Pharmacies in Moncton,No,No,Moncton,Municipal,http://open.moncton.ca/,geojson,https://opendata.arcgis.com/api/v3/datasets/0378085722cb4b49bd47538b8a0fdc23_0/downloads/data?format=geojson&spatialRefId=4326,Yes,,These datasets are publicly available from the City of Moncton under these Terms of Use.,21-Nov,Direct download,No
NB,NB_Moncton_medical_clinics,City of Moncton,https://open.moncton.ca/datasets/medical-clinics/explore,https://ago-item-storage.s3.us-east-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEM%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIFoeMShDjMBI0qOy5gxf53BOdXkZJjl34u%2F%2FA%2FzH3Xo2AiEAmrReBWAuAse%2BMr3ba0bnHxfdXedgxbR8yRG2bMJDzoMqzQQIOBAAGgw2MDQ3NTgxMDI2NjUiDAgX7IdMiKK8gto6MyqqBAV%2FsgdVq6hty6wEirWQsPVMyZ70hNILZJvJTSE%2BC6HzBP6yTgNHy3YHVKMFIgg2q2reE2%2BMcuWmUgb79l6bVNq4CukXKvwDW1TsVCziz%2F%2FxSF2RHN0dM2mjXlDyFOxr9SN7R89d0Xaik89hWvek8G2XxbFlNVYemxUsBkRtnQ%2B2BTA%2FMvojMf%2BcFGYTL0rdVXURMwMM3vqDeJVw1QvXyt9bNMGvThC%2B6Ih5vvbJ5rG60AMlnFv8MZySkdQtWYeijtXwVeqtiPDmNzJyxiPwxBqGNKR%2FPCs%2BdcIZdnafKa71Y2U4Mjlbtgtr%2F2rOwfOuzfiYwTaF5vzjUnsljWE98SfhKwnv7lTiKTh7tUNh8nlWcafZ93sDYNx%2FjCxknm3bvfNEKhhYs8UMtyH%2BqdKIuPcm2xUNR99U0ydSjM%2Bf9PtoGm9Yvn8BL0wX%2BWvkhHIhj6jfXwgZu0wKbu7cSslF6KvERXM0Z1cPASTbGiLSI28IwZXEpjUsb45q4Icl4NtA2v2ExjS6WbCPUfSnOaAhWWsLdb2EDI%2FSPQ6XawiNu0ZJxanblB25RYCkTVGsylz%2FG1lDWYr4eS0K4lICv0d4HF3kPt0e0cA%2BWqLSyTxHn%2BVM1vNTaFcGBYplw35yh0%2FQJJHXoddPI8FYYfjDShexJzKYYC9uyv%2Berz2aA6rmeKmm%2FB9UfnDJCuRuPE1uV5mP6nfYcXY%2Fd8eQSzrNPObqsg%2Bt5mkbIxodFPAkMPeel54GOqkB4%2Fb0SCNS4YA0xp4KB0MASufhmudrGPOLtqys32OjGqAqGEhjBRVeeg%2FsZgGf5HUpdh7HbacNor3X1GxiKnr6r0KZ5siihsIrg9AQ21NYuHnERlADJt4ZPS9wQgPG06XlC7dM0HGFYzNfue9iWBhrEeJLPKGi9Sy6z%2BYwPRFcXIcTw3nXRILOo7aVuDvYpGi%2BG4aJ%2BByy3c26Ghc0nLmTTPdZxHPp6%2FpL9w%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230116T232945Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKERY3IHCGQ%2F20230116%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=753630910c1f2d0e0648ec77ea0e49c5623da5d658fbf17413e2242cd25b41e2,19-Mar-20,Medical clinics in Moncton,No,Yes,Moncton,Municipal,http://open.moncton.ca/,geojson,https://opendata.arcgis.com/api/v3/datasets/7f4639336c7c4944ae240b1682e14f0d_0/downloads/data?format=geojson&spatialRefId=2953,Yes,,These datasets are publicly available from the City of Moncton under these Terms of Use.,21-Nov,Direct download,Yes
NB,NB_hospital_vitalite,Vitalité Regional Health Authority (Province of New Brunswick),https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Vitalit-Hea/vc6s-v9py,http://www.snb.ca/e/2000/data-E.html,18-Mar-20,Hospitals  in New Brunswick operated by Vitalité,Yes,Yes,New Brunswick,Provincial,https://gnb.socrata.com/,csv,https://gnb.socrata.com/api/views/vc6s-v9py/rows.csv?accessType=DOWNLOAD,Yes,Hospitals in New Brunswick Operated by Vitalité Health Network,Contains information licensed under the Open Government Licence – New Brunswick.,21-Nov,Direct download,Yes
NL,NL_Central_health_facilities,Central Health,https://www.centralhealth.nl.ca/health-services-areas,Not found,Not listed,Locations of healthcare facilities in Newfoundland managed by Central Health ,No,No,"Buchans, Gander Area, Grand Falls-Windsor Area, Coast of Bays, Kittiwake Coast",Municipal,No Open License,NA,NA,No,Lists of health facilities split into five service areas,Not found,21-Dec,Scrape,Yes
NL,NL_Eastern_health_facilities,Eastern Health,https://www.easternhealth.ca/full-map/,https://www.easternhealth.ca/about-us/disclaimer/,Not listed,Locations of healthcare facilities in Newfoundland managed by Eastern Health ,No,No,Eastern Newfoundland,Municipal,http://www.easternhealth.ca/,NA,NA,No,Map of health facilities,© Eastern Health. All rights reserved,21-Dec,Scrape,Yes
NL,NL_Labrador-Grenfell_health_facilities,Labrador-Grenfell Health,https://www.lghealth.ca/facilities/,Not found,Not listed,Locations of healthcare facilities in Newfoundland managed by Labrador-Grenfell Health,No,No,Labrador-Grenfell,Municipal,No Open License,NA,NA,No,Disjoint record of various healthcare facilities,Not found,21-Dec,Contact,Yes
NL,NL_Western_health_facilities,Western Health,https://westernhealth.nl.ca/home/locations/,Not found,Not listed,Locations of healthcare facilities in Newfoundland managed by Western Health,No,No,Western Newfoundland,Municipal,No Open License,NA,NA,No,List of health facilities in static image map - might need to ask for data,© Copyright 2016 Western Health,21-Dec,Contact,Yes
NL,NL_healthcare_facilities,Province of Newfoundland and Labrador,https://opendata.gov.nl.ca/public/opendata/page/?page-id=datasetdetails&id=67,https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,2019-04-01,Healthcare facilities in Newfoundland and Labrador,Yes,Yes,Newfoundland and Labrador,Provincial,https://opendata.gov.nl.ca/,xls,https://opendata.gov.nl.ca/public/opendata/filedownload/?file-id=17148,Yes,Excel file,Contains information licensed under the Open Government Licence - Newfoundland and Labrador.,21-Nov,Direct download,Yes
NL,NL_hospital,Province of Newfoundland and Labrador,https://opendata.gov.nl.ca/public/opendata/page/?page-id=datasetdetails&id=86,https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,2019-04-01,Hospitals in Newfoundland and Labrador,Yes,Yes,Newfoundland and Labrador,Provincial,https://opendata.gov.nl.ca/,xls,https://opendata.gov.nl.ca/public/opendata/filedownload/?file-id=17147,Yes,Excel file,Contains information licensed under the Open Government Licence - Newfoundland and Labrador.,21-Nov,Direct download,Yes
NS,NS_health_facilities,Nova Scotia Health,https://www.nshealth.ca/locations,Not found,Not listed,Healthcare facilities operated by Nova Scotia Health,No,Yes,Nova Scotia,Provincial,No Open License,NA,NA,No,List of health facilities - facility type not included,© 2022 Nova Scotia,21-Nov,Scrape,Yes
NS,NS_mental_health_facilities,Nova Scotia Health,https://mha.nshealth.ca/en/clinics?search=&field_zone_1=All&pages=,Not found,Not listed,Mental health and addiction centres operated by Nova Scotia Health,No,No,Nova Scotia,Provincial,No Open License,NA,NA,No,,© 2022 Nova Scotia,21-Nov,Scrape,Yes
NS,NS_hospital,Province of Nova Scotia,https://data.novascotia.ca/Health-and-Wellness/Hospitals/tmfr-3h8a,https://novascotia.ca/opendata/licence.asp,21-Sep-21,Hospitals in Nova Scotia,Yes,Yes,Nova Scotia,Provincial,https://data.novascotia.ca/,csv,https://data.novascotia.ca/api/views/tmfr-3h8a/rows.csv?accessType=DOWNLOAD,Yes,,Contains information licensed under the Open Government Licence – Nova Scotia,21-Nov,Direct download,Yes
NS,NS_long_term_care_facilities,Province of Nova Scotia,https://data.novascotia.ca/Health-and-Wellness/Long-Term-Care-and-Residential-Care-Facilities/x76a-axw2,https://novascotia.ca/opendata/licence.asp,15-Feb-19,Long term care facilities in Nova Scotia,Yes,No,Nova Scotia,Provincial,https://data.novascotia.ca/,csv,https://data.novascotia.ca/api/views/x76a-axw2/rows.csv?accessType=DOWNLOAD,Yes,Long term care facilities,Contains information licensed under the Open Government Licence – Nova Scotia,21-Nov,Direct download,Yes
NT,NT_health_facilities,Northwest Territories,https://www.hss.gov.nt.ca/en/hospitals-and-health-centres,https://www.gov.nt.ca/terms,Not listed,Healthcare facilities in Northwest Territories,No,Yes,Northwest Territories,Territorial,No Open License,NA,NA,No,Local database of hospitals and health centres,Not found,21-Nov,Scrape,Yes
NU,NU_healthcare_facilities,Nunavut,https://gov.nu.ca/health/information/health-centres,Not found,Not listed,Healthcare facilities in Nunavut,No,Yes,Nunavut,Territorial,No Open License,NA,NA,No,Healthcare facilities,Not found,,Manually collect,Yes
ON,ON_Toronto_covid_testing_clinics,City of Toronto,https://open.toronto.ca/dataset/covid-19-testing-sites/,https://open.toronto.ca/open-data-license/,30-Nov-21,Covid testing clinics in Toronto,Yes,No,Toronto,Municipal,https://open.toronto.ca/,geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/308efc49-5428-439a-b504-e327ab632c4f?format=geojson&projection=4326,Yes,,Contains information licensed under the Open Government Licence – Toronto.,21-Dec,Direct download,No
ON,ON_Toronto_covid_vaccination_centres,City of Toronto,https://open.toronto.ca/dataset/covid-19-immunization-clinics/,https://open.toronto.ca/open-data-license/,30-Nov-21,Covid vaccination centres in Toronto,Yes,No,Toronto,Municipal,https://open.toronto.ca/,geojson,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/00ebee09-a602-4f82-978b-ad0a40f3846f?format=geojson&projection=4326,Yes,,Contains information licensed under the Open Government Licence – Toronto.,21-Dec,Direct download,No
