Region Cd,Region Name,Sch Cd,School Name,Start Gr,End Gr,Mailing Address,City,Postal Code,Civic Address,City.1,Postal Code.1,School Email,Phone,Fax,Principal
51,Cape Breton Victoria Regional Centre for Education,416,Glace Bay Elementary School ,PP,5,135 Brookside St ,Glace Bay NS,B1A 1K8,135 Brookside St ,Glace Bay NS,B1A 1K8,shepardr@gnspes.ca,902-849-3256,902-849-3261,Roberta Sheppard
51,Cape Breton Victoria Regional Centre for Education,8,Glace Bay High School ,09,12,201 Reserve St ,Glace Bay NS,B1A 4W3,201 Reserve St ,Glace Bay NS,B1A 4W3,gbh@gnspes.ca,902-849-4247,902-849-2700,Donald Holland
51,Cape Breton Victoria Regional Centre for Education,963,Greenfield Elementary School,PP,5,25 James St ,River Ryan NS,B1H 1B8,25 James St ,River Ryan NS,B1H 1B8,macdous13@gnspes.ca,902-862-4000,902-862-4005,Stephen MacDougall
51,Cape Breton Victoria Regional Centre for Education,964,Harbourside Elementary School ,PP,5,15 Church St ,Sydney NS,B1N 2R3,15 Church St ,Sydney NS,B1N 2R3,dbeaton@gnspes.ca,902-563-4520,902-563-4523,Daniel Beaton
51,Cape Breton Victoria Regional Centre for Education,549,John Bernard Croak V.C. Memorial School ,PP,5,10 Second St ,Glace Bay NS,B1A 5Z4,10 Second St ,Glace Bay NS,B1A 5Z4,rmuller@gnspes.ca,902-849-2003,902-842-2212,Ronald Muller
51,Cape Breton Victoria Regional Centre for Education,960,Jubilee Elementary School ,PP,5,755 Main St ,Sydney Mines NS,B1V 2L4,755 Main St ,Sydney Mines NS,B1V 2L4,imackaycarroll@gnspes.ca,902-736-3310,902-736-7510,Lori MacKay-Carroll
51,Cape Breton Victoria Regional Centre for Education,202,Malcolm Munroe Middle School,06,8,125 Kenwood Dr ,Sydney NS,B1S 1T8,125 Kenwood Dr ,Sydney NS,B1S 1T8,smcampbell@gnspes.ca,902-564-4587,902-564-1666,Stephanie Campbell
51,Cape Breton Victoria Regional Centre for Education,183,Marion Bridge School,PR,5,3845 Gabarus Hwy ,Marion Bridge NS,B1K 1A6,3845 Gabarus Hwy ,Marion Bridge NS,B1K 1A6,ruthclarke@gnspes.ca,902-727-2980,902-727-2765,Arlene Clarke
51,Cape Breton Victoria Regional Centre for Education,82,Memorial Composite High School,09,12,300 Memorial Dr ,Sydney Mines NS,B1V 2Y5,300 Memorial Dr ,Sydney Mines NS,B1V 2Y5,nicholc7@gnspes.ca,902-736-6233,902-736-3895,Christopher Nicholson
51,Cape Breton Victoria Regional Centre for Education,83,Middle River Consolidated,PR,5,2248 Cabot Trail ,Middle River NS,B0E 1B0,2248 Cabot Trail ,Middle River NS,B0E 1B0,rcordy@gnspes.ca,902-295-2842,902-295-2842,Ryan Cordy
51,Cape Breton Victoria Regional Centre for Education,997,Mountainview Elementary School ,PP,5,21 Delta Dr ,Howie Centre NS,B1L 1G9,21 Delta Dr ,Howie Centre NS,B1L 1G9,paul3@gnspes.ca,902-562-8880,902-562-7271,Michael Mombourquette
51,Cape Breton Victoria Regional Centre for Education,961,North Highlands Elementary School ,PP,5,1363 Bay St. Lawrence Rd ,Aspy Bay NS,B0C 1G0,1363 Bay St. Lawrence Rd ,Aspy Bay NS,B0C 1G0,angelacurrie@gnspes.ca,902-383-2186,902-383-2381,Angela Currie-Simms
51,Cape Breton Victoria Regional Centre for Education,1154,Oceanview Education Centre,06,8,60 Wallaces Rd ,Glace Bay NS,B1A 4N5,60 Wallaces Rd ,Glace Bay NS,B1A 4N5,goneill@gnspes.ca,902-842-4488,902-849-5541,Paul O'Neill
51,Cape Breton Victoria Regional Centre for Education,1142,Rankin School of the Narrows,PP,12,4144 Hwy 223 ,Iona NS,B2C 1A4,4144 Hwy 223 ,Iona NS,B2C 1A4,macneilt@gnspes.ca,902-725-2210,902-725-1255,Mary MacNeil
51,Cape Breton Victoria Regional Centre for Education,973,Riverside School,PP,8,7430 Hornes Rd ,Albert Bridge NS,B0A 1P0,7430 Hornes Rd ,Albert Bridge NS,B0A 1P0,browns5@gnspes.ca,902-563-4535,902-563-4539,Suzanne Brown
51,Cape Breton Victoria Regional Centre for Education,203,Riverview High School,09,12,57 Coxheath Rd ,Sydney NS,B1R 1R4,57 Coxheath Rd ,Sydney NS,B1R 1R4,joemc@gnspes.ca,902-564-5411,902-567-2575,Joseph Chisholm
51,Cape Breton Victoria Regional Centre for Education,182,Robin Foote Elementary School ,PP,5,125 Sunnydale Dr ,Westmount NS,B1R 1J4,125 Sunnydale Dr ,Westmount NS,B1R 1J4,lastephen@gnspes.ca,902-539-3031,902-562-6816,Lee Ann Astephen
51,Cape Breton Victoria Regional Centre for Education,113,Seton Elementary School ,PR,5,25 Wilkie Ave ,North Sydney NS,B2A 1Y5,25 Wilkie Ave ,North Sydney NS,B2A 1Y5,briggsj1@gnspes.ca,902-794-2419,902-794-6241,Janet Briggs
51,Cape Breton Victoria Regional Centre for Education,646,Sherwood Park Education Centre,06,8,500 Terrace St ,Sydney NS,B1P 6N1,500 Terrace St ,Sydney NS,B1P 6N1,gartland@gnspes.ca,902-563-7732,902-562-6834,Terrance Gartland
51,Cape Breton Victoria Regional Centre for Education,972,Shipyard Elementary School ,PP,5,30 Mt. Kemmel St ,Sydney NS,B1S 3V6,30 Mt. Kemmel St ,Sydney NS,B1S 3V6,oliverg@gnspes.ca,902-562-8878,902-562-8674,Blaine Oliver
51,Cape Breton Victoria Regional Centre for Education,561,St. Anne's Elementary School ,PP,5,30 Official Row ,Glace Bay NS,B1A 2W9,30 Official Row ,Glace Bay NS,B1A 2W9,tettinger@gnspes.ca,902-849-5661,902-849-1645,Tamalah Ettinger
51,Cape Breton Victoria Regional Centre for Education,688,Sydney Academy,09,12,49 Terrace St ,Sydney NS,B1P 2L4,49 Terrace St ,Sydney NS,B1P 2L4,kdeveaux@gnspes.ca,902-562-5464,902-564-4472,Kevin Deveaux
51,Cape Breton Victoria Regional Centre for Education,117,Sydney Mines Middle School,06,8,596 Main St ,Sydney Mines NS,B1V 2K8,596 Main St ,Sydney Mines NS,B1V 2K8,lisaml@gnspes.ca,902-736-8549,902-736-0945,Lisa MacLean
51,Cape Breton Victoria Regional Centre for Education,185,Sydney River Elementary School ,PP,5,35 Phillips St ,Sydney River NS,B1S 1M8,35 Phillips St ,Sydney River NS,B1S 1M8,kmcnenly@gnspes.ca,902-567-2144,902-567-0079,Kelly McNenly
51,Cape Breton Victoria Regional Centre for Education,175,Tompkins Memorial Elementary School ,PP,5,60 Main St ,Reserve Mines NS,B1E 1E5,60 Main St ,Reserve Mines NS,B1E 1E5,mcleodm2@gnspes.ca,902-849-3803,902-849-1586,Mary McLeod
51,Cape Breton Victoria Regional Centre for Education,667,Whitney Pier Memorial Middle School,06,8,199 Jamieson St ,Whitney Pier NS,B1N 2P7,199 Jamieson St ,Whitney Pier NS,B1N 2P7,delm@gnspes.ca,902-562-6130,902-562-6720,Marilyn Delaney
52,Strait Regional Centre for Education,934,Antigonish Education Centre,PP,4,30 Appleseed Dr ,Antigonish NS,B2G 3B6,30 Appleseed Dr ,Antigonish NS,B2G 3B6,april.weaver@srce.ca,902-867-8800,902-867-8804,April Weaver
52,Strait Regional Centre for Education,932,Bayview Education Centre,PP,8,PO Box 148 ,Port Hood NS,B0E 2W0,133 Company Rd ,Port Hood NS,B0E 2W0,lisa.maceachern@srce.ca,902-787-5220,902-787-5224,Lisa MacEachern
52,Strait Regional Centre for Education,974,Cape Breton Highlands Education Centre/Academy,PP,12,PO Box 3 ,Margaree Harbour NS,B0E 2B0,11070 Cabot Trail ,Terre Noire NS,B0E 1C0,angela.mackinnon@srce.ca,902-235-7500,902-235-7504,Angela MacKinnon-Poirier
52,Strait Regional Centre for Education,986,Chedabucto Ed Centre/Guysborough Academy,PP,12,PO Box 19 ,Guysborough NS,B0H 1N0,27 Green St ,Guysborough NS,B0H 1N0,barbara.avery@srce.ca,902-533-4006,902-533-3554,Barbara Avery
52,Strait Regional Centre for Education,930,Dalbrae Academy,08,12,PO Box 220 ,Mabou NS,B0E 1X0,11156 Hwy 19 SW Mabou ,Mabou NS,B0E 1X0,carol.smith@srce.ca,902-945-5325,902-945-5329,Carol Smith
52,Strait Regional Centre for Education,707,Dr. John Hugh Gillis Regional High,09,12,105 Braemore Ave ,Antigonish NS,B2G 1L3,105 Braemore Ave ,Antigonish NS,B2G 1L3,jack.macdonald@srce.ca,902-863-1620,902-863-8284,John MacDonald
52,Strait Regional Centre for Education,975,East Antigonish Education Centre/Academy,PP,12,10128 Rte 4 ,Monastery NS,B0H 1W0,10128 Rte 4 ,Monastery NS,B0H 1W0,richard.britten@srce.ca,902-232-2810,902-232-3829,Richard Britten
52,Strait Regional Centre for Education,484,East Richmond Education Centre,PP,8,PO Box 219 ,St. Peter`s NS,B0E 3B0,9359 Pepperell St ,St. Peter`s NS,B0E 3B0,sonya.sauve@srce.ca,902-535-2066,902-535-3166,Sonya Sauve
52,Strait Regional Centre for Education,266,Fanning Education Centre/Canso Academy,PP,12,129 Tickle Rd ,Guysborough NS,B0H 1H0,129 Tickle Rd ,Guysborough NS,B0H 1H0,jeff.george@srce.ca,902-366-2225,902-366-3502,Jeffrey George
52,Strait Regional Centre for Education,471,Felix Marchand Education Centre,PP,4,PO Box 767 ,Louisdale NS,B0E 1V0,380 Main St ,Louisdale NS,B0E 1V0,lois.landry@srce.ca,902-345-2560,902-345-2868,Lois Landry
52,Strait Regional Centre for Education,143,H.M. MacDonald Elementary School,PP,6,RR3 2811 Hwy 245 ,Maryvale NS,B2G 2J1,2811 Hwy 245 ,Maryvale NS,B2G 2J1,trevor.macisaac@srce.ca,902-863-2096,902-863-0616,Trevor MacIsaac
52,Strait Regional Centre for Education,1106,Inverness Education Centre/Academy,PP,12,PO Box 580 ,Inverness NS,B0E 1N0,59 Veterans Memorial Crt ,Inverness NS,B0E 1N0,peter.goosens@srce.ca,902-258-3700,902-258-3899,Peter Goosens
52,Strait Regional Centre for Education,390,Pleasant Bay School,PR,6,456 Pleasant Bay Rd ,Pleasant Bay NS,B0E 2P0,456 Pleasant Bay Rd ,Pleasant Bay NS,B0E 2P0,angela.mackinnon@srce.ca,902-224-2365,902-224-2080,Angela MacKinnon-Poirier
52,Strait Regional Centre for Education,931,Richmond Education Centre/Academy,05,12,PO Box 599 ,Louisdale NS,B0E 1V0,3238 Whiteside Rd ,Louisdale NS,B0E 1V0,lois.landry@srce.ca,902-345-4949,902-345-4948,Lois Landry
52,Strait Regional Centre for Education,152,St. Andrew Junior School,05,8,2 Appleseed Dr ,Antigonish NS,B2G 3B6,2 Appleseed Dr ,Antigonish NS,B2G 3B6,glenn.austen@srce.ca,902-863-3046,902-863-2273,Glenn Austen
52,Strait Regional Centre for Education,149,St. Andrews Consolidated School,PP,6,3892 Hwy 316 ,St. Andrews NS,B0H 1X0,3892 Hwy 316 ,St. Andrews NS,B0H 1X0,kirk.johnstone@srce.ca,902-863-2512,902-863-6840,Kirk Johnstone
52,Strait Regional Centre for Education,1160,St. Mary's Education Centre/Academy,PP,12,PO Box 292 ,Sherbrooke NS,B0J 3C0,121 Old Rd Hill ,Sherbrooke NS,B0J 3C0,mike.macisaac@srce.ca,902-522-2035,902-522-2336,Michael MacIsaac
52,Strait Regional Centre for Education,655,Strait Area Education and Recreation Centre,09,12,304 Pitt St Unit 1 ,Port Hawkesbury NS,B9A 2T9,304 Pitt St Unit 1 ,Port Hawkesbury NS,B9A 2T9,rob.allen@srce.ca,902-625-1929,902-625-1868,Robert Allen
52,Strait Regional Centre for Education,936,Tamarac Education Centre,PP,8,57 Tamarac Dr ,Port Hawkesbury NS,B9A 3G2,57 Tamarac Dr ,Port Hawkesbury NS,B9A 3G2,melaniem.macdonald@srce.ca,902-625-6650,902-625-6654,Melanie MacDonald
52,Strait Regional Centre for Education,388,Whycocomagh Education Centre,PP,8,PO Box 160 ,Whycocomagh NS,B0E 3M0,50 Norman McLeod Rd ,Whycocomagh NS,B0E 3M0,rick.welton@srce.ca,902-756-2441,902-756-3882,Richard Welton
53,Chignecto Central Regional Centre for Education,639,A. G. Baillie Memorial School,PP,6,477 Victoria Ave Ext ,New Glasgow NS,B2H 1X1,477 Victoria Ave Ext ,New Glasgow NS,B2H 1X1,mcneilap@ccrce.ca,902-755-8240,902-755-8255,Allison McNeil-Wilson
53,Chignecto Central Regional Centre for Education,248,Advocate District School,PR,12,PO Box 62 ,Advocate Harbour NS,B0M 1A0,3521 Hwy 209 ,Advocate NS,B0M 1A0,dickinsond@ccrce.ca,902-392-3400,902-392-3401,Denise Dickinson
53,Chignecto Central Regional Centre for Education,705,Amherst Regional High School ,09,12,190 Willow St ,Amherst NS,B4H 3W5,190 Willow St ,Amherst NS,B4H 3W5,stubberta@ccrce.ca,902-661-2540,902-661-2535,Aaron Stubbert
53,Chignecto Central Regional Centre for Education,1194,Bible Hill Consolidated School,PP,4,103 Pictou Rd ,Truro NS,B2N 2S2,103 Pictou Rd ,Truro NS,B2N 2S2,fougerekj@ccrce.ca,902-896-5511,902-896-5516,Kathleen Fougere
53,Chignecto Central Regional Centre for Education,7,Bible Hill Junior High School,08,9,741 College Rd ,Truro NS,B2N 5Y9,741 College Rd ,Truro NS,B2N 5Y9,thomsontw@ccrce.ca,902-896-5500,902-896-5504,Thomas Thomson
53,Chignecto Central Regional Centre for Education,16,Brookfield Elementary School,PP,6,233 Hwy 289 ,Brookfield NS,B0N 1C0,233 Hwy 289 ,Brookfield NS,B0N 1C0,weatherbeekl@ccrce.ca,902-673-5050,902-673-5052,Kathy Weatherbee
53,Chignecto Central Regional Centre for Education,1198,CCRCE Alternate High School,08,12,PO Box 10 ,Trenton NS,B0K 1X0,37 Dickie St ,Trenton NS,B0K 1X0,callaghank@ccrce.ca,902-755-8165,902-755-8155,Keah Callaghan
53,Chignecto Central Regional Centre for Education,20,Central Colchester Junior High School ,06,9,61 Onslow Rd ,Central Onslow NS,B6L 5K4,61 Onslow Rd ,Central Onslow NS,B6L 5K4,macphersonc@ccrce.ca,902-896-5570,902-896-5575,Chad MacPherson
53,Chignecto Central Regional Centre for Education,27,Chiganois Elementary School,PP,5,11145 Hwy 2 ,Masstown NS,B0M 1G0,11145 Hwy 2 ,Masstown NS,B0M 1G0,harnishk@ccrce.ca,902-662-4420,902-662-4422,Kevin Harnish
53,Chignecto Central Regional Centre for Education,14,Cobequid Consolidated Elementary School,PP,5,2998 Hwy 236 ,Old Barns NS,B6L 1K3,2998 Hwy 236 ,Old Barns NS,B6L 1K3,mcinnisnd@ccrce.ca,902-896-5560,902-896-5565,Natalie McInnis
53,Chignecto Central Regional Centre for Education,36,Cobequid District Elementary School,PP,6,8993 Hwy 354 ,Noel NS,B0N 2C0,8993 Hwy 354 ,Noel NS,B0N 2C0,eikelenboomn@ccrce.ca,902-369-2960,902-369-2961,Nicole Eikelenboom
53,Chignecto Central Regional Centre for Education,44,Cobequid Educational Centre,10,12,34 Lorne St ,Truro NS,B2N 3K3,34 Lorne St ,Truro NS,B2N 3K3,kaulbachw@ccrce.ca,902-896-5700,902-896-5707,John Kaulbach
53,Chignecto Central Regional Centre for Education,1104,Cumberland North Academy,PP,6,RR3 ,Brookdale NS,B4H 3Y1,879 Hwy 204 ,Brookdale NS,B4H 3Y1,wellsk@ccrce.ca,902-661-2464,902-661-2438,Kathy Wells
53,Chignecto Central Regional Centre for Education,230,Cyrus Eaton Elementary School,PP,6,PO Box 129 ,Pugwash NS,B0K 1L0,171 Queen St ,Pugwash NS,B0K 1L0,wellsse@ccrce.ca,902-243-3900,902-243-3903,Steven Wells
53,Chignecto Central Regional Centre for Education,28,Debert Elementary School,PP,6,PO Box 279 ,Debert NS,B0M 1G0,1320 Masstown Rd ,Debert NS,B0M 1G0,coxbl@ccrce.ca,902-662-4400,902-662-4404,Brenda Cox 
53,Chignecto Central Regional Centre for Education,408,Dr. W.A. MacLeod Consolidated School,PR,8,6193 Trafalgar Rd ,Riverton NS,B0K 1S0,6193 Trafalgar Rd ,Riverton NS,B0K 1S0,staceyrl@ccrce.ca,902-755-8450,902-755-8455,Rhonda Stacey
53,Chignecto Central Regional Centre for Education,750,E. B. Chandler Junior High School,07,8,PO Box 790 ,Amherst NS,B4H 4B9,28 Dickey St ,Amherst NS,B4H 4B9,beeds@ccrce.ca,902-661-2450,902-661-2455,Sherri Beed
53,Chignecto Central Regional Centre for Education,432,East Pictou Middle School,07,8,163 School Rd ,Thorburn NS,B0K 1W0,163 School Rd ,Thorburn NS,B0K 1W0,doylenm@ccrce.ca,902-922-3800,902-922-3808,Nancy Doyle
53,Chignecto Central Regional Centre for Education,31,Elmsdale District Elementary School,PR,5,75 MacMillan Dr ,Elmsdale NS,B2S 1A5,75 MacMillan Dr ,Elmsdale NS,B2S 1A5,langilleld@ccrce.ca,902-883-5350,902-883-5353,Laura Langille
53,Chignecto Central Regional Centre for Education,30,Enfield District School,PR,5,29 Catherine St ,Enfield NS,B2T 1L4,29 Catherine St ,Enfield NS,B2T 1L4,knolt@ccrce.ca,902-883-5300,902-883-5302,Christina Knol
53,Chignecto Central Regional Centre for Education,414,F.H. MacDonald Elementary School,PP,6,123 School Rd ,Thorburn NS,B0K 1W0,123 School Rd ,Thorburn NS,B0K 1W0,doylenm@ccrce.ca,902-922-3800,902-922-3828,Nancy Doyle
53,Chignecto Central Regional Centre for Education,665,G.R. Saunders Elementary School,PR,6,PO Box 1030 ,Stellarton NS,B0K 1S0,71 Bridge Avenue ,Stellarton NS,B0K 1S0,cormierel@ccrce.ca,902-755-8230,902-755-8238,Erin Cormier
53,Chignecto Central Regional Centre for Education,26,Great Village Elementary School,PP,4,8849 Hwy 2 ,Great Village NS,B0M 1L0,8849 Hwy 2 ,Great Village NS,B0M 1L0,fultzs@ccrce.ca,902-668-6500,902-668-6506,Stephen Fultz
53,Chignecto Central Regional Centre for Education,42,Hants East Rural High School,09,12,2331 Hwy 2 ,Milford NS,B0N 1Y0,2331 Hwy 2 ,Milford NS,B0N 1Y0,smithmt@ccrce.ca,902-758-4620,902-758-4626,Michael Smith
53,Chignecto Central Regional Centre for Education,41,Hants North Rural High School,07,12,4369 Hwy 236 ,Kennetcook NS,B0N 1P0,4369 Hwy 236 ,Kennetcook NS,B0N 1P0,peverilmf@ccrce.ca,902-362-3300,902-362-3303,Mark Peveril
53,Chignecto Central Regional Centre for Education,1145,Harmony Heights Elementary School,PR,5,25 Cedar Dr ,Truro NS,B2N 5W3,25 Cedar Dr ,Truro NS,B2N 5W3,fitzgeraldd@ccrce.ca,902-896-5798,902-897-8922,Darrell Fitzgerald
53,Chignecto Central Regional Centre for Education,15,Hilden Elementary School,PP,6,1737 Truro Rd ,Hilden NS,B0N 1C0,1737 Truro Rd ,Hilden NS,B0N 1C0,kaulbachl@ccrce.ca,902-896-5750,902-896-5751,Lynn Kaulbach
53,Chignecto Central Regional Centre for Education,661,Junction Road Elementary School,PP,6,PO Box 2139 ,Springhill NS,B0M 1X0,19 Junction Rd ,Springhill NS,B0M 1X0,maddisonalicks@ccrce.ca,902-597-4240,902-597-4247,Sheila Maddison-Alick
53,Chignecto Central Regional Centre for Education,38,Kennetcook District Elementary School,PP,6,4369 Hwy 236 ,Kennetcook NS,B0N 1P0,4369 Hwy 236 ,Kennetcook NS,B0N 1P0,peverilmf@ccrce.ca,902-362-3300,902-362-3303,Mark Peveril
53,Chignecto Central Regional Centre for Education,949,Maple Ridge Elementary School,PR,5,1066 Hwy 2 ,Lantz NS,B2S 1M8,1066 Hwy 2 ,Lantz NS,B2S 1M8,isenorr@ccrce.ca,902-883-5361,902-883-5360,Robin Isenor
53,Chignecto Central Regional Centre for Education,971,McCulloch Education Centre,PR,8,350 Wellington St ,Pictou NS,B0K 1H0,350 Wellington St ,Pictou NS,B0K 1H0,mcneillfa@ccrce.ca,902-485-7991,902-485-7992,Francis McNeill
53,Chignecto Central Regional Centre for Education,1189,New Glasgow Academy,PP,8,93 Albert St ,New Glasgow NS,B2H 5W8,93 Albert St ,New Glasgow NS,B2H 5W8,francisa@ccrce.ca,902-755-8400,902-755-8438,Andrew Francis
53,Chignecto Central Regional Centre for Education,988,North Nova Education Centre,09,12,343 Park St ,New Glasgow NS,B2H 6B2,343 Park St ,New Glasgow NS,B2H 6B2,lewislk@ccrce.ca,902-755-8180,902-755-8185,Lia Lewis
53,Chignecto Central Regional Centre for Education,9,North River Elementary School,PP,6,80 Mountain Lee Rd ,North River NS,B6L 6M2,80 Mountain Lee Rd ,North River NS,B6L 6M2,bishopameroha@ccrce.ca,902-896-5530,902-896-5532,Heather Bishop-Amero
53,Chignecto Central Regional Centre for Education,231,Northport Consolidated Elementary School,PR,6,7110 Hwy 366 ,Northport NS,B0L 1E0,7110 Hwy 366 ,Northport NS,B0L 1E0,trenholma@ccrce.ca,902-661-2490,902-661-2491,Angela Trenholm
53,Chignecto Central Regional Centre for Education,989,Northumberland Regional High School,09,12,104 Alma Rd ,Alma NS,B0K 2A0,104 Alma Rd ,Alma NS,B0K 2A0,otoolem@ccrce.ca,902-396-2750,902-396-2755,Matthew O'Toole
53,Chignecto Central Regional Centre for Education,1151,Oxford Regional Education Centre,PP,12,249 Lower Main St ,Oxford NS,B0M 1P0,249 Lower Main St ,Oxford NS,B0M 1P0,starrattd@ccrce.ca,902-447-4513,902-447-4517,Duane Starratt
53,Chignecto Central Regional Centre for Education,649,Parrsboro Regional Elementary School,PP,6,PO Box 631 ,Parrsboro NS,B0M 1S0,43 School St ,Parrsboro NS,B0M 1S0,collinsonn@ccrce.ca,902-254-5605,902-254-5609,Norma-Jean Collinson
53,Chignecto Central Regional Centre for Education,715,Parrsboro Regional High School ,07,12,PO Box 370 ,Parrsboro NS,B0M 1S0,109 King St ,Parrsboro NS,B0M 1S0,spenced@ccrce.ca,902-254-5600,902-254-5660,Daniel Spence
53,Chignecto Central Regional Centre for Education,650,Pictou Academy,09,12,200 Louise St ,Pictou NS,B0K 1H0,200 Louise St ,Pictou NS,B0K 1H0,pettipassa@ccrce.ca,902-485-7200,902-485-7210,April Pettipas
53,Chignecto Central Regional Centre for Education,252,Pugwash District High School,07,12,PO Box 100 ,Pugwash NS,B0K 1L0,192 Church St ,Pugwash NS,B0K 1L0,bruntse@ccrce.ca,902-243-3930,902-243-3940,Shawn Brunt
53,Chignecto Central Regional Centre for Education,39,Rawdon District Elementary School,PP,6,3713 Hwy 354 ,Upper Rawdon NS,B0N 2N0,3713 Hwy 354 ,Upper Rawdon NS,B0N 2N0,noddinm@ccrce.ca,902-632-6660,902-632-6662,Myrna Noddin Bona
53,Chignecto Central Regional Centre for Education,916,Redcliff Middle School,05,7,33 Sunset Lane ,Valley NS,B6L 4K1,33 Sunset Lane ,Valley NS,B6L 4K1,hazeltond@ccrce.ca,902-896-5520,902-896-5514,David Hazelton
53,Chignecto Central Regional Centre for Education,251,River Hebert District School,PP,12,2843 Barronsfield Rd ,River Hebert NS,B0L 1G0,2843 Barronsfield Rd ,River Hebert NS,B0L 1G0,taylorv@ccrce.ca,902-251-3200,902-251-3210,Vernon Taylor
53,Chignecto Central Regional Centre for Education,923,Riverside Education Centre,06,8,6 Riverside Dr ,Milford NS,B0N 1Y0,6 Riverside Dr ,Milford NS,B0N 1Y0,gattosc@ccrce.ca,902-758-4660,902-758-4666,Simon Gatto
53,Chignecto Central Regional Centre for Education,441,Salt Springs Elementary School,PP,5,2080 West River Stn Rd ,Pictou NS,B0K 1P0,2080 West River Stn Rd ,Pictou NS,B0K 1P0,nelsonrd@ccrce.ca,902-925-6000,902-925-6006,Robert Nelson
53,Chignecto Central Regional Centre for Education,4,Scotsburn Elementary School,PP,5,4100 Scotsburn Rd ,Scotsburn NS,B0K 1R0,4100 Scotsburn Rd ,Scotsburn NS,B0K 1R0,mccarrong@ccrce.ca,902-485-7980,902-485-7981,Glen McCarron
53,Chignecto Central Regional Centre for Education,34,Shubenacadie District Elementary School,PP,5,54 Mill Village Rd ,Shubenacadie NS,B0N 2H0,54 Mill Village Rd ,Shubenacadie NS,B0N 2H0,harveyc@ccrce.ca,902-758-4600,902-758-4608,Clinton Harvey
