,filename,facility_type,leave_blank,prov,province,source_url,provider,lisence_url,region_type,facility_name,operator_name,health_authority,alternative_name,number_beds,active,latitude,longitude,address_str,street_no,street_name,street_addr,city,postal_code,phone,email,website,fax
14,NB_Moncton_pharmacies,Type,,NB,force:NB,https://open.moncton.ca/datasets/pharmacies/explore,Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,Municipal,Name,,,,,,LATITUDE,LONGITUDE,Address,,,,force:Moncton,,Phone,,,
15,NB_Moncton_senior_care_facilities,FACILITY_TYPE,,NB,force:NB,https://open.moncton.ca/datasets/senior-care-facilities/explore,Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEJ7%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDD2zzrrj4ybMy8kEkyK3A7vs1Qks4tClljOAPdHNa9hdJc1ySqBbqMMNvH72QZOkyz6G6V462s5zXjiZo%2FzT53YsTCl9Jhzq8LTywCnZNSmRLdNpVaDd1PkvZOyFFZkJPsD3wWwEDXlTYt5OHG3B6DxQKY93tON02iyWwc7V%2FL3S8rPtiIySlg%2FwTGd%2FOklrDNtoA044lT89GPddrCyh7E1MWpJLjC%2BAXwt%2BZJDIyQX%2FeuV%2BMXpF9p5DzV6lO2BWnwk%2BwwPqTtBTqPvjqBv2D4AemKevQd8lNkwtLB5YTMo8%2Bb4kzRp7f7xNvdXtEJAcRxLq8dLbvHHGzY5wY8JOp5DyyG%2B%2FERoOeU2KE9j61LFPWBVxJLqE6uW1okfnkIQUtVi2WHuj4D%2F9MCWMtHRRFlxZCt9xfs67YfPu3h%2BwIlMZYyGYNvxZ0MVZ4KJNF52aLQjC2ABKI09Zl1Sk0yUfBiugilagW%2B9tFRErFNIyEuF1Wh9RhxhefwizWOogDZS4QExmmbBPeMfXUYIlqamyR5JZNU6duosmJGUYS4fJng2R8LnyRYdpDfN%2F1LIiWZGLosSLVSSwemkPJrPblwYX7Ds%2BQ2MxktUohqaX4wU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190214T211858Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE3M6ZCLSI%2F20190214%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ed9203b42a153cd203e655fb11d41dd065e6da38e377c93cf0231b26666bfffa,Municipal,FACILITY_NAME,,,,NumBeds_int,,LATITUDE,LONGITUDE,,CIVIC,STNAME,,force:Moncton,,CONTACTNUMBER,,,
16,NB_nursing_homes,force:nursing_homes,,NB,force:NB,https://gnb.socrata.com/Health-and-Wellness/Licensed-Nursing-Homes-Foyers-de-soins-agr-es/efvh-czff,Province of New Brunswick,http://www.snb.ca/e/2000/data-E.html,Provincial,Name / Nom,,,,Number of Beds / Nombre de lits,,LATITUDE,LONGITUDE,,,,Addresse/Adresse ,Municipality/Municipalité,Postal Code / Code Postal,Telephone Number / No de téléphone,,,
17,NL_healthcare_facilities,force:hospital,,NL,force:NL,https://opendata.gov.nl.ca/public/opendata/page/?page-id=datasetdetails&id=67,Province of Newfoundland and Labrador,https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,Provincial,name,,,,long_term_care_beds,,latitude,longitude,,,,,location,,telephone,,website,
18,NL_hospital,force:hospital,,NL,force:NL,https://opendata.gov.nl.ca/public/opendata/page/?page-id=datasetdetails&id=86,Province of Newfoundland and Labrador,https://opendata.gov.nl.ca/public/opendata/page/?page-id=licence,Provincial,Name,,,,Acute_Care_Beds,,latitude,longitude,,,,,Location,,Telephone,,Website,
19,NS_hospital,TYPE,,NS,force:NS,https://data.novascotia.ca/Health-and-Wellness/Hospitals/tmfr-3h8a,Province of Nova Scotia,https://novascotia.ca/opendata/licence.asp,Provincial,FACILITY,,,,,,LATITUDE,LONGITUDE,,,,Address,TOWN,,,,,
20,NS_long_term_care_facilities,Facility Type,,NS,force:NS,https://data.novascotia.ca/Health-and-Wellness/Long-Term-Care-and-Residential-Care-Facilities/x76a-axw2,Province of Nova Scotia,https://novascotia.ca/opendata/licence.asp,Provincial,Facility Name,,,,Nursing Homes (NH) No. of Beds,,X Coordinate,Y  Coordinate,,,,Address,Town,Postal Code,,,,
21,ON_covid_testing_centres,force:covid_testing_centres,,ON,force:ON,https://data.ontario.ca/en/dataset/covid-19-assessment-centre-locations,Province of Ontario,https://www.ontario.ca/page/open-government-licence-ontario,Provincial,location_name,operated_by,phu,,,,latitude,longitude,,,,address,city,postal_code,phone,,website,
22,ON_Durham_healthcare_facilities,,,ON,force:ON,https://opendata.durham.ca/datasets/healthcare-facilities/explore,Durham,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Municipal,NAME,,,,,,LATITUDE,LONGITUDE,,,,ADDRESS,MUNICIPALITY,POSTAL_CODE,PHONE,,WEBSITE,
23,ON_Guelph_healthcare_facilities,Types_of_C,,ON,force:ON,http://data.open.guelph.ca/dataset/health-services-in-guelph,Guelph,http://data.open.guelph.ca/pages/open-government-licence,Municipal,Name_of_th,,,LOCNAME,,,,,,Street__Nu,Street__Na,Address,City,Postal_Cod,Phone,,Website,
24,ON_Hamilton_hospital,TYPE,,ON,force:ON,https://open.hamilton.ca/datasets/a5867b5375544ceb8f06544a5ed349a5_15/explore,Hamilton,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Municipal,NAME,,,,,,LATITUDE,LONGITUDE,,,,ADDRESS,COMMUNITY,,,,,
25,ON_Hamilton_residential_care_,LICENSE_TYPE,,ON,force:ON,,Hamilton,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Municipal,BUSINESS_NAME,,,,,,,,,,,BUSINESS_ADDRESS,,,,,,
26,ON_healthcare_facilities,SERV_TYPE,,ON,force:ON,https://data.ontario.ca/en/dataset/hospital-locations,Province of Ontario,https://www.ontario.ca/page/open-government-licence-ontario,Provincial,EN_NAME,,,EN_ALT,,,X,Y,,,,ADDRESS_1,COMMUNITY,POSTALCODE,,,,
27,ON_Ottawa_hospital,force:hospital,,ON,force:ON,https://open.ottawa.ca/datasets/hospitals/explore,Ottawa,https://ottawa.ca/en/city-hall/get-know-your-city/open-data#open-data-licence-version-2-0,Municipal,NAME,,,,,,X,Y,,,,ADDRESS,force:Ottawa,,PHONE,,LINK_EN,
28,ON_Toronto_covid-19-testing-sites,force:covid_testing_centre,,ON,force:ON,https://open.toronto.ca/dataset/covid-19-testing-sites/,Toronto,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,Municipal,locationName,,,,,,LATITUDE,LONGITUDE,,,,address,force:Toronto,,phone,,website,
29,ON_Toronto_covid-19-immunization-clinics,locationType,,ON,force:ON,https://open.toronto.ca/dataset/covid-19-immunization-clinics/,Toronto,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,Municipal,locationName,,,,,,LATITUDE,LONGITUDE,,,,address,force:Toronto,,phone,,website,
30,ON_York_hospital,force:hospital,,ON,force:ON,https://data-markham.opendata.arcgis.com/datasets/york::hospital/explore,York Region,http://insights-york.opendata.arcgis.com/datasets/york-region-open-data-licence,Municipal,NAME,,,,,STATUS,LATITUDE,LONGITUDE,,,,ADDRESS,REGION,POST_CODE,PHONE_NO,,,
31,PE_healthcare_facilities,Facility Type,,PE,force:PE,https://data.princeedwardisland.ca/Health-and-Home/OD0050-Health-PEI-Facility-Locations/dfge-zd27,Province of Prince Edward Island,https://www.princeedwardisland.ca/en/information/finance/open-government-licence-prince-edward-island,Provincial,Facility Name,,,,,,LATITUDE,LONGITUDE,,,,Street Address,Community,Postal Code,,,,
32,QC_Gatineau_public_places_including_hospitals,TYPE,,QC,force:QC,https://www.gatineau.ca/portail/default.aspx?p=publications_cartes_statistiques_donnees_ouvertes/donnees_ouvertes/jeux_donnees/details&id=1267315911,Gatineau,https://www.gatineau.ca/donneesouvertes/licence_en.aspx,Municipal,NOM_TOPOGR,,,,,,LATITUDE,LONGITUDE,,,,ADR_COMPLE,force:Gatineau,,,,,
33,QC_healthcare_establishments,,,QC,force:QC,https://www.donneesquebec.ca/recherche/dataset/fichiers-cartographiques-m02-des-installations-et-etablissements/resource/a1988030-1f8b-4c67-bc29-ca8b9f710afd,Province of Quebec,https://www.donneesquebec.ca/fr/licence/#cc-by,Provincial,ETAB_NOM,,RLS_NOM,ETAB_NOM_A,,,LATITUDE,LONGITUDE,,,,ADRESSE,MRC_NOM,CODE_POSTA,,,,
34,QC_healthcare_facilities,,,QC,force:QC,https://www.donneesquebec.ca/recherche/dataset/fichiers-cartographiques-m02-des-installations-et-etablissements/resource/2aa06e66-c1d0-4e2f-bf3c-c2e413c3f84d,Province of Quebec,https://www.donneesquebec.ca/fr/licence/#cc-by,Provincial,INSTAL_NOM,,RLS_NOM,ETAB_NOM,,,LATITUDE,LONGITUDE,,,,ADRESSE,MRC_NOM,CODE_POSTA,,,,
35,QC_Quebec_City_public_places,DESCRIPTION,,QC,force:QC,https://www.donneesquebec.ca/recherche/dataset/vque_14,Quebec City,https://www.donneesquebec.ca/fr/licence/#cc-by,Municipal,NOM_TOPOGRAPHIE,,,,,,LATITUDE,LONGITUDE,,NO_CIVIQUE,RUE,,force:Quebec,,,,,
