facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,unit,street_no,street_name,street_addr,city,province,postal_code,provider,latitude,longitude,phone,email,website
Centre d'hébergement et de soins de longue durée des Floralies-de-Lachine Inc.,,RLS de Dorval - Lachine - Lasalle,CHSLD des Floralies-de-Lachine Inc.,,,,650,32e avenue,"650, 32e Avenue",Montréal,QC,H8T3K4,Province of Quebec,45.4408454895,-73.6918411255,,,
Centre d'hébergement et de soins de longue durée des Floralies-de-Lasalle Inc.,,RLS de Dorval - Lachine - Lasalle,CHSLD des Floralies-de-Lasalle Inc.,,,,8200,rue georges,"8200, rue Georges",Montréal,QC,H8P3T6,Province of Quebec,45.4241905212,-73.6090316772,,,
Centre d'hébergement et de soins de longue durée Côte-Jardin Inc.,,RLS de Québec-Sud,CHSLD Côte-Jardin Inc.,,,,880,avenue painchaud,"880, avenue Painchaud",Québec,QC,G1S0A3,Province of Quebec,46.7881507874,-71.2610244751,,,
Centre d'hébergement et de soins de longue durée du Château-sur-le-Lac-de-Sainte-Geneviève inc.,,RLS de Pierrefonds - Lac Saint-Louis,CHSLD du Château-sur-le-Lac-de-Sainte-Geneviève inc.,,,,16289,boulevard gouin ouest,"16289, boulevard Gouin Ouest",Montréal,QC,H9H1E2,Province of Quebec,45.4779891968,-73.8744659424,,,
Vigi Santé Ltée,,RLS de Pierrefonds - Lac Saint-Louis,Vigi Santé Ltée,,,,197,rue thornhill,"197, rue Thornhill",Montréal,QC,H9B3H8,Province of Quebec,45.4802017212,-73.816116333,,,
Centre d'hébergement et de soins de longue durée Providence - Saint-Joseph inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Providence - Saint-Joseph inc.,,,,5605,rue beaubien est,"5605, rue Beaubien Est",Montréal,QC,H1T1X4,Province of Quebec,45.5789260864,-73.5674591064,,,
Maison des ainées de St-Timothée Inc.,,RLS du Suroît,Maison des ainées de St-Timothée Inc.,,,,1,rue des aînés,"1, rue des Aînés",Beauharnois-Salaberry,QC,J6S6M8,Province of Quebec,45.2893562317,-74.0367050171,,,
CHSLD Domaine Saint-Dominique S.E.C.,,RLS de Québec-Sud,CHSLD Domaine Saint-Dominique S.E.C.,,,,1045,boulevard rené-lévesque ouest,"1045, boulevard René-Lévesque Ouest",Québec,QC,G1S1V3,Province of Quebec,46.7950134277,-71.2416000366,,,
Centre d'hébergement et de soins de longue durée de Saint-Lambert-sur-le-Golf Inc.,,RLS Pierre-Boucher,CHSLD de Saint-Lambert-sur-le-Golf Inc.,,,,549,rue de verrazano,"549, rue de Verrazano",Longueuil,QC,J4B7W2,Province of Quebec,45.6024894714,-73.4443664551,,,
Centre d'hébergement et de soins de longue durée Wales Inc.,,RLS de Val Saint-François,CHSLD Wales Inc.,,,,506,route 243,"506, Route 243",Le Val-Saint-François,QC,J0B2H0,Province of Quebec,45.6754226685,-72.1738052368,,,
CHSLD Age3 Inc.,,RLS de Laval,CHSLD Age3 Inc.,,,,4410,boulevard saint-martin ouest,"4410, boulevard Saint-Martin Ouest",Laval,QC,H7T1C3,Province of Quebec,45.547000885,-73.7676696777,,,
Centre d'hébergement et de soins de longue durée du Boisé Sainte-Thérèse Inc.,,RLS de Thérèse-De Blainville,CHSLD Boisé Ste-Thérèse,,,,179,place fabien-drapeau,"179, place Fabien-Drapeau",Thérèse-De Blainville,QC,J7E5W6,Province of Quebec,45.6491622925,-73.840927124,,,
Centre de réadaptation en dépendance du Nouveau Départ Inc.,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre de réadapt. en dépendance du Nouveau Départ Inc.,,,,1110,avenue beaumont,"1110, avenue Beaumont",Montréal,QC,H3P3E5,Province of Quebec,45.5223045349,-73.6224365234,,,
Centre d'hébergement et de soins de longue durée de Sainte-Catherine S.E.C.,,RLS de Jardins-Roussillon,CHSLD de Sainte-Catherine S.E.C.,,,,3065,boulevard marie-victorin,"3065, boulevard Marie-Victorin",Roussillon,QC,J5C1Z3,Province of Quebec,45.4003067017,-73.5433731079,,,
Centre d'hébergement et de soins de longue durée Angus Inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Angus Inc.,,,,3200,rue omer-lavallée,"3200, rue Omer-Lavallée",Montréal,QC,H1Y3P5,Province of Quebec,45.5465431213,-73.5606231689,,,
CHU de Québec – Université Laval,,RLS de Québec-Sud,CHU de Québec – UL,,,,11,côte du palais,"11, côte du Palais",Québec,QC,G1R2J6,Province of Quebec,46.8153915405,-71.2109909058,,,
Centre d'hébergement et de soins de longue durée Argyle Inc.,,RLS de Champlain,CHSLD Argyle Inc.,,,,33,avenue argyle,"33, avenue Argyle",Longueuil,QC,J4P3P5,Province of Quebec,45.5015411377,-73.5147018433,,,
Centre d'hébergement et de soins de longue durée du Groupe-Santé-Arbec Inc.,,RLS de Lanaudière-Nord,CHSLD Groupe-Santé-Arbec Inc.,,,,3931,rue lakeshore drive,"3931, rue Lakeshore Drive",Matawinie,QC,J0K1S0,Province of Quebec,46.0508613586,-73.7022247314,,,
Centre d'hébergement et de soins de longue durée de Saint-Jean-sur-Richelieu S.E.C.,,RLS du Haut-Richelieu - Rouville,CHSLD de Saint-Jean-sur-Richelieu S.E.C.,,,,40,rue labrèche,"40, rue Labrèche",Le Haut-Richelieu,QC,J3B0J3,Province of Quebec,45.311580658,-73.2614974976,,,
Centre d'hébergement et de soins de longue durée Valeo Inc.,,RLS de Champlain,CHSLD Valeo Inc.,,,,700,rue docteur-chevrier,"700, rue Docteur-Chevrier",Longueuil,QC,J4P0A4,Province of Quebec,45.5095596313,-73.501701355,,,
Centre intégré de santé et de services sociaux du Bas-Saint-Laurent,,RLS de Rimouski,CISSS du Bas-Saint-Laurent,,,,355,boulevard saint-germain ouest,"355, boulevard Saint-Germain Ouest",Rimouski-Neigette,QC,G5L3N2,Province of Quebec,48.4433555603,-68.5404815674,,,
Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean,,RLS de Chicoutimi,CIUSSS du Saguenay – Lac-Saint-Jean,,,,930,rue jacques-cartier est,"930, rue Jacques-Cartier Est",Saguenay,QC,G7H7K9,Province of Quebec,48.4213104248,-71.0400390625,,,
Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale,,RLS de Québec-Nord,CIUSSS de la Capitale-Nationale,,,,2915,avenue du bourg-royal,"2915, avenue du Bourg-Royal",Québec,QC,G1C3S2,Province of Quebec,46.8566360474,-71.2197647095,,,
Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,,RLS de Trois-Rivières,CIUSSS de la Mauricie-et-du-Centre-du-Québec,,,,858,terrasse turcotte,"858, terrasse Turcotte",Trois-Rivières,QC,G9A5C5,Province of Quebec,46.3427963257,-72.5371017456,,,
Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke,,RLS de Sherbrooke,CIUSSS de l'Estrie – CHUS,,,,375,rue argyll,"375, rue Argyll",Sherbrooke,QC,J1J3H5,Province of Quebec,45.4042434692,-71.9150848389,,,
Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal,,RLS de Pierrefonds - Lac Saint-Louis,CIUSSS de l'Ouest-de-l'Île-de-Montréal,,,,2400,boulevard des sources,"2400, boulevard des Sources, 2e étage",Montréal,QC,H9R0E9,Province of Quebec,45.448551178,-73.8336715698,,,
Centre intégré universitaire de santé et de services sociaux du Centre-Ouest-de-l'Île-de-Montréal,,RLS de Côte-des-Neiges - Métro - Parc-Extension,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,,,,3755,chemin de la côte-sainte-catherin,"3755, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1E2,Province of Quebec,45.4978103638,-73.6288070679,,,
Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,,,,1560,rue sherbrooke est,"1560, rue Sherbrooke Est",Montréal,QC,H2L4M1,Province of Quebec,45.5253562927,-73.5635604858,,,
Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal,,RLS d'Ahuntsic - Montréal-Nord,CIUSSS du Nord-de-l'Île-de-Montréal,,,,555,boulevard gouin ouest,"555, boulevard Gouin Ouest",Montréal,QC,H3L1K5,Province of Quebec,45.5475997925,-73.6876525879,,,
Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CIUSSS de l'Est-de-l'Île-de-Montréal,,,,5415,boulevard de l'assomption,"5415, boulevard de l'Assomption",Montréal,QC,H1T2M4,Province of Quebec,45.5742149353,-73.5584640503,,,
Centre intégré de santé et de services sociaux de l'Outaouais,,RLS de Grande-Rivière - Hull - Gatineau,CISSS de l'Outaouais,,,,80,avenue gatineau,"80, avenue Gatineau",Gatineau,QC,J8T4J3,Province of Quebec,45.4801902771,-75.7229309082,,,
Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue,,RLS de Rouyn-Noranda,CISSS de l'Abitibi-Témiscamingue,,,,1,9e rue,"1, 9e Rue",Rouyn-Noranda,QC,J9X2A9,Province of Quebec,48.2433586121,-79.0210037231,,,
Centre intégré de santé et de services sociaux de la Côte-Nord,,RLS de la Haute-Côte-Nord - Manicouagan,CISSS de la Côte-Nord,,,,835,boulevard jolliet,"835, boulevard Jolliet",Manicouagan,QC,G5C1P5,Province of Quebec,49.1904411316,-68.2569503784,,,
Centre intégré de santé et de services sociaux de la Gaspésie,,RLS de La Côte-de-Gaspé,CISSS de la Gaspésie,,,,215,boulevard de york ouest,"215, boulevard de York Ouest",La Côte-de-Gaspé,QC,G4X2W2,Province of Quebec,48.8129425049,-64.4966506958,,,
Centre intégré de santé et de services sociaux de Laval,,RLS de Laval,CISSS de Laval,,,,1755,boulevard rené-laennec,"1755, boulevard René-Laennec",Laval,QC,H7M3L9,Province of Quebec,45.6033210754,-73.7108230591,,,
Centre intégré de santé et de services sociaux de Lanaudière,,RLS de Lanaudière-Nord,CISSS de Lanaudière,,,,260,rue lavaltrie sud,"260, rue Lavaltrie Sud",Joliette,QC,J6E5X7,Province of Quebec,46.0181846619,-73.4410705566,,,
Centre intégré de santé et de services sociaux des Laurentides,,RLS de la Rivière-du-Nord - Mirabel-Nord,CISSS des Laurentides,,,,290,rue de montigny,"290, rue de Montigny",La Rivière-du-Nord,QC,J7Z5T3,Province of Quebec,45.7655715942,-74.0001907349,,,
Centre intégré de santé et de services sociaux de la Montérégie-Centre,,RLS de Champlain,CISSS de la Montérégie-Centre,,,Bureau 220,3141,boulevard taschereau,"3141, boulevard Taschereau, bureau 220",Longueuil,QC,J4V2H2,Province of Quebec,45.4977531433,-73.4842071533,,,
Centre intégré de santé et de services sociaux de la Montérégie-Est,,RLS de Richelieu-Yamaska,CISSS de la Montérégie-Est,,,,2750,boulevard laframboise,"2750, boulevard Laframboise",Les Maskoutains,QC,J2S4Y8,Province of Quebec,45.6348342896,-72.9594726563,,,
Centre intégré de santé et de services sociaux de la Montérégie-Ouest,,RLS de Jardins-Roussillon,CISSS de la Montérégie-Ouest,,,,200,boulevard brisebois,"200, boulevard Brisebois",Roussillon,QC,J6K4W8,Province of Quebec,45.3456611633,-73.7634429932,,,
Centre intégré de santé et de services sociaux de Chaudière-Appalaches,,RLS Alphonse-Desjardins,CISSS de Chaudière-Appalaches,,,,363,route cameron,"363, route Cameron",La Nouvelle-Beauce,QC,G6E3E2,Province of Quebec,46.4648017883,-71.0452041626,,,
Centre d'hébergement et de soins de longue durée Waldorf S.E.C.,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,CHSLD Waldorf S.E.C.,,,,7400,chemin de la côte-saint-luc,"7400, chemin de la Côte-Saint-luc",Montréal,QC,H4W3J4,Province of Quebec,45.4606971741,-73.6583023071,,,
Centre d'hébergement et de soins de longue durée de la Villa-de-Val-des-Arbres Inc.,,RLS de Laval,CHSLD de la Villa-de-Val-des-Arbres inc.,,,,3245,boulevard saint-martin est,"3245, boulevard Saint-Martin Est",Laval,QC,H7E4T6,Province of Quebec,45.6056098938,-73.6773605347,,,
Centre d'hébergement et de soins de longue durée au Cœur-de-la-Vie inc.,,RLS de la Rivière-du-Nord - Mirabel-Nord,CHSLD au Cœur-de-la-Vie inc.,,,,325,rue barrette,"325, rue Barrette, 1er étage",La Rivière-du-Nord,QC,J7Y0J8,Province of Quebec,45.7774887085,-74.0143737793,,,
Centre d'hébergement et de soins de longue durée Louise-Faubert Inc.,,RLS de Lanaudière-Sud,CHSLD Louise-Faubert Inc.,,,,751,rue marcel-de la sablonnière,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,
Centre d'hébergement et de soins de longue durée Marguerite-Rocheleau inc.,,RLS de Lanaudière-Sud,CHSLD Marguerite-Rocheleau inc.,,,,751,rue marcel-de la sablonnière,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,
Centre d'hébergement et de soins de longue durée Michèle-Bohec inc.,,RLS de Lanaudière-Sud,CHSLD Michèle-Bohec inc.,,,,751,rue marcel-de la sablonnière,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,
Centre d'hébergement et de soins de longue durée L.-B.-Desjardins Inc.,,RLS des Pays-d'en-Haut,CHSLD L.-B.-Desjardins Inc.,,,,55,avenue hochar,"55, avenue Hochar",Les Pays-d'en-Haut,QC,J0R1R6,Province of Quebec,45.8891906738,-74.1569900513,,,
Centre d'hébergement et de soins de longue durée des Patriotes Inc.,,RLS de Laval,CHSLD des Patriotes Inc.,,,,3245,boulevard saint-martin est,"3245, boulevard Saint-Martin Est",Laval,QC,H7E4T6,Province of Quebec,45.6056098938,-73.6773605347,,,
Centre d'hébergement et de soins de longue durée des Îles-de-la-Madeleine inc.,,RLS des Îles-de-la-Madeleine,Centre d'hébergement et de soins de longue durée des Îl,,,,596,chemin principal,"596, chemin Principal",Communauté maritime des Îles-de-la-Madeleine,QC,G4T1G1,Province of Quebec,47.3731307983,-61.8730888367,,,
Centre d'hébergement et de soins de longue durée de Laval S.E.C.,,RLS de Laval,CHSLD de Laval S.E.C.,,,,2805,boulevard chomedey,"2805, boulevard Chomedey",Laval,QC,H7P0C2,Province of Quebec,45.5708618164,-73.7665557861,,,
Centre d'hébergement et de soins de longue durée de Granby S.E.C.,,RLS de la Haute-Yamaska,CHSLD de Granby S.E.C.,,,,80,rue godue,"80, rue Godue",La Haute-Yamaska,QC,J2J2Z7,Province of Quebec,45.4074707031,-72.7621536255,,,
Centre de soins prolongés Grace Dart,,RLS de Hochelaga - Mercier-Ouest - Rosemont,Centre de soins prolongés Grace Dart,,,,5155,rue sainte-catherine est,"5155, rue Sainte-Catherine Est",Montréal,QC,H1V2A5,Province of Quebec,45.5594596863,-73.5289077759,,,
Hôpital juif de réadaptation,,RLS de Laval,Hôpital juif de réadaptation,,,,3205,place alton-goldbloom,"3205, place Alton-Goldbloom",Laval,QC,H7V1R2,Province of Quebec,45.5487289429,-73.7376403809,,,
Centre de réadaptation Lethbridge-Layton-Mackay,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Centre de réadaptation Lethbridge-Layton-Mackay,,,,7005,boulevard de maisonneuve ouest,"7005, boulevard De Maisonneuve Ouest",Montréal,QC,H4B1T3,Province of Quebec,45.4583435059,-73.6341323853,,,
CHSLD Providence Notre-Dame de Lourdes inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Providence Notre-Dame de Lourdes inc.,,,,1870,boulevard pie-ix,"1870, boulevard Pie-IX",Montréal,QC,H1V2C6,Province of Quebec,45.549785614,-73.5406951904,,,
Atelier le fil d'Ariane Inc.,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,Atelier le fil d'Ariane Inc.,,,App. 100,4837,rue boyer,"4837, rue Boyer, app. 100",Montréal,QC,H2J3E6,Province of Quebec,45.5294494629,-73.5838394165,,,
Résidence Angelica,,RLS d'Ahuntsic - Montréal-Nord,Résidence Angelica,,,,3435,boulevard gouin est,"3435, boulevard Gouin Est",Montréal,QC,H1H1B1,Province of Quebec,45.5899391174,-73.6513366699,,,
Centre de santé et de services sociaux du Haut-Saint-Laurent,,RLS du Haut-Saint-Laurent,CSSS du Haut-Saint-Laurent,,,,28,rue gale,"28, rue Gale",Le Haut-Saint-Laurent,QC,J0S1K0,Province of Quebec,45.1263427734,-73.9998703003,,,
CHSLD Bayview Inc.,,RLS de Pierrefonds - Lac Saint-Louis,CHSLD Bayview Inc.,,,,27,chemin lakeshore,"27, chemin Lakeshore",Montréal,QC,H9S4H1,Province of Quebec,45.4486465454,-73.786567688,,,
Résidence Berthiaume-Du Tremblay,,RLS d'Ahuntsic - Montréal-Nord,Résidence Berthiaume-Du Tremblay,,,,1635,boulevard gouin est,"1635, boulevard Gouin Est",Montréal,QC,H2C1C2,Province of Quebec,45.5674171448,-73.6630554199,,,
La corporation Notre-Dame de Bon-Secours,,RLS de Québec-Sud,La corporation Notre-Dame de Bon-Secours,,,,990,rue gérard-morisset,"990, rue Gérard-Morisset",Québec,QC,G1S1X6,Province of Quebec,46.788066864,-71.2566070557,,,
Hôpital Jeffery Hale - Saint Brigid's,,RLS de Québec-Sud,Hôpital Jeffery Hale - Saint Brigid's,,,,1250,chemin sainte-foy,"1250, chemin Sainte-Foy",Québec,QC,G1S2M6,Province of Quebec,46.7966499329,-71.2530822754,,,
Hôpital Santa Cabrini,,RLS de Hochelaga - Mercier-Ouest - Rosemont,Hôpital Santa Cabrini,,,,5655,rue saint-zotique est,"5655, rue Saint-Zotique Est",Montréal,QC,H1T1P7,Province of Quebec,45.5801391602,-73.5717163086,,,
Institut de Cardiologie de Montréal,,RLS de Hochelaga - Mercier-Ouest - Rosemont,ICM,,,,5000,rue bélanger,"5000, rue Bélanger",Montréal,QC,H1T1C8,Province of Quebec,45.573764801,-73.5778198242,,,
Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie (1995) Inc.,,RLS d'Ahuntsic - Montréal-Nord,Hôp. Marie-Clarac des Soeurs de Charité de Ste-Marie,,,,3530,boulevard gouin est,"3530, boulevard Gouin Est",Montréal,QC,H1H1B7,Province of Quebec,45.5908355713,-73.6497421265,,,
Clinique communautaire de Pointe St-Charles,,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Clinique communautaire de Pointe St-Charles,,,,500,avenue ash,"500, avenue Ash",Montréal,QC,H3K2R4,Province of Quebec,45.4783477783,-73.556892395,,,
Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie,,RLS de Sherbrooke,CRDITED de l'Estrie,,,,1621,rue prospect,"1621, rue Prospect",Sherbrooke,QC,J1J1K4,Province of Quebec,45.4101142883,-71.9151916504,,,
Maison Elizabeth,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Maison Elizabeth,,,,2131,avenue de marlowe,"2131, avenue de Marlowe",Montréal,QC,H4A3L4,Province of Quebec,45.4752159119,-73.606880188,,,
Centre Miriam,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre Miriam,,,,8160,chemin royden,"8160, chemin Royden",Montréal,QC,H4P2T2,Province of Quebec,45.4963607788,-73.6618652344,,,
Centre universitaire de santé McGill,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,CUSM,,,,1001,boulevard décarie,"1001, boulevard Décarie",Montréal,QC,H4A3J1,Province of Quebec,45.4970474243,-73.5890350342,,,
Havre-Jeunesse,,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Havre-Jeunesse,,,,4360,boulevard lasalle,"4360, boulevard Lasalle",Montréal,QC,H4G2A8,Province of Quebec,45.4601860046,-73.5627212524,,,
Centre d'hébergement et de soins de longue durée Heather Inc.,,RLS de Lanaudière-Nord,CHSLD Heather Inc.,,,,3931,lakeshore drive,"3931, Lakeshore Drive",Matawinie,QC,J0K1S0,Province of Quebec,46.0508613586,-73.7022247314,,,
L'Hôpital général juif Sir Mortimer B. Davis,,RLS de Côte-des-Neiges - Métro - Parc-Extension,L'Hôpital général juif Sir Mortimer B. Davis,,,,3755,chemin de la côte-sainte-catherin,"3755, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1E2,Province of Quebec,45.4978103638,-73.6288070679,,,
Centre hospitalier universitaire Sainte-Justine,,RLS de Côte-des-Neiges - Métro - Parc-Extension,CHU Sainte-Justine,,,,3175,chemin de la côte-sainte-catherin,"3175, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1C5,Province of Quebec,45.5031547546,-73.6249465942,,,
La résidence de Lachute,,RLS d'Argenteuil,La résidence de Lachute,,,,377,rue principale,"377, rue Principale",Argenteuil,QC,J8H1Y1,Province of Quebec,45.6566467285,-74.339263916,,,
Centre de santé Tulattavik de l'Ungava,,,Centre de santé Tulattavik de l'Ungava,,,,,,Kuujjuaq,Administration régionale Kativik,QC,J0M1C0,Province of Quebec,58.1070480347,-68.4052734375,,,
Centre hospitalier de St. Mary,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre hospitalier de St. Mary,,,,3830,avenue lacombe,"3830, avenue Lacombe",Montréal,QC,H3T1M5,Province of Quebec,45.4949417114,-73.6241378784,,,
Institut national de psychiatrie légale Philippe-Pinel,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Institut national de psychiatrie légale Philippe-Pinel,,,,10905,boulevard henri-bourassa est,"10905, boulevard Henri-Bourassa Est",Montréal,QC,H1C1H1,Province of Quebec,45.6560554504,-73.5336151123,,,
Résidence Riviera Inc.,,RLS de Laval,Résidence Riviera Inc.,,,,2999,boulevard notre-dame,"2999, boulevard Notre-Dame",Laval,QC,H7V4C4,Province of Quebec,45.5486755371,-73.7343673706,,,
L'Hôpital chinois de Montréal (1963),,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,L'Hôpital chinois de Montréal (1963),,,,189,avenue viger est,"189, avenue Viger Est",Montréal,QC,H2X3Y9,Province of Quebec,45.5095558167,-73.5581207275,,,
Pavillon Ste-Marie Inc.,,RLS de la Rivière-du-Nord - Mirabel-Nord,Pavillon Ste-Marie Inc.,,,,45,rue du pavillon,"45, rue du Pavillon",La Rivière-du-Nord,QC,J7Y3R6,Province of Quebec,45.8080062866,-74.0083770752,,,
Les cèdres - Centre d'accueil pour personnes agées,,RLS du Nord de l'Île - Saint-Laurent,Les cèdres - Centre d'accueil pour personnes agees,,,,1275,boulevard de la côte-vertu,"1275, boulevard de la Côte-Vertu",Montréal,QC,H4L4V2,Province of Quebec,45.5170021057,-73.6799240112,,,
Centre d'hébergement du Boisé Ltée,,RLS de Québec-Sud,Centre d'hébergement du Boisé Ltée,,,,3690,boulevard neilson,"3690, boulevard Neilson",Québec,QC,G1W0A9,Province of Quebec,46.754032135,-71.321395874,,,
La corporation du Centre hospitalier gériatrique Maimonides,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,La corporation du Centre hosp. gériatrique Maimonides,,,,5795,avenue caldwell,"5795, avenue Caldwell",Montréal,QC,H4W1W3,Province of Quebec,45.4715499878,-73.6684265137,,,
Pavillon Bellevue Inc.,,RLS Alphonse-Desjardins,Pavillon Bellevue Inc.,,,,99,rue monseigneur-bourget,"99, rue Monseigneur-Bourget",Lévis,QC,G6V9V2,Province of Quebec,46.819103241,-71.1567382813,,,
