School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Acheron College (Millhaven/Bath),667407,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin MacInnis,,,5775 Bath Road,Bath,Ontario,K0H1G0,613-351-8175,613-351-8374,Ottawa Regional Office,,Secondary,All Year Round,Site based only,No
Acheron College (Warkworth),881407,Offers credits toward the Ontario Secondary School Diploma (OSSD),Richard Johnson,,,15847 County Road 29,Warkworth,Ontario,K0K3K0,705-924-8069,705-924-8292,Barrie Regional Office,,Secondary,All Year Round,Site based only,No
Adel Academic High School,885840,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mehranoosh Dolatshahi,,,396 Spring Garden Avenue,North York,Ontario,M2N3H5,416-624-8704,,Toronto and Area Regional Office,adelhighschool.com,Secondary,All Year Round,Site based only,No
Adelfiha's Christian Academy,877514,,Joanna Baxter,,,4340 Dufferin St,Toronto,Ontario,M3H5R9,416-633-5440,416-630-2547,Toronto and Area Regional Office,www.adelfihas.ca,Elementary,Not applicable,,A.C.S.I.
ADRABA,885298,,,,,2-115 Kenwood Avenue,Toronto,Ontario,M6C2S4,437-777-2372,,Toronto and Area Regional Office,,Secondary,All Year Round,,
Adults in Motion Private School,663832,Offers credits toward the Ontario Secondary School Diploma (OSSD),Natalie Barry,,,48 Syrette Lake Rd,Garden River,Ontario,P6A5K9,705-946-3933,705-946-0410,Sudbury-North Bay Regional Office,,Secondary,First Nation,"First Nation, Internet/Site Based",No
Adventist Christian Elementary School,665717,,David Forsey,,,805 SHELBORNE ST,LONDON,Ontario,N5Z5C6,519-601-2277,519-453-9419,London Regional Office,www.aceslondon.com,Elementary,Not applicable,,Ontario Federation Of Independent Schools
Afzal Islamic Montessori & Academy,667455,,Mohammed Ansari,9-10,,33 Casebridge Court,Scarborough,Ontario,M1B3J5,416-286-0110,416-286-2402,Toronto and Area Regional Office,www.afzalacademy.com,Elementary,Not applicable,Site based only,No
Agate Private School,875546,,Gayle Hanlon,,,43 Chaplin Ave,St. Catharines,Ontario,L2R2E4,289-968-9781,,London Regional Office,www.learnfree.ca,Elem/Sec,Not applicable,,No
Agincourt International Academy,883230,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chanjithcumar Vijayacumar,203,,1001 Sandhurst Circle East,Scarborough,Ontario,M1V1Z6,416-701-1763,416-701-9542,Toronto and Area Regional Office,aia.school,Secondary,All Year Round,,No
Agincourt Montessori School Inc,878456,,Anne Dimoff,,,2575 Midland Ave,Toronto,Ontario,M1S1R3,416-291-0726,,Toronto and Area Regional Office,www.agincourtmontessori.com,Elementary,Not applicable,,CCMA
Aglace Chapman Education Centre,663689,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jemima Cutfeet,,168,,Big Trout Lake,Ontario,P0V1G0,807-537-2264,807-537-1067,Thunder Bay Regional Office,,Elem/Sec,First Nation,First Nation,No
Ahlul Bayt Islamic School,665991,,,,,200 Baribeau St,Ottawa,Ontario,K1L7R6,613-526-0774,613-526-1941,Ottawa Regional Office,www.abischool.com,Elementary,Not applicable,,No
Ahmadiyya Elementary School,883477,,Surriya Ahmad,,,1194 Matheson Blvd East,Mississauga,Ontario,L4W1R2,416-477-2226,905-832-3220,Toronto and Area Regional Office,,Elementary,Not applicable,,No
AIM Academy,881735,,Syed Qadri,,,56 Boustead Avenue,Toronto,Ontario,M6R1Y9,416-244-8600,416-244-0059,Toronto and Area Regional Office,,Elementary,Not applicable,,
AIM KW School,886708,,Chantelle Aguilar,,,435 King Street North,Waterloo,Ontario,N2J2Z5,519-208-7300,519-208-7301,London Regional Office,www.aimlearningcommunity.com,Elementary,Not applicable,Site based only,No
AI-Manarat Heights,666320,,Nasreen Ali,121,,2550 Argentia Road,Mississauga,Ontario,L5N5R1,905-997-0260,,Toronto and Area Regional Office,www.almanaratheights.com,Elementary,Not applicable,Site based only,No
AIMS PLUS High School,886199,Offers credits toward the Ontario Secondary School Diploma (OSSD),Renubala Sharma,114,,284 Queen Street East,Brampton,Ontario,L6V1C2,905-497-2114,,Toronto and Area Regional Office,,Elem/Sec,All Year Round,Internet/Site Based,No
AIS Elementary School (Aurora Internatio,668692,,Dianna Jiang,C,,250 Ferrier Street,Markham,Ontario,L3R2Z5,416-878-1396,,Barrie Regional Office,,Elementary,Not applicable,,No
AIS School,669799,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Dianna Jiang,2,,351 Ferrier Street,Markham,Ontario,L3R5Z2,905-868-9559,905-868-8338,Toronto and Area Regional Office,www.canadaais.ca,Elem/Sec,Not applicable,Internet/Site Based,No
Aishah Siddiqah Academy,665328,,Jeenat Ara,209,,3735 King Street,Windsor,Ontario,N9C1P7,844-429-3185,,London Regional Office,www.iaw-ca.com/asa,Elementary,Not applicable,Site based only,No
Al Azhar Islamic School,877760,,Yussria Rahman,5,,100 McLevin Ave,Scarborough,Ontario,M1B5K1,416-321-9636,416-321-2426,Toronto and Area Regional Office,,Elementary,Not applicable,,No
Al Furqan School,881297,,Aisha Sherazi,,,2825 DuMaurier Avenue,Ottawa,Ontario,K2B7W3,613-680-7261,613-820-1495,Ottawa Regional Office,www.alfurqan.ca,Elementary,Not applicable,Site based only,No
Al Haadi (9828770 Canada Institute),883124,,Majida Saab,16,,690 Progress Avenue,Scarborough,Ontario,M1H3A6,416-628-6252,,Toronto and Area Regional Office,www.alhaadi.ca,Elementary,Not applicable,,No
Al Huda Elementary School,669831,,Imran Haq,,,"1135 Central Parkway, West",Mississauga,Ontario,L5C3J2,905-270-2437,,Toronto and Area Regional Office,alhudaelementary.ca,Elementary,Not applicable,,No
Al-Ameen Elementary School,884792,,Belal Ahmad,201,,389 Main Street North,Brampton,Ontario,L6X3P1,905-866-6555,905-866-6550,Toronto and Area Regional Office,www.al-ameenschool.com,Elementary,Not applicable,Site based only,No
Alathena International Academy,669761,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,,,1065 MCNICOLL AVE,SCARBOROUGH,Ontario,M1W3W6,416-756-3338,416-756-3328,Toronto and Area Regional Office,www.alathena.com,Secondary,All Year Round,Site based only,No
Alathena International Academy - Brimley,884813,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,2nd Floor,,4386 Sheppard Avenue East,Scarborough,Ontario,M1S1T8,647-350-5588,647-350-5589,Toronto and Area Regional Office,alathena.com,Secondary,All Year Round,Internet/Site Based,No
Alathena International Academy - Deep Sp,881704,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,300,,2131 Lawrence Avenue East,Toronto,Ontario,M1R3A3,647-782-9970,,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Alathena International Academy - Elgin M,669020,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,225,,10720 Yonge Street,Richmond Hill,Ontario,L4C3C9,905-237-8328,,Barrie Regional Office,www.alathena.com,Secondary,All Year Round,,No
Alathena International Academy - Finch W,883349,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,203 & 204,,222 Finch Avenue West,North York,Ontario,M2R1M6,905-604-6801,,Toronto and Area Regional Office,www.alathena.com,Secondary,All Year Round,,No
Alathena International Academy - Markham,884699,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,6,,8515 McCowan Road,Markham,Ontario,L3P5E4,905-554-8710,905-554-8730,Barrie Regional Office,alathena.com,Secondary,All Year Round,,No
Alathena International Academy - Millike,883648,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,C7,,240 Alton Towers Circle,Scarborough,Ontario,M1V3Z4,647-524-1673,,Toronto and Area Regional Office,alathena.com,Secondary,All Year Round,Site based only,No
Alathena International Academy - Richmon,884721,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,201,,650 Highway 7 East,Richmond Hill,Ontario,L4B2N7,905-763-8788,905-889-8886,Barrie Regional Office,www.alathena.com,Secondary,All Year Round,,No
Alathena International Academy Mississau,882656,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,6-7,,2642 Liruma Road,Mississauga,Ontario,L5K1Z1,,,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Al-Azhar Academy of Canada,887920,,Al-Saeed Mohammad,,,2074 Kipling Ave,Etobicoke,Ontario,M9W4J4,416-741-3420,416-741-5143,Toronto and Area Regional Office,www.alazhar.ca,Elementary,Not applicable,,Ontario Association of Islamic Schools
Albert College,885126,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Musca,,,160 Dundas St W,Belleville,Ontario,K8P1A6,613-968-5726,613-968-9651,Ottawa Regional Office,www.albertcollege.ca,Elem/Sec,All Year Round,Site based only,Conference of Independent Schools of Ontario
Alborz Education Centre,666998,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zahra Hemmati,,,20 Tangreen Crt.,Toronto,Ontario,M2M3Y9,416-221-1443,647-342-0375,Toronto and Area Regional Office,www.alborzschool.com,Elem/Sec,All Year Round,Internet/Site Based,No
Alden International School,668247,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nicolás Marrugo Silva,200,,60 Gough Road,Markham,Ontario,L3R8X7,905-513-6539,,Toronto and Area Regional Office,aldenedu.ca,Secondary,All Year Round,,No
Alfajrul Bassem Academy,669480,,Rana Hamoui,,,874 Sinclair Blvd,Oakville,Ontario,L6K2Y1,905-514-9995,,Toronto and Area Regional Office,alfajrulbassem.com,Elementary,Not applicable,,No
Al-Falah Islamic,878472,,Kulsoom Danish,,,391 Burnhamthorpe Rd E,Oakville,Ontario,L6H7B4,905-257-5782,905-257-0848,Toronto and Area Regional Office,www.al-falah.org,Elementary,Not applicable,,No
Al-Hidayah Academy Inc,667583,,Shua Amari,,,65 Rexdale Blvd,Toronto,Ontario,M9W1P1,416-745-3871,416-745-6722,Toronto and Area Regional Office,www.alhidayah.ca,Elem/Sec,All Year Round,Site based only,No
Al-Hijra,878090,,Waheeda Khan,,,5100 Howard Ave,Windsor,Ontario,N9A6Z6,519-966-8276,519-966-0846,London Regional Office,www.alhijraacademy.com,Elementary,Not applicable,,No
ALIF Canada,882622,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samina Khan,4,,505 Ellesmere Road,Toronto,Ontario,M1R4E5,416-438-4141,416-439-6181,Toronto and Area Regional Office,www.alifedu.ca,Elem/Sec,All Year Round,Site based only,No
Al-Ikhlaas Foundation School,886011,Offers credits toward the Ontario Secondary School Diploma (OSSD),Asha Mohamed,,,2050 KIPLING AVE,Etobicoke,Ontario,M9W4J9,416-743-1551,416-743-1552,Toronto and Area Regional Office,,Elem/Sec,All Year Round,,No
Al-Iman School,876585,,Syyed Ali,1-4,,253 Summerlea Rd,Brampton,Ontario,L6T5A8,905-799-9231,905-799-9231,Toronto and Area Regional Office,www.alimanschool.ca,Elementary,Not applicable,Site based only,No
Alive Christian Academy International,887189,,Elias Sebastian,2,,1360 Birchmount Road,Scarborough,Ontario,M1P2E3,416-439-2480,416-439-2485,Toronto and Area Regional Office,jciami.com/aca,Elem/Sec,Not applicable,Site based only,No
Alive Montessori & Private School,883467,,Julia Simon,,,2 Wembley Road,Toronto,Ontario,M6C2E9,647-990-7323,,Toronto and Area Regional Office,alivemontessori.com,Elementary,Not applicable,Site based only,No
Alliance Coaching Academy,666085,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fariha Riaz,205B,,8525 McCowan Road,Markham,Ontario,L3P5E5,905-544-7404,905-554-7405,Barrie Regional Office,www.alliancecoachingacademy.com,Secondary,All Year Round,Site based only,No
Alliston Community Christian School,881724,,Richard Sommer,,,4428 Adjala-Tecumseth Townline,Alliston,Ontario,L9R1V4,705-434-2227,705-435-0126,Barrie Regional Office,www.allistonccs.com,Elementary,Not applicable,Site based only,Edvance
Al-Madrasah Al-Inamiyyah Private School,876003,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abdul Khan,,,3665 Lawrence Ave. E Ave.,Scarborough,Ontario,M1G1P7,905-686-4003,905-686-4428,Barrie Regional Office,www.jaamiahajax.com,Secondary,All Year Round,Site based only,Jaamiah Al Uloom Al Islamiyyah
Al-Mahdi Learning Institute,669809,,Zeinab Saleh,,,8333 Willoughby Drive,Niagara Falls,Ontario,L2G6X4,905-324-1400,,London Regional Office,info@almahdilearninginstitute.ca,Elementary,Not applicable,Site based only,No
Alpha Quality Education Inc,882302,Offers credits toward the Ontario Secondary School Diploma (OSSD),Marta Kouchaki,200,,6120 A Yonge St,North York,Ontario,M2M3W7,416-661-4446,866-724-9709,Toronto and Area Regional Office,www.alphahighschools.com,Secondary,All Year Round,,No
Alpha Star High School,668857,Offers credits toward the Ontario Secondary School Diploma (OSSD),Elnaz Sedaghatalvar,203,,10670 Yonge Street,Richmond Hill,Ontario,L4C3C9,905-237-8177,905-237-0518,Toronto and Area Regional Office,www.alphahighschools.com,Secondary,All Year Round,,No
Al-Qasim Academy,667350,,Abrar Ahmed Koya,208,,3482 Lawrence Ave East,Scarborough,Ontario,M1H3E5,416-431-2589,416-431-0904,Toronto and Area Regional Office,jquloom.ca,Elementary,Not applicable,Site based only,No
Al-Risala Academy,665670,Offers credits toward the Ontario Secondary School Diploma (OSSD),NADIM ALWAN,15,,1224 Dundas Street E,MISSISSAUGA,Ontario,L4Y4A2,905-232-8436,905-248-1155,Toronto and Area Regional Office,http://www.alrisalaacademy.com,Elem/Sec,All Year Round,,No
Al-Sadeq Academy,669858,,Hassan Tabatabai,,,1485 Janette Avenue,Windsor,Ontario,N8X1Z2,519-256-7171,,London Regional Office,www.alsadeqacademy.com,Elementary,Not applicable,Site based only,No
Al-Taqwa Academy,665037,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sally Kaloti,,,1837 Chruchill St,London,Ontario,N5W2L3,519-951-1414,519-452-0884,London Regional Office,www.altaqwa.org,Elem/Sec,All Year Round,,No
Amairah Private School (APS),882017,Offers credits toward the Ontario Secondary School Diploma (OSSD),AMAN SINGLA,"B7, 8, 203",,1625 Albion Road,Etobicoke,Ontario,M9V5H8,647-998-3457,416-907-1699,Toronto and Area Regional Office,www.apseducation.ca,Elem/Sec,All Year Round,,No
Amanah Academy North America Foundation,882652,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anwar Khan,1,,1160 Birchmount Road,Scarborough,Ontario,M1P2B8,416-750-3939,,Toronto and Area Regional Office,www.amanahacademy.com,Elem/Sec,Not applicable,,No
Ambassadors Christian Day School,886398,,,,,292257 Culloden Line,Brownsville,Ontario,N0L1C0,519-495-4942,,London Regional Office,,Elem/Sec,Not applicable,,
Ambassadors Christian School,669258,,Caroline Vangrootheest,,219,2031 Stittsville Main St,Stittsville,Ontario,K2S1A3,613-700-9339,,Ottawa Regional Office,www.ambassadorschristianschool.ca,Elementary,Not applicable,,League of Canadian Reformed School Societies
Amberson College,667063,Offers credits toward the Ontario Secondary School Diploma (OSSD),Taraneh Javan,,,3470 Pharmacy Avenue,Toronto,Ontario,M1W2S7,416-495-0888,416-495-0809,Toronto and Area Regional Office,www.ambersoncollege.ca,Secondary,All Year Round,Internet/Site Based,No
Amberson High School,884298,Offers credits toward the Ontario Secondary School Diploma (OSSD),Arrani Ravindrarajah,,,2 Simonston Boulevard,Markham,Ontario,L3T4L1,905-889-0688,,Toronto and Area Regional Office,www.ambersoncollege.ca,Secondary,All Year Round,Site based only,No
American Islamic School,667049,,Ahmed Geddy,200,,2010 Winston Park Drive,Oakville,Ontario,L6H5R7,647-724-8064,,Toronto and Area Regional Office,www.americanislamic.school,Elementary,Not applicable,Internet based only,No
Amish Parochial School #1,887447,,Mary Kuepfer,,,2740 Chalmers-Forrest Road 1,Millbank,Ontario,N0K1L0,,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #2,887846,,Leona Kuepfer,,,4036 Line 76 1,Newton,Ontario,N0K1R0,,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #3,887854,,Mary Albrecht,,,4286 Line 67 1,Milverton,Ontario,N0K1M0,,,London Regional Office,,Elementary,Not applicable,,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #4,887706,,Rosanna Kuepfer,,,4852 Line 67 2,Milverton,Ontario,N0K1M0,519-597-2789,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #5,889687,,Cora Kuepfer,,,6327 Road 116 1,Milverton,Ontario,N0K1M0,,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #6,882631,,Christina Ebersol,,,5124 B Line 62 2,Milverton,Ontario,N0K1M0,519-595-2030,,London Regional Office,,Elementary,Not applicable,,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #7,876364,,Jantzi Mary,6943,,129 Perth Road,Newton,Ontario,N0K1R0,,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial school #8,665285,,Karen Streicher,,,7023 Road 136 1,Newton,Ontario,N0K1R0,,,London Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
An-Noor Private School,877115,,Amney Behiry,,,1480 Janette Ave,Windsor,Ontario,N8X1Z4,519-966-4422,519-966-5233,London Regional Office,,Elementary,Not applicable,,No
Aoguan Prestige School,669477,,Kexin Feng,14,,2171 Dunwin Drive,Mississauga,Ontario,L5L1X2,905-997-6588,,Toronto and Area Regional Office,carreyinternationaleducation.com,Elem/Sec,Not applicable,Internet/Site Based,No
Apex Academy Online,885063,,,,,44 Gower Street,Toronto,Ontario,M4B1E6,416-949-8940,,Toronto and Area Regional Office,,Secondary,All Year Round,,
Apollo High School,886428,Offers credits toward the Ontario Secondary School Diploma (OSSD),Andrew Lee,2B,,5467 Yonge Street,Toronto,Ontario,M2N5S1,416-839-2295,866-527-9064,Toronto and Area Regional Office,www.apollohscanada.com,Secondary,All Year Round,Site based only,No
Apollo High School,668639,,,2B,,5467 Yonge Street,Toronto,Ontario,M2N5S1,416-315-1931,,Toronto and Area Regional Office,www.apollohscanda.com,Secondary,All Year Round,,
Appleby College,885924,Offers credits toward the Ontario Secondary School Diploma (OSSD),Innes van Nostrand,,,540 Lakeshore Rd W,Oakville,Ontario,L6K3P1,905-845-4681,905-845-9335,Toronto and Area Regional Office,http://www.appleby.on.ca,Elem/Sec,All Year Round,Site based only,"CIS, CAIS, College Board"
Applewood Academy,666009,,Terry Stevenson,,,72 Orchard Drive,Belleville,Ontario,K8P2K7,613-962-1042,613-967-3998,Ottawa Regional Office,www.applewoodacademy.com,Elem/Sec,Not applicable,Internet/Site Based,CARF
Applewood Academy and Daycare,882456,,April Koster-Welwood,1-6,,333 Fairhill Avenue,Brampton,Ontario,L7A3N9,905-970-1090,,Toronto and Area Regional Office,www.applewoodacademydc.com,Elementary,Not applicable,,No
Aristotele's Credit School,666599,Offers credits toward the Ontario Secondary School Diploma (OSSD),Konstantinos Flegas,,,200 Graydon Hall Dr,Toronto,Ontario,M3A3A6,416-425-2485,416-425-2954,Toronto and Area Regional Office,www.greekcommunity.org,Secondary,Not applicable,Site based only,Greek Community of Toronto
Arkana Education,665719,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shahin Esmaeiliazad,2,,6083A Yonge Street,North York,Ontario,M2M3W5,416-897-4461,,Toronto and Area Regional Office,www.arkanaeducation.ca,Secondary,All Year Round,Internet/Site Based,No
Arkana Education Guelph,884574,,,,,203 - 33 Macdonell Street,Guelph,Ontario,N1H2Z4,416-897-4461,,Toronto and Area Regional Office,,Secondary,All Year Round,,
Arkana Education Sudbury,889722,,,,,1060 Lynwood Drive,Sudbury,Ontario,P3A3M7,416-897-4461,,Sudbury-North Bay Regional Office,,Secondary,All Year Round,,
