ndistid,nschid,school,principal,email,community,district16,region2016,sub_desc,k,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,fourth,total,sch_size,Grade 4-6,Grade K-3,Grades K-6,Grades 7-12,phone,fax,address1,address2,address3,distregion,prov,tstreet
200,072,Holy Cross All Grade,Danielle Power,daniellelpower@nlesd.ca,Daniel's Harbour,Western,Western,Central,1,2,3,4,1,3,5,3,0,3,2,5,1,0,33,25-49,9,10,19,14,898-2413,898-2539,P. O. Box 130,"Daniel's Harbour, NL",A0K 2C0,NLESD - Western Region,NL,P. O. Box 130
200,389,Elwood Elementary,Debbie Pelley,debbiepelley@nlesd.ca,Deer Lake,Western,Western,Central,70,52,52,74,76,74,0,0,0,0,0,0,0,0,398,400-499,150,248,398,0,635-2337,635-2995,22A Farm Road,"Deer Lake, NL",A8A 1J3,NLESD - Western Region,NL,22A Farm Road
200,390,Elwood High School,Trevor Wall,trevorwall@nlesd.ca,Deer Lake,Western,Western,Central,0,0,0,0,0,0,0,0,0,0,77,76,74,2,229,200-299,0,0,0,229,635-2895,635-5985,22 Farm Road,"Deer Lake, NL",A8A 1J3,NLESD - Western Region,NL,22 Farm Road
200,391,Xavier Junior High,Lisa Hyde,lisahyde@nlesd.ca,Deer Lake,Western,Western,Central,0,0,0,0,0,0,66,75,62,74,0,0,0,0,277,200-299,66,0,66,211,635-2196,635-3372,26 Wight's Road,"Deer Lake, NL",A8A 2H6,NLESD - Western Region,NL,26 Wight's Road
200,026,H. G. Fillier Academy,Lori Morris,lorimorris@nlesd.ca,Englee,Western,Western,Northern,4,0,3,2,4,1,4,8,5,6,0,0,0,0,37,25-49,9,9,18,19,866-2326,866-2120,Box 220,"Englee, NL",A0K 2J0,NLESD - Western Region,NL,Box 220
200,027,Canon Richards Memorial Academy,Marsha Genge,marshagenge@nlesd.ca,Flower's Cove,Western,Western,Northern,5,9,8,13,9,14,13,17,20,21,12,16,17,0,174,100-199,36,35,71,103,456-2010,456-2020,Box 99,"Flower's Cove, NL",A0K 2N0,NLESD - Western Region,NL,Box 99
200,137,St. Simon and St. Jude Academy,Anne Marie Breen,annemariebreen@nlesd.ca,Francois,Western,Western,Southern,0,0,0,0,1,1,1,1,0,0,0,1,0,0,5,<10,3,0,3,2,842-3371,842-4121,P.O. Box 40,"Francois, NL",A0N 2K0,NLESD - Western Region,NL,
200,102,All Saints All-Grade,Sherry Boone,sherryboone@nlesd.ca,Grey River,Western,Western,Southern,0,1,1,1,1,1,0,1,1,3,0,0,0,0,10,10-24,2,3,5,5,296-3151,296-3151,P.O. Box 40,"Grey River, NL",A0N 2L0,NLESD - Western Region,NL,P. O. Box 40
200,032,Truman Eddison Memorial,Ashley Wood,ashleywood@nlesd.ca,Griquet,Western,Western,Northern,4,7,7,5,5,5,6,0,0,0,0,0,0,0,39,25-49,16,23,39,0,623-2010,623-2105,"Box 2, Site 1","Griquet, NL",A0K 2X0,NLESD - Western Region,NL,"P. O. Box 2, Site 1"
200,075,Hampden Academy,Cathy House,cathyhouse@nlesd.ca,Hampden,Western,Western,Central,1,0,2,3,4,5,2,8,7,4,8,7,6,1,58,50-99,11,6,17,41,455-3231,455-2107,Box 100,"Hampden, NL",A0K 2Y0,NLESD - Western Region,NL,P. O. Box 100
200,103,LeGallais Memorial,Brian Griffin,briangriffin@nlesd.ca,Isle aux Morts,Western,Western,Southern,1,3,0,3,3,4,3,4,8,4,0,0,0,0,33,25-49,10,7,17,16,698-3722,698-3083,Box 170,"Isle aux Morts, NL",A0M 1J0,NLESD - Western Region,NL,Box 170
200,152,Valmont Academy,Ryan Kelley,ryankelley@nlesd.ca,King's Point,Western,Western,Green Bay/White Bay,10,4,5,4,7,4,9,4,5,4,7,9,8,0,80,50-99,20,23,43,37,268-2205,268-2296,P.O. Box 130,"King's Point, NL",A0J 1H0,NLESD - Western Region,NL,P. O. Box 130
200,104,Douglas Academy,Jenelle Billard,jenellebillard@nlesd.ca,La Poile,Western,Western,Southern,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,<10,1,0,1,2,496-4116,496-3351,General Delivery,"La Poile, NL",A0M 1K0,NLESD - Western Region,NL,P. O. Box 13
200,153,Cape John Collegiate,Shawn Tibbo,shawntibbo@nlesd.ca,La Scie,Western,Western,Green Bay/White Bay,0,0,0,0,0,0,0,12,12,14,16,15,14,1,84,50-99,0,0,0,84,675-2510,675-2063,Box 190,"LaScie, NL",A0K 3M0,NLESD - Western Region,NL,P.O. Box 190
200,154,Hillside Elementary,Lisa Martin,lisamartin@nlesd.ca,La Scie,Western,Western,Green Bay/White Bay,1,9,7,10,16,14,14,0,0,0,0,0,0,0,71,50-99,44,27,71,0,675-2298,675-2489,P.O. Box 250,"La Scie, NL",A0K 3M0,NLESD - Western Region,NL,P. O. Box 250
200,079,St. James All Grade,Donna Alexander,donnaalexander@nlesd.ca,Lark Harbour,Western,Western,Central,8,4,6,13,11,7,10,7,7,11,7,9,9,0,109,100-199,28,31,59,50,681-2620,681-2019,Box 100,"Lark Harbour, NL",A0L 1H0,NLESD - Western Region,NL,P. O. Box 100
200,106,Lourdes Elementary,Anthony Derrah,anthonyderrah@nlesd.ca,Lourdes,Western,Western,Southern,12,12,15,12,23,17,23,23,24,0,0,0,0,0,161,100-199,63,51,114,47,642-5822,642-5442,P.O. Box 70,"Lourdes, NL",A0N 1R0,NLESD - Western Region,NL,P. O. Box 70
200,039,Mary Simms All Grade,Raymond Byrne,raybyrne@nlesd.ca,Main Brook,Western,Western,Northern,1,3,3,1,2,0,1,3,4,1,1,2,4,0,26,25-49,3,8,11,15,865-3151,865-2111,P.O. Box 10,"Main Brook, NL",A0K 3N0,NLESD - Western Region,NL,P. O. Box 10
200,394,E.A. Butler All Grade,Sherry Barnes,sherrybarnes@nlesd.ca,McKay's,Western,Western,Southern,8,4,11,7,9,10,14,7,6,3,13,15,10,1,118,100-199,33,30,63,55,645-2330,645-2633,Box 10,"McKay's, NL",A0N 1G0,NLESD - Western Region,NL,Box 10
200,080,Templeton Academy,Glenn MacArthur,glennmacarthur@nlesd.ca,Meadows,Western,Western,Central,22,37,31,29,34,47,46,42,27,22,37,27,40,0,441,400-499,127,119,246,195,783-2780,783-2113,"Box 3539, RR#2","Corner Brook, NL",A2H 6B9,NLESD - Western Region,NL,"Box 3539, RR#2"
200,158,MSB Regional Academy,Paul Bartlett,paulbartlett1@nlesd.ca,Middle Arm,Western,Western,Green Bay/White Bay,11,6,7,7,10,5,5,14,5,5,9,12,6,0,102,100-199,20,31,51,51,252-2905,252-2101,Box 40,"Middle Arm, NL",A0K 3R0,NLESD - Western Region,NL,P.O. Box 40
200,082,Pasadena Elementary,Jim Pink,jimpink@nlesd.ca,Pasadena,Western,Western,Central,39,55,36,33,28,41,43,0,0,0,0,0,0,0,275,200-299,112,163,275,0,686-2621,686-5623,P.O. Box 40,"Pasadena, NL",A0L 1K0,NLESD - Western Region,NL,P. O. Box 40
200,083,Pasadena Academy,Robert Major,robertmajor@nlesd.ca,Pasadena,Western,Western,Central,0,0,0,0,0,0,0,36,41,44,40,34,39,0,234,200-299,0,0,0,234,686-5091,686-5654,P.O. Box 130,"Pasadena, NL",A0L 1K0,NLESD - Western Region,NL,P. O. Box 130
200,110,Piccadilly Central High,James Parsons,jamesparsons1@nlesd.ca,Piccadilly,Western,Western,Southern,0,0,0,0,0,0,0,0,0,28,24,28,21,2,103,100-199,0,0,0,103,642-5752,642-5983,"P.O. Box 175, R.R.#2","Piccadilly, NL",A0N 1T0,NLESD - Western Region,NL,"Box 175, R.R. #2"
200,162,Dorset Collegiate,Mark Warren,markwarren1@nlesd.ca,Pilley's Island,Western,Western,Green Bay/White Bay,0,0,0,0,0,0,0,17,18,25,24,17,19,2,122,100-199,0,0,0,122,652-3190,652-3172,Box 10,"Pilley's Island, NL",A0J 1M0,NLESD - Western Region,NL,P.O. Box 10
200,475,Viking Trail Academy,Garfield Way,garfieldway@nlesd.ca,Plum Point,Western,Western,Northern,8,6,8,5,10,15,12,18,13,13,14,14,17,0,153,100-199,37,27,64,89,247-2008,247-2207,P. O. Box 70,"Plum Point, NL",A0K 4A0,NLESD - Western Region,NL,P. O. Box 70
200,088,Main River Academy,Bobbi Ann Heath,bobbiannheath@nlesd.ca,Pollard's Point,Western,Western,Central,5,5,4,5,1,4,2,2,2,2,4,5,2,0,43,25-49,7,19,26,17,482-2422,482-2129,General Delivery,"Pollard's Point, NL",A0K 4B0,NLESD - Western Region,NL,33 Academy Drive
200,111,St. Thomas Aquinas,Corey Ivany,coreyivany@nlesd.ca,Port au Port East,Western,Western,Southern,2,8,11,8,9,11,13,8,8,0,0,0,0,0,78,50-99,33,29,62,16,648-2260,648-9512,P.O. Box 299,"Port au Port East, NL",A0N 1T0,NLESD - Western Region,NL,P. O. Box 299
200,488,French Shore Academy,Beverly Wiltshire,beverlywiltshire@nlesd.ca,Port Saunders,Western,Western,Northern,9,17,20,9,18,17,21,17,22,14,23,21,11,0,219,200-299,56,55,111,108,861-2592,861-3258,P. O. Box 119,"Port Saunders, NL",A0K 4H0,NLESD - Western Region,NL,"P. O. Box 119, 10 Roncalli Rd."
200,113,St. Boniface All Grade,Verna Hatcher,vernahatcher@nlesd.ca,Ramea,Western,Western,Southern,0,1,0,0,3,0,1,3,0,4,3,1,3,1,20,25-49,4,1,5,15,625-2283,625-2151,P.O. Box 190,"Ramea, NL",A0N 2J0,NLESD - Western Region,NL,P. O. Box 190
200,167,Green Bay South Academy,Michael Parsons,mikeparsons@nlesd.ca,Robert's Arm,Western,Western,Green Bay/White Bay,13,5,7,8,14,21,22,0,0,0,0,0,0,0,90,50-99,57,33,90,0,652-3493,652-3162,P.O. Box 160,"Robert's Arm, NL",A0J 1R0,NLESD - Western Region,NL,P.O. Box  160
200,086,Gros Morne Academy,Lisa Shears-Smith,lisashearssmith@nlesd.ca,Rocky Harbour,Western,Western,Central,7,8,12,7,14,11,10,10,14,11,14,10,14,0,142,100-199,35,34,69,73,458-2457,458-2302,P.O. Box 179,"Rocky Harbour, NL",A0K 4N0,NLESD - Western Region,NL,P. O. Box 179
200,474,Cloud River Academy,Hollis Cull,holliscull@nlesd.ca,Roddickton,Western,Western,Northern,9,12,11,15,13,14,8,16,13,11,18,16,12,0,168,100-199,35,47,82,86,457-2430,457-2409,P. O. Box 100,"Roddickton, NL",A0K 4P0,NLESD - Western Region,NL,P. O. Box 100
200,171,Indian River High School,Garett McLean,garettmclean@nlesd.ca,Springdale,Western,Western,Green Bay/White Bay,0,0,0,0,0,0,0,55,29,30,25,30,53,4,226,200-299,0,0,0,226,673-3775,673-2181,P.O. Box 370,"Springdale, NL",A0J 1T0,NLESD - Western Region,NL,10 Grant Avenue
200,409,Indian River Academy,Conway Roberts,conwayroberts@nlesd.ca,Springdale,Western,Western,Green Bay/White Bay,30,24,33,24,35,41,39,0,0,0,0,0,0,0,226,200-299,115,111,226,0,673-3714,673-4480,P.O. Box 309,"Springdale, NL",A0J 1T0,NLESD - Western Region,NL,140 Little Bay Road
200,953,White Hills Academy,Mervin Parsons,mervinparsons@nlesd.ca,St. Anthony,Western,Western,Northern,17,17,24,27,12,26,30,35,31,24,37,29,28,2,339,300-399,68,85,153,186,454-2202,454-2404,31 Elementary School Road,"St. Anthony, NL",A0K 4S0,NLESD - Western Region,NL,31 Elementary School Road
200,116,Bayview Academy,Wallace Childs,wallacechilds@nlesd.ca,St. George's,Western,Western,Southern,13,18,15,16,17,15,22,19,16,34,40,30,28,0,283,200-299,54,62,116,167,647-3381,647-3723,P.O. Box 400,"St. George's, NL",A0N 1Z0,NLESD - Western Region,NL,P. O. Box 400
200,118,Stephenville Elementary,Cindy Barker,cindybarker@nlesd.ca,Stephenville,Western,Western,Southern,0,0,0,0,90,99,0,0,0,0,0,0,0,0,189,100-199,189,0,189,0,643-2927,643-6120,P.O. Box 5300,"Stephenville, NL",A2N 3A3,NLESD - Western Region,NL,P. O. Box 5300
200,119,Stephenville High,Jeffrey Blundon,jeffreyblundon@nlesd.ca,Stephenville,Western,Western,Southern,0,0,0,0,0,0,0,0,0,95,97,105,82,2,381,400-499,0,0,0,381,643-9672,643-5044,P.O. Box 5100,"Stephenville, NL",A2N 3M6,NLESD - Western Region,NL,P. O. Box 5100
200,120,Stephenville Primary,Gerald Morgan,geraldmorgan@nlesd.ca,Stephenville,Western,Western,Southern,90,74,93,87,0,0,0,0,0,0,0,0,0,0,344,300-399,0,344,344,0,643-2331,643-9335,72 West Street,"Stephenville, NL",A2N 1E3,NLESD - Western Region,NL,P. O. Box 5500
200,396,Stephenville Middle School,Kevin Green,kevingreen@nlesd.ca,Stephenville,Western,Western,Southern,0,0,0,0,0,0,97,99,91,0,0,0,0,0,287,200-299,97,0,97,190,643-5101,643-5103,40 Queen St,"Stephenville, NL",A2N 2M5,NLESD - Western Region,NL,40 Queen Street
200,463,Pathfinder Learning Centre,Perry White,perrywhite@nlesd.ca,Stephenville,Western,Western,Southern,0,0,0,0,0,0,0,0,0,0,2,2,6,13,23,10-24,0,0,0,23,643-4360,643-5490,P.O. Box 5600,"Stephenville, NL",A2N 3P5,NLESD - Western Region,NL,P. O. Box 5600
200,123,St. Michael's Elementary,Fred Robertson,fredrobertson@nlesd.ca,Stephenville Crossing,Western,Western,Southern,14,13,19,17,12,21,18,18,21,0,0,0,0,0,153,100-199,51,63,114,39,646-2822,646-5263,Hospital Road,"Stephenville Crossing, NL",A0N 2C0,NLESD - Western Region,NL,P. O. Box 280
200,172,Brian Peckford Primary,Danielle Osmond,danielleosmond@nlesd.ca,Triton,Western,Western,Green Bay/White Bay,9,2,10,9,0,0,0,0,0,0,0,0,0,0,30,25-49,0,30,30,0,263-2512,263-2397,P.O. Box 39,"Triton, NL",A0J 1V0,NLESD - Western Region,NL,P.O. Box39
200,089,Jakeman All Grade,Jillian Cross,jilliancross@nlesd.ca,Trout River,Western,Western,Central,8,4,2,5,5,8,7,6,5,8,9,4,5,0,76,50-99,20,19,39,37,451-3381,451-2165,Box 70,"Trout River, NL",A0K 5P0,NLESD - Western Region,NL,P. O. Box 70
200,397,Belanger Memorial School,Catherine Bartlett,catherinebartlett1@nlesd.ca,Upper Ferry,Western,Western,Southern,10,12,11,5,9,20,12,12,9,15,12,8,20,0,155,100-199,41,38,79,76,955-2940,955-2620,General Delivery,"Doyles, NL",A0N 1J0,NLESD - Western Region,NL,General Delivery
200,174,St. Peter's Academy,Jeff Quigley,jeffreyquigley@nlesd.ca,Westport,Western,Western,Green Bay/White Bay,4,1,0,0,2,1,4,1,1,5,0,0,4,0,23,10-24,7,5,12,11,224-5111,224-6161,P. O. Box 10,"Westport, NL",A0K 5R0,NLESD - Western Region,NL,P. O. Box 10
200,393,Bonne Bay Academy,Steven Buffett,stevebuffett@nlesd.ca,Woody Point,Western,Western,Central,3,1,1,0,4,2,1,2,2,8,4,4,4,0,36,25-49,7,5,12,24,453-2206,453-2460,P.O. Box 70,"Woody Point, NL",A0K 1P0,NLESD - Western Region,NL,P. O. Box 70
300,924,Tricentia Academy,Justin Noseworthy,justinnoseworthy@nlesd.ca,Arnold's Cove,Central,Central,Vista,13,17,16,12,16,22,22,15,13,14,15,18,14,1,208,200-299,60,58,118,90,463-2283,463-2193,Box 129,"Arnold's Cove, NL",A0B 1A0,NLESD - Central Region,NL,P.O. Box 129
