Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Identified as Gifted,Percentage of Students Receiving Special Education Services,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),900869,Chapleau High School,Public,Not applicable,Secondary,English,9-12,,,20 Teak St,Chapleau,Chapleau,Ontario,P0M1K0,705-864-1452,705-864-2367,http://www.adsb.on.ca/sites/schools/css/default.aspx,www.adsb.on.ca,55,47.842729999999996,-83.4083,0,100,0,0,40,0,,,,,,,,,,,,,N/R,,N/R,,53%,-7.0,0,10,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),101214,Chapleau Public School,Public,Not applicable,Elementary,English,JK-8,,Box 700,24 Pine St,Chapleau,Chapleau,Ontario,P0M1K0,705-864-1170,705-864-1606,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=24,www.adsb.on.ca,105,47.84496,-83.4033,0,100,0,5,10,0,20%,-57.0,N/R,,N/R,,50%,7.0,58%,22.0,0%,-14.0,,,,,,,15,10,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),161276,East View Public School,Public,Not applicable,Elementary,English,JK-8,,,75 Arizona Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A4L9,705-945-7115,705-945-7400,http://www.adsb.on.ca/sites/schools/evs/default.aspx,www.adsb.on.ca,295,46.51668,-84.28,0,100,0,0,10,0,50%,-9.0,25%,-21.0,32%,-19.0,66%,8.0,74%,16.0,20%,-7.0,,,,,,,15,25,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),165042,Echo Bay Central Public School,Public,Not applicable,Elementary,English,JK-6,,,290 Church St,Macdonald Meredith et al,Echo Bay,Ontario,P0S1C0,705-248-2271,705-248-2045,http://www.adsb.on.ca/sites/schools/ech/default.aspx,www.adsb.on.ca,210,46.48567,-84.0637,0,100,0,0,10,0,88%,5.0,81%,7.0,75%,5.0,89%,25.0,95%,31.0,68%,25.0,,,,,,,15,20,2020-09-04,1,1,1,0,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),908010,Elliot Lake Secondary School,Public,Not applicable,Secondary,English,9-12,,,303 Mississauga Ave,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-7162,705-848-0103,http://www.adsb.on.ca/sites/schools/els/default.aspx,www.adsb.on.ca,290,46.37627,-82.6611,5,100,0,0,20,0,,,,,,,,,,,,,67%,-13.0,43%,14.0,61%,-14.0,20,10,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),186783,Esten Park Public School,Public,Not applicable,Elementary,English,JK-8,,,115 Hergott Ave,Elliot Lake,Elliot Lake,Ontario,P5A3B4,705-848-2601,705-848-9406,http://www.adsb.on.ca/sites/schools/est/default.aspx,www.adsb.on.ca,140,46.37191,-82.6198,0,95,0,0,5,0,46%,,62%,,31%,,77%,-13.0,85%,10.0,8%,-22.0,,,,,,,30,30,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),202614,Francis H Clergue Public School,Public,Not applicable,Elementary,English,JK-8,,,80 Weldon Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B3C6,705-945-7136,705-945-7144,http://www.adsb.on.ca/sites/schools/fhc/default.aspx,www.adsb.on.ca,525,46.51862,-84.3096,1,100,0,0,8,1,N/D,,N/D,,77%,18.0,92%,,88%,,61%,,,,,,,,17,42,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),227331,Grand View Public School,Public,Not applicable,Elementary,English,JK-8,,,161 Denwood Dr,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5R4,705-945-7148,705-945-7403,http://www.adsb.on.ca/sites/schools/gvs/default.aspx,www.adsb.on.ca,290,46.50955,-84.2659,0,100,0,0,10,0,83%,2.0,75%,-11.0,67%,-14.0,78%,-2.0,67%,0.0,56%,9.0,,,,,,,10,50,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),230561,Greenwood Public School,Public,Not applicable,Elementary,English,JK-8,,,8 Fourth Line W,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K8,705-945-7118,705-945-7402,http://www.adsb.on.ca/sites/schools/gps/default.aspx,www.adsb.on.ca,235,46.56732,-84.3528,0,100,0,0,20,0,73%,23.0,62%,-19.0,54%,23.0,78%,13.0,84%,19.0,47%,9.0,,,,,,,15,30,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),237191,H M Robbins Public School,Public,Not applicable,Elementary,English,JK-8,,,83 East Balfour St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C1X4,705-945-7119,705-945-7399,http://www.adsb.on.ca/sites/schools/hmr/default.aspx,www.adsb.on.ca,255,46.5328,-84.3895,0,100,0,0,20,0,58%,0.0,46%,-17.0,50%,13.0,68%,-11.0,56%,6.0,24%,-14.0,,,,,,,30,25,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),917370,Hornepayne High School,Public,Not applicable,Secondary,English,9-12,,,162 Fourth Avenue,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2475,807-868-2126,http://www.adsb.on.ca/sites/schools/hhs/default.aspx,www.adsb.on.ca,SP,49.21525,-84.7789,SP,SP,SP,SP,SP,SP,,,,,,,,,,,,,N/R,,N/R,,80%,22.0,SP,SP,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),264750,Hornepayne Public School,Public,Not applicable,Elementary,English,JK-8,,,162 Fourth Ave,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2503,807-868-2126,http://www.adsb.on.ca/sites/schools/hor/default.aspx,www.adsb.on.ca,SP,49.2167,-84.78,SP,SP,SP,SP,SP,SP,N/R,,N/R,,N/R,,N/R,,N/R,,N/R,,,,,,,,SP,SP,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),278270,Isabel Fletcher Public School,Public,Not applicable,Elementary,English,JK-6,,,599 Third Line,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A6K4,705-945-7120,705-945-7204,http://www.adsb.on.ca/sites/schools/isf/default.aspx,www.adsb.on.ca,175,46.551140000000004,-84.3789,0,100,0,0,15,0,57%,28.0,43%,11.0,50%,40.0,62%,-16.0,57%,-4.0,24%,-4.0,,,,,,,25,25,2020-09-04,1,1,1,0,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),302350,Kiwedin Public School,Public,Not applicable,Elementary,English,JK-6,,,735 North St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B2C4,705-945-7124,705-945-7208,http://www.adsb.on.ca/sites/schools/kps/default.aspx,www.adsb.on.ca,170,46.54201,-84.3351,0,100,0,5,15,0,50%,14.0,20%,-7.0,20%,-7.0,68%,-25.0,47%,-33.0,63%,36.0,,,,,,,25,15,2020-09-04,1,1,1,0,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),920533,Korah Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,636 Goulais Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,705-945-0750,http://www.adsb.on.ca/sites/schools/kor/default.aspx,www.adsb.on.ca,815,46.54269,-84.3816,2,100,0,1,20,1,,,,,,,,,,,,,85%,2.0,47%,-16.0,68%,-6.0,13,30,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),018309,Korah Intermediate School,Public,Not applicable,Elementary,English,7-8,,,636 Goulais Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,705-945-0750,http://www.adsb.on.ca/sites/schools/kis/default.aspx,www.adsb.on.ca,135,46.54247,-84.3821,5,100,0,5,20,0,,,,,,,,,,,,,,,,,,,15,30,2020-09-04,0,0,0,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),926086,Michipicoten High School,Public,Not applicable,Secondary,English,9-12,,,86 Magpie Rd,Michipicoten,Wawa,Ontario,P0S1K0,705-856-4464,705-856-1948,http://www.adsb.on.ca/sites/schools/mic/default.aspx,www.adsb.on.ca,105,47.99317,-84.7758,5,100,5,0,35,0,,,,,,,,,,,,,29%,-65.0,50%,,57%,1.0,10,30,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),368490,Missarenda Consolidated Public School,Public,Not applicable,Elementary,English,JK-8,,,1 First Street,Chapleau,Missanabie,Ontario,P0M2H0,705-234-2820,705-234-2567,http://www.adsb.on.ca/sites/schools/msc/default.aspx,www.adsb.on.ca,SP,48.31111,-84.0802,SP,SP,SP,SP,SP,SP,,,,,,,,,,,,,,,,,,,SP,SP,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),948426,Missarenda Secondary School,Public,Not applicable,Secondary,English,9-12,,,1 First Street,Chapleau,Missanabie,Ontario,P0M2H0,705-234-2820,,http://www.adsb.on.ca/sites/schools/msc/default.aspx,www.adsb.on.ca,,48.31165,-84.08200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),195200,Mountain View Public School,Public,Not applicable,Elementary,English,JK-8,,,Mahler Rd 1,Sault Ste. Marie,Goulais River,Ontario,P0S1E0,705-649-2130,705-649-0786,http://www.adsb.on.ca/sites/schools/mvs/default.aspx,www.adsb.on.ca,185,46.77124,-84.3616,0,100,0,0,10,0,42%,-8.0,33%,14.0,42%,11.0,78%,18.0,67%,39.0,56%,36.0,,,,,,,15,20,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),891150,North Shore Adolescent Education School,Public,Not applicable,Secondary,English,9-12,,,303 Mississauga Ave,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-1088,705-848-5634,,www.adsb.on.ca,SP,46.379870000000004,-82.6565,SP,SP,SP,SP,SP,SP,,,,,,,,,,,,,,,,,N/D,,SP,SP,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),410870,Northern Heights Public School,Public,Not applicable,Elementary,English,JK-8,,,210 Grand Blvd,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4S8,705-945-7128,705-945-7319,http://www.adsb.on.ca/sites/schools/nhs/default.aspx,www.adsb.on.ca,225,46.53072,-84.329,0,100,0,0,20,0,62%,3.0,19%,-40.0,33%,-43.0,50%,2.0,46%,17.0,7%,-12.0,,,,,,,40,20,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),434922,Parkland Public School,Public,Not applicable,Elementary,English,JK-8,,,54 Amber St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5G1,705-945-7129,705-945-7131,http://www.adsb.on.ca/sites/schools/pps/default.aspx,www.adsb.on.ca,165,46.514559999999996,-84.2582,5,100,10,10,20,0,36%,-33.0,18%,-44.0,36%,-26.0,33%,-32.0,33%,-27.0,4%,-16.0,,,,,,,20,35,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),442054,Pinewood Public School,Public,Not applicable,Elementary,English,JK-8,,,3924 Queen St E,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K9,705-945-7133,705-945-7225,http://www.adsb.on.ca/sites/schools/pin/default.aspx,www.adsb.on.ca,225,46.52417,-84.2477,0,100,0,0,10,0,44%,-17.0,56%,-14.0,44%,-4.0,71%,12.0,71%,16.0,38%,20.0,,,,,,,20,45,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),462616,Queen Elizabeth Public School,Public,Not applicable,Elementary,English,JK-8,,,139 Elizabeth St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A3Z5,705-945-7132,705-945-7288,http://www.adsb.on.ca/sites/schools/qes/default.aspx,www.adsb.on.ca,280,46.50658,-84.3041,0,100,5,0,20,0,64%,-5.0,44%,-40.0,52%,-17.0,69%,-3.0,69%,-3.0,42%,6.0,,,,,,,20,30,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),468339,R M Moore Public School,Public,Not applicable,Elementary,English,JK-8,,,1272 Base Line,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A6K4,705-945-7135,705-945-7401,http://www.adsb.on.ca/sites/schools/rmm/default.aspx,www.adsb.on.ca,255,46.521770000000004,-84.4441,0,100,0,0,10,0,61%,-10.0,72%,10.0,61%,-10.0,78%,6.0,72%,0.0,33%,-34.0,,,,,,,10,50,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),485497,River View Public School,Public,Not applicable,Elementary,English,JK-8,,,51 Wireless Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B1L4,705-945-7134,705-945-7339,http://www.adsb.on.ca/sites/schools/rvs/default.aspx,www.adsb.on.ca,185,46.517509999999994,-84.29899999999999,5,100,5,5,20,0,60%,4.0,67%,-5.0,60%,-7.0,62%,-6.0,62%,-6.0,31%,-8.0,,,,,,,25,40,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),677523,Rockhaven School forExceptional Children Public School,Public,Not applicable,Elementary,English,JK-8,,,1459 Riverview Rd,Elliot Lake,Serpent River,Ontario,P0P1V0,705-844-2168,705-844-2396,http://www.adsb.on.ca/sites/schools/roc/default.aspx,www.adsb.on.ca,SP,46.20975,-82.5408,SP,SP,SP,SP,SP,SP,N/R,,N/R,,N/R,,N/D,,N/D,,N/D,,,,,,,,SP,SP,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),515396,Sir James Dunn Public School,Public,Not applicable,Elementary,English,JK-8,,,36 McKinley Ave,Michipicoten,Wawa,Ontario,P0S1K0,705-856-2517,705-856-2974,http://www.adsb.on.ca/sites/schools/sje/default.aspx,www.adsb.on.ca,105,47.99693,-84.7728,0,100,0,0,20,0,N/R,,N/R,,N/R,,67%,20.0,50%,-13.0,8%,-34.0,,,,,,,15,30,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),530603,St Joseph Island Central Public School,Public,Not applicable,Elementary,English,JK-6,,,1326 Richards St,St. Joseph,Richards Landing,Ontario,P0R1J0,705-246-2618,705-246-0511,http://www.adsb.on.ca/sites/schools/sjo/default.aspx,www.adsb.on.ca,100,46.28922,-84.0347,0,100,0,0,20,0,N/R,,N/R,,N/R,,100%,25.0,100%,25.0,80%,30.0,,,,,,,10,50,2020-09-04,1,1,1,0,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),958050,Superior Heights Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,750 north street,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,,,http://www.adsb.on.ca/sites/schools/shs/default.aspx,www.adsb.on.ca,770,46.50845,-84.2882,2,99,1,1,19,0,,,,,,,,,,,,,80%,4.0,33%,7.0,72%,4.0,15,30,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),672610,Superior Heights Community Education,Public,Not applicable,Elementary,English,7-8,,,750 North Avenue,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B2C5,705-945-7142,705-945-7390,http://www.adsb.on.ca/sites/schools/shc/default.aspx,www.adsb.on.ca,SP,46.53951,-84.3349,SP,SP,SP,SP,SP,SP,,,,,,,,,,,,,,,,,,,SP,SP,2020-09-04,0,0,0,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),106913,Superior Heights Intermediate School,Public,Not applicable,Elementary,English,7-8,,,750 North Street,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,705-945-7499,705-945-7497,http://www.adsb.on.ca/sites/schools/sis/default.aspx,www.adsb.on.ca,90,46.53951,-84.3349,10,100,0,10,30,0,,,,,,,,,,,,,,,,,,,20,20,2020-09-04,0,0,0,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),548413,Tarentorus Public School,Public,Not applicable,Elementary,English,JK-8,,,96 Northwood St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4M4,705-945-7138,705-945-7414,http://www.adsb.on.ca/sites/schools/tps/default.aspx,www.adsb.on.ca,285,46.54554,-84.3085,0,100,0,0,10,0,93%,-3.0,75%,-25.0,61%,-20.0,96%,18.0,96%,13.0,75%,14.0,,,,,,,10,45,2020-09-04,1,1,1,1,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),551660,Thessalon Public School,Public,Not applicable,Elementary,English,JK-6,,,90 Stanley St,Thessalon,Thessalon,Ontario,P0R1L0,705-842-2410,705-842-0129,http://www.adsb.on.ca/sites/schools/the/default.aspx,www.adsb.on.ca,165,46.2604,-83.559,0,100,0,0,20,0,35%,6.0,20%,6.0,30%,5.0,87%,23.0,73%,15.0,53%,11.0,,,,,,,10,25,2020-09-04,1,1,1,0,0
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),895270,W C Eaket Secondary School,Public,Not applicable,Secondary,English,9-12,,,147 Woodward Ave,Blind River,Blind River,Ontario,P0R1B0,705-356-2221,705-356-2596,http://www.adsb.on.ca/sites/schools/wce/default.aspx,www.adsb.on.ca,140,46.18877,-82.9467,0,100,0,0,45,0,,,,,,,,,,,,,69%,-10.0,28%,-19.0,57%,-5.0,20,10,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),953148,White Pines Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,1007 Trunk Rd,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K9,705-945-7181,705-945-0726,http://www.adsb.on.ca/sites/schools/wps/default.aspx,www.adsb.on.ca,475,46.52684,-84.256,0,100,0,5,35,0,,,,,,,,,,,,,75%,0.0,14%,-28.0,58%,6.0,20,20,2020-09-04,0,0,0,1,1
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),144872,White Pines Intermediate School,Public,Not applicable,Elementary,English,7-8,,,1007 Trunk Road,Sault Ste. Marie,SAULT STE. MARIE,Ontario,P6A5K9,705-945-7181,,http://www.adsb.on.ca/sites/schools/wpi/default.aspx,www.adsb.on.ca,70,46.52799,-84.2599,0,100,0,0,30,0,,,,,,,,,,,,,,,,,,,30,30,2020-09-04,0,0,0,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),765031,Archbishop O'Sullivan Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,974 Pembridge Cres,Kingston,Kingston,Ontario,K7P1A3,613-389-1891,613-389-8409,https://www.alcdsb.on.ca/school/abos/Pages/default.aspx,www.alcdsb.on.ca,240,44.2496,-76.5849,0,100,0,0,20,0,82%,-9.0,79%,-21.0,68%,-3.0,68%,-10.0,77%,-11.0,27%,-20.0,,,,,,,15,40,2020-09-04,1,1,1,1,0
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),827681,Cathedrale Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,301 Johnson St,Kingston,Kingston,Ontario,K7L1Y5,613-546-7555,613-546-0760,https://www.alcdsb.on.ca/school/ecth/Pages/default.aspx,www.alcdsb.on.ca,390,44.23167,-76.491,10,100,5,5,10,0,82%,-13.0,77%,-5.0,69%,-7.0,90%,-2.0,94%,2.0,61%,-8.0,,,,,,,20,40,2020-09-04,1,1,1,1,0
