Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
000134,1996,571,NA,,,19960426,,, Lot 27,Blk 6,,,208,Caribou St,,,,,,,,4.0000000,Tenant Improvements,
000134,1996,572,NA,,,19960429,,, Lot 27,Blk 6,,,208,Caribou St,,,,,,,,4.0000000,Tenant Improvements,
000015,1996,573,NA,,,19960502,,, Lot 18-19,Blk 1,,,137,Banff Ave,,,,,,,,4.0000000,Renovation,
000455,1996,574,NA,,,19960508,,, Lot 18B,Blk 22,,,431,Muskrat St,,,,,,,,4.0000000,Duplex Add to SFD,
000134,1996,575,NA,,,19960515,,, Lot 27-31,Blk 6,,,208,Caribou St,,,,,,,,4.0000000,Tenant Improvements,
000134,1996,576,NA,,,19960515,,, Lot 27-31,Blk 6,,,208,Caribou St,,,,,,,,4.0000000,Tenant Improvements,
045415,1996,577,NA,,,19960516,,, Lot 1-3,Blk 11,,,315,Banff Ave,,,,,,,,4.0000000,Tenant Improvements,
000134,1996,578,NA,,,19960523,,, Lot 27-31,Blk 6,,,208,Caribou St,,,,,,,,4.0000000,Tenant Improvements,
000200,1996,579,NA,,,1996053,,, Lot 26,Blk 9,,,209,Otter St,,,,,,,,4.0000000,Garage,
045415,1996,580,NA,,,19960514,,, Lot 1-3,Blk 11,,,315,Banff Ave,,,,,,,,4.0000000,Tenant Improvements,
000002,1996,581,NA,,,1996053,,, Lot 3,Blk 1,,,105,Banff Ave,,,,,,,,4.0000000,Renovation,
000733,1996,582,NA,,,19960603,,,Parcel CN #21,,,,203,Porcupine Pl,,,,,,,,4.0000000,Renovation / Addition,
000860,1996,583,NA,,,19960604,,, Lot 42,V Blk 13,,,400,Spray Ave,,,,,,,,4.0000000,,
092001,1996,584,NA,,,1996061,,, Lot 51,V Blk 7,,,109B,Cave Ave,,,,,,,,4.0000000,Garage / Storage,
000133,1996,585,NA,,,19960611,,, Lot 27-31,Blk 6,,,208,Bear St,,,,,,,,4.0000000,Tenant Improvements,
001218,1996,586,NA,,,19960613,,, Lot 1-3,V Blk 1,,,103,Spray Ave,,,,,,,,4.0000000,Change of Use,
000527,1996,587,NA,,,19960617,,, Lot 18,Blk 26,,,217,Grizzly St,,,,,,,,4.0000000,Double Garage,
001007,1996,588,96DP08,19960527,,1996062,,, Lot 34,V Blk 1,,,211,Glen Cres,,,,,,,,4.0000000,Renovation / Addition,
000398,1996,589,N/A,,,19960617,,, Lot 6-8,Blk 20,,,425,Banff Ave,,,,,,,,4.0000000,Renovation / Addition,
088002,1996,590,NA,,,19960629,,, Lot 19A,V Blk 2,,,132,Kootenay Ave,,,,,,,,4.0000000,Demolition,
088002,1996,591,NA,,,19960627,,, Lot 19A,V Blk 2,,,132,Kootenay Ave,,,,,,,,4.0000000,Single Family Dwelling,
000190,1996,592,NA,,,19960702,,, Lot 16,Blk 9,,,229,Otter St,,,,,,,,4.0000000,F/B Duplex,
086803,1996,593,NA,,,19960708,,, Lot 4C,V Blk 2,,,104,Mountain Lane,,,,,,,,4.0000000,Porch Addition,
040201,1996,594,NA,,,19960723,,, Lot 17-19,Blk 20,,#10,426,Marten St,,,,,,,,4.0000000,Deck Extension,
000217,1996,595,NA,,,19960725,,, Lot 17,Blk 10,,,316,Squirrel St,,,,,,,,4.0000000,Porch Addition,
130801,1996,596,NA,,,19960731,,, Lot 1-14,Blk 33,,,40463,Antelope Lane,,,,,,,,4.0000000,3 Unit Row Housing,
000114,1996,597,96DP75,19960806,,19960807,,, Lot 14-15,Blk 5,,,227-229,Bear St,,,,,,,,4.0000000,Change of Use,
000114,1996,598,N/A,19960821,,19960822,,, Lot 14-15,Blk 5,,,227-229,Bear St,,,,,,,,4.0000000,Demising Walls,
000064,1996,599,96DP72,19960816,,19960828,,, Lot 27,Blk 3,,,129,Muskrat St,,,,,,,,4.0000000,Addition / Renovation,
000725,1996,600,96DP45,19960531,,19960904,,,Parcel CN #13,,,,187,Porcupine Pl,,,,,,,,4.0000000,Addition,
000966,1996,601,96DP20,19960829,,1996091,,, Lot 6-7,Blk 62,,,106,Falcon St,,,,,,,,4.0000000,Warehouse Addition,
000030,1996,602,95DP96,1996053,,19960911,,, Lot 13-19,Blk 2,,,138,Banff Ave,,,,,,,,4.0000000,Renovations,
088001,1996,603,96DP22,19960127,,19960923,,, Lot 19A,V Blk 2,,,132A,Kootenay Ave,,,,,,,,4.0000000,Single Family Dwelling,
000791,1996,604,96DP69,19960903,,19960923,,,Parcel AA,,,,901,Hidden Ridge Way,,,,,,,,4.0000000,Remove 4 Chalets,
000791,1996,605,96DP69,19960903,,,,,Parcel AA,,,,901,Hidden Ridge Way,,,,,,,,4.0000000,Four 4-plexes,
032601,1996,606,96DP48,19960928,,19961004,,, Lot 8-10,Blk 17,,,402-404,Marten St,,,,,,,,,Demolition,
032601,1996,607,96DP48,19961009,,19961009,,, Lot 8-10,Blk 17,,,402-404,Marten St,,,,,,,,4.0000000,Foundation At Risk,
000135,1996,608,96DP117,19961002,,19961016,,, Lot 1-2,Blk 7,,,304,Caribou St,,,,,,,,4.0000000,Restaurant Renovation,
032601,1996,609,96DP48,19961016,,19961017,,, Lot 8-10,Blk 17,,,402-404,Marten St,,,,,,,,4.0000000,20 Unit Apt & Duplex,
000182,1996,610,96DP77,19961003,,19961024,,, Lot 7,Blk 9,,,214,Muskrat St,,,,,,,,4.0000000,Accessory Building,
000134,1996,611,N/A,19961008,,19961025,,, Lot 27-31,Blk 6,,,208,Caribou St,,,,,,,,4.0000000,Tenant Improvements,
045415,1996,612,N/A,19961023,,1996103,,, Lot 1-3,Blk 11,,,315-317,Banff Ave,,,,,,,,4.0000000,Tenant Improvements,
020005,1996,613,96DP90,19960722,,1996103,,,,,,,,Mountain Ave,,,,,,,,4.0000000,Water Boosting Stn.,
000135,1996,614,N/A,19961011,,19961031,,, Lot 1-2,Blk 7,,,304,Caribou St,,,,,,,,4.0000000,Restaurant Renovation,
087706,1996,615,96DP96,19961015,,19961101,,, Lot 34,V Blk 2,,,106,Lougheed Cir,,,,,,,,4.0000000,Single Family Dwelling,
000289,1996,616,N/A,19961101,,19961104,,, Lot 10,Blk 15,,,344,Beaver St,,,,,,,,4.0000000,Fire Restoration,
034301,1996,617,96DP110,19961025,,19961107,,, Lot 15,Blk 18,,,410,Squirrel St,,,,,,,,4.0000000,Demolition,
034301,1996,618,96DP110,19961025,,19961107,,, Lot 15,Blk 18,,,410,Squirrel St,,,,,,,,4.0000000,4 Plex,
000789,1996,619,95DP91,19961009,,19961121,,,Parcel Y,,,,700,Tunnel Mountain Rd,,,,,,,,4.0000000,Manager's Suite,
000789,1996,620,95DP91,19961009,,19961126,,,Parcel Y,,,,700,Tunnel Mountain Rd,,,,,,,,4.0000000,"Six 4-Unit ""Motel""",
000789,1996,621,95DP91,19961009,,19961126,,,Parcel Y,,,,700,Tunnel Mountain Rd,,,,,,,,4.0000000,Staff Accommodation,
000134,1996,622,N/A,19961118,,19961203,,, Lot 27-31,Blk 6,,,208,Caribou St,,,,,,,,4.0000000,Tenant Improvements,
000631,1996,623,91DP33,19961106,,19961204,,, Lot 5-8,Blk 36,,,537,Banff Ave,,,,,,,,4.0000000,Demolition,
000004,1996,624,96DP116,19961118,,19961204,,, Lot 6-7,Blk 1,,,111,Banff Ave,,,,,,,,4.0000000,Renovation,
000631,1996,625,91DP33,19961106,,19961213,,, Lot 5-8,Blk 36,,,537,Banff Ave,,,,,,,,4.0000000,Hotel Addition,
000667,1996,626,96DP119,19961204,,19961216,,, Lot 3,Blk 57,,,453,Cougar St,,,,,,,,4.0000000,Demolition,
000667,1996,627,96DP119,1996113,,19961216,,, Lot 3,Blk 57,,,453,Cougar St,,,,,,,,4.0000000,Duplex,
000593,1996,628,N/A,19961219,,1996122,,,Parcel AR,,,,600,Banff Ave,,,,,,,,4.0000000,Wall Replacement,
000860,1996,629,96DP135,1996103,,1996122,,, Lot 21-27,Blk 1,,,400,Spray Ave,,,,,,,,4.0000000,Interior Renovations,
130864,1996,630,95DP59,19960819,,1996122,,,Parcel FK & FL,,,,3,Otter Lane,,,,,,,,4.0000000,6 Unit Apartment,
130860,1996,631,95DP79,19960604,,1996122,,,Parcel FK & FL,,,,4,Otter Lane,,,,,,,,4.0000000,4 Unit Apartment,
?,1996,632,,,,,,,,,,,,,,,,,,,,,,
001325,1996,637,N/A,19961024,,19970225,,,,,,,1 & 2,Sulphur Crt,,,,,,,1406.3000000,5.0000000,Duplex,
001327,1996,638,N/A,19961024,,19970225,,,,,,,3 & 4,Sulphur Crt,,,,,,,1406.3000000,5.0000000,Duplex,
001329,1996,639,N/A,19961024,,19970225,,,,,,,5 & 6,Sulphur Crt,,,,,,,1540.5400000,5.0000000,Duplex,
001331,1996,640,N/A,19961024,,19970225,,,,,,,7 & 8,Sulphur Crt,,,,,,,1406.3000000,5.0000000,Duplex,
001333,1996,641,N/A,19961024,,19970225,,,,,,,9 & 10,Sulphur Crt,,,,,,,1540.5400000,5.0000000,Duplex,
001335,1996,642,N/A,19961024,,19970225,,,,,,,11 & 12,Sulphur Crt,,,,,,,1544.5400000,5.0000000,Duplex,
001337,1996,643,N/A,19961024,,19970225,,,,,,,13 & 14,Sulphur Crt,,,,,,,1544.5400000,5.0000000,Duplex,
001339,1996,644,N/A,19961024,,19970225,,,,,,,"15, 16 & 17",Sulphur Crt,,,,,,,2189.8100000,5.0000000,Triplex,
001342,1996,645,N/A,19961024,,19970225,,,,,,,18-21,Sulphur Crt,,,,,,,2846.9800000,5.0000000,Fourplex,
001346,1996,646,N/A,19961024,,19970225,,,,,,,22 & 24,Sulphur Crt,,,,,,,2189.8100000,5.0000000,Triplex,
000010,1997,633,96DP144,,,,,,,,,,125,Banff Ave,,,,,,,105.0000000,5.0000000,,
000789,1997,634,N/A,19970203,,19970205,,,,,,,,Tunnel Mountain Rd,,,,,,,7560.0000000,30.0000000,"Six 4-Unit ""Motel""",
000867,1997,635,N/A,19970219,,19970219,,,,,,,113,Spray Ave,,,,,,,29.0000000,5.0000000,Partial Demo,
000867,1997,636,N/A,19970219,,19970219,,,,,,,113,Spray Ave,,,,,,,25.0000000,5.0000000,Reconstruction,
000225,1997,647,N/A,19970221,,19970302,,,,,,,,  ,Cascade Plaza,,,,,,175.0000000,5.0000000,Leasehold,
001218,1997,648,N/A,19970218,,19970301,,,,,,,102,Spray Ave,,,,,,,1050.0000000,5.0000000,Renovation,
000006,1997,649,N/A,19970211,,19970301,,,,,,,117,Banff Ave,,,,,,,315.0000000,5.0000000,,
000135,1997,650,N/A,19970225,,19970301,,,,,,,304,Caribou St,,,,,,,245.0000000,5.0000000,,
000867,1997,651,N/A,19970219,,,,,,,,,113,Spray Ave,,,,,,,30.0000000,5.0000000,Demolition,
000867,1997,652,N/A,19970219,,,,,,,,,113,Spray Ave,,,,,,,24.6000000,5.0000000,Reconstruction,
000886,1997,653,N/A,19970304,,19970308,,,,,,,116,Kootenay Ave,,,,,,,36.2300000,5.0000000,Bathrooms,
000545,1997,654,N/A,19970305,,,,,,,,,138,Otter St,,,,,,,1045.0000000,5.0000000,Addition to House,
000789,1997,655,N/A,19970305,,19970325,,,,,,,,  ,,,,,,,428.0000000,5.0000000,Demolition of 6 Buildings,
040201,1997,656,N/A,19970318,,1997032,,,,,,#1,426,Marten St,,,,,,,25.0000000,5.0000000,Deck,
000030,1997,657,N/A,19970317,,,,,,,,,,  ,Mount Royal Hotel,,,,,,168.0000000,5.0000000,Vestibule,
082802,1997,658,N/A,19970318,,19970403,,,,,,,321,Buffalo St,,,,,,,430.0000000,5.0000000,Addition of Dwelling Unit,
000225,1997,659,N/A,19970321,,,,,,,,,,  ,Cascade Plaza,,,,,,525.0000000,5.0000000,Leasehold Improvements,
000867,1997,660,N/A,19970321,,1997041,,,,,,,113,Spray Ave,,,,,,,1599.0000000,5.0000000,SDD,
000589,1997,661,N/A,19970327,,19970401,,,,,,,540B,Banff Ave,,,,,,,448.0000000,5.0000000,Finish Basement,
000008,1997,662,N/A,1997032,,19970401,,,,,,,121,Banff Ave,,,,,,,50.0000000,5.0000000,Exterior Renovations,
000230,1997,663,N/A,19970304,,,,,,,,,202,Wolf St,,,,,,,,,Demising Wall,
130801,1997,664,N/A,19970321,,19970424,,,,,,,,  ,,,,,,,2660.1500000,5.0000000,4 Plex,
130801,1997,665,N/A,19970321,,19970424,,,,,,,,  ,,,,,,,2660.1500000,5.0000000,4 Plex,
000225,1997,666,N/A,19970402,,1997041,,,,,,,317,Banff Ave,,,,,,,301.0000000,5.0000000,Retail Renovation,
000358,1997,667,N/A,19970325,,19970408,,,,,,,441,Marten St,,,,,,,268.0000000,5.0000000,Demolition,
000358,1997,668,N/A,19970325,,19970415,,,,,,,441,Marten St,,,,,,1800000.0000000,9111.0000000,5.0000000,,
000113,1997,669,N/A,19970407,,1997041,,,,,,,225,Bear St,,,,,,,315.0000000,5.0000000,,
000225,1997,670,N/A,19970402,,1997041,,,,,,,317,Banff Ave,,,,,,220000.0000000,1540.0000000,5.0000000,Retail Renovation,
000225,1997,671,N/A,19970409,,19970422,,,,,,,,  ,Cascade Plaza,,,,,10521.0000000,74.0000000,5.0000000,Food Kiosk,
000135,1997,672,N/A,1997041,,19970416,,,,,,,200,Banff Ave,,,,,,17000.0000000,119.0000000,5.0000000,,
000121,1997,673,N/A,19970404,,19970416,,,,,,,211,Banff Ave,,,,,,12000.0000000,84.0000000,5.0000000,,
000398,1997,674,N/A,19970411,,19970422,,,,,,,425,Banff Ave,,,,,,6000.0000000,50.0000000,5.0000000,Storage Room,
000118,1997,675,N/A,19970416,,19970424,,,,,,,,  ,,,,,,18500.0000000,129.5000000,5.0000000,Renovation,
000126,1997,676,N/A,19970415,,19970522,,,,,,,227,Banff Ave,,,,,,,,,,
000399,1997,677,N/A,19970414,,19970429,,,,,,,424,Banff Ave,,,,,,30000.0000000,210.0000000,5.0000000,Garbage Enclosure,
000225,1997,678,N/A,19970423,,19970509,,,,,,,,  ,Cascade Plaza,,,,,26000.0000000,182.0000000,5.0000000,Retail Renovation,
000908,1997,679,N/A,19970211,,19970514,,,,,,,118,Park Ave,,,,,,112000.0000000,820.0000000,5.0000000,Addition to SFD,
000103,1997,680,N/A,19970506,,19970514,,,,,,,201,Bear St,,,,,,,45.5000000,5.0000000,Office Renovation,
000007,1997,681,N/A,,,19970513,,,,,,,119,Banff Ave,,,,,,,49.0000000,5.0000000,,
000436,1997,682,N/A,1997051,,,,,,,,Unit A,406,Beaver St,,,,,,,40.0000000,5.0000000,Basement Suite,
000230,1997,683,N/A,19970506,,19970519,,,,,,,202,Wolf St,,,,,,70000.0000000,490.0000000,5.0000000,Leasehold Improvements,
000575,1997,684,N/A,19970512,,19970519,,,,,,,513,Deer St,,,,,,200000.0000000,1223.6500000,5.0000000,Duplex,
000028,1997,685,N/A,19970502,,19970522,,,,,,,120,Banff Ave,,,,,,,25.0000000,5.0000000,Interior Renovations,
001180,1997,686,N/A,1997043,,19970603,,,,,,,,Tunnel Mountain Rd,,,,,,1000000.0000000,7000.0000000,5.0000000,Expansion to Banff Int'l Hostel,
000295,1997,687,97DP21,19970424,,19970527,,,,,,,343,Muskrat St,,,,,,300000.0000000,1210.2800000,5.0000000,Single Family Dwelling,
000063,1997,688,N/A,19970512,,19970527,,,,,,,131,Muskrat St,,,,,,275000.0000000,1258.4100000,5.0000000,5 Plex,
092201,1997,689,N/A,19970502,,19970528,,,,,,,112,Cave Ave,,,,,,240000.0000000,1350.4000000,5.0000000,Duplex,
000926,1997,690,N/A,19970515,,19970602,,,,,,,121,Cave Ave,,,,,,5000.0000000,105.0000000,5.0000000,Renovations,
000295,1997,691,N/A,19970521,,19970527,,,,,,,343,Muskrat St,,,,,,,250.0000000,5.0000000,Demolition,
000922,1997,692,N/A,19970523,,19970527,,,,,,,111,Cave Ave,,,,,,,250.0000000,5.0000000,Demolition,
000301,1997,693,N/A,19970506,,19970528,,,,,,,331,Muskrat St,,,,,,,1660.3600000,5.0000000,Duplex,
000002,1997,694,N/A,19970502,,19970528,,,,,,,103 & 105,Banff Ave,,,,,,,280.0000000,5.0000000,Façade Restoration,
000922,1997,695,,1997052,,1997053,,,,,,,111,Cave Ave,,,,,,250000.0000000,993.2400000,5.0000000,Duplex,
000844,1997,696,,19970522,,19970602,,,,,,,561,Buffalo St,,,,,,400000.0000000,1465.0800000,5.0000000,Single Family Dwelling,
002021,1997,697,,19970515,,19970602,,,,,,,301,Lynx St,,,,,,50000.0000000,350.0000000,5.0000000,Renovations,
000288,1997,698,,19970526,,19970606,,,,,,#2,342,Beaver St,,,,,,2000.0000000,25.0000000,5.0000000,Addition to Deck,
000853,1997,699,,19970515,,19970604,,,,,,,116,Glen Ave,,,,,,125000.0000000,508.1200000,5.0000000,Addition to SFD,
000128,1997,700,,19970606,,19970611,,,,,,,226,Bear St,,,,,,15000.0000000,105.0000000,5.0000000,Shaft Renovation,
000699,1997,701,,19970502,,19970611,,,,,,,232,Marmot St,,,,,,8000.0000000,56.0000000,5.0000000,Deck Roof Const,
000789,1997,702,,19970203,,19970616,,,,,,,700,Tunnel Mountain Rd,,,,,,750000.0000000,3495.0000000,5.0000000,Guest Services Bldg,
001167,1997,703,,19970611,,19970616,,,,,,,116A,Grizzly St,,,,,,14560.0000000,256.6900000,5.0000000,Addition to SFD,
000225,1997,704,,19970624,,19970627,,,,,,,317,Banff Ave,,,,,,30000.0000000,210.0000000,5.0000000,Unit M-19 Cascade Plaza,
130886,1997,705,,1997063,,19970714,,,,,,,2Ato2F,Otter Lane,,,,,,348000.0000000,2755.0000000,5.0000000,6 Unit Residential,
130896,1997,706,,1997063,,19970714,,,,,,,6Ato6F,Otter Lane,,,,,,368000.0000000,2755.0000000,5.0000000,6 Unit Residential,
130890,1997,707,,1997063,,19970714,,,,,,,7Ato7D,Otter Lane,,,,,,348000.0000000,2655.0000000,5.0000000,4 Unit Residential,
001024,1997,708,,19970704,,19970714,,,,,,,131A,Park Ave,,,,,,8000.0000000,56.0000000,5.0000000,Covered Deck,
000457,1997,709,,19970711,,19970714,,,,,,,433,Muskrat St,,,,,,125000.0000000,763.9200000,5.0000000,Duplex Addition,
087704,1997,710,,19970724,,19970729,,,,,,,104,Lougheed Cir,,,,,,115000.0000000,1061.3000000,5.0000000,Single Family Dwelling,
?,1997,711,,19970703,,19970805,,,,,,,107,Bear St,,,,,,80000.0000000,560.0000000,5.0000000,Deck Enclosure,
000230,1997,712,,1997073,,19970805,,,,,,,202,Wolf St,,,,,,25000.0000000,175.0000000,5.0000000,Retail Renovation,
000122,1997,713,,19970808,,19970808,,,,,,,215,Banff Ave,,,,,,15000.0000000,105.0000000,5.0000000,Pump & Tap Tavern,
000226,1997,714,,19970806,,19970812,,,,,,,319,Banff Ave,,,,,,10000.0000000,75.0000000,5.0000000,Bldg Addition,
000264,1997,715,,19970815,,19970819,,,,,,,348,Marten St,,,,,,30000.0000000,210.0000000,5.0000000,,
000691,1997,716,,19970821,,19970825,,,,,,,103,Owl St,,,,,,160000.0000000,1120.0000000,5.0000000,Bldg Addition,
000216,1997,717,,19970821,,19970825,,,,,,,318,Squirrel St,,,,,,500.0000000,25.0000000,5.0000000,Bedroom Addition,
021101,1997,718,,19970826,,19970826,,,,,,,315-319,Marten St,,,,,,,250.0000000,5.0000000,Demolition,
000778,1997,719,,19970829,,19970902,,,,,,,335,Mountain Goat Lane,,,,,,800.0000000,75.0000000,5.0000000,Hot Tub Shelter,
021101,1997,720,,19970905,,19970909,,,,,,,315-319,Marten St,,,,,,,1662.5000000,5.0000000,Foundation At Risk,
021101,1997,720,,,,19971021,,,,,,,315-319,Marten St,,,,,,950000.0000000,4992.5000000,5.0000000,Two 6 Unit Bldgs,
000125,1997,721,,19970909,,19970916,,,,,,,225,Banff Ave,,,,,,200000.0000000,1400.0000000,5.0000000,Elev/Roof Alterations,
000225,1997,722,,19971008,,19971012,,,,,,,317,Banff Ave,,,,,,50000.0000000,350.0000000,5.0000000,Leasehold Improvements,
130818,1997,723,,19971015,,19971024,,19981229,,,,,18-19,Antelope Lane,,,,,,250000.0000000,1907.0000000,5.0000000,2 Unit Row House,
130816,1997,724,,19971015,,19971024,,,,,,,16-17,Antelope Lane,,,,,,250000.0000000,1907.5000000,5.0000000,2 Unit Row House,
000011,1997,725,,19971031,,19971103,,,,,,,127,Banff Ave,,,,,,7000.0000000,49.0000000,5.0000000,Leasehold Improvements,
020055,1997,726,,19971031,,19971103,,,,,,,,Bow Ave,,,,,,2000.0000000,25.0000000,5.0000000,Const Gazebo,
001349,1997,727,,19971107,,19971111,,,,,,,"1, 2, 3, 4",Middle Springs Dr,,,,,,560000.0000000,2656.8200000,5.0000000,"4 Unit Condo - Rundle Circle - Also Roll #001350,001351, 001352",
001353,1997,728,,19971107,,19971111,,,,,,,"5, 6, 7, 8",Middle Springs Dr,,,,,,560000.0000000,2743.1000000,5.0000000,"4 Unit Condo - Rundle Circle - Also Roll #001354, 001355, 001356",
001357,1997,729,,19971107,,19971111,,,,,,,"9, 10, 11, 12",Middle Springs Dr,,,,,,560000.0000000,2494.3300000,5.0000000,"4 Unit Condo -Rundle Circle - Also Roll #001358, 001359, 001360",
001361,1997,730,,19971107,,19971111,,,,,,,"13, 14, 15, 16, 17",Middle Springs Dr,,,,,,700000.0000000,3108.4700000,5.0000000,"4 Unit Condo -Rundle Circle - Also Roll #001362, 001363, 001364, 001365",
000593,1997,731,,19971107,,1997112,,,,,,,600,Banff Ave,,,,,,58000.0000000,406.0000000,5.0000000,Pub Renovation,
000789,1997,732,,19971125,,19971202,,,,,,,700,Tunnel Mountain Rd,,,,,,0.0000000,25.0000000,5.0000000,Demolition,
120901,1997,733,,19971208,,1997121,,,,,,,107,Tunnel Mountain Rd,,,,,,30000.0000000,210.0000000,5.0000000,New Weight Room,
000133,1997,734,,1997121,,19971217,,,,,,,208,Bear St,,,,,,30000.0000000,210.0000000,5.0000000,Retail Renovation,
000133,1998,735,,19980119,,19980126,,,,,,,208,Bear St,,,,,,450000.0000000,3150.0000000,5.0000000,Hotel Room Renovation,
001306,1998,736,,19980122,,1998021,,,,,,,141,Eagle Cres,,,,,,600000.0000000,4200.0000000,5.0000000,Office / Shop,
001218,1998,737,,19980209,,19980216,,,,,,,102,Spray Ave,,,,,,650000.0000000,4550.0000000,5.0000000,Residential Dorm Renovation,
000621,1998,738,,19980227,,19980301,,,,,,,131,Wolverine St,,,,,,5000.0000000,206.4600000,5.0000000,Bachelor Suite,
000593,1998,739,,1998031,,1998031,,,,,,,600,Banff Ave,,,,,,5300.0000000,371.0000000,5.0000000,Leasehold Improvements,
?,1998,740,,,,,,,,,,,,,,,,,,,,,,
000403,1998,741,,19980327,,19980327,,,,,,,433,Banff Ave,,,,,,5000.0000000,75.0000000,5.0000000,Kitchen Addition,
000825,1998,742,,19980402,,19980403,,,,,,,94,Banff Ave,,,,,,0.0000000,250.0000000,5.0000000,Demolition,
000544,1998,743,,19980407,,19980413,,,,,,,136,Otter St,,,,,,125000.0000000,488.8200000,5.0000000,4 Plex Addition,
000825,1998,744,,19980414,,19980414,,,,,,,94,Banff Ave,,,,,,150000.0000000,257.5000000,5.0000000,Foundation At Risk,
000002,1998,745,,19980417,,19980421,,,,,,,103,Banff Ave,,,,,,15000.0000000,105.0000000,5.0000000,Demising Wall,
000463,1998,746,,1998042,,1998043,,,,,,,441,Muskrat St,,,,,,,250.0000000,5.0000000,Demolition,
000463,1998,747,,1998042,,1998043,,,,,,,441,Muskrat St,,,,,,125000.0000000,906.1900000,5.0000000,Single Family Dwelling,
000225,1998,748,,19980424,,19980428,,,,,,,317,Banff Ave,,,,,,60000.0000000,350.0000000,5.0000000,Retail Alteration,
130909,1998,749,,19980428,,1998043,,,,,,,502,Banff Ave,,,,,,,250.0000000,5.0000000,Demolition,
130909,1998,750,,19980501,,19980512,,,,,,,502,Banff Ave,,,,,,700000.0000000,2980.1200000,5.0000000,8 Plex,
000742,1998,751,,19980501,,19980505,,,,,,,143,Pika Pl,,,,,,10000.0000000,75.0000000,5.0000000,SFD Addition,
000615,1998,752,,1998043,,19980505,,,,,,,126,Grizzly St,,,,,,85000.0000000,75.0000000,5.0000000,Greenhouse,
000825,1998,753,,19980505,,19980512,,,,,,,94,Banff Ave,,,,,,150000.0000000,792.5000000,5.0000000,Interior Renovation,
000321,1998,754,,19980602,,19980604,,,,,,,510,Wolf St,,,,,,375000.0000000,1621.8100000,5.0000000,Duplex,
000113,1998,755,,19980608,,19980612,,,,,,,225,Bear St,,,,,,10000.0000000,75.0000000,5.0000000,Leasehold Improvements,
000321,1998,756,,19980609,,19980609,,,,,,,510,Wolf St,,,,,,,250.0000000,5.0000000,Demolition,
000303,1998,757,,19980619,,19980619,,,,,,,446,Elk St,,,,,,3500.0000000,75.0000000,5.0000000,SFD Renovation,
000030,1998,758,,19980626,,19980626,,,,,,,138,Banff Ave,,,,,,4250.0000000,75.0000000,5.0000000,Interior Renovation,
000647,1998,759,,19980626,,1998063,,,,,,,329,Big Horn St,,,,,,1800.0000000,75.0000000,5.0000000,Garage,
130860,1998,760,,19980626,,1998063,,,,,,,4D,Otter Lane,,,,,,2500.0000000,75.0000000,5.0000000,Deck Extension,
000219,1998,761,,1998063,,1998063,,,,,,,312,Squirrel St,,,,,,8200.0000000,75.0000000,5.0000000,Install Cold Roof,
001180,1998,762,,19980731,,19980804,,,,,,,801,Hidden Ridge Way,,,,,,20000.0000000,140.0000000,5.0000000,Loft / Office Addition,
000258,1998,763,,19980731,,19980808,,,,,,,337,Banff Ave,,,,,,700000.0000000,4900.0000000,5.0000000,Lobby / Room Addition,
000225,1998,764,,19980731,,19980804,,,,,,,317,Banff Ave,,,,,,20000.0000000,140.0000000,5.0000000,Storefront Renovation,
000853,1998,765,,19980804,,19980807,,,,,,,115,Glen Ave,,,,,,30000.0000000,108.0000000,5.0000000,Detached Garage,
002018,1998,766,,19980806,,19980811,,,,,,,330,Banff Ave,,,,,,80000.0000000,560.0000000,5.0000000,Interior Renovation,
000258,1998,767,,1998082,,19980821,,,,,,,337,Banff Ave,,,,,,10000.0000000,250.0000000,5.0000000,Demolition,
000134,1998,768,,19980818,,19980825,,,,,,,208,Caribou St,,,Commercial,,,60000.0000000,420.0000000,5.0000000,Pub Renovation,
?,1998,769,,19980909,,19980911,,,,,,,327,Caribou St,,,,,,,250.0000000,5.0000000,Demolition,
000225,1998,770,,19980922,,19980922,,,,,,,317,Banff Ave,,,,,,22000.0000000,154.0000000,5.0000000,Tenant Renovation,
001128,1998,771,,19980922,,19980925,,,,,,#1,200,Hawk Ave,,,,,,30000.0000000,210.0000000,5.0000000,Interior Renovation,
000593,1998,772,,19981014,,19981021,,,,,,,600,Banff Ave,,,Commercial,,,300000.0000000,2100.0000000,5.0000000,Underground Walkway,
000825,1998,773,,19981009,,19981016,,,,,,,94,Banff Ave,,,,,,,250.0000000,5.0000000,Demolition,
000825,1998,774,,19981014,,19981021,,,,,,,94,Banff Ave,,,,,,150000.0000000,1050.0000000,5.0000000,Upper 2 Floor Suites,
000004,1998,775,,19981014,,19981021,,,,,,,111,Banff Ave,Harmony Lane,,,,,75000.0000000,525.0000000,5.0000000,Ph 1 Roof Reconstruction,
000126,1998,776,,19981023,Cancelled,19981102,,,,,,,227,Banff Ave,,,,,,,145000.0000000,5.0000000,Retail Addition / Renovation,
