city,facility_name,info
Edmonton ,Glenrose Rehabilitation Hospital ,"10230 – 111 Avenue,  Edmonton, Alberta, T5G 0B7 Ph : 780-471-2262 Fax: 780-471-7976 "
Edmonton ,Grey Nuns Community Hospital  ,"1100 Youville Drive West, Edmonton, Alberta, T6L 5X8 Ph: 780-735-7000 Fax: 780-735-7500 "
Edmonton ,Misericordia Community Hospital  ,"16940 – 87 Avenue,  Edmonton, Alberta, T5R 4H5 Ph : 780-735-2000 Fax: 780-735-2774 "
Edmonton ,Northeast Community Health Centre ,"14007 – 50 Street,  Edmonton, Alberta, T5A 5E4 Ph: 780-472-5000 Fax: 780-472-5100 "
Edmonton ,Royal Alexandra Hospital ,"10240 – Kingsway Avenue, Edmonton, Alberta, T5H 3V9 Ph: 780-735-4111 Fax: 780-735-4777 "
Edmonton ,Stollery Children’s Hospital,"8440 – 112 Street,  Edmonton, Alberta, T6G 2B7 Ph: 780-407-8655 Fax: 780-407-7418 "
Edmonton ,University of Alberta Hospital  ,"8440 – 112 Street,  Edmonton, Alberta, T6G 2B7 Ph: 780-407-8822 Fax: 780-407-7418 "
Fort Saskatchewan ,Fort Saskatchewan Community Hospital ,"9401 – 86 Avenue,  Fort Saskatchewan,  Alberta, T8L 0C6 Ph: 780-998-2256 Fax: 780-342-3338 "
Leduc ,Leduc Community Hospital,"4210 – 48 Street,  Leduc, Alberta, T9E 5Z3 Ph: 780-986-7711 Fax: 780-980-4490 "
Sherwood Park ,Strathcona Community Hospital ,"9000 Emerald Drive, Sherwood Park, Alberta T8H 0J3 Ph: 780 -  Fax:780 -  "
St Albert ,Sturgeon Community Hospital ,"201 Boudreau Road,  St. Albert, Alberta, T8N 6C4 Ph: 780-418-8200 Fax: 780-418-8262 "
Stony Plain  ,WestView Health Centre – Stony Plain ,"4405 – South Park Drive,  Stony Plain, Alberta,T7Z 2M7 Ph: 780-968-3600 Fax: 780-963-7192 "
Athabasca ,Athabasca Healthcare Centre ,"3100 – 48 Avenue,  Athabasca, Alberta, T9S 1M9 Ph: 780-675-6000 Fax: 780-675-7050 "
Barrhead ,Barrhead Healthcare Centre  ,"4815 – 51 Avenue, Barrhead, Alberta, T7N 1M1 Ph: 780-674-2221 Fax: 780-674-3541 "
Beaverlodge ,Beaverlodge Municipal Hospital ,"422 – 10A Street,  Beaverlodge, Alberta,  T0H 0C0 Ph: 780-354-2136 Fax: 780-354-8355 "
Bonnyville ,Bonnyville Healthcare Centre  ,"5001 Lakeshore Drive,  Bonnyville, Alberta, T9N 2J7 Ph: 780-826-3311 Fax: 780-826-6527 "
Boyle ,Boyle Healthcare Centre ,"5004 Lakeview Road,  Boyle, Alberta, T0A 0M0 Ph: 780-689-3731 Fax: 780-689-3951 "
Cold Lake ,Cold Lake Healthcare Centre ,"314 – 25 Street,  Cold Lake, Alberta, T9M 1G6 Ph: 780-639-3322 Fax: 780-639-2255 "
Edson ,Edson Healthcare Centre  ,"3837 - 6 Avenue,  Edson, Alberta, T7E 0C5 Ph: 780-723-3331 Fax: 780-723-7787 "
Elk Point ,Elk Point Healthcare Centre ,"5310 – 50 Avenue,  Elk Point, Alberta, T0A 1A0 Ph: 780-724-3847 Fax: 780-724-3085 "
Fairview ,Fairview Health Complex ,"10628 – 110 St.,  Fairview, Alberta,T0H 1L0 Ph: 780-835-6100 Fax: 780-835-5789 "
Fort McMurray ,Northern Lights Regional Health Centre ,"7 Hospital Street,  Fort McMurray, Alberta,  T9H 1P2 Ph: 780-791-6024 Fax: 780-791-6019 "
Fort Vermilion ,St. Theresa General Hospital ,"4506 - 46 Avenue,  Fort Vermilion, Alberta,  T0H 1N0 Ph: 780-927-3761 Fax: 780-927-6207 "
Fox Creek ,Fox Creek Healthcare Centre ,"600 – 3rd St.,  Fox Creek, Alberta, T0H 1P0 Ph: 780-622-3545 Fax: 780-622-3474 "
Grande Cache ,Grande Cache Community Health Complex  ,"10200 Shand Avenue,  Grande Cache, Alberta T0E 0Y0 Ph: 780-827-3701 Fax: 780-827-2859 "
Grande Prairie ,Queen Elizabeth II Hospital,"10409 – 98 Street,  Grande Prairie, Alberta T8V 2E8 Ph: 780-538-7100 Fax: 780-538-7500 "
Grimshaw ,Grimshaw / Berwyn and District Community Health Centre  ,"5621 Wilcox Road,  Grimshaw, Alberta, T0H 1W0 Ph: 780-332-6500 Fax: 780-332-1177 "
High Level ,Northwest Health Centre ,"11202 – 100 Avenue,  High Level, Alberta, T0H 1Z0 Ph: 780-841-3200 Fax: 780-926-7378 "
High Prairie ,High Prairie Health Complex ,"5101 – 38 Street High Prairie, Alberta,  T0G 1E0 Ph: 780-523-6440 Fax: 780-523-6642 "
Hinton ,Hinton Healthcare Centre ,"1280 Switzer Drive,  Hinton, Alberta,T7V 1V2 Ph: 780-865-3333 Fax: 780-865-1099 "
Jasper ,Seton – Jasper Healthcare Centre ,"518 Robson Street, Jasper. Alberta, T0E 1E0 Ph: 780-852-3344 Fax: 780-852-3413 "
Lac La Biche ,William J. Cadzow – Lac La Biche Healthcare Centre ,"9110 - 93 Street,  Lac La Biche, Alberta,  T0A 2C0 Ph: 780-623-4404 Fax: 780-623-5904 "
Manning ,Manning Community Health Centre ,"#600, 2nd Street NE,  Manning, Alberta, T0H 2M0 Ph: 780-836-3391 Fax: 780-836-7352 "
Mayerthorpe ,Mayerthorpe Healthcare Centre ,"4417 - 45 Street,  Mayerthorpe, Alberta,  T0E 1N0 Ph: 780-786-2261 Fax: 780-786-2023 "
McLennan ,Sacred Heart Community Health Centre ,"350 - 3 Avenue NW,  McLennan, Alberta, T0H 2L0 Ph: 780-324-3730 Fax: 780-324-2267 "
Peace River  ,Peace River Community Health Centre ,"10101 - 68 St. Peace River, Alberta,  T8S 1T6 Ph: 780-624-7500 Fax: 780-618-3472 "
Redwater ,Redwater Health Centre ,"4812 – 58 Street,  Redwater, Alberta, T0A 2W0 Ph: 780-942-3932 Fax: 780-942-2373 "
Slave Lake ,Slave Lake Healthcare Centre ,"309 6 Street NE,  Slave Lake, Alberta, T0G 2A2 Ph: 780-805-3500 Fax: 780-805-3574 "
Smoky Lake ,George McDougall – Smoky Lake Healthcare Centre ,"4212 - 55 Avenue,  Smoky Lake, Alberta,  T0A 3C0 Ph: 780-656-3034 Fax: 780-656-5010 "
Spirit River ,Central Peace Health Complex ,"5010 - 45 Avenue,  Spirit River, Alberta, T0H 3G0 Ph: 780-864-3993 Fax: 780-864-3495 "
St. Paul ,St. Therese - St. Paul Healthcare Centre ,"4713 - 48 Avenue,  St. Paul, Alberta, T0A 3A3 Ph: 780-645-3331 Fax: 780-645-1702 "
Swan Hills ,Swan Hills Healthcare Centre ,"29 Freeman Drive,  Swan Hills, Alberta, T0G 2C0 Ph: 780-333-7000 Fax: 780-333-7009 "
Valleyview ,Valleyview Health Centre ,"4802 Highway St. E.,  Valleyview, Alberta, T0H 3N0 Ph: 780-524-3356 Fax: 780-524-2107 "
Wabasca/ Desmarais ,Wabasca/Desmarais Healthcare Centre ,"881 Mistassiniy Road,  Wabasca, Alberta, T0G 2K0 Ph: 780-891-3007 Fax: 780-891-3784 "
Westlock  ,Westlock Healthcare Centre,"10220 - 93 Street,  Westlock, Alberta, T7P 2G4 Ph: 780-349-3301 Fax: 780-349-6973 "
Whitecourt ,Whitecourt Healthcare Centre ,"20 Sunset Boulevard,  Whitecourt, Alberta, T7S 1M8 Ph: 780-778-2285 Fax: 780-778-5161 "
Lethbridge ,Jack Ady Cancer Centre (JACC) ,"960 - 19th Street,  Lethbridge, Alberta, T1J 1W5 Ph: 403-329-0633 Fax: 403-320-0508 "
Medicine Hat ,Margery E. Yuill Cancer Centre (MYCC) ,"MYCC: 666-5th Street S.W., Medicine Hat, Alberta,  T1A 4H6 Ph: 403-529-8817 Fax: 403-529-8007 "
Calgary ,Tom Baker Cancer Centre (TBCC) ,"1331 - 29 Street NW,  Calgary, Alberta, T2N 4N2 Ph: 403-521-3723 Fax: 403-521-3128 "
Canmore ,Bow Valley Community Cancer Centre ,"1100 Hospital Place Canmore, Alberta, T1W 1N2 Ph: 403-678-7200 Fax: 403-678-7225 "
High River ,High River Community Cancer Centre ,"560 – 9th Avenue West High River, Alberta, T1V 1B3 Ph: 403-652-2200 Fax: 403-652-0199 "
Camrose ,Camrose Community Cancer Centre ,"4607 – 53 Street Camrose, Alberta, T4V 1Y5 Ph: 780-679-6100 Fax: 780-679-6196 "
Drayton Valley ,Drayton Valley Community Cancer Centre ,"4550 Madsen Avenue Drayton Valley, Alberta T7A 1N8 Ph: 780-542-5321 Fax: 780-621-4966 "
Drumheller ,Drumheller Community Cancer Centre ,"351 – 9th Street NW Drumheller, Alberta, T0J 0Y1 Ph: 403-823-6500 Fax: 403-823-5076 "
Red Deer ,Central Alberta Cancer Centre (CACC) ,"CACC: 3942-50A Avenue,  Red Deer, Alberta, T4N 4E7 Ph: 403-820-7985 Fax: 403-820-7234 "
Edmonton ,Cross Cancer Institute (CCI) ,"11560 University Avenue, Edmonton, Alberta, T6G 1Z2 Ph: 780-432-8771 Fax: 780-432-8886 "
Barrhead ,Barrhead Community Cancer Centre ,"4815 – 51 Avenue Barrhead, Alberta, T7N 1M1 Ph: 780-674-2221 Fax: 780-674-3541 "
Bonnyville ,Bonnyville Community Cancer Centre ,"5001 Lakeshore Drive  Bonnyville, Alberta, T9N 2J7 Ph: 780-826-3311 Fax: 780-826-6527 "
Fort McMurray  ,Fort McMurray Community Cancer Centre ,"7 Hospital Street Fort McMurray, Alberta T9H 1P2 Ph: 780-791-6161 Fax: 780-791-6042 "
Grande Prairie ,Grande Prairie Cancer Centre (GPCC) ,"GPCC: 10409-98 Street, Grande Prairie, Alberta, T8V 2E8 Ph: 780-538-7588 Fax: 780-532-9120 "
Hinton ,Hinton Community Cancer Centre ,"1280 Switzer Drive Hinton, Alberta, T7V 1V2 Ph: 780-865-3333 Fax: 780-865-1099 "
Peace River ,Peace River Community Cancer Centre ,"10101 – 68 Street Peace River, Alberta, T8S 1T6 Ph: 780-624-7500 Fax: 780-618-3472 "
Lloydminster ,Lloydminster Community Cancer Centre ,"3820 – 43 Avenue Lloydminster, Saskatchewan,  S9V 1Y5 Ph: 306-820-6144 Fax: 306-820-6145 "
