Municipality,Permit Number,Type of Building,Type of Work,Value of Construction,Units Created,Units Lost,Building Area,Approval Date,Extract Date
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-055,100,01,"225,000",0,0,"2,496",05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-064,100,01,"350,000",0,0,"1,508",05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-065,100,03,"259,000",0,0,324,05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-080,100,03,"200,000",0,0,"2,000",05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-078,100,15,"300,000",0,0,0,05/30/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-062,100,15,"70,000",0,0,0,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2019-067,410,01,"250,000",0,0,0,05/23/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-036,100,01,"500,000",0,0,"2,460",05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2019-045,100,01,"50,000",0,0,308,05/30/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-033,100,01,"190,000",0,0,"1,260",05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-050,100,01,"250,000",0,0,"2,576",05/29/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2019-048,100,01,"350,000",0,0,"2,688",05/22/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-031,100,01,"500,000",0,0,"5,120",05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-032,100,01,"525,000",0,0,"2,664",05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-043,100,03,"60,000",0,0,0,05/22/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-B2019-029,100,03,"120,000",0,0,0,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,RI-C2019-051,100,15,"60,000",0,0,"2,200",05/30/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-038,100,01,"150,000",0,0,0,05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-041,100,01,"260,000",0,0,0,05/27/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-037,100,01,"150,000",0,0,0,05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-040,100,01,"202,900",0,0,0,05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2019-031,100,15,"60,000",0,0,0,05/02/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,2019-0040,999,01,"300,000",1,0,"1,927",04/29/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6501,110,01,"120,000",0,0,"1,344",05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6507,110,03,"50,000",0,0,440,05/27/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6505,110,03,"50,000",0,0,0,05/23/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-051,100,01,"300,000",0,0,"3,658",05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,080183,100,01,"500,000",0,0,624,08/21/2008 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-046,100,01,"60,000",0,0,768,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-049,100,01,"60,000",0,0,768,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-048,100,01,"60,000",0,0,768,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-050,100,01,"60,000",0,0,768,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-025,100,01,"350,000",0,0,"6,322.8",05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-047,100,01,"60,000",0,0,768,05/14/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2019-053,100,03,"62,000",0,0,0,05/03/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2019-054,100,01,"150,000",0,0,"1,020",05/14/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,B2019-064,100,03,"100,000",0,0,"1,344",05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2019-047,100,01,"176,000",0,0,"1,760",05/22/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2019-038,100,03,"120,000",0,0,0,05/13/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-044,100,01,"350,000",0,0,273.7,05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-008,100,01,"200,000",0,0,163,05/10/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-036,100,01,"345,000",0,0,233.03,05/14/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,B2019-083,100,01,"134,000",0,0,95.16,05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-048,100,01,"260,000",0,0,286.97,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-047,100,01,"370,000",0,0,440.36,05/07/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-064,100,01,"235,000",0,0,258.6,05/28/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2018-097,100,01,"225,000",0,0,260.65,05/27/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-035,100,01,"190,000",0,0,261.8,05/22/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,B2019-066,100,03,"80,000",0,0,63.17,05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,B2019-084,100,15,"55,000",0,0,160.49,05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2012-246,100,15,"50,000",0,0,124.86,10/15/2012 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2018-235,400,01,"565,000",0,0,656.97,05/06/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2017-134,500,01,"300,000",0,0,175.75,05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,C2019-018,500,03,"440,000",0,0,425,05/09/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2019-028,100,15,"225,000",0,0,0,05/06/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,BA190074,999,01,"710,000",1,0,"4,351",,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20190038,100,01,"200,000",0,0,950,05/10/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20190037,100,03,"100,000",0,0,"1,440",05/08/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20190048,150,01,"60,000",0,0,780,05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20190033,500,05,"600,000",0,0,"5,600",05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-118,100,01,"200,000",0,0,"1,421",05/30/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-117,100,01,"400,000",0,0,"2,580",05/28/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-104,100,01,"105,000",0,0,"1,184",05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-102,100,01,"105,000",0,0,"1,184",05/07/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,211-WH-99,100,01,"76,000",0,0,0,08/06/1999 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-098,100,01,"127,000",0,0,"1,184",05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-327,100,01,"400,000",0,0,"2,596",05/14/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-091,100,01,"105,000",0,0,"1,184",05/07/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-096,100,01,"127,000",0,0,"1,184",05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-093,100,01,"127,000",0,0,"1,184",05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-100,100,01,"112,000",0,0,"1,184",05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-133,100,03,"102,000",0,0,"1,560",05/28/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2019-138,100,15,"50,000",0,0,"1,664",05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-249,600,01,"1,000,000",0,0,"10,727.6",05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
REGION OF QUEENS MUNICIPALITY,074-19,110,01,"1,781,800",0,0,"7,557",05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF AMHERST,B2019-030,100,03,"100,000",0,0,0,05/30/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF ANTIGONISH,TA-C2019-014,100,01,"200,000",0,0,0,05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF ANTIGONISH,TA-C2019-022,100,03,"64,238",0,0,0,05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,C2019-051,100,01,"136,019",0,0,0,05/23/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,C2019-042,100,01,"130,705",0,0,0,05/10/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,C2019-055,500,03,"900,000",0,0,0,05/31/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF MULGRAVE,C2019-032,100,03,"50,000",0,0,0,05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF NEW GLASGOW,NG-C2019-017,100,01,"420,000",0,0,0,05/23/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF NEW GLASGOW,NG-B2019-003,100,03,"100,000",0,0,0,05/02/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF PICTOU,PI-C2019-009,100,01,"600,000",0,0,0,05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF PICTOU,PI-C2019-010,100,15,"65,000",0,0,0,05/15/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF SHELBURNE,20190040,500,10,"80,000",0,0,0,05/17/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF TRURO,C054-2019,100,01,"169,000",0,0,884,05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF TRURO,C053-2019,100,01,"400,000",0,0,"1,584",05/21/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WINDSOR,C2019-085,100,01,"112,000",0,0,"1,184",05/07/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WINDSOR,C2019-081,100,01,"127,000",0,0,"1,184",05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WINDSOR,C2019-083,100,01,"127,000",0,0,"1,184",05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WINDSOR,C2019-060,100,01,"127,000",0,0,"1,184",05/07/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WINDSOR,C2019-058,100,01,"127,000",0,0,"1,184",05/07/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WINDSOR,C2019-075,100,01,"100,000",0,0,520,05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WINDSOR,C2019-079,100,01,"112,000",0,0,"1,184",05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WINDSOR,C2019-134,100,03,"50,000",0,0,0,05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WOLFVILLE,DP-017-2019,110,01,"415,000",1,0,"4,440",05/01/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WOLFVILLE,DP-027-2019,110,01,"600,000",1,0,"4,300",05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WOLFVILLE,DP-026-2019,110,01,"240,000",1,0,"1,898",05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF WOLFVILLE,DP-022-2019,210,01,"250,000",2,0,"2,476",05/24/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF YARMOUTH,C2019-046,500,01,"511,000",0,0,0,05/02/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF YARMOUTH,C2019-054,500,03,"525,764",0,0,0,05/14/2019 12:00:00 AM,06/01/2019 07:30:40 AM
TOWN OF YARMOUTH,C2019-056,500,03,"3,500,000",0,0,0,05/16/2019 12:00:00 AM,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,B010007,100,03,"50,000",0,0,0,04/30/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD010005,110,01,"179,640",1,0,"1,497",04/30/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009996,110,01,"202,800",1,0,"1,690",04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009999,110,01,"456,000",1,0,"3,800",04/18/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009997,110,01,"259,920",1,0,"2,166",04/25/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009935,110,01,"253,440",1,0,"2,112",03/28/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009942,110,01,"320,160",1,0,"2,668",03/28/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009979,110,01,"307,200",1,0,"2,560",04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009994,110,01,"303,360",1,0,"2,528",04/15/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009974,110,01,"112,320",1,0,936,04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009967,110,01,"204,000",1,0,"1,700",04/16/2019 12:00:00 AM,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,BD009977,110,03,"99,000",0,0,600,04/17/2019 12:00:00 AM,05/01/2019 08:33:08 AM
