Province,City or Region,Source,Open,Complete,Provider,License or Terms of Use,Attribution Statement
BC,Dawson Creek,https://www.bctransit.com/data/gtfs/dawson-creek.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Fort St. John,https://www.bctransit.com/data/gtfs/fort-st-john.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Fraser Valley Express FVX,https://www.bctransit.com/data/gtfs/internet/FVX1909-GTFS_20190816-20200905_v20190816.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Kamloops,https://www.bctransit.com/data/gtfs/kamloops.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Kelowna,https://www.bctransit.com/data/gtfs/kelowna.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Nanaimo,https://www.bctransit.com/data/gtfs/nanaimo.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Prince George,https://www.bctransit.com/data/gtfs/prince-george.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Squamish,https://www.bctransit.com/data/gtfs/squamish.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Sunshine Coast,https://www.bctransit.com/data/gtfs/sunshine-coast.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Vancouver,https://developer.translink.ca/ServicesGtfs/GtfsData,Not Open,Yes,Translink,https://developer.translink.ca/ServicesGtfs/GtfsData,Contains Information freely available from BC Transit under an Open Data License.
BC,Vernon,https://www.bctransit.com/data/gtfs/vernon.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Victoria,https://www.bctransit.com/data/gtfs/victoria.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,West Kootenay,https://www.bctransit.com/data/gtfs/west-kootenay.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Whistler,https://www.bctransit.com/data/gtfs/whistler.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
MB,Winnipeg,http://gtfs.winnipegtransit.com/google_transit.zip,Open,Yes,Winnipeg Transit,https://api.winnipegtransit.com/home/api/v3,"Data provided by permission of Winnipeg Transit, a department of The City of Winnipeg"
NB,Fredericton,http://gtransit.fredericton.ca/google_transit.zip,Open,Yes,City of Fredericton,https://www2.gnb.ca/content/dam/gnb/Departments/gs-sg/pdf/OpenDataPolicy.pdf,Contains information made freely available as open data by the City of Fredericton.
NB,Moncton,https://www7.moncton.ca/opendata/google_transit.zip,Open,Yes,City of Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEBAaDBiylLsl4lojQeQYRiK3A3C0ZHekDJapSj7oGkEXRwzMLZmmxgTgmRchkgJA1mM2gKedZF6ktXCHh6NGFWql%2BUwRyU2UeKM2uCXkUGNi6SnII6fidhj7K6pqxxWweCadgV0OxZAIR30flUHP%2F0zJ7TtRgpG2uCASNPNVmAK0GaXAMN%2FCG92n9MKZp9u4zK1ZTV%2FxxGy70GYollgrOYEKSzqb8I%2BjwCwFqZWjP2zeHr8yJ8vQ23aG8GLBnuZmUQTFCMzgTwu%2BIIidIJkVJrssjCK2WAX5walWr00N2hLLxNPe1qFUG4RkfYSAFz4nYhQtXEalBU1yk4OY6lSuPncA9Qpiiw0GhCDf%2BzzTy2aflhPLUnkJoAyFbUWug%2Bc2aBFwcomgIOaoYBo%2BrBlxjARGnHqxQKB%2FTljv8b3AGrGeDLUl%2BcpfHni4QiSBUaJO%2BtV3v2Rtaj%2BuO27jk79Y%2FcBGoGFiAOH2XMWIr4jhTfohSOvyCrV%2FyumSzux17ol%2Bvv9V91qwqrhlU5%2F3RWgzstXidox9DzNtrKbMMFfrnGeMB7umOLD%2FlIrZr7ZCDsFZxgJ1H4BxJu5i5cb3ABJnKlsaYkCQa5Uq%2B4QouMiH4gU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190118T154418Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEXBK46OOY%2F20190118%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=8c7b365ac0b180ba01ed8a206eeba484c0d3c02f5b6dc3ab8c37d075108148e7,Contains information frely available under license by the City of Moncton.
NB,Saint John,https://www.arcgis.com/sharing/rest/content/items/d6f4783521364429a2e51a64c60ae234/data,Open,Yes,City of Saint John,http://catalogue-saintjohn.opendata.arcgis.com/datasets/d6f4783521364429a2e51a64c60ae234,Contains information licensed under the Open Government Licence – City of Saint John
NL,St. John's,http://www.metrobustransit.ca/insidepages.asp,Not Open,Yes,MetroBus Transit,http://www.metrobustransit.ca/insidepages.asp,"Data used in this product or service is provided by Metrobus Transit, however Metrobus Transit assumes no responsibility for the accuracy or currency of the Data used in this product or service"
NS,Halifax,http://gtfs.halifax.ca/static/google_transit.zip,Open,Yes,Halifax Regional Municipality,https://www.halifax.ca/home/open-data/open-data-license,Contains information licenced under the Open Government Licence—Halifax.
NT,Yellowknife,https://cityexplorer.yellowknife.ca/gtfs/google_transit.zip,Unknown,Yes,City of Yellowknife,Unknown,Downloaded from the webpage of the City of Yellowknife.
ON,Barrie,http://www.myridebarrie.ca/gtfs/google_transit.zip,Open,Yes,Barrie Transit,https://www.barrie.ca/Living/Getting%20Around/BarrieTransit/Pages/Barrie-GTFS.aspx,Contains information licensed from Barrie Transit under the terms of the accompanying license agreement.
ON,Bradford West Gwillimbury,Provided in Email,Not Open,Yes,City of Bradford West Gwillimbury,Unknown,Provided by the City of Bradford West Gwillimbury
ON,Brampton,http://www.brampton.ca/EN/City-Hall/OpenGov/Open-Data-Catalogue/Documents/Google_Transit.zip,Open,Yes,City of Brampton,http://www.brampton.ca/EN/City-Hall/OpenGov/Open-Data-Catalogue/Pages/Terms-of-Use.aspx,Contains information licensed by the City of Brampton under the terms and condtions of the provided link.
ON,Brockville,Provided in Email,Not Open,,City of Brockville,Unknown,Provided by the City of Brockville.
ON,Burlington,http://opendata.burlington.ca/gtfs-rt/GTFS_Data.zip,Open,Yes,City of Burlington,https://navburl-burlington.opendata.arcgis.com/datasets/transit-schedule-data-gtfs,Provided by the City of Burlington under the terms of the license in the accompanying link.
ON,"Cambridge, Kitchener, and Waterloo",https://www.regionofwaterloo.ca/opendatadownloads/GRT_GTFS.zip,Open,Yes,Regional Municipality of Waterloo,https://www.regionofwaterloo.ca/en/regional-government/open-data.aspx,Contains information provided by the Regional Municipality of Waterloo under licence
ON,Cornwall,Provided in Email,Not Open,Yes,City of Cornwall,Unknown,Provided by the City of Cornwall.
ON,Durham Municipal Region,https://maps.durham.ca/OpenDataGTFS/GTFS_Durham_TXT.zip,Open,Yes,Region of Durham,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Contains public sector Information made available under The Regional Municipality of Durham's Open Data Licence
ON,GO Transit,https://www.gotransit.com/static_files/gotransit/assets/Files/GO_GTFS.zip,Open,Yes,Go Transit,https://www.gotransit.com/en/information-resources/software-developers,"Data used in this product or service is provided with the permission of Metrolinx. Metrolinx makes no representations or warranties of any kind, express or implied, with respect to the Data and assumes no responsibility for the accuracy or currency of the data used in this product or service."
ON,Guelph,http://data.open.guelph.ca/datafiles/guelph-transit/guelph_transit_gtfs.zip,Open,Yes,City of Guelph,http://data.open.guelph.ca/pages/open-government-licence,Contains information provided by the City of Guelph under an open government license
ON,Hamilton,http://googlehsrdocs.hamilton.ca/,Unknown,Yes,City of Hamilton,Unknown,GTFS data obtained from webpage of City of Hamilton (http://googlehsrdocs.hamilton.ca/) under unknown terms and conditions.
ON,Kingston,https://api.cityofkingston.ca/gtfs/gtfs.zip,Open,Yes,City of Kingston,https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf,Contains information licensed under the Open Data Licence – City of Kingston
ON,London,http://www.londontransit.ca/gtfsfeed/google_transit.zip,Open,Yes,London Transit,http://www.londontransit.ca/open-data/ltcs-open-data-terms-of-use/,Contains open data from the LTC available under the accompanying license.
ON,Milton,http://www.miltontransit.ca/en/resourcesgeneral/gtfs/gtfs-milton.zip,Open,Yes,City of Milton,https://www.milton.ca/en/townhall/resources/OpenDataAgreement.pdf,Contains public sector Datasets made available under the Town of Milton's Open Data License v.1
ON,Mississauga,https://www.miapp.ca/GTFS/google_transit.zip,Open,Yes,City of Mississauga,http://www5.mississauga.ca/research_catalogue/CityofMississauga_TermsofUse.pdf,Contains Information freely available from the City of Mississauga.
ON,Niagara Region,https://maps.niagararegion.ca/googletransit/NiagaraRegionTransit.zip,Open,Yes,Niagara Region,https://niagaraopendata.ca/pages/open-government-license-2-0-niagara-region,Contains information licensed under the Open Government Licence - Niagara Region
ON,Oakville,http://opendata.oakville.ca/Oakville_Transit_GTFS/Google_Transit.zip,Open,Yes,City of Oakville,https://www.oakville.ca/data/open_data_licence.html,Contains information licensed under the Open Government Licence — Town of Oakville.
ON,Orangeville,Provided in Email,Not Open,Yes,City of Orangeville,Unknown,Provided by the City of Orangeville.
ON,Orillia,Provided in Email,Not Open,Yes,City of Orillia,Unknown,Provided by the City of Orillia.
ON,Ottawa,http://www.octranspo1.com/files/google_transit.zip,Open,Yes,City of Ottawa,https://ottawa.ca/en/city-hall/get-know-your-city/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence – City of Ottawa.
ON,Saint Albert,https://stalbert.ca/uploads/files-zip/google_transit.zip,Open,Yes,City of Saint Albert,https://stalbert.ca/city/transit/rider-tools/open-data-gtfs/,oute and arrival data used in this product or service is provided by permission of the City of St. Albert. The City of St. Albert assumes no responsibility for the accuracy or currency of the Data used in this product or service.
ON,Sault Ste Marie,Provided in Email,Not Open,Yes,City of Sault Ste Marie,Unknown,Provided by the City of Sault Ste Marie.
ON,Sudbury,http://www.greatersudbury.ca/image/opendata/gtfs.zip,Open,Yes,City of Sudbury,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/,Contains information licensed under the Open Data Licence – City of Greater Sudbury.
ON,Thunder Bay,http://api.nextlift.ca/gtfs.zip,Open,Yes,City of Thunder Bay,No Terms Listed,Contains information freely available from the City of Thunder Bay.
ON,Toronto,http://opendata.toronto.ca/TTC/routes/OpenData_TTC_Schedules.zip,Open,Yes,City of Toronto,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,Contains information licensed under the Open Government Licence – Toronto.
ON,UP Express,https://www.gotransit.com/static_files/gotransit/assets/Files/UP-GTFS.zip,Open,Yes,Go Transit,https://www.gotransit.com/en/information-resources/software-developers,"Data used in this product or service is provided with the permission of Metrolinx. Metrolinx makes no representations or warranties of any kind, express or implied, with respect to the Data and assumes no responsibility for the accuracy or currency of the data used in this product or service."
ON,Windsor,https://opendata.citywindsor.ca/Uploads/google_transit.zip,Open,Yes,City of Windsor,https://citywindsor.ca/opendata/Documents/OpenDataTermsofUse.pdf,Contains information licensed under the Open Government Licence – The Corporation of the City of Windsor.
ON,York County,http://www.yrt.ca/google/google_transit.zip,Open,Yes,York County,https://www.yrt.ca/en/about-us/open-data-licence-agreement.aspx,Contains public transit Information made available under YRT's Open Data Licence
QC,Chambly-Richelieu-Carignan,https://exo.quebec/xdata/citcrc/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Gatineau,http://www.contenu.sto.ca/GTFS/GTFS.zip,Open,Yes,Société de transport de l'Outaouais ,http://www.sto.ca/index.php?id=598&L=en,This service incorporates the open data provided by the Société de transport de l'Outaouais (STO). The STO is not responsible for the accuracy of the information generated by this application. Last update: YYYY-MM-DD.
QC,Haut-Saint-Laurent,https://exo.quebec/xdata/cithsl/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,La Presqu'ile,https://exo.quebec/xdata/citpi/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Lanaudiere,https://www.rtm.quebec/xdata/crtl/google_transit.zip,Open,Yes,Réseau de transport métropolitain (RTM),https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Réseau de transport métropolitain (RTM) under a Creative Commons 4.0 CC-By license.
QC,L'Assomption,https://exo.quebec/xdata/mrclasso/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Laurentides,https://exo.quebec/xdata/citla/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Laval,http://www.stl.laval.qc.ca/opendata/GTF_STL.zip,Open,Yes,STL,https://www.stl.laval.qc.ca/en/stl-synchro/developers/,Contains information made available by the STL under the terms of use at the accompanying link.
QC,Le Richelain,https://exo.quebec/xdata/citlr/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Lévis,https://www.stlevis.ca/sites/default/files/public/assets/gtfs/transit/gtfs_stlevis.zip,Open,Yes,Société de transport de Lévis,https://www.stlevis.ca/stlevis/donnees-ouvertes,Contains information made available by the Société de transport de Lévis under a Creative Commons 4.0 CC-By license.
QC,Longueuil,http://www.rtl-longueuil.qc.ca/transit/latestfeed/RTL.zip,Not Open,Yes,le Réseau de transport de Longueui,http://www.rtl-longueuil.qc.ca/Contenu.aspx?NavID=1158,Contains information made freely available by the Réseau de transport de Longueui.
QC,Montreal,http://www.stm.info/sites/default/files/gtfs/gtfs_stm.zip,Open,Yes,Société de transport de Montréal,http://www.stm.info/en/about/developers/terms-use,Contains information made available by the Société de transport de Montréal under a Creative Commons 4.0 CC-By license.
QC,Mont-Tremblant,https://www.villedemont-tremblant.qc.ca/public_upload/files/citoyen/transport/GTFS_TCMT.zip,Unknown,Yes,Ville de Mont-Tremblant,Unknown,GTFS data downloaded from the webpage of the City of Mont-Tremblant.
QC,MRC de Deux Montaignes,https://www.rtm.quebec/xdata/mrc2m/google_transit.zip,Open,Yes,RTM,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Rimouski,https://www.donneesquebec.ca/recherche/fr/dataset/6715ead7-147a-4dcf-a534-f4e9e428905e/resource/f66c4d42-9541-4139-a75f-66cbd8785843/download/rimouskibus.zip,Open,Yes,Ville de Rimouski,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Government of Québec under a Creative Commons 4.0 CC-By license.
QC,Quebec City,https://www.rtcquebec.ca/Portals/0/Admin/DonneesOuvertes/googletransit.zip,Open,Yes,Réseau de transport de la Capitale,https://www.rtcquebec.ca/Default.aspx?tabid=192&language=en-CA,"Application, product, or service incorporating public information from Réseau de transport de la Capitale."
QC,Roussillon,https://exo.quebec/xdata/citrous/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,RTM Train,http://www.rtm.quebec/xdata/trains/google_transit.zip,Open,Yes,RTM,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Government of Québec under a Creative Commons 4.0 CC-By license.
QC,Saguenay,Provided in Email,Not Open,Yes,STS,Unknown,Provided by the City of Saguenay.
QC,Sainte-Julie,https://exo.quebec/xdata/omitsju/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Shawinigan,http://jmap.shawinigan.ca/doc/photos/google_transit.zip,Open,Yes,Government of Québec,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Government of Québec under a Creative Commons 4.0 CC-By license.
QC,Sherbrooke,https://www.donneesquebec.ca/recherche/dataset/e82b9141-09d8-4f85-af37-d84937bc2503/resource/b7f43b2a-2557-4e3b-ba12-5a5c6d4de5b1/download/gtfsstsherbrooke.zip,Open,Yes,Government of Québec,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Government of Québec under a Creative Commons 4.0 CC-By license.
QC,Sorel-Varennes,https://exo.quebec/xdata/citsv/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Sud-ouest,https://exo.quebec/xdata/citso/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Terrebonne-Mascouche,https://exo.quebec/xdata/mrclm/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Vallee du Richelieu,https://exo.quebec/xdata/citvr/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
SK,Regina,https://opengis.regina.ca/reginagtfs/google_transit.zip,Open,Yes,City of Regina,http://open.regina.ca/pages/terms-of-use,Contains information licensed under the Open Government Licence – City of Regina.
SK,Saskatoon,http://apps2.saskatoon.ca/app/data/google_transit.zip,Open,Yes,City of Saskatoon,http://opendata-saskatoon.cloudapp.net/TermsOfUse/TermsOfUse,Contains information made freely available as open data by the City of Saskatoon.
YT,Whitehorse,https://ww3.whitehorse.ca/Features/GIS/GoogleTransit/Google_transit_feed_docs.zip,Not Open,Yes,City of Whitehorse,https://data.whitehorse.ca/,Contains information from the City of Whitehorse under the accompanying license.
