INSTAL_COD,INSTAL_NOM,INSTAL_N_1,ETAB_CODE,ETAB_NOM,ETAB_NOM_A,RSS_CODE,RSS_NOM,ADRESSE,CASE_POST,CODE_POSTA,MUN_CODE,MUN_NOM,CLSC_CODE,CLSC_NOM,MRC_CODE,MRC_NOM,RLS_CODE,RLS_NOM,RUIS_CODE,RUIS_NOM,STATUT_COD,MD_CONS_CO,MD_FINAN_C,DESIGN_MIN,INSTANCE,DATE_INCOR,DATE_OUVER,LONGITUDE,LATITUDE,CHPSY,CHSGS,CHSLD,CLSC,CPEJ,CRDITED,CRDPA,CRDPM,CRDPV,CRDPL,CRJDA,CRMDA,CRD,DATE_MAJ
"12453676","CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES","CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES","12453676","Clinique communautaire de Pointe St-Charles","Clinique communautaire de Pointe St-Charles","06","Montréal","500, avenue Ash"," ","H3K2R4","66023","Montréal","06314","Pointe-Saint-Charles","660","Montréal","0631","RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles","2","RUISSS Université de Montréal","2","4","2"," ","N","2010-02-24","1974-01-01",-73.556892395,45.4783477783,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12469490","SERVICES D'HEBERGEMENT INTERNES SERVICES DE READAPTATION EXTERNES - SOUS-REGION D'AMOS","SERVICES D'HEBERGEMENT INTERNES - SOUS-REGION D'AMOS","11045226","Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue","CISSS de l'Abitibi-Témiscamingue","08","Abitibi-Témiscamingue","841, 3e Rue Ouest"," ","J9T2T4","88055","Amos","08121","Abitibi","880","Abitibi","0812","RLS de l'Abitibi","3","RUISSS Université McGill","1","2","1"," ","N","","1974-01-01",-78.1251831055,48.5773849487,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12475976","HÔPITAL DU SACRÉ-CŒUR DE MONTRÉAL","HÔPITAL DU SACRÉ-CŒUR DE MONTRÉAL","11045192","Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal","CIUSSS du Nord-de-l'Île-de-Montréal","06","Montréal","5400, boulevard Gouin Ouest"," ","H4J1C5","66023","Montréal","06411","Bordeaux-Cartierville","660","Montréal","0641","RLS du Nord de l'Île - Saint-Laurent","2","RUISSS Université de Montréal","1","2","1"," ","N","","1978-10-19",-73.7140350342,45.5325775146,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12562179","MAISON ELIZABETH","MAISON ELIZABETH","12562179","Maison Elizabeth","Maison Elizabeth","06","Montréal","2131, avenue de Marlowe"," ","H4A3L4","66023","Montréal","06212","Notre-Dame-de-Grâce - Montréal-Ouest","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","2","4","1"," ","N","2010-02-24","1974-01-01",-73.606880188,45.4752159119,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","2021-12-03"
"12582292","CENTRE MIRIAM","CENTRE MIRIAM","12582292","Centre Miriam","Centre Miriam","06","Montréal","8160, chemin Royden"," ","H4P2T2","66072","Mont-Royal","06222","Mont-Royal","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","4","1"," ","N","2007-04-04","1974-01-01",-73.6618652344,45.4963607788,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12599213","HÔPITAL GÉNÉRAL DE MONTRÉAL","HÔPITAL GÉNÉRAL DE MONTRÉAL","12599213","Centre universitaire de santé McGill","CUSM","06","Montréal","1650, avenue Cedar"," ","H3G1A4","66023","Montréal","06225","Métro","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","2","1","1","N","2007-04-04","1974-01-01",-73.5890350342,45.4970474243,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12653192","CHSLD HEATHER I","CHSLD HEATHER I","12653192","Centre d'hébergement et de soins de longue durée Heather Inc.","CHSLD Heather Inc.","14","Lanaudière","3931, Lakeshore Drive"," ","J0K1S0","62037","Rawdon","14111","Matawinie","620","Matawinie","1411","RLS de Lanaudière-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24","1978-09-29",-73.7022247314,46.0508613586,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12685608","HÔPITAL GÉNÉRAL JUIF","HÔPITAL GÉNÉRAL JUIF","12685608","L'Hôpital général juif Sir Mortimer B. Davis","L'Hôpital général juif Sir Mortimer B. Davis","06","Montréal","3755, chemin de la Côte-Sainte-Catherin"," ","H3T1E2","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","4","N","2007-05-07","1974-01-01",-73.6288070679,45.4978103638,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12704573","LA RÉSIDENCE DE LACHUTE","LA RÉSIDENCE DE LACHUTE","12704573","La résidence de Lachute","La résidence de Lachute","15","Laurentides","377, rue Principale"," ","J8H1Y1","76020","Lachute","15141","Argenteuil","760","Argenteuil","1514","RLS d'Argenteuil","2","RUISSS Université de Montréal","1","4","1"," ","N","2007-04-04","1974-01-01",-74.339263916,45.6566467285,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12730628","CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA","CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA","12730628","Centre de santé Tulattavik de l'Ungava","Centre de santé Tulattavik de l'Ungava","17","Nunavik","Kuujjuaq","case postale 149","J0M1C0","99095","Kuujjuaq","17012","Ungava","992","Administration régionale Kativik"," "," ","3","RUISSS Université McGill","1","2","1"," ","N","2010-05-03","1974-01-01",-68.4052734375,58.1070480347,"Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12745725","CENTRE HOSPITALIER DE ST. MARY","CENTRE HOSPITALIER DE ST. MARY","12745725","Centre hospitalier de St. Mary","Centre hospitalier de St. Mary","06","Montréal","3830, avenue Lacombe"," ","H3T1M5","66023","Montréal","06224","Côte-des-Neiges","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","6","1","4","N","2007-04-04","1974-01-01",-73.6241378784,45.4949417114,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12797577","INSTITUT NATIONAL DE PSYCHIATRIE LÉGALE PHILIPPE-PINEL","INSTITUT NATIONAL DE PSYCHIATRIE LÉGALE PHILIPPE-PINEL","12797577","Institut national de psychiatrie légale Philippe-Pinel","Institut national de psychiatrie légale Philippe-Pinel","06","Montréal","10905, boulevard Henri-Bourassa Est"," ","H1C1H1","66023","Montréal","06521","Rivière-des-Prairies","660","Montréal","0652","RLS de Rivière-des-Prairies - Anjou - Montréal-Est","2","RUISSS Université de Montréal","1","4","1"," ","N","","1964-01-23",-73.5336151123,45.6560554504,"Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12892303","L'HÔPITAL CHINOIS DE MONTRÉAL (1963)","L'HÔPITAL CHINOIS DE MONTRÉAL (1963)","12892303","L'Hôpital chinois de Montréal (1963)","L'Hôpital chinois de Montréal (1963)","06","Montréal","189, avenue Viger Est"," ","H2X3Y9","66023","Montréal","06324","Montréal - Centre-Ville","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","1","4","1"," ","N","2007-05-04","1974-01-01",-73.5581207275,45.5095558167,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12934659","HÔPITAL MAISONNEUVE-ROSEMONT","HÔPITAL MAISONNEUVE-ROSEMONT","11045200","Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal","06","Montréal","5415, boulevard de l'Assomption"," ","H1T2M4","66023","Montréal","06531","Rosemont","660","Montréal","0653","RLS de Hochelaga - Mercier-Ouest - Rosemont","2","RUISSS Université de Montréal","1","2","1"," ","N","","1974-01-01",-73.5584640503,45.5742149353,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"12979662","PAVILLON STE-MARIE","PAVILLON STE-MARIE","12979662","Pavillon Ste-Marie Inc.","Pavillon Ste-Marie Inc.","15","Laurentides","45, rue du Pavillon"," ","J7Y3R6","75017","Saint-Jérôme","15161","La Rivière-du-Nord - Mirabel","750","La Rivière-du-Nord","1516","RLS de la Rivière-du-Nord - Mirabel-Nord","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24","1974-01-01",-74.0083770752,45.8080062866,"Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13000732","LES CEDRES-CENTRE D'ACCUEIL POUR PERSONNES AGEES","LES CEDRES-CENTRE D'ACCUEIL POUR PERSONNES AGEES","13000732","Les cèdres - Centre d'accueil pour personnes agées","Les cèdres - Centre d'accueil pour personnes agees","06","Montréal","1275, boulevard de la Côte-Vertu","suite 200","H4L4V2","66023","Montréal","06412","Saint-Laurent","660","Montréal","0641","RLS du Nord de l'Île - Saint-Laurent","2","RUISSS Université de Montréal","2","4","2"," ","N","2010-02-24","1974-01-01",-73.6799240112,45.5170021057,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13146477","CENTRE HOSPITALIER GERIATRIQUE MAIMONIDES","CENTRE HOSPITALIER GERIATRIQUE MAIMONIDES","13146477","La corporation du Centre hospitalier gériatrique Maimonides","La corporation du Centre hosp. gériatrique Maimonides","06","Montréal","5795, avenue Caldwell"," ","H4W1W3","66058","Côte-Saint-Luc","06211","Côte-Saint-Luc","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","1","4","1"," ","N","2007-04-03","1974-01-01",-73.6684265137,45.4715499878,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13317037","PAVILLON BELLEVUE","PAVILLON BELLEVUE","13317037","Pavillon Bellevue Inc.","Pavillon Bellevue Inc.","12","Chaudière-Appalaches","99, rue Monseigneur-Bourget"," ","G6V9V2","25213","Lévis","12113","Desjardins","251","Lévis","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","2","3","2"," ","N","2010-02-24","1974-01-01",-71.1567382813,46.819103241,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13388905","CENTRE METROPOLITAIN DE CHIRURGIE PLASTIQUE","CENTRE METROPOLITAIN DE CHIRURGIE PLASTIQUE","13388905","Centre métropolitain de chirurgie plastique Inc.","Centre métropolitain de chirurgie plastique Inc.","06","Montréal","999, rue de Salaberry"," ","H3L1L2","66023","Montréal","06421","Ahuntsic","660","Montréal","0642","RLS d'Ahuntsic - Montréal-Nord","2","RUISSS Université de Montréal","2","3","4"," ","N","2010-02-24","1976-01-01",-73.6929397583,45.5454483032,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13469796","HÔPITAL MONT SINAÏ","HÔPITAL MONT SINAÏ","13469796","Hôpital Mont-Sinai","Hôpital Mont-Sinai","06","Montréal","5690, boulevard Cavendish"," ","H4W1S7","66058","Côte-Saint-Luc","06211","Côte-Saint-Luc","660","Montréal","0621","RLS de Côte-Saint-Luc - NDG - Montréal-Ouest","3","RUISSS Université McGill","1","6","1"," ","N","2007-04-03","1974-01-01",-73.6573410034,45.4738426208,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13578448","ACCUEIL DU RIVAGE","ACCUEIL DU RIVAGE","13578448","Accueil du Rivage Inc.","Accueil du Rivage Inc.","16","Montérégie","1008, rue du Rivage","case postale 60","J0L1R0","57075","Saint-Antoine-sur-Richelieu","16221","Saint-Bruno - Beloeil - Saint-Hilaire","570","La Vallée-du-Richelieu","1622","RLS de Richelieu-Yamaska","4","RUISSS Université de Sherbrooke","2","1","2"," ","N","2010-02-24","1974-01-30",-73.1733551025,45.7780685425,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"13625587","MANOIR ST-PATRICE","MANOIR ST-PATRICE","13625587","Manoir St-Patrice inc.","Manoir St-Patrice inc.","13","Laval","3615, boulevard Perron"," ","H7V1P4","65005","Laval","13114","Chomedey","650","Laval","1311","RLS de Laval","2","RUISSS Université de Montréal","2","3","2"," ","N","2010-02-24","1975-03-12",-73.7410354614,45.5418167114,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"15103666","INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE MONTRÉAL","INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE MONTRÉAL","11045184","Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal","CIUSSS du Centre-Sud-de-l'Île-de-Montréal","06","Montréal","4565, chemin Queen-Mary"," ","H3W1W5","66023","Montréal","06223","Snowdon","660","Montréal","0622","RLS de Côte-des-Neiges - Métro - Parc-Extension","3","RUISSS Université McGill","1","2","1"," ","N","","1978-01-18",-73.6238174438,45.4910316467,"Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"16322059","LA MAISON MICHEL SARRAZIN","LA MAISON MICHEL SARRAZIN","16322059","La Maison Michel Sarrazin","La Maison Michel Sarrazin","03","Capitale-Nationale","2101, chemin Saint-Louis"," ","G1T1P5","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","4","6"," ","N","2010-02-24","1985-02-15",-71.2515945435,46.7734794617,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"17524224","MANOIR BEACONSFIELD","MANOIR BEACONSFIELD","17524224","88980 Canada Inc.","88980 Canada Inc.","06","Montréal","34, avenue Woodland"," ","H9W4V9","66107","Beaconsfield","06111","Lac Saint-Louis","660","Montréal","0611","RLS de Pierrefonds - Lac Saint-Louis","3","RUISSS Université McGill","2","6","4"," ","N","2010-02-24","1985-05-28",-73.8835525513,45.4189491272,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"24266926","MANOIR SOLEIL","MANOIR SOLEIL","24266926","Manoir Soleil Inc.","Manoir Soleil Inc.","16","Montérégie","125, rue Daigneault"," ","J3L1G7","57005","Chambly","16121","Chambly-Carignan-Marieville","570","La Vallée-du-Richelieu","1612","RLS du Haut-Richelieu - Rouville","4","RUISSS Université de Sherbrooke","2","1","4"," ","N","2010-02-24","1987-01-30",-73.2959899902,45.4613571167,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"25457094","HÔPITAL STE-MONIQUE","HÔPITAL STE-MONIQUE","25457094","Hôpital Ste-Monique inc.","Hopital Ste-Monique Inc.","03","Capitale-Nationale","4805, boulevard Wilfrid-Hamel"," ","G1P2J7","23027","Québec","03122","Duberger-Les Saules-Lebourgneuf","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","1","2"," ","N","2010-02-24","1988-02-23",-71.3263092041,46.8044166565,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"26370254","CENTRE D'ACCUEIL SAINT-JOSEPH DE LÉVIS","CENTRE D'ACCUEIL SAINT-JOSEPH DE LÉVIS","26370254","Centre d'accueil Saint-Joseph de Lévis Inc.","Centre d'accueil Saint-Joseph de Lévis Inc.","12","Chaudière-Appalaches","5445, rue Saint-Louis"," ","G6V4G9","25213","Lévis","12113","Desjardins","251","Lévis","1211","RLS Alphonse-Desjardins","1","RUISSS Université Laval","2","1","2"," ","N","2010-02-24","1989-08-23",-71.1886901855,46.7991447449,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"28609360","RESIDENCE SOREL-TRACY","RESIDENCE SOREL-TRACY","28609360","Résidence Sorel-Tracy Inc.","Résidence Sorel-Tracy Inc.","16","Montérégie","4025, rue Frontenac"," ","J3R4G8","53052","Sorel-Tracy","16231","Bas Richelieu","530","Pierre-De Saurel","1623","RLS Pierre-De Saurel","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24","1991-03-31",-73.1436767578,46.0282249451,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"28694321","CENTRE HOSPITALIER SAINT-FRANÇOIS","CENTRE HOSPITALIER SAINT-FRANÇOIS","28694321","Centre hospitalier Saint-François inc.","Centre hospitalier Saint-François inc.","03","Capitale-Nationale","1604, 1re Avenue"," ","G1L3L6","23027","Québec","03126","Limoilou-Vanier","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","1","2"," ","N","2010-02-24","1992-10-28",-71.2359771729,46.8290405273,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"28876449","CHSLD DE LA MAISON-LEGAULT","CHSLD DE LA MAISON LEGAULT","28876449","Centre d'hébergement et de soins de longue durée de La Maison Legault inc.","CHSLD de La Maison Legault inc.","03","Capitale-Nationale","3035, chemin Saint-Louis"," ","G1W1R5","23027","Québec","03123","Sainte-Foy - Sillery","230","Québec","0312","RLS de Québec-Sud","1","RUISSS Université Laval","2","0","4"," ","N","2010-02-24","1990-11-01",-71.2886199951,46.7577552795,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"29490414","FOYER SAINTS-ANGES DE HAM-NORD","FOYER SAINTS-ANGES DE HAM-NORD","29490414","Foyer Saints-Anges de Ham-Nord Inc.","Foyer Saints-Anges de Ham-Nord Inc.","04","Mauricie et Centre-du-Québec","493, rue Principale","case postale 269","G0P1A0","39010","Ham-Nord","04181","Arthabaska","390","Arthabaska","0418","RLS d’Arthabaska-et-de-L’Érable","4","RUISSS Université de Sherbrooke","2","1","6"," ","N","2010-02-23","1992-04-01",-71.6477737427,45.9038162231,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"29530060","CHSLD BOURGET","CHSLD BOURGET","29530060","Centre d'hébergement et de soins de longue durée Bourget inc.","CHSLD Bourget inc.","06","Montréal","11570, rue Notre-Dame Est"," ","H1B2X4","66023","Montréal","06523","Pointe-aux-Trembles","660","Montréal","0652","RLS de Rivière-des-Prairies - Anjou - Montréal-Est","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24","1992-10-27",-73.4927597046,45.6338005066,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"29530078","CENTRE D'HÉBERGEMENT ET DE SOINS DE LONGUE DURÉE BUSSEY (QUÉBEC)","CHSLD BUSSEY (QUÉBEC)","29530078","Centre d'hébergement et de soins de longue durée Bussey (Québec) inc.","CHSLD Bussey (Québec) inc.","06","Montréal","2069, boulevard Saint-Joseph"," ","H8S4B7","66023","Montréal","06121","Lachine","660","Montréal","0612","RLS de Dorval - Lachine - Lasalle","3","RUISSS Université McGill","2","1","2"," ","N","2010-02-24","1992-10-29",-73.683303833,45.4330787659,"Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"29732187","VILLA MEDICA","VILLA MEDICA","29732187","Villa Medica Inc.","Villa Medica Inc.","06","Montréal","225, rue Sherbrooke Est"," ","H2X1C9","66023","Montréal","06321","Saint-Louis-du-Parc","660","Montréal","0632","RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc","2","RUISSS Université de Montréal","2","1","2"," ","N","2010-02-24","1993-03-31",-73.5687408447,45.5149726868,"Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","2021-12-03"
"29732203","POINT DE SERVICE DE LA MRC DE LA HAUTE-GASPESIE","POINT DE SERVICE DE LA MRC DE LA HAUTE-GASPESIE","11045242","Centre intégré de santé et de services sociaux de la Gaspésie","CISSS de la Gaspésie","11","Gaspésie–Îles-de-la-Madeleine","230, route du Parc"," ","G4V2C4","04037","Sainte-Anne-des-Monts","11121","Denis-Riverin","040","La Haute-Gaspésie","1112","RLS de la Haute-Gaspésie","1","RUISSS Université Laval","1","2","1"," ","N","","1993-03-17",-66.4782028198,49.1200561523,"Non","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","2021-12-03"
