,ObjectId,Provider_Type,Provider_Name,Status,Date,Hours,Date_Updated,Vaccine_Comments,Note,RHA_Name,Address,City,Province,Phone,geometry,LONGITUDE,LATITUDE
15,16,Pharmacy,Beausejour Coop Pharmacy,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,",,Interlake-Eastern,605 Park Ave Box 670,Beausejour,Manitoba,204-268-1806,POINT (-96.516093 50.061633),-96.516093,50.061633
16,17,Medical Clinic,Concordia Community Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1 1095 Concordia Ave,Winnipeg,Manitoba,204-667-9369,POINT (-97.06463079999997 49.91349860000003),-97.06463079999997,49.91349860000003
17,18,Medical Clinic,Mobile Medical Clinic (Prairie Mountain),Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Prairie Mountain Health,Ste Rose Primary Care Centre 603 1st Ave E,Ste Rose Du Lac,Manitoba,204-447-4080,POINT (-99.523066 51.059418),-99.523066,51.059418
18,19,Medical Clinic,Cinden Integrative Health & Wellness Institute,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,123 A Scurfield Blvd,Winnipeg,Manitoba,204-615-2170,POINT (-97.19501883199996 49.81690390200004),-97.19501883199996,49.81690390200004
19,20,Medical Clinic,HEW Primary Health Care Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Interlake-Eastern,31 First St S Box 1208,Beausejour,Manitoba,204-268-2288,POINT (-96.520517 50.060981),-96.520517,50.060981
20,21,Medical Clinic,The Pindea Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Northern,320 Fischer Ave Box 2560,The Pas,Manitoba,204-623-5443,POINT (-101.252521 53.822718),-101.252521,53.822718
21,22,Medical Clinic,Our Own Health Centre -  2SLGBTQ  Services,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,A 230 Osborne St,Winnipeg,Manitoba,204-417-1300,POINT (-97.140631 49.875702),-97.140631,49.875702
22,23,Medical Clinic,Southdale Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,45 Vermillion Rd,Winnipeg,Manitoba,204-253-6762,POINT (-97.07562900000001 49.854336),-97.07562900000001,49.854336
23,24,Medical Clinic,Winnipeg Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,425 St Mary Ave,Winnipeg,Manitoba,204-957-3210,POINT (-97.148081 49.889395),-97.148081,49.889395
24,25,Medical Clinic,Stafford Medical Clinic,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,",,Winnipeg,100 395 Stafford St,Winnipeg,Manitoba,204-272-3252,POINT (-97.15783079999994 49.86320510000007),-97.15783079999994,49.86320510000007
25,26,Medical Clinic,Health Sciences Centre ID Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,GD122 700 William Ave,Winnipeg,Manitoba,204-787-7188,POINT (-97.158445 49.904565),-97.158445,49.904565
26,27,Medical Clinic,Skinwise Dermatology,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,6 1170 Taylor Ave,Winnipeg,Manitoba,204-227-5185,POINT (-97.166034 49.852111),-97.166034,49.852111
27,28,Pharmacy,Beausejour Guardian Pharmacy,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",Walk-in,Interlake-Eastern,635 Park Ave,Beausejour,Manitoba,204-268-2323,POINT (-96.514734 50.062312),-96.514734,50.062312
28,29,Medical Clinic,Medina Medical Center & Pharmacy,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,715 St Mary's Rd,Winnipeg,Manitoba,204-256-2415,POINT (-97.11191883499998 49.85616876600005),-97.11191883499998,49.85616876600005
29,30,Medical Clinic,Dr. D. Kahanovitch,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,203 355 Ellice Ave,Winnipeg,Manitoba,204-943-7861,POINT (-97.14658799999999 49.894665),-97.14658799999999,49.894665
30,31,Medical Clinic,Quick Care Clinic Vermillion,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,170 115 Vermillion Rd,Winnipeg,Manitoba,204-940-8319,POINT (-97.071656 49.854408),-97.071656,49.854408
31,32,Medical Clinic,Sunshine Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,35 Lakewood Blvd,Winnipeg,Manitoba,204-220-1062,POINT (-97.07653119999998 49.85417590000003),-97.07653119999998,49.85417590000003
32,33,Medical Clinic,QuickCare West Portage,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,3250 Portage Ave,Winnipeg,Manitoba,204-940-8453,POINT (-97.292339 49.881127),-97.292339,49.881127
33,34,Medical Clinic,Mobile Medical Clinic (Interlake-Eastern),Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Interlake-Eastern,3 1020 Manitoba Ave,Selkirk,Manitoba,204-785-9761,POINT (-96.902557 50.157517),-96.902557,50.157517
34,35,Medical Clinic,Jefferson QuickCare Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,104 930 Jefferson Ave,Winnipeg,Manitoba,204-940-8508,POINT (-97.15842000000001 49.945318),-97.15842000000001,49.945318
35,36,Medical Clinic,Trucare Medical Clinic and Walk in,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Winnipeg,B 1450 McPhillips St,Winnipeg,Manitoba,204-691-0688,POINT (-97.15673769999995 49.94380540000003),-97.15673769999995,49.94380540000003
36,37,Medical Clinic,DC Obstetrics & Gynecology Group,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,47 Marion St,Winnipeg,Manitoba,204-925-3606,POINT (-97.126625 49.882154),-97.126625,49.882154
37,38,Medical Clinic,Health Hub Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,101 1020 Lorimer Blvd,Winnipeg,Manitoba,204-869-1915,POINT (-97.19987159999994 49.84303150000005),-97.19987159999994,49.84303150000005
38,39,Medical Clinic,United Medical Clinic,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,",,Winnipeg,940 Sherbrook St,Winnipeg,Manitoba,204-615-7700,POINT (-97.154177 49.906843),-97.154177,49.906843
39,40,Medical Clinic,Bei Jing Medical Centre,,,,2021-12-17T06:00:00+00:00,,,,A 2810 Pembina Hwy,Winnipeg,Manitoba,,,,
40,41,Medical Clinic,OSI Clinic - Deer Lodge Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,2nd Floor 215 Duffield St,Winnipeg,Manitoba,204-831-2132,POINT (-97.23646737299998 49.87860993800007),-97.23646737299998,49.87860993800007
41,42,Medical Clinic,Swan Valley Primary Care Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Prairie Mountain Health,1000 Main St Box 1480,Swan River,Manitoba,204-734-6600,POINT (-101.2612551999999 52.10567510000004),-101.2612551999999,52.10567510000004
42,43,Medical Clinic,Bond Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,B 218 Regent Ave W,Winnipeg,Manitoba,204-615-0833,POINT (-97.006818 49.894834),-97.006818,49.894834
43,44,Medical Clinic,East St. Paul Medical Centre,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Winnipeg,2665 Henderson Hwy,East St Paul,Manitoba, 204-615-9000.,POINT (-97.05788029999997 49.97340960000008),-97.05788029999997,49.97340960000008
44,45,Medical Clinic,Tiger Hills Medical Associates,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Prairie Mountain Health,64 Clark St Box 191,Treherne,Manitoba,204-723-2095,POINT (-98.69819189999998 49.63346480000007),-98.69819189999998,49.63346480000007
45,46,Pharmacy,BenefitsRx Pharmacy,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Southern Health-Santé Sud,66 Main St S,Carman,Manitoba,204-745-2781,POINT (-98.00205699999999 49.506257),-98.00205699999999,49.506257
46,47,Medical Clinic,Dr. Harvey B. Lee Medical Clinic - Medical Arts Building Branch,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,711 233 Kennedy St,Winnipeg,Manitoba,204-953-1260,POINT (-97.147158 49.890339),-97.147158,49.890339
47,48,Medical Clinic,Melita Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Prairie Mountain Health,147 Summit St Box 459,Melita,Manitoba,204-522-8353,POINT (-100.995632 49.27152),-100.995632,49.27152
48,49,Medical Clinic,Mobile Medical Clinic (Prairie Mountain - Dauphin),Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Prairie Mountain Health,25 Industrial Rd,Dauphin,Manitoba,204-447-4080,POINT (-100.607848 50.444174),-100.607848,50.444174
49,50,Medical Clinic,Henderson Highway Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,A 1417 Henderson Hwy,Winnipeg,Manitoba,204-333-5094,POINT (-97.085707 49.944584),-97.085707,49.944584
50,51,Medical Clinic,LifeSmart Medical Seven Oaks,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"6,",,Winnipeg,1840 Main St,Winnipeg,Manitoba,204-416-5433,POINT (-97.117009 49.939054),-97.117009,49.939054
51,52,Medical Clinic,Seine River Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,Unit 6 980 St Anne's Rd,Winnipeg,Manitoba,204-294-0235,POINT (-97.08133669999995 49.81884860000008),-97.08133669999995,49.81884860000008
52,53,Medical Clinic,Bison Family Medical Clinic on Pembina,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,6,",,Winnipeg,1686 Pembina Hwy,Winnipeg,Manitoba,204-202-1223,POINT (-97.15093459999997 49.82882430000006),-97.15093459999997,49.82882430000006
53,54,Medical Clinic,Chalmers Community Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,D 359 Johnson Ave W,Winnipeg,Manitoba,204-414-2944,POINT (-97.104617 49.911369),-97.104617,49.911369
54,55,Medical Clinic,Dr. F. Sikora - Winnipeg Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,3rd Floor 425 St Mary Ave,Winnipeg,Manitoba,204-957-3217,POINT (-97.148081 49.889395),-97.148081,49.889395
55,56,Medical Clinic,East Parkland Medical Group,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Prairie Mountain Health,603 1st Ave E,Ste Rose,Manitoba,204-447-2089,POINT (-99.523066 51.059418),-99.523066,51.059418
56,57,Medical Clinic,Pine Falls Primary Care Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Interlake-Eastern,37 Maple St,Pine Falls,Manitoba,204-367-4612,POINT (-96.21474000000001 50.563039),-96.21474000000001,50.563039
57,58,Medical Clinic,Panacea Medical Clinic,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Winnipeg,Unit 3 620 Dakota St,Winnipeg,Manitoba,204-255-1135,POINT (-97.11187869999998 49.83525070000007),-97.11187869999998,49.83525070000007
58,59,Medical Clinic,Southend Medical & Walk-in,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"6,",,Winnipeg,30 166 Meadowood Dr,Winnipeg,Manitoba,204-691-6337,POINT (-97.10904619999997 49.82622450000008),-97.10904619999997,49.82622450000008
59,60,Medical Clinic,Portage West Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,3250 Portage Ave,Winnipeg,Manitoba,204-509-1912,POINT (-97.29230579999995 49.88121590000003),-97.29230579999995,49.88121590000003
60,61,Medical Clinic,Bridgewater Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,510 350 North Town Rd,Winnipeg,Manitoba,204-261-8484,POINT (-97.19629312999996 49.79840435500006),-97.19629312999996,49.79840435500006
61,62,Medical Clinic,Emerson Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Southern Health-Santé Sud,26 Main St Box 428,Emerson,Manitoba,204-373-2616,POINT (-97.009578 49.065605),-97.009578,49.065605
62,63,Medical Clinic,Parkview Professional Centre - Dr. Askarifar's Medical Corporation,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,107 2110 Main St,Winnipeg,Manitoba,204-338-7941,POINT (-97.10993859999996 49.94789790000004),-97.10993859999996,49.94789790000004
63,64,Medical Clinic,Dr. Hughes Family Practice and Walk-In,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",Walk-in,Southern Health-Santé Sud,102 430 Main St,Ile Des Chenes,Manitoba,204-253-6762-2,POINT (-96.987764 49.70996),-96.987764,49.70996
64,65,Medical Clinic,Nearby Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,Inside Superstore 3193 Portage Ave,Winnipeg,Manitoba,204-888-8808,POINT (-97.28810143699997 49.88216828900005),-97.28810143699997,49.88216828900005
65,66,Medical Clinic,First Circle Health Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1880 Ellice Ave,Winnipeg,Manitoba,204-775-2400,POINT (-97.21693999999999 49.894395),-97.21693999999999,49.894395
66,67,Medical Clinic,Marion Medical Centre,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Winnipeg,172 Marion St,Winnipeg,Manitoba,204-231-1900,POINT (-97.120552 49.881333),-97.120552,49.881333
67,68,Medical Clinic,Powerview Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Interlake-Eastern,Highway 59 N,Traverse Bay,Manitoba,204-367-2278,POINT (-95.225829 49.750209),-95.225829,49.750209
68,69,Medical Clinic,Mobile Medical Clinic (WRHA),Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,4,",,Winnipeg,542 Selkirk Ave,Winnipeg,Manitoba,204-977-6898,POINT (-97.14678600000001 49.915983),-97.14678600000001,49.915983
69,70,Medical Clinic,Natawiwewak Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,102 355 Ellice Ave,Winnipeg,Manitoba,204-505-0177,POINT (-97.14658799999999 49.894665),-97.14658799999999,49.894665
70,71,Medical Clinic,OYA Medical Center,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,170 115 Vermillion Rd,Winnipeg,Manitoba,204-255-3109,POINT (-97.07085309999997 49.85435050000007),-97.07085309999997,49.85435050000007
71,72,Medical Clinic,Gimli Community Health Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Interlake-Eastern,120 6th Ave Box 250,Gimli,Manitoba,204-890-4790,POINT (-96.99398770000001 50.62792010000004),-96.99398770000001,50.62792010000004
72,73,Medical Clinic,Seasons Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,6 655 Sterling Lyon Pky,Winnipeg,Manitoba,204-219-1060,POINT (-97.21628629999998 49.84286280000003),-97.21628629999998,49.84286280000003
73,74,Medical Clinic,D Hartley Medical Corporation,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,D 3111 Portage Ave,Winnipeg,Manitoba,204-795-2666,POINT (-97.284569 49.880851),-97.284569,49.880851
74,75,Medical Clinic,LifeSmart Medical (Osborne),Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"6,",,Winnipeg,Unit 2a 230 Osborne St,Winnipeg,Manitoba,204-287-5220,POINT (-97.14055729999995 49.87572740000007),-97.14055729999995,49.87572740000007
75,76,Medical Clinic,Waterford Medical & Walk-in,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",Walk-in,Winnipeg,F1 55 Waterford Green Common,Winnipeg,Manitoba,204-219-3565,POINT (-97.19694062999997 49.95575397700003),-97.19694062999997,49.95575397700003
76,77,Medical Clinic,Kingsbury Family Medical Centre,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Winnipeg,7 1099 Kingsbury Ave,Winnipeg,Manitoba,204-615-8550,POINT (-97.15276449999999 49.95236290000003),-97.15276449999999,49.95236290000003
77,78,Medical Clinic,Minor Injury and Illness Clinic,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,",,Winnipeg,102 1001 Corydon Ave,Winnipeg,Manitoba,431-222-2273,POINT (-97.16334879999994 49.86771760000005),-97.16334879999994,49.86771760000005
78,79,Medical Clinic,Rusk Medical Corporation,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,54 Leonard Shakespear Bay,Winnipeg,Manitoba,204-998-9874,POINT (-97.089184 49.873535),-97.089184,49.873535
79,80,Medical Clinic,Prota Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,4 930 Lorimer Blvd,Winnipeg,Manitoba,204-837-7682,POINT (-97.20052338599999 49.84593969800005),-97.20052338599999,49.84593969800005
80,81,Medical Clinic,Easton Place Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Interlake-Eastern,15 Wersch St Box 63,Selkirk,Manitoba,204-482-4044,POINT (-96.88601679999994 50.16153330000003),-96.88601679999994,50.16153330000003
81,82,Medical Clinic,Henderson Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,B 441 Henderson Hwy,Winnipeg,Manitoba,204-415-2740,POINT (-97.111287 49.919218),-97.111287,49.919218
82,83,Medical Clinic,Regent West Medical Centre,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,",,Winnipeg,2 1579 Regent Ave W,Winnipeg,Manitoba,204-221-4414,POINT (-97.06564949999995 49.89889040000003),-97.06564949999995,49.89889040000003
83,84,Medical Clinic,Centre de bien-etre St. Claude and Haywood Wellness Centre (St. Claude Clinic),Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Southern Health-Santé Sud,109 Aspen Ave S Box 269,St Claude,Manitoba,204-379-2281,POINT (-98.34484147999996 49.65349427700005),-98.34484147999996,49.65349427700005
84,85,Medical Clinic,Vaniru Medical Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1200A 305 McPhillips St,Winnipeg,Manitoba,0,POINT (-97.169083 49.914228),-97.169083,49.914228
85,86,Medical Clinic,Red Door Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1 2536 Main St,Winnipeg,Manitoba,0,POINT (-97.095961 49.933715),-97.095961,49.933715
86,87,Medical Clinic,Kalo Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,201 1107 Munroe Ave,Winnipeg,Manitoba,204-560-3585,POINT (-97.06737379999998 49.90791040000005),-97.06737379999998,49.90791040000005
87,88,Medical Clinic,Ray of Hope Medical Centre,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,6,",,Winnipeg,1 775 Henderson Hwy,Winnipeg,Manitoba,204-800-2590,POINT (-97.10196145699996 49.92923609300004),-97.10196145699996,49.92923609300004
88,89,Pharmacy,Bioscript Pharmacy,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,101 1661 Portage Ave,Winnipeg,Manitoba,204-949-9555,POINT (-97.203383 49.880437),-97.203383,49.880437
89,90,Medical Clinic,Boissevain Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Prairie Mountain Health,305 Mill Rd Box 899,Boissevain,Manitoba,204-534-3777,POINT (-100.0610414 49.22535330000005),-100.0610414,49.22535330000005
90,91,Medical Clinic,Pure Lifestyle Ltd.,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1129 Empress St,Winnipeg,Manitoba,204-338-7873,POINT (-97.19465599999999 49.9007),-97.19465599999999,49.9007
91,92,Medical Clinic,The Derm Centre,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1385 Grant Ave,Winnipeg,Manitoba,204-474-1221,POINT (-97.178724 49.856614),-97.178724,49.856614
92,93,Medical Clinic,Glenboro Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Prairie Mountain Health,219 Murray Ave,Glenboro,Manitoba,,POINT (-99.286754 49.559891),-99.286754,49.559891
93,94,Medical Clinic,Sport Manitoba Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"6,",,Winnipeg,145 Pacific Ave,Winnipeg,Manitoba,204-925-5944,POINT (-97.13443353199995 49.90062947500007),-97.13443353199995,49.90062947500007
94,95,Medical Clinic,Pembina Manitou Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Southern Health-Santé Sud,232 Carrie St,Manitou,Manitoba,,POINT (-98.53496003799995 49.23673000200006),-98.53496003799995,49.23673000200006
95,96,Medical Clinic,Hamiota Medical Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,",,Prairie Mountain Health,177 Birch Ave E,Hamiota,Manitoba,204-764-4218,POINT (-100.5897444 50.18227030000003),-100.5897444,50.18227030000003
96,97,Medical Clinic,Happy Family Medical and walkin clinic,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Winnipeg,Suite-203. 2385 Pembina Hwy,Winnipeg,Manitoba,204-306-5181,POINT (-97.156182 49.80545360000008),-97.156182,49.80545360000008
97,98,Medical Clinic,Home Health NP,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,2595 Main St,Winnipeg,Manitoba,,POINT (-97.08806199999999 49.958616),-97.08806199999999,49.958616
98,99,Medical Clinic,The First Glance,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,1851 Grant Ave,Winnipeg,Manitoba,,POINT (-97.20293916599996 49.85717750100008),-97.20293916599996,49.85717750100008
99,100,Pharmacy,inMotion Sports Medicine Clinic,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,803 50 Sage Creek Blvd,Winnipeg,Manitoba,,POINT (-97.047900025 49.83370247300007),-97.047900025,49.83370247300007
100,101,Medical Clinic,Birth Centre - WHC,Not currently taking appointments,,,2021-12-17T06:00:00+00:00,"3,",,Winnipeg,603 St Mary's Rd,Winnipeg,Manitoba,,POINT (-97.11113922199996 49.86319206200005),-97.11113922199996,49.86319206200005
101,102,Medical Clinic,Kin Place Primary Care (Medical Clinic),Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Interlake-Eastern,689 Main St,Oakbank,Manitoba,,POINT (-96.84233262899994 49.94476734700004),-96.84233262899994,49.94476734700004
102,103,Medical Clinic,Scurfield Medical Centre,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,6,",,Winnipeg,Unit 100 201 Scurfield Blvd,Winnipeg,Manitoba,204-560-4288,POINT (-97.19904679999996 49.81523290000007),-97.19904679999996,49.81523290000007
103,104,Medical Clinic,Medigroup Health Centre,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,3,6,",,Winnipeg,14 1585 Kenaston Blvd,Winnipeg,Manitoba,204-410-5200,POINT (-97.20278082999994 49.82793056300005),-97.20278082999994,49.82793056300005
104,105,Medical Clinic,Otolaryngology Associates of Winnipeg,Taking appointments,,,2021-12-17T06:00:00+00:00,"2,6,",,Winnipeg,201 1020 Lorimer Blvd,Winnipeg,Manitoba,204-943-0629,POINT (-97.19977856499997 49.84309965300008),-97.19977856499997,49.84309965300008
105,106,Medical Clinic,University Health Services (Bannatyne),Not currently taking appointments,,,2021-12-17T06:00:00+00:00,,,Winnipeg,727 McDermot Ave,Winnipeg,Manitoba,0,POINT (-97.16035520099996 49.90423198900004),-97.16035520099996,49.90423198900004
