,_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,lat,long,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,accessibility,sameDayAppt,active,temporarily_closed,pharmacy,operated_by,location_name_fr,operated_by_fr,address_fr,province,PHU,PHU_fr,monday,tuesday,wednesday,thursday,friday,saturday,sunday,appointments,online_appointments,phone_appointments,walk_ins,symptomatic,drive_through,general_population,children_under_2,age_threshold,weeks_pregnant,french_language_services,accessible,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr,Monday_Open,Monday_Closed,Tuesday_Open,Tuesday_Closed,Wednesday_Open,Wednesday_Closed,Thursday_Open,Thursday_Closed,Friday_Open,Friday_Closed,Saturday_Open,Saturday_Closed,Sunday_Open,Sunday_Closed,Data_Source,OBJECTID,Date_Added,wardName,geometry,LONGITUDE,LATITUDE
10,218304,216,"Regent Park, 40 Oaks (Fred Victor)",Hospital Immunization Clinic,40 Oak Street,,,,,-79.36531997496999,,,Please visit the hospital's website for booking information. Accessible and limited parking is available.,,,,,https://regentparkchc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,23,,Toronto Centre,POINT (-79.36531997497001 43.661619703176),-79.36531997497001,43.661619703176
11,218305,208,University Health Network - University of Toronto - St. George's Campus Vaccination Clinic,Hospital Immunization Clinic,255 McCaul Street (entrance through main doors on McCaul Street),,,,,-79.392924501954,,,Please visit the hospital's website for booking information.,,,,,University-Rosedale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,24,,,POINT (-79.392924501954 43.65874688966),-79.392924501954,43.65874688966
12,218306,201,East York Town Centre,Hospital Immunization Clinic,45 Overlea Boulevard,,,,,-79.346049059625,,,Please visit the hospital's website for booking information.,,,,,https://tehn.ca/covid19/covid-19-vaccine/covid-19-immunization-clinics-east-toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,25,,Don Valley West,POINT (-79.346049059625 43.705981419136),-79.346049059625,43.705981419136
13,218307,184,Carefirst Seniors and Community Services Association Clinic,Hospital Immunization Clinic,300 Silver Star Boulevard,,,,,-79.294956688457,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://www.scarboroughcovidvaccineclinic.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,26,,Scarborough-Agincourt,POINT (-79.29495668845701 43.812781513219),-79.29495668845701,43.812781513219
14,218308,185,Centennial College Progress Campus Clinic,Hospital Immunization Clinic,941 Progress Avenue,,,,,-79.22820230194999,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://www.scarboroughcovidvaccineclinic.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,27,,Scarborough-Guildwood,POINT (-79.22820230195001 43.785626371638),-79.22820230195001,43.785626371638
15,218309,186,Humber River Hospital COVax Vaccine Clinic - Downsview Arena,Hospital Immunization Clinic,2625 Weston Road,,,,,-79.531034259625,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://www.hrh.ca/covax-clinic-booking/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,28,,York South-Weston,POINT (-79.531034259625 43.713852472062),-79.531034259625,43.713852472062
16,218310,189,NYGH Vaccination Clinic,Hospital Immunization Clinic,4001 Leslie Street,,,,,-79.36320180195099,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,29,,Don Valley North,POINT (-79.36320180195101 43.769755820985),-79.36320180195101,43.769755820985
17,218311,204,CAMH Vaccination Clinic,Hospital Immunization Clinic,100 Stokes Street,,,,,-79.419124457775,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,http://www.camh.ca/covidvaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,30,,Spadina-Fort York,POINT (-79.419124457775 43.64352200475),-79.419124457775,43.64352200475
18,218312,611,TAIBU Community Health Centre,Hospital Immunization Clinic,27 Tapscott Road,,,,,-79.2205897086,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://www.scarboroughcovidvaccineclinic.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,31,2021-07-10,Scarborough North,POINT (-79.2205897086 43.806308528206),-79.2205897086,43.806308528206
19,218313,612,The Mid-Scarborough Hub,Hospital Immunization Clinic,2660 Eglinton Avenue East,,,,,-79.250706610454,,,Please visit the hospital's website for booking information.  Accessible and parking is available.,,,,,https://www.scarboroughcovidvaccineclinic.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,32,2021-07-10,Scarborough Centre,POINT (-79.250706610454 43.737387970125),-79.250706610454,43.737387970125
20,218314,187,Michael Garron Hospital,Hospital Immunization Clinic,825 Coxwell Avenue,,,,,-79.324879659625,,,Please visit the hospital's website for booking information. Accessible and parking is available.,,,,,https://tehn.ca/covid19/covid-19-vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,33,,Beaches-East York,POINT (-79.324879659625 43.690088500097),-79.324879659625,43.690088500097
21,218315,244,Allcures Pharmacy,Pharmacy Immunization Site,"31 St. Dennis Drive, Unit 1",,,,,-79.32958503399999,,"Monday: 10 a.m.-7 p.m., Tuesday: 10 a.m.-7 p.m., Wednesday: 10 a.m.-7 p.m., Thursday: 10 a.m.-7 p.m., Friday: 10 a.m.-7 p.m., Saturday: 10 a.m.-3 p.m., Sunday: 11 a.m.-3 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-696-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,34,2021-03-18,Don Valley East,POINT (-79.329585034 43.718572185),-79.329585034,43.718572185
22,218316,245,Raymond Wing Chiu Chan Drug Ltd.,Pharmacy Immunization Site,794 Sheppard Ave East,,,,,-79.374856585,,"Monday: 10 a.m.-5 p.m., Tuesday: 10 a.m.-5 p.m., Wednesday: 10 a.m.-5 p.m., Thursday: 10 a.m.-5 p.m., Friday: 10 a.m.-4 p.m., Saturday: 11 a.m.-2 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-222-7701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,35,2021-03-18,Don Valley North,POINT (-79.374856585 43.770123506),-79.374856585,43.770123506
23,218317,246,KIPLING & QUEENSWAY PHARMACY,Pharmacy Immunization Site,"1255 THE QUEENSWAY, UNIT-20",,,,,-79.524809007,,"Monday: 10 a.m.-6 p.m., Tuesday: 10 a.m.-6 p.m., Wednesday: 10 a.m.-6 p.m., Thursday: 10 a.m.-6 p.m., Friday: 10 a.m.-6 p.m., Saturday: 10 a.m.-4 p.m., Sunday: CLOSED","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-508-3550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,36,2021-03-18,Etobicoke-Lakeshore,POINT (-79.524809007 43.621073842),-79.524809007,43.621073842
24,218318,247,NEW CALEDONIA PHARMACY,Pharmacy Immunization Site,600 Caledonia Rd,,,,,-79.462294728,,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-2:30 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-785-8385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,37,2021-03-18,Eglinton-Lawrence,POINT (-79.462294728 43.693285018),-79.462294728,43.693285018
25,218319,248,HEALTH CHECK PHARMACY   PHARMASAVE,Pharmacy Immunization Site,"2826A MARKHAM ROAD, SCARBOROUGH, ONTARIO",,,,,-79.24858788600001,,"Monday: 9.30-20:00, Tuesday: 9.30-20:00, Wednesday: 9.30-20:00, Thursday: 9.30-20:00, Friday: 9.30-20:00, Saturday: 9.30-16:00, Sunday: CLOSED","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-298-8165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,38,2021-03-18,Scarborough North,POINT (-79.248587886 43.823166745),-79.248587886,43.823166745
26,218320,249,Vina Pharmacy,Pharmacy Immunization Site,1025 Gerrard Street E,,,,,-79.337169872,,"Monday: 9:30 a.m.-7 p.m., Tuesday: 9:30 a.m.-7 p.m., Wednesday: 9:30 a.m.-7 p.m., Thursday: 9:30 a.m.-7 p.m., Friday: 9:30 a.m.-7 p.m., Saturday: 10:30 a.m.-3 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-469-5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,39,2021-03-18,Toronto-Danforth,POINT (-79.337169872 43.668691587),-79.337169872,43.668691587
27,218321,250,Birchmount Pharmasave,Pharmacy Immunization Site,462 Birchmount Road,,,,,-79.26959561,,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-7 p.m., Saturday: 9 a.m.-4 p.m., Sunday: 10 a.m.-1 p.m.","Adults 25 and over are eligible to receive the Moderna vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-698-1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,40,2021-03-18,Scarborough Southwest,POINT (-79.26959561 43.707284138),-79.26959561,43.707284138
28,218322,251,Whole Health Pharmacy,Pharmacy Immunization Site,"1575 Jane Street, Unit 7",,,,,-79.5023861,,"Monday: 10 a.m.-7 p.m., Tuesday: 10 a.m.-7 p.m., Wednesday: 10 a.m.-7 p.m., Thursday: 10 a.m.-7 p.m., Friday: 10 a.m.-7 p.m., Saturday: 9:30 a.m.-1:30 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-245-2273,,,,https://wholehealthcooksville.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,41,2021-03-18,York South-Weston,POINT (-79.5023861 43.699196993),-79.5023861,43.699196993
29,218323,252,pharmasave 606,Pharmacy Immunization Site,944 Kingston Rd.,,,,,-79.288039552,,"Monday: 9 a.m.-5 p.m., Tuesday: 9 a.m.-5 p.m., Wednesday: 9 a.m.-5 p.m., Thursday: 9 a.m.-5 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-3 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-698-1641,,,,https://lawlor.medmeapp.ca/schedule/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,42,2021-03-18,Beaches-East York,POINT (-79.28803955200001 43.680636081),-79.28803955200001,43.680636081
30,218324,253,Keele and Finch Pharmacy,Pharmacy Immunization Site,102- 1275 Finch Ave West,,,,,-79.48744566399999,,"Monday: 9 a.m.-5 p.m., Tuesday: 9 a.m.-5 p.m., Wednesday: 9 a.m.-5 p.m., Thursday: 9 a.m.-5 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-6 p.m., Sunday: Closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-349-2273,,,,https://pharmasave.com/store/pharmasave-university-heights-pharmacy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,43,2021-03-18,York Centre,POINT (-79.48744566400001 43.763887344),-79.48744566400001,43.763887344
31,218325,254,Jarvis st. Apothecary,Pharmacy Immunization Site,275 Jarvis St.,,,,,-79.374722773,,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-6:30pm, Saturday: 9 a.m.-5 p.m., Sunday: Closed","Adults 25 and over are eligible to receive the Moderna vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-792-1959,,,,https://jarvis-st-apothecary.business.site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,44,2021-03-18,Toronto Centre,POINT (-79.374722773 43.658253511),-79.374722773,43.658253511
32,218326,255,Total Health Pharmacy,Pharmacy Immunization Site,997 Gerrard St E,,,,,-79.338046193,,"Monday: 10 a.m.-6 p.m., Tuesday: 10 a.m.-6 p.m., Wednesday: 10 a.m.-6 p.m., Thursday: 10 a.m.-6 p.m., Friday: 10 a.m.-6 p.m., Saturday: 10 a.m.-6 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-351-3784,,,,https://pharmaconnect.ca/Appointment/ff38dc2c-4b68-479a-a6a5-5c0f6bd992c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,45,2021-03-18,Toronto-Danforth,POINT (-79.338046193 43.668487404),-79.338046193,43.668487404
33,218327,256,Nor-Arm Pharmacy,Pharmacy Immunization Site,107-1280 Finch Ave West,,,,,-79.488537583,,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-6:30pm, Saturday: closeed, Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-667-8430,,,,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/nor-arm-pharmacy-7018005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,46,2021-03-18,York Centre,POINT (-79.488537583 43.764248055),-79.488537583,43.764248055
34,218328,257,Premier Pharmacy and Compounding Centre,Pharmacy Immunization Site,3323 Bathurst Street,,,,,-79.43093572800001,,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-3 p.m., Saturday: closed, Sunday: 10 a.m.-3 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-347-1311,,,,https://premierpharmacy.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,47,2021-03-18,Eglinton-Lawrence,POINT (-79.43093572799999 43.725380703),-79.43093572799999,43.725380703
35,218329,258,Northcliffe Pharmacy,Pharmacy Immunization Site,1751 Eglinton Avenue West,,,,,-79.44784703100001,,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-7 p.m., Saturday: 9 a.m.-5 p.m., Sunday: 9 a.m.-10 a.m.","Adults 25 and over are eligible to receive the Moderna vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-256-7888,,,,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/northcliff-pharmacy-7023147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,48,2021-03-18,Toronto-St. Paul's,POINT (-79.44784703099999 43.696007225),-79.44784703099999,43.696007225
36,218330,259,LOBLAWS INC LOB1010 RX DSP,Pharmacy Immunization Site,5095 YONGE ST,,,,,-79.412275076,,"Monday: 8 a.m.-8 p.m., Tuesday: 8 a.m.-8 p.m., Wednesday: 8 a.m.-8 p.m., Thursday: 8 a.m.-8 p.m., Friday: 8 a.m.-8 p.m., Saturday: 10 a.m.-6 p.m., Sunday: 10 a.m.-5 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-512-9436,,,,https://www.loblaws.ca/covid19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,49,2021-03-18,Willowdale,POINT (-79.412275076 43.768280256),-79.412275076,43.768280256
37,218331,260,LOBLAWS INC LOB1212 RX DSP,Pharmacy Immunization Site,396 ST CLAIR AVE W,,,,,-79.41530468,,"Monday: 8 a.m.-8 p.m., Tuesday: 8 a.m.-8 p.m., Wednesday: 8 a.m.-8 p.m., Thursday: 8 a.m.-8 p.m., Friday: 8 a.m.-8 p.m., Saturday: 9 a.m.-6 p.m., Sunday: 9 a.m.-6 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-651-5145,,,,https://www.loblaws.ca/covid19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,50,2021-03-18,Toronto-St. Paul's,POINT (-79.41530468000001 43.684075185),-79.41530468000001,43.684075185
