facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,street_no,street_name,street_addr,city,postal_code,provider,latitude,longitude,phone,email,website,geo_source
Vigi Santé Ltée,,RLS de Pierrefonds - Lac Saint-Louis,Vigi Santé Ltée,,,,,"197, rue Thornhill",Montréal,H9B3H8,Province of Quebec,45.4802017212,-73.816116333,,,,Source
Centre d'hébergement et de soins de longue durée Providence - Saint-Joseph inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Providence - Saint-Joseph inc.,,,,,"5605, rue Beaubien Est",Montréal,H1T1X4,Province of Quebec,45.5789260864,-73.5674591064,,,,Source
Maison des ainées de St-Timothée Inc.,,RLS du Suroît,Maison des ainées de St-Timothée Inc.,,,,,"1, rue des Aînés",Beauharnois-Salaberry,J6S6M8,Province of Quebec,45.2893562317,-74.0367050171,,,,Source
CHSLD Domaine Saint-Dominique S.E.C.,,RLS de Québec-Sud,CHSLD Domaine Saint-Dominique S.E.C.,,,,,"1045, boulevard René-Lévesque Ouest",Québec,G1S1V3,Province of Quebec,46.7950134277,-71.2416000366,,,,Source
Centre d'hébergement et de soins de longue durée de Saint-Lambert-sur-le-Golf Inc.,,RLS Pierre-Boucher,CHSLD de Saint-Lambert-sur-le-Golf Inc.,,,,,"549, rue de Verrazano",Longueuil,J4B7W2,Province of Quebec,45.6024894714,-73.4443664551,,,,Source
Centre d'hébergement et de soins de longue durée Wales Inc.,,RLS de Val Saint-François,CHSLD Wales Inc.,,,,,"506, Route 243",Le Val-Saint-François,J0B2H0,Province of Quebec,45.6754226685,-72.1738052368,,,,Source
CHSLD Age3 Inc.,,RLS de Laval,CHSLD Age3 Inc.,,,,,"4410, boulevard Saint-Martin Ouest",Laval,H7T1C3,Province of Quebec,45.547000885,-73.7676696777,,,,Source
Centre d'hébergement et de soins de longue durée du Boisé Sainte-Thérèse Inc.,,RLS de Thérèse-De Blainville,CHSLD Boisé Ste-Thérèse,,,,,"179, place Fabien-Drapeau",Thérèse-De Blainville,J7E5W6,Province of Quebec,45.6491622925,-73.840927124,,,,Source
Centre de réadaptation en dépendance du Nouveau Départ Inc.,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre de réadapt. en dépendance du Nouveau Départ Inc.,,,,,"1110, avenue Beaumont",Montréal,H3P3E5,Province of Quebec,45.5223045349,-73.6224365234,,,,Source
Centre d'hébergement et de soins de longue durée de Sainte-Catherine S.E.C.,,RLS de Jardins-Roussillon,CHSLD de Sainte-Catherine S.E.C.,,,,,"3065, boulevard Marie-Victorin",Roussillon,J5C1Z3,Province of Quebec,45.4003067017,-73.5433731079,,,,Source
Centre d'hébergement et de soins de longue durée Angus Inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Angus Inc.,,,,,"3200, rue Omer-Lavallée",Montréal,H1Y3P5,Province of Quebec,45.5465431213,-73.5606231689,,,,Source
CHU de Québec – Université Laval,,RLS de Québec-Sud,CHU de Québec – UL,,,,,"11, côte du Palais",Québec,G1R2J6,Province of Quebec,46.8153915405,-71.2109909058,,,,Source
Centre d'hébergement et de soins de longue durée Argyle Inc.,,RLS de Champlain,CHSLD Argyle Inc.,,,,,"33, avenue Argyle",Longueuil,J4P3P5,Province of Quebec,45.5015411377,-73.5147018433,,,,Source
Centre d'hébergement et de soins de longue durée du Groupe-Santé-Arbec Inc.,,RLS de Lanaudière-Nord,CHSLD Groupe-Santé-Arbec Inc.,,,,,"3931, rue Lakeshore Drive",Matawinie,J0K1S0,Province of Quebec,46.0508613586,-73.7022247314,,,,Source
Centre d'hébergement et de soins de longue durée de Saint-Jean-sur-Richelieu S.E.C.,,RLS du Haut-Richelieu - Rouville,CHSLD de Saint-Jean-sur-Richelieu S.E.C.,,,,,"40, rue Labrèche",Le Haut-Richelieu,J3B0J3,Province of Quebec,45.311580658,-73.2614974976,,,,Source
Centre d'hébergement et de soins de longue durée Valeo Inc.,,RLS de Champlain,CHSLD Valeo Inc.,,,,,"700, rue Docteur-Chevrier",Longueuil,J4P0A4,Province of Quebec,45.5095596313,-73.501701355,,,,Source
Centre intégré de santé et de services sociaux du Bas-Saint-Laurent,,RLS de Rimouski,CISSS du Bas-Saint-Laurent,,,,,"355, boulevard Saint-Germain Ouest",Rimouski-Neigette,G5L3N2,Province of Quebec,48.4433555603,-68.5404815674,,,,Source
Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean,,RLS de Chicoutimi,CIUSSS du Saguenay – Lac-Saint-Jean,,,,,"930, rue Jacques-Cartier Est",Saguenay,G7H7K9,Province of Quebec,48.4213104248,-71.0400390625,,,,Source
Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale,,RLS de Québec-Nord,CIUSSS de la Capitale-Nationale,,,,,"2915, avenue du Bourg-Royal",Québec,G1C3S2,Province of Quebec,46.8566360474,-71.2197647095,,,,Source
Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,,RLS de Trois-Rivières,CIUSSS de la Mauricie-et-du-Centre-du-Québec,,,,,"858, terrasse Turcotte",Trois-Rivières,G9A5C5,Province of Quebec,46.3427963257,-72.5371017456,,,,Source
Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke,,RLS de Sherbrooke,CIUSSS de l'Estrie – CHUS,,,,,"375, rue Argyll",Sherbrooke,J1J3H5,Province of Quebec,45.4042434692,-71.9150848389,,,,Source
Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal,,RLS de Pierrefonds - Lac Saint-Louis,CIUSSS de l'Ouest-de-l'Île-de-Montréal,,,,,"2400, boulevard des Sources, 2e étage",Montréal,H9R0E9,Province of Quebec,45.448551178,-73.8336715698,,,,Source
Centre intégré universitaire de santé et de services sociaux du Centre-Ouest-de-l'Île-de-Montréal,,RLS de Côte-des-Neiges - Métro - Parc-Extension,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,,,,,"3755, chemin de la Côte-Sainte-Catherin",Montréal,H3T1E2,Province of Quebec,45.4978103638,-73.6288070679,,,,Source
Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,,,,,"1560, rue Sherbrooke Est",Montréal,H2L4M1,Province of Quebec,45.5253562927,-73.5635604858,,,,Source
Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal,,RLS d'Ahuntsic - Montréal-Nord,CIUSSS du Nord-de-l'Île-de-Montréal,,,,,"555, boulevard Gouin Ouest",Montréal,H3L1K5,Province of Quebec,45.5475997925,-73.6876525879,,,,Source
Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CIUSSS de l'Est-de-l'Île-de-Montréal,,,,,"5415, boulevard de l'Assomption",Montréal,H1T2M4,Province of Quebec,45.5742149353,-73.5584640503,,,,Source
Centre intégré de santé et de services sociaux de l'Outaouais,,RLS de Grande-Rivière - Hull - Gatineau,CISSS de l'Outaouais,,,,,"80, avenue Gatineau",Gatineau,J8T4J3,Province of Quebec,45.4801902771,-75.7229309082,,,,Source
Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue,,RLS de Rouyn-Noranda,CISSS de l'Abitibi-Témiscamingue,,,,,"1, 9e Rue",Rouyn-Noranda,J9X2A9,Province of Quebec,48.2433586121,-79.0210037231,,,,Source
Centre intégré de santé et de services sociaux de la Côte-Nord,,RLS de la Haute-Côte-Nord - Manicouagan,CISSS de la Côte-Nord,,,,,"835, boulevard Jolliet",Manicouagan,G5C1P5,Province of Quebec,49.1904411316,-68.2569503784,,,,Source
Centre intégré de santé et de services sociaux de la Gaspésie,,RLS de La Côte-de-Gaspé,CISSS de la Gaspésie,,,,,"215, boulevard de York Ouest",La Côte-de-Gaspé,G4X2W2,Province of Quebec,48.8129425049,-64.4966506958,,,,Source
Centre intégré de santé et de services sociaux de Laval,,RLS de Laval,CISSS de Laval,,,,,"1755, boulevard René-Laennec",Laval,H7M3L9,Province of Quebec,45.6033210754,-73.7108230591,,,,Source
Centre intégré de santé et de services sociaux de Lanaudière,,RLS de Lanaudière-Nord,CISSS de Lanaudière,,,,,"260, rue Lavaltrie Sud",Joliette,J6E5X7,Province of Quebec,46.0181846619,-73.4410705566,,,,Source
Centre intégré de santé et de services sociaux des Laurentides,,RLS de la Rivière-du-Nord - Mirabel-Nord,CISSS des Laurentides,,,,,"290, rue de Montigny",La Rivière-du-Nord,J7Z5T3,Province of Quebec,45.7655715942,-74.0001907349,,,,Source
Centre intégré de santé et de services sociaux de la Montérégie-Centre,,RLS de Champlain,CISSS de la Montérégie-Centre,,,,,"3141, boulevard Taschereau, bureau 220",Longueuil,J4V2H2,Province of Quebec,45.4977531433,-73.4842071533,,,,Source
Centre intégré de santé et de services sociaux de la Montérégie-Est,,RLS de Richelieu-Yamaska,CISSS de la Montérégie-Est,,,,,"2750, boulevard Laframboise",Les Maskoutains,J2S4Y8,Province of Quebec,45.6348342896,-72.9594726563,,,,Source
Centre intégré de santé et de services sociaux de la Montérégie-Ouest,,RLS de Jardins-Roussillon,CISSS de la Montérégie-Ouest,,,,,"200, boulevard Brisebois",Roussillon,J6K4W8,Province of Quebec,45.3456611633,-73.7634429932,,,,Source
Centre intégré de santé et de services sociaux de Chaudière-Appalaches,,RLS Alphonse-Desjardins,CISSS de Chaudière-Appalaches,,,,,"363, route Cameron",La Nouvelle-Beauce,G6E3E2,Province of Quebec,46.4648017883,-71.0452041626,,,,Source
Centre d'hébergement et de soins de longue durée Waldorf S.E.C.,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,CHSLD Waldorf S.E.C.,,,,,"7400, chemin de la Côte-Saint-luc",Montréal,H4W3J4,Province of Quebec,45.4606971741,-73.6583023071,,,,Source
Centre d'hébergement et de soins de longue durée de la Villa-de-Val-des-Arbres Inc.,,RLS de Laval,CHSLD de la Villa-de-Val-des-Arbres inc.,,,,,"3245, boulevard Saint-Martin Est",Laval,H7E4T6,Province of Quebec,45.6056098938,-73.6773605347,,,,Source
Centre d'hébergement et de soins de longue durée au Cœur-de-la-Vie inc.,,RLS de la Rivière-du-Nord - Mirabel-Nord,CHSLD au Cœur-de-la-Vie inc.,,,,,"325, rue Barrette, 1er étage",La Rivière-du-Nord,J7Y0J8,Province of Quebec,45.7774887085,-74.0143737793,,,,Source
Centre d'hébergement et de soins de longue durée Louise-Faubert Inc.,,RLS de Lanaudière-Sud,CHSLD Louise-Faubert Inc.,,,,,"751, rue Marcel-De La Sablonnière",Les Moulins,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,,Source
Centre d'hébergement et de soins de longue durée Marguerite-Rocheleau inc.,,RLS de Lanaudière-Sud,CHSLD Marguerite-Rocheleau inc.,,,,,"751, rue Marcel-De La Sablonnière",Les Moulins,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,,Source
Centre d'hébergement et de soins de longue durée Michèle-Bohec inc.,,RLS de Lanaudière-Sud,CHSLD Michèle-Bohec inc.,,,,,"751, rue Marcel-De La Sablonnière",Les Moulins,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,,Source
Centre d'hébergement et de soins de longue durée L.-B.-Desjardins Inc.,,RLS des Pays-d'en-Haut,CHSLD L.-B.-Desjardins Inc.,,,,,"55, avenue Hochar",Les Pays-d'en-Haut,J0R1R6,Province of Quebec,45.8891906738,-74.1569900513,,,,Source
Centre d'hébergement et de soins de longue durée des Patriotes Inc.,,RLS de Laval,CHSLD des Patriotes Inc.,,,,,"3245, boulevard Saint-Martin Est",Laval,H7E4T6,Province of Quebec,45.6056098938,-73.6773605347,,,,Source
Centre d'hébergement et de soins de longue durée des Îles-de-la-Madeleine inc.,,RLS des Îles-de-la-Madeleine,Centre d'hébergement et de soins de longue durée des Îl,,,,,"596, chemin Principal",Communauté maritime des Îles-de-la-Madeleine,G4T1G1,Province of Quebec,47.3731307983,-61.8730888367,,,,Source
Centre d'hébergement et de soins de longue durée de Laval S.E.C.,,RLS de Laval,CHSLD de Laval S.E.C.,,,,,"2805, boulevard Chomedey",Laval,H7P0C2,Province of Quebec,45.5708618164,-73.7665557861,,,,Source
Centre d'hébergement et de soins de longue durée de Granby S.E.C.,,RLS de la Haute-Yamaska,CHSLD de Granby S.E.C.,,,,,"80, rue Godue",La Haute-Yamaska,J2J2Z7,Province of Quebec,45.4074707031,-72.7621536255,,,,Source
Centre de soins prolongés Grace Dart,,RLS de Hochelaga - Mercier-Ouest - Rosemont,Centre de soins prolongés Grace Dart,,,,,"5155, rue Sainte-Catherine Est",Montréal,H1V2A5,Province of Quebec,45.5594596863,-73.5289077759,,,,Source
Hôpital juif de réadaptation,,RLS de Laval,Hôpital juif de réadaptation,,,,,"3205, place Alton-Goldbloom",Laval,H7V1R2,Province of Quebec,45.5487289429,-73.7376403809,,,,Source
Centre de réadaptation Lethbridge-Layton-Mackay,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Centre de réadaptation Lethbridge-Layton-Mackay,,,,,"7005, boulevard De Maisonneuve Ouest",Montréal,H4B1T3,Province of Quebec,45.4583435059,-73.6341323853,,,,Source
CHSLD Providence Notre-Dame de Lourdes inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Providence Notre-Dame de Lourdes inc.,,,,,"1870, boulevard Pie-IX",Montréal,H1V2C6,Province of Quebec,45.549785614,-73.5406951904,,,,Source
Atelier le fil d'Ariane Inc.,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,Atelier le fil d'Ariane Inc.,,,,,"4837, rue Boyer, app. 100",Montréal,H2J3E6,Province of Quebec,45.5294494629,-73.5838394165,,,,Source
Résidence Angelica,,RLS d'Ahuntsic - Montréal-Nord,Résidence Angelica,,,,,"3435, boulevard Gouin Est",Montréal,H1H1B1,Province of Quebec,45.5899391174,-73.6513366699,,,,Source
Centre de santé et de services sociaux du Haut-Saint-Laurent,,RLS du Haut-Saint-Laurent,CSSS du Haut-Saint-Laurent,,,,,"28, rue Gale",Le Haut-Saint-Laurent,J0S1K0,Province of Quebec,45.1263427734,-73.9998703003,,,,Source
CHSLD Bayview Inc.,,RLS de Pierrefonds - Lac Saint-Louis,CHSLD Bayview Inc.,,,,,"27, chemin Lakeshore",Montréal,H9S4H1,Province of Quebec,45.4486465454,-73.786567688,,,,Source
Résidence Berthiaume-Du Tremblay,,RLS d'Ahuntsic - Montréal-Nord,Résidence Berthiaume-Du Tremblay,,,,,"1635, boulevard Gouin Est",Montréal,H2C1C2,Province of Quebec,45.5674171448,-73.6630554199,,,,Source
La corporation Notre-Dame de Bon-Secours,,RLS de Québec-Sud,La corporation Notre-Dame de Bon-Secours,,,,,"990, rue Gérard-Morisset",Québec,G1S1X6,Province of Quebec,46.788066864,-71.2566070557,,,,Source
Hôpital Jeffery Hale - Saint Brigid's,,RLS de Québec-Sud,Hôpital Jeffery Hale - Saint Brigid's,,,,,"1250, chemin Sainte-Foy",Québec,G1S2M6,Province of Quebec,46.7966499329,-71.2530822754,,,,Source
Hôpital Santa Cabrini,,RLS de Hochelaga - Mercier-Ouest - Rosemont,Hôpital Santa Cabrini,,,,,"5655, rue Saint-Zotique Est",Montréal,H1T1P7,Province of Quebec,45.5801391602,-73.5717163086,,,,Source
Institut de Cardiologie de Montréal,,RLS de Hochelaga - Mercier-Ouest - Rosemont,ICM,,,,,"5000, rue Bélanger",Montréal,H1T1C8,Province of Quebec,45.573764801,-73.5778198242,,,,Source
Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie (1995) Inc.,,RLS d'Ahuntsic - Montréal-Nord,Hôp. Marie-Clarac des Soeurs de Charité de Ste-Marie,,,,,"3530, boulevard Gouin Est",Montréal,H1H1B7,Province of Quebec,45.5908355713,-73.6497421265,,,,Source
Clinique communautaire de Pointe St-Charles,,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Clinique communautaire de Pointe St-Charles,,,,,"500, avenue Ash",Montréal,H3K2R4,Province of Quebec,45.4783477783,-73.556892395,,,,Source
Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie,,RLS de Sherbrooke,CRDITED de l'Estrie,,,,,"1621, rue Prospect",Sherbrooke,J1J1K4,Province of Quebec,45.4101142883,-71.9151916504,,,,Source
Maison Elizabeth,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Maison Elizabeth,,,,,"2131, avenue de Marlowe",Montréal,H4A3L4,Province of Quebec,45.4752159119,-73.606880188,,,,Source
Centre Miriam,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre Miriam,,,,,"8160, chemin Royden",Montréal,H4P2T2,Province of Quebec,45.4963607788,-73.6618652344,,,,Source
Centre universitaire de santé McGill,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,CUSM,,,,,"1001, boulevard Décarie",Montréal,H4A3J1,Province of Quebec,45.4970474243,-73.5890350342,,,,Source
Havre-Jeunesse,,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Havre-Jeunesse,,,,,"4360, boulevard Lasalle",Montréal,H4G2A8,Province of Quebec,45.4601860046,-73.5627212524,,,,Source
Centre d'hébergement et de soins de longue durée Heather Inc.,,RLS de Lanaudière-Nord,CHSLD Heather Inc.,,,,,"3931, Lakeshore Drive",Matawinie,J0K1S0,Province of Quebec,46.0508613586,-73.7022247314,,,,Source
L'Hôpital général juif Sir Mortimer B. Davis,,RLS de Côte-des-Neiges - Métro - Parc-Extension,L'Hôpital général juif Sir Mortimer B. Davis,,,,,"3755, chemin de la Côte-Sainte-Catherin",Montréal,H3T1E2,Province of Quebec,45.4978103638,-73.6288070679,,,,Source
Centre hospitalier universitaire Sainte-Justine,,RLS de Côte-des-Neiges - Métro - Parc-Extension,CHU Sainte-Justine,,,,,"3175, chemin de la Côte-Sainte-Catherin",Montréal,H3T1C5,Province of Quebec,45.5031547546,-73.6249465942,,,,Source
La résidence de Lachute,,RLS d'Argenteuil,La résidence de Lachute,,,,,"377, rue Principale",Argenteuil,J8H1Y1,Province of Quebec,45.6566467285,-74.339263916,,,,Source
Centre de santé Tulattavik de l'Ungava,,,Centre de santé Tulattavik de l'Ungava,,,,,Kuujjuaq,Administration régionale Kativik,J0M1C0,Province of Quebec,58.1070480347,-68.4052734375,,,,Source
Centre hospitalier de St. Mary,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre hospitalier de St. Mary,,,,,"3830, avenue Lacombe",Montréal,H3T1M5,Province of Quebec,45.4949417114,-73.6241378784,,,,Source
Institut national de psychiatrie légale Philippe-Pinel,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Institut national de psychiatrie légale Philippe-Pinel,,,,,"10905, boulevard Henri-Bourassa Est",Montréal,H1C1H1,Province of Quebec,45.6560554504,-73.5336151123,,,,Source
Résidence Riviera Inc.,,RLS de Laval,Résidence Riviera Inc.,,,,,"2999, boulevard Notre-Dame",Laval,H7V4C4,Province of Quebec,45.5486755371,-73.7343673706,,,,Source
L'Hôpital chinois de Montréal (1963),,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,L'Hôpital chinois de Montréal (1963),,,,,"189, avenue Viger Est",Montréal,H2X3Y9,Province of Quebec,45.5095558167,-73.5581207275,,,,Source
Pavillon Ste-Marie Inc.,,RLS de la Rivière-du-Nord - Mirabel-Nord,Pavillon Ste-Marie Inc.,,,,,"45, rue du Pavillon",La Rivière-du-Nord,J7Y3R6,Province of Quebec,45.8080062866,-74.0083770752,,,,Source
Les cèdres - Centre d'accueil pour personnes agées,,RLS du Nord de l'Île - Saint-Laurent,Les cèdres - Centre d'accueil pour personnes agees,,,,,"1275, boulevard de la Côte-Vertu",Montréal,H4L4V2,Province of Quebec,45.5170021057,-73.6799240112,,,,Source
Centre d'hébergement du Boisé Ltée,,RLS de Québec-Sud,Centre d'hébergement du Boisé Ltée,,,,,"3690, boulevard Neilson",Québec,G1W0A9,Province of Quebec,46.754032135,-71.321395874,,,,Source
La corporation du Centre hospitalier gériatrique Maimonides,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,La corporation du Centre hosp. gériatrique Maimonides,,,,,"5795, avenue Caldwell",Montréal,H4W1W3,Province of Quebec,45.4715499878,-73.6684265137,,,,Source
Pavillon Bellevue Inc.,,RLS Alphonse-Desjardins,Pavillon Bellevue Inc.,,,,,"99, rue Monseigneur-Bourget",Lévis,G6V9V2,Province of Quebec,46.819103241,-71.1567382813,,,,Source
Centre métropolitain de chirurgie plastique Inc.,,RLS d'Ahuntsic - Montréal-Nord,Centre métropolitain de chirurgie plastique Inc.,,,,,"999, rue de Salaberry",Montréal,H3L1L2,Province of Quebec,45.5454483032,-73.6929397583,,,,Source
Hôpital Mont-Sinai,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Hôpital Mont-Sinai,,,,,"5690, boulevard Cavendish",Montréal,H4W1S7,Province of Quebec,45.4738426208,-73.6573410034,,,,Source
Hôpital Shriners pour enfants (Québec) Inc.,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Hôpital Shriners pour enfants (Québec) Inc.,,,,,"1003, boulevard Décarie",Montréal,H4A0A9,Province of Quebec,45.4717750549,-73.6019973755,,,,Source
Accueil du Rivage Inc.,,RLS de Richelieu-Yamaska,Accueil du Rivage Inc.,,,,,"1008, rue du Rivage",La Vallée-du-Richelieu,J0L1R0,Province of Quebec,45.7780685425,-73.1733551025,,,,Source
Institut universitaire de cardiologie et de pneumologie de Québec – Université Laval,,RLS de Québec-Sud,IUCPQ – UL,,,,,"2725, chemin Sainte-Foy",Québec,G1V4G5,Province of Quebec,46.7790908813,-71.2976608276,,,,Source
Manoir St-Patrice inc.,,RLS de Laval,Manoir St-Patrice inc.,,,,,"3615, boulevard Perron",Laval,H7V1P4,Province of Quebec,45.5418167114,-73.7410354614,,,,Source
Institut universitaire en santé mentale Douglas,,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Institut universitaire en santé mentale Douglas,,,,,"6875, boulevard Lasalle",Montréal,H4H1R3,Province of Quebec,45.4421348572,-73.5843582153,,,,Source
CHSLD Juif de Montréal,,RLS de Côte-des-Neiges - Métro - Parc-Extension,CHSLD Juif de Montréal,,,,,"5725, avenue Victoria",Montréal,H3W3H6,Province of Quebec,45.4929847717,-73.6337585449,,,,Source
Centre de santé et de services sociaux - Institut universitaire de gériatrie de Sherbrooke,,RLS de Sherbrooke,CSSS- Institut universitaire de gériatrie de Sherbrooke,,,,,"1036, rue Belvédère Sud",Sherbrooke,J1H4C4,Province of Quebec,45.3906669617,-71.8951034546,,,,Source
