,facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,street_no,street_name,street_addr,city,province,postal_code,provider,latitude,longitude,phone,email,website
47,Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue,,RLS de Rouyn-Noranda,CISSS de l'Abitibi-Témiscamingue,,,,,"1, 9e Rue",Rouyn-Noranda,QC,J9X2A9,Province of Quebec,48.2433586121,-79.0210037231,,,
48,Centre intégré de santé et de services sociaux de la Côte-Nord,,RLS de la Haute-Côte-Nord - Manicouagan,CISSS de la Côte-Nord,,,,,"835, boulevard Jolliet",Manicouagan,QC,G5C1P5,Province of Quebec,49.1904411316,-68.2569503784,,,
49,Centre intégré de santé et de services sociaux de la Gaspésie,,RLS de La Côte-de-Gaspé,CISSS de la Gaspésie,,,,,"215, boulevard de York Ouest",La Côte-de-Gaspé,QC,G4X2W2,Province of Quebec,48.8129425049,-64.4966506958,,,
50,Centre intégré de santé et de services sociaux de Laval,,RLS de Laval,CISSS de Laval,,,,,"1755, boulevard René-Laennec",Laval,QC,H7M3L9,Province of Quebec,45.6033210754,-73.7108230591,,,
51,Centre intégré de santé et de services sociaux de Lanaudière,,RLS de Lanaudière-Nord,CISSS de Lanaudière,,,,,"260, rue Lavaltrie Sud",Joliette,QC,J6E5X7,Province of Quebec,46.0181846619,-73.4410705566,,,
52,Centre intégré de santé et de services sociaux des Laurentides,,RLS de la Rivière-du-Nord - Mirabel-Nord,CISSS des Laurentides,,,,,"290, rue de Montigny",La Rivière-du-Nord,QC,J7Z5T3,Province of Quebec,45.7655715942,-74.0001907349,,,
53,Centre intégré de santé et de services sociaux de la Montérégie-Centre,,RLS de Champlain,CISSS de la Montérégie-Centre,,,,,"3141, boulevard Taschereau, bureau 220",Longueuil,QC,J4V2H2,Province of Quebec,45.4977531433,-73.4842071533,,,
54,Centre intégré de santé et de services sociaux de la Montérégie-Est,,RLS de Richelieu-Yamaska,CISSS de la Montérégie-Est,,,,,"2750, boulevard Laframboise",Les Maskoutains,QC,J2S4Y8,Province of Quebec,45.6348342896,-72.9594726563,,,
55,Centre intégré de santé et de services sociaux de la Montérégie-Ouest,,RLS de Jardins-Roussillon,CISSS de la Montérégie-Ouest,,,,,"200, boulevard Brisebois",Roussillon,QC,J6K4W8,Province of Quebec,45.3456611633,-73.7634429932,,,
56,Centre intégré de santé et de services sociaux de Chaudière-Appalaches,,RLS Alphonse-Desjardins,CISSS de Chaudière-Appalaches,,,,,"363, route Cameron",La Nouvelle-Beauce,QC,G6E3E2,Province of Quebec,46.4648017883,-71.0452041626,,,
57,Centre d'hébergement et de soins de longue durée Waldorf S.E.C.,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,CHSLD Waldorf S.E.C.,,,,,"7400, chemin de la Côte-Saint-luc",Montréal,QC,H4W3J4,Province of Quebec,45.4606971741,-73.6583023071,,,
58,Centre d'hébergement et de soins de longue durée de la Villa-de-Val-des-Arbres Inc.,,RLS de Laval,CHSLD de la Villa-de-Val-des-Arbres inc.,,,,,"3245, boulevard Saint-Martin Est",Laval,QC,H7E4T6,Province of Quebec,45.6056098938,-73.6773605347,,,
59,Centre d'hébergement et de soins de longue durée au Cœur-de-la-Vie inc.,,RLS de la Rivière-du-Nord - Mirabel-Nord,CHSLD au Cœur-de-la-Vie inc.,,,,,"325, rue Barrette, 1er étage",La Rivière-du-Nord,QC,J7Y0J8,Province of Quebec,45.7774887085,-74.0143737793,,,
60,Centre d'hébergement et de soins de longue durée Louise-Faubert Inc.,,RLS de Lanaudière-Sud,CHSLD Louise-Faubert Inc.,,,,,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,
61,Centre d'hébergement et de soins de longue durée Marguerite-Rocheleau inc.,,RLS de Lanaudière-Sud,CHSLD Marguerite-Rocheleau inc.,,,,,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,
62,Centre d'hébergement et de soins de longue durée Michèle-Bohec inc.,,RLS de Lanaudière-Sud,CHSLD Michèle-Bohec inc.,,,,,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,45.6871833801,-73.7286453247,,,
63,Centre d'hébergement et de soins de longue durée L.-B.-Desjardins Inc.,,RLS des Pays-d'en-Haut,CHSLD L.-B.-Desjardins Inc.,,,,,"55, avenue Hochar",Les Pays-d'en-Haut,QC,J0R1R6,Province of Quebec,45.8891906738,-74.1569900513,,,
64,Centre d'hébergement et de soins de longue durée des Patriotes Inc.,,RLS de Laval,CHSLD des Patriotes Inc.,,,,,"3245, boulevard Saint-Martin Est",Laval,QC,H7E4T6,Province of Quebec,45.6056098938,-73.6773605347,,,
65,Centre d'hébergement et de soins de longue durée des Îles-de-la-Madeleine inc.,,RLS des Îles-de-la-Madeleine,Centre d'hébergement et de soins de longue durée des Îl,,,,,"596, chemin Principal",Communauté maritime des Îles-de-la-Madeleine,QC,G4T1G1,Province of Quebec,47.3731307983,-61.8730888367,,,
66,Centre d'hébergement et de soins de longue durée de Laval S.E.C.,,RLS de Laval,CHSLD de Laval S.E.C.,,,,,"2805, boulevard Chomedey",Laval,QC,H7P0C2,Province of Quebec,45.5708618164,-73.7665557861,,,
67,Centre d'hébergement et de soins de longue durée de Granby S.E.C.,,RLS de la Haute-Yamaska,CHSLD de Granby S.E.C.,,,,,"80, rue Godue",La Haute-Yamaska,QC,J2J2Z7,Province of Quebec,45.4074707031,-72.7621536255,,,
68,Centre de soins prolongés Grace Dart,,RLS de Hochelaga - Mercier-Ouest - Rosemont,Centre de soins prolongés Grace Dart,,,,,"5155, rue Sainte-Catherine Est",Montréal,QC,H1V2A5,Province of Quebec,45.5594596863,-73.5289077759,,,
69,Hôpital juif de réadaptation,,RLS de Laval,Hôpital juif de réadaptation,,,,,"3205, place Alton-Goldbloom",Laval,QC,H7V1R2,Province of Quebec,45.5487289429,-73.7376403809,,,
70,Centre de réadaptation Lethbridge-Layton-Mackay,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Centre de réadaptation Lethbridge-Layton-Mackay,,,,,"7005, boulevard De Maisonneuve Ouest",Montréal,QC,H4B1T3,Province of Quebec,45.4583435059,-73.6341323853,,,
71,CHSLD Providence Notre-Dame de Lourdes inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Providence Notre-Dame de Lourdes inc.,,,,,"1870, boulevard Pie-IX",Montréal,QC,H1V2C6,Province of Quebec,45.549785614,-73.5406951904,,,
72,Atelier le fil d'Ariane Inc.,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,Atelier le fil d'Ariane Inc.,,,,,"4837, rue Boyer, app. 100",Montréal,QC,H2J3E6,Province of Quebec,45.5294494629,-73.5838394165,,,
73,Résidence Angelica,,RLS d'Ahuntsic - Montréal-Nord,Résidence Angelica,,,,,"3435, boulevard Gouin Est",Montréal,QC,H1H1B1,Province of Quebec,45.5899391174,-73.6513366699,,,
74,Centre de santé et de services sociaux du Haut-Saint-Laurent,,RLS du Haut-Saint-Laurent,CSSS du Haut-Saint-Laurent,,,,,"28, rue Gale",Le Haut-Saint-Laurent,QC,J0S1K0,Province of Quebec,45.1263427734,-73.9998703003,,,
75,CHSLD Bayview Inc.,,RLS de Pierrefonds - Lac Saint-Louis,CHSLD Bayview Inc.,,,,,"27, chemin Lakeshore",Montréal,QC,H9S4H1,Province of Quebec,45.4486465454,-73.786567688,,,
76,Résidence Berthiaume-Du Tremblay,,RLS d'Ahuntsic - Montréal-Nord,Résidence Berthiaume-Du Tremblay,,,,,"1635, boulevard Gouin Est",Montréal,QC,H2C1C2,Province of Quebec,45.5674171448,-73.6630554199,,,
77,La corporation Notre-Dame de Bon-Secours,,RLS de Québec-Sud,La corporation Notre-Dame de Bon-Secours,,,,,"990, rue Gérard-Morisset",Québec,QC,G1S1X6,Province of Quebec,46.788066864,-71.2566070557,,,
78,Hôpital Jeffery Hale - Saint Brigid's,,RLS de Québec-Sud,Hôpital Jeffery Hale - Saint Brigid's,,,,,"1250, chemin Sainte-Foy",Québec,QC,G1S2M6,Province of Quebec,46.7966499329,-71.2530822754,,,
79,Hôpital Santa Cabrini,,RLS de Hochelaga - Mercier-Ouest - Rosemont,Hôpital Santa Cabrini,,,,,"5655, rue Saint-Zotique Est",Montréal,QC,H1T1P7,Province of Quebec,45.5801391602,-73.5717163086,,,
80,Institut de Cardiologie de Montréal,,RLS de Hochelaga - Mercier-Ouest - Rosemont,ICM,,,,,"5000, rue Bélanger",Montréal,QC,H1T1C8,Province of Quebec,45.573764801,-73.5778198242,,,
81,Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie (1995) Inc.,,RLS d'Ahuntsic - Montréal-Nord,Hôp. Marie-Clarac des Soeurs de Charité de Ste-Marie,,,,,"3530, boulevard Gouin Est",Montréal,QC,H1H1B7,Province of Quebec,45.5908355713,-73.6497421265,,,
82,Clinique communautaire de Pointe St-Charles,,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Clinique communautaire de Pointe St-Charles,,,,,"500, avenue Ash",Montréal,QC,H3K2R4,Province of Quebec,45.4783477783,-73.556892395,,,
83,Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie,,RLS de Sherbrooke,CRDITED de l'Estrie,,,,,"1621, rue Prospect",Sherbrooke,QC,J1J1K4,Province of Quebec,45.4101142883,-71.9151916504,,,
84,Maison Elizabeth,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Maison Elizabeth,,,,,"2131, avenue de Marlowe",Montréal,QC,H4A3L4,Province of Quebec,45.4752159119,-73.606880188,,,
85,Centre Miriam,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre Miriam,,,,,"8160, chemin Royden",Montréal,QC,H4P2T2,Province of Quebec,45.4963607788,-73.6618652344,,,
86,Centre universitaire de santé McGill,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,CUSM,,,,,"1001, boulevard Décarie",Montréal,QC,H4A3J1,Province of Quebec,45.4970474243,-73.5890350342,,,
87,Havre-Jeunesse,,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Havre-Jeunesse,,,,,"4360, boulevard Lasalle",Montréal,QC,H4G2A8,Province of Quebec,45.4601860046,-73.5627212524,,,
88,Centre d'hébergement et de soins de longue durée Heather Inc.,,RLS de Lanaudière-Nord,CHSLD Heather Inc.,,,,,"3931, Lakeshore Drive",Matawinie,QC,J0K1S0,Province of Quebec,46.0508613586,-73.7022247314,,,
89,L'Hôpital général juif Sir Mortimer B. Davis,,RLS de Côte-des-Neiges - Métro - Parc-Extension,L'Hôpital général juif Sir Mortimer B. Davis,,,,,"3755, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1E2,Province of Quebec,45.4978103638,-73.6288070679,,,
90,Centre hospitalier universitaire Sainte-Justine,,RLS de Côte-des-Neiges - Métro - Parc-Extension,CHU Sainte-Justine,,,,,"3175, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1C5,Province of Quebec,45.5031547546,-73.6249465942,,,
91,La résidence de Lachute,,RLS d'Argenteuil,La résidence de Lachute,,,,,"377, rue Principale",Argenteuil,QC,J8H1Y1,Province of Quebec,45.6566467285,-74.339263916,,,
92,Centre de santé Tulattavik de l'Ungava,,,Centre de santé Tulattavik de l'Ungava,,,,,Kuujjuaq,Administration régionale Kativik,QC,J0M1C0,Province of Quebec,58.1070480347,-68.4052734375,,,
93,Centre hospitalier de St. Mary,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre hospitalier de St. Mary,,,,,"3830, avenue Lacombe",Montréal,QC,H3T1M5,Province of Quebec,45.4949417114,-73.6241378784,,,
94,Institut national de psychiatrie légale Philippe-Pinel,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Institut national de psychiatrie légale Philippe-Pinel,,,,,"10905, boulevard Henri-Bourassa Est",Montréal,QC,H1C1H1,Province of Quebec,45.6560554504,-73.5336151123,,,
95,Résidence Riviera Inc.,,RLS de Laval,Résidence Riviera Inc.,,,,,"2999, boulevard Notre-Dame",Laval,QC,H7V4C4,Province of Quebec,45.5486755371,-73.7343673706,,,
96,L'Hôpital chinois de Montréal (1963),,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,L'Hôpital chinois de Montréal (1963),,,,,"189, avenue Viger Est",Montréal,QC,H2X3Y9,Province of Quebec,45.5095558167,-73.5581207275,,,
97,Pavillon Ste-Marie Inc.,,RLS de la Rivière-du-Nord - Mirabel-Nord,Pavillon Ste-Marie Inc.,,,,,"45, rue du Pavillon",La Rivière-du-Nord,QC,J7Y3R6,Province of Quebec,45.8080062866,-74.0083770752,,,
98,Les cèdres - Centre d'accueil pour personnes agées,,RLS du Nord de l'Île - Saint-Laurent,Les cèdres - Centre d'accueil pour personnes agees,,,,,"1275, boulevard de la Côte-Vertu",Montréal,QC,H4L4V2,Province of Quebec,45.5170021057,-73.6799240112,,,
99,Centre d'hébergement du Boisé Ltée,,RLS de Québec-Sud,Centre d'hébergement du Boisé Ltée,,,,,"3690, boulevard Neilson",Québec,QC,G1W0A9,Province of Quebec,46.754032135,-71.321395874,,,
100,La corporation du Centre hospitalier gériatrique Maimonides,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,La corporation du Centre hosp. gériatrique Maimonides,,,,,"5795, avenue Caldwell",Montréal,QC,H4W1W3,Province of Quebec,45.4715499878,-73.6684265137,,,
101,Pavillon Bellevue Inc.,,RLS Alphonse-Desjardins,Pavillon Bellevue Inc.,,,,,"99, rue Monseigneur-Bourget",Lévis,QC,G6V9V2,Province of Quebec,46.819103241,-71.1567382813,,,
102,Centre métropolitain de chirurgie plastique Inc.,,RLS d'Ahuntsic - Montréal-Nord,Centre métropolitain de chirurgie plastique Inc.,,,,,"999, rue de Salaberry",Montréal,QC,H3L1L2,Province of Quebec,45.5454483032,-73.6929397583,,,
103,Hôpital Mont-Sinai,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Hôpital Mont-Sinai,,,,,"5690, boulevard Cavendish",Montréal,QC,H4W1S7,Province of Quebec,45.4738426208,-73.6573410034,,,
104,Hôpital Shriners pour enfants (Québec) Inc.,,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Hôpital Shriners pour enfants (Québec) Inc.,,,,,"1003, boulevard Décarie",Montréal,QC,H4A0A9,Province of Quebec,45.4717750549,-73.6019973755,,,
105,Accueil du Rivage Inc.,,RLS de Richelieu-Yamaska,Accueil du Rivage Inc.,,,,,"1008, rue du Rivage",La Vallée-du-Richelieu,QC,J0L1R0,Province of Quebec,45.7780685425,-73.1733551025,,,
106,Institut universitaire de cardiologie et de pneumologie de Québec – Université Laval,,RLS de Québec-Sud,IUCPQ – UL,,,,,"2725, chemin Sainte-Foy",Québec,QC,G1V4G5,Province of Quebec,46.7790908813,-71.2976608276,,,
107,Manoir St-Patrice inc.,,RLS de Laval,Manoir St-Patrice inc.,,,,,"3615, boulevard Perron",Laval,QC,H7V1P4,Province of Quebec,45.5418167114,-73.7410354614,,,
108,Institut universitaire en santé mentale Douglas,,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Institut universitaire en santé mentale Douglas,,,,,"6875, boulevard Lasalle",Montréal,QC,H4H1R3,Province of Quebec,45.4421348572,-73.5843582153,,,
109,CHSLD Juif de Montréal,,RLS de Côte-des-Neiges - Métro - Parc-Extension,CHSLD Juif de Montréal,,,,,"5725, avenue Victoria",Montréal,QC,H3W3H6,Province of Quebec,45.4929847717,-73.6337585449,,,
