idx,facility_name,facility_type,number_beds,longitude,latitude,street_no,street_name,phone,provider
26,ALOUETTE SPECIAL CARE HOME/FOYER DE SOINS SPECIAUX,Special Care Home,55,-64.68862347099997,46.05528082400008,2100,AMIRAULT,(506) 857-9200,Moncton
27,AUBERGE DU SOLEIL,Special Care Home,130,-64.69373470199997,46.07746432300007,125,AUCOIN,(506) 858-8558,Moncton
28,DALY'S HOME CARE INC,Special Care Home,10,-64.80321138599999,46.04796458300007,28,TRIDER,(506) 874-0757,Moncton
29,EMERY HOUSE,Special Care Home,9,-64.75769593899997,46.07761605500008,88,EMERY,(506) 387-4518,Moncton
30,MAZEROLLE SPECIAL CARE HOME LTD.,Special Care Home,26,-64.73642840799994,46.09626533400007,448,GAUVIN,(506) 861-9011,Moncton
31,RESIDENCE BELLEVUE,Special Care Home,40,-64.73141967199996,46.08453111500006,36,CHARTERSVILLE,(506) 857-2077,Moncton
32,RESIDENCE DU MARAIS LTEE,Special Care Home,65,-64.73361896599994,46.08267490500003,371,AMIRAULT,(506) 858-1318,Moncton
33,RESIDENCE MONCTON - AILE CENTENNAIRE,Special Care Home,50,-64.79657545799995,46.09150629700008,270,JOHN,(506) 389-0100,Moncton
34,RESIDENCE MONCTON RESIDENCE I,Special Care Home,60,-64.79774073699997,46.09166895100003,270,JOHN,(506) 389-0100,Moncton
35,RÉSIDENCE OASIS RESIDENCE INC,Special Care Home,60,-64.72467825099994,46.07262830600007,855,AMIRAULT,(506) 855-6676,Moncton
36,RESIDENCE REINE DE LA PAIX,Special Care Home,21,-64.72488698299998,46.09991708500007,700,CHAMPLAIN,(506) 859-8707,Moncton
37,RESIDENCE VIRGINIA INC,Special Care Home,10,-64.74898529999996,46.09328668300003,175,VIRGINIA,(506) 388-5763,Moncton
38,RESIDENCE AUSTIN INC,Special Care Home,10,-64.75139517899999,46.10026468600006,620,LATOUR,(506) 382-5023,Moncton
39,"SHANNEX RLC LIMITED, CANTERBURY HALL",Special Care Home,60,-64.82748934199998,46.05597877000008,824,COVERDALE,(506) 387-7770,Moncton
40,SHAR'S CARE,Special Care Home,15,-64.78650306599997,46.08749550500005,53,WELDON,(506) 858-9948,Moncton
41,SHAR'S CARE II,Special Care Home,12,-64.77701769999999,46.09087424900008,72,BOTSFORD,(506) 858-9948,Moncton
42,The Kenneth E. Spencer Nursing Home Inc.,Licensed Nursing Homes,200,-64.85819096699998,46.06020341000004,35,ATLANTIC BAPTIST,(506) 858-7870,Moncton
43,Shannex RLC Ltd. - Monarch Hall,Licensed Nursing Homes,72,-64.82836552099997,46.05539157300007,826,COVERDALE,(506) 387-7770,Moncton
44,The Salvation Army Lakeview Manor,Licensed Nursing Homes,50,-64.81085469099997,46.06477331800005,50,SUFFOLK,(506) 387-2012,Moncton
45,Villa du Repos Inc,Licensed Nursing Homes,186,-64.77590636799994,46.11856061100008,125,MURPHY,(506) 857-3560,Moncton
46,Villa Heritage Inc,Senior Complex,0,-64.77448234899998,46.11888189100006,500,ELMWOOD,(506) 856-9705,Moncton
47,MCNAIR MANOR - 11 BEECHWOOD,Special Care Home,22,-64.78205565399998,46.11507281700005,11,BEECHWOOD,(506) 851-5852,Moncton
48,MCNAIR MANOR- 44 BEECHWOOD,Special Care Home,18,-64.78132954799997,46.11596181900006,44,BEECHWOOD,(506) 851-5852,Moncton
49,MCNAIR MANOR - RIVERVIEW,Special Care Home,18,-64.82040326199996,46.04828178500003,137,WHITEPINE,(506) 851-5852,Moncton
50,SERENACARE INC,Specialized Care Bed Homes,13,-64.85574954699996,46.12441352600007,4,BRIARLEA,(506) 389-3205,Moncton
51,SERENACARE BY SERENE LIVING INC,Specialized Care Bed Homes,18,-64.85312294499994,46.10598883000006,15,LADY RUSSELL,(506) 204-9155,Moncton
52,HILLSIDE VIEW SPECIAL CARE HOME INC,Specialized Care Bed Homes,13,-64.87972697499998,46.14658772100006,560,FRONT MOUNTAIN,(506) 388-3018,Moncton
53,PROTEM HEALTH SERVICES INC. - 77 GORGE ROAD,Specialized Care Bed Homes,10,-64.85563123099996,46.12532211000007,77,GORGE,(506) 854-3700,Moncton
54,PROTEM HEALTH SERVICES INC. - 61 GORGE ROAD,Specialized Care Bed Homes,10,-64.85513777199998,46.12487691900003,61,GORGE,(506) 854-3700,Moncton
55,PROTEM HEALTH SERVICES INC. - 71 GORGE ROAD,Specialized Care Bed Homes,10,-64.85543184799997,46.12511924500006,71,GORGE,(506) 854-3700,Moncton
56,PROTEM HEALTH SERVICES INC. - 2069 MOUNTAIN ROAD,Special Care Home,10,-64.85822975299993,46.12457816900007,2069,MOUNTAIN,(506) 854-3700,Moncton
57,PROTEM HEALTH SERVICES INC. - 2166 MOUNTAIN ROAD,Special Care Home,10,-64.86290074399994,46.12524534500005,2166,MOUNTAIN,(506) 854-3700,Moncton
58,RESIDENCE BEAUX SOUVENIRS LTEE,Special Care Home,19,-64.73212214399996,46.08236276300005,393,AMIRAULT,(506) 204-8200,Moncton
59,RESIDENCE MONCTON - AILE VICTORIA I,Specialized Care Bed Homes,18,-64.79636214599998,46.09154358200004,240,JOHN,(506) 389-0100,Moncton
60,RESIDENCE MONCTON RESIDENCE II,Special Care Home,60,-64.79772535899997,46.09150206300006,270,JOHN,(506) 389-0100,Moncton
61,THE BRIARLEA II,Special Care Home,12,-64.85873475499994,46.12604266100004,75,BRIARLEA,(506) 857-8866,Moncton
62,Faubourg du Mascaret,Senior Complex,64,-64.78488550899993,46.11138032500003,171,MORTON,384-7275,Moncton
63,Shannex RLC Ltd. - Pavillon Richard,Licensed Nursing Home,64,-64.78576974399994,46.11207068800007,189,MORTON,(506) 854-2381,Moncton
64,THE BRIARLEA 4,Specialized Care Bed Homes,6,-64.86098044099998,46.10416388900006,599,RYAN,(506) 204-3139,Moncton
65,THE BRIARLEA 5,Specialized Care Bed Homes,18,-64.86098044099998,46.10416388900006,599,RYAN,(506) 204-3139,Moncton
66,THE BRIARLEA 3,Special Care Home,10,-64.86098044099998,46.10416388900006,599,RYAN,(506) 204-3139,Moncton
67,RESIDENCE MONCTON - AILE VICTORIA II,Specialized Care Bed Homes,18,-64.79623484399997,46.09156304800007,240,JOHN,(506) 389-0100,Moncton
