idx,facility_name,facility_type,longitude,latitude,street_addr,city,phone,website,provider
17,SHOPPERS DRUG MART #2448,covid_vaccination_centres,-113.476514590714,53.424564756072,924 91 ST SW,EDMONTON,780-485-5550,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
18,SAFEWAY PHARMACY #8928,covid_vaccination_centres,-113.390521685516,53.571622813917,146-3210 118 AVE NW,EDMONTON,780-477-0855,https://www.safeway.ca/vaccine-registration/,Calgary
19,MEDICINE SHOPPE PHARMACY 274,covid_vaccination_centres,-113.524161202349,53.453244283322,831 SADDLEBACK RD NW,EDMONTON,780-435-3345,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-274-7041890,Calgary
20,MEDICINE SHOPPE PHARMACY 390,covid_vaccination_centres,-113.376443459449,53.455095944726,2356 23 AVE NW,EDMONTON,780-485-1378,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-390-7028732,Calgary
21,SHOPPERS DRUG MART #350,covid_vaccination_centres,-113.955696303554,51.098037970341,5500 FALSBRIDGE DR NE,CALGARY,403-293-2560,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
22,SHOPPERS DRUG MART #2311,covid_vaccination_centres,-118.818335357741,55.152181284874,10720 78 AVE,GRANDE PRAIRIE,780-814-9028,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
23,ALPINE DRUG MART,covid_vaccination_centres,-114.918034857121,52.377331062776,5132 49 ST,ROCKY MOUNTAIN HOUSE,403-845-6904,https://alpinevaluedrugmart.medmeapp.com/schedule,Calgary
24,WEST HEALTH PHARMACY,covid_vaccination_centres,-113.590327663329,53.550704859209,10660 156 ST NW,EDMONTON,780-244-1390,,Calgary
25,LIFECARE PHARMACY,covid_vaccination_centres,-113.618087899443,53.433752289036,1332 WINDERMERE WAY SW,EDMONTON,780-710-7107,,Calgary
26,SAFEWAY PHARMACY #8874,covid_vaccination_centres,-113.323712186619,53.513508954399,985 FIR ST,SHERWOOD PARK,780-467-0153,https://www.safeway.ca/vaccine-registration/,Calgary
27,SAFEWAY PHARMACY #8907,covid_vaccination_centres,-111.373985053452,56.723376621491,9601 FRANKLIN AVE,FORT MCMURRAY,780-790-2388,https://www.safeway.ca/vaccine-registration/,Calgary
28,SHOPPERS DRUG MART #2325,covid_vaccination_centres,-114.455939228236,55.33570302024,300-1500 MAIN ST SW,SLAVE LAKE,780-849-4556,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
29,WALDINS PHARMACY LTD.,covid_vaccination_centres,-113.469594459312,53.452702924343,9124 23 AVE NW,EDMONTON,780-756-3350,,Calgary
30,WAL-MART PHARMACY #3151,covid_vaccination_centres,-114.060665581292,50.901019934276,100-310 SHAWVILLE BLVD SE,CALGARY,403-201-5426,https://portal.healthmyself.net/walmartab/forms/a66,Calgary
31,LOBLAW PHARMACY #1541,covid_vaccination_centres,-112.789107414996,49.659238907706,3515 MAYOR MAGRATH DR S,LETHBRIDGE,403-331-2535,https://www.realcanadiansuperstore.ca/covid19,Calgary
32,MEDICINE SHOPPE PHARMACY 411,covid_vaccination_centres,-114.012208840625,51.286574660334,3-704 MAIN ST SE,AIRDRIE,403-980-1587,https://www.medicineshoppe.ca/en/alberta/airdrie/the-medicine-shoppe-pharmacy-411-7046160,Calgary
33,MACMILLAN'S PHARMACY,covid_vaccination_centres,-114.974677830623,53.228599951943,108-4930 55 AVE,DRAYTON VALLEY,780-542-5102,,Calgary
34,PACIFIC PLACE PHARMASAVE #393,covid_vaccination_centres,-113.984034880581,51.062295807405,958B-999 36 ST NE,CALGARY,403-768-0202,https://www.pacificplacepharmasave.com,Calgary
35,SHOPPERS DRUG MART #323,covid_vaccination_centres,-113.628150686585,53.644420761707,108-392 ST. ALBERT TR,ST ALBERT,780-458-5880,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
36,SHOPPERS DRUG MART #2405,covid_vaccination_centres,-113.409828928627,53.597712755115,4940 137 AVE NW,EDMONTON,780-670-5097,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
37,SHOPPERS DRUG MART #349,covid_vaccination_centres,-114.082480730546,50.986009735507,7606 ELBOW DRIVE SW,CALGARY,403-255-1851,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
38,ZENRX PHARMACY,covid_vaccination_centres,-114.094329459806,51.056612096818,450 14 ST NW,CALGARY,403-270-7444,,Calgary
39,CROWBOROUGH PHARMACY,covid_vaccination_centres,-113.591434814768,53.429818018834,111-6055 ANDREWS WAY SW,EDMONTON,587-735-3492,https://www.crowboroughpharmacy.com,Calgary
40,LOBLAW PHARMACY #4410,covid_vaccination_centres,-113.389639959308,49.722390628055,1906 8 AVE,FORT MACLEOD,403-553-7905,https://www.yourindependentgrocer.ca/covid19,Calgary
41,SHOPPERS DRUG MART #341,covid_vaccination_centres,-113.914592815134,53.542823113697,WESTLAND MALL,SPRUCE GROVE,780-962-5202,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
42,CO-OP PHARMACY STONY PLAIN,covid_vaccination_centres,-114.00669961495,53.530084965389,4917A 50 AVE,STONY PLAIN,780-963-8432,,Calgary
43,Macleod South,covid_vaccination_centres,-114.069365771431,50.919813432719,14815 Bannister Road SE,CALGARY,811,https://www.albertahealthservices.ca/topics/Page17295.aspx,Calgary
44,REXALL #7517,covid_vaccination_centres,-112.90179382959,49.673255665416,20-12 AQUITANIA BLVD W,LETHBRIDGE,587-486-9357,https://www.rexall.ca/covid-19/alberta-vaccine,Calgary
45,SRX PHARMACY #2,covid_vaccination_centres,-113.52042454397,53.522827365083,B01-8625 112 ST,EDMONTON,587-454-2413,,Calgary
46,WILLOW PARK PHARMASAVE #362,covid_vaccination_centres,-113.548897557789,53.273045475192,5905 50 ST,LEDUC,780-612-6994,https://leducpharmasave.com,Calgary
47,SAVE-ON-FOODS PHARMACY #6628,covid_vaccination_centres,-118.821734447946,55.175161657248,10819 106 AVE,GRANDE PRAIRIE,780-402-2530,https://saveonfoodspharmacy.medmeapp.com/schedule/,Calgary
48,WOODS DISPENSARY,covid_vaccination_centres,-112.797677109449,49.673373272921,2931 20 AVE S,LETHBRIDGE,403-328-0822,,Calgary
49,MORINVILLE PHARMACY,covid_vaccination_centres,-113.654470967571,53.801596933093,103-10507 100 AVE,MORINVILLE,780-572-6155,,Calgary
50,REXALL #7228,covid_vaccination_centres,-114.068216005857,51.140796689248,300-9650 HARVEST HILLS BLVD NE,CALGARY,403-567-9102,https://www.rexall.ca/covid-19/alberta-vaccine,Calgary
51,SHOPPERS DRUG MART #2396,covid_vaccination_centres,-113.431485216983,53.4603311367,6428 28 AVE NW,EDMONTON,780-463-8833,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
52,REXALL #7215,covid_vaccination_centres,-113.240820078668,53.682000121159,116 TOWN CREST RD,FORT SASKATCHEWAN,780-998-3217,https://www.rexall.ca/covid-19/alberta-vaccine,Calgary
53,LUKES DRUG MART-KILLARNEY,covid_vaccination_centres,-114.135938230545,51.029796382965,3407 26 AVE SW,CALGARY,403-242-1566,https://www.lukesdrugmart.com,Calgary
54,WAL-MART PHARMACY #1094,covid_vaccination_centres,-113.599932740043,53.438863726373,6110 CURRENTS DR NW,EDMONTON,780-438-1161,https://portal.healthmyself.net/walmartab/forms/a66,Calgary
55,SAFEWAY PHARMACY #8915,covid_vaccination_centres,-110.684512000196,50.033078595228,615 DIVISION AVE SE,MEDICINE HAT,403-504-2925,https://www.safeway.ca/vaccine-registration/,Calgary
56,DOAN PHARMACY LTD,covid_vaccination_centres,-113.509822116618,53.551704229591,10920 107 AVE NW,EDMONTON,780-423-8088,,Calgary
57,DISCOVERY RIDGE COMPOUNDING PHARMACY AND TRAVEL CLINIC,covid_vaccination_centres,-114.213629830169,51.015641071732,712-10 DISCOVERY RIDGE HILL SW,CALGARY,403-475-4325,https://www.discoveryridgepharmacy.ca,Calgary
58,CONNECTCARE PHARMACY SPRUCE GROVE,covid_vaccination_centres,-113.883540499607,53.566282446392,214-20 WESTWIND DR,SPRUCE GROVE,587-461-2060,,Calgary
59,WAL-MART PHARMACY #3029,covid_vaccination_centres,-113.46745029672,53.442677602762,1203 PARSONS RD NW,EDMONTON,780-465-1595,https://portal.healthmyself.net/walmartab/forms/a66,Calgary
60,CO-OP PHARMACY TRADER RIDGE,covid_vaccination_centres,-118.799997030238,55.200462671368,13201 102 ST,GRANDE PRAIRIE,780-402-8299,,Calgary
61,HEALTH WAY PHARMACY,covid_vaccination_centres,-114.072461487842,51.001876063419,109-5809 MACLEOD TR SW,CALGARY,403-460-3825,,Calgary
62,RX DRUG MART #2021,covid_vaccination_centres,-116.495813124816,55.43343175495,5004 53 AVE,HIGH PRAIRIE,780-523-3878,,Calgary
63,SHOPPERS DRUG MART #2341,covid_vaccination_centres,-113.860229882354,54.156388348525,10015 107 ST,WESTLOCK,780-349-3388,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
64,SAFEWAY PHARMACY #8989,covid_vaccination_centres,-113.963109561544,50.930452981572,100-4915 130 AVE SE,CALGARY,403-257-8520,https://www.safeway.ca/vaccine-registration/,Calgary
65,STAFFORD PHARMACY & HOME HEALTHCARE,covid_vaccination_centres,-112.831444088251,49.718390713074,5-1475 ST. EDWARD BLVD N,LETHBRIDGE,403-320-6500,https://www.book.pharmachoice.com/%28403%29320-6500,Calgary
66,MEDICINE SHOPPE PHARMACY 370,covid_vaccination_centres,-113.527751786438,53.475632110504,11407 40 AVE NW,EDMONTON,780-468-1557,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-370-7010470,Calgary
67,SHOPPERS DRUG MART #325,covid_vaccination_centres,-114.205719907548,51.116949155658,198-8060 SILVER SPRINGS BLVD,CALGARY,403-288-1125,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
68,Deerfoot North Clinic,covid_vaccination_centres,-114.043151983058,51.080715254995,911 32 Avenue NE,CALGARY,811,https://www.albertahealthservices.ca/topics/Page17295.aspx,Calgary
69,RX DRUG MART #2023,covid_vaccination_centres,-112.855993476578,53.015857891251,1-6601 48 AVE,CAMROSE,780-672-0100,https://www.remedys.ca,Calgary
70,MEDICINE SHOPPE PHARMACY 349,covid_vaccination_centres,-111.428587001652,56.752882035554,141B-355 LOUTIT RD,FORT MCMURRAY,780-790-1234,https://www.medicineshoppe.ca/en/alberta/fort-mcmurray/the-medicine-shoppe-pharmacy-349-7000617,Calgary
71,MELL PHARMACY,covid_vaccination_centres,-114.095937273032,51.082603666912,771 NORTH MOUNT DR NW,CALGARY,403-454-5244,https://mellpharmacy.medmeapp.ca/schedule,Calgary
72,LOBLAW PHARMACY #4202,covid_vaccination_centres,-115.672239843723,54.142987702579,4420 52 AVE,WHITECOURT,780-706-4091,https://www.nofrills.ca/covid19,Calgary
73,LONDONDALE GUARDIAN PHARMACY,covid_vaccination_centres,-113.458251414901,53.607757987354,7606 144 AVE NW,EDMONTON,780-475-0040,https://www.bookyourvisit.ca/londondale,Calgary
74,PHARMASAVE HIDDEN VALLEY,covid_vaccination_centres,-114.1037701307,51.155092700742,311-11 HIDDEN CREEK DR NW,CALGARY,403-275-1000,https://hiddenvalley.medmeapp.ca/schedule/,Calgary
75,KAI HEALTH (KENSINGTON) PHARMACY,covid_vaccination_centres,-113.53905949942,53.593309172888,12620A 132 AVE NW,EDMONTON,780-488-6699,,Calgary
76,REXALL #7248,covid_vaccination_centres,-113.44180565824,53.600391310113,13709 66 ST NW,EDMONTON,780-456-5706,https://www.rexall.ca/covid-19/alberta-vaccine,Calgary
77,SOUTHBANK REMEDY'S RX,covid_vaccination_centres,-113.944449801719,50.705910260577,120-158 SOUTHBANK ST,OKOTOKS,403-982-9779,https://southbankpharmacy.myappts.ca,Calgary
78,SAFEWAY PHARMACY #8883,covid_vaccination_centres,-112.872363982933,53.018085699236,200 CORNERSTONE,CAMROSE,780-672-1680,https://www.safeway.ca/vaccine-registration/,Calgary
79,WEST POINTE PHARMACY,covid_vaccination_centres,-113.963778378731,51.101015548694,124-4850 WESTWINDS DR NE,CALGARY,403-285-6555,,Calgary
80,FOURNIER DRUGS,covid_vaccination_centres,-119.11662083776,53.888389258155,1306 SHOPPERS PARK MALL,GRANDE CACHE,780-827-3230,,Calgary
81,SAFEWAY PHARMACY #8895,covid_vaccination_centres,-113.513419984219,53.518886284891,10930 82 AVE NW,EDMONTON,780-439-9767,https://www.safeway.ca/vaccine-registration/,Calgary
82,GLENGARRY PHARMACY,covid_vaccination_centres,-113.532978758944,53.60060701202,115-12222 137 AVE NW,EDMONTON,780-473-6636,https://glengarrypharmacy.myappts.ca/src/,Calgary
83,MEDICINE SHOPPE PHARMACY 377,covid_vaccination_centres,-113.44449610362,53.592134050171,6610 132 AVE NW,EDMONTON,780-705-7150,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-377-7022763,Calgary
84,PHARMASAVE MILLIGAN DRIVE,covid_vaccination_centres,-113.96674805955,50.732716216874,2-100 MILLIGAN DR,OKOTOKS,403-982-7663,https://okotokspharmasave.medmeapp.com/schedule/,Calgary
85,ROSEWOOD PHARMACY,covid_vaccination_centres,-113.297680613605,53.527933931222,120-201 FESTIVAL WAY,SHERWOOD PARK,587-200-0159,,Calgary
86,PHARMASAVE #377,covid_vaccination_centres,-113.452092701773,53.628235248133,ROYAL CENTRE NORTH,EDMONTON,780-705-2528,,Calgary
87,PHARMASAVE #397,covid_vaccination_centres,-118.385627886225,56.066591542102,11015 102 AVE,FAIRVIEW,780-835-3485,,Calgary
88,MONTROSE PHARMACY,covid_vaccination_centres,-113.451476716981,53.571027154189,7240 118 AVE NE,EDMONTON,780-249-4833,,Calgary
89,BERWYN PHARMACY LTD,covid_vaccination_centres,-117.736206831898,56.14709753687,5115 51 ST,BERWYN,780-338-3071,,Calgary
90,LONDON DRUGS #33,covid_vaccination_centres,-114.123641530305,51.085049569587,3630 BRENTWOOD RD NW,CALGARY,403-289-4512,https://www.londondrugs.com/covid19,Calgary
91,REXALL #7282,covid_vaccination_centres,-114.085676039869,50.948796417903,14-11625 ELBOW DR SW,CALGARY,403-281-7333,https://www.rexall.ca/covid-19/alberta-vaccine,Calgary
92,VILLAGE LANE PHARMACY,covid_vaccination_centres,-113.983487115213,50.719695787059,15-1300 VILLAGE LANE,OKOTOKS,403-938-0110,,Calgary
93,MEDICINE SHOPPE PHARMACY 251,covid_vaccination_centres,-113.785123306087,52.266591185737,3805 ROSS ST,RED DEER,403-343-8088,https://www.medicineshoppe.ca/en/alberta/red-deer/the-medicine-shoppe-pharmacy-251-7040887,Calgary
94,MINT HEALTH + DRUGS: LANGDON,covid_vaccination_centres,-113.680182401109,50.974118782111,107-355 CENTRE ST,LANGDON,403-936-0448,https://www.mintdrugs.com,Calgary
95,CHAPARRAL PHARMACY,covid_vaccination_centres,-114.036155617336,50.88771768681,210-10 CHAPARRAL DR SE,CALGARY,403-475-5544,https://www.chaparralpharmacy.ca/book-your-pfizer-covid-19-immunization/,Calgary
96,NOTTINGHAM PHARMACY,covid_vaccination_centres,-113.274800778197,53.512702358121,300-664 WYE RD,SHERWOOD PARK,780-570-0995,,Calgary
97,TWIN BROOKS PHARMACY,covid_vaccination_centres,-113.517144530478,53.439233380019,11029 9 AVE NW,EDMONTON,780-784-0462,http://www.twinbrookspharmacy.com,Calgary
98,WAL-MART PHARMACY #1089,covid_vaccination_centres,-114.04513136764,50.984264354681,7979 11 ST SE,CALGARY,403-251-2671,https://portal.healthmyself.net/walmartab/forms/a66,Calgary
99,KINSOL PHARMACY,covid_vaccination_centres,-114.045299414964,51.053204850657,803 1 AVE NE,CALGARY,587-351-8923,,Calgary
100,SHOPPERS DRUG MART #326,covid_vaccination_centres,-113.809833745851,52.243003187315,A6-4900 MOLLY BANNISTER DR,RED DEER,403-343-3355,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
101,PHARMASAVE #3011,covid_vaccination_centres,-113.689787735044,53.551686569679,10652 WINTERBURN RD NW,EDMONTON,825-202-8450,,Calgary
102,LOBLAW PHARMACY #1566,covid_vaccination_centres,-113.411122872572,53.598640852037,4950 137 AVE,EDMONTON,780-472-4735,https://www.realcanadiansuperstore.ca/covid19,Calgary
103,PINERIDGE PHARMACY,covid_vaccination_centres,-113.946368947731,51.081127099762,7-3250 60 ST NE,CALGARY,403-568-0095,,Calgary
104,Brentwood Village Mall,covid_vaccination_centres,-114.126276215059,51.085152769287,3630 Brentwood Road NW,CALGARY,811,https://www.albertahealthservices.ca/topics/Page17295.aspx,Calgary
105,GATEWAY PHARMACY,covid_vaccination_centres,-113.494821822752,53.477515287887,942-3803 CALGARY TR NW,EDMONTON,780-466-6337,,Calgary
106,REXALL #7513,covid_vaccination_centres,-113.731234770253,53.353256386987,101-180 MIQUELON AVE,DEVON,780-987-3793,https://www.rexall.ca/covid-19/alberta-vaccine,Calgary
107,SHOPPERS DRUG MART #385,covid_vaccination_centres,-114.094396457533,51.05269886383,1436 KENSINGTON RD NW,CALGARY,403-521-0329,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
108,PHARMASAVE #308,covid_vaccination_centres,-113.582251976908,50.025439697552,114 49 AVE W,CLARESHOLM,403-625-2727,,Calgary
109,EXCELHEALTH PHARMACY,covid_vaccination_centres,-114.062178916677,51.01890955539,100-3916 MACLEOD TR SW,CALGARY,587-351-4036,https://bookyourvisit.ca/excelhealth,Calgary
110,RITA'S APOTHECARY & HOME HEALTHCARE,covid_vaccination_centres,-114.404312824431,54.120222895667,5036A 50 ST,BARRHEAD,780-674-6656,,Calgary
111,SHOPPERS DRUG MART #2402,covid_vaccination_centres,-113.980077086299,53.538673995076,400-4300 SOUTH PARK DR,STONY PLAIN,780-963-6946,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
112,SHOPPERS DRUG MART #2370,covid_vaccination_centres,-113.543234253532,53.616598356705,12955 153 AVE NW,EDMONTON,780-476-3738,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
113,BRINTNELL PHARMACY & TRAVEL CLINIC,covid_vaccination_centres,-113.407555814763,53.628658415754,3-4303 167 AVE NW,EDMONTON,587-525-8650,https://www.brintnellpharmacy.com,Calgary
114,VISTA HEIGHTS PHARMACY,covid_vaccination_centres,-114.012548287977,51.069493080727,110-2066 18 AVE NE,CALGARY,403-291-4525,,Calgary
115,ABEX PHARMACY,covid_vaccination_centres,-113.239079730429,53.682062035116,103-121 TOWN CREST RD,FORT SASKATCHEWAN,780-589-2239,,Calgary
116,SHOPPERS DRUG MART #344,covid_vaccination_centres,-113.494094645815,53.543869234978,EDMONTON CITY CENTRE WEST,EDMONTON,780-428-7110,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
117,SHOPPERS DRUG MART #2301,covid_vaccination_centres,-113.563185201962,53.453473532897,14135 23 AVE NW,EDMONTON,780-436-5135,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
118,OKOTOKS H.C. PHARMACY,covid_vaccination_centres,-113.978440730864,50.726004721434,1-74 ELIZABETH ST,OKOTOKS,403-995-1080,https://www.okotokshcpharmacy.ca,Calgary
119,TOWER DRUGS,covid_vaccination_centres,-114.06505991705,51.044461460373,137-131 9 AVE SW,CALGARY,403-261-2006,,Calgary
120,WAL-MART PHARMACY #5708,covid_vaccination_centres,-113.971400655452,50.703883372141,500-201 SOUTHRIDGE DR,OKOTOKS,403-995-1375,https://portal.healthmyself.net/walmartab/forms/a66,Calgary
121,CLEARWATER PHARMACY,covid_vaccination_centres,-113.490405239535,53.615199183593,15345 97 ST NW,EDMONTON,780-476-8383,,Calgary
122,RABBIT HILL PHARMACY,covid_vaccination_centres,-113.562534847989,53.454986027892,14030 23 AVE NW,EDMONTON,780-989-5100,,Calgary
123,SAFEWAY PHARMACY #8912,covid_vaccination_centres,-114.115708863941,51.022818459413,2425 34 AVE SW,CALGARY,403-217-1011,https://www.safeway.ca/vaccine-registration/,Calgary
124,SOBEYS PHARMACY #5020,covid_vaccination_centres,-113.97745854589,50.880294626745,3000-356 CRANSTON RD SE,CALGARY,403-257-9800,https://www.safeway.ca/vaccine-registration/,Calgary
125,TARADALE PHARMACY,covid_vaccination_centres,-113.946279130543,51.099901462466,525-6520 FALCONRIDGE DR NE,CALGARY,587-349-4250,https://www.travelcliniccalgary.ca/,Calgary
126,MEDICINE SHOPPE PHARMACY 410,covid_vaccination_centres,-113.933568001775,53.553466520011,108-1 HAWTHORNE GATE,SPRUCE GROVE,780-760-7621,https://www.medicineshoppe.ca/en/alberta/spruce-grove/medicine-shoppe-pharmacy-410-7045340,Calgary
127,SAFEWAY PHARMACY #8826,covid_vaccination_centres,-114.013701982982,50.984124538243,7740 18 ST SE,CALGARY,403-279-2220,https://www.safeway.ca/vaccine-registration/,Calgary
128,MEDICINE SHOPPE PHARMACY 314,covid_vaccination_centres,-114.110163730709,50.908839369513,3105-230 EVERSYDE BLVD SW,CALGARY,403-201-0180,https://www.medicineshoppe.ca/en/alberta/calgary/the-medicine-shoppe-pharmacy-314-7012400,Calgary
129,PHARMASAVE WHITEHORN #3018,covid_vaccination_centres,-113.958600629007,51.092013087792,BAY 17-4525 52 ST NE,CALGARY,403-888-1551,,Calgary
130,PELICAN PLACE PHARMACY,covid_vaccination_centres,-114.095972338773,52.299413128754,110-10 PELICAN PL,SYLVAN LAKE,403-864-5192,,Calgary
131,GIROUX PHARMASAVE,covid_vaccination_centres,-113.671425832647,53.639986806715,215-4 VERSAILLES AVE,ST ALBERT,780-569-3302,,Calgary
132,SAFEWAY PHARMACY #8924,covid_vaccination_centres,-113.293059390316,53.531134652851,110-2020 SHERWOOD DR,SHERWOOD PARK,780-467-3222,https://www.safeway.ca/vaccine-registration/,Calgary
133,Northgate Village Mall,covid_vaccination_centres,-113.985298057389,51.055832554703,495 36 Street NE,CALGARY,811,https://www.albertahealthservices.ca/topics/Page17295.aspx,Calgary
134,ARROWWOOD PHARMACY,covid_vaccination_centres,-113.152292777906,50.737475345324,3-6 RAILWAY AVE W,ARROWWOOD,403-534-3333,,Calgary
135,SOBEYS PHARMACY #1139,covid_vaccination_centres,-114.057939626849,51.155556580981,200-500 COUNTRY HILLS BLVD NE,CALGARY,403-567-9302,https://www.safeway.ca/vaccine-registration/,Calgary
136,D&M PHARMACY AND TRAVEL CLINIC,covid_vaccination_centres,-114.106986228685,51.07046504501,1505 19 ST NW,CALGARY,587-353-0377,https://www.travelpharmacy.ca,Calgary
137,WAINWRIGHT VALUE DRUG MART,covid_vaccination_centres,-110.859875357484,52.834979267468,306 10 ST,WAINWRIGHT,780-842-4488,,Calgary
138,LANDMARK PHARMACY,covid_vaccination_centres,-114.063570472634,51.066821417881,283-1623 CENTRE ST NW,CALGARY,587-349-3727,,Calgary
139,COVENTRY PHARMACY,covid_vaccination_centres,-114.042543352117,51.158115254585,110-790 COVENTRY DR NE,CALGARY,403-453-9194,https://www.calgarytravelclinics.com,Calgary
140,PETRA PHARMACY,covid_vaccination_centres,-112.80552872904,49.683569395904,1010 MAYOR MAGRATH DR S,LETHBRIDGE,403-942-3731,https://www.pharmachoice.com,Calgary
141,SHOPPERS DRUG MART #340,covid_vaccination_centres,-113.718384476946,52.473901488556,2-5700 HWY 2A,LACOMBE,403-782-3220,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
142,SHOPPERS DRUG MART #2379,covid_vaccination_centres,-113.499946001639,53.540717619661,10405 JASPER AVE NW,EDMONTON,780-670-3690,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary
143,COALDALE PHARMASAVE,covid_vaccination_centres,-112.621790245754,49.728132226356,1910 20 AVE,COALDALE,403-345-3744,,Calgary
144,MEDICINE SHOPPE PHARMACY 225,covid_vaccination_centres,-113.466043559445,53.570287846857,8111 118 AVE NW,EDMONTON,780-477-1192,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-225-7002977,Calgary
145,ROYAL OAK PHARMACY,covid_vaccination_centres,-114.23291117873,51.139591831551,228-500 ROYAL OAK DR NW,CALGARY,403-455-3565,https://royaloakpharmacy.medmeapp.ca/schedule,Calgary
