city,facility_name,fax,phone,province
Grande Prairie ,Queen Elizabeth II Hospital,780-538-7500,780-538-7100,AB
Grimshaw ,Grimshaw / Berwyn and District Community Health Centre  ,780-332-1177,780-332-6500,AB
High Level ,Northwest Health Centre ,780-926-7378,780-841-3200,AB
High Prairie ,High Prairie Health Complex ,780-523-6642,780-523-6440,AB
Hinton ,Hinton Healthcare Centre ,780-865-1099,780-865-3333,AB
Jasper ,Seton – Jasper Healthcare Centre ,780-852-3413,780-852-3344,AB
Lac La Biche ,William J. Cadzow – Lac La Biche Healthcare Centre ,780-623-5904,780-623-4404,AB
Manning ,Manning Community Health Centre ,780-836-7352,780-836-3391,AB
Mayerthorpe ,Mayerthorpe Healthcare Centre ,780-786-2023,780-786-2261,AB
McLennan ,Sacred Heart Community Health Centre ,780-324-2267,780-324-3730,AB
Peace River  ,Peace River Community Health Centre ,780-618-3472,780-624-7500,AB
Redwater ,Redwater Health Centre ,780-942-2373,780-942-3932,AB
Slave Lake ,Slave Lake Healthcare Centre ,780-805-3574,780-805-3500,AB
Smoky Lake ,George McDougall – Smoky Lake Healthcare Centre ,780-656-5010,780-656-3034,AB
Spirit River ,Central Peace Health Complex ,780-864-3495,780-864-3993,AB
St. Paul ,St. Therese - St. Paul Healthcare Centre ,780-645-1702,780-645-3331,AB
Swan Hills ,Swan Hills Healthcare Centre ,780-333-7009,780-333-7000,AB
Valleyview ,Valleyview Health Centre ,780-524-2107,780-524-3356,AB
Wabasca/ Desmarais ,Wabasca/Desmarais Healthcare Centre ,780-891-3784,780-891-3007,AB
Westlock  ,Westlock Healthcare Centre,780-349-6973,780-349-3301,AB
Whitecourt ,Whitecourt Healthcare Centre ,780-778-5161,780-778-2285,AB
Lethbridge ,Jack Ady Cancer Centre (JACC) ,403-320-0508,403-329-0633,AB
Medicine Hat ,Margery E. Yuill Cancer Centre (MYCC) ,403-529-8007,403-529-8817,AB
Calgary ,Tom Baker Cancer Centre (TBCC) ,403-521-3128,403-521-3723,AB
Canmore ,Bow Valley Community Cancer Centre ,403-678-7225,403-678-7200,AB
High River ,High River Community Cancer Centre ,403-652-0199,403-652-2200,AB
Camrose ,Camrose Community Cancer Centre ,780-679-6196,780-679-6100,AB
Drayton Valley ,Drayton Valley Community Cancer Centre ,780-621-4966,780-542-5321,AB
Drumheller ,Drumheller Community Cancer Centre ,403-823-5076,403-823-6500,AB
Red Deer ,Central Alberta Cancer Centre (CACC) ,403-820-7234,403-820-7985,AB
Edmonton ,Cross Cancer Institute (CCI) ,780-432-8886,780-432-8771,AB
Barrhead ,Barrhead Community Cancer Centre ,780-674-3541,780-674-2221,AB
Bonnyville ,Bonnyville Community Cancer Centre ,780-826-6527,780-826-3311,AB
Fort McMurray  ,Fort McMurray Community Cancer Centre ,780-791-6042,780-791-6161,AB
Grande Prairie ,Grande Prairie Cancer Centre (GPCC) ,780-532-9120,780-538-7588,AB
Hinton ,Hinton Community Cancer Centre ,780-865-1099,780-865-3333,AB
Peace River ,Peace River Community Cancer Centre ,780-618-3472,780-624-7500,AB
Lloydminster ,Lloydminster Community Cancer Centre ,306-820-6145,306-820-6144,AB
