Year,Month,Permit_Issued_Date,Ward,Structure_Type,Type_of_Work,Permit_Fee,Construction_Value,Units,Issued_Date,FID
2016,5,2016-05-03T00:00:00.000Z,Ward 3,Single Detached Dwelling/Apartment,Renovation,104,13000,0,2016-05-03T00:00:00.000Z,2045
2016,5,2016-05-03T00:00:00.000Z,Ward 4,Deck,New,24,2500,0,2016-05-03T00:00:00.000Z,2046
2016,5,2016-05-03T00:00:00.000Z,Ward 7,Single Detached Dwelling,New,2400,300000,1,2016-05-03T00:00:00.000Z,2047
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,112,13900,0,2016-05-02T00:00:00.000Z,2048
2016,5,2016-05-02T00:00:00.000Z,Ward 11,Single Detached Dwelling,Renovation,96,12000,0,2016-05-02T00:00:00.000Z,2049
2016,5,2016-05-02T00:00:00.000Z,Ward 5,Accesory Building,Demolition,,0,0,2016-05-02T00:00:00.000Z,2050
2016,5,2016-05-02T00:00:00.000Z,Ward 5,Single Detached Dwelling,Demolition,,0,0,2016-05-02T00:00:00.000Z,2051
2016,5,2016-05-02T00:00:00.000Z,Ward 11,Single Detached Dwelling,Renovation,88,10500,0,2016-05-02T00:00:00.000Z,2052
2016,4,2016-04-21T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,184,23000,0,2016-04-21T00:00:00.000Z,2053
2015,12,2015-12-15T00:00:00.000Z,Ward 11,Municipal,Renovation,1600,200000,0,2015-12-15T00:00:00.000Z,2054
2016,3,2016-03-21T00:00:00.000Z,Ward 4,Single Detached Dwelling,Renovation,256,32000,0,2016-03-21T00:00:00.000Z,2055
2016,1,2016-01-21T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,56,6826,0,2016-01-21T00:00:00.000Z,2056
2016,4,2016-04-12T00:00:00.000Z,Ward 11,Single Detached Dwelling,Repair,64,8000,0,2016-04-12T00:00:00.000Z,2057
2016,1,2016-01-21T00:00:00.000Z,Ward 5,Single Detached Dwelling,Renovation,24,3000,0,2016-01-21T00:00:00.000Z,2058
2016,1,2016-01-21T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,16,2000,0,2016-01-21T00:00:00.000Z,2059
2016,1,2016-01-20T00:00:00.000Z,Ward 4,Single Detached Dwelling,Demolition,,0,0,2016-01-20T00:00:00.000Z,2060
2016,1,2016-01-20T00:00:00.000Z,Ward 4,Single Detached Dwelling,Demolition,,0,0,2016-01-20T00:00:00.000Z,2061
2016,1,2016-01-20T00:00:00.000Z,Ward 4,Single Detached Dwelling,Demolition,,0,0,2016-01-20T00:00:00.000Z,2062
2016,1,2016-01-20T00:00:00.000Z,Ward 2,Single Detached Dwelling,Renovation,176,21570,0,2016-01-20T00:00:00.000Z,2063
2016,1,2016-01-20T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,88,10300,0,2016-01-20T00:00:00.000Z,2064
2016,1,2016-01-20T00:00:00.000Z,Ward 1,Single Detached Dwelling,Renovation,200,25000,0,2016-01-20T00:00:00.000Z,2065
2016,1,2016-01-20T00:00:00.000Z,Ward 4,Commercial Building,Renovation,176,22000,0,2016-01-20T00:00:00.000Z,2066
2016,1,2016-01-19T00:00:00.000Z,Ward 11,Commercial Building,Renovation,24,2100,0,2016-01-19T00:00:00.000Z,2067
2016,1,2016-01-19T00:00:00.000Z,Ward 4,Single Detached Dwelling,Renovation,40,5000,0,2016-01-19T00:00:00.000Z,2068
2016,1,2016-01-19T00:00:00.000Z,Ward 1,Single Detached Dwelling/Apartment,Renovation,160,20000,0,2016-01-19T00:00:00.000Z,2069
2016,1,2016-01-19T00:00:00.000Z,Ward 7,Commercial Building,Renovation,120,15000,0,2016-01-19T00:00:00.000Z,2070
2016,1,2016-01-19T00:00:00.000Z,Ward 7,Commercial Building,Renovation,160,20000,0,2016-01-19T00:00:00.000Z,2071
2016,4,2016-04-12T00:00:00.000Z,Ward 7,Commercial Building,Renovation,64,8000,0,2016-04-12T00:00:00.000Z,2072
2016,1,2016-01-19T00:00:00.000Z,Ward 3,Commercial Building,New,240,30000,0,2016-01-19T00:00:00.000Z,2073
2016,5,2016-05-02T00:00:00.000Z,Ward 7,Accesory Building,New,16,1500,0,2016-05-02T00:00:00.000Z,2074
2016,4,2016-04-12T00:00:00.000Z,Ward 7,Industrial,Renovation,160,20000,0,2016-04-12T00:00:00.000Z,2075
2016,1,2016-01-19T00:00:00.000Z,Ward 4,Commercial Building,Renovation,5648,705309,0,2016-01-19T00:00:00.000Z,2076
2016,3,2016-03-18T00:00:00.000Z,Ward 8,Single Detached Dwelling,Renovation,32,3500,0,2016-03-18T00:00:00.000Z,2077
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Townhouse,Renovation,16,1100,0,2016-05-02T00:00:00.000Z,2078
2015,12,2015-12-14T00:00:00.000Z,Ward 10,Commercial Building,Demolition,,0,0,2015-12-14T00:00:00.000Z,2079
2016,2,2016-02-26T00:00:00.000Z,Ward 3,Commercial/Residential,Renovation,16,1100,0,2016-02-26T00:00:00.000Z,2080
2016,4,2016-04-21T00:00:00.000Z,Ward 10,Apartment Building,Renovation,176,22000,0,2016-04-21T00:00:00.000Z,2081
2016,4,2016-04-12T00:00:00.000Z,Ward 9,Commercial Building,Renovation,200,25000,0,2016-04-12T00:00:00.000Z,2082
2016,1,2016-01-18T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,392,49000,0,2016-01-18T00:00:00.000Z,2083
2016,3,2016-03-17T00:00:00.000Z,Ward 12,Mini Home,Renovation,104,12500,0,2016-03-17T00:00:00.000Z,2084
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,2200,0,2016-05-02T00:00:00.000Z,2085
2015,12,2015-12-14T00:00:00.000Z,Ward 3,Single Detached Dwelling,Demolition,,0,0,2015-12-14T00:00:00.000Z,2086
2016,2,2016-02-26T00:00:00.000Z,Ward 9,Single Detached Dwelling,Renovation,312,39000,0,2016-02-26T00:00:00.000Z,2087
2016,4,2016-04-12T00:00:00.000Z,Ward 7,Single Detached Dwelling,New,2120,265000,1,2016-04-12T00:00:00.000Z,2088
2016,1,2016-01-15T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,152,19000,0,2016-01-15T00:00:00.000Z,2089
2016,4,2016-04-21T00:00:00.000Z,Ward 2,Single Detached Dwelling,New,1488,186000,1,2016-04-21T00:00:00.000Z,2090
2016,3,2016-03-16T00:00:00.000Z,Ward 3,Single Detached Dwelling,New,2368,296000,1,2016-03-16T00:00:00.000Z,2091
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,2200,0,2016-05-02T00:00:00.000Z,2092
2015,12,2015-12-14T00:00:00.000Z,Ward 9,Single Detached Dwelling,Renovation,40,4082,0,2015-12-14T00:00:00.000Z,2093
2016,2,2016-02-25T00:00:00.000Z,Ward 12,Commercial Building,Renovation,16,2000,0,2016-02-25T00:00:00.000Z,2094
2016,4,2016-04-12T00:00:00.000Z,Ward 8,Single Detached Dwelling,Renovation/Addition,192,24000,0,2016-04-12T00:00:00.000Z,2095
2016,1,2016-01-15T00:00:00.000Z,Ward 8,Commercial/Residential,Renovation,48,5500,0,2016-01-15T00:00:00.000Z,2096
2016,1,2016-01-14T00:00:00.000Z,Ward 9,Single Detached Dwelling,Renovation,176,22000,0,2016-01-14T00:00:00.000Z,2097
2016,1,2016-01-14T00:00:00.000Z,Ward 12,Commercial Building,Renovation,6320,790000,0,2016-01-14T00:00:00.000Z,2098
2016,1,2016-01-13T00:00:00.000Z,Ward 8,Institutional,Renovation,1688,211000,0,2016-01-13T00:00:00.000Z,2099
2016,1,2016-01-12T00:00:00.000Z,Ward 11,Commercial Building,Renovation,120,15000,0,2016-01-12T00:00:00.000Z,2100
2016,1,2016-01-12T00:00:00.000Z,Ward 11,Institutional,Renovation,6800,850000,0,2016-01-12T00:00:00.000Z,2101
2016,1,2016-01-12T00:00:00.000Z,Ward 10,Commercial Building,Renovation,2400,300000,0,2016-01-12T00:00:00.000Z,2102
2016,1,2016-01-11T00:00:00.000Z,Ward 4,Single Detached Dwelling,Renovation,152,18644,0,2016-01-11T00:00:00.000Z,2103
2016,1,2016-01-11T00:00:00.000Z,Ward 3,Single Detached Dwelling,Demolition,,0,0,2016-01-11T00:00:00.000Z,2104
2016,1,2016-01-11T00:00:00.000Z,Ward 6,Commercial Building,Renovation,320,40000,0,2016-01-11T00:00:00.000Z,2105
2016,1,2016-01-07T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,32,4000,0,2016-01-07T00:00:00.000Z,2106
2016,1,2016-01-07T00:00:00.000Z,Ward 11,Commercial/Residential,Renovation,1040,130000,0,2016-01-07T00:00:00.000Z,2107
2016,1,2016-01-06T00:00:00.000Z,Ward 10,Federal/Provincial,Renovation,1184,148000,0,2016-01-06T00:00:00.000Z,2108
2016,1,2016-01-06T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,48,6000,0,2016-01-06T00:00:00.000Z,2109
2016,1,2016-01-04T00:00:00.000Z,Ward 2,Commercial Building,Renovation,640,80000,0,2016-01-04T00:00:00.000Z,2110
2015,12,2015-12-29T00:00:00.000Z,Ward 6,Single Detached Dwelling,Renovation,88,10900,0,2015-12-29T00:00:00.000Z,2111
2015,12,2015-12-29T00:00:00.000Z,Ward 1,Single Detached Dwelling,Demolition,,0,0,2015-12-29T00:00:00.000Z,2112
2015,12,2015-12-22T00:00:00.000Z,Ward 3,Accessory Building,New,208,25650,0,2015-12-22T00:00:00.000Z,2113
2015,12,2015-12-22T00:00:00.000Z,Ward 2,Commercial Building,Renovation,752,93800,0,2015-12-22T00:00:00.000Z,2114
2015,12,2015-12-21T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,152,19000,0,2015-12-21T00:00:00.000Z,2115
2015,12,2015-12-21T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,24,3000,0,2015-12-21T00:00:00.000Z,2116
2015,12,2015-12-18T00:00:00.000Z,Ward 11,Single Detached Dwelling,Renovation,32,4000,0,2015-12-18T00:00:00.000Z,2117
2015,12,2015-12-18T00:00:00.000Z,Ward 2,Single Detached Dwelling,Renovation,200,25000,0,2015-12-18T00:00:00.000Z,2118
2015,12,2015-12-18T00:00:00.000Z,Ward 2,Single Detached Dwelling,Renovation,160,20000,0,2015-12-18T00:00:00.000Z,2119
2015,12,2015-12-18T00:00:00.000Z,Ward 4,Single Detached Dwelling,Demolition,,0,0,2015-12-18T00:00:00.000Z,2120
2015,12,2015-12-18T00:00:00.000Z,Ward 10,Institutional,Renovation,472,58449,0,2015-12-18T00:00:00.000Z,2121
2015,12,2015-12-18T00:00:00.000Z,Ward 12,Commercial Building,Renovation,600,75000,0,2015-12-18T00:00:00.000Z,2122
2015,12,2015-12-17T00:00:00.000Z,Ward 8,Apartment Building,Renovation,40,5000,0,2015-12-17T00:00:00.000Z,2123
2015,12,2015-12-16T00:00:00.000Z,Ward 11,Single Detached Dwelling,Renovation,120,15000,0,2015-12-16T00:00:00.000Z,2124
2015,12,2015-12-16T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,112,13500,0,2015-12-16T00:00:00.000Z,2125
2015,12,2015-12-15T00:00:00.000Z,Ward 8,Detached Garage,Renovation,32,4000,0,2015-12-15T00:00:00.000Z,2126
2016,4,2016-04-12T00:00:00.000Z,Ward 12,Commercial/Residential,Renovation,56,7000,0,2016-04-12T00:00:00.000Z,2127
2016,4,2016-04-11T00:00:00.000Z,Ward 9,Single Detached Dwelling,Renovation,64,8000,0,2016-04-11T00:00:00.000Z,2128
2016,4,2016-04-11T00:00:00.000Z,Ward 2,Accessory Building,New,7.5,1000,0,2016-04-11T00:00:00.000Z,2129
2016,4,2016-04-11T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,56,6445,0,2016-04-11T00:00:00.000Z,2130
2016,4,2016-04-11T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,48,5850,0,2016-04-11T00:00:00.000Z,2131
2016,4,2016-04-11T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,48,5861,0,2016-04-11T00:00:00.000Z,2132
2016,4,2016-04-11T00:00:00.000Z,Ward 8,Single Detached Dwelling,Renovation,32,3915,0,2016-04-11T00:00:00.000Z,2133
2016,4,2016-04-11T00:00:00.000Z,Ward 9,Single Detached Dwelling,Renovation,72,8700,0,2016-04-11T00:00:00.000Z,2134
2016,4,2016-04-11T00:00:00.000Z,Ward 9,Single Detached Dwelling,Repair,32,4000,0,2016-04-11T00:00:00.000Z,2135
2016,4,2016-04-11T00:00:00.000Z,Ward 9,Single Detached Dwelling,Repair,64,7300,0,2016-04-11T00:00:00.000Z,2136
2016,4,2016-04-11T00:00:00.000Z,Ward 3,Pool,New,400,50000,0,2016-04-11T00:00:00.000Z,2137
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,2200,0,2016-05-02T00:00:00.000Z,2138
2016,4,2016-04-11T00:00:00.000Z,Ward 2,Accesory Building,New,48,5500,0,2016-04-11T00:00:00.000Z,2139
2016,3,2016-03-16T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,200,25000,0,2016-03-16T00:00:00.000Z,2140
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,2200,0,2016-05-02T00:00:00.000Z,2141
2016,2,2016-02-22T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,264,33000,0,2016-02-22T00:00:00.000Z,2142
2015,12,2015-12-14T00:00:00.000Z,Ward 11,Duplex,Renovation,96,11500,0,2015-12-14T00:00:00.000Z,2143
2016,4,2016-04-20T00:00:00.000Z,Ward 8,Apartment Building,Renovation,96,11500,0,2016-04-20T00:00:00.000Z,2144
2016,4,2016-04-11T00:00:00.000Z,Ward 10,Apartment Building,Demolition,,0,0,2016-04-11T00:00:00.000Z,2145
2016,3,2016-03-15T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,160,20000,0,2016-03-15T00:00:00.000Z,2146
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,2200,0,2016-05-02T00:00:00.000Z,2147
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,2200,0,2016-05-02T00:00:00.000Z,2148
2016,5,2016-05-02T00:00:00.000Z,Ward 10,Townhouse,Renovation,16,1100,0,2016-05-02T00:00:00.000Z,2149
2016,5,2016-05-02T00:00:00.000Z,Ward 12,Single Detached Dwelling,New,2400,300000,1,2016-05-02T00:00:00.000Z,2150
2016,4,2016-04-28T00:00:00.000Z,Ward 2,Deck,New,48,6000,0,2016-04-28T00:00:00.000Z,2151
2016,4,2016-04-28T00:00:00.000Z,Ward 5,Deck,New,16,2000,0,2016-04-28T00:00:00.000Z,2152
2016,4,2016-04-28T00:00:00.000Z,Ward 7,Deck,New,104,13000,0,2016-04-28T00:00:00.000Z,2153
2016,4,2016-04-28T00:00:00.000Z,Ward 12,Mini Home,New,155,92000,1,2016-04-28T00:00:00.000Z,2154
2016,4,2016-04-28T00:00:00.000Z,Ward 10,Deck,New,104,13000,0,2016-04-28T00:00:00.000Z,2155
2016,4,2016-04-28T00:00:00.000Z,Ward 12,Pool,New,400,50000,0,2016-04-28T00:00:00.000Z,2156
2016,4,2016-04-28T00:00:00.000Z,Ward 9,Apartment Building,Renovation,56,6500,0,2016-04-28T00:00:00.000Z,2157
2016,4,2016-04-28T00:00:00.000Z,Ward 2,Single Detached Dwelling,New,1952,244000,1,2016-04-28T00:00:00.000Z,2158
2016,4,2016-04-28T00:00:00.000Z,Ward 12,Single Detached Dwelling,Renovation,400,50000,0,2016-04-28T00:00:00.000Z,2159
2016,4,2016-04-28T00:00:00.000Z,Ward 12,Single Detached Dwelling,New,1864,233000,1,2016-04-28T00:00:00.000Z,2160
2016,4,2016-04-28T00:00:00.000Z,Ward 8,Commercial Building,New,20000,2500000,0,2016-04-28T00:00:00.000Z,2161
2016,4,2016-04-27T00:00:00.000Z,Ward 7,Deck,New,40,5000,0,2016-04-27T00:00:00.000Z,2162
2016,4,2016-04-27T00:00:00.000Z,Ward 12,Apartment Building,Renovation,56,7000,0,2016-04-27T00:00:00.000Z,2163
2016,4,2016-04-26T00:00:00.000Z,Ward 7,Accesory Building,New,16,1300,0,2016-04-26T00:00:00.000Z,2164
2016,4,2016-04-26T00:00:00.000Z,Ward 9,Townhouse,Renovation,7.5,700,0,2016-04-26T00:00:00.000Z,2165
2016,4,2016-04-26T00:00:00.000Z,Ward 5,Accesory Building,New,32,4000,0,2016-04-26T00:00:00.000Z,2166
2016,4,2016-04-26T00:00:00.000Z,Ward 7,Pool,New,64,7632,0,2016-04-26T00:00:00.000Z,2167
2016,4,2016-04-26T00:00:00.000Z,Ward 7,Deck,New,32,4000,0,2016-04-26T00:00:00.000Z,2168
2016,4,2016-04-26T00:00:00.000Z,Ward 5,Single Detached Dwelling,Renovation,40,4500,0,2016-04-26T00:00:00.000Z,2169
2016,4,2016-04-26T00:00:00.000Z,Ward 11,Single Detached Dwelling,Renovation,272,34000,0,2016-04-26T00:00:00.000Z,2170
2016,4,2016-04-26T00:00:00.000Z,Ward 11,Single Detached Dwelling,Renovation,480,60000,0,2016-04-26T00:00:00.000Z,2171
2016,4,2016-04-25T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,48,6000,0,2016-04-25T00:00:00.000Z,2172
2016,4,2016-04-25T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,40,4500,0,2016-04-25T00:00:00.000Z,2173
2016,4,2016-04-25T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,80,10000,0,2016-04-25T00:00:00.000Z,2174
2016,4,2016-04-25T00:00:00.000Z,Ward 2,Accesory Building,New,16,1750,0,2016-04-25T00:00:00.000Z,2175
2016,4,2016-04-25T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,3000,0,2016-04-25T00:00:00.000Z,2176
2016,4,2016-04-25T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,3000,0,2016-04-25T00:00:00.000Z,2177
2016,4,2016-04-25T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,3000,0,2016-04-25T00:00:00.000Z,2178
2016,4,2016-04-25T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,3000,0,2016-04-25T00:00:00.000Z,2179
2016,4,2016-04-25T00:00:00.000Z,Ward 4,Apartment Building,Renovation,488,60263,0,2016-04-25T00:00:00.000Z,2180
2016,4,2016-04-25T00:00:00.000Z,Ward 12,Apartment Building,New,28800,3600000,48,2016-04-25T00:00:00.000Z,2181
2016,4,2016-04-25T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,240,30000,0,2016-04-25T00:00:00.000Z,2182
2016,4,2016-04-22T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,3000,0,2016-04-22T00:00:00.000Z,2183
2016,4,2016-04-22T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,3000,0,2016-04-22T00:00:00.000Z,2184
2016,4,2016-04-22T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,3000,0,2016-04-22T00:00:00.000Z,2185
2016,4,2016-04-22T00:00:00.000Z,Ward 10,Townhouse,Renovation,24,3000,0,2016-04-22T00:00:00.000Z,2186
2016,4,2016-04-21T00:00:00.000Z,Ward 6,Detached Garage,New,56,7000,0,2016-04-21T00:00:00.000Z,2187
2016,4,2016-04-21T00:00:00.000Z,Ward 10,Pool,Relocate,7.5,1000,0,2016-04-21T00:00:00.000Z,2188
2016,4,2016-04-21T00:00:00.000Z,Ward 4,Single Detached Dwelling,Renovation,72,8500,0,2016-04-21T00:00:00.000Z,2189
2016,3,2016-03-15T00:00:00.000Z,Ward 10,Commercial Building,Renovation,544,68000,0,2016-03-15T00:00:00.000Z,2190
2016,3,2016-03-15T00:00:00.000Z,Ward 3,Single Detached Dwelling,Renovation,24,3000,0,2016-03-15T00:00:00.000Z,2191
2016,3,2016-03-15T00:00:00.000Z,Ward 4,Single Detached Dwelling,Renovation,80,9500,0,2016-03-15T00:00:00.000Z,2192
2016,3,2016-03-15T00:00:00.000Z,Ward 8,Commercial Building,Renovation,960,120000,0,2016-03-15T00:00:00.000Z,2193
2016,3,2016-03-14T00:00:00.000Z,Ward 7,Commercial Building,Renovation,7.5,1000,0,2016-03-14T00:00:00.000Z,2194
2016,3,2016-03-14T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,24,2500,0,2016-03-14T00:00:00.000Z,2195
2016,3,2016-03-14T00:00:00.000Z,Ward 10,Apartment Building,Renovation,144,18000,0,2016-03-14T00:00:00.000Z,2196
2016,3,2016-03-14T00:00:00.000Z,Ward 10,Single Detached Dwelling,Renovation,16,2000,0,2016-03-14T00:00:00.000Z,2197
2016,3,2016-03-14T00:00:00.000Z,Ward 8,Institutional,Renovation,3568,445163,0,2016-03-14T00:00:00.000Z,2198
2016,3,2016-03-14T00:00:00.000Z,Ward 10,Apartment Building,Renovation,136,17000,0,2016-03-14T00:00:00.000Z,2199
2016,3,2016-03-10T00:00:00.000Z,Ward 8,Single Detached Dwelling,Renovation,32,3878,0,2016-03-10T00:00:00.000Z,2200
2016,3,2016-03-10T00:00:00.000Z,Ward 5,Single Detached Dwelling,Renovation,64,7400,0,2016-03-10T00:00:00.000Z,2201
2016,4,2016-04-20T00:00:00.000Z,Ward 7,Single Detached Dwelling,Repair,32,4000,0,2016-04-20T00:00:00.000Z,2202
2016,3,2016-03-10T00:00:00.000Z,Ward 7,Single Detached Dwelling,Renovation,48,6000,0,2016-03-10T00:00:00.000Z,2203
