,Ed Body,COMMUNITY,SCHOOL,GRADE,ENGLISH,IMMERSION,FRENCH,PRINCIPAL,E-MAIL,PHONE,FAX,MAILING ADDRESS
29,SSDEC,Hay River,Diamond Jenness Secondary School,12-Aug,12-Aug,,,Lynne Beck,lbeck@ssdec.nt.ca,867-874-6538,867-874-3163,Diamond Jenness Secondary School 58 WOODLAND DRIVE HAY RIVER NT  X0E 0R8
30,SSDEC,Hay River,Harry Camsell School,JK-3,JK-3,,,Carolyn Carroll,ccarroll@ssdec.nt.ca,867-874-2389,867-874-6271,Harry Camsell School 54 WOODLAND DRIVE HAY RIVER NT  X0E 0R8
31,SSDEC,Fort Smith,Joseph Burr Tyrrell School,JK-6,JK-6,JK-6,,Tiffany Kelly,tkelly@ssdec.nt.ca,867-872-4528,867-872-2448,Joseph Burr Tyrrell School 232 McDougal Road BAG SERVICE #1 FORT SMITH NT  X0E 0P0
32,SSDEC,utselke,Lutsel K'e Dene School,JK-12,JK-12,,,Vivian Harris,vharris@ssdec.nt.ca,867-370-3131,867-370-3017,Lutsel K'e Dene School PO Box 80 UTSELKE NT  X0E 1A0
33,SSDEC,Fort Smith,P.W. Kaeser High School,12-Jul,12-Jul,10-Jul,,Al Karasiuk,akarasiuk@ssdec.nt.ca,867-872-4795,867-872-3039,P.W. Kaeser High School 97 Conibear Cres PO BOX 480 FORT SMITH NT  X0E 0P0
34,SSDEC,Hay River,Princess Alexandra School,07-Apr,07-Apr,,,Carolyn Carroll,ccarroll@ssdec.nt.ca,867-874-6871,867-874-3211,Princess Alexandra School 56 WOODLAND DRIVE HAY RIVER NT  X0E 0R8
35,TCSA,Wekwet,Alexis Arrowmaker School,JK-10,JK-10,,,Domenico Tatone,domenico_tatone@tlicho.net,867-713-2100,867-713-2200,Alexis Arrowmaker School PO BOX 70 WEKWET NT  X0E 1W0
36,TCSA,Behchok,Chief Jimmy Bruneau School,JK-12,JK-12,,,Dianne Lafferty,dianne_lafferty@tlicho.net,867-371-4511,867-371-3083,Chief Jimmy Bruneau School BAG SERVICE #1 BEHCHOK NT  X0E 0Y0
37,TCSA,Behchok,Elizabeth Mackenzie Elem.,JK-6,JK-6,,,John Gouthro,john_gouthro@tlicho.net,867-392-6078,867-392-6080,Elizabeth Mackenzie Elementary BAG SERVICE #2 BEHCHOK NT  X0E 0Y0
38,TCSA,Gamt,Jean Wetrade Gamt School,JK-12,JK-12,,,Jill Mulcahy,jill_mulcahy@tlicho.net,867-997-3600,867-997-3084,Jean Wetrade Gamt School GENERAL DELIVERY GAMT NT  X0E 1R0
39,TCSA,What,Mezi Community School,JK-12,JK-12,,,Joshua Linkletter,joshua_linkletter@tlicho.net,867-573-3131,867-573-3063,Mezi Community School GENERAL DELIVERY WHAT NT  X0E 1P0
40,YCS,Yellowknife,cole St. Joseph School,JK-7,JK-7,JK-7,,Don Reid,don.reid@ycs.nt.ca,867-920-2112,867-873-9207,cole St. Joseph School PO BOX 728 YELLOWKNIFE NT  X1A 2N5
41,YCS,Yellowknife,cole St. Patrick High School,12-Aug,12-Aug,12-Aug,,Todd Stewart,todd.stewart@ycs.nt.ca,867-873-4888,867-873-5732,cole St. Patrick High School PO BOX 2880 YELLOWKNIFE NT  X1A 2R2
42,YCS,Yellowknife,Weledeh Catholic School,JK-7,JK-7,07-Jun,,Jennifer Reid,jenny.reid@ycs.nt.ca,867-873-5591,867-873-8578,Weledeh Catholic School PO BOX 1650 YELLOWKNIFE NT  X1A 2P2
43,YK1,Yellowknife,cole J.H. Sissons School,JK-5,,JK-5,,Graham Arts,graham.arts@yk1.nt.ca,TBD,TBD,cole J.H. Sissons School 50 TAYLOR ROAD YELLOWKNIFE NT  X1A 3X2
44,YK1,Yellowknife,cole Sir John Franklin High School,12-Aug,12-Aug,12-Aug,,Dean MacInnis,dean.macinnis@yk1.nt.ca,867-669-0773,867-873-3630,cole Sir John Franklin High School PO BOX 1200 YELLOWKNIFE NT  X1A 2N8
45,YK1,Yellowknife,cole William McDonald School,07-Jun,07-Jun,07-Jun,,Jeff Seabrook,jeff.seabrook@yk1.nt.ca,867-873-5814,867-873-4671,cole William McDonald School 50 TAYLOR ROAD YELLOWKNIFE NT  X1A 3X2
46,YK1,Yellowknife,Mildred Hall Elementary School,JK-8,JK-8,,,Elizabeth Brace,elizabeth.brace@yk1.nt.ca,867-873-5811,867-920-2931,Mildred Hall Elementary School 5408 - 50th AVENUE YELLOWKNIFE NT  X1A 1E5
47,YK1,Yellowknife,N.J. Macpherson School,JK-5,JK-5,,,Landon Kowalzik,landon.kowalzik@yk1.nt.ca,867-873-4372,867-873-4638,N.J. Macpherson School 525 RANGE LAKE ROAD YELLOWKNIFE NT  X1A 3X1
48,YK1,Yellowknife,Range Lake North School,JK-8,JK-8,,,Yasmin Heyck,yasemin.heyck@yk1.nt.ca,867-920-7567,867-920-4778,Range Lake North School 170 BORDEN DRIVE YELLOWKNIFE NT  X1A 3R1
