Province,City or Region,Source,Open,Complete,Provider,License or Terms of Use,Attribution Statement
BC,Vancouver,https://developer.translink.ca/ServicesGtfs/GtfsData,Not Open,Yes,Translink,https://developer.translink.ca/ServicesGtfs/GtfsData,Contains Information freely available from BC Transit under an Open Data License.
YK,Whitehorse,https://ww3.whitehorse.ca/Features/GIS/GoogleTransit/Google_transit_feed_docs.zip,Not Open,Yes,City of Whitehorse,https://data.whitehorse.ca/,Contains information from the City of Whitehorse under the accompanying licese.
AB,Edmonton,https://data.edmonton.ca/download/gzhc-5ss6/application%2Fzip,Open,Yes,City of Edmonton,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,Contains Information freely available from the City of Edmonton Open Data portal.
AB,Calgary,https://data.calgary.ca/download/npk7-z3bj/application%2Fzip,Open,Yes,City of Calgary,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary
AB,Red Deer,http://data.reddeer.ca/datasets/gtfsdatafeed/download/zip,Open,Yes,City of Red Deer,http://data.reddeer.ca/About,Contains Information freely available from the City of Red Deer Open Data portal.
AB,Lethbridge,http://www.lethbridge.ca/OpenDataSets/GTFS_Transit_Data.zip,Open,Yes,City of Lethbridge,https://www.lethbridge.ca/Pages/OpenDataLicense.aspx,Contains information licensed under Version 1.0 of the City of Lethbridge? - Open Data License.
AB,Strathcona Country,http://webpub2.strathcona.ab.ca/GTFS/Google_Transit.zip,Open,Yes,Strathcona County,https://data.strathcona.ca/stories/s/bxnd-tfzb,Contains information licensed under the Open Government Licence – Strathcona County
AB,Airdrie,http://data-airdrie.opendata.arcgis.com/datasets?t=transit,Open,No,City of Airdrie,http://data-airdrie.opendata.arcgis.com/pages/our-open-licence,Contains information licensed under the Open Data Licence – City of Airdrie.
ON,York County,http://www.yrt.ca/google/google_transit.zip,Open,Yes,York County,https://www.yrt.ca/en/about-us/open-data-licence-agreement.aspx,Contains public transit Information made available under YRT's Open Data Licence
ON,Toronto,http://opendata.toronto.ca/TTC/routes/OpenData_TTC_Schedules.zip,Open,Yes,City of Toronto,https://www.toronto.ca/city-government/data-research-maps/open-data/open-data-licence/,Contains information licensed under the Open Government Licence – Toronto.
ON,"Cambridge, Kitchener, and Waterloo",https://www.regionofwaterloo.ca/opendatadownloads/GRT_GTFS.zip,Open,Yes,Regional Municipality of Waterloo,https://www.regionofwaterloo.ca/en/regional-government/open-data.aspx,Contains information provided by the Regional Municipality of Waterloo under licence
ON,Thunder Bay,http://api.nextlift.ca/gtfs.zip,Open,Yes,City of Thunder Bay,No Terms Listed,Contains information freely available from the City of Thunder Bay.
ON,Ottawa,http://www.octranspo1.com/files/google_transit.zip,Open,Yes,City of Ottawa,https://ottawa.ca/en/city-hall/get-know-your-city/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence – City of Ottawa.
ON,Mississauga,https://www.miapp.ca/GTFS/google_transit.zip,Open,Yes,City of Mississauga,http://www5.mississauga.ca/research_catalogue/CityofMississauga_TermsofUse.pdf,Contains Information freely available from the City of Mississauga.
ON,Windsor,https://opendata.citywindsor.ca/Uploads/google_transit.zip,Open,Yes,City of Windsor,https://citywindsor.ca/opendata/Documents/OpenDataTermsofUse.pdf,Contains information licensed under the Open Government Licence – The Corporation of the City of Windsor.
ON,Durham Municipal Region,https://maps.durham.ca/OpenDataGTFS/GTFS_Durham_TXT.zip,Open,Yes,Region of Durham,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,Contains public sector Information made available under The Regional Municipality of Durham's Open Data Licence
ON,Niagara Region,https://maps.niagararegion.ca/googletransit/NiagaraRegionTransit.zip,Open,Yes,Niagara Region,https://niagaraopendata.ca/pages/open-government-license-2-0-niagara-region,Contains information licensed under the Open Government Licence - Niagara Region
ON,Barrie,http://www.myridebarrie.ca/gtfs/google_transit.zip,Open,Yes,Barrie Transit,https://www.barrie.ca/Living/Getting%20Around/BarrieTransit/Pages/Barrie-GTFS.aspx,Contains information licensed from Barrie Transit under the terms of the accompanying license agreement.
ON,Guelph,http://data.open.guelph.ca/datafiles/guelph-transit/guelph_transit_gtfs.zip,Open,Yes,City of Guelph,http://data.open.guelph.ca/pages/open-government-licence,Contains information provided by the City of Guelph under an open government license
ON,London,http://www.londontransit.ca/gtfsfeed/google_transit.zip,Open,Yes,London Transit,http://www.londontransit.ca/open-data/ltcs-open-data-terms-of-use/,Contains open data from the LTC available under the accompanying license.
ON,Kingston,https://api.cityofkingston.ca/gtfs/gtfs.zip,Open,Yes,City of Kingston,https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf,Contains information licensed under the Open Data Licence – City of Kingston
ON,Milton,https://www.milton.ca/en/resources/gtfs-milton.zip,Open,Yes,City of Milton,https://www.milton.ca/en/townhall/resources/OpenDataAgreement.pdf,Contains public sector Datasets made available under the Town of Milton's Open Data License v.1
ON,Sudbury,http://www.greatersudbury.ca/image/opendata/gtfs.zip,Open,Yes,City of Sudbury,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/,Contains information licensed under the Open Data Licence – City of Greater Sudbury.
QC,Gatineau,http://www.contenu.sto.ca/GTFS/GTFS.zip,Open,Yes,Société de transport de l'Outaouais ,http://www.sto.ca/index.php?id=598&L=en,This service incorporates the open data provided by the Société de transport de l'Outaouais (STO). The STO is not responsible for the accuracy of the information generated by this application. Last update: YYYY-MM-DD.
QC,Longueuil,http://www.rtl-longueuil.qc.ca/transit/latestfeed/RTL.zip,Not Open,Yes,le Réseau de transport de Longueui,http://www.rtl-longueuil.qc.ca/Contenu.aspx?NavID=1158,Contains information made freely available by the Réseau de transport de Longueui.
QC,Chambly-Richelieu-Carignan,https://exo.quebec/xdata/citcrc/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Haut-Saint-Laurent,https://exo.quebec/xdata/cithsl/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,La Presqu'ile,https://exo.quebec/xdata/citpi/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Le Richelain,https://exo.quebec/xdata/citlr/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Laurentides,https://exo.quebec/xdata/citla/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Roussillon,https://exo.quebec/xdata/citrous/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Sorel-Varennes,https://exo.quebec/xdata/citsv/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Vallee du Richelieu,https://exo.quebec/xdata/citvr/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Sud-ouest,https://exo.quebec/xdata/citso/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,L'Assomption,https://exo.quebec/xdata/mrclasso/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Terrebonne-Mascouche,https://exo.quebec/xdata/mrclm/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Sainte-Julie,https://exo.quebec/xdata/omitsju/google_transit.zip,Open,Yes,Exo,https://exo.quebec/en/about/open-data,Contains information made available by Exo under a Creative Commons CC-By license.
QC,Sherbrooke,https://www.donneesquebec.ca/recherche/dataset/e82b9141-09d8-4f85-af37-d84937bc2503/resource/b7f43b2a-2557-4e3b-ba12-5a5c6d4de5b1/download/gtfsstsherbrooke.zip5a5c6d4de5b1/download/gtfsstsherbrooke.zip,Open,Yes,Government of Québec,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Government of Québec under a Creative Commons 4.0 CC-By license.
QC,Lanaudiere,https://www.rtm.quebec/xdata/crtl/google_transit.zip,Open,Yes,Réseau de transport métropolitain (RTM),https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Réseau de transport métropolitain (RTM) under a Creative Commons 4.0 CC-By license.
QC,Shawinigan,http://jmap.shawinigan.ca/doc/photos/google_transit.zip,Open,Yes,Government of Québec,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Government of Québec under a Creative Commons 4.0 CC-By license.
QC,Montreal,http://www.stm.info/sites/default/files/gtfs/gtfs_stm.zip,Open,Yes,Société de transport de Montréal,http://www.stm.info/en/about/developers/terms-use,Contains information made available by the Société de transport de Montréal under a Creative Commons 4.0 CC-By license.
QC,Quebec City,https://www.rtcquebec.ca/Portals/0/Admin/DonneesOuvertes/googletransit.zip,Open,Yes,Réseau de transport de la Capitale,https://www.rtcquebec.ca/Default.aspx?tabid=192&language=en-CA,"Application, product, or service incorporating public information from Réseau de transport de la Capitale."
MB,Winnipeg,http://gtfs.winnipegtransit.com/google_transit.zip,Open,Yes,Winnipeg Transit,https://api.winnipegtransit.com/home/api/v3,"Data provided by permission of Winnipeg Transit, a department of The City of Winnipeg"
SK,Regina,https://opengis.regina.ca/reginagtfs/google_transit.zip,Open,Yes,City of Regina,http://open.regina.ca/pages/terms-of-use,Contains information licensed under the Open Government Licence – City of Regina.
SK,Saskatoon,http://apps2.saskatoon.ca/app/data/google_transit.zip,Open,Yes,City of Saskatoon,http://opendata-saskatoon.cloudapp.net/TermsOfUse/TermsOfUse,Contains information made freely available as open data by the City of Saskatoon.
NS,Halifax,http://gtfs.halifax.ca/static/google_transit.zip,Open,Yes,Halifax Regional Municipality,https://www.halifax.ca/home/open-data/open-data-license,Contains information licenced under the Open Government Licence—Halifax.
NL,St. John's,http://www.metrobustransit.ca/insidepages.asp,Not Open,Yes,MetroBus Transit,http://www.metrobustransit.ca/insidepages.asp,"Data used in this product or service is provided by Metrobus Transit, however Metrobus Transit assumes no responsibility for the accuracy or currency of the Data used in this product or service"
NB,Moncton,https://www7.moncton.ca/opendata/google_transit.zip,Open,Yes,City of Moncton,https://ago-item-storage.s3-external-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEBAaDBiylLsl4lojQeQYRiK3A3C0ZHekDJapSj7oGkEXRwzMLZmmxgTgmRchkgJA1mM2gKedZF6ktXCHh6NGFWql%2BUwRyU2UeKM2uCXkUGNi6SnII6fidhj7K6pqxxWweCadgV0OxZAIR30flUHP%2F0zJ7TtRgpG2uCASNPNVmAK0GaXAMN%2FCG92n9MKZp9u4zK1ZTV%2FxxGy70GYollgrOYEKSzqb8I%2BjwCwFqZWjP2zeHr8yJ8vQ23aG8GLBnuZmUQTFCMzgTwu%2BIIidIJkVJrssjCK2WAX5walWr00N2hLLxNPe1qFUG4RkfYSAFz4nYhQtXEalBU1yk4OY6lSuPncA9Qpiiw0GhCDf%2BzzTy2aflhPLUnkJoAyFbUWug%2Bc2aBFwcomgIOaoYBo%2BrBlxjARGnHqxQKB%2FTljv8b3AGrGeDLUl%2BcpfHni4QiSBUaJO%2BtV3v2Rtaj%2BuO27jk79Y%2FcBGoGFiAOH2XMWIr4jhTfohSOvyCrV%2FyumSzux17ol%2Bvv9V91qwqrhlU5%2F3RWgzstXidox9DzNtrKbMMFfrnGeMB7umOLD%2FlIrZr7ZCDsFZxgJ1H4BxJu5i5cb3ABJnKlsaYkCQa5Uq%2B4QouMiH4gU%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20190118T154418Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEXBK46OOY%2F20190118%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=8c7b365ac0b180ba01ed8a206eeba484c0d3c02f5b6dc3ab8c37d075108148e7,Contains information frely available under license by the City of Moncton.
NB,Fredericton,http://gtransit.fredericton.ca/google_transit.zip,Open,Yes,City of Fredericton,https://www2.gnb.ca/content/dam/gnb/Departments/gs-sg/pdf/OpenDataPolicy.pdf,Contains information made freely available as open data by the City of Fredericton.
