EI Code,EI name,Other Name for EI,Institution Type,Designation Status,Designation Reason,Date of Designation,Date of De-Designation,Address Line 1,Address Line 2,Address Line 3,City,Province,Postal Code,Country,Telephone Number Overseas,Telephone Number,Fax Number
BPPF,ACCData Computer Systems and Training,null,Private Institution,Designated,NA,2016-08-05,null,305-9804-100 Avenue,null,null,Grande Prairie,Alberta,T8V0T8,Canada,5872999444,5872999444,5872999444
BPUY,AGA Academy,null,Private Institution,Designated,NA,2020-10-02,null,1111 - 33 Street NE,null,null,Calgary,Alberta,T2A 6T2,Canada,(403) 598-5865,(403) 598-5865,(403) 598-5865
BPVC,Academy of Healthcare Services,null,Private Institution,Designated,NA,2020-11-25,null,Suite 203 9915 51 Avenue,null,null,Edmonton,Alberta,T6E 0A8,Canada,780-832-3279,780-832-3279,780-832-3279
BPHS,Academy of Learning (Edmonton South),null,Private Institution,Designated,NA,1994-07-28,null,5650-23 Ave,null,null,Edmonton,Alberta,T6L6N2,Canada,(403) 433-1717,(403) 433-1717,(403) 433-1717
BPJW,Academy of Learning - Airdrie,null,Private Institution,Designated,NA,1999-04-26,null,Main Campus,#201 2002 Luxstone,Blvd,Airdrie,Alberta,T4B3K8,Canada,(403) 912-3430,(403) 912-3430,(403) 912-3430
BPKW,Academy of Learning - Calgary NE,null,Private Institution,Designated,NA,2008-02-27,null,Suite 260 495-36 St,NE,null,Calgary,Alberta,T2A6K3,Canada,(403) 569-8973,(403) 569-8973,(403) 569-8973
BPKX,Academy of Learning - Calgary South,null,Private Institution,Designated,NA,2008-02-27,null,220 8228 MacLeod Trail,SE,null,Calgary,Alberta,T2H2B8,Canada,(403) 252-8973,(403) 252-8973,(403) 252-8973
BPIK,Academy of Learning - Edmonton Downtown,null,Private Institution,Designated,NA,1996-04-30,null,10010 - 100 Street,null,null,Edmonton,Alberta,T5J0N3,Canada,(780) 424-1144,(780) 424-1144,(780) 424-1144
BPHR,Academy of Learning - Edmonton West,null,Private Institution,Designated,NA,1994-07-28,null,17718 - 64 Ave,null,null,Edmonton,Alberta,T5T4J5,Canada,(780) 496-9428,(780) 496-9428,(780) 496-9428
BPLQ,Academy of Learning - High River,null,Private Institution,Designated,NA,2009-02-13,null,#4,28 12 Ave,SE,High River,Alberta,T1V1T2,Canada,(403) 652-2116,(403) 652-2116,(403) 652-2116
BPUQ,Academy of Learning Airdrie,null,Private Institution,Designated,NA,2020-03-23,null,#203- 28 Gateway Drive NE,null,null,Airdrie,Alberta,T4B 0J6,Canada,null,null,null
BPPG,Academy of Learning-Brooks,null,Private Institution,Designated,NA,2016-08-31,null,Unit C 212 - 2nd Avenue West,null,null,Brooks,Alberta,T1R 1B7,Canada,4037932294,4037932294,4037932294
BPTI,Academy of Learning-Medicine Hat,null,Private Institution,Designated,NA,2004-08-06,null,115 3030 13 Ave.,S.E.,null,Medicine Hat,Alberta,T1B1E3,Canada,(403) 526-5833,(403) 526-5833,(403) 526-5833
BPII,Academy of Learning-Red Deer,null,Private Institution,Designated,NA,1995-01-01,null,2965 Bremner Avenue,null,null,Red Deer,Alberta,T4R1S2,Canada,(403) 347-6676,(403) 347-6676,(403) 347-6676
BPPO,Academy of Reflexology and Massage,null,Private Institution,Designated,NA,2016-12-13,null,1026 Moyer Drive,null,null,Sherwood Park,Alberta,T8A1E6,Canada,7802353720,7802353720,7802353720
BPTU,Ace Career College,null,Private Institution,Designated,NA,2020-06-03,null,215,100 4 Avenue SW,null,Calgary,Alberta,T2P3N2,Canada,4035544742,4035544742,4035544742
BPOV,Advance Institute of Wellness and Esthetics,null,Private Institution,Designated,NA,2015-12-03,null,#14-140 East Chestermere Dr,null,null,Chestermere,Alberta,T1X1M1,Canada,4034724105,4034724105,4034724105
BPUS,Adventure Aviation Inc,null,Private Institution,Designated,NA,null,null,11021 123 Street,null,null,Grande Prairie,Alberta,T8V 7Z3,Canada,780-539-6968,780-539-6968,780-539-6968
BPPJ,Aesthetics Pro,null,Private Institution,Designated,NA,2016-10-05,null,Unit 303 320-23 Avenue SW,Alberta Professional Building,null,Calgary,Alberta,T2S0J2,Canada,4034758202,4034758202,4034758202
BPCO,Alberta Academy of Aesthetics,null,Private Institution,Designated,NA,1988-01-18,null,1041,8882 170 Street,null,Edmonton,Alberta,T5T3J7,Canada,(403) 486-7201,(403) 486-7201,(403) 486-7201
BPBT,Alberta Bible College,null,Private Institution,Designated,NA,2014-09-05,null,635 Northmount Dr. N.W.,null,null,Calgary,Alberta,T2K3J6,Canada,(403) 282-2994,(403) 282-2994,(403) 282-2994
BPPY,Alberta Business & Health Institute,Alberta Business & Health Institute Inc.,Private Institution,Designated,NA,2018-01-09,null,210- 5009 50 Ave,null,null,Red Deer,Alberta,T4N2B4,Canada,(403) 986-9998,(403) 986-9998,(403) 986-9998
BPMC,Alberta Caregiving Institute-Edmonton General Hospital,null,Private Institution,Designated,NA,2010-02-18,null,Edmonton General Hospital,11111 Jasper Ave,null,Edmonton,Alberta,T5K0L4,Canada,(780) 761-2234,(780) 761-2234,(780) 761-2234
BPRD,Alberta College of Acupuncture And Traditional Chinese Medicine,null,Private Institution,Designated,NA,2001-01-15,null,102- 1910-20th Avenue NW,null,null,Calgary,Alberta,T2M1H5,Canada,(403) 286-8788,(403) 286-8788,(403) 286-8788
BPTW,Alberta College of Body Art,null,Private Institution,Designated,NA,2019-05-31,null,10024 100 Avenue,null,null,Grande Prairie,Alberta,T8V0V3,Canada,7808317387,7808317387,7808317387
BPGY,Alberta College of Massage Therapy-Calgary,null,Private Institution,Designated,NA,2007-10-30,null,#100- 1167 Kensington Crescent,NW,null,Calgary,Alberta,T2N 1X7,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPTO,Alberta College of Massage Therapy-Edmonton,null,Private Institution,Designated,NA,2004-11-17,null,2nd Floor,10434 - 122 Street,null,Edmonton,Alberta,T5N 1M3,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPQS,Alberta College of Massage Therapy-Edmonton South,1039293 Alberta Ltd.,Private Institution,Designated,NA,2019-02-25,null,4620 99 Street,null,null,Edmonton,Alberta,T6E5H5,Canada,7809166888,7809166888,7809166888
BPTK,Alberta College of Massage Therapy-Fort McMurray,null,Private Institution,Designated,NA,2004-08-26,null,9908 Penhorwood Street,null,null,Fort McMurray,Alberta,T9H 1L3,Canada,(877) 768-8400,(877) 768-8400,(877) 768-8400
BPRY,Alberta College of Massage Therapy-Grande Prairie,1039293 Alberta Ltd.,Private Institution,Designated,NA,2001-10-25,null,201- 11402 100 Street,null,null,Grande Prairie,Alberta,T8V 2N5,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPGZ,Alberta College of Massage Therapy-Lloydminster,1039293 Alberta Ltd.,Private Institution,Designated,NA,2007-10-30,null,Bay 1A- 5712 - 44 Street,null,null,Lloydminster,Alberta,T9V 0B6,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPPH,Alberta College of Massage Therapy-Red Deer,null,Private Institution,Designated,NA,2016-09-01,null,#120 4913 50 Avenue,null,null,Red Deer,Alberta,T4N 4A6,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPVE,Alberta Educational Centre,null,Private Institution,Designated,NA,2020-11-26,null,Unit 114- 885 42 Ave SE,null,null,Calgary,Alberta,T2G 5N9,Canada,403-367-8087,403-367-8087,403-367-8087
BPLX,Alberta Health and Safety Training Institute-Calgary,null,Private Institution,Designated,NA,2019-03-05,null,Unit 125,3510 29 Street NE,null,Calgary,Alberta,T1Y7E5,Canada,(403) 670-5406,(403) 670-5406,(403) 670-5406
BPQT,Alberta Health and Safety Training Institute-Red Deer,null,Private Institution,Designated,NA,2019-03-05,null,Bay 22 7471 Edgar Industrial ,Bend,null,Red Deer,Alberta,T4P3Z5,Canada,4036705406,4036705406,4036705406
BPIQ,Alberta Institute of Massage,null,Private Institution,Designated,NA,1996-09-03,null,#4 7710 Gaetz Ave.,null,null,Red Deer,Alberta,T4P2A5,Canada,(403) 346-1018,(403) 346-1018,(403) 346-1018
BPNB,Alberta School of Dog Grooming,null,Private Institution,Designated,NA,2011-09-23,null,5009 50 Avenue,null,null,Leduc,Alberta,T9E6V9,Canada,(780) 980-5327,(780) 980-5327,(780) 980-5327
BPUD,Alison College,null,Private Institution,Designated,NA,2019-08-09,null,#201- 221-18 Street SE,null,null,Calgary,Alberta,T2E 6J5,Canada,(778) 991-2884,(778) 991-2884,(778) 991-2884
BPQA,Ambber & Salma College of Esthetics & Spa,Ramzanali Esthetics Supplies Ltd.,Private Institution,Designated,NA,2018-01-17,null,#18 5440-4 Street NW,null,null,Calgary,Alberta,T2K1A8,Canada,4032450022,4032450022,4032450022
BPSV,Ambrose University ,null,Private Institution,Designated,NA,1988-12-21,null,150 Ambrose Circle SW,null,null,Calgary,Alberta,T3H0L5,Canada,(403) 410-2000,(403) 410-2000,(403) 410-2000
BPQO,Archways Healing College,Archways Healing College Inc.,Private Institution,Designated,NA,2018-11-09,null,275 8702 Meadowlark ,Road NW,null,Edmonton,Alberta,T5R 5W5,Canada,7804257770,7804257770,7804257770
BPMK,Artists Within Makeup Academy,null,Private Institution,Designated,NA,2010-06-25,null,101,638 11 Ave SW,null,Calgary,Alberta,T2R0E2,Canada,(403) 208-0034,(403) 208-0034,(403) 208-0034
BPNT,Aveda Institute-Calgary,null,Private Institution,Designated,NA,2013-06-06,null,225-8 Ave,SW,null,Calgary,Alberta,T2P1B7,Canada,4032645053,4032645053,4032645053
BPNN,Badlands Community College,null,Private Institution,Designated,NA,2012-12-27,null,120 - 3 Street E,null,null,Drumheller,Alberta,T0J 0Y0,Canada,4038568108,4038568108,4038568108
BPOD,Bay River College,null,Private Institution,Designated,NA,2014-05-01,null,Unit 1 & 2,3516-26 Street NE,null,Calgary,Alberta,T1Y4T7,Canada,4034576400,4034576400,4034576400
BPUV,Beauty Maker Institute,null,Private Institution,Designated,NA,2020-09-16,null,5751 Signal Hill Centre SW,null,null,Calgary,Alberta,T3H 3P8,Canada,403-608-7705,403-608-7705,403-608-7705
BPOO,Bella Elite Beauty & Barber Academy Ltd.,null,Private Institution,Designated,NA,2015-05-26,null,311 - 8 th Street South,null,null,Lethbridge,Alberta,T1J 2J5,Canada,5872712717,5872712717,5872712717
BPOX,Bredin College of Business and Health Care - Calgary ,null,Private Institution,Designated,NA,2015-12-11,null,#410 744-4 Avenue SW,null,null,Calgary,Alberta,T2P3T4,Canada,7804253730,7804253730,7804253730
BPOY,Bredin College of Business and Health Care-Edmonton,null,Private Institution,Designated,NA,2015-12-11,null,9th Floor 10004 104 Avenue NW,null,null,Edmonton,Alberta,T5J 0K1,Canada,7804253730,7804253730,7804253730
BPLR,Bredin College of Business and Health Care-Spruce Grove,null,Private Institution,Designated,NA,2009-03-03,null,204-314 McLeod Avenue,null,null,Spruce Grove,Alberta,T7X 0J6,Canada,(780) 425-3730,(780) 425-3730,(780) 425-3730
BPPT,Bredin college of Business and Health Care-Red Deer,null,Private Institution,Designated,NA,2017-06-05,null,501 5010-43 Street,null,null,Red Deer,Alberta,T4N6H2,Canada,7804253730,7804253730,7804253730
BPUT,Brookes College,null,Private Institution,Designated,NA,2020-08-11,null,#250- 6424-36 Street NE,null,null,Calgary,Alberta,T3J 4C8,Canada,403-702-6729,403-702-6729,403-702-6729
BPOT,Business IQ Training Inc.,null,Private Institution,Designated,NA,2015-11-26,null,5051-50 Street,null,null,Camrose,Alberta,T4V1R3,Canada,7806722672,7806722672,7806722672
BPLY,CDI College of Bus Tech and Health-Edmonton South,null,Private Institution,Designated,NA,2009-10-08,null,101- 4723 - 52 Avenue NW,null,null,Edmonton,Alberta,T6B 3R6,Canada,(780) 463-7900,(780) 463-7900,(780) 463-7900
BPMU,CDI College of Business Tech and Health Care-Calgary South,null,Private Institution,Designated,NA,2011-06-06,null,Midnapore Mall,Suite 200-240 Midpark Way SE,null,Calgary,Alberta,T2X1N4,Canada,(403) 207-1813,(403) 207-1813,(403) 207-1813
BPMV,CDI College of Business Tech and Health Care-Edmonton West,null,Private Institution,Designated,NA,2011-06-06,null,176 Mayfield Common,NW,null,Edmonton,Alberta,T5P4B3,Canada,(780) 702-0328,(780) 702-0328,(780) 702-0328
BPPV,CDI College of Business Technology and Health Care-Red Deer,CDI Education (Alberta) Inc.,Private Institution,Designated,NA,2017-08-17,null,5th Floor,5000 Gaetz Avenue,null,Red Deer,Alberta,T4N6C2,Canada,(587) 951-1030,(587) 951-1030,(587) 951-1030
BPLB,CDI College of Business- Technology and Health Care- Calgary City Centre,null,Private Institution,Designated,NA,2008-03-26,null,200- 703 - 6th Avenue SW ,null,null,Calgary,Alberta,T2P0T9,Canada,null,null,null
BPLC,CDI College of Business- Technology and Health Care- Calgary North,null,Private Institution,Designated,NA,2008-03-26,null,#100 403 33 Steet,NE,null,Calgary,Alberta,T2A1X5,Canada,(403) 571-8585,(403) 571-8585,(403) 571-8585
BPLD,CDI College of Business- Technology and Health Care- Edmonton City Centre,null,Private Institution,Designated,NA,2008-03-26,null,200 - 10004 Jasper Ave,null,null,Edmonton,Alberta,T5J 1R3,Canada,(780) 424-6650,(780) 424-6650,(780) 424-6650
BPLE,CDI College of Business- Technology and Health Care- Edmonton North,null,Private Institution,Designated,NA,2008-03-26,null,Units 174 & 280 , Northtown Mall, 9450 137 Ave,Edmonton,Alberta,T5E6C2,Canada,(780) 478-7900,(780) 478-7900,(780) 478-7900
BPPC,CLI College of Business- Health and Technology-Calgary Campus,null,Private Institution,Designated,NA,2016-06-16,null,#210 4202 - 17 Avenue SE ,null,null,Calgary,Alberta,T2S 0A3,Canada,(780) 680-7930,(780) 680-7930,(780) 680-7930
BPOE,CLI College of Business- Health and Technology-Edmonton North,null,Private Institution,Designated,NA,2014-06-25,null,8706 118 Ave,null,null,Edmonton,Alberta,T5B0T1,Canada,7804210224,7804210224,7804210224
BPBQ,Calgary College of Traditional Chinese Med and Acupunture,null,Private Institution,Designated,NA,2005-07-31,null,4014 MacLeod Trail South,Suite 107,null,Calgary,Alberta,T2G 2R7,Canada,4032878688,4032878688,4032878688
BPOR,Calgary Flight Training Centre,null,Private Institution,Designated,NA,2015-08-03,null,Hangar 15 1436 Twp Rd 320,null,null,Didsbury ,Alberta,T0M0W0,Canada,4033354892,4033354892,4033354892
BPMG,Calgary Flying Club,null,Private Institution,Designated,NA,2010-04-22,null,155A MacLaurin Drive,null,null,Calgary,Alberta,T3Z3S4,Canada,(403) 288-8831,(403) 288-8831,(403) 288-8831
BPUN,Calgary-Okotoks Flying School Inc.,null,Private Institution,Designated,NA,2019-12-10,null,2 Winters Way,null,null,Okotoks,Alberta,T1S 1W9,Canada,587) 894-2549,587) 894-2549,587) 894-2549
BPNO,Cambrooks College,null,Private Institution,Designated,NA,2013-02-11,null,202,4015 17 Ave SE,null,Calgary,Alberta,T2A0S8,Canada,(403) 452-3694,(403) 452-3694,(403) 452-3694
BPPW,Cambrooks College-Downtown Location,Cambrooks College Inc.,Private Institution,Designated,NA,2017-10-25,null,1105-7 Avenue SW,null,null,Calgary,Alberta,T2P1B2,Canada,4039191429,4039191429,4039191429
BPKG,Campbell College Ltd.,null,Private Institution,Designated,NA,1999-09-20,null,101 - 11748 Kingsway Avenue,null,null,Edmonton,Alberta,T5G0X5,Canada,(780) 448-1850,(780) 448-1850,(780) 448-1850
BPVK,Canada School of Barbering,null,Private Institution,Designated,NA,2021-03-05,null,200- 10018 106 St,null,null,Edmonton,Alberta,T5J 1G4,Canada,780-884-1488,780-884-1488,780-884-1488
BPVF,Canadian Academy of Osteopathy West,null,Private Institution,Designated,NA,2020-11-26,null,204- 5th Avenue,Unit 5,null,Cochrane,Alberta,T4C 1X3,Canada,null,null,null
BPQP,Canadian Health and Business College,null,Private Institution,Designated,NA,2018-12-05,null,208- 1212 1 Street SE,null,null,Calgary,Alberta,T2G 2H8,Canada,4034533346,4034533346,4034533346
BPTV,Canadian Imperial College,null,Private Institution,Designated,NA,2019-05-31,null,11525 23 Avenue NW,null,null,Edmonton,Alberta,T6J4T3,Canada,7808518834,7808518834,7808518834
BPQJ,Canadian Institute of Osteopathic Therapy,null,Private Institution,Designated,NA,2018-10-09,null,757 57 Ave NE,null,null,Calgary,Alberta,T2E 8W6,Canada,403 455-2468,403 455-2468,403 455-2468
BPAZ,Canadian Institute of Traditional Chinese Medicine,null,Private Institution,Designated,NA,2005-07-08,null,Unit 300 ,1824 Crowchild Trail NW,null,Calgary,Alberta,T2M 3Y7,Canada,(403) 520-5258,(403) 520-5258,(403) 520-5258
BPBH,Canadian Lutheran Bible Institute,null,Private Institution,Designated,NA,1988-12-21,null,4837-52A,null,null,Camrose,Alberta,T4V1W5,Canada,(403) 672-4454,(403) 672-4454,(403) 672-4454
BPVB,Canadian School of Natural Nutrition-Edmonton,null,Private Institution,Designated,NA,2020-11-16,null,#316- 8925 - 51st Avenue,null,null,Edmonton,Alberta,T6E 5J3,Canada,780-437-3933,780-437-3933,780-437-3933
BPEV,Canadian Southern Baptist Seminary,null,Private Institution,Designated,NA,1988-09-09,null,Main Campus,200 Seminary View,null,Cochrane,Alberta,T4C 2G1,Canada,4039326622,4039326622,4039326622
BPQD,Canford Institute of Technology,null,Private Institution,Designated,NA,2018-05-04,null,10709 105 Street ,null,null,Edmonton,Alberta,T5H 2X3,Canada,403 869-9391,403 869-9391,403 869-9391
BPUG,Capstone Edge College,null,Private Institution,Designated,NA,2019-11-18,null,202A- 2750 22 Street NE,null,null,Calgary,Alberta,T2E 7L9,Canada,(403)903-1383,(403)903-1383,(403)903-1383
BPTC,Centennial Flight Centre Inc.,null,Private Institution,Designated,NA,1988-12-21,null,Hangar 17-Villeneuve Airport,26 - 27018 SH633,null,Sturgeon County,Alberta,T8T 0E3,Canada,(780) 451-7676,(780) 451-7676,(780) 451-7676
BPIS,Christcity Theological Institute,null,Private Institution,Designated,NA,1996-10-03,null,14788 - 156 St,null,null,Edmonton,Alberta,T6V 1J2,Canada,780-784-2489,780-784-2489,780-784-2489
BPTG,Clearwater College,null,Private Institution,Designated,NA,2004-06-15,null,Box 100,null,null,Caroline,Alberta,T0M 0M0,Canada,4037222225,4037222225,4037222225
BPGD,Columbia College,null,Private Institution,Designated,NA,1991-08-26,null,802 Manning Rd Ne,null,null,Calgary,Alberta,T2E7N8,Canada,4032359300,4032359300,4032359300
BPOK,Cooking Lake Aviation Services,null,Private Institution,Designated,NA,2014-11-07,null,Cooking Lake Airport Hangar 69,51401 Range Road 221,null,Sherwood Park,Alberta,T8E1H1,Canada,7809222802,7809222802,7809222802
BPMQ,Cosmopolitan Make-Up Artist College,null,Private Institution,Designated,Student(s) attending- EI pending de-designation,2010-10-19,null,10014 109 Street,null,null,Edmonton,Alberta,T4J1M4,Canada,(780) 428-4636,(780) 428-4636,(780) 428-4636
BPPN,Cypress College - Culinary Campus,null,Private Institution,Designated,NA,2016-11-10,null,1051 Ross Glen Drive SE,null,null,Medicine Hat,Alberta,T1B 3T8,Canada,4035274382,4035274382,4035274382
BPLL,Cypress College - Medicine Hat,null,Private Institution,Designated,NA,2008-06-05,null,3-7th Street,SE,null,Medicine Hat,Alberta,T1A1J2,Canada,(403) 527-4382,(403) 527-4382,(403) 527-4382
BPNW,Cypress College-Brooks,null,Private Institution,Designated,NA,2013-08-23,null,716 2 Street West,P.O. Box 908,null,Brooks ,Alberta,T1R1C4,Canada,4033625907,4033625907,4033625907
BPLZ,DelMar College ,null,Private Institution,Designated,NA,2010-01-29,null,5915 1A Street,SW,null,Calgary,Alberta,T2H0G4,Canada,(403) 264-8055,(403) 264-8055,(403) 264-8055
BPPX,DelMar College of Esthetics & Wellness,null,Private Institution,Designated,NA,2017-12-12,null,Suite 160 ,5769 4 Street SE,null,Calgary,Alberta,T2H2H9,Canada,4032556644,4032556644,4032556644
BPTJ,Delmar College - Red Deer Campus,null,Private Institution,Designated,NA,2004-08-19,null,4929-49 Street,null,null,Red Deer,Alberta,T4N1Z1,Canada,(403) 347-2018,(403) 347-2018,(403) 347-2018
BPTE,Digital School,null,Private Institution,Designated,NA,2003-05-13,null,#202 ,10010 - 100 Street,null,Edmonton,Alberta,T5J 0N3,Canada,(780) 414-0200,(780) 414-0200,(780) 414-0200
BPOU,ERP College,null,Private Institution,Designated,NA,2015-12-01,null,1400-734 7th Avenue SW,null,null,Calgary,Alberta,T2P 3P8,Canada,4034520745,4034520745,4034520745
BPUC,East-West College,null,Private Institution,Designated,NA,2019-07-31,null,10541 106 Street NW,null,null,Edmonton,Alberta,T5H 2X5,Canada,587-438-2955,587-438-2955,587-438-2955
BPVI,East-West College Brooks Inc.,null,Private Institution,Designated,NA,2021-02-09,null,604 Cassils Road W.,null,null,Brooks,Alberta,T1R 1K9,Canada,587-438-2955,587-438-2955,587-438-2955
BPUF,East-West College of Business & Technology - Calgary City Centre,null,Private Institution,Designated,NA,2019-11-06,null,Suite 315- 505-8th Ave SW,null,null,Calgary,Alberta,T2P 6B6,Canada,null,null,null
BPPZ,East-West College of Business and Technology,East-West College of Business and Technology Inc.,Private Institution,Designated,NA,2018-01-16,null,Suite 200- 3880 - 29th Street ,NE,null,Calgary,Alberta,T1Y 6B6,Canada,5877182955,5877182955,5877182955
BPNS,Ecole Holt Couture School of Couture Sewing and Design,null,Private Institution,Designated,NA,2018-10-04,null,2227 20 Ave SW,null,null,Calgary,Alberta,T2T0M4,Canada,4032445460,4032445460,4032445460
BPBL,Edmonton Flying Club,null,Private Institution,Designated,NA,1988-12-21,null,#3 - 52111 Range Road 270,null,null,Spruce Grove,Alberta,T7X 3L7,Canada,(780) 499-6669,(780) 499-6669,(780) 499-6669
BPMS,Elevated Learning Academy Inc. - Calgary,null,Private Institution,Designated,NA,2011-01-27,null,Unit 305,4014 MacLeod Trail SE,null,Calgary,Alberta,T2G 2R7,Canada,(403) 473-0939,(403) 473-0939,(403) 473-0939
BPNI,Elevated Learning Academy Inc. - Edmonton,null,Private Institution,Designated,NA,2012-07-24,null,209-10080 Jasper Avenue,null,null,Edmonton,Alberta,T5J1V9,Canada,8885445573,8885445573,8885445573
BPLO,Emergency Services Academy,null,Private Institution,Designated,NA,2008-11-14,null,2nd Floor,161 Broadway ,Boulevard,Sherwood Park,Alberta,T8A2A8,Canada,(780) 416-8822,(780) 416-8822,(780) 416-8822
BPCC,Est-Elle Academy of Hair Design Limited,null,Private Institution,Designated,NA,1988-12-21,null,8004 Gateway Blvd,null,null,Edmonton,Alberta,T6E6A2,Canada,(780) 432-7577,(780) 432-7577,(780) 432-7577
BPSR,European Institute of Esthetics- Esthetic and Laser Training Centre,null,Private Institution,Designated,NA,2003-08-18,null,6724 75 Street,null,null,Edmonton,Alberta,T6E6T9,Canada,(780) 466-5271,(780) 466-5271,(780) 466-5271
BPNA,Eveline Charles Academy - Edmonton,null,Private Institution,Designated,NA,2011-08-26,null,2047- 8882 170 Street NW,null,null,Edmonton,Alberta,T5T 4J2,Canada,(780) 409-0222,(780) 409-0222,(780) 409-0222
BPMZ,Eveline Charles Academy-Calgary,null,Private Institution,Designated,NA,2011-08-18,null,404 510 8 Avenue,SW,null,Calgary,Alberta,T2P4H9,Canada,(403) 476-0593,(403) 476-0593,(403) 476-0593
BPPL,Evolve Dental Academy,null,Private Institution,Designated,NA,2016-11-01,null,103- 1914-34 Avenue SW,null,null,Calgary,Alberta,T2T2C1,Canada,4033543255,4033543255,4033543255
BPSE,Excel Flight Training Incorporated,null,Private Institution,Designated,NA,2002-11-04,null,421 Stubb Ross Road,Suite 201,null,Leithbridge,Alberta,T1K7N3,Canada,(403) 329-4887,(403) 329-4887,(403) 329-4887
BPUW,FOOTHILLS HELICOPTER TRAINING ACADEMY LTD,null,Private Institution,Designated,NA,2020-09-16,null,Unit 15- 4 Winters Way,null,null,Okotoks,Alberta,T1S 0J1,Canada,403-969-5524,403-969-5524,403-969-5524
BPUK,GD College,null,Private Institution,Designated,NA,2019-11-19,null,108-1935 27 Ave NE,null,null,Calgary,Alberta,T2E 7E4,Canada,(403) 991-8211,(403) 991-8211,(403) 991-8211
BPUE,Glenbow College,null,Private Institution,Designated,NA,2019-08-22,null,100- 940 6th Ave SW,null,null,Calgary,Alberta,T2P 3T1,Canada,(403) 681-9296,(403) 681-9296,(403) 681-9296
BPVG,Global College of Business & Technology,null,Private Institution,Designated,NA,2020-11-26,null,Suite 229,495 36 St N.E.,null,Calgary,Alberta,T2A 6K3,Canada,null,null,null
