OBJECTID,Serial_No,Name_of_th,Types_of_C,Street__Nu,Street__Na,Unit_Suite,City,Province,Postal_Cod,Phone,Website,Address,LOCNAME,ONSTREET,STREETNO
20,27,Westminster Woods Medical Centre,Family Health Teams,33,Farley Drive,1,Guelph,ON,N1L 0B7,519-837-8137,http://www.guelphfht.com/Views/ClinicProfile.aspx?clinicID=7,33 Farley Drive,Westminster Woods Medical Centre,Farley Drive,33
21,29,Woolwich Street,Family Health Teams,112,Woolwich Street,,Guelph,ON,N1H 3T9,519-767-1721,,112 Woolwich Street,Woolwich Street,Woolwich Street,112
22,31,Dawson Road - Dr. Jennifer Caspers,Family Health Teams,83,Dawson Road,,Guelph,ON,N1H 1B1,519-767-1512,,83 Dawson Road,Dawson Road - Dr. Jennifer Caspers,Dawson Road,83
23,32,Dawson Road Family Medical Clinic,Family Health Teams,83,Dawson Road,,Guelph,ON,N1H 1B1,519-766-1360,http://www.dawsonroadfamilymedicalclinic.com/,83 Dawson Road,Dawson Road Family Medical Clinic,Dawson Road,83
24,30,Wyndham Medical,Family Health Teams,75,Wyndham Street South,,Guelph,ON,N1E 5R3,519-265-4848,http://www.guelphfht.com/Views/ClinicProfile.aspx?clinicID=41,75 Wyndham Street South,Wyndham Medical,Wyndham Street South,75
25,34,Guelph General Hospital,Hospital,115,Delhi Street,,Guelph,ON,N1E 4J4,519-822-5350,,115 Delhi Street,Guelph General Hospital,Delhi Street,115
26,35,St. Joseph's Health Centre Guelph,Hospital,100,Westmount Road,,Guelph,ON,N1H 5H8,519-824-6000,,100 Westmount Road,St. Joseph's Health Centre Guelph,Westmount Road,100
27,37,Homewood Health Centre,Mental Health,150,Delhi Street,,Guelph,ON,N1E 6K9,519-824-1010,,150 Delhi Street,Homewood Health Centre,Delhi Street,150
28,36,"Canadian Mental Health Association, Waterloo Wellington Dufferin",Mental Health,147,Wyndham Street North,,Guelph,ON,N1H 4E9,519-763-4014 extension 2355,,147 Wyndham Street North,"Canadian Mental Health Association, Waterloo Wellington Dufferin",Wyndham Street North,147
29,38,MentalHealthSupport.ca,Mental Health,35,Cheltonwood Avenue,,Guelph,ON,N1E 4E1,519-993-4609,,35 Cheltonwood Avenue,MentalHealthSupport.ca,Cheltonwood Avenue,35
30,39,"Canadian Mental Health Association, Waterloo Wellington Dufferin

Self -Help Alliance",Mental Health,147,Wyndham Street North,,Guelph,ON,N1H 4E9,"1  844 264 2993 (toll-free phone number)

519 763 4014",http://www.cmhawwd.ca,147 Wyndham Street North,"Canadian Mental Health Association, Waterloo Wellington Dufferin

Self -Help Alliance",Wyndham Street North,147
31,40,"Canadian Mental Health Association, Waterloo Wellington Dufferin",Mental Health,80,Waterloo Avenue,,Guelph,ON,N1H 0A1,1  844 264 2993 (toll-free phone number),http://www.cmhawwd.ca,80 Waterloo Avenue,"Canadian Mental Health Association, Waterloo Wellington Dufferin",Waterloo Avenue,80
32,41,Guelph ?혀 160 Chancellors Way,Public Health,160,Chancellors Way,,Guelph,ON,N1G 0E1,1-800-265-7293,,160 Chancellors Way,Guelph ?혀 160 Chancellors Way,Chancellors Way,160
33,42,Guelph ?혀 Shelldale Centre,Public Health,20,Shelldale Crescent,,Guelph,ON,N1H 1C8,1-800-265-7293,,20 Shelldale Crescent,Guelph ?혀 Shelldale Centre,Shelldale Crescent,20
34,43,Arkell Walk-in Clinic,Walk in Clinic,403,Arkell Road,,Guelph,ON,N1L 1E5,519-822-7841,,403 Arkell Road,Arkell Walk-in Clinic,Arkell Road,403
35,44,Dawson Road Family Medical Clinic - After Hours,Walk in Clinic,83,Dawson Road,,Guelph,ON,N1H 1B1,519-766-1360,,83 Dawson Road,Dawson Road Family Medical Clinic - After Hours,Dawson Road,83
36,45,Guelph Family Health Team,Walk in Clinic,55,Wyndham Street North,212,Guelph,ON,N1H 7T8,519-837-4444,,55 Wyndham Street North,Guelph Family Health Team,Wyndham Street North,55
37,46,Guelph Walk-in Medical Clinic,Walk in Clinic,1499,Gordon Street,,Guelph,ON,N1L 1C9,519-265-6400,,1499 Gordon Street,Guelph Walk-in Medical Clinic,Gordon Street,1499
38,47,Guelph Walk-in Medical Clinic,Walk in Clinic,160,Kortright Road West,12A,Guelph,ON,N1G 4W2,519-265-9177,,160 Kortright Road West,Guelph Walk-in Medical Clinic,Kortright Road West,160
39,49,Dawson Road Family Medical Clinic - After Hours,Walk in Clinic,83,Dawson Road,,Guelph,ON,N1H 1B1,519-766-1360,,83 Dawson Road,Dawson Road Family Medical Clinic - After Hours,Dawson Road,83
40,50,Guelph Walk-in Medical Clinic,Walk in Clinic,105,Silvercreek Parkway North,,Guelph,ON,N1H 6S4,519-822-9363,,105 Silvercreek Parkway North,Guelph Walk-in Medical Clinic,Silvercreek Parkway North,105
41,4,Family and Children's Services of Guelph and Wellington County,Family and Children Services,275,Eramosa Road,,Guelph,ON,N1E 2M7,519-824-2410,,275 Eramosa Road,Family and Children's Services of Guelph and Wellington County,Eramosa Road,275
42,7,Mango Tree,Family Health Team,28,Brock Road North,,Aberfoyle,ON,N1H 6H9,519-224-0540,http://www.mangotreefht.com,28 Brock Road North,Mango Tree,Brock Road North,28
43,19,Surrey 101,Family Health Teams,21,Surrey Street West,101,Guelph,ON,N1H 3R3,519-822-2188,,21 SURREY ST W,Surrey 101,Surrey Street West,21
44,20,Surrey 102,Family Health Teams,21,Surrey Street West,102,Guelph,ON,N1H 3R3,519-837-3623,,21 SURREY ST W,Surrey 102,Surrey Street West,21
45,22,Surrey 108,Family Health Teams,21,Surrey Street West,108,Guelph,ON,N1H 3R3,519-823-2190,,21 SURREY ST W,Surrey 108,Surrey Street West,21
46,21,Surrey 103,Family Health Teams,21,Surrey Street West,103,Guelph,ON,N1H 3R3,519-837-1170,,21 SURREY ST W,Surrey 103,Surrey Street West,21
47,24,Surrey 302,Family Health Teams,21,Surrey Street West,302,Guelph,ON,N1H 3R3,519-763-4338,,21 SURREY ST W,Surrey 302,Surrey Street West,21
48,23,Surrey 301,Family Health Teams,21,Surrey Street West,301,Guelph,ON,N1H 3R3,519-836-7240,,21 SURREY ST W,Surrey 301,Surrey Street West,21
