idx,facility_name,facility_type,health_authority,alternative_name,number_beds,longitude,latitude,street_addr,city,province,postal_code,phone,provider
74,Health and Home Care Society,Long Term Care,Vancouver Coastal Health,Health and Home Care Society of British Columbia,12,-123.050944,49.2248112,2711 E 49th Ave,Vancouver,BC,V5S 1K3,(604) 327-9525,Province of British Columbia
75,Fair Haven Homes Society,Long Term Care,Vancouver Coastal Health,Fair Haven Homes Vancouver Lodge,101,-123.0513694,49.2253678,2720 E 48th Ave,Vancouver,BC,V5S 1G7,(604) 433-2939,Province of British Columbia
76,posAbilities Association of BC,Community Living,Vancouver Coastal Health,Trillium House,,-122.9980666,49.3206867,2749 Wyat Pl,North Vancouver,BC,V7H 1K5,(604) 987-3558,Province of British Columbia
77,"HCN - Revera Lessee (Crofton Manor) LP by its general partner, HCN-Revera Lessee (Crofton Manor) GP Inc.",Long Term Care,Vancouver Coastal Health,Crofton Manor,90,-123.1680041,49.2354933,2803 W 41st Ave,Vancouver,BC,V6N 4B4,(604) 263-0921,Province of British Columbia
78,"MPA - Motivation, Power & Achievement Society",Mental Health,Vancouver Coastal Health,Winston Manor,,-123.1686393,49.2660447,2805 W 7th Ave,Vancouver,BC,V6K 1Z5,(604) 742-1536,Province of British Columbia
79,Coast Foundation Society (1974),Mental Health,Vancouver Coastal Health,Champlain House,,-123.0483817,49.2227007,2810 E 51st Ave,Vancouver,BC,V5S 1R3,(604) 435-1300,Province of British Columbia
80,WJS Canada,Community Living,Vancouver Coastal Health,Our Place,,-123.0993326,49.2407212,287 E 33rd Ave,Vancouver,BC,V5V 2Z7,(604) 874-3120,Province of British Columbia
81,Three Links Care Society,Long Term Care,Vancouver Coastal Health,Three Links Care Centre,90,-123.0429307,49.2503144,2934 E 22nd Ave,Vancouver,BC,V5M 2Y4,(604) 434-7211,Province of British Columbia
82,Community Living Society,Community Living,Vancouver Coastal Health,Newmarket Drive,,-123.1026853,49.3365841,2985 Newmarket Dr,North Vancouver,BC,V7R 2T7,604-984-8058,Province of British Columbia
83,Villa Carital Society,Long Term Care,Vancouver Coastal Health,Villa Carital,81,-123.0521465,49.2565839,3050 Penticton St,Vancouver,BC,V5M 4W2,(604) 434-0995,Province of British Columbia
84,Community Living Society,Community Living,Vancouver Coastal Health,Paisley House,,-123.1080939,49.3365668,3091 Paisley Rd,North Vancouver,BC,V7R 1C7,604-984-9685,Province of British Columbia
85,"MPA - Motivation, Power & Achievement Society",Mental Health,Vancouver Coastal Health,Tilikum House,,-123.0383714,49.2578371,3126 Grandview Hwy,Vancouver,BC,V5M 2E8,(604) 419-1883,Province of British Columbia
86,M. Kopernik (Nicolaus Copernicus) Foundation,Long Term Care,Vancouver Coastal Health,Kopernik Lodge,88,-123.0391962,49.2154568,3150 Rosemont Dr,Vancouver,BC,V5S 2C9,(604) 438-2474,Province of British Columbia
87,Community Living Society,Community Living,Vancouver Coastal Health,East Keith Road House,,-123.0670847,49.3136203,317 Keith Road E,North Vancouver,BC,V7L 1V6,604-980-4849,Province of British Columbia
88,Vancouver Coastal Health Authority,Hospice,Vancouver Coastal Health,North Shore Hospice,,-123.0649066,49.3206496,319 14th St E,North Vancouver,BC,V7L 2N6,604-904-6178,Province of British Columbia
89,Amica Lions Gate Inc,Long Term Care,Vancouver Coastal Health,Amica at Edgemont Village,40,-123.1009669,49.3385374,3225 Highland Blvd,North Vancouver,BC,V7R 0A3,(604) 929-6361,Province of British Columbia
90,VRS Communities Society,Acquired Injury,Vancouver Coastal Health,East 36th House,,-123.0986843,49.2383527,325 E 36th Ave,Vancouver,BC,V5W 1C5,(604) 321-1661,Province of British Columbia
91,Cascadia Society for Social Working,Community Living,Vancouver Coastal Health,Kaspar House,,-123.0797408,49.3260052,325 W 19th St,North Vancouver,BC,V7M 1X7,(604) 988-3970,Province of British Columbia
92,Calling Foundation,Long Term Care,Vancouver Coastal Health,Blenheim Lodge,98,-123.1791189,49.2572761,3263 Blenheim St,Vancouver,BC,V6L 2X7,(604) 732-8717,Province of British Columbia
93,Little Mountain Residential Care and Housing Society,Long Term Care,Vancouver Coastal Health,Little Mountain Place,117,-123.0998532,49.2376635,330 E 36th Ave,Vancouver,BC,V5W 3Z4,(604) 325-2298,Province of British Columbia
94,Coast Mental Health,Mental Health,Vancouver Coastal Health,Journeys,,-123.0330655,49.2682034,3318 E 2nd Ave,Vancouver,BC,V5M 1G5,(604) 254-5538,Province of British Columbia
95,The Bloom Group Community Services Society,Hospice,Vancouver Coastal Health,May's Place,,-123.0968604,49.2831721,333 Powell St,Vancouver,BC,V6A 1G5,(604) 606-0380,Province of British Columbia
96,Vancouver Coastal Health,Mental Health,Vancouver Coastal Health,Vista,,-123.0709056,49.2548939,3360 Fleming St,Vancouver,BC,V5N 3V5,(604) 736-9931,Province of British Columbia
97,Developmental Disabilities Association of Vancouver-Richmond,Community Living,Vancouver Coastal Health,Charles Street Group Home,,-123.0314326,49.2735361,3363 Charles St,Vancouver,BC,V5K 3C3,(604) 251-1701,Province of British Columbia
98,Developmental Disabilities Association of Vancouver-Richmond,Community Living,Vancouver Coastal Health,3381 Worthington,,-123.0327623,49.2551157,3381 Worthington Dr,Vancouver,BC,V5M 3X8,(604) 432-9377,Province of British Columbia
99,VRS Communities Society,Acquired Injury,Vancouver Coastal Health,Tanner House,,-123.0313165,49.2442212,3402 E 29th Ave,Vancouver,BC,V5R 1W7,(604) 436-3894,Province of British Columbia
100,Coast Foundation Society (1974),Mental Health,Vancouver Coastal Health,Renfrew House,,-123.0301071,49.254322,3402 Worthington Dr,Vancouver,BC,V5M 3X8,(604) 437-5587,Province of British Columbia
101,Greater Vancouver Community Services Society,Community Living,Vancouver Coastal Health,Mount Seymour Parkway House,,-122.9773545,49.3153533,3403 Mt Seymour Pkwy,North Vancouver,BC,V7H 1G4,(604) 929-3238,Province of British Columbia
102,Coast Mental Health,Mental Health,Vancouver Coastal Health,Coast West,,-123.1806513,49.2694106,3436 W 3rd Ave,Vancouver,BC,V6R 1L5,(604) 733-0504,Province of British Columbia
103,Cathryn Helen Jordan,Community Living,Vancouver Coastal Health,Grief Point Residence,,-124.523903,49.8094775,3463 Marine Avenue,Powell River,BC,V8A 2H4,604-485-2468,Province of British Columbia
104,The Bloom Group Community Services Society,Mental Health,Vancouver Coastal Health,Victory House,,-123.096363,49.2824812,353 E Cordova St,Vancouver,BC,V6A 1L4,(604) 606-0331,Province of British Columbia
105,posAbilities Association of BC,Community Living,Vancouver Coastal Health,Lakeside House,,-123.0604877,49.250461,3597 Gladstone St,Vancouver,BC,V5N 4Y8,(604) 874-5838,Province of British Columbia
106,Greater Vancouver Community Services Society,Community Living,Vancouver Coastal Health,Fourth And Alma,,-123.1845142,49.2688649,3625 W 4th Ave,Vancouver,BC,V6R 1P2,(604) 731-4304,Province of British Columbia
107,L & T Services Ltd.,Acquired Injury,Vancouver Coastal Health,Collingwood House,,-123.026247,49.2393253,3626 Monmouth Ave,Vancouver,BC,V5R 5S3,(604) 454-0637,Province of British Columbia
108,Community Living Society,Community Living,Vancouver Coastal Health,Norwood House,,-123.0767595,49.3429472,3636 Norwood Ave,North Vancouver,BC,V7N 3P7,604-986-0718,Province of British Columbia
109,Community Living Society,Community Living,Vancouver Coastal Health,Maginnis Avenue,,-123.034142,49.342687,3660 Maginnis Avenue,North Vancouver,BC,V7K 2L6,604-983-3660,Province of British Columbia
110,VRS Communities Society,Community Living,Vancouver Coastal Health,West 63rd Home,,-123.1139356,49.2134497,369 W 63rd Ave,Vancouver,BC,V5X 2J1,(604) 322-0994,Province of British Columbia
111,Sea to Sky Community Services,Community Living,Vancouver Coastal Health,Newport House,,-123.156384,49.6982341,37948 3rd Ave,Squamish,BC,V8B 0A7,(604) 892-6336,Province of British Columbia
112,Vancouver Coastal Health Authority,Hospice,Vancouver Coastal Health,Whistler Blackcomb Sea to Sky Community Hospice,,-123.1405798,49.6986038,38146 Behrner Dr,Squamish,BC,V8B 0C8,(604) 892-9337,Province of British Columbia
113,Vancouver Coastal Health Authority,Long Term Care,Vancouver Coastal Health,Hilltop House,86,-123.1405798,49.6986038,38146 Behrner Dr,Squamish,BC,V8B 0C8,(604) 892-9337,Province of British Columbia
114,Sea to Sky Community Services,Community Living,Vancouver Coastal Health,Harmony House,,-123.1307199,49.6983807,38183 Guilford Dr,Squamish,BC,V8B 0X4,(604) 567-8288,Province of British Columbia
115,Saint Elizabeth Health Care,Community Living,Vancouver Coastal Health,Khyaht Ayahm,,-123.0237407,49.3445718,3895 Phyllis Rd,North Vancouver,BC,V7K 2T7,(604) 980-0765,Province of British Columbia
116,North Shore Disability Resource Centre,Community Living,Vancouver Coastal Health,Loraine Avenue,,-123.1065884,49.3445872,3908 Loraine Ave,North Vancouver,BC,V7R 4B8,(604) 984-6190,Province of British Columbia
117,Inclusion Powell River Society,Community Living,Vancouver Coastal Health,Joyce Avenue Residence,,-124.5201111,49.8240785,4000 Joyce Avenue,Powell River,BC,V8A 2Z5,604-485-4567,Province of British Columbia
118,Coast Foundation - AP Department,Mental Health,Vancouver Coastal Health,Birchwood House,,-123.1513116,49.2504475,4002 Maple Crescent,Vancouver,BC,V6J 4B2,(604) 733-8276,Province of British Columbia
119,North Shore Disability Resource Centre,Community Living,Vancouver Coastal Health,Shone House,,-122.9593032,49.318792,4060 Shone Rd,North Vancouver,BC,V7G 2N4,(604) 924-1963,Province of British Columbia
120,VRS Communities Society,Acquired Injury,Vancouver Coastal Health,Carolina House,,-123.0917117,49.2488301,4096 Carolina St,Vancouver,BC,V5V 4B7,(604) 874-5433,Province of British Columbia
121,"MPA - Motivation, Power & Achievement Society",Mental Health,Vancouver Coastal Health,Banyan House,,-123.0333789,49.24762,4134 Rupert St,Vancouver,BC,V5R 2H4,(604) 451-3441,Province of British Columbia
122,City Centre Care Society,Long Term Care,Vancouver Coastal Health,Central City Lodge,100,-123.1119351,49.2831331,415 W Pender St,Vancouver,BC,V6B 1V2,(604) 681-9111,Province of British Columbia
123,Inclusion Powell River Society,Community Living,Vancouver Coastal Health,Scotia Place,,-124.5216544,49.8326712,4314 Scotia Place,Powell River,BC,V8A 2X2,(604) 485-0925,Province of British Columbia
124,Care Pacific Holdings Ltd.,Long Term Care,Vancouver Coastal Health,OPAL by Element,31,-123.1133124,49.2486447,438 W King Edward Ave,Vancouver,BC,V5Y 2J4,(778) 488-0637,Province of British Columbia
125,North Shore Connexions Society,Community Living,Vancouver Coastal Health,Capilano House,,-123.1072561,49.3510806,4410 Capilano Road,North Vancouver,BC,V7R 4J9,(604) 980-5117,Province of British Columbia
126,Richmond Society for Community Living,Community Living,Vancouver Coastal Health,Muscroft House,,-123.1746239,49.1486039,4433 Francis Rd,Richmond,BC,V7C 1J8,(604) 275-2390,Province of British Columbia
127,Vancouver Coastal Health,Mental Health,Vancouver Coastal Health,Chapman House,,-123.7179765,49.4405122,4491 Sunshine Coast Highway,Sechelt,BC,V0N 3A1,604-885-3632,Province of British Columbia
128,,Community Living,Vancouver Coastal Health,Capilano Road,,-123.1074121,49.3532103,4537 Capilano Rd North,Vancouver,BC,V7R 4K2,604-980-3582,Province of British Columbia
129,Inclusion Powell River Society,Community Living,Vancouver Coastal Health,Golden Avenue Residence,,-124.5216509,49.8396688,4574 Golden Avenue,Powell River,BC,V8A 2X5,604-485-0358,Province of British Columbia
130,posAbilities Association of BC,Community Living,Vancouver Coastal Health,38th Avenue Group Home,,-123.0949439,49.2364685,461 E 38th Ave,Vancouver,BC,V5W 1H8,(604) 322-9001,Province of British Columbia
131,Vancouver Hospice Society,Hospice,Vancouver Coastal Health,Vancouver Hospice,,-123.1397858,49.2442606,4615 Granville St,Vancouver,BC,V6H 3M1,(604) 737-3339,Province of British Columbia
132,Inclusion Powell River Society,Community Living,Vancouver Coastal Health,Redonda Crescent Residence,,-124.5131271,49.8440055,4728 Redonda Avenue,Powell River,BC,V8A 5C9,604-485-7948,Province of British Columbia
133,posAbilities Association of BC,Community Living,Vancouver Coastal Health,Broadway House,,-123.0656713,49.2421166,4755 Victoria Dr,Vancouver,BC,V5N 4P2,(604) 872-7796,Province of British Columbia
134,Greater Vancouver Community Services Society,Community Living,Vancouver Coastal Health,GVCSS - Williams Road Home,,-123.1724487,49.1413308,4811 Williams Rd,Richmond,BC,V7E 1J7,(604) 275-2489,Province of British Columbia
135,"MPA - Motivation, Power & Achievement Society",Mental Health,Vancouver Coastal Health,Sophia House,,-123.0982494,49.2415748,4824 Sophia St,Vancouver,BC,V5V 3W6,(604) 876-7461,Province of British Columbia
