,idx,facility_name,facility_type,alternative_name,longitude,latitude,street_addr,city,province,postal_code,provider,filename
13,13,Algoma Public Health,AIDS Bureau,,-84.3148410539999,46.532381603,294 Willow Avenue,Sault Ste. Marie,ON,P6B0A9,Province of Ontario,ON_healthcare_facilities.csv
14,14,Alliance for South Asian AIDS Prevention,AIDS Bureau,,-79.3763496829999,43.6627363870001,120 Carlton Street,Toronto,ON,M5A4K3,Province of Ontario,ON_healthcare_facilities.csv
15,15,Animbiigoo Zaagi'igan Anishinaabek (Lake Nipigon Ojibway),AIDS Bureau,,-87.9589397509999,49.6026191120001,204 Main Street,Beardmore,ON,P0T1G0,Province of Ontario,ON_healthcare_facilities.csv
16,16,Asian Community AIDS Services,AIDS Bureau,,-79.398226989,43.6519399840001,260 Spadina Avenue,Toronto,ON,M5T2E4,Province of Ontario,ON_healthcare_facilities.csv
17,17,Association of Iroquois and Allied Indians,AIDS Bureau,,-81.242443313,42.9900088800001,387 Princess Avenue,London,ON,N6B2A7,Province of Ontario,ON_healthcare_facilities.csv
18,18,Bay Centre for Birth Control,AIDS Bureau,,-79.3871246859999,43.6615223860001,76 Grenville Street,Toronto,ON,M5S1B2,Province of Ontario,ON_healthcare_facilities.csv
19,19,Birth Control and Sexual Health Centre,AIDS Bureau,,-79.457479013,43.713928792,960 Lawrence Avenue West,Toronto,ON,M6A3B5,Province of Ontario,ON_healthcare_facilities.csv
20,20,Black Coalition for AIDS Prevention,AIDS Bureau,,-79.377203682,43.6499988850001,20 Victoria Street,Toronto,ON,M5C2N8,Province of Ontario,ON_healthcare_facilities.csv
21,21,Black Creek Community Health Centre,AIDS Bureau,,-79.518806737,43.7589947970001,1 Yorkgate Boulevard,Toronto,ON,M3N2A1,Province of Ontario,ON_healthcare_facilities.csv
22,22,Brant County Health Unit,AIDS Bureau,,-80.274412323,43.1518442550001,194 Terrace Hill Street,Brantford,ON,N3R1G7,Province of Ontario,ON_healthcare_facilities.csv
23,23,Bruce House,AIDS Bureau,,-75.697025438,45.416296054,251 Bank Street,Ottawa,ON,K2P1X3,Province of Ontario,ON_healthcare_facilities.csv
24,24,Canadian AIDS Treatment Information Exchange,AIDS Bureau,,-79.402315589,43.646373983,555 Richmond Street West,Toronto,ON,M5V3B1,Province of Ontario,ON_healthcare_facilities.csv
25,25,Carlington Community and Health Services,AIDS Bureau,,-75.733423447,45.3833267470001,900 Merivale Road,Ottawa,ON,K1Z5Z8,Province of Ontario,ON_healthcare_facilities.csv
26,26,Casey House,AIDS Bureau,,-79.3789136839999,43.668836888,119 Isabella Street,Toronto,ON,M4Y1P2,Province of Ontario,ON_healthcare_facilities.csv
27,27,Centre for Spanish-Speaking Peoples,AIDS Bureau,,-79.3763496829999,43.6627363870001,120 Carlton Street,Toronto,ON,M5A4K3,Province of Ontario,ON_healthcare_facilities.csv
28,28,Centre francophone du Grand Toronto,AIDS Bureau,,-79.402315589,43.646373983,555 Richmond Street West,Toronto,ON,M5V3B1,Province of Ontario,ON_healthcare_facilities.csv
29,29,Centretown Community Health Centre,AIDS Bureau,,-75.697760138,45.415471354,420 Cooper Street,Ottawa,ON,K2P2N6,Province of Ontario,ON_healthcare_facilities.csv
30,30,Chatham-Kent Public Health Unit,AIDS Bureau,,-82.175191451,42.4064661310001,177 King Street East,Chatham-Kent,ON,N7M3N1,Province of Ontario,ON_healthcare_facilities.csv
31,31,"Children's Hospital of Eastern Ontario (CHEO), Division of Infectious Diseases",AIDS Bureau,,-75.6512841209999,45.4009195530001,401 Smyth Road,Ottawa,ON,K1H8L1,Province of Ontario,ON_healthcare_facilities.csv
32,32,Chippewas of Nawash First Nation,AIDS Bureau,,-81.0221979249999,44.9080828210001,135 Lakeshore Boulevard,Wiarton,ON,N0H2T0,Province of Ontario,ON_healthcare_facilities.csv
33,33,"City of Hamilton, Hamilton Public Health, David Braley Science Centre Sexual Health Program",AIDS Bureau,,-79.873524705,43.256944192,100 Main Street West,Hamilton,ON,L8P1H6,Province of Ontario,ON_healthcare_facilities.csv
34,34,"City of Hamilton, Hamilton Public Health, Infectious Diseases Program",AIDS Bureau,,-79.8711221039999,43.257866693,110 King Street West,Hamilton,ON,L8P4S6,Province of Ontario,ON_healthcare_facilities.csv
35,35,"City of Ottawa, Ottawa Public Health",AIDS Bureau,,-75.690095137,45.430523957,179 Clarence Street,Ottawa,ON,K1N5P7,Province of Ontario,ON_healthcare_facilities.csv
36,36,"City of Toronto, Toronto Public Health",AIDS Bureau,,-79.379380383,43.656544286,277 Victoria Street,Toronto,ON,M5B1W2,Province of Ontario,ON_healthcare_facilities.csv
37,37,"Committee for Accessible AIDS Treatment, c/o Regent Park Community Health Centre",AIDS Bureau,,-79.3670335799999,43.662370787,411 Parliament Street,Toronto,ON,M5A3A1,Province of Ontario,ON_healthcare_facilities.csv
38,38,Carea Community Health Centre,AIDS Bureau,,-78.844790431,43.869286048,115 Grassmere Avenue,Oshawa,ON,L1H3X7,Province of Ontario,ON_healthcare_facilities.csv
39,39,Durham Region Health Department Oshawa Sexual Health Clinic,AIDS Bureau,,-78.878957943,43.8894496500001,419 King Street West,Oshawa,ON,L1J2K5,Province of Ontario,ON_healthcare_facilities.csv
40,40,Family Service Toronto,AIDS Bureau,,-79.444735204,43.654148682,Sterling Road,Toronto,ON,M6R2B7,Province of Ontario,ON_healthcare_facilities.csv
41,41,Fife House,AIDS Bureau,,-79.3750863829999,43.667658288,490 Sherbourne Street,Toronto,ON,M4X1K9,Province of Ontario,ON_healthcare_facilities.csv
42,42,Gay Men's Sexual Health Alliance c/o Ontario AIDS Network,AIDS Bureau,,-79.36822568,43.6644110880001,252 Carlton Street,Toronto,ON,M5A2L1,Province of Ontario,ON_healthcare_facilities.csv
43,43,Gilbert Centre for Social and Support Services,AIDS Bureau,,-79.6939130489999,44.3834345970001,80 Bradford Street,Barrie,ON,L4N6S7,Province of Ontario,ON_healthcare_facilities.csv
44,44,Good Shepherd Refuge Social Ministries (Barrett House),AIDS Bureau,,-79.362525778,43.6561596870001,412 Queen Street East,Toronto,ON,M5A1T3,Province of Ontario,ON_healthcare_facilities.csv
45,45,"Group Health Centre, Sault Ste. Marie and District",AIDS Bureau,,-84.316074553,46.522245501,240 McNabb Street,Sault Ste. Marie,ON,P6B1Y5,Province of Ontario,ON_healthcare_facilities.csv
46,46,Halton Region Health Department,AIDS Bureau,,-79.784582885,43.3540526140001,3350 Fairview Street,Burlington,ON,L7N3L5,Province of Ontario,ON_healthcare_facilities.csv
47,47,Hamilton Health Sciences Special Immunology Services Clinic,AIDS Bureau,,-79.854090199,43.2624780940001,237 Barton Street East,Hamilton,ON,L8L2X2,Province of Ontario,ON_healthcare_facilities.csv
48,48,Hassle Free Clinic,AIDS Bureau,,-79.3788056829999,43.6600556860001,66 Gerrard Street East,Toronto,ON,M5B1G3,Province of Ontario,ON_healthcare_facilities.csv
49,49,Hastings & Prince Edward Counties Health Unit,AIDS Bureau,,-77.391696989,44.1867127680001,179 North Park Street,Belleville,ON,K8P4P1,Province of Ontario,ON_healthcare_facilities.csv
50,50,Health Centre at 410 St. Michael's Hospital,AIDS Bureau,,-79.374175182,43.664736088,410 Sherbourne Street,Toronto,ON,M4X1K2,Province of Ontario,ON_healthcare_facilities.csv
51,51,"Health Sciences North, The HAVEN Program",AIDS Bureau,,-81.0082657849999,46.4736402770001,865 Regent Street,Greater Sudbury,ON,P3E3Y9,Province of Ontario,ON_healthcare_facilities.csv
52,52,Hemophilia Ontario,AIDS Bureau,,-79.2356906489999,43.788679716,10 Milner Business Court,Toronto,ON,M1B3C6,Province of Ontario,ON_healthcare_facilities.csv
53,53,HIV & AIDS Legal Clinic Ontario,AIDS Bureau,,-79.383955084,43.6467403840001,55 University Avenue,Toronto,ON,M5J2H7,Province of Ontario,ON_healthcare_facilities.csv
54,54,HIV/AIDS Regional Services,AIDS Bureau,,-76.508930806,44.2398579160001,844 Princess Street,Kingston,ON,K7L1G5,Province of Ontario,ON_healthcare_facilities.csv
55,55,HIV/AIDS Resources and Community Health Clinic (ARCH Clinic),AIDS Bureau,,-80.268985056,43.5499860250001,77 Westmount Road,Guelph,ON,M2M4K5,Province of Ontario,ON_healthcare_facilities.csv
56,56,Hospice Toronto,AIDS Bureau,,-79.395982793,43.7068503940001,55 Eglinton Avenue East,Toronto,ON,M4P1G8,Province of Ontario,ON_healthcare_facilities.csv
57,57,Hotel Dieu Hospital Kingston Hospital Science Centre Infection & Immunology Clinic,AIDS Bureau,,-76.485922898,44.2308647150001,166 Brock Street,Kingston,ON,K7L5G2,Province of Ontario,ON_healthcare_facilities.csv
58,58,John Howard Society of Durham Region,AIDS Bureau,,-78.86684194,43.898428552,75 Richmond Street West,Oshawa,ON,L1G1E3,Province of Ontario,ON_healthcare_facilities.csv
59,59,Kingston Community Health Centres,AIDS Bureau,,-76.492059103,44.26243372,263 Weller Avenue,Kingston,ON,K7K2V4,Province of Ontario,ON_healthcare_facilities.csv
60,60,"Kingston, Frontenac and Lennox & Addington Public Health Unit",AIDS Bureau,,-76.525155511,44.227763313,221 Portsmouth Avenue,Kingston,ON,K7M1V5,Province of Ontario,ON_healthcare_facilities.csv
61,61,"Lakeridge Health, Positive Care Clinic",AIDS Bureau,,-78.943897861,43.8550654410001,300 Gordon Street,Whitby,ON,L1N5T2,Province of Ontario,ON_healthcare_facilities.csv
62,62,LOFT Community Services,AIDS Bureau,,-79.375905181,43.650324385,15 Toronto Street,Toronto,ON,M5C2E3,Province of Ontario,ON_healthcare_facilities.csv
63,63,"London Intercommunity Health Centre, Options Clinic",AIDS Bureau,,-81.2297278089999,42.9890499810001,659 Dundas Street,London,ON,N5W2Z1,Province of Ontario,ON_healthcare_facilities.csv
64,64,Maggie's: Toronto Sex Workers Action Project,AIDS Bureau,,-79.364052678,43.6554704860001,351 Queen Street East,Toronto,ON,M5A1T2,Province of Ontario,ON_healthcare_facilities.csv
65,65,Middlesex-London Health Unit,AIDS Bureau,,-81.254038216,42.9814550780001,50 King Street,London,ON,N6A5L7,Province of Ontario,ON_healthcare_facilities.csv
66,66,"Mount Sinai Hospital, Department of Psychiatry, Clinic for HIV-Related Concerns",AIDS Bureau,,-79.3900881869999,43.657552486,600 University Avenue,Toronto,ON,M5G1X5,Province of Ontario,ON_healthcare_facilities.csv
67,67,Niagara Health System,AIDS Bureau,,-79.278503707,43.1536715010001,1200 Fourth Avenue,St. Catharines,ON,L2S0A9,Province of Ontario,ON_healthcare_facilities.csv
68,68,"Niagara Region Public Health Department, St. Catharines Sexual Health Centre",AIDS Bureau,,-79.232121994,43.169304606,277 Welland Avenue,St. Catharines,ON,L2R2P7,Province of Ontario,ON_healthcare_facilities.csv
69,69,North Bay Parry Sound District Health Unit,AIDS Bureau,,-79.467664565,46.31328863,345 Oak Street West,North Bay,ON,P1B2S7,Province of Ontario,ON_healthcare_facilities.csv
70,70,North Lambton Community Health Centre,AIDS Bureau,,-82.00250066,43.0963356620001,59 King Street West,Lambton Shores,ON,N0N1J0,Province of Ontario,ON_healthcare_facilities.csv
71,71,Northwestern Health Unit,AIDS Bureau,,-94.488231295,49.769548339,210 First Street North,Kenora,ON,P9N2K4,Province of Ontario,ON_healthcare_facilities.csv
72,72,Ontario Aboriginal HIV/AIDS Strategy,AIDS Bureau,,-79.393411692,43.7079869940001,164 Eglinton Avenue East,Toronto,ON,M4P1A6,Province of Ontario,ON_healthcare_facilities.csv
73,73,Ontario AIDS Network,AIDS Bureau,,-79.36822568,43.6644110880001,252 Carlton Street,Toronto,ON,M5A2L1,Province of Ontario,ON_healthcare_facilities.csv
74,74,"Ontario Association of the Deaf, Deaf Outreach Project",AIDS Bureau,,-79.38043019,43.734708099,2395 Bayview Avenue,Toronto,ON,M2L1A2,Province of Ontario,ON_healthcare_facilities.csv
75,75,Ontario Harm Reduction Network (c/o Fife House),AIDS Bureau,,-79.3750863829999,43.667658288,490 Sherbourne Street,Toronto,ON,M4X1K9,Province of Ontario,ON_healthcare_facilities.csv
76,76,Ontario HIV Treatment Network,AIDS Bureau,,-79.39276069,43.6842029900001,1300 Yonge Street,Toronto,ON,M4T1X3,Province of Ontario,ON_healthcare_facilities.csv
77,77,Ontario Organizational Development Program,AIDS Bureau,,-81.248359314,42.983130579,186 King Street,London,ON,N6A1C7,Province of Ontario,ON_healthcare_facilities.csv
78,78,Ottawa Gay Men's Wellness Initiative (Operating as MAX Ottawa),AIDS Bureau,,-75.697357138,45.415745454,400 Cooper Street,Ottawa,ON,K2P2H8,Province of Ontario,ON_healthcare_facilities.csv
79,79,"The Ottawa Hospital, Module G",AIDS Bureau,,-75.6476279199999,45.401233054,501 Smyth Road,Ottawa,ON,K1H8L6,Province of Ontario,ON_healthcare_facilities.csv
80,80,Ottawa Public Health,AIDS Bureau,,-75.690095137,45.430523957,179 Clarence Street,Ottawa,ON,K1N5P7,Province of Ontario,ON_healthcare_facilities.csv
81,81,"Oxford Elgin St. Thomas Public Health, Sexual Health Program",AIDS Bureau,,-81.151236865,42.777842547,1230 Talbot Street,St. Thomas,ON,N5P1G9,Province of Ontario,ON_healthcare_facilities.csv
82,82,MOYO Health and Community Services,AIDS Bureau,,-79.726319894,43.6586067700001,7700 Hurontario Street,Brampton,ON,L6Y4M3,Province of Ontario,ON_healthcare_facilities.csv
83,83,Parkdale Queen West Community Health Centre,AIDS Bureau,,-79.4042305899999,43.646597383,168 Bathurst Street,Toronto,ON,M5V2R4,Province of Ontario,ON_healthcare_facilities.csv
84,84,Peterborough AIDS Resource Network,AIDS Bureau,,-78.3203190999999,44.301808647,159 King Street,Peterborough,ON,K9J2R8,Province of Ontario,ON_healthcare_facilities.csv
85,85,Planned Parenthood of Toronto,AIDS Bureau,,-79.3973703899999,43.669612187,36 Prince Arthur Avenue,Toronto,ON,M5R1A9,Province of Ontario,ON_healthcare_facilities.csv
86,86,Porcupine Health Unit,AIDS Bureau,,-81.3286263259999,48.4725466680001,169 Pine Street South,Timmins,ON,P4N8B7,Province of Ontario,ON_healthcare_facilities.csv
87,87,Positive Living Niagara,AIDS Bureau,,-79.232754394,43.1633663050001,120 Queenston Street,St. Catharines,ON,L2R2Z3,Province of Ontario,ON_healthcare_facilities.csv
88,88,Prisoners with HIV/AIDS Support Action Network,AIDS Bureau,,-79.3645549779999,43.6546728860001,526 Richmond Street East,Toronto,ON,M5A1R3,Province of Ontario,ON_healthcare_facilities.csv
89,89,"Providence St. Joseph's and St. Michael's Healthcare, Department of Family and Community Medicine",AIDS Bureau,,-79.3783245819999,43.6537763850001,30 Bond Street,Toronto,ON,M5B1W8,Province of Ontario,ON_healthcare_facilities.csv
90,90,Regent Park Community Health Centre,AIDS Bureau,,-79.365588879,43.659384887,465 Dundas Street East,Toronto,ON,M5A2B2,Province of Ontario,ON_healthcare_facilities.csv
91,91,"Region of Peel, Peel Public Health - Bramalea Clinic",AIDS Bureau,,-79.719585697,43.718327581,150 Central Park Drive,Brampton,ON,L6T2T9,Province of Ontario,ON_healthcare_facilities.csv
92,92,"Region of Peel, Peel Public Health - Fairview Clinic",AIDS Bureau,,-79.638283759,43.583194561,325 Central Parkway West,Mississauga,ON,L5B3X9,Province of Ontario,ON_healthcare_facilities.csv
93,93,"Region of Peel, Peel Public Health - Malton Clinic",AIDS Bureau,,-79.637413371,43.7182926850001,7205 Goreway Drive,Mississauga,ON,L4T2T9,Province of Ontario,ON_healthcare_facilities.csv
94,94,"Region of Peel, Peel Public Health - Meadowvale Clinic",AIDS Bureau,,-79.758124997,43.5819880550001,6975 Meadowvale Town Centre Circle,Mississauga,ON,L5N2W7,Province of Ontario,ON_healthcare_facilities.csv
95,95,Region of Waterloo Public Health,AIDS Bureau,,-80.520840628,43.4629274980001,99 Regina Street South,Waterloo,ON,N2J4V3,Province of Ontario,ON_healthcare_facilities.csv
96,96,Regional HIV/AIDS Connection,AIDS Bureau,,-81.248359314,42.983130579,186 King Street,London,ON,N6A1C7,Province of Ontario,ON_healthcare_facilities.csv
97,97,Réseau Access Network,AIDS Bureau,,-80.9925041819999,46.491108981,111 Larch Street,Greater Sudbury,ON,P3E4T5,Province of Ontario,ON_healthcare_facilities.csv
98,98,Rexdale Community Health Centre,AIDS Bureau,,-79.57171735,43.719337088,8 Taber Road,Toronto,ON,M9W3A4,Province of Ontario,ON_healthcare_facilities.csv
99,99,"Sandy Hill Community Health Centre, OASIS Program",AIDS Bureau,,-75.6836023339999,45.4293894570001,221 Nelson Street,Ottawa,ON,K1N1C7,Province of Ontario,ON_healthcare_facilities.csv
100,100,Sanguen Health Centre,AIDS Bureau,,-80.521339929,43.4686192990001,29 Young Street East,Waterloo,ON,N2J2L4,Province of Ontario,ON_healthcare_facilities.csv
101,101,"Saugeen First Nation No. 29, Mino Bimaadsawin Health Centre",AIDS Bureau,,-81.344091888,44.5146705380001,57 Mason Drive,Southampton,ON,N0L2L0,Province of Ontario,ON_healthcare_facilities.csv
102,102,Scarborough Centre for Healthy Communities,AIDS Bureau,,-79.287706865,43.783738612,4002 Sheppard Avenue East,Toronto,ON,M1S4R5,Province of Ontario,ON_healthcare_facilities.csv
103,103,Shawanaga First Nation Healing Centre,AIDS Bureau,,-80.149252997,45.4350401520001,19 Shebeshekong Road,Nobel,ON,P0G1G0,Province of Ontario,ON_healthcare_facilities.csv
104,104,Sherbourne Health Centre,AIDS Bureau,,-79.3720207809999,43.6623076870001,333 Sherbourne Street,Toronto,ON,M5A2S5,Province of Ontario,ON_healthcare_facilities.csv
105,105,"Sick Kids Hospital, ID2 Clinic",AIDS Bureau,,-79.3877377859999,43.657104286,555 University Avenue,Toronto,ON,M5G1X8,Province of Ontario,ON_healthcare_facilities.csv
106,106,Simcoe Muskoka District Health Unit,AIDS Bureau,,-79.6939130489999,44.3834345970001,80 Bradford Street,Barrie,ON,L4N6S7,Province of Ontario,ON_healthcare_facilities.csv
107,107,Sioux Lookout First Nations Health Authority,AIDS Bureau,,-91.9174592799999,50.0999101840001,61 Queen Street East,Sioux Lookout,ON,P8T1B8,Province of Ontario,ON_healthcare_facilities.csv
108,108,Six Nations of The Grand River,AIDS Bureau,,-80.116943066,43.0703540480001,1695 Chiefswood Road,Ohsweken,ON,N0A1M0,Province of Ontario,ON_healthcare_facilities.csv
109,109,Somerset West Community Health Centre,AIDS Bureau,,-75.709909341,45.4090382520001,55 Eccles Street,Ottawa,ON,K1R6S3,Province of Ontario,ON_healthcare_facilities.csv
110,110,South Riverdale Community Health Centre,AIDS Bureau,,-79.339122071,43.6610322880001,955 Queen Street East,Toronto,ON,M4M3P3,Province of Ontario,ON_healthcare_facilities.csv
111,111,South-East Ottawa Community Health Centre,AIDS Bureau,,-75.675053828,45.38799185,1355 Bank Street,Ottawa,ON,K1H8K7,Province of Ontario,ON_healthcare_facilities.csv
112,112,"St. Joseph's Health Care London, Infectious Diseases Care Program",AIDS Bureau,,-81.255036318,43.001268382,268 Grosvenor Street,London,ON,N6A4V2,Province of Ontario,ON_healthcare_facilities.csv
113,113,"St. Michael's Hospital, Positive Care Clinic",AIDS Bureau,,-79.3783245819999,43.6537763850001,30 Bond Street,Toronto,ON,M5B1X1,Province of Ontario,ON_healthcare_facilities.csv
114,114,Street Health Centre,AIDS Bureau,,-76.483159798,44.233770516,115 Barrack Street,Kingston,ON,K7K1G2,Province of Ontario,ON_healthcare_facilities.csv
115,115,Neighbourhood Group Community Services,AIDS Bureau,,-79.403564691,43.656326585,91 Bellevue Avenue,Toronto,ON,M5T2N8,Province of Ontario,ON_healthcare_facilities.csv
116,116,Sudbury Action Centre for Youth,AIDS Bureau,,-80.999792185,46.493785481,95 Pine Street,Greater Sudbury,ON,P3C1W9,Province of Ontario,ON_healthcare_facilities.csv
117,117,Sudbury and District Health Unit (operating as Public Health Sudbury & Districts),AIDS Bureau,,-80.997954181,46.4660569770001,1300 Paris Street,Greater Sudbury,ON,P3E3A3,Province of Ontario,ON_healthcare_facilities.csv
118,118,Sudbury and District Health Unit (operating as Public Health Sudbury & Districts),AIDS Bureau,,-80.992218182,46.493789781,10 Elm Street,Greater Sudbury,ON,P3C5N3,Province of Ontario,ON_healthcare_facilities.csv
119,119,"Sunnybrook Health Sciences Centre, Anita Rachlis Clinic",AIDS Bureau,,-79.3728782869999,43.7228542980001,2075 Bayview Avenue,Toronto,ON,M4N3M5,Province of Ontario,ON_healthcare_facilities.csv
120,120,Syme-Woolner Neighbourhood and Family Centre,AIDS Bureau,,-79.468414315,43.6919377880001,2468 Eglinton Avenue West,Toronto,ON,M6M5E2,Province of Ontario,ON_healthcare_facilities.csv
121,121,Teresa Group Child and Family Aid,AIDS Bureau,,-79.3925094909999,43.697182292,124 Merton Street,Toronto,ON,M4S2Z2,Province of Ontario,ON_healthcare_facilities.csv
122,122,The AIDS Network,AIDS Bureau,,-79.864987802,43.255115592,140 King Street East,Hamilton,ON,L8N1B2,Province of Ontario,ON_healthcare_facilities.csv
123,123,The Ottawa Hospital Department of Medicine Division of Infectious Diseases,AIDS Bureau,,-75.6476279199999,45.401233054,501 Smyth Road,Ottawa,ON,K1H8L6,Province of Ontario,ON_healthcare_facilities.csv
124,124,Thunder Bay District Health Unit,AIDS Bureau,,-89.258857866,48.4005803580001,999 Balmoral Street,Thunder Bay,ON,P7B6E7,Province of Ontario,ON_healthcare_facilities.csv
125,125,Michael Garron Hospital Immunodeficiency Clinic,AIDS Bureau,,-79.3248615689999,43.6898798940001,825 Coxwell Avenue East,Toronto,ON,M4C3E7,Province of Ontario,ON_healthcare_facilities.csv
126,126,Toronto General Hospital Immunodeficiency Clinic,AIDS Bureau,,-79.3890020859999,43.6582129860001,585 University Avenue,Toronto,ON,M5G2N2,Province of Ontario,ON_healthcare_facilities.csv
127,127,Toronto People With AIDS Foundation,AIDS Bureau,,-79.371769281,43.6614407870001,200 Gerrard Street East,Toronto,ON,M5A2E6,Province of Ontario,ON_healthcare_facilities.csv
128,128,"Toronto Public Health, Crossways Sexual Health Clinic",AIDS Bureau,,-79.4522111059999,43.656925383,2340 Dundas Street West,Toronto,ON,M6P4A9,Province of Ontario,ON_healthcare_facilities.csv
129,129,"Toronto Public Health, Scarborough Sexual Health Clinic",AIDS Bureau,,-79.2575822539999,43.7728964120001,160 Borough Drive,Toronto,ON,M1P4N8,Province of Ontario,ON_healthcare_facilities.csv
130,130,"Toronto Public Health, The Works",AIDS Bureau,,-79.379380383,43.656544286,277 Victoria Street,Toronto,ON,M5B1W2,Province of Ontario,ON_healthcare_facilities.csv
131,131,Union of Ontario Indians,AIDS Bureau,,-79.562001499,46.3379841300001,1 Migizii Miikan,North Bay,ON,P1B8J8,Province of Ontario,ON_healthcare_facilities.csv
132,132,Unison Health and Community Services,AIDS Bureau,,-79.4449441089999,43.7195344940001,12 Flemington Road,Toronto,ON,M6A2N4,Province of Ontario,ON_healthcare_facilities.csv
133,133,"University Health Network, Toronto General Hospital",AIDS Bureau,,-79.3883722859999,43.6586745860001,200 Elizabeth Street,Toronto,ON,M5G2C4,Province of Ontario,ON_healthcare_facilities.csv
134,134,"University of Ottawa Health Services, HIV Clinic",AIDS Bureau,,-75.680394333,45.4217354560001,100 Marie-Curie Private,Ottawa,ON,K1N6N5,Province of Ontario,ON_healthcare_facilities.csv
135,135,"Walpole Island First Nation, Bkejwanong Territory",AIDS Bureau,,-82.4934225659999,42.5920535490001,117 Tahgahoning Road,Wallaceburg,ON,N8A4K9,Province of Ontario,ON_healthcare_facilities.csv
136,136,Warden Woods Community Centre,AIDS Bureau,,-79.278126755,43.7039609990001,74 Firvalley Court,Toronto,ON,M1L1N9,Province of Ontario,ON_healthcare_facilities.csv
137,137,Wayside House of Hamilton,AIDS Bureau,,-79.873043404,43.2498311910001,15 Charlton Avenue West,Hamilton,ON,L8P2B8,Province of Ontario,ON_healthcare_facilities.csv
138,138,"WellFort Community Health Services, Bloom Clinic",AIDS Bureau,,-79.712076795,43.728077483,40 Finchgate Boulevard,Brampton,ON,L6T3J1,Province of Ontario,ON_healthcare_facilities.csv
139,139,"Wellington-Dufferin-Guelph Health Unit, Sexual Health Clinic",AIDS Bureau,,-80.233746943,43.5248898230001,160 Chancellors Way,Guelph,ON,N1G0E1,Province of Ontario,ON_healthcare_facilities.csv
140,140,"Windsor Regional Hospital, Tecumseh Byng Clinic, HIV Care Program",AIDS Bureau,,-83.0024599979999,42.313775574,1275 Walker Road,Windsor,ON,N8Y4X9,Province of Ontario,ON_healthcare_facilities.csv
141,141,Windsor-Essex Community Health Centre,AIDS Bureau,,-83.030058105,42.302826871,1361 Ouellette Avenue,Windsor,ON,N8X1J6,Province of Ontario,ON_healthcare_facilities.csv
142,142,Women's Health in Women's Hands,AIDS Bureau,,-79.3828448849999,43.6616867870001,2 Carlton Street,Toronto,ON,M5B1J3,Province of Ontario,ON_healthcare_facilities.csv
143,143,York Region Public Health Services Sexual Health Clinic,AIDS Bureau,,-79.4545263429999,44.0598170530001,22 Prospect Street,Newmarket,ON,L3Y3S9,Province of Ontario,ON_healthcare_facilities.csv
144,144,Centre Francophone de Toronto,Community Health Centre,,-79.384306985,43.6614536860001,22 College Street,Toronto,ON,M5G1K2,Province of Ontario,ON_healthcare_facilities.csv
