,idx,facility_name,facility_type,longitude,latitude,street_addr,city,province,provider,filename
48,48,Résidence de Buckingham s.e.n.c.,"Résidence pour personnes âgées(Type ""Familiale"")",-75.404762,45.589419,512 Rue Brewer,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
49,49,Résidence Michel L'Écuyer,"Résidence pour personnes âgées(Type ""Familiale"")",-75.501743,45.520997,1515 Chemin de Montréal Ouest,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
50,50,Village Riviera,Résidence pour personnes âgées,-75.736445,45.483825,2199 Rue Saint-Louis,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
51,51,Château Symmes,Résidence pour personnes âgées,-75.840386,45.401069,255 Rue North,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
52,52,Résidence Chartwell Le Monastère d'Aylmer,Résidence pour personnes âgées,-75.839728,45.396393,161 Rue Principale,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
53,53,Résidence Notre Chez-nous,"Résidence pour personnes âgées(Type ""Familiale"")",-75.404079,45.58494,238 Rue Church,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
54,54,C.L.S.C de Gatineau (Maison Bruyère),C.L.S.C.,-75.848816,45.397201,57 Rue du Couvent,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
55,55,C.L.S.C de Gatineau (de la Gappe),C.L.S.C.,-75.685875,45.483226,777 Boulevard de la Gappe,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
56,56,Centre d'hébergement Champlain-Gatineau,C.H.S.L.D.,-75.637554,45.500623,510 Boulevard La Vérendrye Est,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
57,57,Hôpital de Gatineau,Centre hospitalier,-75.691095,45.493261,909 Boulevard La Vérendrye Ouest,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
58,58,C.H.S.L.D. Vigi,C.H.S.L.D.,-75.692094,45.49458,565 Boulevard de l'Hôpital,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
59,59,Pavillon du Parc (Gatineau),Autres services médicaux et de santé,-75.688211,45.495559,592B boulevard de l'Hopital,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
60,60,Maison de Naissance de L'Outaouais,Autres services médicaux et de santé,-75.648568,45.482887,175 Rue Jean-René-Monette,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
61,61,Hôpital de Papineau,Centre hospitalier,-75.412008,45.588533,155 Rue Maclaren Est,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
62,62,Domaine Boisé,Résidence pour personnes âgées,-75.64059,45.486968,265 Boulevard Labrosse,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
63,63,Pavillon du Parc (siège social),Autres services médicaux et de santé,-75.731661,45.436288,124 Rue Lois,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
64,64,Pavillon du Parc (Buckingham),Autres services médicaux et de santé,-75.414059,45.583645,610 Avenue de Buckingham,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
65,65,Maison Bruyère,Résidence pour personnes âgées,-75.848821,45.397192,57 Rue du Couvent,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
66,66,Résidence Beaufort,Résidence pour personnes âgées,-75.418972,45.549896,85 Rue Joseph-Gosselin,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
67,67,Résidence de la Gappe Phase 4,Résidence pour personnes âgées,-75.698161,45.479719,495 Boulevard de la Gappe,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
68,68,Résidence La Famille II,Résidence pour personnes âgées,-75.575008,45.509557,106 Rue des Frères-Vachon,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
69,69,Résidence L'Essence-ciel,Résidence pour personnes âgées,-75.410407,45.547421,116 Rue Dugal,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
70,70,Résidences Wilfrid-Lavigne 2,"Résidence pour personnes âgées(Type ""Familiale"")",-75.838873,45.398384,437 Boulevard Wilfrid-Lavigne,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
71,71,Résidence de la Gappe Phase 3,Résidence pour personnes âgées,-75.698413,45.480197,485 Boulevard de la Gappe,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
72,72,Résidence La Famille,Résidence pour personnes âgées,-75.43448,45.543628,365 Rue Jean-Baptiste-Routhier,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
73,73,Maison Louis-Joseph,Résidence pour personnes âgées,-75.744768,45.448687,22 Rue Isabelle,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
74,74,Manoir Le Buckingham Inc.,Résidence pour personnes âgées,-75.422899,45.58129,625 Rue Georges,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
75,75,Résidence St-Amour,"Résidence pour personnes âgées(Type ""Familiale"")",-75.574145,45.508598,77 Rue des Frères-Vachon,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
76,76,Les Conifères,Résidence pour personnes âgées,-75.639216,45.478805,105 Rue des Conifères,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
77,77,Résidence Blanchard,Résidence pour personnes âgées,-75.674941,45.476189,230 Rue de Fontenelle,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
78,78,Résidence Maison des sages,Résidence pour personnes âgées,-75.436766,45.543577,308 Rue Jean-Baptiste-Routhier,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
79,79,Le District,Résidence pour personnes âgées,-75.802384,45.387904,50 Impasse Lady-Colborne,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
80,80,Résidence l'Initial,Résidence pour personnes âgées,-75.837761,45.397008,300 Boulevard Wilfrid-Lavigne,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
81,81,Résidence Rokia,Résidence pour personnes âgées,-75.67494,45.477254,72 Rue de Galifet,Gatineau,QC,Gatineau,QC_Gatineau_public_places_including_hospitals.csv
