,idx,facility_name,facility_type,active,longitude,latitude,street_addr,city,province,postal_code,phone,provider,filename
11,11,Georgian Bay General Hospital - Midland Site,hospital,Existing,-79.91118584623256,44.74235960894646,1112 St Andrews Drive,Simcoe,ON,L4R 4P4,705-526-1300,York Region,ON_York_hospital.csv
12,12,Markham-Stouffville Hospital,hospital,Existing,-79.23222153375512,43.88363386673732,381 Church Street,York,ON,L3P 7P3,905-472-7000,York Region,ON_York_hospital.csv
13,13,Trillium Health Centre - Mississauga,hospital,Existing,-79.60768958999711,43.57291935617845,100 Queensway West,Peel,ON,L5B 1B8,905-848-7100,York Region,ON_York_hospital.csv
14,14,Scarborough Health Network - Birchmount Campus,hospital,Existing,-79.30788132908087,43.80074399477373,3030 Birchmount Road,Toronto,ON,M1W 3W3,416-495-2400,York Region,ON_York_hospital.csv
15,15,Lakeridge Health - Bowmanville Hospital,hospital,Existing,-78.6790979027018,43.90904544225243,47 Liberty Street South,Durham,ON,L1C 2N4,905-623-3331,York Region,ON_York_hospital.csv
16,16,The Royal Victoria Regional Health Centre,hospital,Existing,-79.68116625298399,44.40030169069522,201 Georgian Drive,Simcoe,ON,L4M 6M2,705-728-9802,York Region,ON_York_hospital.csv
17,17,The Collingwood General and Marine Hospital,hospital,Existing,-80.20161980315027,44.49841839335398,459 Hume Street,Simcoe,ON,L9Y 1W9,705-445-2550,York Region,ON_York_hospital.csv
18,18,Southlake Regional Health Centre,hospital,Existing,-79.45162045115727,44.06045067212513,596 Davis Drive,York,ON,L3Y 2P9,905-895-4521,York Region,ON_York_hospital.csv
19,19,Toronto General Hospital,hospital,Existing,-79.38733276891291,43.65924820118482,200 Elizabeth Street,Toronto,ON,M5G 2C4,416-340-3111,York Region,ON_York_hospital.csv
20,20,Toronto Western Hospital,hospital,Existing,-79.40644184682873,43.65410833904173,399 Bathurst Street,Toronto,ON,M5T 2S8,416-603-2581,York Region,ON_York_hospital.csv
21,21,St. Joseph's Health Centre,hospital,Existing,-79.44986781895724,43.6393019856698,30 The Queensway,Toronto,ON,M6R 1B5,416-530-6000,York Region,ON_York_hospital.csv
22,22,Lakeridge Health - Ajax Pickering Hospital,hospital,Existing,-79.01590250850707,43.8364881765121,580 Harwood Avenue South,Durham,ON,L1S 2J4,905-683-2320,York Region,ON_York_hospital.csv
23,23,Trillium Health Centre - Credit Valley Hospital,hospital,Existing,-79.70357386634207,43.56058081381472,2200 Eglinton Avenue West,Peel,ON,L5M 2N1,905-813-2200,York Region,ON_York_hospital.csv
24,24,William Osler Health Centre - Etobicoke,hospital,Existing,-79.60108318992383,43.73030161406817,101 Humber College Boulevard,Toronto,ON,M9V 1R8,416-747-3400,York Region,ON_York_hospital.csv
25,25,North York General Hospital - Branson Division,hospital,Existing,-79.45046109581095,43.77210002881542,555 Finch Avenue West,Toronto,ON,M2R 1N5,416-633-9420,York Region,ON_York_hospital.csv
26,26,Michael Garron Hospital,hospital,Existing,-79.32569067290338,43.68973391121214,825 Coxwell Avenue,Toronto,ON,M4C 3E7,416-461-8272,York Region,ON_York_hospital.csv
27,27,The Stevenson Memorial Hospital,hospital,Existing,-79.87645232207016,44.15588626883302,200 Fletcher Crescent,Simcoe,ON,L9R 1W7,705-435-6281,York Region,ON_York_hospital.csv
28,28,William Osler Health Centre - Brampton,hospital,Existing,-79.74428900835409,43.74531538182809,2100 Bovaird Drive East,Peel,ON,L6R 3J7,905-494-2120,York Region,ON_York_hospital.csv
29,29,Reactivation Care Centre (RCC) Church Site,hospital,Existing,-79.50991864313565,43.708826049232,200 Church Street,Toronto,ON,M9N 1N8,416-249-8111,York Region,ON_York_hospital.csv
30,30,Mount Sinai Hospital,hospital,Existing,-79.39012612208857,43.65767661017819,600 University Avenue,Toronto,ON,M5G 1X5,416-596-4200,York Region,ON_York_hospital.csv
31,31,Lakeridge Health - Oshawa Hospital,hospital,Existing,-78.86803175367665,43.90577950812821,1 Hospital Court,Durham,ON,L1G 2B9,905-576-8711,York Region,ON_York_hospital.csv
32,32,Joseph Brant Hospital,hospital,Existing,-79.80271129143667,43.31713099412629,1230 North Shore Boulevard,Halton,ON,L7S 1W7,905-632-3737,York Region,ON_York_hospital.csv
33,33,Halton Healthcare Services Corp- Oakville,hospital,Existing,-79.6749105195447,43.45381296270348,327 Reynolds Street,Halton,ON,L6J 3L7,905-845-2571,York Region,ON_York_hospital.csv
34,34,Halton Healthcare Services Corp - Milton,hospital,Existing,-79.87000247766726,43.4965902496157,7030 Derry Road East,Halton,ON,L9T 7H6,905-878-2383,York Region,ON_York_hospital.csv
35,35,Halton Healthcare Services Corp - Georgetown,hospital,Existing,-79.93478366050907,43.64419958425699,1 Princess Anne Drive,Halton,ON,L7G 2B8,905-873-0111,York Region,ON_York_hospital.csv
36,36,Trillium Health Centre - Queensway Health Centre,hospital,Existing,-79.56037020657904,43.60861744333378,150 Sherway Drive,Toronto,ON,M9C 1A5,416-259-6671,York Region,ON_York_hospital.csv
37,37,Sunnybrook-Holland Orthopaedic & Arthritic Centre,hospital,Existing,-79.38198205440462,43.66523508120611,43 Wellesley Street East,Toronto,ON,M4Y 1H1,416-967-8500,York Region,ON_York_hospital.csv
38,38,Humber River Hospital - Wilson Site,hospital,Existing,-79.48876955969362,43.72428753165615,1235 Wilson,Toronto,ON,M3M 0B2,416-242-1000,York Region,ON_York_hospital.csv
39,39,Casey House Hospice,hospital,Existing,-79.37840922418272,43.66894356561335,9 Huntley Street,Toronto,ON,M4Y 2K8,416-962-7600,York Region,ON_York_hospital.csv
40,40,Lakeridge Health - Whitby Hospital,hospital,Existing,-78.94443435478483,43.85624022322239,300 Gordon Street,Durham,ON,L1N 2T5,905-668-6831,York Region,ON_York_hospital.csv
41,41,Reactivation Care Centre (RCC) Finch Site,hospital,Existing,-79.5261274476475,43.75437585843874,2111 Finch Avenue West,Toronto,ON,M3N 1N1,416-744-2500,York Region,ON_York_hospital.csv
42,42,Cortellucci Vaughan Hospital,hospital,Existing,-79.53986667689566,43.85009900954515,3100 Major MacKenzie Drive West,York,ON,L6A 1S1,905-883-1212,York Region,ON_York_hospital.csv
