,idx,facility_name,facility_type,number_beds,longitude,latitude,street_no,street_name,city,province,phone,provider,filename
40,40,SHAR'S CARE,Special Care Home,15,-64.78650306599997,46.08749550500005,53,WELDON,Moncton,NB,(506) 858-9948,Moncton,NB_Moncton_senior_care_facilities.csv
41,41,SHAR'S CARE II,Special Care Home,12,-64.77701769999999,46.09087424900008,72,BOTSFORD,Moncton,NB,(506) 858-9948,Moncton,NB_Moncton_senior_care_facilities.csv
42,42,The Kenneth E. Spencer Nursing Home Inc.,Licensed Nursing Homes,200,-64.85819096699998,46.06020341000004,35,ATLANTIC BAPTIST,Moncton,NB,(506) 858-7870,Moncton,NB_Moncton_senior_care_facilities.csv
43,43,Shannex RLC Ltd. - Monarch Hall,Licensed Nursing Homes,72,-64.82836552099997,46.05539157300007,826,COVERDALE,Moncton,NB,(506) 387-7770,Moncton,NB_Moncton_senior_care_facilities.csv
44,44,The Salvation Army Lakeview Manor,Licensed Nursing Homes,50,-64.81085469099997,46.06477331800005,50,SUFFOLK,Moncton,NB,(506) 387-2012,Moncton,NB_Moncton_senior_care_facilities.csv
45,45,Villa du Repos Inc,Licensed Nursing Homes,186,-64.77590636799994,46.11856061100008,125,MURPHY,Moncton,NB,(506) 857-3560,Moncton,NB_Moncton_senior_care_facilities.csv
46,46,Villa Heritage Inc,Senior Complex,0,-64.77448234899998,46.11888189100006,500,ELMWOOD,Moncton,NB,(506) 856-9705,Moncton,NB_Moncton_senior_care_facilities.csv
47,47,MCNAIR MANOR - 11 BEECHWOOD,Special Care Home,22,-64.78205565399998,46.11507281700005,11,BEECHWOOD,Moncton,NB,(506) 851-5852,Moncton,NB_Moncton_senior_care_facilities.csv
48,48,MCNAIR MANOR- 44 BEECHWOOD,Special Care Home,18,-64.78132954799997,46.11596181900006,44,BEECHWOOD,Moncton,NB,(506) 851-5852,Moncton,NB_Moncton_senior_care_facilities.csv
49,49,MCNAIR MANOR - RIVERVIEW,Special Care Home,18,-64.82040326199996,46.04828178500003,137,WHITEPINE,Moncton,NB,(506) 851-5852,Moncton,NB_Moncton_senior_care_facilities.csv
50,50,SERENACARE INC,Specialized Care Bed Homes,13,-64.85574954699996,46.12441352600007,4,BRIARLEA,Moncton,NB,(506) 389-3205,Moncton,NB_Moncton_senior_care_facilities.csv
51,51,SERENACARE BY SERENE LIVING INC,Specialized Care Bed Homes,18,-64.85312294499994,46.10598883000006,15,LADY RUSSELL,Moncton,NB,(506) 204-9155,Moncton,NB_Moncton_senior_care_facilities.csv
52,52,HILLSIDE VIEW SPECIAL CARE HOME INC,Specialized Care Bed Homes,13,-64.87972697499998,46.14658772100006,560,FRONT MOUNTAIN,Moncton,NB,(506) 388-3018,Moncton,NB_Moncton_senior_care_facilities.csv
53,53,PROTEM HEALTH SERVICES INC. - 77 GORGE ROAD,Specialized Care Bed Homes,10,-64.85563123099996,46.12532211000007,77,GORGE,Moncton,NB,(506) 854-3700,Moncton,NB_Moncton_senior_care_facilities.csv
54,54,PROTEM HEALTH SERVICES INC. - 61 GORGE ROAD,Specialized Care Bed Homes,10,-64.85513777199998,46.12487691900003,61,GORGE,Moncton,NB,(506) 854-3700,Moncton,NB_Moncton_senior_care_facilities.csv
55,55,PROTEM HEALTH SERVICES INC. - 71 GORGE ROAD,Specialized Care Bed Homes,10,-64.85543184799997,46.12511924500006,71,GORGE,Moncton,NB,(506) 854-3700,Moncton,NB_Moncton_senior_care_facilities.csv
56,56,PROTEM HEALTH SERVICES INC. - 2069 MOUNTAIN ROAD,Special Care Home,10,-64.85822975299993,46.12457816900007,2069,MOUNTAIN,Moncton,NB,(506) 854-3700,Moncton,NB_Moncton_senior_care_facilities.csv
57,57,PROTEM HEALTH SERVICES INC. - 2166 MOUNTAIN ROAD,Special Care Home,10,-64.86290074399994,46.12524534500005,2166,MOUNTAIN,Moncton,NB,(506) 854-3700,Moncton,NB_Moncton_senior_care_facilities.csv
58,58,RESIDENCE BEAUX SOUVENIRS LTEE,Special Care Home,19,-64.73212214399996,46.08236276300005,393,AMIRAULT,Moncton,NB,(506) 204-8200,Moncton,NB_Moncton_senior_care_facilities.csv
59,59,RESIDENCE MONCTON - AILE VICTORIA I,Specialized Care Bed Homes,18,-64.79636214599998,46.09154358200004,240,JOHN,Moncton,NB,(506) 389-0100,Moncton,NB_Moncton_senior_care_facilities.csv
60,60,RESIDENCE MONCTON RESIDENCE II,Special Care Home,60,-64.79772535899997,46.09150206300006,270,JOHN,Moncton,NB,(506) 389-0100,Moncton,NB_Moncton_senior_care_facilities.csv
61,61,THE BRIARLEA II,Special Care Home,12,-64.85873475499994,46.12604266100004,75,BRIARLEA,Moncton,NB,(506) 857-8866,Moncton,NB_Moncton_senior_care_facilities.csv
62,62,Faubourg du Mascaret,Senior Complex,64,-64.78488550899993,46.11138032500003,171,MORTON,Moncton,NB,384-7275,Moncton,NB_Moncton_senior_care_facilities.csv
63,63,Shannex RLC Ltd. - Pavillon Richard,Licensed Nursing Home,64,-64.78576974399994,46.11207068800007,189,MORTON,Moncton,NB,(506) 854-2381,Moncton,NB_Moncton_senior_care_facilities.csv
64,64,THE BRIARLEA 4,Specialized Care Bed Homes,6,-64.86098044099998,46.10416388900006,599,RYAN,Moncton,NB,(506) 204-3139,Moncton,NB_Moncton_senior_care_facilities.csv
65,65,THE BRIARLEA 5,Specialized Care Bed Homes,18,-64.86098044099998,46.10416388900006,599,RYAN,Moncton,NB,(506) 204-3139,Moncton,NB_Moncton_senior_care_facilities.csv
66,66,THE BRIARLEA 3,Special Care Home,10,-64.86098044099998,46.10416388900006,599,RYAN,Moncton,NB,(506) 204-3139,Moncton,NB_Moncton_senior_care_facilities.csv
67,67,RESIDENCE MONCTON - AILE VICTORIA II,Specialized Care Bed Homes,18,-64.79623484399997,46.09156304800007,240,JOHN,Moncton,NB,(506) 389-0100,Moncton,NB_Moncton_senior_care_facilities.csv
