idx,facility_name,facility_type,longitude,latitude,street_addr,city,province,provider
23,Valley Regional Hospital,Regional,-64.500889798259,45.08266472523682,150 Exhibition Street,Kentville,NS,Province of Nova Scotia
24,North Cumberland Memorial Hospital,Community,-63.658904768367535,45.85615154386532,260 Gulf Shore Road,Pugwash,NS,Province of Nova Scotia
25,Cumberland Regional Health Care Centre,Regional,-64.19769949378933,45.803440001139904,19428 Highway 2,Upper Nappan,NS,Province of Nova Scotia
26,Cobequid Community Health Centre,Community Health Centre,-63.6586009337315,44.756916674813866,40 Freer Lane,Sackville,NS,Province of Nova Scotia
27,Integrated Chronic Care Service,Environmental Health,-63.60599522342205,44.81001215566181,3064 Highway 2,Fall River,NS,Province of Nova Scotia
28,Fishermen's Memorial Hospital,Community,-64.32695243762808,44.3822758294343,14 High Street,Lunenburg,NS,Province of Nova Scotia
29,South Shore Regional Hospital,Regional,-64.51077334456812,44.38313653214071,90 Glen Allan Drive,Bridgewater,NS,Province of Nova Scotia
30,South Cumberland Community Care Centre,Community,-64.32593916226105,45.409087171378324,50 Jenks Avenue,Parrsboro,NS,Province of Nova Scotia
31,Lillian Fraser Memorial Hospital,Community,-63.29635970402658,45.71153621241759,110 Blair Avenue,Tatamagouche,NS,Province of Nova Scotia
32,Twin Oaks Memorial Hospital,Community,-63.158333445666635,44.78303534971087,7704 Highway 7,Musquodoboit Harbour,NS,Province of Nova Scotia
33,Bayview Memorial Health Centre,Community Health Centre,-64.79483503032003,45.34621190232823,3375 Highway 209,Advocate Harbour,NS,Province of Nova Scotia
34,All Saints Springhill Hospital,Community,-64.05159762320923,45.650499307025406,10 Princess Street,Springhill,NS,Province of Nova Scotia
35,Digby General Hospital,Community,-65.76166737432966,44.616533787903755,75 Warwick Street,Digby,NS,Province of Nova Scotia
36,IWK Health Centre,Tertiary,-63.582908847707046,44.63765107239818,5850/5980 University Avenue,Halifax,NS,Province of Nova Scotia
37,East Coast Forensic Hospital,Rehabilitation,-63.59190651331347,44.721318006872465,88 Gloria McCluskey Avenue,Dartmouth,NS,Province of Nova Scotia
38,QEII - Victoria General (VG) Site,Tertiary,-63.580402405169465,44.63840489234355,1278 South Park Street,Halifax,NS,Province of Nova Scotia
39,The Nova Scotia Hospital,Tertiary,-63.54888485020512,44.652052389368194,300 Pleasant Street,Dartmouth,NS,Province of Nova Scotia
40,Eastern Shore Memorial Hospital,Community,-62.53286404867581,44.920663210921994,22637 Highway 7,Sheet Harbour,NS,Province of Nova Scotia
41,Musquodoboit Valley Memorial Hospital,Community,-63.14037764272095,45.04028911493914,492 Archibald Brook Road,Middle Musquodoboit,NS,Province of Nova Scotia
42,QEII - Halifax Infirmary Site,Tertiary,-63.58709674369862,44.64541455900125,1796 Summer Street,Halifax,NS,Province of Nova Scotia
43,Nova Scotia Rehabilitation Centre,Rehabilitation,-63.58183283938107,44.63970342623116,1341 Summer Street,Halifax,NS,Province of Nova Scotia
44,Dartmouth General Hospital,Regional,-63.547621423330824,44.653987611022856,325 Pleasant Street,Dartmouth,NS,Province of Nova Scotia
45,Kings Regional Health & Regional Rehabilitation Centre,Rehabilitation,-64.666451591963,45.05736471404286,1349 County Home Road,Cambridge,NS,Province of Nova Scotia
46,Colchester East Hants Health Centre,Regional,-63.303384805904166,45.34952312863823,600 Abenaki Road,Truro,NS,Province of Nova Scotia
47,St. Anne's Community and Nursing,Out Patient/ Nursing Home,-61.03191108211205,45.51104210652296,2313 Highway 206,Arichat,NS,Province of Nova Scotia
