,idx,facility_name,facility_type,street_addr,province,provider,filename
19,19,1906293 ONTARIO INC. o/a MABUHAY RESIDENTIAL CARE FACILITY,Residential Care Facility (11 or more ),325 WENTWORTH ST N HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
20,20,2094509 ONTARIO INC. O/A MAXWELL'S SECOND LEVEL LODGING HOME,Residential Care Facility (11 or more ),274 BAY ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
21,21,2178949 ONTARIO INC O/A ABERDEEN GARDENS,Residential Care Facility (11 or more ),330 DUNDURN ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
22,22,2244786 ONTARIO INC. O/A ORCHARD TERRACE CARE CENTRE FACILITY INC,Residential Care Facility (11 or more ),199 GLOVER RD STONEY CREEK ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
23,23,2430866 ONTARIO INC o/a TARA RETIREMENT HOME INC.,Residential Care Facility (4-10 Res.),843 MOHAWK RD E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
24,24,2556936 ONTARIO INC. o/a SUNNYSIDE LODGE,Residential Care Facility (4-10 Res.),11 LAKE AVENUE DR STONEY CREEK ON L8G 1X5,ON,Hamilton,ON_Hamilton_residential_care_.csv
25,25,346 - 348 QUEENSTON ROAD HAMILTON HOLDINGS INC. O/A QUEENSTON RETIREMENT HOME,Residential Care Facility (11 or more ),346 QUEENSTON RD HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
26,26,AMICA AT STONEY CREEK,Residential Care Facility (11 or more ),135 KING ST E STONEY CREEK ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
27,27,AMICA DUNDAS INC.,Residential Care Facility (11 or more ),50 HATT ST DUNDAS ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
28,28,ANCHOR ASSOCIATION,Residential Care Facility (4-10 Res.),42 SPADARA DR HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
29,29,BARTON RETIREMENT INC. O/A THE WELLINGTON,Residential Care Facility (11 or more ),1430 UPPER WELLINGTON ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
30,30,BERTRAM PLACE RETIREMENT LIVING CENTRE INC.,Residential Care Facility (11 or more ),21 HATT ST DUNDAS ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
31,31,BLACKADAR RETIREMENT RESIDENCE,Residential Care Facility (11 or more ),99 CREIGHTON RD DUNDAS ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
32,32,BROCK LODGE,Residential Care Facility (4-10 Res.),949 KING ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
33,33,C. MORE'S VILLA INC.,Residential Care Facility (11 or more ),60 WEST AVE S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
34,34,CARRINGTON PLACE FACILITY INC. O/A CARRINGTON PLACE RETIREMENT,Residential Care Facility (11 or more ),75 DUNHAM DR ANCASTER ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
35,35,CHARTWELL GEORGIAN RETIREMENT RESIDENCE,Residential Care Facility (11 or more ),255 GOVERNORS RD DUNDAS ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
36,36,CHARTWELL MASTER CARE LP,Residential Care Facility (11 or more ),460 RYMAL RD W HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
37,37,CITY HOUSING HAMILTON CORPORATION O/A FIRST PLACE,Residential Care Facility (11 or more ),350 KING ST E HAMILTON ON L8N 1C2,ON,Hamilton,ON_Hamilton_residential_care_.csv
38,38,CLS ON MAIN RETIREMENT HOME LIMITED,Residential Care Facility (4-10 Res.),12 LOTUS AVE HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
39,39,COMMUNITY RESIDENTIAL CARE HOMES INC.,Residential Care Facility (11 or more ),153 GEORGE ST HAMILTON ON L8P 1E4,ON,Hamilton,ON_Hamilton_residential_care_.csv
40,40,CONNECT HAMILTON,Residential Care Facility (11 or more ),8 COLUMBUS GATE STONEY CREEK,ON,Hamilton,ON_Hamilton_residential_care_.csv
41,41,DELTACORP DEVELOPMENTS INC. O/A THE MEADOWLANDS,Residential Care Facility (11 or more ),1248 MOHAWK RD ANCASTER ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
42,42,DENHOLME MANOR,Residential Care Facility (11 or more ),144 ROBINSON ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
43,43,DROMORE SENIOR SERVICES,Residential Care Facility (4-10 Res.),408 ROCK CHAPEL RD FLAMBOROUGH ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
44,44,DUNDAS RETIREMENT PLACE INC.,Residential Care Facility (11 or more ),33 MAIN ST DUNDAS ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
45,45,EAST AVENUE PLACE,Residential Care Facility (11 or more ),65 EAST AVE S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
46,46,ELM VILLA RETIREMENT HOMES INC,Residential Care Facility (11 or more ),12 MELVILLE ST DUNDAS ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
47,47,FAITH CARE VILLA,Residential Care Facility (4-10 Res.),2129 KING ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
48,48,GAGE PARK LODGE,Residential Care Facility (4-10 Res.),995 MAIN ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
49,49,GOVERNOR'S MANOR,Residential Care Facility (11 or more ),37 OGILVIE ST DUNDAS ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
50,50,GRADATIM RETIREMENT HOME,Residential Care Facility (11 or more ),145 MARKET ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
51,51,HERITAGE GREEN RETIREMENT CENTRE (SEVENTH DAY ADVENTIST CHURCH),Residential Care Facility (11 or more ),351 ISAAC BROCK DR STONEY CREEK ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
52,52,HIGHGATE RESIDENCE INC,Residential Care Facility (11 or more ),325 FIDDLERS GREEN RD ANCASTER ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
53,53,INDWELL COMMUNITY HOMES,Residential Care Facility (11 or more ),118 WENTWORTH ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
54,54,JOHNJULES MANAGEMENT LTD.,Residential Care Facility (4-10 Res.),94 WELLINGTON ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
55,55,KINGSBERRY PLACE LTD.,Residential Care Facility (11 or more ),1221 LIMERIDGE RD E HAMILTON ON L8W 1Y1,ON,Hamilton,ON_Hamilton_residential_care_.csv
56,56,LAKEVIEW RETIREMENT CENTRE INC.,Residential Care Facility (11 or more ),337 HWY 8 STONEY CREEK ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
57,57,LIFETIMES LIVING INC. C/O LIFETIMES LIMITED PARTNERSHIP O/A THE CARLISLE RETIREMENT RESIDENCE,Residential Care Facility (11 or more ),467 MAIN ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
58,58,M.G.B.E. HAMILTON INC. - KELLY'S RESIDENCE RUTHERFORD,Residential Care Facility (11 or more ),18 RUTHERFORD AVE HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
59,59,M.G.B.E. MAIN INC. o/a KELLY'S RESIDENCE - MAIN,Residential Care Facility (11 or more ),650 MAIN ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
60,60,M.G.B.E. PROCTOR INC. o/a KELLY'S RESIDENCE - PROCTOR,Residential Care Facility (11 or more ),81 PROCTOR BLVD HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
61,61,M.G.B.E. SHERMAN INC o/a KELLY'S RESIDENCE,Residential Care Facility (11 or more ),55 SHERMAN AVE S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
62,62,M.G.B.E. STINSON INC. O/A KELLY'S RESIDENCE,Residential Care Facility (11 or more ),110 STINSON ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
63,63,MAIN EAST REST HOME INC.,Residential Care Facility (11 or more ),939 MAIN ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
64,64,MAPLE RETIREMENT HOMES INC,Residential Care Facility (11 or more ),1605 MAIN ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
65,65,MILTON BROWN ENTERPRISES LTD. O/A ST. PATRICK'S LODGE,Residential Care Facility (11 or more ),90 EMERALD ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
66,66,OLGA STELLA MANOR CORPORATION O/A OLGA STELLA MANOR,Residential Care Facility (4-10 Res.),66 SKYVIEW DR HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
67,67,PAT'S LODGING RESIDENTIAL CARE HOME INC.,Residential Care Facility (4-10 Res.),237 HERKIMER ST HAMILTON ON L8P 2H8,ON,Hamilton,ON_Hamilton_residential_care_.csv
68,68,QUEENS LODGE,Residential Care Facility (4-10 Res.),36 QUEEN ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
69,69,RYKKA CARE CENTRE o/a NEW VILLAGE RETIREMENT,Residential Care Facility (11 or more ),490 HWY 8 STONEY CREEK ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
70,70,SAMPAGUITA LODGING & REST HOME INC.,Residential Care Facility (11 or more ),265 BAY ST S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
71,71,SCHLEGEL VILLAGES INC. O/A THE VILLAGE OF WENTWORTH HEIGHTS,Residential Care Facility (11 or more ),1620 UPPER WENTWORTH ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
72,72,SEASONS RETIREMENT COMMUNITIES (STONEY CREEK) GP INC.,Residential Care Facility (11 or more ),8 SHOREVIEW PL STONEY CREEK ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
73,73,THE CARDINAL RETIREMENT RESIDENCE (1982398 Ontario Inc),Residential Care Facility (11 or more ),10 HERKIMER ST HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
74,74,UNICARE LIMITED PARTNERSHIP O/A ABINGTON COURT RETIREMENT RESIDENCE,Residential Care Facility (11 or more ),1500 MAIN ST E HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
75,75,VENIKE INVESTMENTS INC. O/A NOYEL LODGE,Residential Care Facility (11 or more ),53 PARK ST W DUNDAS ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
76,76,VILLA ITALIA RETIREMENT LIVING,Residential Care Facility (11 or more ),530 UPPER PARADISE RD HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
77,77,WEST VALLEY SUITES INC.,Residential Care Facility (11 or more ),809 KING ST W HAMILTON ON L8S 1K2,ON,Hamilton,ON_Hamilton_residential_care_.csv
78,78,WESTMOUNT TERRACE INC.,Residential Care Facility (11 or more ),723 RYMAL RD W HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
79,79,YWCA OF HAMILTON,Residential Care Facility (11 or more ),70 WEST AVE S HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
80,80,ZEST RETIREMENT RESIDENCE INC. O/A ST. ELIZABETH RETIREMENT RESIDENCE,Residential Care Facility (11 or more ),391 RYMAL RD W HAMILTON ON,ON,Hamilton,ON_Hamilton_residential_care_.csv
