,idx,facility_name,facility_type,longitude,latitude,street_addr,city,province,postal_code,provider,filename
20,20,Beach Grove Home,Public Nursing Home,-63.172942,46.254689,200 Beach Grove Road,Charlottetown,PE,C1E 1L3,Province of Prince Edward Island,PE_healthcare_facilities.csv
21,21,Colville Manor,Public Nursing Home,-62.241315,46.35137,20 MacPhee Avenue,Souris,PE,C0A 2B0,Province of Prince Edward Island,PE_healthcare_facilities.csv
22,22,MapleWood Manor,Public Nursing Home,-64.07338,46.81335,397 Church Street,Alberton,PE,C0B 1B0,Province of Prince Edward Island,PE_healthcare_facilities.csv
23,23,Margaret S. Ellis Wing,Public Nursing Home,-64.236546,46.707341,14 MacKinnon Drive,O'Leary,PE,C0B 1V0,Province of Prince Edward Island,PE_healthcare_facilities.csv
24,24,Prince Edward Home,Public Nursing Home,-63.171043,46.257689,75 Maypoint Road,Charlottetown,PE,C1E 1V6,Province of Prince Edward Island,PE_healthcare_facilities.csv
25,25,Riverview Manor,Public Nursing Home,-62.650911,46.166478,142 Fraser Street,Montague,PE,C0A 1R0,Province of Prince Edward Island,PE_healthcare_facilities.csv
26,26,Stewart Memorial Hospital,Public Nursing Home,-63.926352,46.575951,18 Bideford Road - Rte 166,Tyne Valley,PE,C0B 2C0,Province of Prince Edward Island,PE_healthcare_facilities.csv
27,27,Summerset Manor,Public Nursing Home,-63.773509,46.419751,205 LeFurgey Avenue,Summerside,PE,C1N 2L9,Province of Prince Edward Island,PE_healthcare_facilities.csv
28,28,Wedgewood Manor,Public Nursing Home,-63.796058,46.405498,310 Brophy Avenue,Summerside,PE,C1N 5N4,Province of Prince Edward Island,PE_healthcare_facilities.csv
29,29,Sherwood Home,Public Nursing Home,-63.097192,46.25523,75 Murchison Lane,Charlottetown,PE,C1N 7N5,Province of Prince Edward Island,PE_healthcare_facilities.csv
30,30,Provincial Palliative Care Centre,Palliative Care Centre,-63.096192,46.254773,93 Murchison Lane,Charlottetown,PE,C1A 0G3,Province of Prince Edward Island,PE_healthcare_facilities.csv
