idx,facility_name,facility_type,health_authority,longitude,latitude,province,phone,website,provider
20,Dr. Helmcken Memorial Hospital,Hospitals,Interior Health Authority,-120.018229,51.646945,BC,2506742244.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Dr.%20Helmcken%20Memorial%20Hospital&svc=&ploc=,Province of British Columbia
21,East Kootenay Regional Hospital,Hospitals,Interior Health Authority,-115.748688,49.512483,BC,2504265281.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=East%20Kootenay%20Regional%20Hospital&svc=&ploc=,Province of British Columbia
22,Elk Valley Hospital,Hospitals,Interior Health Authority,-115.0566,49.51284,BC,2504234453.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Elk%20Valley%20Hospital&svc=&ploc=,Province of British Columbia
23,Golden and District Hospital,Hospitals,Interior Health Authority,-116.966604,51.296527,BC,2503445271.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Golden%20%and%%20District%20Hospital&svc=&ploc=,Province of British Columbia
24,Invermere and District Hospital,Hospitals,Interior Health Authority,-116.032224,50.506441,BC,2503429201.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Invermere%20%and%%20District%20Hospital&svc=&ploc=,Province of British Columbia
25,Kootenay Boundary Regional Hospital,Hospitals,Interior Health Authority,-117.70147,49.10318,BC,2503683311.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Kootenay%20Boundary%20Regional%20Hospital&svc=&ploc=,Province of British Columbia
26,Kootenay Lake Hospital,Hospitals,Interior Health Authority,-117.284817,49.495025,BC,2503523111.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Kootenay%20Lake%20Hospital&svc=&ploc=,Province of British Columbia
27,Nicola Valley Hospital and Health Centre,Hospitals,Interior Health Authority,-120.771016,50.121468,BC,2503782242.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Nicola%20Valley%20Hospital%20and%20Health%20Centre&svc=&ploc=,Province of British Columbia
28,Shuswap Lake General Hospital,Hospitals,Interior Health Authority,-119.274422,50.704586,BC,2508333600.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Shuswap%20Lake%20General%20Hospital&svc=&ploc=,Province of British Columbia
29,Royal Inland Hospital,Hospitals,Interior Health Authority,-120.334025,50.671418,BC,2503745111.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Royal%20Inland%20Hospital&svc=&ploc=,Province of British Columbia
30,Lillooet Hospital and Health Centre,Hospitals,Interior Health Authority,-121.939063,50.689254,BC,2502564233.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Lillooet%20Hospital%20%and%%20Health%20Centre&svc=&ploc=,Province of British Columbia
31,Queen Victoria Hospital and Health Centre,Hospitals,Interior Health Authority,-118.191902,50.976799,BC,2508372131.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Queen%20Victoria%20Hospital&svc=&ploc=,Province of British Columbia
32,South Okanagan General Hospital,Hospitals,Interior Health Authority,-119.53841,49.184285,BC,2504985000.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=South%20Okanagan%20General%20Hospital&svc=&ploc=,Province of British Columbia
33,Vernon Jubilee Hospital,Hospitals,Interior Health Authority,-119.273751,50.256925,BC,2505452211.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Vernon%20Jubilee%20Hospital&svc=&ploc=,Province of British Columbia
34,Kelowna General Hospital,Hospitals,Interior Health Authority,-119.491273,49.873281,BC,2508624000.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Kelowna%20General%20Hospital&svc=&ploc=,Province of British Columbia
35,Creston Valley Hospital and Health Centre,Hospitals,Interior Health Authority,-116.508309,49.098702,BC,2504282286.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Creston%20Valley%20Hospital%20%and%%20Health%20Centre&svc=&ploc=,Province of British Columbia
36,Penticton Regional Hospital,Hospitals,Interior Health Authority,-119.578687,49.482657,BC,2504924000.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Penticton%20Regional%20Hospital&svc=&ploc=,Province of British Columbia
37,Princeton General Hospital,Hospitals,Interior Health Authority,-120.526235,49.453436,BC,2502953233.0,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Princeton%20General%20Hospital&svc=&ploc=,Province of British Columbia
38,Vancouver General Hospital - Leon Judah Blackmore Pavilion,Hospitals,Vancouver Coastal Health,-123.122823,49.260542,BC,6048754111.0,http://www.vch.ca/Locations-Services/result?res_id=644,Province of British Columbia
39,Vancouver General Hospital - Banfield Pavilion,Hospitals,Vancouver Coastal Health,-123.117598,49.260669,BC,6048754111.0,http://www.vch.ca/Locations-Services/result?res_id=644,Province of British Columbia
40,Vancouver General Hospital - Gordon and Leslie Diamond Health Care Centre,Hospitals,Vancouver Coastal Health,-123.125655,49.261187,BC,6048754111.0,http://www.vch.ca/Locations-Services/result?res_id=644,Province of British Columbia
41,Vancouver General Hospital - Health Centre,Hospitals,Vancouver Coastal Health,-123.120849,49.26052,BC,6048754111.0,http://www.vch.ca/Locations-Services/result?res_id=644,Province of British Columbia
42,Vancouver General Hospital - Jim Pattison Pavilion,Hospitals,Vancouver Coastal Health,-123.124094,49.260558,BC,6048754111.0,http://www.vch.ca/Locations-Services/result?res_id=644,Province of British Columbia
43,Vancouver General Hospital - Willow Pavilion,Hospitals,Vancouver Coastal Health,-123.122,49.26051,BC,6048754111.0,http://www.vch.ca/Locations-Services/result?res_id=644,Province of British Columbia
44,Powell River General Hospital,Hospitals,Vancouver Coastal Health,-124.520727,49.851072,BC,6044853211.0,http://www.vch.ca/Locations-Services/result?res_id=655,Province of British Columbia
45,Sechelt Hospital,Hospitals,Vancouver Coastal Health,-123.749159,49.475307,BC,6048852224.0,http://www.vch.ca/Locations-Services/result?res_id=648,Province of British Columbia
46,Lions Gate Hospital,Hospitals,Vancouver Coastal Health,-123.068318,49.320214,BC,6049883131.0,http://www.vch.ca/locations-services/result?res_id=1244,Province of British Columbia
47,R.W. Large Memorial Hospital,Hospitals,Vancouver Coastal Health,-128.143874,52.160187,BC,2509572314.0,http://www.vch.ca/Locations-Services/result?res_id=1353,Province of British Columbia
48,UBC Hospital - Detwiller Pavilion,Hospitals,Vancouver Coastal Health,-123.244143,49.264575,BC,6048227121.0,http://www.vch.ca/Locations-Services/result?res_id=652,Province of British Columbia
49,UBC Hospital - Koerner Pavilion,Hospitals,Vancouver Coastal Health,-123.244259,49.264671,BC,6048227121.0,http://www.vch.ca/Locations-Services/result?res_id=652,Province of British Columbia
50,UBC Hospital - Purdy Pavilion,Hospitals,Vancouver Coastal Health,-123.244155,49.264547,BC,6048227121.0,http://www.vch.ca/Locations-Services/result?res_id=652,Province of British Columbia
51,Squamish General Hospital,Hospitals,Vancouver Coastal Health,-123.140086,49.700092,BC,6048925211.0,http://www.vch.ca/Locations-Services/result?res_id=1338,Province of British Columbia
52,Richmond Hospital,Hospitals,Vancouver Coastal Health,-123.147547,49.170162,BC,,http://www.vch.ca/Locations-Services/result?res_id=1,Province of British Columbia
53,Richmond Hospital - Child Health Centre,Hospitals,Vancouver Coastal Health,-123.147547,49.170162,BC,,http://www.vch.ca/Locations-Services/result?res_id=1,Province of British Columbia
54,Bella Coola General Hospital,Hospitals,Vancouver Coastal Health,-126.762576,52.372895,BC,2507995311.0,http://www.vch.ca/locations-services/result?res_id=656,Province of British Columbia
55,Cormorant Island Community Health Centre,Hospitals,Island Health,-126.926661,50.583656,BC,2509745585.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/cormorant-island-health-centre,Province of British Columbia
56,Cowichan District Hospital,Hospitals,Island Health,-123.723323,48.785009,BC,2507372030.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/cowichan-district-hospital,Province of British Columbia
57,Nanaimo Regional General Hospital,Hospitals,Island Health,-123.969945,49.183502,BC,,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/nanaimo-regional-general-hospital,Province of British Columbia
58,Tofino General Hospital,Hospitals,Island Health,-125.908605,49.151591,BC,2507254010.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/tofino-general-hospital,Province of British Columbia
59,West Coast General Hospital,Hospitals,Island Health,-124.781792,49.248801,BC,2507311370.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/west-coast-general-hospital,Province of British Columbia
60,North Island Hospital Campbell River and District,Hospitals,Island Health,-125.243155,50.011132,BC,2502867100.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/north-island-hospital-campbell-river-district,Province of British Columbia
61,Port Hardy Hospital,Hospitals,Island Health,-127.503215,50.720244,BC,2509026011.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/port-hardy-hospital,Province of British Columbia
62,Victoria General Hospital,Hospitals,Island Health,-123.432576,48.466809,BC,2507274212.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/victoria-general-hospital-vgh,Province of British Columbia
63,Lady Minto/Gulf Islands Hospital,Hospitals,Island Health,-123.508599,48.861445,BC,2505384800.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/lady-minto-gulf-islands-hospital,Province of British Columbia
64,Royal Jubilee Hospital,Hospitals,Island Health,-123.326541,48.434061,BC,2503708000.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/royal-jubilee-hospital-rjh,Province of British Columbia
65,Victoria Mental Health Centre,Hospitals,Island Health,-123.323847,48.43242,BC,2503708000.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/royal-jubilee-hospital-rjh,Province of British Columbia
66,Saanich Peninsula Hospital,Hospitals,Island Health,-123.411323,48.594199,BC,2505447676.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/saanich-peninsula-hospital,Province of British Columbia
67,Port McNeill Hospital,Hospitals,Island Health,-127.067379,50.58026,BC,2509564461.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/port-mcneill-hospital,Province of British Columbia
68,North Island Hospital Comox Valley,Hospitals,Island Health,-124.969565,49.712428,BC,2503315900.0,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/north-island-hospital-comox-valley,Province of British Columbia
69,Kitimat General Hospital and Health Centre,Hospitals,Northern Health,-128.647481,54.050409,BC,,https://www.northernhealth.ca/locations/hospitals/kitimat-general-hospital-and-health-centre,Province of British Columbia
70,Mackenzie and District Hospital and Health Centre,Hospitals,Northern Health,-123.101288,55.33812,BC,,https://www.northernhealth.ca/locations/hospitals/mackenzie-and-district-hospital-and-health-centre,Province of British Columbia
71,Prince Rupert Regional Hospital,Hospitals,Northern Health,-130.332179,54.304265,BC,,https://www.northernhealth.ca/locations/hospitals/prince-rupert-regional-hospital,Province of British Columbia
72,Fort St. John Hospital,Hospitals,Northern Health,-120.817122,56.256892,BC,,https://www.northernhealth.ca/locations/hospitals/fort-st-john-hospital-peace-villa,Province of British Columbia
73,Chetwynd Hospital and Health Centre,Hospitals,Northern Health,-121.64632,55.695973,BC,,https://www.northernhealth.ca/locations/hospitals/chetwynd-hospital-and-health-centre,Province of British Columbia
74,Stuart Lake Hospital,Hospitals,Northern Health,-124.245474,54.442987,BC,,https://www.northernhealth.ca/locations/hospitals/stuart-lake-hospital,Province of British Columbia
75,St. John Hospital,Hospitals,Northern Health,-124.008821,54.02876,BC,,https://www.northernhealth.ca/locations/hospitals/st-john-hospital,Province of British Columbia
76,Wrinch Memorial Hospital,Hospitals,Northern Health,-127.651295,55.259655,BC,,https://www.northernhealth.ca/locations/hospitals/wrinch-memorial-hospital,Province of British Columbia
77,University Hospital of Northern British Columbia,Hospitals,Northern Health,-122.763153,53.911251,BC,,https://www.northernhealth.ca/locations/hospitals/university-hospital-northern-british-columbia-uhnbc,Province of British Columbia
78,G.R. Baker Memorial Hospital,Hospitals,Northern Health,-122.498817,52.981739,BC,,https://www.northernhealth.ca/locations/hospitals/gr-baker-memorial-hospital,Province of British Columbia
79,Dawson Creek and District Hospital,Hospitals,Northern Health,-120.237333,55.749057,BC,,https://www.northernhealth.ca/locations/hospitals/dawson-creek-and-district-hospital,Province of British Columbia
80,Bulkley Valley District Hospital,Hospitals,Northern Health,-127.163822,54.784976,BC,,https://www.northernhealth.ca/locations/hospitals/bulkley-valley-district-hospital,Province of British Columbia
81,McBride and District Hospital,Hospitals,Northern Health,-120.16308,53.300909,BC,,https://www.northernhealth.ca/locations/hospitals/mcbride-and-district-hospital,Province of British Columbia
82,Northern Haida Gwaii Hospital and Health Centre,Hospitals,Northern Health,-132.151708,54.012317,BC,,https://www.northernhealth.ca/locations/hospitals/haida-gwaii-hospital-and-health-centre-xaayda-gwaay-ngaaysdll-naay,Province of British Columbia
83,Fort Nelson General Hospital,Hospitals,Northern Health,-122.703101,58.809101,BC,,https://www.northernhealth.ca/locations/hospitals/fort-nelson-general-hospital,Province of British Columbia
84,Lakes District Hospital and Health Centre,Hospitals,Northern Health,-125.760016,54.235568,BC,,https://www.northernhealth.ca/locations/hospitals/lakes-district-hospital-and-health-centre,Province of British Columbia
85,Mills Memorial Hospital,Hospitals,Northern Health,-128.596516,54.510843,BC,,https://www.northernhealth.ca/locations/hospitals/mills-memorial-hospital,Province of British Columbia
86,Whitehorse General Hospital,Hospitals,Northern Health,-135.043619,60.718939,BC,,https://yukonhospitals.ca/,Province of British Columbia
87,BC Women's Hospital and Health Centre,Hospitals,BC Women's Hospital & Health Centre,-123.125393,49.243637,BC,,http://www.bcwomens.ca/,Province of British Columbia
88,Mount Saint Joseph Hospital,Hospitals,Providence Health Care Society,-123.096358,49.257699,BC,,https://www.providencehealthcare.org/hospitals-residences/mount-saint-joseph-hospital,Province of British Columbia
89,St. Paul's Hospital,Hospitals,Providence Health Care Society,-123.128913,49.280614,BC,,https://www.providencehealthcare.org/hospitals-residences/st-paul's-hospital,Province of British Columbia
90,St. Paul's Hospital - Burrard Building,Hospitals,Providence Health Care Society,-123.128913,49.280614,BC,,https://www.providencehealthcare.org/hospitals-residences/st-paul's-hospital,Province of British Columbia
91,St. Paul's Hospital - Providence II Building,Hospitals,Providence Health Care Society,-123.128913,49.280614,BC,,https://www.providencehealthcare.org/hospitals-residences/st-paul's-hospital,Province of British Columbia
92,St. Paul's Hospital - Providence Building,Hospitals,Providence Health Care Society,-123.128913,49.280614,BC,,https://www.providencehealthcare.org/hospitals-residences/st-paul's-hospital,Province of British Columbia
93,Holy Family Hospital,Hospitals,Providence Health Care Society,-123.072034,49.213701,BC,,https://www.providencehealthcare.org/hospitals-residences/holy-family-hospital,Province of British Columbia
