idx,facility_name,facility_type,health_authority,alternative_name,longitude,latitude,street_addr,city,province,postal_code,phone,provider
79,Halcyon Assisted Living Society,Assisted Living,Interior Health,Halcyon House,-117.8077844,50.2402094,83 8th Avenue,Nakusp,BC,V0G 1R0,(250) 265-3692,Province of British Columbia
80,Delta King Place Housing Society,Assisted Living,Northern Health,Delta King Place,-128.6504321,54.0500231,701 Mountainview Square,Kitimat,BC,V8C 2N1,(250) 632-6535,Province of British Columbia
81,S.U.C.C.E.S.S. Multi-Level Care Society,Assisted Living,Vancouver Coastal,Austin Harris Residence,-123.1642599,49.1257461,5411 Moncton Street,Richmond,BC,V7E 0A8,(604) 277-9819,Province of British Columbia
82,The Sto:lo Nation,Assisted Living,Fraser Health,Sto:lo Elders Lodge,-121.9666998,49.1386487,7519 Topaz Drive,Chilliwack,BC,V2R 0E8,(604) 858-5591,Province of British Columbia
83,North Shore Private Hospital (1985) Ltd.,Assisted Living,Vancouver Coastal,Lynn Valley House,-123.0446964,49.3340774,1070 Lynn Valley Road,North Vancouver,BC,V7J 1Z8,(604) 982-3725,Province of British Columbia
84,Northern Health Authority,Assisted Living,Northern Health,Heritage Manor II,-120.8454429,56.2522386,9824 106th Avenue,Fort Saint John,BC,V1J 2N9,(250) 787-2376,Province of British Columbia
85,0741858 B.C. Ltd,Assisted Living,Interior Health,Nicola Valley Seniors Residence - The Florentine,-120.7634019,50.1246261,4100 Belshaw Street,Merritt,BC,V1K 0A5,(250) 378-5300,Province of British Columbia
86,Smithers Community Services Association,Assisted Living,Northern Health,The Meadows,-127.1650266,54.7752656,1180 Alberta Street,Smithers,BC,V0J 2N0,(250) 847-8884,Province of British Columbia
87,Harrison Landing Inc.,Assisted Living,Fraser Health,Harrison Landing,-122.6453631,49.1013665,20899 Douglas Cresent,Langley,BC,V3A 9L3,(604) 530-7075,Province of British Columbia
88,Alberni Valley Assisted Living Society,Assisted Living,Island Health,Heritage Place (Alberni Valley),-124.7994974,49.2533611,4360 Heritage Lane,Port Alberni,BC,V9Y 4C3,(250) 723-0480,Province of British Columbia
89,The Royale West Coast LP dba Mayfair Terrace Retirement Residence,Assisted Living,Fraser Health,Mayfair Terrace Retirement Residence,-122.7811519,49.259316,2267 Kelly Avenue,Port Coquitlam,BC,V3C 6N4,(604) 552-5552,Province of British Columbia
90,Amica Beechwood Village Inc.,Assisted Living,Island Health,Amica Beechwood Village,-123.403863,48.6542837,2315 Mills Road,Sidney,BC,V8L 5W6,(250) 655-0849,Province of British Columbia
91,Amica Mature Lifestyles Inc.,Assisted Living,Island Health,Amica Douglas House,-123.369556,48.4106234,50 Douglas Street,Victoria,BC,V8V 2N8,(250) 383-6258,Province of British Columbia
92,Good Samaritan Canada,Assisted Living,Interior Health,Village By the Station,-119.5957868,49.4844104,270 Hastings Avenue,Penticton,BC,V2A 2V6,(250) 490-4949,Province of British Columbia
93,West Shore Lodge Ltd.,Assisted Living,Island Health,West Shore Lodge,-123.4691908,48.4444075,1828 Island Highway,Colwood,BC,V9B 1J2,(250) 478-7527,Province of British Columbia
94,Rodica Senior Home Care House,Assisted Living,Northern Health,Rodica Senior Home Care House,-122.7548885,53.8980527,2568 Victoria Street,Prince George,BC,V2L 5G8,(250) 563-9566,Province of British Columbia
95,Golden Life Management Corp.,Assisted Living,Interior Health,Rose Wood Village,-117.6366632,49.0929297,8125 Devito Drive,Trail,BC,V1R 4X9,(250) 364-3150,Province of British Columbia
96,Action Line Housing Society,Assisted Living,Fraser Health,Seton Villa,-123.0216295,49.2888133,3755 McGill Street,Burnaby,BC,V5C 1M2,(604) 291-0607,Province of British Columbia
97,Beacon Community Association,Assisted Living,Island Health,Shoal Centre Assisted Living,-123.4028861,48.6540525,10030 Resthaven Drive,Sidney,BC,V8L 3G4,(778) 351-0896,Province of British Columbia
98,Wrinch Memorial Foundation,Assisted Living,Northern Health,Skeena Place,-127.6495885,55.2600649,4780 Janze Way,Hazelton,BC,V0J 1Y1,(250) 842-5217,Province of British Columbia
99,Lower Similkameen Community Services Society,Assisted Living,Interior Health,Kyalami Place,-119.8332064,49.2049938,720 3rd Street,Keremeos,BC,V0X 1N3,(250) 499-2366,Province of British Columbia
100,The Governing Council of The Salvation Army,Assisted Living,Vancouver Coastal,Southview Heights,-123.0405446,49.2177384,7252 Kerr Street,Vancouver,BC,V5S 3V2,(604) 438-3367,Province of British Columbia
101,Tabor Home Society,Assisted Living,Fraser Health,Tabor Court,-122.3384901,49.0465321,31954 Sunrise Crescent,Abbotsford,BC,V2T 1N6,(604) 859-8718,Province of British Columbia
102,PR Seniors Housing Management 3 Ltd.,Assisted Living,Vancouver Coastal,Terraces on 7th,-123.1399961,49.2651363,1570 West 7th Avenue,Vancouver,BC,V6J 5M1,(604) 738-8380,Province of British Columbia
103,Eagle Valley Senior Citizen Housing Society,Assisted Living,Interior Health,Eagle Valley Manor,-118.9823727,50.8339774,319 Gordon Mackie Lane,Sicamous,BC,V0E 2V1,(250) 836-2314,Province of British Columbia
104,Morgan Heights Care Ltd.,Assisted Living,Fraser Health,The Residence at Morgan Heights,-122.7798803,49.0511752,15955 - 27th Avenue,Surrey,BC,V3Z 3W3,(604) 535-1118,Province of British Columbia
105,Optima Retirement Services Ltd.,Assisted Living,Fraser Health,Royal Crescent Gardens,-122.5958527,49.2158637,11698 - 226th Street,Maple Ridge,BC,V2X 6H1,(604) 463-6077,Province of British Columbia
106,The Royale LP,Assisted Living,Fraser Health,Pacifica Retirement Residence,-122.7976625,49.0477777,2525 King George Blvd.,Surrey,BC,V4P 0C8,(604) 535-9194,Province of British Columbia
107,The Hamlets at Penticton Residence Inc.,Assisted Living,Interior Health,The Hamlets at Penticton,-119.5897419,49.4840615,103 Duncan Avenue West,Penticton,BC,V2A 2Y3,(250) 490-8503,Province of British Columbia
108,Northern Health Authority,Assisted Living,Northern Health,Summit Residence,-130.3292831,54.3042162,1335 Summit Avenue,Prince Rupert,BC,V8J 4L2,(250) 622-6451,Province of British Columbia
109,Shannon Falls Retirement Residence Partnership,Assisted Living,Vancouver Coastal,Shannon Falls Retirement Residence,-123.1539384,49.702788,114-38225 Third Avenue,Squamish,BC,V8B 0S2,(604) 848-2000,Province of British Columbia
110,The Royale West Coast LP,Assisted Living,Fraser Health,Peninsula Retirement Residence,-122.8008907,49.0396008,2088 - 152 Street,Surrey,BC,V4A 9Z4,(604) 538-2033,Province of British Columbia
111,HCN - Revera Lessee (Whitecliff) LP,Assisted Living,Fraser Health,Whitecliff Retirement Residence,-122.7930809,49.0312747,15501 - 16th Avenue,Surrey,BC,V4A 9M5,(604) 538-7227,Province of British Columbia
112,Resurrection Recovery Resources Society,Assisted Living,Interior Health,Freedom's Door,-119.471561,49.8832475,1279 Centennial Crescent,Kelowna,BC,V1Y 6K3,(250) 717-0472,Province of British Columbia
113,John Howard Society of Okanagan & Kootenay,Assisted Living,Island Health,1043 Harvey House,-119.4784911,49.8832462,1043 Harvey Ave,Kelowna,BC,V1Y6E4,(250) 717-0702,Province of British Columbia
114,Lookout Housing and Health Society,Assisted Living,Vancouver Coastal,Lookout Dovercourt,-123.0283132,49.34259,1606 Lynn Valley Road,North Vancouver,BC,V7J 2B4,(604) 982-9126,Province of British Columbia
115,The Royale West Coast GP Corporation as gp of The Royale West Coast LP,Assisted Living,Fraser Health,Rideau Retirement Residence,-123.0055473,49.2677316,1850 Rosser Avenue,Burnaby,BC,V5C 5E1,(604) 291-1792,Province of British Columbia
116,Quesnel Seniors Housing,Assisted Living,Northern Health,Maeford Place Assisted Living Centre,-122.4938872,52.9819649,574 Kinchant Street,Quesnel,BC,V2J 2R8,(250) 992-8342,Province of British Columbia
117,Connexus Community Resources Society,Assisted Living,Northern Health,Riverside Place,-124.0131889,54.0215498,242 Louvain Street,Vanderhoof,BC,V0J 3A0,(250) 567-9205,Province of British Columbia
118,The Hamlets at Westsyde Residence Inc.,Assisted Living,Interior Health,The Hamlets at Westsyde,-120.3413596,50.7709541,3255 Overlander Drive,Kamloops,BC,V2B 0A5,(250) 579-9061,Province of British Columbia
119,Good Samaritan Canada,Assisted Living,Fraser Health,Good Samaritan Canada Victoria Heights,-122.8997466,49.2134562,230 Ross Drive,New Westminster,BC,V3L 0B1,(604) 523-9227,Province of British Columbia
120,Origin at Longwood,Assisted Living,Island Health,Origin at Longwood,-124.0321766,49.2207915,6205 Oliver Road,Nanaimo,BC,V9T 6T1,(250) 751-7755,Province of British Columbia
121,Golden Life Management Corp.,Assisted Living,Interior Health,Garden View Village,-115.9872666,49.6907045,280 4th Avenue,Kimberley,BC,V1A 2R6,(250) 427-4014,Province of British Columbia
122,BG Cedars Society,Assisted Living,Vancouver Coastal,The Cedars at Beulah Gardens,-123.0322605,49.2661816,3355 East 5th Avenue,Vancouver,BC,V5M 0A1,(604) 251-4114,Province of British Columbia
123,Strive Living Society,Assisted Living,Fraser Health,Liberty Place,-122.9352675,49.224454,7899 17th Avenue,Burnaby,BC,V3N 1M1,(604) 526-9933,Province of British Columbia
124,Queen Charlotte Housing Development Society,Assisted Living,Northern Health,Martin Manor,-132.0842161,53.2553621,306 - 2nd Avenue,Queen Charlotte,BC,V0T 1S0,(250) 559-8800,Province of British Columbia
125,Sunridge Seniors Community Partnership,Assisted Living,Island Health,The Meadows at Sunridge Place,-123.6975203,48.7777428,361 Bundock Avenue,Duncan,BC,V9L 3P1,(250) 748-8048,Province of British Columbia
126,Langley Lions Housing Society,Assisted Living,Fraser Health,Evergreen Timbers,-122.659687,49.1014015,5464 - 203rd Street,Langley,BC,V3A 0A4,(604) 530-7171,Province of British Columbia
127,Capital Region Housing Corporation,Assisted Living,Island Health,Parry Place,-123.3725864,48.4158031,408 Parry Street,Victoria,BC,V8V 2H7,(250) 382-4443,Province of British Columbia
128,Providence Health Care Society,Assisted Living,Vancouver Coastal,Honoria Conway at St. Vincent's Heather,-123.1220866,49.2420243,4875 Heather Street,Vancouver,BC,V5Z 0A7,(604) 876-7191,Province of British Columbia
129,Baptist Housing Enhanced Living Communities,Assisted Living,Interior Health,The Village at Smith Creek,-119.6267443,49.8431243,2425 Orlin Road,West Kelowna,BC,V4T 1N3,(250) 768-0488,Province of British Columbia
130,Baptist Housing Enhanced Living Communities,Assisted Living,Interior Health,Sun Pointe Village,-119.3878245,49.896263,700 Rutland Road North,Kelowna,BC,V1X 7W8,(250) 491-1400,Province of British Columbia
131,The Baptist Housing Society,Assisted Living,Interior Health,The Village at Mill Creek,-119.4678022,49.8808104,1450 Sutherland Avenue,Kelowna,BC,V1Y 5Y5,(250) 860-2216,Province of British Columbia
132,Sooke Elderly Citizens Housing Society,Assisted Living,Island Health,Ayre Manor,-123.7269856,48.3775504,6754 Ayre Road,Sooke,BC,V9Z 1K1,(250) 642-1750,Province of British Columbia
133,Creekside Landing Ltd.,Assisted Living,Interior Health,Creekside Landing,-119.3223493,50.2465633,6190 Okanagan Landing Road,Vernon,BC,V1H 1M3,(250) 549-9550,Province of British Columbia
134,Strive Living Society,Assisted Living,Fraser Health,Freedom Place,-122.8116906,49.1902003,10342 148th Street,Surrey,BC,V3R 3X3,(604) 634-3300,Province of British Columbia
135,Wagner Hills Farm Society,Assisted Living,Fraser Health,Wagner Hills Farm,-122.4959869,49.1493257,8061 264th Street,Langley,BC,V1M 3M3,(604) 856-9432,Province of British Columbia
136,Golden Community Resources Society,Assisted Living,Interior Health,Mountain View Assisted Living,-116.9674653,51.2978943,750 - 8th Avenue South,Golden,BC,V0A 1H0,(250) 344-7924,Province of British Columbia
137,Northern Health Authority,Assisted Living,Northern Health,Nick Grosse Assisted Living Residence,-132.1582983,54.0203264,2524 Harrison Road,Masset,BC,V0T 1M0,(250) 626-4735,Province of British Columbia
138,Dawson Creek Society for Community Living,Assisted Living,Northern Health,Northview,-120.2357658,55.7733071,1125 - 90th Avenue,Dawson Creek,BC,V1G 5A3,(250) 719-0072,Province of British Columbia
