,idx,facility_name,facility_type,number_beds,longitude,latitude,street_addr,city,province,postal_code,provider,filename
75,75,Milford Haven Corporation,Nursing Home,0,-61.5070936716,45.4021123288,10558 ROUTE 16,GUYSBOROUGH,NS,B0H 1N0,Province of Nova Scotia,NS_long_term_care_facilities.csv
76,76,Tideview Terrace,Nursing Home,0,-65.7632932883,44.6092227727,74 PLEASANT STREET,CONWAY,NS,B0V 1A0,Province of Nova Scotia,NS_long_term_care_facilities.csv
77,77,The Birches,Nursing Home,0,-63.158333445,44.7830353497,7704 HIGHWAY 7,MUSQUODOBOIT HARBOUR,NS,B0J 2L0,Province of Nova Scotia,NS_long_term_care_facilities.csv
78,78,The Heritage House,Residential Care Facility,11,-61.5280844833,46.0145010744,55 HIGH ROAD,PORT HOOD,NS,B0E 2W0,Province of Nova Scotia,NS_long_term_care_facilities.csv
79,79,The Mira,Nursing Home,0,-63.2747811178,45.3481634058,426 YOUNG ST,TRURO,NS,B2N 7B1,Province of Nova Scotia,NS_long_term_care_facilities.csv
80,80,Villa Saint Joseph-du-Lac,Nursing Home,0,-66.1116431111,43.8692445999,255 HIGHWAY 1,DAYTON,NS,B5A 4A5,Province of Nova Scotia,NS_long_term_care_facilities.csv
81,81,Harbourstone Enhanced Care Limited,Nursing Home,0,-60.2138180695,46.1070401628,84 KENWOOD DR,SYDNEY,NS,B1S 3V7,Province of Nova Scotia,NS_long_term_care_facilities.csv
82,82,Mitchell's Rest Home,Residential Care Facility,3,-63.646603548,45.0818810489,5153 HIGHWAY 14,UPPER NINE MILE RIVER,NS,,Province of Nova Scotia,NS_long_term_care_facilities.csv
83,83,Canso Seaside Manor,Nursing Home,0,-60.984004647,45.3326282071,1748 UNION STREET,CANSO,NS,B0H 1H0,Province of Nova Scotia,NS_long_term_care_facilities.csv
84,84,Pont du Marais Home Ltd,Residential Care Facility,23,-65.8018749204,43.6382136832,1526 HIGHWAY 335,LOWER WEST PUBNICO,NS,B0W 2C0,Province of Nova Scotia,NS_long_term_care_facilities.csv
85,85,White Birches Retirement Residence,Residential Care Facility,24,-64.1793484589,45.8414123864,189 FOX RANCH RD,AMHERST,NS,B4H 3Y3,Province of Nova Scotia,NS_long_term_care_facilities.csv
86,86,Richmond Villa,Nursing Home and Residential Care Facility,8,-60.874805837,45.6584233209,9361 PEPPERALL STREET,ST PETER'S,NS,B0E 3B0,Province of Nova Scotia,NS_long_term_care_facilities.csv
87,87,Highland Manor,Nursing Home,0,-60.322164937,46.8109670404,175 NEW HAVEN ROAD,NEIL'S HARBOUR,NS,B0C 1N0,Province of Nova Scotia,NS_long_term_care_facilities.csv
88,88,Seaview Manor,Nursing Home,0,-59.936438571,46.1844896682,275 SOUTH STREET,GLACE BAY,NS,B1A 1W6,Province of Nova Scotia,NS_long_term_care_facilities.csv
89,89,Vimy Court,Nursing Home,0,-63.2606517007,45.3793295022,130 VIMY ROAD,BIBLE HILL,NS,B2N 4J6,Province of Nova Scotia,NS_long_term_care_facilities.csv
90,90,Melville Gardens Nursing Home,Nursing Home and Residential Care Facility,60,-63.6146368753,44.6320039153,11 RAMSGATE LANE,HALIFAX,NS,B3P 2S9,Province of Nova Scotia,NS_long_term_care_facilities.csv
91,91,Shoreham Village,Nursing Home,0,-64.2322046667,44.5448589128,50 SHOREHAM VILLAGE CRESCENT,CHESTER,NS,B0J 1J0,Province of Nova Scotia,NS_long_term_care_facilities.csv
92,92,Port Hawkesbury Nursing Home,Nursing Home and Residential Care Facility,6,-61.3552879542,45.6197506969,2 MACQUARRIE DRIVE EXTENSION,PORT HAWKESBURY,NS,B9A 3A2,Province of Nova Scotia,NS_long_term_care_facilities.csv
93,93,Bay Side Home Corporation,Nursing Home,0,-65.5981735088,43.5484492595,96 BAYSIDE DRIVE,BARRINGTON,NS,B0W 1E0,Province of Nova Scotia,NS_long_term_care_facilities.csv
94,94,Saint Vincent's Nursing Home,Nursing Home,0,-63.5941906385,44.6479163111,2080 WINDSOR ST,HALIFAX,NS,B3K 5B2,Province of Nova Scotia,NS_long_term_care_facilities.csv
95,95,Precision Health - 24 Kincardine Street,Residential Care Facility,3,-63.5370865365,44.6914255598,24 KINCARDINE STREET,DARTMOUTH,NS,B2X 1H9,Province of Nova Scotia,NS_long_term_care_facilities.csv
96,96,Foyer P├⌐re Fiset,Nursing Home and Residential Care Facility,10,-61.0157412109,46.6234390124,15092 CABOT TRAIL,CHETICAMP,NS,B0E 1H0,Province of Nova Scotia,NS_long_term_care_facilities.csv
97,97,High - Crest Place,Residential Care Facility,27,-62.6451446856,45.5857168555,222 PROVOST ST,NEW GLASGOW,NS,B2H 2R3,Province of Nova Scotia,NS_long_term_care_facilities.csv
98,98,High - Crest Sherbrooke Home for Special Care,Nursing Home,0,-61.9811632318,45.140817953,53 COURT STREET,SHERBROOKE,NS,B0J 3C0,Province of Nova Scotia,NS_long_term_care_facilities.csv
99,99,Mahone Nursing Home,Nursing Home,0,-64.3769495199,44.4477229699,640 MAIN,MAHONE BAY,NS,B0J 2E0,Province of Nova Scotia,NS_long_term_care_facilities.csv
100,100,Townsview Estates,Residential Care Facility,51,-63.3013640702,45.3377932493,310 ABENAKI ROAD,MILLBROOK 27,NS,B2N 5Z5,Province of Nova Scotia,NS_long_term_care_facilities.csv
101,101,White Hills Long term Care Centre,Nursing Home,0,-63.8051871319,44.7439918402,297 POCKWOCK ROAD,HAMMONDS PLAINS,NS,B4B 1N5,Province of Nova Scotia,NS_long_term_care_facilities.csv
102,102,Carefield Manor Ltd,Residential Care Facility,12,-60.1677949255,46.171042466,1 DRYDEN AVE,SYDNEY,NS,B1S 1V3,Province of Nova Scotia,NS_long_term_care_facilities.csv
103,103,High - Crest Home New Glasgow,Residential Care Facility,29,-62.6418534028,45.5856299281,253 FORBES ST,NEW GLASGOW,NS,B2H 4P5,Province of Nova Scotia,NS_long_term_care_facilities.csv
104,104,Annapolis Royal Nursing Home Limited,Nursing Home and Residential Care Facility,12,-65.5001769296,44.7353894109,9745 HIGHWAY 8,ANNAPOLIS ROYAL,NS,B0S 1A0,Province of Nova Scotia,NS_long_term_care_facilities.csv
105,105,The Meadows - Tidal View Manor,Nursing Home,0,-66.1030678965,43.8505087355,339 PLEASANT St,YARMOUTH,NS,B5A 2K9,Province of Nova Scotia,NS_long_term_care_facilities.csv
106,106,Centennial Villa,Residential Care Facility,43,-64.189907125,45.8240299389,258 CHURCH ST,AMHERST,NS,B4H 3C9,Province of Nova Scotia,NS_long_term_care_facilities.csv
107,107,Olson's Glo Estate Home for Special Care,Residential Care Facility,11,-66.1276057564,43.848281031,143 ROUTE 304,OVERTON,NS,B4A 4J7,Province of Nova Scotia,NS_long_term_care_facilities.csv
108,108,High - Crest Springhill Home for Special Care Ltd,Nursing Home,0,-64.0493362039,45.6495130028,11 SPROUL STREET,SPRINGHILL,NS,B0M 1X0,Province of Nova Scotia,NS_long_term_care_facilities.csv
109,109,Karlaine Place,Residential Care Facility,8,-63.2597931832,45.3755422145,104 PICTOU RD,BIBLE HILL,NS,B2N 2S3,Province of Nova Scotia,NS_long_term_care_facilities.csv
110,110,My Cape Breton Home for Seniors - Sydney,Residential Care Facility,16,-60.2214390673,46.1183619255,137 RIVERDALE DRIVE,SYDNEY,NS,B1R 0A9,Province of Nova Scotia,NS_long_term_care_facilities.csv
111,111,My Cape Breton Home for Seniors - North Sydney,Residential Care Facility,16,-60.2694141459,46.2047715662,77 CAMPBELL STREET,NORTH SYDNEY,NS,B1P 6J1,Province of Nova Scotia,NS_long_term_care_facilities.csv
112,112,Northumberland Hall Continuing Care Residence,Nursing Home,0,-64.1895868286,45.8292145541,189 WILLOW STREET,AMHERST,NS,B4H 3W6,Province of Nova Scotia,NS_long_term_care_facilities.csv
113,113,Clarmar Residential Care Facility,Residential Care Facility,24,-63.5326255108,44.6835301518,200 MAIN STREET,DARTMOUTH,NS,B2X 1S3,Province of Nova Scotia,NS_long_term_care_facilities.csv
114,114,Harbour View Haven,Nursing Home,0,-64.3024732105,44.3770736976,25 BLOCKHOUSE HILL RD,LUNENBURG,NS,B0J 2C0,Province of Nova Scotia,NS_long_term_care_facilities.csv
115,115,Precision Health - 21 Kincardine Street,Residential Care Facility,4,-63.5361913006,44.6907861954,21 KINCARDINE STREET,DARTMOUTH,NS,B2X 1H7,Province of Nova Scotia,NS_long_term_care_facilities.csv
116,116,Celtic Court,Nursing Home,0,-60.1946583843,46.1219735668,16 ST. ANTHONY DRIVE,SYDNEY,NS,B1S 2R5,Province of Nova Scotia,NS_long_term_care_facilities.csv
117,117,Hillside Pines Home for Special Care,Nursing Home,0,-64.5206479534,44.3688714608,77 EXHIBITION DR,BRIDGEWATER,NS,B4V 3K6,Province of Nova Scotia,NS_long_term_care_facilities.csv
118,118,Parkstone Enhanced Care Limited,Nursing Home,0,-63.6720733647,44.663382564,156 PARKLAND DRIVE,HALIFAX,NS,B3S 1N9,Province of Nova Scotia,NS_long_term_care_facilities.csv
119,119,Valley View Villa,Nursing Home,0,-62.6672730046,45.5395911381,6125 TRAFALGAR ROAD,STELLARTON,NS,,Province of Nova Scotia,NS_long_term_care_facilities.csv
120,120,Maplewood Manor,Residential Care Facility,6,-63.2941363465,45.7103993471,150 BLAIR AVENUE,TATAMAGOUCHE,NS,B0K 1V0,Province of Nova Scotia,NS_long_term_care_facilities.csv
121,121,Elk Court,Nursing Home,0,-63.2738470335,45.2592638495,91 CARTER ROAD,BROOKFIELD,NS,B0N 1C0,Province of Nova Scotia,NS_long_term_care_facilities.csv
122,122,Willows Manor Limited,Residential Care Facility,8,-63.4076029436,45.0883759976,2844 HIGHWAY 2,SHUBENACADIE,NS,B0N 2H0,Province of Nova Scotia,NS_long_term_care_facilities.csv
123,123,Foyer Celeste Inc,Residential Care Facility,19,-66.1695472033,44.1838220838,8064 HIGHWAY 31,METEGHAN,NS,B0W 2J0,Province of Nova Scotia,NS_long_term_care_facilities.csv
124,124,Wolfville Elms,Residential Care Facility,23,-64.378696731,45.087092718,701 MAIN STREET,WOLFVILLE,NS,B4P 2N4,Province of Nova Scotia,NS_long_term_care_facilities.csv
125,125,Sunshine Personal Home Care Inc.,Residential Care Facility,3,-63.6235123451,44.6330128943,38 A WITHROD DR,HALIFAX,NS,B3N 1B1,Province of Nova Scotia,NS_long_term_care_facilities.csv
126,126,Maritime Odd Fellows Home,Nursing Home,0,-62.7227449792,45.6732961424,143 HALIBURTON RD,PICTOU,NS,B0K 1H0,Province of Nova Scotia,NS_long_term_care_facilities.csv
127,127,Taigh Na Mara Facility,Nursing Home,0,-59.9776869002,46.1994504507,974 MAIN STREET,GLACE BAY,NS,B1A 4Z8,Province of Nova Scotia,NS_long_term_care_facilities.csv
128,128,Roseway Manor Inc.,Nursing Home,0,-65.3089609479,43.7487650684,1604 LAKE ROAD,SANDY POINT,NS,B0T 1W0,Province of Nova Scotia,NS_long_term_care_facilities.csv
129,129,Waterford Heights,Nursing Home,0,-60.0857932887,46.2398633455,716 KING ST,NEW WATERFORD,NS,B1H 3Z5,Province of Nova Scotia,NS_long_term_care_facilities.csv
130,130,Serenity Lodge,Residential Care Facility,6,-63.5350595543,44.9508737452,39 RUSSELL MCKEEN DRIVE,ENFIELD,NS,B2T 1A7,Province of Nova Scotia,NS_long_term_care_facilities.csv
131,131,Miner's Memorial Manor,Nursing Home and Residential Care Facility,13,-60.2182966209,46.2395975234,15 LORNE ST,SYDNEY MINES,NS,B1V 3B9,Province of Nova Scotia,NS_long_term_care_facilities.csv
132,132,Peter's Place (PJD Rehab Housing Inc.),Residential Care Facility,6,-64.4161552587,44.2579218948,326 HUEY LAKE ROAD,PLEASNANTVILLE,NS,B0R 1G0,Province of Nova Scotia,NS_long_term_care_facilities.csv
133,133,Surf Lodge Community Continuing Care Centre,Nursing Home,0,-65.1174778773,43.7015725885,73 HOWE STREET,LOCKEPORT,NS,B0T 1L0,Province of Nova Scotia,NS_long_term_care_facilities.csv
134,134,Dominion Community Guest Home,Residential Care Facility,4,-60.0223541907,46.2107155768,79 COMMERCIAL ST,DOMINION,NS,B1G 1B3,Province of Nova Scotia,NS_long_term_care_facilities.csv
