,idx,facility_name,health_authority,alternative_name,longitude,latitude,street_addr,city,province,postal_code,provider,filename
32,32,Centre d'hébergement et de soins de longue durée Argyle Inc.,RLS de Champlain,CHSLD Argyle Inc.,-73.5147018433,45.5015411377,"33, avenue Argyle",Longueuil,QC,J4P3P5,Province of Quebec,QC_healthcare_establishments.csv
33,33,Centre d'hébergement et de soins de longue durée du Groupe-Santé-Arbec Inc.,RLS de Lanaudière-Nord,CHSLD Groupe-Santé-Arbec Inc.,-73.7022247314,46.0508613586,"3931, rue Lakeshore Drive",Matawinie,QC,J0K1S0,Province of Quebec,QC_healthcare_establishments.csv
34,34,Centre d'hébergement et de soins de longue durée de Saint-Jean-sur-Richelieu S.E.C.,RLS du Haut-Richelieu - Rouville,CHSLD de Saint-Jean-sur-Richelieu S.E.C.,-73.2614974976,45.311580658,"40, rue Labrèche",Le Haut-Richelieu,QC,J3B0J3,Province of Quebec,QC_healthcare_establishments.csv
35,35,Centre d'hébergement et de soins de longue durée Valeo Inc.,RLS de Champlain,CHSLD Valeo Inc.,-73.501701355,45.5095596313,"700, rue Docteur-Chevrier",Longueuil,QC,J4P0A4,Province of Quebec,QC_healthcare_establishments.csv
36,36,Centre intégré de santé et de services sociaux du Bas-Saint-Laurent,RLS de Rimouski,CISSS du Bas-Saint-Laurent,-68.5404815674,48.4433555603,"355, boulevard Saint-Germain Ouest",Rimouski-Neigette,QC,G5L3N2,Province of Quebec,QC_healthcare_establishments.csv
37,37,Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean,RLS de Chicoutimi,CIUSSS du Saguenay – Lac-Saint-Jean,-71.0400390625,48.4213104248,"930, rue Jacques-Cartier Est",Saguenay,QC,G7H7K9,Province of Quebec,QC_healthcare_establishments.csv
38,38,Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale,RLS de Québec-Nord,CIUSSS de la Capitale-Nationale,-71.2197647095,46.8566360474,"2915, avenue du Bourg-Royal",Québec,QC,G1C3S2,Province of Quebec,QC_healthcare_establishments.csv
39,39,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,RLS de Trois-Rivières,CIUSSS de la Mauricie-et-du-Centre-du-Québec,-72.5371017456,46.3427963257,"858, terrasse Turcotte",Trois-Rivières,QC,G9A5C5,Province of Quebec,QC_healthcare_establishments.csv
40,40,Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke,RLS de Sherbrooke,CIUSSS de l'Estrie – CHUS,-71.9150848389,45.4042434692,"375, rue Argyll",Sherbrooke,QC,J1J3H5,Province of Quebec,QC_healthcare_establishments.csv
41,41,Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal,RLS de Pierrefonds - Lac Saint-Louis,CIUSSS de l'Ouest-de-l'Île-de-Montréal,-73.8336715698,45.448551178,"2400, boulevard des Sources, 2e étage",Montréal,QC,H9R0E9,Province of Quebec,QC_healthcare_establishments.csv
42,42,Centre intégré universitaire de santé et de services sociaux du Centre-Ouest-de-l'Île-de-Montréal,RLS de Côte-des-Neiges - Métro - Parc-Extension,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,-73.6288070679,45.4978103638,"3755, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1E2,Province of Quebec,QC_healthcare_establishments.csv
43,43,Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,-73.5635604858,45.5253562927,"1560, rue Sherbrooke Est",Montréal,QC,H2L4M1,Province of Quebec,QC_healthcare_establishments.csv
44,44,Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal,RLS d'Ahuntsic - Montréal-Nord,CIUSSS du Nord-de-l'Île-de-Montréal,-73.6876525879,45.5475997925,"555, boulevard Gouin Ouest",Montréal,QC,H3L1K5,Province of Quebec,QC_healthcare_establishments.csv
45,45,Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal,RLS de Hochelaga - Mercier-Ouest - Rosemont,CIUSSS de l'Est-de-l'Île-de-Montréal,-73.5584640503,45.5742149353,"5415, boulevard de l'Assomption",Montréal,QC,H1T2M4,Province of Quebec,QC_healthcare_establishments.csv
46,46,Centre intégré de santé et de services sociaux de l'Outaouais,RLS de Grande-Rivière - Hull - Gatineau,CISSS de l'Outaouais,-75.7229309082,45.4801902771,"80, avenue Gatineau",Gatineau,QC,J8T4J3,Province of Quebec,QC_healthcare_establishments.csv
47,47,Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue,RLS de Rouyn-Noranda,CISSS de l'Abitibi-Témiscamingue,-79.0210037231,48.2433586121,"1, 9e Rue",Rouyn-Noranda,QC,J9X2A9,Province of Quebec,QC_healthcare_establishments.csv
48,48,Centre intégré de santé et de services sociaux de la Côte-Nord,RLS de la Haute-Côte-Nord - Manicouagan,CISSS de la Côte-Nord,-68.2569503784,49.1904411316,"835, boulevard Jolliet",Manicouagan,QC,G5C1P5,Province of Quebec,QC_healthcare_establishments.csv
49,49,Centre intégré de santé et de services sociaux de la Gaspésie,RLS de La Côte-de-Gaspé,CISSS de la Gaspésie,-64.4966506958,48.8129425049,"215, boulevard de York Ouest",La Côte-de-Gaspé,QC,G4X2W2,Province of Quebec,QC_healthcare_establishments.csv
50,50,Centre intégré de santé et de services sociaux de Laval,RLS de Laval,CISSS de Laval,-73.7108230591,45.6033210754,"1755, boulevard René-Laennec",Laval,QC,H7M3L9,Province of Quebec,QC_healthcare_establishments.csv
51,51,Centre intégré de santé et de services sociaux de Lanaudière,RLS de Lanaudière-Nord,CISSS de Lanaudière,-73.4410705566,46.0181846619,"260, rue Lavaltrie Sud",Joliette,QC,J6E5X7,Province of Quebec,QC_healthcare_establishments.csv
52,52,Centre intégré de santé et de services sociaux des Laurentides,RLS de la Rivière-du-Nord - Mirabel-Nord,CISSS des Laurentides,-74.0001907349,45.7655715942,"290, rue de Montigny",La Rivière-du-Nord,QC,J7Z5T3,Province of Quebec,QC_healthcare_establishments.csv
53,53,Centre intégré de santé et de services sociaux de la Montérégie-Centre,RLS de Champlain,CISSS de la Montérégie-Centre,-73.4842071533,45.4977531433,"3141, boulevard Taschereau, bureau 220",Longueuil,QC,J4V2H2,Province of Quebec,QC_healthcare_establishments.csv
54,54,Centre intégré de santé et de services sociaux de la Montérégie-Est,RLS de Richelieu-Yamaska,CISSS de la Montérégie-Est,-72.9594726563,45.6348342896,"2750, boulevard Laframboise",Les Maskoutains,QC,J2S4Y8,Province of Quebec,QC_healthcare_establishments.csv
55,55,Centre intégré de santé et de services sociaux de la Montérégie-Ouest,RLS de Jardins-Roussillon,CISSS de la Montérégie-Ouest,-73.7634429932,45.3456611633,"200, boulevard Brisebois",Roussillon,QC,J6K4W8,Province of Quebec,QC_healthcare_establishments.csv
56,56,Centre intégré de santé et de services sociaux de Chaudière-Appalaches,RLS Alphonse-Desjardins,CISSS de Chaudière-Appalaches,-71.0452041626,46.4648017883,"363, route Cameron",La Nouvelle-Beauce,QC,G6E3E2,Province of Quebec,QC_healthcare_establishments.csv
57,57,Centre d'hébergement et de soins de longue durée Waldorf S.E.C.,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,CHSLD Waldorf S.E.C.,-73.6583023071,45.4606971741,"7400, chemin de la Côte-Saint-luc",Montréal,QC,H4W3J4,Province of Quebec,QC_healthcare_establishments.csv
58,58,Centre d'hébergement et de soins de longue durée de la Villa-de-Val-des-Arbres Inc.,RLS de Laval,CHSLD de la Villa-de-Val-des-Arbres inc.,-73.6773605347,45.6056098938,"3245, boulevard Saint-Martin Est",Laval,QC,H7E4T6,Province of Quebec,QC_healthcare_establishments.csv
59,59,Centre d'hébergement et de soins de longue durée au Cœur-de-la-Vie inc.,RLS de la Rivière-du-Nord - Mirabel-Nord,CHSLD au Cœur-de-la-Vie inc.,-74.0143737793,45.7774887085,"325, rue Barrette, 1er étage",La Rivière-du-Nord,QC,J7Y0J8,Province of Quebec,QC_healthcare_establishments.csv
60,60,Centre d'hébergement et de soins de longue durée Louise-Faubert Inc.,RLS de Lanaudière-Sud,CHSLD Louise-Faubert Inc.,-73.7286453247,45.6871833801,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,QC_healthcare_establishments.csv
61,61,Centre d'hébergement et de soins de longue durée Marguerite-Rocheleau inc.,RLS de Lanaudière-Sud,CHSLD Marguerite-Rocheleau inc.,-73.7286453247,45.6871833801,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,QC_healthcare_establishments.csv
62,62,Centre d'hébergement et de soins de longue durée Michèle-Bohec inc.,RLS de Lanaudière-Sud,CHSLD Michèle-Bohec inc.,-73.7286453247,45.6871833801,"751, rue Marcel-De La Sablonnière",Les Moulins,QC,J6Y0M4,Province of Quebec,QC_healthcare_establishments.csv
63,63,Centre d'hébergement et de soins de longue durée L.-B.-Desjardins Inc.,RLS des Pays-d'en-Haut,CHSLD L.-B.-Desjardins Inc.,-74.1569900513,45.8891906738,"55, avenue Hochar",Les Pays-d'en-Haut,QC,J0R1R6,Province of Quebec,QC_healthcare_establishments.csv
64,64,Centre d'hébergement et de soins de longue durée des Patriotes Inc.,RLS de Laval,CHSLD des Patriotes Inc.,-73.6773605347,45.6056098938,"3245, boulevard Saint-Martin Est",Laval,QC,H7E4T6,Province of Quebec,QC_healthcare_establishments.csv
65,65,Centre d'hébergement et de soins de longue durée des Îles-de-la-Madeleine inc.,RLS des Îles-de-la-Madeleine,Centre d'hébergement et de soins de longue durée des Îl,-61.8730888367,47.3731307983,"596, chemin Principal",Communauté maritime des Îles-de-la-Madeleine,QC,G4T1G1,Province of Quebec,QC_healthcare_establishments.csv
66,66,Centre d'hébergement et de soins de longue durée de Laval S.E.C.,RLS de Laval,CHSLD de Laval S.E.C.,-73.7665557861,45.5708618164,"2805, boulevard Chomedey",Laval,QC,H7P0C2,Province of Quebec,QC_healthcare_establishments.csv
67,67,Centre d'hébergement et de soins de longue durée de Granby S.E.C.,RLS de la Haute-Yamaska,CHSLD de Granby S.E.C.,-72.7621536255,45.4074707031,"80, rue Godue",La Haute-Yamaska,QC,J2J2Z7,Province of Quebec,QC_healthcare_establishments.csv
68,68,Centre de soins prolongés Grace Dart,RLS de Hochelaga - Mercier-Ouest - Rosemont,Centre de soins prolongés Grace Dart,-73.5289077759,45.5594596863,"5155, rue Sainte-Catherine Est",Montréal,QC,H1V2A5,Province of Quebec,QC_healthcare_establishments.csv
69,69,Hôpital juif de réadaptation,RLS de Laval,Hôpital juif de réadaptation,-73.7376403809,45.5487289429,"3205, place Alton-Goldbloom",Laval,QC,H7V1R2,Province of Quebec,QC_healthcare_establishments.csv
70,70,Centre de réadaptation Lethbridge-Layton-Mackay,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Centre de réadaptation Lethbridge-Layton-Mackay,-73.6341323853,45.4583435059,"7005, boulevard De Maisonneuve Ouest",Montréal,QC,H4B1T3,Province of Quebec,QC_healthcare_establishments.csv
71,71,CHSLD Providence Notre-Dame de Lourdes inc.,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Providence Notre-Dame de Lourdes inc.,-73.5406951904,45.549785614,"1870, boulevard Pie-IX",Montréal,QC,H1V2C6,Province of Quebec,QC_healthcare_establishments.csv
72,72,Atelier le fil d'Ariane Inc.,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,Atelier le fil d'Ariane Inc.,-73.5838394165,45.5294494629,"4837, rue Boyer, app. 100",Montréal,QC,H2J3E6,Province of Quebec,QC_healthcare_establishments.csv
73,73,Résidence Angelica,RLS d'Ahuntsic - Montréal-Nord,Résidence Angelica,-73.6513366699,45.5899391174,"3435, boulevard Gouin Est",Montréal,QC,H1H1B1,Province of Quebec,QC_healthcare_establishments.csv
74,74,Centre de santé et de services sociaux du Haut-Saint-Laurent,RLS du Haut-Saint-Laurent,CSSS du Haut-Saint-Laurent,-73.9998703003,45.1263427734,"28, rue Gale",Le Haut-Saint-Laurent,QC,J0S1K0,Province of Quebec,QC_healthcare_establishments.csv
75,75,CHSLD Bayview Inc.,RLS de Pierrefonds - Lac Saint-Louis,CHSLD Bayview Inc.,-73.786567688,45.4486465454,"27, chemin Lakeshore",Montréal,QC,H9S4H1,Province of Quebec,QC_healthcare_establishments.csv
76,76,Résidence Berthiaume-Du Tremblay,RLS d'Ahuntsic - Montréal-Nord,Résidence Berthiaume-Du Tremblay,-73.6630554199,45.5674171448,"1635, boulevard Gouin Est",Montréal,QC,H2C1C2,Province of Quebec,QC_healthcare_establishments.csv
77,77,La corporation Notre-Dame de Bon-Secours,RLS de Québec-Sud,La corporation Notre-Dame de Bon-Secours,-71.2566070557,46.788066864,"990, rue Gérard-Morisset",Québec,QC,G1S1X6,Province of Quebec,QC_healthcare_establishments.csv
78,78,Hôpital Jeffery Hale - Saint Brigid's,RLS de Québec-Sud,Hôpital Jeffery Hale - Saint Brigid's,-71.2530822754,46.7966499329,"1250, chemin Sainte-Foy",Québec,QC,G1S2M6,Province of Quebec,QC_healthcare_establishments.csv
79,79,Hôpital Santa Cabrini,RLS de Hochelaga - Mercier-Ouest - Rosemont,Hôpital Santa Cabrini,-73.5717163086,45.5801391602,"5655, rue Saint-Zotique Est",Montréal,QC,H1T1P7,Province of Quebec,QC_healthcare_establishments.csv
80,80,Institut de Cardiologie de Montréal,RLS de Hochelaga - Mercier-Ouest - Rosemont,ICM,-73.5778198242,45.573764801,"5000, rue Bélanger",Montréal,QC,H1T1C8,Province of Quebec,QC_healthcare_establishments.csv
81,81,Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie (1995) Inc.,RLS d'Ahuntsic - Montréal-Nord,Hôp. Marie-Clarac des Soeurs de Charité de Ste-Marie,-73.6497421265,45.5908355713,"3530, boulevard Gouin Est",Montréal,QC,H1H1B7,Province of Quebec,QC_healthcare_establishments.csv
82,82,Clinique communautaire de Pointe St-Charles,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Clinique communautaire de Pointe St-Charles,-73.556892395,45.4783477783,"500, avenue Ash",Montréal,QC,H3K2R4,Province of Quebec,QC_healthcare_establishments.csv
83,83,Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie,RLS de Sherbrooke,CRDITED de l'Estrie,-71.9151916504,45.4101142883,"1621, rue Prospect",Sherbrooke,QC,J1J1K4,Province of Quebec,QC_healthcare_establishments.csv
84,84,Maison Elizabeth,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,Maison Elizabeth,-73.606880188,45.4752159119,"2131, avenue de Marlowe",Montréal,QC,H4A3L4,Province of Quebec,QC_healthcare_establishments.csv
85,85,Centre Miriam,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre Miriam,-73.6618652344,45.4963607788,"8160, chemin Royden",Montréal,QC,H4P2T2,Province of Quebec,QC_healthcare_establishments.csv
86,86,Centre universitaire de santé McGill,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,CUSM,-73.5890350342,45.4970474243,"1001, boulevard Décarie",Montréal,QC,H4A3J1,Province of Quebec,QC_healthcare_establishments.csv
87,87,Havre-Jeunesse,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,Havre-Jeunesse,-73.5627212524,45.4601860046,"4360, boulevard Lasalle",Montréal,QC,H4G2A8,Province of Quebec,QC_healthcare_establishments.csv
88,88,Centre d'hébergement et de soins de longue durée Heather Inc.,RLS de Lanaudière-Nord,CHSLD Heather Inc.,-73.7022247314,46.0508613586,"3931, Lakeshore Drive",Matawinie,QC,J0K1S0,Province of Quebec,QC_healthcare_establishments.csv
89,89,L'Hôpital général juif Sir Mortimer B. Davis,RLS de Côte-des-Neiges - Métro - Parc-Extension,L'Hôpital général juif Sir Mortimer B. Davis,-73.6288070679,45.4978103638,"3755, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1E2,Province of Quebec,QC_healthcare_establishments.csv
90,90,Centre hospitalier universitaire Sainte-Justine,RLS de Côte-des-Neiges - Métro - Parc-Extension,CHU Sainte-Justine,-73.6249465942,45.5031547546,"3175, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1C5,Province of Quebec,QC_healthcare_establishments.csv
91,91,La résidence de Lachute,RLS d'Argenteuil,La résidence de Lachute,-74.339263916,45.6566467285,"377, rue Principale",Argenteuil,QC,J8H1Y1,Province of Quebec,QC_healthcare_establishments.csv
92,92,Centre de santé Tulattavik de l'Ungava,,Centre de santé Tulattavik de l'Ungava,-68.4052734375,58.1070480347,Kuujjuaq,Administration régionale Kativik,QC,J0M1C0,Province of Quebec,QC_healthcare_establishments.csv
93,93,Centre hospitalier de St. Mary,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre hospitalier de St. Mary,-73.6241378784,45.4949417114,"3830, avenue Lacombe",Montréal,QC,H3T1M5,Province of Quebec,QC_healthcare_establishments.csv
94,94,Institut national de psychiatrie légale Philippe-Pinel,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Institut national de psychiatrie légale Philippe-Pinel,-73.5336151123,45.6560554504,"10905, boulevard Henri-Bourassa Est",Montréal,QC,H1C1H1,Province of Quebec,QC_healthcare_establishments.csv
95,95,Résidence Riviera Inc.,RLS de Laval,Résidence Riviera Inc.,-73.7343673706,45.5486755371,"2999, boulevard Notre-Dame",Laval,QC,H7V4C4,Province of Quebec,QC_healthcare_establishments.csv
96,96,L'Hôpital chinois de Montréal (1963),RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,L'Hôpital chinois de Montréal (1963),-73.5581207275,45.5095558167,"189, avenue Viger Est",Montréal,QC,H2X3Y9,Province of Quebec,QC_healthcare_establishments.csv
97,97,Pavillon Ste-Marie Inc.,RLS de la Rivière-du-Nord - Mirabel-Nord,Pavillon Ste-Marie Inc.,-74.0083770752,45.8080062866,"45, rue du Pavillon",La Rivière-du-Nord,QC,J7Y3R6,Province of Quebec,QC_healthcare_establishments.csv
98,98,Les cèdres - Centre d'accueil pour personnes agées,RLS du Nord de l'Île - Saint-Laurent,Les cèdres - Centre d'accueil pour personnes agees,-73.6799240112,45.5170021057,"1275, boulevard de la Côte-Vertu",Montréal,QC,H4L4V2,Province of Quebec,QC_healthcare_establishments.csv
99,99,Centre d'hébergement du Boisé Ltée,RLS de Québec-Sud,Centre d'hébergement du Boisé Ltée,-71.321395874,46.754032135,"3690, boulevard Neilson",Québec,QC,G1W0A9,Province of Quebec,QC_healthcare_establishments.csv
100,100,La corporation du Centre hospitalier gériatrique Maimonides,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,La corporation du Centre hosp. gériatrique Maimonides,-73.6684265137,45.4715499878,"5795, avenue Caldwell",Montréal,QC,H4W1W3,Province of Quebec,QC_healthcare_establishments.csv
101,101,Pavillon Bellevue Inc.,RLS Alphonse-Desjardins,Pavillon Bellevue Inc.,-71.1567382813,46.819103241,"99, rue Monseigneur-Bourget",Lévis,QC,G6V9V2,Province of Quebec,QC_healthcare_establishments.csv
