,idx,facility_name,facility_type,health_authority,alternative_name,number_beds,longitude,latitude,street_addr,province,postal_code,phone,website,provider,filename
33,33,Eriksdale Personal Care Home,personal_care_homes,Interlake-Eastern,Eriksdale PCH,20,-98.1044,50.8649,40 Railway Avenue,MB,R0C 0W0,(204) 739-4416,,Province of Manitoba,MB_personal_care_homes.csv
34,34,Evergreen Personal Care Home,personal_care_homes,Prairie Mountain Health,Evergreen PCH,20,-100.06,49.2256,305 Mill Road,MB,R0K 0E0,(204) 534-2451,,Province of Manitoba,MB_personal_care_homes.csv
35,35,Extendicare Oakview Place,personal_care_homes,Winnipeg,Extendicare Oakview Place,245,-97.2652,49.8864,2395 Ness Avenue,MB,R3J 1A5,(204) 888-3005,http://www.extendicareoakviewplace.com/,Province of Manitoba,MB_personal_care_homes.csv
36,36,Extendicare Tuxedo Villa,personal_care_homes,Winnipeg,Extendicare Tuxedo Villa,213,-97.2132,49.8659,2060 Corydon Avenue,MB,R3P 0N3,(204) 889-2650,http://www.extendicaretuxedovilla.com/,Province of Manitoba,MB_personal_care_homes.csv
37,37,Extendicare Vista Park Lodge,personal_care_homes,Winnipeg,Extendicare Vista Park Lodge,100,-97.1066,49.8201,144 Novavista Drive,MB,R2N 1P8,(204) 257-6688,http://www.extendicarevistaparklodge.com/,Province of Manitoba,MB_personal_care_homes.csv
38,38,Fairview Home,personal_care_homes,Prairie Mountain Health,Fairview Home,248,-99.9545,49.8289,1351 - 13th Street,MB,R7A 4S6,(204) 578-2600,,Province of Manitoba,MB_personal_care_homes.csv
39,39,Fisher Personal Care Home,personal_care_homes,Interlake-Eastern,Fisher PCH,30,-97.6167,51.0815,7 Chalet Drive,MB,R0C 0Z0,(204) 372-8703,,Province of Manitoba,MB_personal_care_homes.csv
40,40,Flin Flon Personal Care Home,personal_care_homes,Northern,Flin Flon PCH,30,-101.877,54.7654,50 Church Street,MB,R8A 1N2,(204) 687-9630,,Province of Manitoba,MB_personal_care_homes.csv
41,41,Foyer Notre Dame,personal_care_homes,Southern Health-Santé Sud,Foyer Notre Dame,60,-98.5558,49.532,40 Rogers Street,MB,R0G 1M0,(204) 248-2092,,Province of Manitoba,MB_personal_care_homes.csv
42,42,Fred Douglas Lodge,personal_care_homes,Winnipeg,Fred Douglas Lodge,136,-97.1756,49.9296,1275 Burrows Avenue,MB,R2X 0B8,(204) 586-8541,https://www.freddouglassociety.com/pch/,Province of Manitoba,MB_personal_care_homes.csv
43,43,Gilbert Plains Health Centre,personal_care_homes,Prairie Mountain Health,Gilbert Plains HC,30,-100.484,51.1499,100 Cuthforth Street North,MB,R0L 0X0,(204) 548-2161,http://www.gilbertplains.com/,Province of Manitoba,MB_personal_care_homes.csv
44,44,Glenboro Personal Care Home,personal_care_homes,Prairie Mountain Health,Glenboro PCH,20,-99.2858,49.5596,219 Murray Avenue,MB,R0K 0X0,(204) 827-2438,,Province of Manitoba,MB_personal_care_homes.csv
45,45,Golden Door Geriatric Centre,personal_care_homes,Winnipeg,Golden Door Geriatric Centre,78,-97.1539,49.8283,1679 Pembina Highway,MB,R3T 2G6,(204) 269-6308,http://www.goldendoor.ca/,Province of Manitoba,MB_personal_care_homes.csv
46,46,Golden Links Lodge,personal_care_homes,Winnipeg,Golden Links Lodge,88,-97.1168,49.8019,2280 Saint Mary's Road,MB,R2N 3Z6,(204) 257-9947,http://www.goldenlinks.mb.ca/,Province of Manitoba,MB_personal_care_homes.csv
47,47,Golden West Centennial Lodge,personal_care_homes,Winnipeg,Golden West Centennial Lodge,116,-97.2879,49.8887,811 School Road,MB,R2Y 0S8,(2040 888-3311,https://www.goldenwestlodge.ca/,Province of Manitoba,MB_personal_care_homes.csv
48,48,Goodwin Lodge Personal Care Home,personal_care_homes,Interlake-Eastern,Goodwin Lodge PCH,20,-97.2549,50.3869,162 - 3rd Avenue Southeast,MB,R0C 3B0,(204) 886-2108,,Province of Manitoba,MB_personal_care_homes.csv
49,49,Grandview Personal Care Home,personal_care_homes,Prairie Mountain Health,Grandview PCH,39,-100.695,51.1754,308 Jackson Street,MB,R0L 0Y0,(204) 546-2769,,Province of Manitoba,MB_personal_care_homes.csv
50,50,Hartney Community Health Centre,personal_care_homes,Prairie Mountain Health,Hartney Community HC,20,-100.527,49.4844,617 River Avenue,MB,R0M 0X0,(204) 858-2054,,Province of Manitoba,MB_personal_care_homes.csv
51,51,Heritage Life Personal Care Home,personal_care_homes,Southern Health-Santé Sud,Heritage Life PCH,80,-97.047,49.6028,100A Heritage Trail,MB,R0A 0A1,(204) 388-5000,http://heritagecentre.ca/personal-care-home/,Province of Manitoba,MB_personal_care_homes.csv
52,52,Heritage Lodge,personal_care_homes,Winnipeg,Heritage Lodge,86,-97.3075,49.8833,3555 Portage Avenue,MB,R3K 0X2,(204) 888-7940,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/heritage-lodge,Province of Manitoba,MB_personal_care_homes.csv
53,53,Hillcrest Place Personal Care Home,personal_care_homes,Prairie Mountain Health,Hillcrest Place PCH,100,-99.974,49.8352,930 26th Street,MB,R7B 2B8,(204) 728-6690,http://www.extendicarehillcrestplace.com/,Province of Manitoba,MB_personal_care_homes.csv
54,54,Holy Family Home,personal_care_homes,Winnipeg,Holy Family Home,276,-97.1303,49.9167,165 Aberdeen Avenue,MB,R2W 1T9,(204) 589-7381,https://www.holyfamilyhome.mb.ca/,Province of Manitoba,MB_personal_care_homes.csv
55,55,Kildonan Personal Care Centre,personal_care_homes,Winnipeg,Kildonan Personal CC,120,-97.0727,49.9574,1970 Henderson Highway,MB,R2G 1P2,(204) 334-4633,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/kildonan,Province of Manitoba,MB_personal_care_homes.csv
56,56,Kin Place Personal Care Home,personal_care_homes,Interlake-Eastern,Kin Place PCH,40,-96.8409,49.9445,680 Pine Drive,MB,R5N 0P8,(204) 444-2004,,Province of Manitoba,MB_personal_care_homes.csv
57,57,Lac du Bonnet Personal Care Home,personal_care_homes,Interlake-Eastern,Lac du Bonnet PCH,30,-96.0608,50.2535,75 McIntosh Street,MB,R0E 1A0,(204) 345-1222,,Province of Manitoba,MB_personal_care_homes.csv
58,58,Lions Personal Care Centre,personal_care_homes,Winnipeg,Lions Personal CC,116,-97.1596,49.8891,320 Sherbrook Street,MB,R3B 2W6,(204) 784-1240,http://lhc.ca/services/long-term-care/lions-personal-care-centre/,Province of Manitoba,MB_personal_care_homes.csv
59,59,Lions Prairie Manor,personal_care_homes,Southern Health-Santé Sud,Lions Prairie Manor,136,-98.2773,49.9718,24 - 9th Street South East,MB,R1N 3V4,(204) 857-7864,,Province of Manitoba,MB_personal_care_homes.csv
60,60,Lundar Personal Care Home,personal_care_homes,Interlake-Eastern,Lundar PCH,20,-98.0385,50.6947,97 1st Street South,MB,R0C 1Y0,(204) 762-5663,,Province of Manitoba,MB_personal_care_homes.csv
61,61,Luther Home,personal_care_homes,Winnipeg,Luther Home,80,-97.123,49.9451,1081 Andrews Street,MB,R2V 2G9,(204) 338-4641,https://www.lutherhome.com/,Province of Manitoba,MB_personal_care_homes.csv
62,62,MacGregor Personal Care Home,personal_care_homes,Southern Health-Santé Sud,MacGregor PCH,20,-98.776,49.9626,87 Grafton Street South,MB,R0H 0R0,(204) 685-2850,,Province of Manitoba,MB_personal_care_homes.csv
63,63,Maples Personal Care Home,personal_care_homes,Winnipeg,Maples PCH,200,-97.1837,49.9603,500 Mandalay Drive,MB,R2P 1V4,(204) 632-8570,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/maples,Province of Manitoba,MB_personal_care_homes.csv
64,64,McCreary/Alonsa Personal Care Home,personal_care_homes,Prairie Mountain Health,McCreary/Alonsa PCH,20,-99.4863,50.7723,613 Provincial Trunk Highway 50,MB,R0J 1B0,(204) 835-2482,,Province of Manitoba,MB_personal_care_homes.csv
65,65,Meadowood Manor,personal_care_homes,Winnipeg,Meadowood Manor,88,-97.0897,49.8348,577 Saint Anne's Road,MB,R2M 5B2,(204) 257-2394,http://www.meadowoodmanor.ca/,Province of Manitoba,MB_personal_care_homes.csv
66,66,Melita Personal Care Home,personal_care_homes,Prairie Mountain Health,Melita PCH,20,-100.995,49.2711,147 Summit Street,MB,R0M 1L0,(204) 522-8197,,Province of Manitoba,MB_personal_care_homes.csv
67,67,Menno Home for the Aged,personal_care_homes,Southern Health-Santé Sud,Menno Home for the Aged,40,-96.8617,49.4058,235 Park Street,MB,R0A 0R0,(204) 434-6496,,Province of Manitoba,MB_personal_care_homes.csv
68,68,Middlechurch Home of Winnipeg,personal_care_homes,Winnipeg,Middlechurch Home of Winnipeg,197,-97.0638,49.979,280 Balderstone Road,MB,R4A 4A6,(204) 339-1947,https://middlechurchhome.mb.ca/,Province of Manitoba,MB_personal_care_homes.csv
69,69,Minnedosa Personal Care Home,personal_care_homes,Prairie Mountain Health,Minnedosa PCH,50,-99.8436,50.246,138 - 3rd Avenue South West,MB,R0J 1E0,(204) 867-2569,,Province of Manitoba,MB_personal_care_homes.csv
70,70,Misericordia Place,personal_care_homes,Winnipeg,Misericordia Place,100,-97.1586,49.8799,44 Furby Street,MB,R3C 2A1,(204) 774-6581,https://misericordia.mb.ca/programs/long-term-care/misericordia-place/,Province of Manitoba,MB_personal_care_homes.csv
71,71,Morley House Personal Care Home,personal_care_homes,Prairie Mountain Health,Morley House PCH,40,-100.594,50.4384,524 Mary Street,MB,R0J 1Z0,(204) 759-2336,,Province of Manitoba,MB_personal_care_homes.csv
72,72,Nisichawayasihk Personal Care Home,personal_care_homes,Northern,Nisichawayasihk PCH,24,-98.8882,55.7829,2 Otetiskiwin Drive,MB,R0B 1A0,(204) 484-2350,http://ncnpch.com/,Province of Manitoba,MB_personal_care_homes.csv
73,73,Northern Lights Manor,personal_care_homes,Northern,Northern Lights Manor,36,-101.847,54.7782,274 Bracken Street,MB,R8A 1P4,(204) 687-7325,,Province of Manitoba,MB_personal_care_homes.csv
74,74,Northern Spirit Manor,personal_care_homes,Northern,Northern Spirit Manor,35,-97.8562,55.7336,879 Thompson Drive,MB,R8N 0A9,(204) 778-3805,,Province of Manitoba,MB_personal_care_homes.csv
75,75,Park Manor Care,personal_care_homes,Winnipeg,Park Manor Care,100,-96.9814,49.9001,301 Redonda Street,MB,R2C 1L7,(204) 222-3251,http://www.adventisthealth.ca/park-manor-care/,Province of Manitoba,MB_personal_care_homes.csv
76,76,Parkview Place,personal_care_homes,Winnipeg,Parkview Place,261,-97.1499,49.897,440 Edmonton Street,MB,R3B 2M4,(204) 942-5291,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/parkview-place,Province of Manitoba,MB_personal_care_homes.csv
77,77,Pembina Place Mennonite Personal Care Home,personal_care_homes,Winnipeg,Pembina Place Mennonite PCH,57,-97.1443,49.8726,285 Pembina Highway,MB,R3L 2E1,(204) 284-0802,https://bethania.ca/services/pembina-place-mennonite-pch/,Province of Manitoba,MB_personal_care_homes.csv
78,78,Pembina-Manitou Health Centre,personal_care_homes,Southern Health-Santé Sud,Pembina-Manitou HC,18,-98.5441,49.2418,232 Carrie Street,MB,R0G 1G0,(204) 242-2744,,Province of Manitoba,MB_personal_care_homes.csv
79,79,Pinaow Wachi Personal Care Home,personal_care_homes,Northern,Pinaow Wachi PCH,26,-97.7879,53.9962,Building 305 Rossville,MB,R8N 1B0,(204) 359-6606,,Province of Manitoba,MB_personal_care_homes.csv
80,80,Pioneer Health Services,personal_care_homes,Interlake-Eastern,Pioneer,40,-97.2263,50.9052,233 Saint Phillips Drive,MB,R0C 0A0,(204) 376-5226,,Province of Manitoba,MB_personal_care_homes.csv
81,81,Poseidon Care Centre,personal_care_homes,Winnipeg,Poseidon CC,218,-97.1743,49.8532,70 Poseidon Bay,MB,R3M 3E5,(204) 452-6204,https://reveraliving.com/en/live-with-us/manitoba/winnipeg/poseidon,Province of Manitoba,MB_personal_care_homes.csv
82,82,Prairie View Lodge,personal_care_homes,Southern Health-Santé Sud,Prairie View Lodge,30,-98.9009,49.2051,Apartment 26 - 424 Broadway Avenue West,MB,R0G 1P0,(204) 825-2717,https://rocklakehealthdistrict.ca/prairie-view-lodge/,Province of Manitoba,MB_personal_care_homes.csv
83,83,Red River Place,personal_care_homes,Interlake-Eastern,Red River Place,104,-96.8835,50.1286,133 Manchester Avenue,MB,R1A 0B5,(204) 482-3036,http://www.extendicareredriverplace.com/,Province of Manitoba,MB_personal_care_homes.csv
84,84,Red River Valley Lodge,personal_care_homes,Southern Health-Santé Sud,Red River Valley Lodge,40,-97.366,49.3535,136 Ottawa Street West,MB,R0G 1K0,(204) 746-2394,https://www.townofmorris.ca/residents/seniors-services/red-river-valley-lodge/,Province of Manitoba,MB_personal_care_homes.csv
85,85,Repos Jolys,personal_care_homes,Southern Health-Santé Sud,Repos Jolys,22,-96.9898,49.4446,354 Prefontaine Avenue,MB,R0A 1V0,(204) 433-7443,,Province of Manitoba,MB_personal_care_homes.csv
86,86,Rest Haven Nursing Home,personal_care_homes,Southern Health-Santé Sud,Rest Haven Nursing Home,60,-96.6961,49.5243,185 Woodhaven Avenue,MB,R5G 1K7,(204) 326-2206,"https://www.havengroup.ca/rest-haven.html#:~:text=Rest%20Haven%20Nursing%20Home%20had%20its%20beginnings%20in,care%20home%20licensed%20and%20funded%20by%20Manitoba%20Health.",Province of Manitoba,MB_personal_care_homes.csv
87,87,Rideau Park Personal Care Home,personal_care_homes,Prairie Mountain Health,Rideau Park PCH,100,-99.9315,49.8431,525 Victoria Avenue East,MB,R7A 6S9,(204) 578-2670,,Province of Manitoba,MB_personal_care_homes.csv
88,88,River East Personal Care Home,personal_care_homes,Winnipeg,River East PCH,120,-97.0536,49.9213,1375 Molson Street,MB,R2K 4K8,(204) 668-7460,http://www.rivereast.ca/,Province of Manitoba,MB_personal_care_homes.csv
89,89,River Park Gardens,personal_care_homes,Winnipeg,River Park Gardens,80,-97.082,49.8231,735 Saint Anne's Road,MB,R2N 0C4,(204) 255-9073,,Province of Manitoba,MB_personal_care_homes.csv
90,90,Riverdale Personal Care Home,personal_care_homes,Prairie Mountain Health,Riverdale PCH,20,-100.241,50.0345,512 Quebec Street,MB,R0K 1X0,(204) 328-5321,,Province of Manitoba,MB_personal_care_homes.csv
91,91,Riverview Health Centre,personal_care_homes,Winnipeg,Riverview HC,257,-97.1206,49.8689,1 Morley Avenue,MB,R3L 2P4,(204) 478-6203,https://www.riverviewhealthcentre.com/,Province of Manitoba,MB_personal_care_homes.csv
92,92,Rock Lake Health District Personal Care Home,personal_care_homes,Southern Health-Santé Sud,Rock Lake Health District PCH,24,-98.901,49.2044,Apartment 27 -115 Brown Street South,MB,R0G 1P0,(204) 825-2246,https://rocklakehealthdistrict.ca/rock-lake-personal-care-home/,Province of Manitoba,MB_personal_care_homes.csv
93,93,Rosewood Lodge Personal Care Home,personal_care_homes,Interlake-Eastern,Rosewood Lodge PCH,50,-97.332,50.1368,513 - 1st Avenue North,MB,R0C 2Z0,(204) 467-5257,,Province of Manitoba,MB_personal_care_homes.csv
94,94,Rossburn Personal Care Home,personal_care_homes,Prairie Mountain Health,Rossburn PCH,20,-100.805,50.6675,116 Parkview Drive,MB,R0J 1V0,(204) 859-2413,,Province of Manitoba,MB_personal_care_homes.csv
95,95,Russell Personal Care Home,personal_care_homes,Prairie Mountain Health,Russell PCH,40,-101.287,50.7854,113 Arsini Street East,MB,R0J 1W0,(204) 773-3117,,Province of Manitoba,MB_personal_care_homes.csv
96,96,Saint Claude Health Centre,personal_care_homes,Southern Health-Santé Sud,Saint Claude HC,18,-98.3449,49.6539,33 Roy Street,MB,R0G 1Z0,(2040 379-2585,,Province of Manitoba,MB_personal_care_homes.csv
97,97,Saint Norbert Personal Care Home,personal_care_homes,Winnipeg,Saint Norbert PCH,91,-97.1428,49.7663,50 Rue Saint Pierre Street,MB,R3V 1J6,(204) 269-4538,,Province of Manitoba,MB_personal_care_homes.csv
98,98,Salem Home Inc.,personal_care_homes,Southern Health-Santé Sud,Salem Home Inc.,146,-97.9554,49.1784,165 - 15th Street,MB,R6W 1T8,(204) 325-4316,https://salemhome.ca/salem-living/about-salem-home/,Province of Manitoba,MB_personal_care_homes.csv
99,99,Sandy Lake Personal Care Home,personal_care_homes,Prairie Mountain Health,Sandy Lake PCH,35,-100.179,50.5286,106 - 1st Street West,MB,R0J 1X0,(204) 585-2107,,Province of Manitoba,MB_personal_care_homes.csv
100,100,Sherwood Nursing Home,personal_care_homes,Prairie Mountain Health,Sherwood Nursing Home,45,-100.93,49.8552,223 Hargrave Street East,MB,R0M 2C0,(204) 748-1546,,Province of Manitoba,MB_personal_care_homes.csv
101,101,Souris Personal Care Home,personal_care_homes,Prairie Mountain Health,Souris PCH,43,-100.249,49.6148,155 Brindle Avenue East,MB,R0K 2C0,(204) 483-2121,,Province of Manitoba,MB_personal_care_homes.csv
102,102,Southeast Personal Care Home,personal_care_homes,Winnipeg,Southeast PCH,80,-97.1671,49.7975,1265 Lee Boulevard,MB,R3T 2M3,(204) 269-7111,https://www.serdc.mb.ca/programs-and-services/sepersonalcarehome,Province of Manitoba,MB_personal_care_homes.csv
103,103,St Paul's Home,personal_care_homes,Prairie Mountain Health,St Paul's Home,70,-100.064,51.1426,703 Jackson Street,MB,R7N 2N2,(204) 638-3129,,Province of Manitoba,MB_personal_care_homes.csv
104,104,St. Paul's Residence,personal_care_homes,Northern,St. Paul's Residence,60,-101.252,53.8271,34 - 2nd Street,MB,R9A 1K4,(204) 623-9226,,Province of Manitoba,MB_personal_care_homes.csv
105,105,Sunnyside Manor,personal_care_homes,Prairie Mountain Health,Sunnyside Manor,20,-101.046,50.426,843 Gertrude Street,MB,R0M 0C0,(204) 842-3317,,Province of Manitoba,MB_personal_care_homes.csv
106,106,Sunnywood Manor Personal Care Home,personal_care_homes,Interlake-Eastern,Sunnywood Manor PCH,20,-96.2156,50.5637,4 Spruce Street,MB,R0E 1M0,(204) 367-8201,,Province of Manitoba,MB_personal_care_homes.csv
107,107,Swan River Valley Personal Care Home,personal_care_homes,Prairie Mountain Health,Swan River Valley PCH,45,-101.262,52.1006,334 8th Avenue South,MB,R0L 1Z0,(204) 734-4521,,Province of Manitoba,MB_personal_care_homes.csv
108,108,Swan Valley Lodge Personal Care Home,personal_care_homes,Prairie Mountain Health,Swan Valley Lodge PCH,70,-101.26,52.1059,1013 Main Street East,MB,R0L 1Z0,(204) 734-3441,,Province of Manitoba,MB_personal_care_homes.csv
109,109,Tabor Home Inc.,personal_care_homes,Southern Health-Santé Sud,Tabor Home Inc.,100,-98.0897,49.1946,450 Loren Street,MB,R6M 0E2,(204) 822-4848,http://www.taborhome.ca/,Province of Manitoba,MB_personal_care_homes.csv
110,110,The Convalescent Home of Winnipeg,personal_care_homes,Winnipeg,The Convalescent Home of Winnipeg,84,-97.1501,49.8706,276 Hugo Street North,MB,R3M 2N6,(204) 453-4663,http://www.tchw.com/,Province of Manitoba,MB_personal_care_homes.csv
111,111,The Saul and Claribel Simkin Centre,personal_care_homes,Winnipeg,The Saul and Claribel Simkin Centre,200,-97.1925,49.8233,1 Falcon Ridge Drive,MB,R3Y 1V9,(204) 586-9781,https://www.simkincentre.ca/,Province of Manitoba,MB_personal_care_homes.csv
112,112,Third Crossing Manor,personal_care_homes,Southern Health-Santé Sud,Third Crossing Manor,50,-98.9604,50.2265,175 Dennis Street West,MB,R0J 0T0,(204) 385-2474,,Province of Manitoba,MB_personal_care_homes.csv
113,113,Tiger Hills Manor,personal_care_homes,Prairie Mountain Health,Tiger Hills Manor,22,-98.6983,49.6349,64 Clark Street,MB,R0G 2V0,(204) 723-2133,,Province of Manitoba,MB_personal_care_homes.csv
