idx,facility_name,facility_type,health_authority,longitude,latitude,phone,email,website,provider
48,Walk-in Clinic,Walk In Medical Clinics,Nechako Medical Clinic,-122.7609,53.910359,2506456900.0,,,Province of British Columbia
49,Nursing Station,Walk In Medical Clinics,Sandspit Medical Clinic,-131.817065,53.243312,2506375403.0,,https://haidagwaiihealth.ca/clinics/sandspit/,Province of British Columbia
50,Walk-in Clinic,Walk In Medical Clinics,Mission Medical Centre,-119.489935,49.855356,2508688222.0,,,Province of British Columbia
51,Walk-in Clinic,Walk In Medical Clinics,Orchard Medical Centre,-119.443356,49.877565,2508613235.0,,,Province of British Columbia
52,Walk-in Clinic,Walk In Medical Clinics,Oak Bay Medical Clinic,-123.334374,48.426478,2505986744.0,,,Province of British Columbia
53,Walk-in Clinic,Walk In Medical Clinics,Moss Rock Medical Centre,-123.349207,48.415738,2504188878.0,,https://www.mossrockmedical.ca/,Province of British Columbia
54,Walk-in Clinic,Walk In Medical Clinics,West Kelowna Walk-in and Family Practice,-119.610073,49.841992,2507686985.0,,,Province of British Columbia
55,Walk-in Clinic,Walk In Medical Clinics,Sicamous Medical Clinic,-118.98931,50.836895,2508362817.0,,,Province of British Columbia
56,Walk-in Clinic,Walk In Medical Clinics,Apple Plaza Walk-in Clinic,-119.583924,49.478033,2504935228.0,,,Province of British Columbia
57,Walk-in Clinic,Walk In Medical Clinics,Coach House Square Medical Clinic,-121.297302,51.673407,2503951143.0,,,Province of British Columbia
58,Walk-in Clinic,Walk In Medical Clinics,Lakeshore Medical Centre,-119.431768,49.881024,2507648878.0,,,Province of British Columbia
59,Walk-in Clinic,Walk In Medical Clinics,Salmon Arm Medical Clinic,-119.278208,50.703316,2508326092.0,,,Province of British Columbia
60,Walk-in Clinic,Walk In Medical Clinics,Granville Medical Clinic,-123.138565,49.262912,6047334700.0,,,Province of British Columbia
61,Walk-in Clinic,Walk In Medical Clinics,Quinsam Medical Group,-125.245769,49.973673,7784183888.0,,,Province of British Columbia
62,Walk-in Clinic,Walk In Medical Clinics,Soltani Medical Clinic,-122.788557,49.273832,6045529140.0,,https://www.soltanimedicalclinic.com/,Province of British Columbia
63,Walk-in Clinic,Walk In Medical Clinics,Fairfield Medical Treatment Centre,-123.322827,48.432404,2505923496.0,,,Province of British Columbia
64,Walk-in Clinic,Walk In Medical Clinics,Yaletown Medical Clinic,-123.12342,49.273447,6046332474.0,,http://www.yaletownmedicalclinic.ca/,Province of British Columbia
65,Walk-in Clinic,Walk In Medical Clinics,Tillicum Medical Clinic,-123.39404,48.453374,2503818112.0,,https://www.tillicummedicalclinic.ca/,Province of British Columbia
66,Walk-in Clinic,Walk In Medical Clinics,Hilltop Medical Clinic,-122.798056,49.031121,6045315575.0,,http://hilltopmedical.ca/walk-in-clinic/,Province of British Columbia
67,Walk-in Clinic,Walk In Medical Clinics,Gibsons Medical Associates,-123.530368,49.40658,6048862868.0,,http://gibsonsmedicalassociates.net/clinicsandwalkins.html,Province of British Columbia
68,Walk-in Clinic,Walk In Medical Clinics,Spall Medical Centre,-119.453794,49.882804,2508609909.0,,,Province of British Columbia
69,Walk-in Clinic,Walk In Medical Clinics,Ellwood Medical Clinic,-122.378818,49.060779,6047464700.0,,,Province of British Columbia
70,Walk-in Clinic,Walk In Medical Clinics,Mission Hills Medical Clinic,-122.32574,49.133002,6048267751.0,,https://mission-hills-medical-clinic.business.site/,Province of British Columbia
71,Walk-in Clinic,Walk In Medical Clinics,Allwood Medical Centre,-122.319815,49.051728,6048506893.0,,,Province of British Columbia
72,Walk-in Clinic,Walk In Medical Clinics,FirstCare Medical Centre,-123.069778,49.261542,6048711535.0,,,Province of British Columbia
73,Walk-in Clinic,Walk In Medical Clinics,James Bay Medical Treatment Centre,-123.373591,48.415986,2503889934.0,,,Province of British Columbia
74,Walk-in Clinic,Walk In Medical Clinics,Shelbourne Medical Clinic,-123.333229,48.448582,2505928485.0,,https://shelbournemedicalclinic.com/,Province of British Columbia
75,Walk-in Clinic,Walk In Medical Clinics,Sea To Sky Walk In Clinic,-123.132852,49.736349,6048985555.0,,,Province of British Columbia
76,Walk-in Clinic,Walk In Medical Clinics,Peach City Medical and Urgent Care Clinic,-119.583878,49.472813,2502765050.0,,,Province of British Columbia
77,Walk-in Clinic,Walk In Medical Clinics,Coast Medical,-123.122335,49.278383,6045693632.0,,https://coastmedical.ca/contact,Province of British Columbia
78,Walk-in Clinic,Walk In Medical Clinics,Aquarius Medical Clinic,-123.120741,49.273776,6046697772.0,,http://aquariusmedical.ca/,Province of British Columbia
79,Walk-in Clinic,Walk In Medical Clinics,Lonsdale Medical Clinics,-123.071945,49.327193,6049873347.0,,http://www.lonsdaleclinic.com/home.html,Province of British Columbia
80,Walk-in Clinic,Walk In Medical Clinics,Lonsdale Medical Clinics,-123.071443,49.323646,6049830054.0,,http://www.lonsdaleclinic.com/home.html,Province of British Columbia
81,Walk-in Clinic,Walk In Medical Clinics,Parker Place Medical Clinic,-123.136564,49.181851,6042739899.0,,,Province of British Columbia
82,Walk-in Clinic,Walk In Medical Clinics,Wave Medical Clinic,-123.12848,49.279513,6045584044.0,,http://www.wavemedicalclinic.com,Province of British Columbia
83,Walk-in Clinic,Walk In Medical Clinics,Park and Tilford Medical Treatment Centre,-123.04047,49.308678,6049832442.0,,,Province of British Columbia
84,Walk-in Clinic,Walk In Medical Clinics,The Bridge Medical Clinic,-125.129046,49.869856,7784200200.0,,https://www.thebridgeclinic.ca/,Province of British Columbia
85,Walk-in Clinic,Walk In Medical Clinics,Town Plaza Medical Clinic,-122.955944,50.117232,6049057089.0,,http://www.medicalclinicwhistler.com/,Province of British Columbia
86,Walk-in Clinic,Walk In Medical Clinics,Avecina Medical Clinic,-122.650601,49.103208,6045391744.0,,,Province of British Columbia
87,Walk-in Clinic,Walk In Medical Clinics,West Steveston Medical Clinic,-123.15786,49.117443,6044489595.0,,https://weststevestonmedicalclinic.com/,Province of British Columbia
88,Walk-in Clinic,Walk In Medical Clinics,Maple Medical Clinic,-123.151159,49.263854,6047309769.0,,,Province of British Columbia
89,Walk-in Clinic,Walk In Medical Clinics,Brentwood Medical Clinic,-123.00166,49.266485,6042948540.0,,http://www.brentwoodwalk-inclinic.com/index.html,Province of British Columbia
90,Walk-in Clinic,Walk In Medical Clinics,Cook Road Medical Clinic,-123.134096,49.166673,6042791942.0,,,Province of British Columbia
91,Walk-in Clinic,Walk In Medical Clinics,Lonsdale Medical Clinic,-123.071886,49.318173,6049048804.0,,https://wellclinics.ca/properties/lonsdale-medical-clinic/,Province of British Columbia
92,Walk-in Clinic,Walk In Medical Clinics,Boundary Park Medical Centre,-122.890172,49.118235,6045916300.0,,,Province of British Columbia
93,Walk-in Clinic,Walk In Medical Clinics,Clover Care Medical Clinic,-122.730256,49.104124,6045747883.0,,https://wellclinics.ca/properties/clovercare-medical-clinic/,Province of British Columbia
94,Walk-in Clinic,Walk In Medical Clinics,Cottonwood Medical Clinic,-122.561484,49.22069,6044769705.0,,,Province of British Columbia
95,Walk-in Clinic,Walk In Medical Clinics,West Vancouver Beachside Medical,-123.15454,49.32737,6049227390.0,,http://healthwisemedical.dignifiedliving.ca/index.php?option=com_content&view=category&layout=blog&id=28&Itemid=224,Province of British Columbia
96,Walk-in Clinic,Walk In Medical Clinics,Pemberton Marine Medical Clinic,-123.10837,49.324102,6049860677.0,,https://wellclinics.ca/properties/pemberton-marine-medical-clinic/,Province of British Columbia
97,Walk-in Clinic,Walk In Medical Clinics,Jubilee Medical Clinic and Treatment Centre,-123.330528,48.429847,2505923441.0,,https://jubileemedicalclinic.com/,Province of British Columbia
98,Walk-in Clinic,Walk In Medical Clinics,Pacific Medical Clinic,-123.090632,49.2286,6043019955.0,,,Province of British Columbia
99,Walk-in Clinic,Walk In Medical Clinics,Pacific Medical Clinic,-123.06485,49.244632,6048745555.0,,,Province of British Columbia
100,Walk-in Clinic,Walk In Medical Clinics,Pacific Medical Clinic,-123.036662,49.258207,6044342222.0,,,Province of British Columbia
101,Walk-in Clinic,Walk In Medical Clinics,Cedar Care Clinic,-122.327389,49.133045,6048207676.0,,http://www.cedarcareclinic.ca/hours.html,Province of British Columbia
102,Walk-in Clinic,Walk In Medical Clinics,Powell River Medical Clinic,-124.520327,49.832069,6044855501.0,,https://www.powellriverclinic.ca/,Province of British Columbia
103,Walk-in Clinic,Walk In Medical Clinics,Royal Columbia Medical Clinic,-122.892883,49.225627,6045227363.0,,https://royalcolumbiamedicalclinic.ca/,Province of British Columbia
104,Walk-in Clinic,Walk In Medical Clinics,Fraser Highway Medical Clinic,-122.474845,49.058206,6048561717.0,,,Province of British Columbia
105,Walk-in Clinic,Walk In Medical Clinics,Glover Medical Centre,-122.65072,49.108106,6045303233.0,,https://www.glovermedical.com/schedule/,Province of British Columbia
106,Walk-in Clinic,Walk In Medical Clinics,J-Von Medical Centre,-123.003865,49.225261,7783798299.0,,http://www.jvonmedicals.ca/,Province of British Columbia
107,Walk-in Clinic,Walk In Medical Clinics,Welcome Medical Clinic,-122.927954,49.219204,,,http://welcomemedical.ca/schedule,Province of British Columbia
108,Walk-in Clinic,Walk In Medical Clinics,Able Care Medical Clinic,-122.795021,49.277419,6049457819.0,,https://wellclinics.ca/properties/able-care-medical-clinic/,Province of British Columbia
109,Walk-in Clinic,Walk In Medical Clinics,Point Grey Medical Clinic,-123.207511,49.26383,7783794448.0,,https://wellclinics.ca/properties/point-grey-medical-clinic/,Province of British Columbia
110,Walk-in Clinic,Walk In Medical Clinics,Kensington Walk-in and Paediatric Medical Clinic,-122.968239,49.279428,6042999769.0,,https://www.kensingtonmedicalclinic.com/,Province of British Columbia
111,Walk-in Clinic,Walk In Medical Clinics,Ridge Meadows Care Clinic,-122.671707,49.221288,6044659188.0,,,Province of British Columbia
112,Walk-in Clinic,Walk In Medical Clinics,Medcare Plus Medical Clinic,-122.931687,49.222443,6046003911.0,,https://medcareplus.ca/,Province of British Columbia
113,Walk-in Clinic,Walk In Medical Clinics,Peninsula Medical Clinic,-122.796387,49.045582,6045314131.0,,http://www.peninsulamedicalclinic.ca/slide-view/services/,Province of British Columbia
114,Walk-in Clinic,Walk In Medical Clinics,Plateau Medical Clinic,-122.803349,49.297014,6044681500.0,,,Province of British Columbia
115,Walk-in Clinic,Walk In Medical Clinics,New Pitt Meadows Medical Clinic,-122.690225,49.224038,6044654911.0,,http://newpittmeadowsmedicalclinic.ca/,Province of British Columbia
116,Walk-in Clinic,Walk In Medical Clinics,Broadway Station Medical Clinic,-123.069626,49.26194,6048725377.0,,,Province of British Columbia
117,Walk-in Clinic,Walk In Medical Clinics,HealthVue Medical Clinic,-123.09342,49.184268,,,https://healthvuemedical.com/contact/,Province of British Columbia
118,Walk-in Clinic,Walk In Medical Clinics,Khazamipour Medical Services,-123.13489,49.166534,6042311924.0,,,Province of British Columbia
119,Walk-in Clinic,Walk In Medical Clinics,Safa Medical Clinic,-122.662404,49.165841,6048884472.0,,,Province of British Columbia
120,Walk-in Clinic,Walk In Medical Clinics,Manchenda Medical Clinic,-122.845528,49.139977,6045989880.0,,,Province of British Columbia
121,Walk-in Clinic,Walk In Medical Clinics,Kwantlen Medical Clinic,-122.867417,49.13365,6045728161.0,,,Province of British Columbia
122,Walk-in Clinic,Walk In Medical Clinics,Station Square Medical Clinic,-123.004463,49.227868,6044388288.0,,,Province of British Columbia
123,Walk-in Clinic,Walk In Medical Clinics,Khatsahlano Medical Clinics,-123.356852,48.413923,2502209999.0,,https://www.cookstclinic.ca/,Province of British Columbia
124,Walk-in Clinic,Walk In Medical Clinics,Khatsahlano Medical Clinics,-123.166009,49.264068,6047319187.0,,http://khatsclinic.ca/schedule/kitsilano,Province of British Columbia
125,Walk-in Clinic,Walk In Medical Clinics,Old Orchard Medical Clinic,-123.005129,49.231407,6044316585.0,,https://burnabymedicalclinic.com/medical-services/walk-in-clinic-burnaby/,Province of British Columbia
126,Walk-in Clinic,Walk In Medical Clinics,Triton Medical Clinic,-122.890373,49.15231,6045949990.0,,https://wellclinics.ca/properties/triton-medical-clinic/,Province of British Columbia
127,Walk-in Clinic,Walk In Medical Clinics,Valley Centre Medical Clinic,-122.673359,49.11821,6045349284.0,,,Province of British Columbia
128,Walk-in Clinic,Walk In Medical Clinics,Willoughby Medical Centre,-122.662595,49.122595,6045148800.0,,http://www.willoughbymedical.ca/contactus.htm,Province of British Columbia
129,Walk-in Clinic,Walk In Medical Clinics,Highgate Medical Clinic,-122.955384,49.218204,6047779101.0,,https://medical.highgateclinic.ca/,Province of British Columbia
130,Walk-in Clinic,Walk In Medical Clinics,The Doctors' Office,-123.121538,49.263577,6047348252.0,,http://thedoctorsofficevancouver.com/,Province of British Columbia
131,Walk-in Clinic,Walk In Medical Clinics,Willowbrook Medical Clinic,-122.678664,49.115513,6045301333.0,,,Province of British Columbia
132,Walk-in Clinic,Walk In Medical Clinics,Richmond Central Medical Clinic,-123.136592,49.170249,7782974700.0,,https://wellclinics.ca/properties/richmond-central-medical-centre/,Province of British Columbia
133,Walk-in Clinic,Walk In Medical Clinics,Panorama Village Medical Clinic,-122.80326,49.104505,6045740481.0,,https://wellclinics.ca/properties/panorama-medical-clinic/,Province of British Columbia
134,Walk-in Clinic,Walk In Medical Clinics,Mount Seymour Medical Clinic,-123.024409,49.311582,6049047712.0,,http://healthwisemedical.dignifiedliving.ca/index.php?option=com_content&view=category&layout=blog&id=22&Itemid=113,Province of British Columbia
135,Walk-in Clinic,Walk In Medical Clinics,Doc-Side Medical,-123.099576,49.283827,6046331234.0,,,Province of British Columbia
136,Walk-in Clinic,Walk In Medical Clinics,Elicare Medical,-122.89804,49.253444,7789999966.0,,https://www.elicare.ca/lougheedfamilypractice,Province of British Columbia
137,Walk-in Clinic,Walk In Medical Clinics,Elicare Medical,-122.921773,49.213484,6045450420.0,,https://www.elicare.ca/royalcitymedical,Province of British Columbia
138,Walk-in Clinic,Walk In Medical Clinics,Elicare Medical,-123.131932,49.172474,6042421862.0,,https://www.elicare.ca/cooney,Province of British Columbia
139,Walk-in Clinic,Walk In Medical Clinics,Tenth Street Medicentre,-122.916095,49.201215,6045263308.0,,,Province of British Columbia
140,Walk-in Clinic,Walk In Medical Clinics,MD Medical Centre,-119.61148,49.840972,2507689959.0,,,Province of British Columbia
141,Walk-in Clinic,Walk In Medical Clinics,Salveo Medical Clinic,-122.769326,53.887457,2506140007.0,,,Province of British Columbia
142,Walk-in Clinic,Walk In Medical Clinics,Ultima Medical Services,-123.176251,49.194605,6042076900.0,,https://yvrmedical.com/,Province of British Columbia
143,Walk-in Clinic,Walk In Medical Clinics,Ultima Medical Services,-123.12012,49.285914,6046838138.0,,,Province of British Columbia
144,Walk-in Clinic,Walk In Medical Clinics,Mile Zero Clinic,-120.222749,55.757051,2507821103.0,,https://milezero.clinic/?fbclid=IwAR281Ce4eraX5RVeo0qxED0aUcW5_5I8xve30tsG_yzosjaSwlG1lZBMy7U,Province of British Columbia
145,Walk-in Clinic,Walk In Medical Clinics,Uptown Medical Clinic,-123.374313,48.454041,2505908375.0,,https://www.uptownmedicalclinic.ca/,Province of British Columbia
146,Walk-in Clinic,Walk In Medical Clinics,Abby Central Medical and Dental Clinic,-122.314944,49.053283,6045571777.0,,,Province of British Columbia
147,Walk-in Clinic,Walk In Medical Clinics,Chetwynd Primary Care Clinic,-121.633385,55.700364,2507887300.0,,https://www.northernhealth.ca/locations/medical-clinics/chetwynd-primary-care-clinic,Province of British Columbia
148,Walk-in Clinic,Walk In Medical Clinics,Airport Way Medical Clinic,-122.69551,58.80795,2507747838.0,,,Province of British Columbia
149,Walk-in Clinic,Walk In Medical Clinics,CarePlace Medical Centre,-122.801215,49.166461,6045813550.0,,https://wellclinics.ca/properties/careplace-fleetwood/,Province of British Columbia
150,Walk-in Clinic,Walk In Medical Clinics,CarePlace Medical Centre,-122.890314,49.133387,6045905811.0,,https://wellclinics.ca/properties/care-place-scott-road-medical/,Province of British Columbia
151,Walk-in Clinic,Walk In Medical Clinics,Brickyard Medical Clinic,-122.738371,49.10411,6045767701.0,,,Province of British Columbia
152,Walk-in Clinic,Walk In Medical Clinics,Colebrook�Medical Clinic,-122.799043,49.103543,7785741414.0,,https://wellclinics.ca/properties/colebrook-medical-clinic/,Province of British Columbia
153,Walk-in Clinic,Walk In Medical Clinics,theWell Medical Clinic,-122.867352,49.249007,6049372520.0,,http://www.thewellmedical.com/sub/walkin.php,Province of British Columbia
154,Walk-in Clinic,Walk In Medical Clinics,Discovery Medical Clinic,-125.260091,50.032952,2508504505.0,,,Province of British Columbia
155,Walk-in Clinic,Walk In Medical Clinics,Food for the Soul Project Society,-122.603195,49.21702,6043801608.0,,,Province of British Columbia
156,Walk-in Clinic,Walk In Medical Clinics,Food for the Soul Project Society,-122.33712,49.048801,6047469797.0,,,Province of British Columbia
157,Walk-in Clinic,Walk In Medical Clinics,Matters of Health Medical Clinic,-123.155556,49.235586,6045584633.0,,,Province of British Columbia
158,Walk-in Clinic,Walk In Medical Clinics,Edgemont Medical Clinic,-123.101618,49.336925,6049909499.0,,http://www.edgemontclinic.com/index.html,Province of British Columbia
159,Walk-in Clinic,Walk In Medical Clinics,South Vancouver Medical Clinic,-123.100212,49.210671,6043230077.0,,https://www.southvanmed.com/,Province of British Columbia
160,Walk-in Clinic,Walk In Medical Clinics,Esquimalt Medical Clinic,-123.409936,48.429952,7782654305.0,,https://esquimaltmedicalclinic.com/community-clinic,Province of British Columbia
161,Walk-in Clinic,Walk In Medical Clinics,Foremed Clinic,-122.905839,49.204289,6045222206.0,,https://foremedclinic.com/,Province of British Columbia
162,Walk-in Clinic,Walk In Medical Clinics,Wellness First Medical Clinic,-123.136769,49.139527,6042722244.0,,https://wellnessfirstmedical.com/,Province of British Columbia
163,Walk-in Clinic,Walk In Medical Clinics,Guildford Medical Clinic,-122.815324,49.191481,6045828985.0,,,Province of British Columbia
164,Walk-in Clinic,Walk In Medical Clinics,Alder Medical Clinic,-121.297963,51.638639,2503954010.0,,,Province of British Columbia
165,Walk-in Clinic,Walk In Medical Clinics,Lynn Valley Medical and Travel Clinic,-123.039,49.336367,6049885389.0,,https://www.lynnvalleymedical.com/home-2/walkinclinic/,Province of British Columbia
166,Walk-in Clinic,Walk In Medical Clinics,Ocean Medical,-123.163856,49.328678,6049251884.0,,https://www.oceanmedical.com/family-practicewalk-in,Province of British Columbia
167,Walk-in Clinic,Walk In Medical Clinics,Caulfield Village Medical Clinic,-123.253557,49.347323,6049221544.0,,http://healthwisemedical.dignifiedliving.ca/index.php?option=com_content&view=category&layout=blog&id=21&Itemid=107,Province of British Columbia
168,Walk-in Clinic,Walk In Medical Clinics,Clayton Heights Medical Clinic,-122.703286,49.124387,6045750501.0,,,Province of British Columbia
169,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-122.895863,49.251227,6044228482.0,,https://vivacare.ca/locations/burnaby-bc/,Province of British Columbia
170,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-121.97908,49.151848,6047928482.0,,https://vivacare.ca/locations/chilliwack-bc/,Province of British Columbia
171,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-122.804342,49.188825,6045838482.0,,https://vivacare.ca/locations/surrey-guildford/,Province of British Columbia
172,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-122.379944,49.059738,6043814102.0,,https://vivacare.ca/locations/abbotsford-bc/,Province of British Columbia
173,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-122.799227,49.126568,7782184100.0,,https://vivacare.ca/locations/surrey-newton/,Province of British Columbia
174,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-122.739462,49.253528,7782161822.0,,https://vivacare.ca/locations/port-coquitlam-bc/,Province of British Columbia
175,Walk-in Clinic,Walk In Medical Clinics,Viva Care,-122.890471,49.118166,6045999401.0,,https://vivacare.ca/locations/delta-bc/,Province of British Columbia
