idx,facility_name,facility_type,health_authority,longitude,latitude,province,phone,website,provider
41,Emergency Health Services,Emergency Room Care,Interior Health Authority,-117.373941,49.984216,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
42,Emergency Health Services,Emergency Room Care,Interior Health Authority,-119.68568,50.818238,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
43,Emergency Health Services,Emergency Room Care,Interior Health Authority,-124.583244,51.898899,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
44,Emergency Health Services,Emergency Room Care,Interior Health Authority,-118.467838,49.030363,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
45,Emergency Health Services,Emergency Room Care,Interior Health Authority,-114.918185,50.021306,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
46,Emergency Health Services,Emergency Room Care,Interior Health Authority,-123.275914,52.085559,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
47,Emergency Health Services,Emergency Room Care,Interior Health Authority,-118.146151,49.77841,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
48,Emergency Health Services,Emergency Room Care,Interior Health Authority,-119.831731,49.20514,BC,,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Service&loc=&svc=Emergency%20Health%20Services&ploc=,Province of British Columbia
49,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-123.147547,49.170162,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
50,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-128.143874,52.160187,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
51,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-123.749159,49.475307,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
52,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-124.520727,49.851072,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
53,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-126.762576,52.372895,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
54,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-123.068318,49.320214,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
55,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-123.140086,49.700092,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
56,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-122.954906,50.120463,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
57,Emergency Health Services,Emergency Room Care,Vancouver Coastal Health,-122.804482,50.32076,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
58,Emergency Health Services - Vancouver,Emergency Room Care,Vancouver Coastal Health,-123.124725,49.262412,BC,,http://www.vch.ca/your-care/emergency-care,Province of British Columbia
59,Emergency Health Services,Emergency Room Care,Island Health,-127.067379,50.58026,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
60,Emergency Health Services,Emergency Room Care,Island Health,-127.503215,50.720244,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
61,Emergency Health Services,Emergency Room Care,Island Health,-123.411323,48.594199,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
62,Emergency Health Services,Emergency Room Care,Island Health,-123.326541,48.434061,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
63,Emergency Health Services,Emergency Room Care,Island Health,-125.243155,50.011132,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
64,Emergency Health Services,Emergency Room Care,Island Health,-123.432576,48.466809,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
65,Emergency Health Services,Emergency Room Care,Island Health,-123.723323,48.785009,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
66,Emergency Health Services,Emergency Room Care,Island Health,-123.969945,49.183502,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
67,Emergency Health Services,Emergency Room Care,Island Health,-125.908605,49.151591,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
68,Emergency Health Services,Emergency Room Care,Island Health,-124.781792,49.248801,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
69,Emergency Health Services,Emergency Room Care,Island Health,-123.508599,48.861445,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
70,Emergency Health Services,Emergency Room Care,Island Health,-127.487219,50.4255,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
71,Emergency Health Services,Emergency Room Care,Island Health,-126.926661,50.583656,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
72,Emergency Health Services,Emergency Room Care,Island Health,-126.048774,49.78125,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
73,Emergency Health Services,Emergency Room Care,Island Health,-126.851068,49.989011,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
74,Emergency Health Services,Emergency Room Care,Island Health,-126.663244,49.913388,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
75,Emergency Health Services,Emergency Room Care,Island Health,-124.969565,49.712428,BC,,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Province of British Columbia
76,Emergency Health Services,Emergency Room Care,Northern Health,-122.703101,58.809101,BC,2507748100.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
77,Emergency Health Services,Emergency Room Care,Northern Health,-121.00198,55.125373,BC,,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
78,Emergency Health Services,Emergency Room Care,Northern Health,-129.992101,58.441804,BC,2507714444.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
79,Emergency Health Services,Emergency Room Care,Northern Health,-129.990761,55.939636,BC,2506362221.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
80,Emergency Health Services,Emergency Room Care,Northern Health,-124.245474,54.442987,BC,2509968201.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
81,Emergency Health Services,Emergency Room Care,Northern Health,-124.849774,54.059109,BC,2506996225.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
82,Emergency Health Services,Emergency Room Care,Northern Health,-119.270254,52.83206,BC,,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
83,Emergency Health Services,Emergency Room Care,Northern Health,-125.760016,54.235568,BC,2506922400.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
84,Emergency Health Services,Emergency Room Care,Northern Health,-128.647481,54.050409,BC,2506322121.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
85,Emergency Health Services,Emergency Room Care,Northern Health,-128.596516,54.510843,BC,2506352211.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
86,Emergency Health Services,Emergency Room Care,Northern Health,-122.763153,53.911251,BC,2505652000.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
87,Emergency Health Services,Emergency Room Care,Northern Health,-132.151708,54.012317,BC,,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
88,Emergency Health Services,Emergency Room Care,Northern Health,-132.070526,53.254868,BC,2505594900.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
89,Emergency Health Services,Emergency Room Care,Northern Health,-127.163822,54.784976,BC,2508472611.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
90,Emergency Health Services,Emergency Room Care,Northern Health,-133.704315,59.574828,BC,2506517677.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
91,Emergency Health Services,Emergency Room Care,Northern Health,-123.101288,55.33812,BC,2509973263.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
92,Emergency Health Services,Emergency Room Care,Northern Health,-120.16308,53.300909,BC,2505692251.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
93,Emergency Health Services,Emergency Room Care,Northern Health,-120.237333,55.749057,BC,2507828501.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
94,Emergency Health Services,Emergency Room Care,Northern Health,-120.817122,56.256892,BC,2502625200.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
95,Emergency Health Services,Emergency Room Care,Northern Health,-124.008821,54.02876,BC,2505672211.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
96,Emergency Health Services,Emergency Room Care,Northern Health,-122.498817,52.981739,BC,2509855600.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
97,Emergency Health Services,Emergency Room Care,Northern Health,-127.651295,55.259655,BC,2508425211.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
98,Emergency Health Services,Emergency Room Care,Northern Health,-121.914866,56.026604,BC,,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
99,Emergency Health Services,Emergency Room Care,Northern Health,-121.64632,55.695973,BC,2507882236.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
100,Emergency Health Services,Emergency Room Care,Northern Health,-130.332179,54.304265,BC,2506242171.0,https://www.northernhealth.ca/locations/hospitals,Province of British Columbia
101,Emergency Health Services,Emergency Room Care,Providence Health Care Society,-123.128913,49.280614,BC,,https://www.providencehealthcare.org/hospitals-residences/st-pauls-hospital/emergency-services,Province of British Columbia
102,Emergency Health Services,Emergency Room Care,Providence Health Care Society,-123.096358,49.257699,BC,,https://www.providencehealthcare.org/hospitals-residences/mount-saint-joseph-hospital/emergency-services,Province of British Columbia
