EI Code,EI name,Other Name for EI,Institution Type,Designation Status,Designation Reason,Date of Designation,Date of De-Designation,Address Line 1,Address Line 2,Address Line 3,City,Province,Postal Code,Country,Telephone Number Overseas,Telephone Number,Fax Number
BPPO,Academy of Reflexology and Massage,,Private Institution,Designated,,2016-12-13,,1026 Moyer Drive,,,Sherwood Park,Alberta,T8A1E6,Canada,7802353720,7802353720,7802353720
BPTU,Ace Career College,,Private Institution,Designated,,2020-06-03,,215,100 4 Avenue SW,,Calgary,Alberta,T2P3N2,Canada,4035544742,4035544742,4035544742
BPOV,Advance Institute of Wellness and Esthetics,,Private Institution,Designated,,2015-12-03,,#14-140 East Chestermere Dr,,,Chestermere,Alberta,T1X1M1,Canada,4034724105,4034724105,4034724105
BPUS,Adventure Aviation Inc,,Private Institution,Designated,,,,11021 123 Street,,,Grande Prairie,Alberta,T8V 7Z3,Canada,780-539-6968,780-539-6968,780-539-6968
BPPJ,Aesthetics Pro,,Private Institution,Designated,,2016-10-05,,Unit 303 320-23 Avenue SW,Alberta Professional Building,,Calgary,Alberta,T2S0J2,Canada,4034758202,4034758202,4034758202
BPCO,Alberta Academy of Aesthetics,,Private Institution,Designated,,1988-01-18,,1041,8882 170 Street,,Edmonton,Alberta,T5T3J7,Canada,(403) 486-7201,(403) 486-7201,(403) 486-7201
BPBT,Alberta Bible College,,Private Institution,Designated,,2014-09-05,,635 Northmount Dr. N.W.,,,Calgary,Alberta,T2K3J6,Canada,(403) 282-2994,(403) 282-2994,(403) 282-2994
BPPY,Alberta Business & Health Institute,Alberta Business & Health Institute Inc.,Private Institution,Designated,,2018-01-09,,210- 5009 50 Ave,,,Red Deer,Alberta,T4N2B4,Canada,(403) 986-9998,(403) 986-9998,(403) 986-9998
BPMC,Alberta Caregiving Institute-Edmonton General Hospital,,Private Institution,Designated,,2010-02-18,,Edmonton General Hospital,11111 Jasper Ave,,Edmonton,Alberta,T5K0L4,Canada,(780) 761-2234,(780) 761-2234,(780) 761-2234
BPRD,Alberta College of Acupuncture And Traditional Chinese Medicine,,Private Institution,Designated,,2001-01-15,,102- 1910-20th Avenue NW,,,Calgary,Alberta,T2M1H5,Canada,(403) 286-8788,(403) 286-8788,(403) 286-8788
BPTW,Alberta College of Body Art,,Private Institution,Designated,,2019-05-31,,10024 100 Avenue,,,Grande Prairie,Alberta,T8V0V3,Canada,7808317387,7808317387,7808317387
BPGY,Alberta College of Massage Therapy-Calgary,,Private Institution,Designated,,2007-10-30,,#100- 1167 Kensington Crescent,NW,,Calgary,Alberta,T2N 1X7,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPTO,Alberta College of Massage Therapy-Edmonton,,Private Institution,Designated,,2004-11-17,,2nd Floor,10434 - 122 Street,,Edmonton,Alberta,T5N 1M3,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPQS,Alberta College of Massage Therapy-Edmonton South,1039293 Alberta Ltd.,Private Institution,Designated,,2019-02-25,,4620 99 Street,,,Edmonton,Alberta,T6E5H5,Canada,7809166888,7809166888,7809166888
BPTK,Alberta College of Massage Therapy-Fort McMurray,,Private Institution,Designated,,2004-08-26,,9908 Penhorwood Street,,,Fort McMurray,Alberta,T9H 1L3,Canada,(877) 768-8400,(877) 768-8400,(877) 768-8400
BPRY,Alberta College of Massage Therapy-Grande Prairie,1039293 Alberta Ltd.,Private Institution,Designated,,2001-10-25,,201- 11402 100 Street,,,Grande Prairie,Alberta,T8V 2N5,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPGZ,Alberta College of Massage Therapy-Lloydminster,1039293 Alberta Ltd.,Private Institution,Designated,,2007-10-30,,Bay 1A- 5712 - 44 Street,,,Lloydminster,Alberta,T9V 0B6,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPPH,Alberta College of Massage Therapy-Red Deer,,Private Institution,Designated,,2016-09-01,,#120 4913 50 Avenue,,,Red Deer,Alberta,T4N 4A6,Canada,(780) 916-6888,(780) 916-6888,(780) 916-6888
BPVE,Alberta Educational Centre,,Private Institution,Designated,,2020-11-26,,Unit 114- 885 42 Ave SE,,,Calgary,Alberta,T2G 5N9,Canada,403-367-8087,403-367-8087,403-367-8087
BPLX,Alberta Health and Safety Training Institute-Calgary,,Private Institution,Designated,,2019-03-05,,Unit 125,3510 29 Street NE,,Calgary,Alberta,T1Y7E5,Canada,(403) 670-5406,(403) 670-5406,(403) 670-5406
BPQT,Alberta Health and Safety Training Institute-Red Deer,,Private Institution,Designated,,2019-03-05,,Bay 22 7471 Edgar Industrial ,Bend,,Red Deer,Alberta,T4P3Z5,Canada,4036705406,4036705406,4036705406
BPIQ,Alberta Institute of Massage,,Private Institution,Designated,,1996-09-03,,#4 7710 Gaetz Ave.,,,Red Deer,Alberta,T4P2A5,Canada,(403) 346-1018,(403) 346-1018,(403) 346-1018
BPNB,Alberta School of Dog Grooming,,Private Institution,Designated,,2011-09-23,,5009 50 Avenue,,,Leduc,Alberta,T9E6V9,Canada,(780) 980-5327,(780) 980-5327,(780) 980-5327
BPUD,Alison College,,Private Institution,Designated,,2019-08-09,,#201- 221-18 Street SE,,,Calgary,Alberta,T2E 6J5,Canada,(778) 991-2884,(778) 991-2884,(778) 991-2884
BPQA,Ambber & Salma College of Esthetics & Spa,Ramzanali Esthetics Supplies Ltd.,Private Institution,Designated,,2018-01-17,,#18 5440-4 Street NW,,,Calgary,Alberta,T2K1A8,Canada,4032450022,4032450022,4032450022
BPSV,Ambrose University ,,Private Institution,Designated,,1988-12-21,,150 Ambrose Circle SW,,,Calgary,Alberta,T3H0L5,Canada,(403) 410-2000,(403) 410-2000,(403) 410-2000
BPQO,Archways Healing College,Archways Healing College Inc.,Private Institution,Designated,,2018-11-09,,275 8702 Meadowlark ,Road NW,,Edmonton,Alberta,T5R 5W5,Canada,7804257770,7804257770,7804257770
BPMK,Artists Within Makeup Academy,,Private Institution,Designated,,2010-06-25,,101,638 11 Ave SW,,Calgary,Alberta,T2R0E2,Canada,(403) 208-0034,(403) 208-0034,(403) 208-0034
BPNT,Aveda Institute-Calgary,,Private Institution,Designated,,2013-06-06,,225-8 Ave,SW,,Calgary,Alberta,T2P1B7,Canada,4032645053,4032645053,4032645053
BPNN,Badlands Community College,,Private Institution,Designated,,2012-12-27,,120 - 3 Street E,,,Drumheller,Alberta,T0J 0Y0,Canada,4038568108,4038568108,4038568108
BPOD,Bay River College,,Private Institution,Designated,,2014-05-01,,Unit 1 & 2,3516-26 Street NE,,Calgary,Alberta,T1Y4T7,Canada,4034576400,4034576400,4034576400
BPUV,Beauty Maker Institute,,Private Institution,Designated,,2020-09-16,,5751 Signal Hill Centre SW,,,Calgary,Alberta,T3H 3P8,Canada,403-608-7705,403-608-7705,403-608-7705
BPOO,Bella Elite Beauty & Barber Academy Ltd.,,Private Institution,Designated,,2015-05-26,,311 - 8 th Street South,,,Lethbridge,Alberta,T1J 2J5,Canada,5872712717,5872712717,5872712717
BPOX,Bredin College of Business and Health Care - Calgary ,,Private Institution,Designated,,2015-12-11,,#410 744-4 Avenue SW,,,Calgary,Alberta,T2P3T4,Canada,7804253730,7804253730,7804253730
BPOY,Bredin College of Business and Health Care-Edmonton,,Private Institution,Designated,,2015-12-11,,9th Floor 10004 104 Avenue NW,,,Edmonton,Alberta,T5J 0K1,Canada,7804253730,7804253730,7804253730
BPLR,Bredin College of Business and Health Care-Spruce Grove,,Private Institution,Designated,,2009-03-03,,204-314 McLeod Avenue,,,Spruce Grove,Alberta,T7X 0J6,Canada,(780) 425-3730,(780) 425-3730,(780) 425-3730
BPPT,Bredin college of Business and Health Care-Red Deer,,Private Institution,Designated,,2017-06-05,,501 5010-43 Street,,,Red Deer,Alberta,T4N6H2,Canada,7804253730,7804253730,7804253730
BPUT,Brookes College,,Private Institution,Designated,,2020-08-11,,#250- 6424-36 Street NE,,,Calgary,Alberta,T3J 4C8,Canada,403-702-6729,403-702-6729,403-702-6729
BPOT,Business IQ Training Inc.,,Private Institution,Designated,,2015-11-26,,5051-50 Street,,,Camrose,Alberta,T4V1R3,Canada,7806722672,7806722672,7806722672
BPLY,CDI College of Bus Tech and Health-Edmonton South,,Private Institution,Designated,,2009-10-08,,101- 4723 - 52 Avenue NW,,,Edmonton,Alberta,T6B 3R6,Canada,(780) 463-7900,(780) 463-7900,(780) 463-7900
BPMU,CDI College of Business Tech and Health Care-Calgary South,,Private Institution,Designated,,2011-06-06,,Midnapore Mall,Suite 200-240 Midpark Way SE,,Calgary,Alberta,T2X1N4,Canada,(403) 207-1813,(403) 207-1813,(403) 207-1813
BPMV,CDI College of Business Tech and Health Care-Edmonton West,,Private Institution,Designated,,2011-06-06,,176 Mayfield Common,NW,,Edmonton,Alberta,T5P4B3,Canada,(780) 702-0328,(780) 702-0328,(780) 702-0328
BPPV,CDI College of Business Technology and Health Care-Red Deer,CDI Education (Alberta) Inc.,Private Institution,Designated,,2017-08-17,,5th Floor,5000 Gaetz Avenue,,Red Deer,Alberta,T4N6C2,Canada,(587) 951-1030,(587) 951-1030,(587) 951-1030
BPLB,CDI College of Business- Technology and Health Care- Calgary City Centre,,Private Institution,Designated,,2008-03-26,,200- 703 - 6th Avenue SW ,,,Calgary,Alberta,T2P0T9,Canada,,,
BPLC,CDI College of Business- Technology and Health Care- Calgary North,,Private Institution,Designated,,2008-03-26,,#100 403 33 Steet,NE,,Calgary,Alberta,T2A1X5,Canada,(403) 571-8585,(403) 571-8585,(403) 571-8585
BPLD,CDI College of Business- Technology and Health Care- Edmonton City Centre,,Private Institution,Designated,,2008-03-26,,200 - 10004 Jasper Ave,,,Edmonton,Alberta,T5J 1R3,Canada,(780) 424-6650,(780) 424-6650,(780) 424-6650
BPLE,CDI College of Business- Technology and Health Care- Edmonton North,,Private Institution,Designated,,2008-03-26,,Units 174 & 280 , Northtown Mall, 9450 137 Ave,Edmonton,Alberta,T5E6C2,Canada,(780) 478-7900,(780) 478-7900,(780) 478-7900
BPPC,CLI College of Business- Health and Technology-Calgary Campus,,Private Institution,Designated,,2016-06-16,,#210 4202 - 17 Avenue SE ,,,Calgary,Alberta,T2S 0A3,Canada,(780) 680-7930,(780) 680-7930,(780) 680-7930
BPOE,CLI College of Business- Health and Technology-Edmonton North,,Private Institution,Designated,,2014-06-25,,8706 118 Ave,,,Edmonton,Alberta,T5B0T1,Canada,7804210224,7804210224,7804210224
BPBQ,Calgary College of Traditional Chinese Med and Acupunture,,Private Institution,Designated,,2005-07-31,,4014 MacLeod Trail South,Suite 107,,Calgary,Alberta,T2G 2R7,Canada,4032878688,4032878688,4032878688
BPOR,Calgary Flight Training Centre,,Private Institution,Designated,,2015-08-03,,Hangar 15 1436 Twp Rd 320,,,Didsbury ,Alberta,T0M0W0,Canada,4033354892,4033354892,4033354892
BPMG,Calgary Flying Club,,Private Institution,Designated,,2010-04-22,,155A MacLaurin Drive,,,Calgary,Alberta,T3Z3S4,Canada,(403) 288-8831,(403) 288-8831,(403) 288-8831
BPUN,Calgary-Okotoks Flying School Inc.,,Private Institution,Designated,,2019-12-10,,2 Winters Way,,,Okotoks,Alberta,T1S 1W9,Canada,587) 894-2549,587) 894-2549,587) 894-2549
BPNO,Cambrooks College,,Private Institution,Designated,,2013-02-11,,202,4015 17 Ave SE,,Calgary,Alberta,T2A0S8,Canada,(403) 452-3694,(403) 452-3694,(403) 452-3694
BPPW,Cambrooks College-Downtown Location,Cambrooks College Inc.,Private Institution,Designated,,2017-10-25,,1105-7 Avenue SW,,,Calgary,Alberta,T2P1B2,Canada,4039191429,4039191429,4039191429
BPKG,Campbell College Ltd.,,Private Institution,Designated,,1999-09-20,,101 - 11748 Kingsway Avenue,,,Edmonton,Alberta,T5G0X5,Canada,(780) 448-1850,(780) 448-1850,(780) 448-1850
BPVK,Canada School of Barbering,,Private Institution,Designated,,2021-03-05,,200- 10018 106 St,,,Edmonton,Alberta,T5J 1G4,Canada,780-884-1488,780-884-1488,780-884-1488
BPVF,Canadian Academy of Osteopathy West,,Private Institution,Designated,,2020-11-26,,204- 5th Avenue,Unit 5,,Cochrane,Alberta,T4C 1X3,Canada,,,
BPQP,Canadian Health and Business College,,Private Institution,Designated,,2018-12-05,,208- 1212 1 Street SE,,,Calgary,Alberta,T2G 2H8,Canada,4034533346,4034533346,4034533346
BPTV,Canadian Imperial College,,Private Institution,Designated,,2019-05-31,,11525 23 Avenue NW,,,Edmonton,Alberta,T6J4T3,Canada,7808518834,7808518834,7808518834
BPQJ,Canadian Institute of Osteopathic Therapy,,Private Institution,Designated,,2018-10-09,,757 57 Ave NE,,,Calgary,Alberta,T2E 8W6,Canada,403 455-2468,403 455-2468,403 455-2468
BPAZ,Canadian Institute of Traditional Chinese Medicine,,Private Institution,Designated,,2005-07-08,,Unit 300 ,1824 Crowchild Trail NW,,Calgary,Alberta,T2M 3Y7,Canada,(403) 520-5258,(403) 520-5258,(403) 520-5258
BPBH,Canadian Lutheran Bible Institute,,Private Institution,Designated,,1988-12-21,,4837-52A,,,Camrose,Alberta,T4V1W5,Canada,(403) 672-4454,(403) 672-4454,(403) 672-4454
BPVB,Canadian School of Natural Nutrition-Edmonton,,Private Institution,Designated,,2020-11-16,,#316- 8925 - 51st Avenue,,,Edmonton,Alberta,T6E 5J3,Canada,780-437-3933,780-437-3933,780-437-3933
BPEV,Canadian Southern Baptist Seminary,,Private Institution,Designated,,1988-09-09,,Main Campus,200 Seminary View,,Cochrane,Alberta,T4C 2G1,Canada,4039326622,4039326622,4039326622
BPQD,Canford Institute of Technology,,Private Institution,Designated,,2018-05-04,,10709 105 Street ,,,Edmonton,Alberta,T5H 2X3,Canada,403 869-9391,403 869-9391,403 869-9391
BPUG,Capstone Edge College,,Private Institution,Designated,,2019-11-18,,202A- 2750 22 Street NE,,,Calgary,Alberta,T2E 7L9,Canada,(403)903-1383,(403)903-1383,(403)903-1383
BPTC,Centennial Flight Centre Inc.,,Private Institution,Designated,,1988-12-21,,Hangar 17-Villeneuve Airport,26 - 27018 SH633,,Sturgeon County,Alberta,T8T 0E3,Canada,(780) 451-7676,(780) 451-7676,(780) 451-7676
BPIS,Christcity Theological Institute,,Private Institution,Designated,,1996-10-03,,14788 - 156 St,,,Edmonton,Alberta,T6V 1J2,Canada,780-784-2489,780-784-2489,780-784-2489
BPTG,Clearwater College,,Private Institution,Designated,,2004-06-15,,Box 100,,,Caroline,Alberta,T0M 0M0,Canada,4037222225,4037222225,4037222225
BPGD,Columbia College,,Private Institution,Designated,,1991-08-26,,802 Manning Rd Ne,,,Calgary,Alberta,T2E7N8,Canada,4032359300,4032359300,4032359300
BPOK,Cooking Lake Aviation Services,,Private Institution,Designated,,2014-11-07,,Cooking Lake Airport Hangar 69,51401 Range Road 221,,Sherwood Park,Alberta,T8E1H1,Canada,7809222802,7809222802,7809222802
BPMQ,Cosmopolitan Make-Up Artist College,,Private Institution,Designated,Student(s) attending- EI pending de-designation,2010-10-19,,10014 109 Street,,,Edmonton,Alberta,T4J1M4,Canada,(780) 428-4636,(780) 428-4636,(780) 428-4636
BPPN,Cypress College - Culinary Campus,,Private Institution,Designated,,2016-11-10,,1051 Ross Glen Drive SE,,,Medicine Hat,Alberta,T1B 3T8,Canada,4035274382,4035274382,4035274382
BPLL,Cypress College - Medicine Hat,,Private Institution,Designated,,2008-06-05,,3-7th Street,SE,,Medicine Hat,Alberta,T1A1J2,Canada,(403) 527-4382,(403) 527-4382,(403) 527-4382
BPNW,Cypress College-Brooks,,Private Institution,Designated,,2013-08-23,,716 2 Street West,P.O. Box 908,,Brooks ,Alberta,T1R1C4,Canada,4033625907,4033625907,4033625907
BPLZ,DelMar College ,,Private Institution,Designated,,2010-01-29,,5915 1A Street,SW,,Calgary,Alberta,T2H0G4,Canada,(403) 264-8055,(403) 264-8055,(403) 264-8055
BPPX,DelMar College of Esthetics & Wellness,,Private Institution,Designated,,2017-12-12,,Suite 160 ,5769 4 Street SE,,Calgary,Alberta,T2H2H9,Canada,4032556644,4032556644,4032556644
BPTJ,Delmar College - Red Deer Campus,,Private Institution,Designated,,2004-08-19,,4929-49 Street,,,Red Deer,Alberta,T4N1Z1,Canada,(403) 347-2018,(403) 347-2018,(403) 347-2018
BPTE,Digital School,,Private Institution,Designated,,2003-05-13,,#202 ,10010 - 100 Street,,Edmonton,Alberta,T5J 0N3,Canada,(780) 414-0200,(780) 414-0200,(780) 414-0200
BPOU,ERP College,,Private Institution,Designated,,2015-12-01,,1400-734 7th Avenue SW,,,Calgary,Alberta,T2P 3P8,Canada,4034520745,4034520745,4034520745
BPUC,East-West College,,Private Institution,Designated,,2019-07-31,,10541 106 Street NW,,,Edmonton,Alberta,T5H 2X5,Canada,587-438-2955,587-438-2955,587-438-2955
BPVI,East-West College Brooks Inc.,,Private Institution,Designated,,2021-02-09,,604 Cassils Road W.,,,Brooks,Alberta,T1R 1K9,Canada,587-438-2955,587-438-2955,587-438-2955
BPUF,East-West College of Business & Technology - Calgary City Centre,,Private Institution,Designated,,2019-11-06,,Suite 315- 505-8th Ave SW,,,Calgary,Alberta,T2P 6B6,Canada,,,
BPPZ,East-West College of Business and Technology,East-West College of Business and Technology Inc.,Private Institution,Designated,,2018-01-16,,Suite 200- 3880 - 29th Street ,NE,,Calgary,Alberta,T1Y 6B6,Canada,5877182955,5877182955,5877182955
BPNS,Ecole Holt Couture School of Couture Sewing and Design,,Private Institution,Designated,,2018-10-04,,2227 20 Ave SW,,,Calgary,Alberta,T2T0M4,Canada,4032445460,4032445460,4032445460
BPBL,Edmonton Flying Club,,Private Institution,Designated,,1988-12-21,,#3 - 52111 Range Road 270,,,Spruce Grove,Alberta,T7X 3L7,Canada,(780) 499-6669,(780) 499-6669,(780) 499-6669
BPMS,Elevated Learning Academy Inc. - Calgary,,Private Institution,Designated,,2011-01-27,,Unit 305,4014 MacLeod Trail SE,,Calgary,Alberta,T2G 2R7,Canada,(403) 473-0939,(403) 473-0939,(403) 473-0939
BPNI,Elevated Learning Academy Inc. - Edmonton,,Private Institution,Designated,,2012-07-24,,209-10080 Jasper Avenue,,,Edmonton,Alberta,T5J1V9,Canada,8885445573,8885445573,8885445573
BPLO,Emergency Services Academy,,Private Institution,Designated,,2008-11-14,,2nd Floor,161 Broadway ,Boulevard,Sherwood Park,Alberta,T8A2A8,Canada,(780) 416-8822,(780) 416-8822,(780) 416-8822
BPCC,Est-Elle Academy of Hair Design Limited,,Private Institution,Designated,,1988-12-21,,8004 Gateway Blvd,,,Edmonton,Alberta,T6E6A2,Canada,(780) 432-7577,(780) 432-7577,(780) 432-7577
BPSR,European Institute of Esthetics- Esthetic and Laser Training Centre,,Private Institution,Designated,,2003-08-18,,6724 75 Street,,,Edmonton,Alberta,T6E6T9,Canada,(780) 466-5271,(780) 466-5271,(780) 466-5271
BPNA,Eveline Charles Academy - Edmonton,,Private Institution,Designated,,2011-08-26,,2047- 8882 170 Street NW,,,Edmonton,Alberta,T5T 4J2,Canada,(780) 409-0222,(780) 409-0222,(780) 409-0222
BPMZ,Eveline Charles Academy-Calgary,,Private Institution,Designated,,2011-08-18,,404 510 8 Avenue,SW,,Calgary,Alberta,T2P4H9,Canada,(403) 476-0593,(403) 476-0593,(403) 476-0593
BPPL,Evolve Dental Academy,,Private Institution,Designated,,2016-11-01,,103- 1914-34 Avenue SW,,,Calgary,Alberta,T2T2C1,Canada,4033543255,4033543255,4033543255
BPSE,Excel Flight Training Incorporated,,Private Institution,Designated,,2002-11-04,,421 Stubb Ross Road,Suite 201,,Leithbridge,Alberta,T1K7N3,Canada,(403) 329-4887,(403) 329-4887,(403) 329-4887
BPUW,FOOTHILLS HELICOPTER TRAINING ACADEMY LTD,,Private Institution,Designated,,2020-09-16,,Unit 15- 4 Winters Way,,,Okotoks,Alberta,T1S 0J1,Canada,403-969-5524,403-969-5524,403-969-5524
BPUK,GD College,,Private Institution,Designated,,2019-11-19,,108-1935 27 Ave NE,,,Calgary,Alberta,T2E 7E4,Canada,(403) 991-8211,(403) 991-8211,(403) 991-8211
BPUE,Glenbow College,,Private Institution,Designated,,2019-08-22,,100- 940 6th Ave SW,,,Calgary,Alberta,T2P 3T1,Canada,(403) 681-9296,(403) 681-9296,(403) 681-9296
BPVG,Global College of Business & Technology,,Private Institution,Designated,,2020-11-26,,Suite 229,495 36 St N.E.,,Calgary,Alberta,T2A 6K3,Canada,,,
BPUX,Hair Inc. Academy,,Private Institution,Designated,,2020-09-16,,8107 104 Street,,,Edmonton,Alberta,T6E 4E4,Canada,780-700-0279,780-700-0279,780-700-0279
BPUU,Hamptons College,,Private Institution,Designated,,2020-08-11,,202-4015- 17 Avenue SE,,,Calgary,Alberta,T2A 0S8,Canada,403-919-1429,403-919-1429,403-919-1429
BPPK,Heritage College,Apple Pharmacy Staffing Corp.,Private Institution,Designated,,2016-10-19,,140- 3015 - 12 Street NE,,,Calgary,Alberta,T2E 7J2,Canada,403-800-8221,403-800-8221,403-800-8221
BPMF,High Velocity Equipment Training College,,Private Institution,Designated,,2010-03-11,,NE 22 52 26 W4,,,Enoch,Alberta,T7X 3Y3,Canada,(780) 678-2626,(780) 678-2626,(780) 678-2626
BPQM,InnoTech College-Calgary,2015702 Ablerta Inc.,Private Institution,Designated,,2018-10-31,,305 4014 MacLeod Trail SE,,,Calgary,Alberta,T2G2R7,Canada,4034730939,4034730939,4034730939
BPQN,InnoTech College-Edmonton,2015702 Alberta Inc.,Private Institution,Designated,,2018-10-31,,209 10080 Jasper Avenue,,,Edmonton,Alberta,T5J1V9,Canada,4034730939,4034730939,4034730939
BPGV,International Academy of Esthetics,,Private Institution,Designated,,1992-12-11,,122 150 Chippewa Road,,,Sherwood Park,Alberta,T8A6A2,Canada,(780) 449-1225,(780) 449-1225,(780) 449-1225
