Facility Name,Address,Town,Postal Code,Facility Type,Nursing Homes (NH) No. of Beds,Nursing Homes (NH) No. of Respite Beds,Residential Care Facilities (RCF) No.of Beds,RCF Respite Beds,Single Entry Access (SEA) Participating,X Coordinate,Y  Coordinate,Location
the Admiral Long Term Care Centre,6 ADMIRAL STREET,DARTMOUTH,B2X 1W4,Nursing Home,0,0,65,1,Y,-63.5454557366,44.6843185257,"(44.684319, -63.545456)"
Arborstone Enhanced Care,126 PURCELL'S COVE RD,HALIFAX,B3P 1B5,Nursing Home,0,0,190,0,Y,-63.6082271374,44.6328756027,"(44.632876, -63.608227)"
Southview Guest Home Ltd.,2027 HIGHWAY 28,SYDNEY,B1N 3H6,Residential Care Facility,3,0,0,0,Y,-60.1975697845,46.1862367957,"(46.186237, -60.19757)"
Wynn Park Villa,32 WINDOR WAY,TRURO,B2N 0B4,Nursing Home and Residential Care Facility,20,0,40,0,Y,-63.3018909263,45.3556912172,"(45.355691, -63.301891)"
Maple Hill Manor,700 KING ST,NEW WATERFORD,B1H 3Z5,Nursing Home and Residential Care Facility,13,0,50,0,Y,-60.0854333287,46.2407118572,"(46.240712, -60.085433)"
St. Anne Community and Nursing Care Centre,2313 HIGHWAY 206,ARICHAT,B0E 1A0,Nursing Home,0,0,24,0,Y,-61.0319110818,45.5110421069,"(45.511042, -61.031911)"
Blomidon Court,58 JESSICA'S WAY,GREENWICH,B4P 0B2,Nursing Home,0,0,50,0,Y,-64.4068288427,45.0764011234,"(45.076401, -64.406829)"
Bayview Memorial Health Centre,3375 HIGHWAY 209,ADVOCATE HARBOUR,B0M 1A0,Nursing Home,0,0,10,0,Y,-64.7948350302,45.3462119025,"(45.346212, -64.794835)"
Haliburton Place,89 PAYZANT DRIVE,WINDSOR,B0N 2T0,Nursing Home,0,0,31,1,Y,-64.1203737528,44.9863835536,"(44.986384, -64.120374)"
Dutch Brook Guest Home,2400 HIGHWAY 327,DUTCH BROOK,B1L 1G1,Residential Care Facility,3,0,0,0,Y,-60.2014032423,46.0516394384,"(46.051639, -60.201403)"
Au Logis d=Meteghan Ltd.,8405 HIGHWAY 1,METEGHAN,B0W 2J0,Residential Care Facility,22,0,0,0,Y,-66.1529628012,44.1939506913,"(44.193951, -66.152963)"
Gables Lodge Limited,260 CHURCH ST,AMHERST,B4H 3C9,Nursing Home,0,0,96,1,Y,-64.1895187177,45.8249325543,"(45.824933, -64.189519)"
Taigh Solas,520 PURVES STREET,NORTH SYDNEY,B2A 3M4,Nursing Home,0,0,22,0,Y,-60.2355515129,46.2182083643,"(46.218208, -60.235552)"
Grace Haven,9791 HIGHWAY 1,BRIDGETOWN EAST,B0S 1C0,Residential Care Facility,20,0,0,0,Y,-65.2400903414,44.8596233935,"(44.859623, -65.24009)"
Chignecto Manor,24 BAYVIEW MANOR ROAD,ADVOCATE HARBOUR,B0M 1A0,Residential Care Facility,14,0,0,0,Y,-64.7782141576,45.3357245242,"(45.335725, -64.778214)"
Northwoodcare Incorporated,2615 NORTHWOOD TERR,HALIFAX,B3K 3S5,Nursing Home and Residential Care Facility,40,0,445,0,Y,-63.5920466822,44.6571807575,"(44.657181, -63.592047)"
Northwoodcare Bedford Incorporated- Christina & Hedley G. Ivany Place,123 GARY MARTIN DRIVE,BEDFORD,B4B 0G7,Nursing Home and Residential Care Facility,26,0,130,0,Y,-63.7062657835,44.7237165517,"(44.723717, -63.706266)"
Highland Crest Residential Care Facility,44 HILLCREST ST,ANTIGONISH,B2G 1Z3,Residential Care Facility,35,0,0,0,Y,-61.9904718374,45.6176844,"(45.617684, -61.990472)"
Shiretown Nursing Home,280 HALIBURTON RD,PICTOU,B0K 1H0,Nursing Home and Residential Care Facility,17,0,36,0,Y,-62.7295375998,45.6777573673,"(45.677757, -62.729538)"
Seabright Rest Home Ltd.,11625 PEGGYS COVE ROAD,SEABRIGHT,B3Z 2Y1,Residential Care Facility,6,0,0,0,Y,-63.9262204342,44.6231727533,"(44.623173, -63.92622)"
Lohnes Rest Home,97 LAKEVIEW DR,BARSS CORNER,B0R 1A0,Residential Care Facility,8,0,0,0,Y,-64.6442586638,44.5842831414,"(44.584283, -64.644259)"
Harbour View Facility,22 RICHARD STREET,SYDNEY MINES,B1V 2H7,Nursing Home,0,0,8,0,Y,-60.2222073482,46.234744466,"(46.234744, -60.222207)"
Nakile Home for Special Care,35 NAKILE DRIVE,ARGYLE,B0W 1W0,Nursing Home,0,0,47,1,Y,-65.8617366427,43.7912286759,"(43.791229, -65.861737)"
Rosedale Home for Special Care,4927 HIGHWAY (TRUNK) 10,NEW GERMANY,B0R 1E0,Nursing Home,0,0,39,0,Y,-64.7111589104,44.5372109561,"(44.537211, -64.711159)"
Windsor Elms Village for Continuing Care Society,174 DYKE ROAD,WINDSOR,B0N 2T0,Nursing Home,0,0,107,1,Y,-64.17090584,44.9949404491,"(44.99494, -64.170906)"
Hillsview Acres,14 MIDDLEFIELD ROAD,GREENFIELD,B0T 1E0,Residential Care Facility,29,0,0,0,Y,-64.8637243148,44.209164259,"(44.209164, -64.863724)"
Willow Lodge,100 BLAIR AVENNUE,TATAMAGOUCHE,B0K 1V0,Nursing Home,0,0,61,0,Y,-63.2971883623,45.7111639799,"(45.711164, -63.297188)"
East Cumberland Lodge,262 GULF SHORE ROAD,PUGWASH,B0K 1L0,Nursing Home,0,0,73,1,Y,-63.657569563,45.8565261686,"(45.856526, -63.65757)"
RK MacDonald Nursing Home,64 PLEASANT STREET,ANTIGONISH,B2G 1W7,Nursing Home,0,0,136,1,Y,-61.9913203281,45.6251643081,"(45.625164, -61.99132)"
Maplestone Enhanced Care Limited,245 MAIN AVE,HALIFAX,B3M 1B7,Nursing Home,0,0,87,0,Y,-63.6492075902,44.6537430479,"(44.653743, -63.649208)"
Wedgewood house For Seniors Limited,19 LEVERETT AVENUE,KENTVILLE,B4N 2K5,Residential Care Facility,15,0,0,0,N,-64.4915612303,45.0768508417,"(45.076851, -64.491561)"
Heart of the Valley - Long Term Care Centre,89 NORTH STREET,MIDDLETON,B0S 1P0,Nursing Home,0,0,49,1,Y,-65.0668100329,44.9505071111,"(44.950507, -65.06681)"
The Sagewood  Continuing Care Centre,345 COBEQUID ROAD,SACKVILLE,B4C 4E6,Nursing Home and Residential Care Facility,13,0,36,1,Y,-63.6520139696,44.761402858,"(44.761403, -63.652014)"
Wolfville Nursing Home,601 MAIN STREET,WOLFVILLE,B4P 1E9,Nursing Home,0,0,67,0,Y,-64.3722728611,45.0897805326,"(45.089781, -64.372273)"
New Visions Home for Seniors,4507 HIGHWAY 1,BERWICK,B0P 1E0,Residential Care Facility,25,0,0,0,Y,-64.7232723207,45.0343300445,"(45.03433, -64.723272)"
R.C. MacGillivray Guest Home,25 XAVIER DR,SYDNEY,B1S 2R9,Nursing Home,0,0,86,1,Y,-60.1942551293,46.123566273,"(46.123566, -60.194255)"
Peter's Place Halifax - PJD Rehab Housing Incorporated,12 SWAN CRESCENT,HALIFAX,"B3M 1T6

",Residential Care Facility,4,0,0,0,Y,-63.6584299241,44.669058838,"(44.669059, -63.65843)"
The Magnolia,416 HIGHWAY 2,ENFIELD,B2T1E1,Nursing Home and Residential Care Facility,12,0,59,0,Y,-63.5274765882,44.9513275091,"(44.951328, -63.527477)"
Orchard Court Continuing Care Residence,155 RIVER STREET,KENTVILLE,B4N 1G8,Nursing Home,0,0,62,0,Y,-64.5026468461,45.0792726286,"(45.079273, -64.502647)"
Dykeland Lodge,124 COTTAGE STREET,WINDSOR,B0N 2T0,Nursing Home,0,0,111,0,Y,-64.1269854448,44.9797639021,"(44.979764, -64.126985)"
The Cove Guest Home,320 ALEXANDRA STREET,SYDNEY,B1S 2G1,Nursing Home,0,0,110,0,Y,-60.1977096274,46.1210673481,"(46.121067, -60.19771)"
Northside Community Guest Home,11 QUEEN ST,NORTH SYDNEY,B2A 1A2,Nursing Home,0,0,144,0,Y,-60.2626301399,46.1950076665,"(46.195008, -60.26263)"
Northside General Hospital 4 East,520 PURVES STREET,NORTH SYDNEY,B2A 3M4,Nursing Home,0,0,11,0,Y,-60.2355515129,46.2182083643,"(46.218208, -60.235552)"
Ocean View Continuing Care Centre,1909 CALDWELL ROAD,EASTERN PASSAGE,B3G 1M4,Nursing Home,0,0,176,1,Y,-63.4702157757,44.606723876,"(44.606724, -63.470216)"
Inverary Manor,72 MAPLE,INVERNESS,B0E 1N0,Nursing Home,0,0,71,0,Y,-61.3038475549,46.226713682,"(46.226714, -61.303848)"
Queens Manor,20 HOLLANDS DR,LIVERPOOL,B0T 1K0,Nursing Home,0,0,61,0,Y,-64.7067914518,44.0361756693,"(44.036176, -64.706791)"
Evergreen Home for Special Care,655 PARK ST,KENTVILLE,B4N 3V7,Nursing Home,0,0,116,3,Y,-64.5400583686,45.0762915876,"(45.076292, -64.540058)"
Harbourview Lodge Continuing Care Centre,22639 HIGHWAY 7,SHEET HARBOUR,B0J 3B0,Nursing Home and Residential Care Facility,4,0,28,0,Y,-62.5326587551,44.9204049993,"(44.920405, -62.532659)"
Victoria Haven Nursing Home,5 THIRD ST,GLACE BAY,B1A 5V2,Nursing Home,0,0,52,2,Y,-59.9648406898,46.2115856947,"(46.211586, -59.964841)"
Tibbetts Home for Special Care,15074 HIGHWAY 1,WILMOT,B0P 1R0,Residential Care Facility,25,0,0,0,Y,-64.9690618406,44.9770412808,"(44.977041, -64.969062)"
Cedarstone Enhanced Care Limited,378 YOUNG ST,TRURO,B2N 7H2,Nursing Home,0,0,125,1,Y,-63.275909216,45.3504829593,"(45.350483, -63.275909)"
North Queens Nursing Home,9565 HIGHWAY 8,CALEDONIA,B0T 1B0,Nursing Home,0,0,43,1,Y,-65.0148131992,44.3764636392,"(44.376464, -65.014813)"
Melville Lodge,50 SHOREHAM LANE,HALIFAX,B3P 2R3,Nursing Home,0,0,123,1,Y,-63.6152512124,44.6295606856,"(44.629561, -63.615251)"
Precision Health - Washmill Lake Drive Appartments,599 WASHMILL LAKE  DRIVE,HALIFAX,B3G 1M4,Residential Care Facility,20,0,0,0,Y,-63.6536656726,44.6500124112,"(44.650012, -63.653666)"
Villa Acadienne,8403 HIGHWAY 1,METEGHAN,B0W 2J0,Nursing Home,0,0,85,1,Y,-66.1541422334,44.1937041296,"(44.193704, -66.154142)"
Glace Bay Health Care Facility,300 SOUTH STREET,GLACE BAY,B1A 1W5,Nursing Home,0,0,18,0,Y,-59.9385728366,46.1832118413,"(46.183212, -59.938573)"
Milford Haven Corporation,10558 ROUTE 16,GUYSBOROUGH,B0H 1N0,Nursing Home,0,0,50,1,Y,-61.5070936716,45.4021123288,"(45.402112, -61.507094)"
Tideview Terrace,74 PLEASANT STREET,CONWAY,B0V 1A0,Nursing Home,0,0,89,1,Y,-65.7632932883,44.6092227727,"(44.609223, -65.763293)"
The Birches,7704 HIGHWAY 7,MUSQUODOBOIT HARBOUR,B0J 2L0,Nursing Home,0,0,41,1,Y,-63.158333445,44.7830353497,"(44.783035, -63.158333)"
The Heritage House,55 HIGH ROAD,PORT HOOD,B0E 2W0,Residential Care Facility,11,0,0,0,Y,-61.5280844833,46.0145010744,"(46.014501, -61.528084)"
The Mira,426 YOUNG ST,TRURO,B2N 7B1,Nursing Home,0,0,89,1,Y,-63.2747811178,45.3481634058,"(45.348163, -63.274781)"
Villa Saint Joseph-du-Lac,255 HIGHWAY 1,DAYTON,B5A 4A5,Nursing Home,0,0,72,0,Y,-66.1116431111,43.8692445999,"(43.869245, -66.111643)"
Harbourstone Enhanced Care Limited,84 KENWOOD DR,SYDNEY,B1S 3V7,Nursing Home,0,0,270,2,Y,-60.2138180695,46.1070401628,"(46.10704, -60.213818)"
Mitchell's Rest Home,5153 HIGHWAY 14,UPPER NINE MILE RIVER,,Residential Care Facility,3,0,0,0,Y,-63.646603548,45.0818810489,"(45.081881, -63.646604)"
Canso Seaside Manor,1748 UNION STREET,CANSO,B0H 1H0,Nursing Home,0,0,15,0,Y,-60.984004647,45.3326282071,"(45.332628, -60.984005)"
Pont du Marais Home Ltd,1526 HIGHWAY 335,LOWER WEST PUBNICO,B0W 2C0,Residential Care Facility,23,2,0,0,N,-65.8018749204,43.6382136832,"(43.638214, -65.801875)"
White Birches Retirement Residence,189 FOX RANCH RD,AMHERST,B4H 3Y3,Residential Care Facility,24,0,0,0,Y,-64.1793484589,45.8414123864,"(45.841412, -64.179348)"
Richmond Villa,9361 PEPPERALL STREET,ST PETER'S,B0E 3B0,Nursing Home and Residential Care Facility,8,0,60,0,Y,-60.874805837,45.6584233209,"(45.658423, -60.874806)"
Highland Manor,175 NEW HAVEN ROAD,NEIL'S HARBOUR,B0C 1N0,Nursing Home,0,0,19,0,Y,-60.322164937,46.8109670404,"(46.810967, -60.322165)"
Seaview Manor,275 SOUTH STREET,GLACE BAY,B1A 1W6,Nursing Home,0,0,113,0,Y,-59.936438571,46.1844896682,"(46.18449, -59.936439)"
Vimy Court,130 VIMY ROAD,BIBLE HILL,B2N 4J6,Nursing Home,0,0,60,0,Y,-63.2606517007,45.3793295022,"(45.37933, -63.260652)"
Melville Gardens Nursing Home,11 RAMSGATE LANE,HALIFAX,B3P 2S9,Nursing Home and Residential Care Facility,60,0,31,0,Y,-63.6146368753,44.6320039153,"(44.632004, -63.614637)"
Shoreham Village,50 SHOREHAM VILLAGE CRESCENT,CHESTER,B0J 1J0,Nursing Home,0,0,89,1,Y,-64.2322046667,44.5448589128,"(44.544859, -64.232205)"
Port Hawkesbury Nursing Home,2 MACQUARRIE DRIVE EXTENSION,PORT HAWKESBURY,B9A 3A2,Nursing Home and Residential Care Facility,6,0,59,1,Y,-61.3552879542,45.6197506969,"(45.619751, -61.355288)"
Bay Side Home Corporation,96 BAYSIDE DRIVE,BARRINGTON,B0W 1E0,Nursing Home,0,0,62,0,Y,-65.5981735088,43.5484492595,"(43.548449, -65.598174)"
Saint Vincent's Nursing Home,2080 WINDSOR ST,HALIFAX,B3K 5B2,Nursing Home,0,0,149,0,Y,-63.5941906385,44.6479163111,"(44.647916, -63.594191)"
Precision Health - 24 Kincardine Street,24 KINCARDINE STREET,DARTMOUTH,B2X 1H9,Residential Care Facility,3,0,0,0,Y,-63.5370865365,44.6914255598,"(44.691426, -63.537087)"
Foyer P├⌐re Fiset,15092 CABOT TRAIL,CHETICAMP,B0E 1H0,Nursing Home and Residential Care Facility,10,0,60,1,Y,-61.0157412109,46.6234390124,"(46.623439, -61.015741)"
High - Crest Place,222 PROVOST ST,NEW GLASGOW,B2H 2R3,Residential Care Facility,27,0,0,0,Y,-62.6451446856,45.5857168555,"(45.585717, -62.645145)"
High - Crest Sherbrooke Home for Special Care,53 COURT STREET,SHERBROOKE,B0J 3C0,Nursing Home,0,0,39,0,Y,-61.9811632318,45.140817953,"(45.140818, -61.981163)"
Mahone Nursing Home,640 MAIN,MAHONE BAY,B0J 2E0,Nursing Home,0,0,60,1,Y,-64.3769495199,44.4477229699,"(44.447723, -64.37695)"
Townsview Estates,310 ABENAKI ROAD,MILLBROOK 27,B2N 5Z5,Residential Care Facility,51,0,0,0,Y,-63.3013640702,45.3377932493,"(45.337793, -63.301364)"
White Hills Long term Care Centre,297 POCKWOCK ROAD,HAMMONDS PLAINS,B4B 1N5,Nursing Home,0,0,58,0,Y,-63.8051871319,44.7439918402,"(44.743992, -63.805187)"
Carefield Manor Ltd,1 DRYDEN AVE,SYDNEY,B1S 1V3,Residential Care Facility,12,0,0,0,Y,-60.1677949255,46.171042466,"(46.171042, -60.167795)"
High - Crest Home New Glasgow,253 FORBES ST,NEW GLASGOW,B2H 4P5,Residential Care Facility,29,0,0,0,Y,-62.6418534028,45.5856299281,"(45.58563, -62.641853)"
Annapolis Royal Nursing Home Limited,9745 HIGHWAY 8,ANNAPOLIS ROYAL,B0S 1A0,Nursing Home and Residential Care Facility,12,0,53,1,Y,-65.5001769296,44.7353894109,"(44.735389, -65.500177)"
The Meadows - Tidal View Manor,339 PLEASANT St,YARMOUTH,B5A 2K9,Nursing Home,0,0,104,1,Y,-66.1030678965,43.8505087355,"(43.850509, -66.103068)"
Centennial Villa,258 CHURCH ST,AMHERST,B4H 3C9,Residential Care Facility,43,0,0,0,Y,-64.189907125,45.8240299389,"(45.82403, -64.189907)"
Olson's Glo Estate Home for Special Care,143 ROUTE 304,OVERTON,B4A 4J7,Residential Care Facility,11,0,0,0,Y,-66.1276057564,43.848281031,"(43.848281, -66.127606)"
High - Crest Springhill Home for Special Care Ltd,11 SPROUL STREET,SPRINGHILL,B0M 1X0,Nursing Home,0,0,65,1,Y,-64.0493362039,45.6495130028,"(45.649513, -64.049336)"
Karlaine Place,104 PICTOU RD,BIBLE HILL,B2N 2S3,Residential Care Facility,8,0,0,0,Y,-63.2597931832,45.3755422145,"(45.375542, -63.259793)"
My Cape Breton Home for Seniors - Sydney,137 RIVERDALE DRIVE,SYDNEY,"B1R 0A9
",Residential Care Facility,16,0,0,0,Y,-60.2214390673,46.1183619255,"(46.118362, -60.221439)"
My Cape Breton Home for Seniors - North Sydney,77 CAMPBELL STREET,NORTH SYDNEY,B1P 6J1,Residential Care Facility,16,0,0,0,Y,-60.2694141459,46.2047715662,"(46.204772, -60.269414)"
Northumberland Hall  Continuing Care Residence,189 WILLOW STREET,AMHERST,B4H 3W6,Nursing Home,0,0,36,0,Y,-64.1895868286,45.8292145541,"(45.829215, -64.189587)"
Clarmar Residential Care Facility,200 MAIN STREET,DARTMOUTH,B2X 1S3,Residential Care Facility,24,0,0,0,Y,-63.5326255108,44.6835301518,"(44.68353, -63.532626)"
Harbour View Haven,25 BLOCKHOUSE HILL RD,LUNENBURG,B0J 2C0,Nursing Home,0,0,143,1,Y,-64.3024732105,44.3770736976,"(44.377074, -64.302473)"
Precision Health - 21 Kincardine Street,21 KINCARDINE STREET,DARTMOUTH,B2X 1H7,Residential Care Facility,4,0,0,0,Y,-63.5361913006,44.6907861954,"(44.690786, -63.536191)"
Celtic Court,16 ST. ANTHONY DRIVE,SYDNEY,B1S 2R5,Nursing Home,0,0,36,0,Y,-60.1946583843,46.1219735668,"(46.121974, -60.194658)"
Hillside Pines Home for Special Care,77 EXHIBITION DR,BRIDGEWATER,B4V 3K6,Nursing Home,0,0,50,0,Y,-64.5206479534,44.3688714608,"(44.368871, -64.520648)"
Parkstone Enhanced Care Limited,156 PARKLAND DRIVE,HALIFAX,B3S 1N9,Nursing Home,0,0,190,4,Y,-63.6720733647,44.663382564,"(44.663383, -63.672073)"
Valley View Villa,6125 TRAFALGAR ROAD,STELLARTON,,Nursing Home,0,0,112,1,Y,-62.6672730046,45.5395911381,"(45.539591, -62.667273)"
Maplewood Manor,150 BLAIR AVENUE,TATAMAGOUCHE,B0K 1V0,Residential Care Facility,6,0,0,0,Y,-63.2941363465,45.7103993471,"(45.710399, -63.294136)"
Elk Court,91 CARTER ROAD,BROOKFIELD,B0N 1C0,Nursing Home,0,0,35,1,Y,-63.2738470335,45.2592638495,"(45.259264, -63.273847)"
Willows Manor Limited,2844 HIGHWAY 2,SHUBENACADIE,B0N 2H0,Residential Care Facility,8,0,0,0,Y,-63.4076029436,45.0883759976,"(45.088376, -63.407603)"
Foyer Celeste Inc,8064 HIGHWAY 31,METEGHAN,B0W 2J0,Residential Care Facility,19,0,0,0,Y,-66.1695472033,44.1838220838,"(44.183822, -66.169547)"
Wolfville Elms,701 MAIN STREET,WOLFVILLE,B4P 2N4,Residential Care Facility,23,0,0,0,Y,-64.378696731,45.087092718,"(45.087093, -64.378697)"
Sunshine Personal Home Care Inc.,38 A WITHROD DR,HALIFAX,B3N 1B1,Residential Care Facility,3,0,0,0,Y,-63.6235123451,44.6330128943,"(44.633013, -63.623512)"
Maritime Odd Fellows Home,143 HALIBURTON RD,PICTOU,B0K 1H0,Nursing Home,0,0,46,1,Y,-62.7227449792,45.6732961424,"(45.673296, -62.722745)"
Taigh Na Mara Facility,974 MAIN STREET,GLACE BAY,B1A 4Z8,Nursing Home,0,0,36,0,Y,-59.9776869002,46.1994504507,"(46.19945, -59.977687)"
Roseway Manor Inc.,1604 LAKE ROAD,SANDY POINT,B0T 1W0,Nursing Home,0,0,66,0,Y,-65.3089609479,43.7487650684,"(43.748765, -65.308961)"
Waterford Heights,716 KING ST,NEW WATERFORD,B1H 3Z5,Nursing Home,0,0,24,0,Y,-60.0857932887,46.2398633455,"(46.239863, -60.085793)"
Serenity Lodge,39 RUSSELL MCKEEN DRIVE,ENFIELD,B2T 1A7,Residential Care Facility,6,0,0,0,Y,-63.5350595543,44.9508737452,"(44.950874, -63.53506)"
Miner's Memorial Manor,15 LORNE ST,SYDNEY MINES,B1V 3B9,Nursing Home and Residential Care Facility,13,0,36,1,Y,-60.2182966209,46.2395975234,"(46.239598, -60.218297)"
Peter's Place (PJD Rehab Housing Inc.),326 HUEY LAKE ROAD,PLEASNANTVILLE,B0R 1G0,Residential Care Facility,6,0,0,0,Y,-64.4161552587,44.2579218948,"(44.257922, -64.416155)"
Surf Lodge Community Continuing Care Centre,73 HOWE STREET,LOCKEPORT,B0T 1L0,Nursing Home,0,0,36,0,Y,-65.1174778773,43.7015725885,"(43.701573, -65.117478)"
Dominion Community Guest Home,79 COMMERCIAL ST,DOMINION,B1G 1B3,Residential Care Facility,4,0,0,0,Y,-60.0223541907,46.2107155768,"(46.210716, -60.022354)"
