idx,facility_name,source_id,authority_type,address_str,province,ISCED4+,provider,address_str_clean,street_no,street_name
10,Canadian Training Institute,JPBB,Private Institution,"P.O. Box 479, Bay Roberts, Newfoundland and Labrador, Canada, (709) 786-2400",NL,1,Employment and Social Development Canada,bay roberts newfoundland and labrador canada 786 2400,,
11,Central Training Academy,JPBE,Private Institution,"P.O Box 400, Badger, Newfoundland and Labrador, Canada, (709) 539-5150",NL,1,Employment and Social Development Canada,badger newfoundland and labrador canada 539 5150,,
12,"Keyin College, Burin",JPBI,Private Institution,"Keyin College, P.O. Box 160, Creston, Newfoundland and Labrador, Canada, (709) 891-1995",NL,1,Employment and Social Development Canada,keyin college creston newfoundland and labrador canada 891 1995,,
13,Gander Flight Training Center,JPBR,Private Institution,"P.O. Box 355, 70 C.L. Dobbin Drive, Gander, Newfoundland and Labrador, Canada, 7092567484",NL,1,Employment and Social Development Canada,70 cl dobbin drive gander newfoundland and labrador canada 7092567484,70,cl dobbin drive
14,Dietrac Technical Institute,JPBW,Private Institution,"P.O. Box 970 82 Premier Drive, Lewisporte, Newfoundland and Labrador, Canada, 7095350550",NL,1,Employment and Social Development Canada,82 premier drive lewisporte newfoundland and labrador canada 7095350550,82,premier drive
15,Carpenters Millwrights College,JPBX,Private Institution,"P.O. Box 3040, Paradise, NL, Newfoundland and Labrador, Canada,",NL,1,Employment and Social Development Canada,paradise nl newfoundland and labrador canada,,
16,"Keyin College, Grand Falls-Windsor",JPCE,Private Institution,"60 Hardy Avenue, Grand Falls-Windsor, Newfoundland and Labrador, Canada, 7094898560",NL,1,Employment and Social Development Canada,60 hardy avenue grand falls windsor newfoundland and labrador canada 7094898560,60,hardy avenue
17,United Association Training Center,JPDG,Private Institution,"P. O. Box 216, Mount Pearl, Newfoundland and Labrador, Canada, (709) 747-2249",NL,1,Employment and Social Development Canada,p o mount pearl newfoundland and labrador canada 747 2249,,
18,Operating Engineers College,JPDI,Private Institution,"P.O. Box 389, Salmonier Line, Holyrood, Newfoundland and Labrador, Canada, 7092296464",NL,1,Employment and Social Development Canada,salmonier line holyrood newfoundland and labrador canada 7092296464,,salmonier line
19,"Keyin College, Gander",JPDQ,Private Institution,"Gander Campus, 175 airport blvd., Gander, Newfoundland and Labrador, Canada, (709) 489-8560",NL,1,Employment and Social Development Canada,gander campus 175 airport blvd gander newfoundland and labrador canada 489 8560,175,airport blvd
20,Ironworkers Education And Training Co. Inc.,JPDR,Private Institution,"38 Sagona Avenue, Mount Pearl, Newfoundland and Labrador, Canada, 7097472158",NL,1,Employment and Social Development Canada,38 sagona avenue mount pearl newfoundland and labrador canada 7097472158,38,sagona avenue
21,Memorial University of Newfoundland,JUAA,University,"P.O. Box 4200 Stn. C, St. John's, Newfoundland and Labrador, Canada, (709) 864-8212",NL,1,Employment and Social Development Canada,stn c st john's newfoundland and labrador canada 864 8212,,
22,Grenfell Campus - Memorial University of Newfoundland,JUAB,University,"University Drive, Corner Brook, Newfoundland and Labrador, Canada, 7096398981",NL,1,Employment and Social Development Canada,university drive corner brook newfoundland and labrador canada 7096398981,,university drive
23,Queen's College,JUAE,University,"210 Prince Philip Drive, St. John's, Newfoundland and Labrador, Canada, 7097530116",NL,1,Employment and Social Development Canada,210 prince philip drive st john's newfoundland and labrador canada 7097530116,210,prince philip drive
24,Fisheries & Marine Institute - Memorial University of Newfoundland,JVAA,Technical and Vocational,"P.O. Box 4920, 155 Ridge Road, St. John's, Newfoundland and Labrador, Canada, 7097780470",NL,1,Employment and Social Development Canada,155 ridge road st john's newfoundland and labrador canada 7097780470,155,ridge road
25,"College of the North Atlantic, Prince Phillip Drive campus",JVAB,Technical and Vocational,"St. John's Campus, P.O. Box 1693, 1 Prince Philip Drive, St. John's, Newfoundland and Labrador, Canada, (709) 758-7284",NL,1,Employment and Social Development Canada,st john's campus 1 prince philip drive st john's newfoundland and labrador canada 758 7284,1,prince philip drive
26,"College of the North Atlantic, Baie Verte campus",JVAD,Technical and Vocational,"Baie Verte Campus, 1 Terra Nova Road, Baie Verte, Newfoundland and Labrador, Canada, (709) 532-8066",NL,1,Employment and Social Development Canada,baie verte campus 1 terra nova road baie verte newfoundland and labrador canada 532 8066,1,terra nova road
27,"College of the North Atlantic, Bonavista campus",JVAF,Technical and Vocational,"Bonavista Campus, C/O P.O. Box 670, 301 Confederation Drive, Bonavista, Newfoundland and Labrador, Canada, (709) 468-2610",NL,1,Employment and Social Development Canada,bonavista campus c/o 301 confederation drive bonavista newfoundland and labrador canada 468 2610,,c/o 301 confederation drive
28,"College of the North Atlantic, Burin campus",JVAG,Technical and Vocational,"Burin Campus, 4 Pike's Lane, PO Box 60, Burin, Newfoundland and Labrador, Canada, (709) 891-1253",NL,1,Employment and Social Development Canada,burin campus 4 pike's lane burin newfoundland and labrador canada 891 1253,,pike's lane
29,"College of the North Atlantic, Carbonear campus",JVAH,Technical and Vocational,"Carbonear Campus, P.O. Box 60, 4 Pike's Lane, Carbonear, Newfoundland and Labrador, Canada, (709) 596-6139",NL,1,Employment and Social Development Canada,carbonear campus 4 pike's lane carbonear newfoundland and labrador canada 596 6139,,pike's lane
30,"College of the North Atlantic, Clarenville campus",JVAI,Technical and Vocational,"Clarenville Campus, 69 Pleasant St., Clarenville, Newfoundland and Labrador, Canada, (709) 466-6900",NL,1,Employment and Social Development Canada,clarenville campus 69 pleasant st clarenville newfoundland and labrador canada 466 6900,69,pleasant st
31,"College of the North Atlantic, Seal Cove campus",JVAJ,Technical and Vocational,"P.O. Box 19003, , Station Seal Cove, 1670 Conception Bay Highway, Conception Bay South, Newfoundland and Labrador, Canada, (709) 744-2047",NL,1,Employment and Social Development Canada,station seal cove 1670 conception bay highway conception bay south newfoundland and labrador canada 744 2047,1670,conception bay highway
32,"College of the North Atlantic, Corner Brook campus",JVAK,Technical and Vocational,"Corner Brook Campus, C/O P.O. Box 822, 141 O'Connell Drive, Corner Brook, Newfoundland and Labrador, Canada, (709) 637-8530",NL,1,Employment and Social Development Canada,corner brook campus c/o 141 o'connell drive corner brook newfoundland and labrador canada 637 8530,141,o'connell drive
33,"College of the North Atlantic, Gander campus",JVAL,Technical and Vocational,"Gander Campus, C/O P.O. Box 395, 1 Magee Road, Gander, Newfoundland and Labrador, Canada, (709) 651-4800",NL,1,Employment and Social Development Canada,gander campus c/o 1 magee road gander newfoundland and labrador canada 651 4800,,c/o 1 magee road
34,"College of the North Atlantic, Grand Falls-Windsor campus",JVAM,Technical and Vocational,"Grand Falls-Windsor Campus, 5 Cromer Avenue, Grand Falls-Windsor, Newfoundland and Labrador, Canada, (709) 292-5600",NL,1,Employment and Social Development Canada,grand falls windsor campus 5 cromer avenue grand falls windsor newfoundland and labrador canada 292 5600,5,cromer avenue
35,"College of the North Atlantic, Happy Valley-Goose Bay campus",JVAN,Technical and Vocational,"Happy Valley-Goose Bay Campus, C/O P.O. Box 1720, Station B, 219 Hamilton River Road, Happy Valley-Goose Bay, Newfoundland and Labrador, Canada, (709) 896-6300",NL,1,Employment and Social Development Canada,happy valley goose bay campus c/o station b 219 hamilton river road happy valley goose bay newfoundland and labrador canada 896 6300,219,hamilton river road
36,"College of the North Atlantic, Placentia campus",JVAP,Technical and Vocational,"Placentia Campus, P.O. Box 190, 1 Roosevelt Avenue, Placentia, Newfoundland and Labrador, Canada, (709) 227-2037",NL,1,Employment and Social Development Canada,placentia campus 1 roosevelt avenue placentia newfoundland and labrador canada 227 2037,1,roosevelt avenue
37,"College of the North Atlantic, Port Aux Basques campus",JVAQ,Technical and Vocational,"Port Aux Basques Campus, C/O P.O. Box 760, 59 Grand Bay Road, Port Aux Basques, Newfoundland and Labrador, Canada, (709) 695-3582",NL,1,Employment and Social Development Canada,port aux basques campus c/o 59 grand bay road port aux basques newfoundland and labrador canada 695 3582,,c/o 59 grand bay road
38,"College of the North Atlantic, St. Anthony campus",JVAS,Technical and Vocational,"St- Anthony Campus, P.O. Box 550, St. Anthony, Newfoundland and Labrador, Canada, (709) 454-3559",NL,1,Employment and Social Development Canada,st anthony campus st anthony newfoundland and labrador canada 454 3559,,
39,"College of the North Atlantic, Ridge Road Campus",JVAU,Technical and Vocational,"P.O. Box 1150, 153 Ridge Road, St. John's, Newfoundland and Labrador, Canada, (709) 758-7000",NL,1,Employment and Social Development Canada,153 ridge road st john's newfoundland and labrador canada 758 7000,153,ridge road
40,"College of the North Atlantic, Labrador West campus",JVAV,Technical and Vocational,"Labrador West Campus, 1600 Nichols-Adam Highway, Labrador City, Newfoundland and Labrador, Canada, (709) 944-7210",NL,1,Employment and Social Development Canada,labrador west campus 1600 nichols adam highway labrador city newfoundland and labrador canada 944 7210,1600,nichols adam highway
0,Aurora College - Thebacha Campus,KVAA,Technical and Vocational,"Box 600, 50 Conibear Crescent, Fort Smith, Northwest Territories, Canada, (867) 872-7500",NT,1,Employment and Social Development Canada,50 conibear crescent fort smith northwest territories canada 872 7500,50,conibear crescent
1,Aurora College - Aurora Campus,KVAC,Technical and Vocational,"100 Distributor Street, Box 1008, Inuvik, Northwest Territories, Canada, (867) 777-7800",NT,1,Employment and Social Development Canada,100 distributor street inuvik northwest territories canada 777 7800,100,distributor street
2,Aurora College - Yellowknife Campus,KVAD,Technical and Vocational,"Bag 9700, 5004 54 Street, Yellowknife, Northwest Territories, Canada, (867) 920-3030",NT,1,Employment and Social Development Canada,bag 9700 5004 54 street yellowknife northwest territories canada 920 3030,5004,54 street
0,Kingswood University,GPAB,Private Institution,"Financial Aid Office, 26 Western Street, Box 5125, Sussex, New Brunswick, Canada, (506) 432-4423",NB,1,Employment and Social Development Canada,financial aid office 26 western street sussex new brunswick canada 432 4423,26,western street
1,L'Institut Jon rayMond,GPAC,Private Institution,"21 Stone Avenue, Moncton, New Brunswick, Canada, (506) 857-9840",NB,1,Employment and Social Development Canada,21 stone avenue moncton new brunswick canada 857 9840,21,stone avenue
2,Oulton College,GPAI,Private Institution,"4 Flanders Court, Moncton, New Brunswick, Canada, (506) 858-9696",NB,1,Employment and Social Development Canada,4 flanders court moncton new brunswick canada 858 9696,4,flanders court
3,Atlantic Business College,GPAJ,Private Institution,"1115 Regent Street, Fredericton, New Brunswick, Canada, (506) 450-1408",NB,1,Employment and Social Development Canada,1115 regent street fredericton new brunswick canada 450 1408,1115,regent street
4,Northeast Christian College,GPAM,Private Institution,"128 River St., P.O. Box 22017, Fredericton, New Brunswick, Canada, (506) 453-1590",NB,1,Employment and Social Development Canada,128 river st fredericton new brunswick canada 453 1590,128,river st
5,Atlantic Hairstyling and Aesthetics Academy Ltd,GPAO,Private Institution,"23 Sunbury St., Fredericton, New Brunswick, Canada, (506) 453-9196",NB,1,Employment and Social Development Canada,23 sunbury st fredericton new brunswick canada 453 9196,23,sunbury st
6,New Brunswick Bible Institute,GPAR,Private Institution,"2335 Route 103, C/O Dan Robins, Victoria Corner, New Brunswick, Canada, 5063759000",NB,1,Employment and Social Development Canada,2335 route 103 c/o dan robins victoria corner new brunswick canada 5063759000,2335,route 103 c/o dan robins
7,Chez Bernard Beauty Academy,GPAT,Private Institution,"106 Dieppe Boulevard, Dieppe, New Brunswick, Canada, (506) 857-0192",NB,1,Employment and Social Development Canada,106 dieppe boulevard dieppe new brunswick canada 857 0192,106,dieppe boulevard
8,Majestany Institute - Fredericton,GPBD,Private Institution,"120 Westmorland Street, Fredericton, New Brunswick, Canada, (506) 458-8070",NB,1,Employment and Social Development Canada,120 westmorland street fredericton new brunswick canada 458 8070,120,westmorland street
9,Elite Dog Grooming & Academy,GPCB,Private Institution,"45 , Colonial Dr., Moncton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,45 colonial dr moncton new brunswick canada,45,colonial dr
10,Medavie HealthEd,GPCH,Private Institution,"567 St. George Blvd, Moncton, New Brunswick, Canada, (902) 463-0462",NB,1,Employment and Social Development Canada,567 st george blvd moncton new brunswick canada 463 0462,567,st george blvd
11,University of Fredericton,GPCJ,Private Institution,"371 Queen st., Fredericton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,371 queen st fredericton new brunswick canada,371,queen st
12,Atlantic Transport Training Academy,GPCK,Private Institution,"154 Edinburgh Drive East, Moncton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,154 edinburgh drive east moncton new brunswick canada,154,edinburgh drive east
13,College Trans-Canada College Inc.,GPCM,Private Institution,"715 Coverdale Road, Riverview, New Brunswick, Canada, 1 800-363-1194",NB,1,Employment and Social Development Canada,715 coverdale road riverview new brunswick canada 1 800 363 1194,715,coverdale road
14,Operating Engineers Training Institute,GPCO,Private Institution,"341 King William Road, Saint John, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,341 king william road saint john new brunswick canada,341,king william road
15,Moncton Flight College,GPCP,Private Institution,"1719 Champlain St., Dieppe, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,1719 champlain st dieppe new brunswick canada,1719,champlain st
16,Glamour Paws Grooming Academy,GPCQ,Private Institution,"1633 Mountain Road, Moncton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,1633 mountain road moncton new brunswick canada,1633,mountain road
17,East Coast Trades College Inc.,GPCR,Private Institution,"1080 Brookside Drive, Fredericton, New Brunswick, Canada, 506-454-0867",NB,1,Employment and Social Development Canada,1080 brookside drive fredericton new brunswick canada 506 454 0867,1080,brookside drive
18,Fundy Learning Center (The),GPCT,Private Institution,"186 Adelaide Road, Saint John, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,186 adelaide road saint john new brunswick canada,186,adelaide road
19,Ready Arc Training and Testing,GPCV,Private Institution,"70 McIlveen Drive, Saint John, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,70 mcilveen drive saint john new brunswick canada,70,mcilveen drive
20,Eastern College Fredericton,GPCX,Private Institution,"850 Prospect St., Fredericton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,850 prospect st fredericton new brunswick canada,850,prospect st
21,Eastern College Moncton,GPCY,Private Institution,"1070 St. George Blvd, Moncton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,1070 st george blvd moncton new brunswick canada,1070,st george blvd
22,Eastern College Saint John,GPCZ,Private Institution,"123-212 McAllister Dr., Saint John, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,123 212 mcallister dr saint john new brunswick canada,123 212,mcallister dr
23,Eastern Trades College,GPDA,Private Institution,"123-212 McAllister Dr., Saint John, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,123 212 mcallister dr saint john new brunswick canada,123 212,mcallister dr
24,ECR Heavy Equipment & Const.,GPDC,Private Institution,"65 Taylor Road, Newton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,65 taylor road newton new brunswick canada,65,taylor road
25,Academy of Learning College Bathurst,GPDD,Private Institution,"219 Main Street, Suite 12, Bathurst, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,219 main street bathurst new brunswick canada,219,main street
26,Brenda's Academy of Dog Grooming,GPDE,Private Institution,"209 Collishaw St. Unit B, Moncton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,209 collishaw st unit b moncton new brunswick canada,209,collishaw st
27,Medes College,GPDF,Private Institution,"1040 Champlain Street, , Suite 300, Dieppe, NB, New Brunswick, Canada, 506-859-1133",NB,1,Employment and Social Development Canada,1040 champlain street dieppe nb new brunswick canada 506 859 1133,1040,champlain street
28,Ally Beauty Academy,GPDG,Private Institution,"51 Highfield Street, Suite 300, Moncton , New Brunswick, Canada,",NB,1,Employment and Social Development Canada,51 highfield street moncton new brunswick canada,51,highfield street
29,Wizard of Pawz Grooming Academy,GPDH,Private Institution,"607 Saint George Boulevard, Moncton, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,607 saint george boulevard moncton new brunswick canada,607,saint george boulevard
30,Mount St. Joseph Nursing Home,GPDI,Private Institution,"51 Lobban Avenue, Miramichi, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,51 lobban avenue miramichi new brunswick canada,51,lobban avenue
31,East Coast Regional Heavy Equipment and Construction,GPDJ,Private Institution,"65 Taylor Road, Newtown, New Brunswick, Canada,",NB,1,Employment and Social Development Canada,65 taylor road newtown new brunswick canada,65,taylor road
32,Salon Carrousel,GPFX,Private Institution,"CP 3375, 10, rue Charles, Tracadie-Sheila, New Brunswick, Canada, (506) 395-2197",NB,1,Employment and Social Development Canada,10 rue charles tracadie sheila new brunswick canada 395 2197,10,rue charles
33,Ecole de Coiffure Lafrance School of Hair Design,GPGE,Private Institution,"651 E.H Daigle Blvd, Suite 500, PO Box 7428, Grand Falls (Grand Sault), New Brunswick, Canada, (506) 473-7212",NB,1,Employment and Social Development Canada,651 eh daigle blvd grand falls new brunswick canada 473 7212,651,eh daigle blvd
34,St. Stephen's University,GPGR,Private Institution,"8 Main Street, St. Stephen, New Brunswick, Canada, (506) 466-1781",NB,1,Employment and Social Development Canada,8 main street st stephen new brunswick canada 466 1781,8,main street
35,School of Spirit (Pentecostal Tabernacles Inc),GPGX,Private Institution,"350 Barnham Road, Oakland, New Brunswick, Canada, (506) 392-8099",NB,1,Employment and Social Development Canada,350 barnham road oakland new brunswick canada 392 8099,350,barnham road
36,Majestany Institute - Saint John,GPIS,Private Institution,"418 Rothesay Avenue, Saint John, New Brunswick, Canada, 5066934125",NB,1,Employment and Social Development Canada,418 rothesay avenue saint john new brunswick canada 5066934125,418,rothesay avenue
37,Union of New Brunswick Indians Training Institute (UNBI),GPIX,Private Institution,"75 Melissa Street, Unit 1, Fredericton, New Brunswick, Canada, 5064589444",NB,1,Employment and Social Development Canada,75 melissa street unit 1 fredericton new brunswick canada 5064589444,75,melissa street
38,Threshold Ministries,GPJA,Private Institution,"105 Mountain View Drive, Saint John, New Brunswick, Canada, (506) 693-8975",NB,1,Employment and Social Development Canada,105 mountain view drive saint john new brunswick canada 693 8975,105,mountain view drive
39,Atlantic College of Therapeutic Massage,GPJO,Private Institution,"2 Peter Kelly Drive, Fredericton, New Brunswick, Canada, (506) 451-8188",NB,1,Employment and Social Development Canada,2 peter kelly drive fredericton new brunswick canada 451 8188,2,peter kelly drive
40,Grand Falls Aviation Service Ltd.,GPJV,Private Institution,"3 Ch. Michaud, Grand Falls, New Brunswick, Canada, (506) 473-2566",NB,1,Employment and Social Development Canada,3 ch michaud grand falls new brunswick canada 473 2566,3,ch michaud
41,Mckenzie Learning Systems Inc.,GPKG,Private Institution,"100 Cameron Street, Suite 101, Moncton, New Brunswick, Canada, 5063846460",NB,1,Employment and Social Development Canada,100 cameron street moncton new brunswick canada 5063846460,100,cameron street
42,Crandall University,GPKJ,Private Institution,"333 Gorge Road, Box 6004, Moncton, New Brunswick, Canada, (506) 858-8970",NB,1,Employment and Social Development Canada,333 gorge road moncton new brunswick canada 858 8970,333,gorge road
43,Canadian School of Natural Nutrition,GPKM,Private Institution,"1201 Mountain Road, Suite 205, Moncton, New Brunswick, Canada, (506) 384-2700",NB,1,Employment and Social Development Canada,1201 mountain road moncton new brunswick canada 384 2700,1201,mountain road
44,Yorkville University,GPKO,Private Institution,"100 Woodside Lane, Suite 120, Fredericton, New Brunswick, Canada, (506) 454-1220",NB,1,Employment and Social Development Canada,100 woodside lane fredericton new brunswick canada 454 1220,100,woodside lane
45,Carpenters Millwrights College of NB Inc.,GPKR,Private Institution,"120 Ashburn Road , P.O. Box 2181, Saint John, New Brunswick, Canada, (506) 632-8840",NB,1,Employment and Social Development Canada,120 ashburn road saint john new brunswick canada 632 8840,120,ashburn road
46,Amoura Aesthetics,GPKU,Private Institution,"205 Edward Street, Miramichi, New Brunswick, Canada, (506) 622-4331",NB,1,Employment and Social Development Canada,205 edward street miramichi new brunswick canada 622 4331,205,edward street
47,Emmanuel Baptist Bible Institute,GPKX,Private Institution,"187 Mclaughlin Drive, Moncton, New Brunswick, Canada, (506) 853-7331",NB,1,Employment and Social Development Canada,187 mclaughlin drive moncton new brunswick canada 853 7331,187,mclaughlin drive
48,Saint Thomas University,GUAA,University,"Registrar's Office, PO Box 4569, 51 Dineen Drive, Fredericton, New Brunswick, Canada, (506) 452-0544",NB,1,Employment and Social Development Canada,registrar's office 51 dineen drive fredericton new brunswick canada 452 0544,51,dineen drive
49,Universite de Moncton - Moncton,GUAB,University,"Centre Etudiants, 18, ave Antoine-Maillet, Moncton, New Brunswick, Canada, (506) 858-3731",NB,1,Employment and Social Development Canada,centre etudiants 18 ave antoine maillet moncton new brunswick canada 858 3731,18,ave antoine maillet
50,Universite de Moncton - Shippagan,GUAD,University,"218, boulevard J.D. Gauthier, Shippagan, New Brunswick, Canada, (506) 336-3404",NB,1,Employment and Social Development Canada,218 boulevard jd gauthier shippagan new brunswick canada 336 3404,218,boulevard jd gauthier
51,Universite de Moncton - Edmundston,GUAE,University,"165 Boulevard Hebert, Edmundston, New Brunswick, Canada, (506) 737-5050",NB,1,Employment and Social Development Canada,165 boulevard hebert edmundston new brunswick canada 737 5050,165,boulevard hebert
52,Mount Allison University,GUAF,University,"65 York Street, Sackville, New Brunswick, Canada, 5063642200",NB,1,Employment and Social Development Canada,65 york street sackville new brunswick canada 5063642200,65,york street
53,University of New Brunswick - Fredericton,GUAG,University,"8 Bailey Drive, Room 001, Fredericton, New Brunswick, Canada, (506) 453-4624",NB,1,Employment and Social Development Canada,8 bailey drive room 001 fredericton new brunswick canada 453 4624,8,bailey drive
54,University of New Brunswick - Saint John,GUAH,University,"Financial Services , P. O. Box 5050 , 100 Tucker Park Road , Saint John, New Brunswick, Canada, (506) 648-5500",NB,1,Employment and Social Development Canada,financial services p o 100 tucker park road saint john new brunswick canada 648 5500,100,tucker park road
55,New Brunswick Community Colleges - Woodstock,GVAA,Technical and Vocational,"100 Broadway Street, Woodstock, New Brunswick, Canada, (506) 325-4400",NB,1,Employment and Social Development Canada,100 broadway street woodstock new brunswick canada 325 4400,100,broadway street
56,Maritime College of Forest Tech.,GVAB,Technical and Vocational,"1350 Regent Street, Fredericton, New Brunswick, Canada, 5064580199",NB,1,Employment and Social Development Canada,1350 regent street fredericton new brunswick canada 5064580199,1350,regent street
57,New Brunswick College of Craft & Design,GVAD,Technical and Vocational,"PO Box 6000, Fredericton, New Brunswick, Canada, 5064532305",NB,1,Employment and Social Development Canada,fredericton new brunswick canada 5064532305,,
58,New Brunswick Community College - Moncton,GVAE,Technical and Vocational,"1234 Mountain Road, Moncton, New Brunswick, Canada, (506) 856-2220",NB,1,Employment and Social Development Canada,1234 mountain road moncton new brunswick canada 856 2220,1234,mountain road
59,CCNB - Campbellton,GVAF,Technical and Vocational,"C.P. 309, rue Village, Campbellton, New Brunswick, Canada, (506) 789-2445",NB,1,Employment and Social Development Canada,rue village campbellton new brunswick canada 789 2445,,rue village
60,CCNB - Edmundston,GVAG,Technical and Vocational,"225, chemin du Pouvoir, C.P. 70, Edmundston, New Brunswick, Canada, (506) 735-2506",NB,1,Employment and Social Development Canada,225 chemin du pouvoir edmundston new brunswick canada 735 2506,225,chemin du pouvoir
61,New Brunswick Community College - St. Andrews,GVAI,Technical and Vocational,"P.O. Box 427, 99 Augustus Street, St. Andrews, New Brunswick, Canada, (506) 529-5025",NB,1,Employment and Social Development Canada,99 augustus street st andrews new brunswick canada 529 5025,99,augustus street
62,New Brunswick Community College - Saint John,GVAK,Technical and Vocational,"950 Grandview Avenue, P.O. Box 2270, Saint John, New Brunswick, Canada, (506) 658-6601",NB,1,Employment and Social Development Canada,950 grandview avenue saint john new brunswick canada 658 6601,950,grandview avenue
63,CCNB - Bathurst,GVAN,Technical and Vocational,"C.P. 266, 725, rue du College, Bathurst, New Brunswick, Canada, (506) 547-2145",NB,1,Employment and Social Development Canada,725 rue du college bathurst new brunswick canada 547 2145,725,rue du college
64,Moncton Hospital School of Radiologic Technology,GVAO,Technical and Vocational,"135 Macbeath, Moncton, New Brunswick, Canada, (506) 857-5111",NB,1,Employment and Social Development Canada,135 macbeath moncton new brunswick canada 857 5111,135,macbeath
65,Saint John School of Radiation Therapy,GVAQ,Technical and Vocational,"400 University Avenue, Saint John, New Brunswick, Canada, (506) 738-8959",NB,1,Employment and Social Development Canada,400 university avenue saint john new brunswick canada 738 8959,400,university avenue
66,CCNB - Dieppe,GVAT,Technical and Vocational,"505, rue College, Dieppe, New Brunswick, Canada, (506) 856-2200",NB,1,Employment and Social Development Canada,505 rue college dieppe new brunswick canada 856 2200,505,rue college
67,College de Technologie forestiere des Maritimes,GVAU,Technical and Vocational,"725, rue du College, C.P. 266, Bathurst, New Brunswick, Canada, (506) 546-4176",NB,1,Employment and Social Development Canada,725 rue du college bathurst new brunswick canada 546 4176,725,rue du college
68,New Brunswick Community College - Miramichi,GVAV,Technical and Vocational,"P.O. Box 1053, 80 University Avenue, Miramichi, New Brunswick, Canada, (506) 778-6000",NB,1,Employment and Social Development Canada,80 university avenue miramichi new brunswick canada 778 6000,80,university avenue
69,New Brunswick Community College - Fredericton,GVAW,Technical and Vocational,"26 Duffie Drive, Fredericton, New Brunswick, Canada, (506) 453-3641",NB,1,Employment and Social Development Canada,26 duffie drive fredericton new brunswick canada 453 3641,26,duffie drive
