OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Nassreen Filsoof,Britannia Lodge,Mental Health,1090 Victoria Dr ,Vancouver,V5L 4G2,(604) 255-3711,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,65,N,,N,,N,,N,,N,,-123.0652695,49.2751821
Classic Care Homes Ltd,Connect Richmond,Acquired Injury,10971 Mortfield Gate  ,Richmond,V7A 2V7,(604) 330-8160,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,5,-123.1221356,49.1340419
Bethesda Christian Association,Bethesda South Richmond Home,Community Living,10984 Springmont Gate ,Richmond,V7E 1Y4,(604) 241-2770,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1915368,49.1340291
Yaletown House Society,Yaletown House,Long Term Care,1099 Cambie St ,Vancouver,V6B 5A8,(604) 689-0022,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,130,N,,N,,-123.1194831,49.2753454
Dr. Peter AIDS Foundation,Dr. Peter AIDS Foundation (Residence),Long Term Care,1110 Comox St ,Vancouver,V6E 1K5,(604) 331-3455,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,24,N,,N,,-123.1296119,49.2817581
Residences for Independent Living Society,Steveston Residence,Long Term Care,11119 No. 1 Rd ,Richmond,V7E 1S6,(604) 241-3933,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,10,N,,N,,-123.1824083,49.1327544
Mennonite Intermediate Care Home Society,Pinegrove Place,Long Term Care,11331 Mellis Dr ,Richmond,V6X 1L8,(604) 278-1296,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,76,N,,N,,-123.0984471,49.1867925
Residences for Independent Living Society,False Creek Residence,Long Term Care,1167 Forge Walk ,Vancouver,V6H 3R1,(604) 731-0401,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,24,N,,N,,-123.1291889,49.2672813
547727 BC Ltd,Westminster House,Mental Health,11675 Bird Rd ,Richmond,V6X 1N7,(604) 270-9510,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0929868,49.1898883
Canadian Mental Health Association NWV,Harold House,Mental Health,1198 Harold Rd ,North Vancouver,V7K 1G3,(604) 971-1613,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.041008,49.3383988
Vancouver Coastal Health Authority,Cedarview Lodge,Long Term Care,1200 Cedar Village Close ,North Vancouver,V7J 3P3,604-904-6400,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,89,N,,N,,-123.0400524,49.3264386
Bernard C. Vinge & Associates (HCS) Ltd.,1220 East 14th,Community Living,1220 14th St E ,North Vancouver,V7J 1K2,(604) 926-8570,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0404142,49.3209903
Coast Foundation Society (1974),Highland Manor,Mental Health,1232 W 15th Ave ,Vancouver,V6H 1R8,(604) 731-7310,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,13,N,,N,,N,,N,,N,,-123.1322017,49.2576605
Haro Park Centre Society,Haro Park Centre,Long Term Care,1233 Haro St ,Vancouver,V6E 3Y5,(604) 687-5584,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,154,N,,N,,-123.1284501,49.2856281
North Shore Connexions Society,Barlynn House,Community Living,1240 Barlynn Crescent ,North Vancouver,V7J 1P6,604-988-2685,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0398716,49.3286223
Coast Foundation Society (1974) ,Ananda House,Mental Health,1249 E 8th Ave ,Vancouver,V5T 1V3,(604) 872-7134,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,20,N,,N,,N,,N,,N,,-123.0783121,49.263592
Broadway Pentecoastal Care Association,Broadway Pentecostal Lodge,Long Term Care,1377 Lamey's Mill Rd ,Vancouver,V6H 3S9,(604) 733-1441,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,114,N,,N,,-123.1343725,49.2674371
Western Human Resource Corp.,Woodvan,Community Living,1384 E 61st Ave ,Vancouver,V5X 2C7,(604) 325-9765,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0777711,49.214385
"MPA - Motivation, Power & Achievement Society",Berman House,Mental Health,1400 Lakewood Dr ,Vancouver,V5L 4M8,(604) 254-6065,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0614952,49.2718547
North Shore Connexions Society,Kilmer House,Community Living,1434 Kilmer Road ,North Vancouver,V7K 1R2,604-985-4599,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0341251,49.3463883
Coast Mental Health,Bridge House,Mental Health,1435 E 19th Ave ,Vancouver,V5N 2H9,(604) 872-3794,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,7,N,,N,,N,,N,,N,,-123.074661,49.2537377
Coast Foundation - AP Department,Emerald Place,Mental Health,15 Renfrew St ,Vancouver,V5K 4A5,(604) 255-3034,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0445436,49.2845069
North Shore Connexions Society,Lynn Valley House,Community Living,1525/1527 Lynn Valley Road ,North Vancouver,V7J 2B1,604-990-0835,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,7,N,,-123.0310686,49.340396
Creekstone Care Centre Limited Partnership,Creekstone Care Centre,Long Term Care,1526 Oxford St ,North Vancouver,V7J 1E5,(778) 729-0270,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,180,N,,N,,-123.0313431,49.3062759
Canadian Mental Health Association NWV,Arborlynn House,Mental Health,1573 Arborlynn Dr ,North Vancouver,V7J 2V7,(604) 971-1612,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0321152,49.322564
North Shore Disability Resource Centre ,Kerrstead Place,Community Living,1608 Kerrstead Pl ,North Vancouver,V7J 3T4,(604) 987-6295,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0302386,49.3381035
Major Development Ltd./Fairway Properties Ltd./503394 BC Inc.,South Granville Park Lodge,Long Term Care,1645 W 14th Ave ,Vancouver,V6J 2J4,(604) 732-8633,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,120,N,,N,,-123.1426813,49.2592356
Canadian Mental Health Association NWV,Lillian House,Mental Health,167 E 27th St ,North Vancouver,V7N 1B3,(604) 971-2740,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,7,N,,N,,N,,N,,N,,-123.0691321,49.3338691
Greater Vancouver Community Services Society,Coleman Street Group Home,Community Living,1693 Coleman St ,North Vancouver,V7K 1X2,(604) 984-4236,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0254987,49.3504115
Andre Chevrier,Melody House,Mental Health,1730 Macdonald St ,Vancouver,V6K 3X8,(604) 733-4997,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,9,N,,N,,N,,N,,N,,-123.1681556,49.2705781
"MPA - Motivation, Power & Achievement Society",Virginia House,Mental Health,1754 W 11th Ave ,Vancouver,V6J 2C3,(604) 739-3207,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,9,N,,N,,N,,N,,N,,-123.1447641,49.2615516
Developmental Disabilities Association of Vancouver-Richmond,47th Avenue Residence,Community Living,1759 E 47th Ave ,Vancouver,V5P 1P6,(604) 325-0210,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.070041,49.2279307
Saltgrass Health Inc. ,Leaside Place,Acquired Injury,1807 E 64th Ave ,Vancouver,V5P 2M9,(604) 323-9117,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,8,-123.068935,49.2121813
C & E Home Care Inc.,C & E Home ,Mental Health,1818 Westview Dr ,North Vancouver,V7M 3A8,(604) 985-5683,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,6,N,,N,,N,,N,,N,,-123.0892214,49.3255315
Waterloo Rest Home Ltd.,Waterloo Rest Home Ltd,Mental Health,1835 Waterloo St ,Vancouver,V6R 3G5,(604) 731-5959,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,9,N,,N,,N,,N,,N,,-123.1799944,49.2697647
Renfrew Seniors Village 3 LLP,Renfrew Care Centre,Long Term Care,1880 Renfrew St ,Vancouver,V5M 3H9,(604) 255-7723,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,106,N,,N,,-123.0437771,49.2678578
North Shore Connexions Society,Peters Road House,Community Living,1904 Peters Road ,North Vancouver,V7J 1Y9,(604) 987-2221,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0222214,49.341873
North Shore Connexions Society,Padwick House,Community Living,1924 Jones Avenue ,North Vancouver,V7M 2W5,604-984-2238,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0811369,49.3267725
North Shore Connexions Society,Larson House,Community Living,1945 Larson Rd ,North Vancouver,V7M 2Z8,(604) 988-1295,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0869418,49.3272173
German Canadian Benevolent Society of B.C.,German Canadian Care Home,Long Term Care,2010 Harrison Dr ,Vancouver,V5P 2P6,(604) 713-6500,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,137,N,,N,,-123.0651145,49.2098792
Coast Mental Health,Crossroads,Mental Health,2046 Dunbar St ,Vancouver,V6R 3M4,(604) 730-2855,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.1833749,49.2679435
HCN-Revera Lessee (Hollyburn House) LP,Hollyburn House,Long Term Care,2095 Marine Dr ,West Vancouver,V7V 4V5,604-922-7616,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,38,N,,N,,-123.167157,49.3299082
L & T Services Ltd.,Gladstone House ( L & T Services),Acquired Injury,2182 E 30th Ave ,Vancouver,V5N 3A6,(604) 431-2960,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,11,-123.0635011,49.2429944
Vancouver Coastal Health,Venture,Mental Health,220 E 13th Ave ,Vancouver,V5T 2K4,(604) 675-3620,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,20,N,,N,,N,,N,,N,,-123.1002884,49.2590505
Strive Living Society,Windridge House,Community Living,2209 Windridge Dr ,North Vancouver,V7H 1B6,(604) 929-5176,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0142042,49.3097667
Finnish Canadian Rest Home Association,Finnish Home,Long Term Care,2288 Harrison Dr ,Vancouver,V5P 2P6,(604) 325-8241,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,64,N,,N,,-123.0607974,49.2082752
Helios Learning Point Society,Bridgit House,Community Living,229 22nd St W ,North Vancouver,V7M 2A2,(604) 986-4888,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0766187,49.3290462
Hamilton High Street Residence Inc.,Hamilton High Street Residence,Long Term Care,23100 Garripie Ave ,Richmond,V6V 0B9,(604) 214-5700,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,12,N,,N,,-122.9677753,49.1782749
Hamilton Village Care Centre Limited Partnership,Hamilton Village Care Centre,Long Term Care,23111 Garripie Ave ,Richmond,V6V 1B8,(778) 326-0104,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,135,N,,N,,-122.9669384,49.1784127
Bernard C. Vinge & Associates (HCS) Ltd.,2333 East 8th,Community Living,2333 E 8th Ave ,Vancouver,V5N 5R7,(604) 251-5249,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0577226,49.2633118
North Shore Disability Resource Society Association,Wilding Way,Community Living,2412 Wilding Way ,North Vancouver,V7N 4J4,(604) 986-1260,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0534125,49.3307307
Point Grey Private Hospital Ltd,Point Grey Seniors Care,Long Term Care,2423 Cornwall Ave ,Vancouver,V6K 1B9,(604) 733-7133,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,80,N,,N,,-123.1603599,49.2729248
Vancouver Coastal Health,Berkley Care Centre,Long Term Care,2444 Burr Pl ,North Vancouver,V7H 3A5,(604) 924-8356,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,189,N,,N,,-123.0060474,49.312135
North Shore Connexions Society,Edgemont House,Community Living,2490 Edgemont Blvd ,North Vancouver,V7R 2M8,(604) 984-9321,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0948838,49.3328531
North Shore Connexions Society,Carnation House,Community Living,2524 Carnation Street ,North Vancouver,V7H 1H5,604-929-0636,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0045886,49.3183186
Coast Mental Health,Pender House,Mental Health,2596 E Pender St ,Vancouver,V5K 2B5,(604) 253-9534,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.0522329,49.2798711
North Shore Connexions Society,Walpole House,Community Living,2597 Walpole Crescent ,North Vancouver,V7H 1K6,604-929-1457,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0014172,49.3216264
Sea to Sky Community Services,Our House,Community Living,2620 Hoskins Road ,North Vancouver,V7J 3A3,(604) 904-1020,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0257809,49.3323066
Developmental Disabilities Association of Vancouver-Richmond,East 45th Group Home,Community Living,2639 E 45th Ave ,Vancouver,V5R 3B9,(604) 437-0933,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0525228,49.2296872
Strive Living Society,Blueridge House,Community Living,2669 Standish Dr ,North Vancouver,V7H 1M9,(604) 924-1656,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0002634,49.3249991
posAbilities Association of BC,Rosemont House,Community Living,2702 Rosemont Dr ,Vancouver,V5S 2C5,(604) 451-8405,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0496436,49.2194742
VRS Communities Society,Duke House,Acquired Injury,2707 Duke St ,Vancouver,V5R 4S8,(604) 439-0980,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,N,,Y,5,-123.0497683,49.2393317
Health and Home Care Society,Health and Home Care Society of British Columbia,Long Term Care,2711 E 49th Ave ,Vancouver,V5S 1K3,(604) 327-9525,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,12,N,,N,,-123.050944,49.2248112
Fair Haven Homes Society,Fair Haven Homes Vancouver Lodge,Long Term Care,2720 E 48th Ave ,Vancouver,V5S 1G7,(604) 433-2939,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,101,N,,N,,-123.0513694,49.2253678
posAbilities Association of BC,Trillium House,Community Living,2749 Wyat Pl ,North Vancouver,V7H 1K5,(604) 987-3558,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-122.9980666,49.3206867
"HCN - Revera Lessee (Crofton Manor) LP by its general partner, HCN-Revera Lessee (Crofton Manor) GP Inc.",Crofton Manor,Long Term Care,2803 W 41st Ave ,Vancouver,V6N 4B4,(604) 263-0921,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,90,N,,N,,-123.1680041,49.2354933
"MPA - Motivation, Power & Achievement Society",Winston Manor,Mental Health,2805 W 7th Ave ,Vancouver,V6K 1Z5,(604) 742-1536,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,8,N,,N,,N,,N,,N,,-123.1686393,49.2660447
Coast Foundation Society (1974) ,Champlain House,Mental Health,2810 E 51st Ave ,Vancouver,V5S 1R3,(604) 435-1300,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,Y,10,N,,N,,N,,N,,N,,-123.0483817,49.2227007
WJS Canada,Our Place,Community Living,287 E 33rd Ave ,Vancouver,V5V 2Z7,(604) 874-3120,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0993326,49.2407212
Three Links Care Society,Three Links Care Centre,Long Term Care,2934 E 22nd Ave ,Vancouver,V5M 2Y4,(604) 434-7211,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,90,N,,N,,-123.0429307,49.2503144
Community Living Society,Newmarket Drive,Community Living,2985 Newmarket Dr  ,North Vancouver,V7R 2T7,604-984-8058,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1026853,49.3365841
Villa Carital Society,Villa Carital,Long Term Care,3050 Penticton St ,Vancouver,V5M 4W2,(604) 434-0995,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,Y,81,N,,N,,-123.0521465,49.2565839
Community Living Society,Paisley House,Community Living,3091 Paisley Rd ,North Vancouver,V7R 1C7,604-984-9685,http://www.vch.ca/public-health/licensing/residential-care/,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1080939,49.3365668
