X,Y,OBJECTID,ADDRESS,FOLDERTYPE,FILENO,INDATE,ISSUEDATE,WORKDESC,SUBDESC,FOLDERSTATUSDESC,REFERENCEFILE
597263.500000001862645,4797982.499999998137355,27,2019 CAROLINE ST.,CP Commercial,18-002433,2018-02-15T00:00:00.000Z,2018-03-08T00:00:00.000Z,Demolition -Building,Commercial - Business/Personal Serv.,Final,
597286.687520002014935,4798000.999999998137355,28,2025 CAROLINE ST.,SO Other Single Detached Dwelling,18-002428,2018-02-15T00:00:00.000Z,2018-03-02T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
597340.125000001862645,4798067.499999998137355,29,2049 CAROLINE ST.,SO Other Single Detached Dwelling,16-017647,2016-08-23T00:00:00.000Z,2016-08-30T00:00:00.000Z,New,Detached Garage,Final,
597316.875000001862645,4798121.999999998137355,30,2052 EMERALD CRES.,SO Other Single Detached Dwelling,17-006487,2017-04-24T00:00:00.000Z,2017-05-19T00:00:00.000Z,New,Detached Garage,Final,
596404.375000001862645,4797891.499999998137355,31,698 LAMBSHEAD DR.,SO Other Single Detached Dwelling,16-010368,2016-06-06T00:00:00.000Z,2016-06-16T00:00:00.000Z,New (No ZC Reqd),Attached Deck,Issued,
596677.062520002014935,4797312.499999998137355,32,573 MAPLE AVE.,CP Commercial,19-008501,2019-05-09T00:00:00.000Z,,Renovation,Office,Deficiency Letter,
596429.000000001862645,4797224.499999998137355,34,612 YOUNG AVE.,SO Other Single Detached Dwelling,19-002557,2019-02-11T00:00:00.000Z,2019-02-25T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
598478.437480002641678,4798644.499999998137355,35,368 BEAVER ST.,PL Plumbing,17-008325,2017-05-17T00:00:00.000Z,2017-06-02T00:00:00.000Z,Backwater Valve,Single Detached Dwelling,Final,
598521.937480002641678,4798564.499999998137355,36,345 PEPPER DR.,SO Other Single Detached Dwelling,19-002953,2019-02-19T00:00:00.000Z,2019-03-28T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
598484.437480002641678,4798533.999999998137355,37,348 PEPPER DR.,SO Other Single Detached Dwelling,17-006949,2017-05-01T00:00:00.000Z,2017-05-15T00:00:00.000Z,New,Accessory Building,Final,
599011.000000001862645,4804662.499999998137355,38,5030 MAINWAY,IP Industrial,17-003453,2017-03-02T00:00:00.000Z,2017-04-20T00:00:00.000Z,Renovation (No ZC Reqd),Medium Hazard Industrial Facility,Final,
599011.000000001862645,4804662.499999998137355,39,5030 MAINWAY,IP Industrial,17-013879,2017-07-18T00:00:00.000Z,2017-08-09T00:00:00.000Z,Renovation (No ZC Reqd),Warehouse Facility,Final,
599011.000000001862645,4804662.499999998137355,40,5030 MAINWAY,IP Industrial,18-025116,2018-10-23T00:00:00.000Z,2018-12-05T00:00:00.000Z,Renovation (No ZC Reqd),Warehouse Facility,Issued,
598616.687520002014935,4804802.999999998137355,41,1309 APPLEBY LINE,SO Other Single Detached Dwelling,17-021756,2017-10-26T00:00:00.000Z,2018-05-11T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
598616.687520002014935,4804802.999999998137355,42,1309 APPLEBY LINE,SO Other Single Detached Dwelling,16-022308,2016-11-04T00:00:00.000Z,2016-11-09T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
600412.562480002641678,4805280.499999998137355,43,5415 NORTH SERVICE RD.,TT Temporary Structure,17-013470,2017-07-14T00:00:00.000Z,2017-07-25T00:00:00.000Z,,Tent,Final,
600527.687520002014935,4805464.999999998137355,46,5420 NORTH SERVICE RD.,CP Commercial,17-014012,2017-10-23T00:00:00.000Z,2017-12-07T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
600527.687520002014935,4805464.999999998137355,47,5420 NORTH SERVICE RD.,CP Commercial,17-024892,2017-12-15T00:00:00.000Z,2018-01-23T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
600527.687520002014935,4805464.999999998137355,48,5420 NORTH SERVICE RD.,CP Commercial,17-014012,2017-07-19T00:00:00.000Z,2017-08-04T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
600527.687520002014935,4805464.999999998137355,49,5420 NORTH SERVICE RD.,CP Commercial,17-003115,2017-02-27T00:00:00.000Z,2017-03-02T00:00:00.000Z,Renovation (No ZC Reqd),Commercial - Business/Personal Serv.,Issued,
596394.000000001862645,4797213.999999998137355,52,1158 CASADOR CRT.,PL Plumbing,15-011387,2015-06-19T00:00:00.000Z,2015-06-23T00:00:00.000Z,Backwater Valve,Single Detached Dwelling,Final,
596718.312480002641678,4804636.999999998137355,53,2105 MUIRFIELD CRT.,SO Other Single Detached Dwelling,17-002463,2017-02-15T00:00:00.000Z,2017-03-09T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
595739.00314000248909,4798230.2156499996781,56,1235 FAIRVIEW ST.,CP Commercial,19-006767,2019-04-15T00:00:00.000Z,,Renovation (No ZC Reqd),Commercial - Retail,Deficiency Letter,
595739.00314000248909,4798230.2156499996781,58,1235 FAIRVIEW ST.,CP Commercial,16-021047,2016-10-14T00:00:00.000Z,2017-07-14T00:00:00.000Z,Renovation (No ZC Reqd),Commercial - Business/Personal Serv.,Issued,
598580.500000001862645,4798614.499999998137355,60,341 BEAVER ST.,SO Other Single Detached Dwelling,15-011437,2015-06-22T00:00:00.000Z,2015-07-20T00:00:00.000Z,Renovation,Single Detached Dwelling,Final,
598580.500000001862645,4798614.499999998137355,61,341 BEAVER ST.,SO Other Single Detached Dwelling,15-011437,2015-08-11T00:00:00.000Z,2015-08-26T00:00:00.000Z,Renovation,Single Detached Dwelling,Final,
598535.250000001862645,4798589.999999998137355,62,346 BEAVER ST.,SO Other Single Detached Dwelling,16-022094,2016-11-01T00:00:00.000Z,2016-11-15T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
597749.062520002014935,4805852.999999998137355,65,2121 WOODGLEN CRES.,SO Other Single Detached Dwelling,16-005604,2016-04-11T00:00:00.000Z,2016-04-25T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
597572.812480002641678,4805764.499999998137355,66,2178 BIRCHLEAF LANE,SO Other Single Detached Dwelling,17-012102,2017-06-27T00:00:00.000Z,2017-07-12T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
596273.812480002641678,4797315.999999998137355,67,1064 AUGUSTUS DR.,SO Other Single Detached Dwelling,15-015009,2015-08-07T00:00:00.000Z,2015-08-27T00:00:00.000Z,New (No ZC Reqd),Attached Deck,Final,
596273.812480002641678,4797315.999999998137355,68,1064 AUGUSTUS DR.,SO Other Single Detached Dwelling,16-004450,2016-03-21T00:00:00.000Z,2016-03-29T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
599845.750000001862645,4805668.499999998137355,70,5335 JOHN LUCAS DR.,IP Industrial,16-018852,2016-09-08T00:00:00.000Z,2018-11-30T00:00:00.000Z,New,Medium Hazard Industrial Facility,Issued,535-007/15
599845.750000001862645,4805668.499999998137355,71,5335 JOHN LUCAS DR.,IP Industrial,16-018852,2019-04-12T00:00:00.000Z,2019-05-14T00:00:00.000Z,New,Medium Hazard Industrial Facility,Issued,535-007/15
596226.250000001862645,4797042.499999998137355,72,1118 AUGUSTUS DR.,SO Other Single Detached Dwelling,16-016154,2016-08-05T00:00:00.000Z,2016-08-17T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
596252.562520002014935,4797061.999999998137355,73,1122 AUGUSTUS DR.,SO Other Single Detached Dwelling,16-019544,2016-09-20T00:00:00.000Z,2016-09-30T00:00:00.000Z,New,Attached Deck,Final,
597268.375000001862645,4798201.499999998137355,75,2066 WELLINGTON AVE.,SO Other Single Detached Dwelling,15-015529,2015-08-17T00:00:00.000Z,2015-08-18T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
597268.375000001862645,4798201.499999998137355,76,2066 WELLINGTON AVE.,SO Other Single Detached Dwelling,15-022951,2015-12-07T00:00:00.000Z,2015-12-18T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
597381.062520002014935,4798323.999999998137355,77,2106 WELLINGTON AVE.,SO Other Single Detached Dwelling,15-022721,2015-12-03T00:00:00.000Z,2015-12-21T00:00:00.000Z,New,Accessory Building,Final,
597362.312480002641678,4797848.499999998137355,80,2010 MARIA ST.,CP Commercial,17-023182,2017-11-17T00:00:00.000Z,2018-01-18T00:00:00.000Z,Repair,Commercial - Retail,Issued,
597369.437480002641678,4797895.999999998137355,81,501 JOHN ST.,M3 Multi-Res (Part 3),19-006870,2019-04-18T00:00:00.000Z,2019-05-31T00:00:00.000Z,Maglocks (No ZC Reqd),Apartment,Issued,
597369.437480002641678,4797895.999999998137355,82,501 JOHN ST.,M3 Multi-Res (Part 3),16-018150,2016-08-29T00:00:00.000Z,2016-10-06T00:00:00.000Z,Excavation (No ZC Reqd),Apartment,Final,
597369.437480002641678,4797895.999999998137355,83,501 JOHN ST.,CP Commercial,16-012599,2016-06-20T00:00:00.000Z,2016-06-29T00:00:00.000Z,Demolition -Building,Commercial - Business/Personal Serv.,Final,
597507.625000001862645,4798077.499999998137355,84,2083 MARIA ST.,SO Other Single Detached Dwelling,17-017824,2017-09-01T00:00:00.000Z,2017-11-22T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
597981.500000001862645,4798432.499999998137355,85,2240 NEW ST.,SO Other Single Detached Dwelling,16-020130,2016-09-27T00:00:00.000Z,2016-10-11T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
596293.812480002641678,4796392.499999998137355,86,1016 NORTH SHORE BLVD. E,SO Other Single Detached Dwelling,02-427005,2016-08-18T00:00:00.000Z,2016-10-05T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
596293.812480002641678,4796392.499999998137355,87,1016 NORTH SHORE BLVD. E,SO Other Single Detached Dwelling,19-004000,2019-03-06T00:00:00.000Z,2019-03-18T00:00:00.000Z,New,Attached Deck,Issued,
596311.625000001862645,4796372.499999998137355,88,1020 NORTH SHORE BLVD. E,SO Other Single Detached Dwelling,17-014231,2017-07-24T00:00:00.000Z,2017-08-21T00:00:00.000Z,New,Attached Garage/Carport,Final,
597506.750000001862645,4798107.999999998137355,89,498 MARTHA ST.,SO Other Single Detached Dwelling,16-003154,2016-02-29T00:00:00.000Z,2016-03-24T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
597506.750000001862645,4798107.999999998137355,90,498 MARTHA ST.,SO Other Single Detached Dwelling,16-015120,2016-07-20T00:00:00.000Z,2016-09-14T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
597479.187520002014935,4798065.499999998137355,91,503 PEARL ST.,SO Other Single Detached Dwelling,16-007142,2016-04-29T00:00:00.000Z,2016-05-10T00:00:00.000Z,New (No ZC Reqd),Attached Deck,Final,
597439.687520002014935,4798268.999999998137355,92,2097 EMERALD CRES.,SO Other Single Detached Dwelling,17-017237,2017-08-28T00:00:00.000Z,2017-09-11T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
597472.375000001862645,4798237.999999998137355,93,2103 EMERALD CRES.,PL Plumbing,15-018072,2015-09-21T00:00:00.000Z,2015-10-02T00:00:00.000Z,External Plumbing - Alter/Replace,Single Detached Dwelling,Final,
597372.062520002014935,4798161.999999998137355,94,534 EMERALD ST.,SO Other Single Detached Dwelling,18-007217,2018-04-25T00:00:00.000Z,2018-05-09T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
597358.062520002014935,4798174.999999998137355,96,542 EMERALD ST.,SO Other Single Detached Dwelling,15-011522,2015-06-23T00:00:00.000Z,2015-07-28T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
597301.125000001862645,4798236.499999998137355,97,564 EMERALD ST.,SO Other Single Detached Dwelling,19-004080,2019-03-11T00:00:00.000Z,2019-03-18T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
597243.187520002014935,4798325.499999998137355,99,588 EMERALD ST.,SO Other Single Detached Dwelling,18-020301,2018-08-24T00:00:00.000Z,2018-09-05T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
597180.250000001862645,4798269.499999998137355,100,2053 HALTON PL.,SO Other Single Detached Dwelling,17-010393,2017-06-07T00:00:00.000Z,2017-06-30T00:00:00.000Z,Renovation,Single Detached Dwelling,Issued,
597180.250000001862645,4798269.499999998137355,101,2053 HALTON PL.,SO Other Single Detached Dwelling,17-020950,2017-10-13T00:00:00.000Z,2017-11-07T00:00:00.000Z,Renovation,Single Detached Dwelling,Final,
597193.750000001862645,4798280.499999998137355,102,2055 HALTON PL.,PL Plumbing,16-023934,2016-12-06T00:00:00.000Z,2016-12-06T00:00:00.000Z,Water Service Pipe,Single Detached Dwelling,Final,
597192.375000001862645,4798332.499999998137355,104,2074 VICTORIA AVE.,SO Other Single Detached Dwelling,17-009243,2017-05-29T00:00:00.000Z,2017-06-05T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
597192.375000001862645,4798332.499999998137355,105,2074 VICTORIA AVE.,SO Other Single Detached Dwelling,17-012904,2017-07-07T00:00:00.000Z,2017-07-18T00:00:00.000Z,New,Single Detached Dwelling,Final,
597099.625000001862645,4798241.999999998137355,106,2040 WELLINGTON AVE.,SO Other Single Detached Dwelling,17-015816,2017-08-09T00:00:00.000Z,2017-08-28T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
595509.250000001862645,4804915.999999998137355,107,2938 ADDISON ST.,SO Other Single Detached Dwelling,18-009245,2018-05-18T00:00:00.000Z,2018-06-04T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
596969.625000001862645,4797229.999999998137355,108,490 BROCK AVE.,SO Other Single Detached Dwelling,16-020544,2016-10-04T00:00:00.000Z,2016-10-14T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Issued,
596969.625000001862645,4797229.999999998137355,109,490 BROCK AVE.,M3 Multi-Res (Part 3),18-025457,2018-11-01T00:00:00.000Z,,Excavation (No ZC Reqd),Apartment,Deficiency Letter,
596975.187520002014935,4797255.499999998137355,110,492 BROCK AVE.,SO Other Single Detached Dwelling,15-017861,2015-09-21T00:00:00.000Z,2015-09-28T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
599684.562520002014935,4805453.999999998137355,111,5311 JOHN LUCAS DR.,IP Industrial,17-014644,2017-07-27T00:00:00.000Z,2017-09-01T00:00:00.000Z,Repair (No ZC Reqd),Warehouse Facility,Final,
599684.562520002014935,4805453.999999998137355,112,5311 JOHN LUCAS DR.,CP Commercial,17-003571,2017-03-07T00:00:00.000Z,2017-05-11T00:00:00.000Z,New,Commercial - Business/Personal Serv.,Final,
599684.562520002014935,4805453.999999998137355,113,5311 JOHN LUCAS DR.,CP Commercial,18-001588,2018-01-29T00:00:00.000Z,2018-02-12T00:00:00.000Z,Renovation,Office,Issued,
599684.562520002014935,4805453.999999998137355,114,5311 JOHN LUCAS DR.,CP Commercial,17-017141,2017-08-23T00:00:00.000Z,2017-09-29T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
599665.937480002641678,4804874.499999998137355,118,1055 PACHINO CRT.,IP Industrial,18-008407,2018-05-14T00:00:00.000Z,2018-08-15T00:00:00.000Z,Addition,Warehouse Facility,Occupiable,
599246.625000001862645,4804330.499999998137355,119,5035 NORTH SERVICE RD.,IP Industrial,18-012576,2018-06-18T00:00:00.000Z,2018-07-11T00:00:00.000Z,Renovation,Warehouse Facility,Final,
597707.500000001862645,4805843.499999998137355,120,2126 WOODGLEN CRES.,SO Other Single Detached Dwelling,17-012186,2017-06-28T00:00:00.000Z,2017-07-12T00:00:00.000Z,New,Attached Deck,Final,
597785.312480002641678,4805936.499999998137355,121,2158 WOODGLEN CRES.,SO Other Single Detached Dwelling,18-004679,2018-03-20T00:00:00.000Z,2018-04-03T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
596301.062520002014935,4797178.499999998137355,122,611 WILLIAMSON CRT.,SO Other Single Detached Dwelling,15-018650,2015-09-30T00:00:00.000Z,2015-11-02T00:00:00.000Z,Repair,Single Detached Dwelling,Final,
596243.250000001862645,4797136.499999998137355,125,608 WILLIAMSON CRT.,SO Other Single Detached Dwelling,17-019763,2017-09-27T00:00:00.000Z,2017-10-11T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
596663.812480002641678,4796366.499999998137355,126,1070 ALGONQUIN RD.,SF New Single Detached Dwelling,18-008997,2018-05-15T00:00:00.000Z,2018-06-01T00:00:00.000Z,Infill,Single Detached Dwelling,Occupiable,
596663.812480002641678,4796366.499999998137355,127,1070 ALGONQUIN RD.,SO Other Single Detached Dwelling,17-023771,2017-11-29T00:00:00.000Z,2017-12-01T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
596706.562520002014935,4796281.999999998137355,128,423 INDIAN RD.,SO Other Single Detached Dwelling,15-016678,2015-09-01T00:00:00.000Z,2015-09-15T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
596706.562520002014935,4796281.999999998137355,129,423 INDIAN RD.,SF New Single Detached Dwelling,15-019868,2015-10-15T00:00:00.000Z,2015-10-30T00:00:00.000Z,New,Single Detached Dwelling,Final,MD-053/15
596327.937480002641678,4796358.499999998137355,131,1022 NORTH SHORE BLVD. E,DS Designated Structure,17-004120,2017-03-17T00:00:00.000Z,2017-03-28T00:00:00.000Z,Dish Antenna/Solar Collector(No ZC Reqd),Single Detached Dwelling,Final,
596211.750000001862645,4797249.999999998137355,133,1078 AUGUSTUS DR.,SO Other Single Detached Dwelling,19-001977,2019-01-30T00:00:00.000Z,2019-02-22T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,
596183.875000001862645,4797071.499999998137355,134,1112 AUGUSTUS DR.,SO Other Single Detached Dwelling,15-014325,2015-07-30T00:00:00.000Z,2015-08-13T00:00:00.000Z,New (No ZC Reqd),Attached Deck,Final,
598509.312480002641678,4798576.499999998137355,135,351 PEPPER DR.,SO Other Single Detached Dwelling,17-013317,2017-07-12T00:00:00.000Z,2017-07-25T00:00:00.000Z,Demolition- Partial Building,Single Detached Dwelling,Final,
598434.250000001862645,4798642.499999998137355,136,375 PEPPER DR.,SO Other Single Detached Dwelling,19-007418,2019-04-26T00:00:00.000Z,2019-05-10T00:00:00.000Z,New,Attached Deck,Issued,
598391.125000001862645,4798619.999999998137355,137,380 PEPPER DR.,PL Plumbing,17-004559,2017-03-23T00:00:00.000Z,2017-03-27T00:00:00.000Z,Backwater Valve,Single Detached Dwelling,Issued,
599900.437480002641678,4805822.499999998137355,138,1340 HEINE CRT.,IP Industrial,16-003524,2016-03-04T00:00:00.000Z,2016-06-06T00:00:00.000Z,New,Warehouse Facility,Final,535-009/15
599807.750000001862645,4805863.999999998137355,139,5450 MAINWAY,IP Industrial,15-017065,2015-09-08T00:00:00.000Z,2015-10-16T00:00:00.000Z,Renovation (No ZC Reqd),Manufacturing Facility,Final,
599999.875000001862645,4805707.499999998137355,141,5353 JOHN LUCAS DR.,CP Commercial,16-004217,2016-03-17T00:00:00.000Z,2016-04-06T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
599999.875000001862645,4805707.499999998137355,144,5353 JOHN LUCAS DR.,CP Commercial,16-013855,2016-07-06T00:00:00.000Z,2016-08-29T00:00:00.000Z,Renovation (No ZC Reqd),Commercial - Business/Personal Serv.,Final,
599532.187520002014935,4804162.999999998137355,146,5045 NORTH SERVICE RD.,IP Industrial,17-010912,2017-06-15T00:00:00.000Z,2017-07-07T00:00:00.000Z,Renovation,Warehouse Facility,Final,
599575.812480002641678,4804232.999999998137355,147,5051 NORTH SERVICE RD.,P1 Plumbing Site Service,18-014240,2018-06-26T00:00:00.000Z,2019-01-14T00:00:00.000Z,Site Servicing - New,Industrial,Issued,
599575.812480002641678,4804232.999999998137355,148,5051 NORTH SERVICE RD.,IP Industrial,19-001737,2019-01-29T00:00:00.000Z,,Addition,Warehouse Facility,Deficiency Letter,535-009/17
599627.375000001862645,4804287.999999998137355,149,5063 NORTH SERVICE RD.,CP Commercial,17-005095,2017-04-03T00:00:00.000Z,2017-04-28T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
598382.875000001862645,4798501.499999998137355,150,366 DELAWARE AVE.,SO Other Single Detached Dwelling,16-004097,2016-03-15T00:00:00.000Z,2016-04-07T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
598382.875000001862645,4798501.499999998137355,151,366 DELAWARE AVE.,SF New Single Detached Dwelling,16-004789,2016-03-29T00:00:00.000Z,2016-04-12T00:00:00.000Z,New,Single Detached Dwelling,Final,MD-003/16
598329.812480002641678,4798551.999999998137355,152,386 DELAWARE AVE.,SO Other Single Detached Dwelling,18-022097,2018-09-17T00:00:00.000Z,2018-10-01T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
598648.812480002641678,4798605.999999998137355,153,324 EAST SIDE CRES.,SO Other Single Detached Dwelling,17-024891,2017-12-19T00:00:00.000Z,2017-12-22T00:00:00.000Z,Renovation,Single Detached Dwelling,Final,
597985.125000001862645,4798314.999999998137355,156,427 SMITH AVE.,SO Other Single Detached Dwelling,16-014104,2016-07-11T00:00:00.000Z,2016-07-22T00:00:00.000Z,New,Accessory Building,Final,
598069.687520002014935,4798458.999999998137355,157,429 STINSON AVE.,SO Other Single Detached Dwelling,16-007652,2016-05-04T00:00:00.000Z,2016-05-20T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
598069.687520002014935,4798458.999999998137355,158,429 STINSON AVE.,PL Plumbing,16-013243,2016-06-28T00:00:00.000Z,2016-06-30T00:00:00.000Z,External Plumbing - Alter/Replace,Single Detached Dwelling,Final,
598058.687520002014935,4798469.499999998137355,159,433 STINSON AVE.,SO Other Single Detached Dwelling,19-010014,2019-05-28T00:00:00.000Z,2019-06-03T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Issued,
597368.437480002641678,4798500.999999998137355,160,2141 BELLWOOD AVE.,PL Plumbing,17-006834,2017-04-27T00:00:00.000Z,2017-05-18T00:00:00.000Z,Backwater Valve,Single Detached Dwelling,Final,
597384.875000001862645,4798510.999999998137355,161,2145 BELLWOOD AVE.,PL Plumbing,17-005418,2017-04-06T00:00:00.000Z,2017-04-20T00:00:00.000Z,Building Sewer,Single Detached Dwelling,Final,
597384.875000001862645,4798510.999999998137355,162,2145 BELLWOOD AVE.,SO Other Single Detached Dwelling,17-004814,2017-03-29T00:00:00.000Z,2017-04-21T00:00:00.000Z,Addition,Single Detached Dwelling,Final,
597457.750000001862645,4798515.499999998137355,163,2155 BELLWOOD AVE.,SO Other Single Detached Dwelling,18-021985,2018-09-14T00:00:00.000Z,2018-09-26T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
597659.500000001862645,4798407.499999998137355,164,2175 CAROLINE ST.,SO Other Single Detached Dwelling,17-024828,2017-12-18T00:00:00.000Z,2018-01-12T00:00:00.000Z,Renovation (No ZC Reqd),Single Detached Dwelling,Final,
597336.000000001862645,4798508.999999998137355,165,612 WOODLAND AVE.,PL Plumbing,16-006595,2016-04-22T00:00:00.000Z,2016-04-26T00:00:00.000Z,External Plumbing - Alter/Replace,Single Detached Dwelling,Issued,
597336.000000001862645,4798508.999999998137355,166,612 WOODLAND AVE.,SO Other Single Detached Dwelling,16-006529,2016-04-21T00:00:00.000Z,2016-05-05T00:00:00.000Z,Addition,Single Detached Dwelling,Occupiable,
598654.937480002641678,4798392.499999998137355,172,290 GREEN ST.,SO Other Single Detached Dwelling,18-004384,2018-10-09T00:00:00.000Z,2018-10-24T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
598654.937480002641678,4798392.499999998137355,173,290 GREEN ST.,SO Other Single Detached Dwelling,18-004384,2018-03-19T00:00:00.000Z,2018-09-05T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
598689.062520002014935,4798425.999999998137355,174,291 GREEN ST.,SO Other Single Detached Dwelling,17-011599,2017-06-21T00:00:00.000Z,2017-06-26T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
598689.062520002014935,4798425.999999998137355,175,291 GREEN ST.,SF New Single Detached Dwelling,17-013592,2017-07-14T00:00:00.000Z,2017-07-31T00:00:00.000Z,Infill,Single Detached Dwelling,Final,
598683.312480002641678,4798335.499999998137355,176,2343 LAKESHORE RD.,SO Other Single Detached Dwelling,16-000476,2016-01-08T00:00:00.000Z,2016-01-22T00:00:00.000Z,Addition,Single Detached Dwelling,Occupiable,
598590.062520002014935,4798304.499999998137355,177,290 DELAWARE AVE.,SO Other Single Detached Dwelling,16-017939,2016-08-26T00:00:00.000Z,2016-09-12T00:00:00.000Z,Demolition -Building,Single Detached Dwelling,Final,
