"PermitID","PermitClass","TypeConst","UseCategory","IntendUse","ApplDate","IssDate","PermitNo","Address","legaldesc","GrossAreaSqFt","EstValue","DwellingUnitsCreated","DwellingUnitsDemolished","parcelno","Longitude","Latitude"
"309","Building","Addition","Residential","Single Detached Dwelling","2004-03-17","2004-03-19","B04-071","16 AJAX AVE","PLAN 64 LOT 155 NP612","352","4000","0","0","3777","-79.2429","42.9808"
"299","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-03-19","2004-03-19","P04-011","13 CARLTON AVE","PLAN 34 LOT 65 NP 668","0","1200","0","0","16053","-79.2546","43.0047"
"306","Pool","New","Accessory","","2004-03-17","2004-03-19","W04-004","105 NORTHWOOD DR","PLAN M69 LOT 10","600","17000","0","0","17756","-79.2766","43.0173"
"307","Building","New","Residential","Single Detached Dwelling","2004-03-01","2004-03-22","B04-052","28 DAYS AVE","PLAN 59M230 LOT 162","1363","110000","1","0","1725","-79.2414","43.0259"
"308","Building","New","Residential","Single Detached Dwelling","2004-03-10","2004-03-22","B04-059","116 TALBOT AVE","PLAN 59M247 LOT 15","999","137000","1","0","5797","-79.2440","42.9401"
"303","Building","New","Residential","Single Detached Dwelling","2004-03-12","2004-03-22","B04-061","36 COURTNEY CRES","PLAN 59M230 LOT 144","1362","115000","1","0","1829","-79.2403","43.0257"
"304","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-03-22","2004-03-22","P04-012","37 WOODCROFT CRES","PLAN 70 LOT 75","0","1300","0","0","14331","-79.2645","43.0017"
"296","Building","New","Residential","Single Detached Dwelling","2004-03-15","2004-03-23","B04-066","28 COURTNEY CRES","PLAN 59M230 LOT 145","1070","110000","1","0","1753","-79.2403","43.0258"
"291","Building","New","Residential","Single Detached Dwelling","2004-03-15","2004-03-23","B04-067","44 COURTNEY CRES","PLAN 59M230 LOT 143","1070","110000","1","0","1830","-79.2403","43.0256"
"305","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-03-22","2004-03-23","P04-013","13 CARLTON AVE","PLAN 34 LOT 65 NP 668","0","1000","0","0","16053","-79.2546","43.0047"
"310","Building","Addition","Residential","Single Detached Dwelling","2004-03-22","2004-03-24","B04-073","157 GADSBY AVE N","PLAN 37 LOT 14 NP671","144","1000","0","0","15367","-79.2477","43.0064"
"311","Building","New","Residential","Single Detached Dwelling","2004-02-24","2004-03-25","B04-049","268 FOXTAIL AVE","PLAN 59M246 LOT 107","1100","100000","1","0","19297","-79.2890","43.0014"
"292","Building","New","Residential","Single Detached Dwelling","2004-03-15","2004-03-29","B04-068","302 ST LAWRENCE DR","PLAN 59M230 LOT 113","1070","110000","1","0","1864","-79.2437","43.0261"
"324","Building","New","Residential","Single Detached Dwelling","2004-03-15","2004-03-29","B04-070","175 LEA CRES","PLAN 59M246 LOT 52","1550","130000","1","0","19359","-79.2879","43.0002"
"287","Building","New","Residential","Street Townhouse","2004-02-02","2004-03-30","B04-038","111 WILLOWLANDING CRT","PLAN 59M289 LOT 14","9240","730000","7","0","21355","-79.2432","43.0175"
"286","Building","New","Residential","Semi-Detached Dwelling","2004-02-05","2004-03-30","B04-042","64 WILLOWLANDING CRT","PLAN 59M289 LOT 3","2440","180000","2","0","21368","-79.2426","43.0186"
"332","Building","Partial","Industrial","Office/Warehouse","2004-03-29","2004-03-30","B04-078","401 ENTERPRISE DR","Part 16 on 59R-7328","21624","195000","0","0","6318","-79.2036","42.9753"
"323","Building","New","Institutional","Office","2004-02-09","2004-03-31","B04-044","745 DOANS RIDGE RD","Part 7 on Plan 59R-3972","1175","15000","0","0","25058","-79.1840","42.9640"
"325","Building","New","Residential","Single Detached Dwelling","2004-03-12","2004-03-31","B04-060","86 PROMENADE RICHELIEU","Part 2 on 59R-12230","1626","180000","1","0","21883","-79.2255","42.9919"
"318","Building","New","Residential","Single Detached Dwelling","2004-03-15","2004-03-31","B04-064","111 TALBOT AVE","PLAN 59M247 LOT 10","1100","165000","1","0","5802","-79.2440","42.9396"
"331","Building","New","Accessory","Shed","2004-03-26","2004-03-31","B04-079","196 BRADLEY AVE","PLAN 24 PT LOT 517 TO;PT LOT 520 PT LOT 527 TO;PT LOT 530 NP946","280","2700","0","0","6574","-79.2312","42.9695"
"355","Building","Alteration","Residential","Single Detached Dwelling","2004-03-31","2004-03-31","B04-082","32 COLBECK DR","PLAN 13 PT BLK C 5TH AVE;NP648;RP 59R3092 PART 1","0","5000","0","0","12006","-79.2643","42.9891"
"346","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-01","2004-04-02","P04-014","360 CORVETTE ST","PLAN 54 LOT 42 NP 973","0","500","0","0","7671","-79.2380","42.9836"
"290","Building","New","Residential","Single Detached Dwelling","2004-01-12","2004-04-06","B04-031","1 LYNBROOK LANE","LOT 1, PLAN 59M-320","1391","110000","1","0","21384","-79.2800","42.9909"
"340","Demolition","","","","2004-03-31","2004-04-06","D04-003","523 WOODLAWN RD","PT TWP LOT 246 RP 59R716;PART 3 RP 59R4191 PART 3","260","3500","0","0","21733","-79.2827","43.0125"
"337","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-05","2004-04-06","P04-016","48 WELLBROOK BLVD","PLAN NS20 LOT 56","0","900","0","0","12800","-79.2776","42.9926"
"348","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-06","2004-04-07","P04-017","72 COZY ST","PLAN 45 LOT 200 NP593","0","500","0","0","9254","-79.2368","42.9895"
"353","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-07","2004-04-07","P04-018","17 VERNE AVE","CON 6 PT LOT 27","0","1000","0","0","1372","-79.2605","42.9823"
"313","Building","New","Residential","Single Detached Dwelling","2004-03-02","2004-04-08","B04-053","420 OLD QUAKER RD","PART LOT 15, CON 3","1615","100000","1","0","1241","-79.1953","43.0042"
"316","Building","New","Residential","Semi-Detached Dwelling","2004-03-12","2004-04-08","B04-062","30 BRIDGEWATER CRT","PLAN 59M311 LOT 3","2500","215500","2","0","21342","-79.2447","43.0187"
"317","Building","New","Residential","Semi-Detached Dwelling","2004-03-12","2004-04-08","B04-063","42 BRIDGEWATER CRT","PLAN 59M311 LOT 4","2476","210500","2","0","21344","-79.2449","43.0187"
"315","Building","New","Residential","Single Detached Dwelling","2004-03-25","2004-04-08","B04-076","5 LYNBROOK LANE","LOT 2, PLAN 59M-320","1150","98000","1","0","21385","-79.2798","42.9909"
"341","Building","New","Accessory","Shed","2004-04-02","2004-04-08","B04-084","15 HOME ST","PT LOT 129 PT LOT;130 NP618","175","1500","0","0","14290","-79.2633","43.0002"
"351","Building","Alteration","Residential","Single Detached Dwelling","2004-04-06","2004-04-08","B04-091","740 RIDGE RD","CON 6 W PT LOT 12","0","8200","0","0","4746","-79.1825","42.9757"
"347","Sewage System","New","Residential","Single Detached Dwelling","2004-04-01","2004-04-08","H04-001","420 OLD QUAKER RD","PART LOT 15, CONC 3","0","14000","0","0","1241","-79.1953","43.0042"
"356","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-07","2004-04-08","P04-019","6 FIRST AVE","PLAN 1649 PT BLK C","0","1200","0","0","11375","-79.2593","42.9940"
"343","Building","Addition","Residential","Semi-Detached Dwelling","2004-04-05","2004-04-13","B04-087","256 AUTUMN CRES","PLAN 59M 246 Part LOT 173","95","900","0","0","19445","-79.2864","43.0021"
"344","Building","Addition","Residential","Semi-Detached Dwelling","2004-04-05","2004-04-13","B04-088","250 AUTUMN CRES","PLAN 59M 246 Part LOT 173","105","900","0","0","19445","-79.2864","43.0021"
"364","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-13","2004-04-13","P04-020","115 GOLDEN BLVD W","PLAN 59 PT LOT 57","0","900","0","0","8584","-79.2303","42.9852"
"365","Plumbing","Alteration","Commercial","auto mechanics","2004-04-13","2004-04-14","P04-021","212 BURGAR ST","PT BLK Y NP564","0","500","0","0","9820","-79.2423","42.9870"
"322","Building","Alteration","Commercial","Restaurant","2004-02-03","2004-04-15","B04-040","87 EAST MAIN ST","PLAN 1649 PT LOT A","4400","80000","0","0","10728","-79.2480","42.9920"
"335","Building","New","Residential","Single Detached Dwelling","2004-03-30","2004-04-15","B04-081","4 HERITAGE LANE","PLAN 59M-125 LOT 7","1500","120000","1","0","17647","-79.2805","43.0153"
"338","Building","New","Residential","Single Detached Dwelling","2004-04-02","2004-04-15","B04-083","228 LEA CRES","PLAN 59M246 LOT 118","1196","110000","1","0","19286","-79.2886","43.0012"
"345","Building","New","Accessory","Detached Garage","2004-04-05","2004-04-15","B04-089","35 GRANGE AVE","LOT 59 NP635","528","15000","0","0","7971","-79.2285","42.9826"
"357","Building","Addition","Residential","Single Detached Dwelling","2004-04-07","2004-04-15","B04-092","206 MARTIN ST","Part 42, 43 on Plan 59R-9442","107","2500","0","0","23203","-79.2689","42.9723"
"359","Building","Addition","Residential","Single Detached Dwelling","2004-04-07","2004-04-15","B04-093","145 LEA CRES","PLAN 59M246 LOT 49","192","1800","0","0","19044","-79.2885","42.9994"
"342","Building","Addition","Accessory","Detached Garage","2004-04-05","2004-04-16","B04-086","416 THOROLD RD W","LOT 4 ;PT TWP LOT 245","336","5000","0","0","3797","-79.2766","43.0041"
"363","Building","New","Commercial","Temporary Structure","2004-04-02","2004-04-16","B04-097","821 NIAGARA ST","59R 9893;PTS 1,3,4,5, 7-14","2805","5000","0","0","27962","-79.2512","43.0177"
"349","Pool","New","Accessory","","2004-04-06","2004-04-16","W04-005","721 PENROSE RD","PLAN 59M-222 LOT 75","512","24000","0","0","19148","-79.2892","43.0145"
"329","Building","New","Residential","Single Detached Dwelling","2004-03-26","2004-04-19","B04-077","315 FOXTAIL AVE","PLAN 59M246 LOT 8","1286","90000","1","0","19095","-79.2897","43.0020"
"334","Building","New","Residential","Single Detached Dwelling","2004-03-30","2004-04-19","B04-080","154 MUIRFIELD TRL","PLAN 59M269 PT LTS128/129 PT 3, 59R-11887","1632","130000","1","0","23315","-79.2144","43.0208"
"368","Building","New","Residential","Single Detached Dwelling","2004-04-08","2004-04-19","B04-098","146 FOXTAIL AVE","PLAN 59M246 LOT 81","1296","100000","1","0","19053","-79.2890","42.9997"
"367","Building","New","Residential","Single Detached Dwelling","2004-04-13","2004-04-19","B04-099","170 COLBECK DR","PLAN 59M301 LOT 7","1450","185000","1","0","12391","-79.2711","42.9861"
"336","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-05","2004-04-19","P04-015","51 FIFTH ST","LOT 153 NP565","0","1000","0","0","7451","-79.2536","42.9783"
"380","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-19","2004-04-19","P04-022","24 SPRINGHEAD GDNS","LOT 58 NP629","0","1050","0","0","12129","-79.2681","42.9908"
"381","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-19","2004-04-20","P04-023","13 WAVELL CRT","LOT 43 NP973","0","1500","0","0","7670","-79.2382","42.9836"
"328","Pool","New","Accessory","","2004-03-11","2004-04-20","W04-003","412 AQUEDUCT ST","PT TWP LOT 239;RP59R8581 PART 2","392","11000","0","0","15425","-79.2493","43.0086"
"350","Pool","New","Accessory","","2004-04-06","2004-04-20","W04-006","260 CHAFFEY ST","PLAN 15 LOT 149 PT LOT 150;NP937","576","22500","0","0","7121","-79.2445","42.9703"
"314","Building","New","Residential","Semi-Detached Dwelling","2004-03-25","2004-04-21","B04-075","18 BRIDGEWATER CRT","PLAN 59M311 LOT 2","2500","215500","2","0","21340","-79.2445","43.0187"
"339","Building","New","Residential","Semi-Detached Dwelling","2004-04-02","2004-04-21","B04-085","6 BRIDGEWATER CRT","PLAN 59M311 LOT 1","2500","212000","2","0","21338","-79.2442","43.0187"
"366","Building","New","Residential","Single Detached Dwelling","2004-04-13","2004-04-21","B04-100","74 BEATTY AVE","PLAN 59M 277 LOT 47","1520","170000","1","0","16025","-79.2555","43.0061"
"379","Building","Alteration","Residential","Single Detached Dwelling","2004-04-16","2004-04-21","B04-104","113 ROYAL OAK DR","LOT 68 NP641","0","4800","0","0","6670","-79.2351","42.9728"
"320","Building","Partial","Industrial","Office/Warehouse","2004-02-20","2004-04-22","B04-047","401 ENTERPRISE DR","Part 16 on 59R-7238","26448","1300000","0","0","6318","-79.2036","42.9753"
"378","Building","Alteration","Residential","Single Detached Dwelling","2004-04-15","2004-04-22","B04-103","1 FRAZER ST N","PT LOT 9 NP560","310","20000","0","0","11284","-79.2536","42.9923"
"372","Pool","New","Accessory","","2004-04-13","2004-04-22","W04-007","44 LARCHWOOD CIR","PLAN M69 LOT 101","360","3000","0","0","17885","-79.2786","43.0150"
"373","Pool","New","Accessory","","2004-04-13","2004-04-22","W04-008","353 SOUTH PELHAM RD","CON13 PT LT1;RP 59R10687 PT2","774","30000","0","0","26116","-79.2859","42.9918"
"374","Pool","New","Accessory","","2004-04-13","2004-04-22","W04-009","30 RAINBOW CRT","M68 PT LT46;RP 59R5608 PT 8","450","5000","0","0","935","-79.2646","42.9811"
"382","Pool","New","Accessory","","2004-04-19","2004-04-22","W04-011","495 ST LAWRENCE DR","PLAN 59M286 LOT 27","450","3500","0","0","1783","-79.2407","43.0266"
"360","Building","New","Residential","Semi-Detached Dwelling","2004-04-07","2004-04-23","B04-094","102 COMMERCIAL ST","Lots 331, 332, Plan 963","1644","230000","2","0","20437","-79.2422","42.9721"
"387","Building","New","Accessory","Detached Garage","2004-04-20","2004-04-26","B04-108","317 GATFIELD AVE","CON6 PTLT3 PTLT46;PTLT117 PTLT125 RD255","400","5600","0","0","8020","-79.2395","42.9773"
"330","Building","New","Commercial","Auto Mechanics","2004-03-03","2004-04-27","B04-054","52 VAUGHAN RD","Part 25, Plan 59R-1680","1568","150000","0","0","390","-79.2657","42.9644"
"392","Building","New","Commercial","Temporary Structure","2004-04-21","2004-04-27","B04-105","915 NIAGARA ST","PT TWP LOT231;RP59R4873 PTS 2, 4, 5","800","800","0","0","18294","-79.2512","43.0214"
"393","Building","New","Commercial","Temporary Structure","2004-04-19","2004-04-27","B04-106","800 NIAGARA ST","PT TWP LOTS 229,230;RP 59R1742 PTS3,4","1200","1000","0","0","25029","-79.2466","43.0156"
"401","Plumbing","Alteration","Residential","Duplex","2004-04-26","2004-04-27","P04-024","440 SCHOLFIELD AVE N","PT LT 286 LOT 287;NP945","0","1000","0","0","5066","-79.2331","42.9949"
"224","Building","New","Residential","Single Detached Dwelling","2003-10-27","2004-04-28","B04-002","249 LEA CRES","PLAN 59M246 LOT 63","1495","70000","1","0","19341","-79.2879","43.0012"
"354","Building","New","Residential","Single Detached Dwelling","2004-04-06","2004-04-28","B04-090","156 COLBECK DR","PLAN 59M301 LOT 5","1520","120000","1","0","12393","-79.2707","42.9863"
"409","Plumbing","Alteration","Residential","Semi-Detached Dwelling","2004-04-28","2004-04-28","P04-025","91 REGENT ST","PLAN HOOKER ASHER PT LT35;NP564","0","1000","0","0","10513","-79.2490","42.9874"
"294","Building","Addition","Institutional","School","2004-03-15","2004-04-29","B04-065","170 WELLINGTON ST","PLAN 22 ENTIRE BLK","3445","520000","0","0","113","-79.2237","42.9870"
"410","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-29","2004-04-29","P04-026","144 GARNER AVE","PLAN 25 LOT 83 NP573","0","900","0","0","9884","-79.2444","42.9855"
"411","Plumbing","Alteration","Commercial","Retail","2004-04-29","2004-04-29","P04-029","200 FITCH ST","PT TWP LOT 250 PT TWP LOT;251","0","500","0","0","19515","-79.2653","42.9953"
"412","Building","Alteration","Residential","Single Detached Dwelling","2004-04-28","2004-04-30","B04-117","87 WHITEOAK CRES","PLAN M50 LOT 73;PCL 73-1","0","5000","0","0","13595","-79.2556","43.0185"
"413","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-30","2004-04-30","P04-030","19 WESTWOOD CRES","PLAN 95 LOT 47","0","650","0","0","13281","-79.2719","42.9969"
"361","Building","New","Residential","Single Detached Dwelling","2004-04-08","2004-05-03","B04-095","378 AUTUMN CRES","PLAN 59M246 LOT 132","1206","105000","1","0","19333","-79.2879","43.0025"
"362","Building","New","Residential","Single Detached Dwelling","2004-04-08","2004-05-03","B04-096","370 AUTUMN CRES","PLAN 59M246 LOT 133","1600","136000","1","0","19332","-79.2877","43.0025"
"386","Building","New","Residential","Single Detached Dwelling","2004-04-19","2004-05-03","B04-107","166 FOXTAIL AVE","PLAN 59M246 LOT 79","1453","180000","1","0","19055","-79.2890","43.0000"
"402","Building","Alteration","Residential","Single Detached Dwelling","2004-04-23","2004-05-03","B04-113","130 BEATRICE ST","PT LOT 12;NKA PLAN 931","320","5000","0","0","3344","-79.2457","42.9725"
"415","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-29","2004-05-03","P04-027","64 COZY ST","LOT 198 PT LOT 197;NP593","0","2000","0","0","9256","-79.2371","42.9895"
"414","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-04-28","2004-05-03","P04-028","28 OAKLAND AVE","PLAN 49 LOT 161;NP597","0","950","0","0","11741","-79.2612","42.9882"
"427","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-05-03","2004-05-03","P04-031","60 CARLTON AVE","PT LT 90 PT LT 91;NP668","0","1200","0","0","15803","-79.2538","43.0078"
"376","Building","New","Residential","Single Detached Dwelling","2004-04-15","2004-05-04","B04-102","430 AUTUMN CRES","PLAN 59M246 LOT 126","1200","110000","1","0","19278","-79.2888","43.0025"
"389","Building","New","Residential","Single Detached Dwelling","2004-04-21","2004-05-04","B04-110","156 FOXTAIL AVE","PLAN 59M246 LOT 80","1180","100000","1","0","19054","-79.2890","42.9998"
"390","Building","New","Residential","Single Detached Dwelling","2004-04-21","2004-05-04","B04-111","252 FOXTAIL AVE","PLAN 59M246 LOT 105","1180","100000","1","0","19299","-79.2890","43.0011"
"436","Pool","New","Accessory","","2004-05-04","2004-05-04","W04-019","161 WALTS ST","PLAN M47 LOT 4","748","22000","0","0","22","-79.2831","42.9976"
