X,Y,OBJECTID,FOLDERTYPE,DESCRIPTION,STATUS,ISSUEDATE,PROPERTYADDRESS
604398.997000000439584,4807452.29399999976,737,RN,Residential Dwelling (New/Add) Building,Issued,2018-05-23T09:33:30.000Z,403 Tennyson Dr 
599219.475999999791384,4808745.684499999508,138,RS,Residential (Secondary) Building,Issued,2018-12-05T17:09:51.000Z,2262 Littondale Lane 
604473.009999999776483,4812688.318499999121,902,RA,Residential Dwelling (Alt/Imp) Building,Issued,2017-08-24T14:39:51.000Z,93 McCraney St W 
603937.371000000275671,4804345.723,984,RN,Residential Dwelling (New/Add) Building,Issued,2018-06-15T13:11:45.000Z,64 Skipper Lane 
601359.997999999672174,4814292.5795,216,RN,Residential Dwelling (New/Add) Building,Conditional,2018-02-13T10:50:19.000Z,363 North Park Blvd 
605653.467000000178814,4806368.6575,472,RN,Residential Dwelling (New/Add) Building,Issued,2016-11-11T16:04:48.000Z,7 Third Line 
606918.372000000439584,4811149.3025,571,RN,Residential Dwelling (New/Add) Building,Issued,2018-09-25T10:13:37.000Z,270 Queen Mary Dr 
601340.173999999649823,4814478.1095,447,RN,Residential Dwelling (New/Add) Building,Conditional,2018-01-16T18:37:24.000Z,3268 Cloise Way 
609628.112499999813735,4814254.369,253,RA,Residential Dwelling (Alt/Imp) Building,Issued,2018-06-21T13:34:00.000Z,2070 Elmhurst Ave 
603530.510499999858439,4816492.763,764,SN,Institutional (New/Add) Building,Issued,2019-01-24T11:50:53.000Z,455 Wheat Boom Dr 
607464.526999999769032,4810737.004,78,HS,Heating Only,Issued,2000-01-14T09:09:33.000Z,4 Lakeshore Rd W 
603767.192499999888241,4815401.719,784,CA,Commercial (Alt/Imp) Building,Issued,2018-11-26T16:36:28.000Z,201 Oak Walk Dr 
602769.159,4815806.810499999672,464,TH,Town House (New/Add/Alt) Building,Conditional,2017-05-17T16:44:22.000Z,3157 Mintwood Cir 
604363.542500000447035,4805533.7485,322,PS,Plumbing Only,Issued,2018-08-03T09:25:34.000Z,2441 Lakeshore Rd W 
604190.844499999657273,4804895.7155,644,RN,Residential Dwelling (New/Add) Building,Issued,2014-05-15T16:16:39.000Z,3057 Seneca Dr 
608682.617999999783933,4813792.727499999106,750,RN,Residential Dwelling (New/Add) Building,Issued,2017-02-17T14:37:35.000Z,320 Dalewood Dr 
602277.014499999582767,4815371.334,424,RN,Residential Dwelling (New/Add) Building,Conditional,2017-10-16T14:35:25.000Z,6 Threshing Mill Blvd 
601646.317499999888241,4813867.31599999964,857,TH,Town House (New/Add/Alt) Building,Conditional,2015-06-29T15:24:51.000Z,419 Switchgrass St 
604308.564000000245869,4806275.753,189,RN,Residential Dwelling (New/Add) Building,Issued,2017-04-19T12:25:33.000Z,225 Vance Dr 
605361.275500000454485,4806810.331499999389,618,RS,Residential (Secondary) Building,Issued,2016-04-22T16:02:58.000Z,108 Tracina Dr 
602388.641499999911,4815669.549499999732,535,RN,Residential Dwelling (New/Add) Building,Conditional,2017-10-16T13:49:55.000Z,97 Natalie Way 
607867.494,4812770.75699999928,62,RA,Residential Dwelling (Alt/Imp) Building,Issued,2013-09-04T13:04:32.000Z,333 Chartwell Rd 
605017.196499999613,4809253.69,614,RN,Residential Dwelling (New/Add) Building,Issued,2017-04-11T15:00:11.000Z,568 Wellington Cres 
606360.56900000013411,4814417.501499999315,757,RN,Residential Dwelling (New/Add) Building,Issued,2016-11-15T16:29:54.000Z,1268 Hollyfield Cres 
603732.497999999672174,4815552.0785,877,PS,Plumbing Only,Issued,2019-05-15T08:39:01.000Z,261 Oak Walk Dr 
605481.910500000230968,4807486.685499999672,469,RN,Residential Dwelling (New/Add) Building,Issued,2017-09-27T09:34:14.000Z,190 Woodhaven Park Dr 
602359.322999999858439,4815637.377,294,RN,Residential Dwelling (New/Add) Building,Conditional,2017-03-28T15:31:46.000Z,85 Natalie Way 
605620.762000000104308,4813914.899,694,FR,Fire Retrofit,Issued,2018-10-12T17:51:59.000Z,1360 White Oaks Blvd 
604542.934500000439584,4808020.344,496,DP,Demolition,Issued,2017-06-26T12:13:14.000Z,466 Sherin Dr 
607955.981999999843538,4811359.8175,347,CA,Commercial (Alt/Imp) Building,Issued,2017-08-18T16:37:34.000Z,288 Lakeshore Rd E 
605908.088499999605119,4811021.330499999225,806,CA,Commercial (Alt/Imp) Building,Issued,2016-07-04T13:53:05.000Z,217 Speers Rd 
605380.885499999858439,4808351.516,341,RS,Residential (Secondary) Building,Issued,2018-06-19T12:22:27.000Z,1207 Willowbrook Dr 
601278.578499999828637,4814413.696,769,RN,Residential Dwelling (New/Add) Building,Conditional,2018-02-07T15:44:40.000Z,357 Ironside Dr 
604549.718000000342727,4807964.3965,388,RN,Residential Dwelling (New/Add) Building,Issued,2017-11-03T11:18:09.000Z,457 Sandmere Pl 
604249.157999999821186,4805836.594,211,RS,Residential (Secondary) Building,Issued,2018-10-01T15:57:42.000Z,2375 Belyea St 
607978.808000000193715,4811276.799,673,TH,Town House (New/Add/Alt) Building,Issued,2016-10-14T08:47:26.000Z,80 Trafalgar Rd 
601761.807500000111759,4813960.502,36,CA,Commercial (Alt/Imp) Building,Issued,2018-03-09T14:18:17.000Z,3077 George Savage Ave 
604009.585,4804962.0995,974,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-05-24T16:10:18.000Z,114 Waterview Common 
608322.549999999813735,4813862.194499999285,803,RN,Residential Dwelling (New/Add) Building,Issued,2019-03-14T09:03:16.000Z,1306 Amber Cres 
602837.201500000432134,4813299.627499999478,151,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-03-28T11:00:19.000Z,273 Richler Dr 
604552.600499999709427,4814530.082499999553,767,RS,Residential (Secondary) Building,Issued,2015-11-03T16:01:56.000Z,2098 Namron Gate 
605866.973000000230968,4810431.5885,193,RN,Residential Dwelling (New/Add) Building,Conditional,2017-08-04T15:52:03.000Z,377 Morden Rd 
603608.765999999828637,4806920.252,503,RA,Residential Dwelling (Alt/Imp) Building,Issued,2015-04-07T12:02:49.000Z,2263 Urwin Cres 
603527.924499999731779,4815618.2835,827,CN,Commercial (New/Add) Building,Issued,2016-02-22T16:28:18.000Z,278 Dundas St E 
606592.768500000238419,4810583.675,346,PS,Plumbing Only,Issued,2018-08-09T09:10:52.000Z,249 Maurice Dr 
606778.129499999806285,4812737.67899999954,638,CA,Commercial (Alt/Imp) Building,Issued,2019-01-17T15:02:42.000Z,354 Davis Rd 
606214.432,4809698.789,403,RN,Residential Dwelling (New/Add) Building,Issued,2018-08-14T15:58:51.000Z,188 Southview Rd 
606191.82050000037998,4812912.412499999627,374,CA,Commercial (Alt/Imp) Building,Issued,2017-06-06T14:57:01.000Z,240 Leighland Ave 
606778.129499999806285,4812737.67899999954,636,CA,Commercial (Alt/Imp) Building,Issued,2019-01-17T08:49:21.000Z,354 Davis Rd 
605496.060999999754131,4813395.344499999657,292,RN,Residential Dwelling (New/Add) Building,Issued,2018-08-31T09:00:30.000Z,1241 McCraney St E Unit 16 
609721.779500000178814,4813654.5535,710,TH,Town House (New/Add/Alt) Building,Issued,2017-10-31T14:15:08.000Z,10 Maple Grove Dr Unit PH 2 
599722.901499999687076,4810196.8745,297,AH,Accessory Unit in House,Issued,2017-10-06T12:02:25.000Z,2274 Millstone Dr 
599144.552000000141561,4809917.9525,755,CA,Commercial (Alt/Imp) Building,Issued,2019-01-24T11:45:51.000Z,2525 Old Bronte Rd 
606381.206000000238419,4808415.239,60,RN,Residential Dwelling (New/Add) Building,Issued,2016-08-17T14:53:37.000Z,1021 Westdale Rd 
602989.675499999895692,4815273.6875,317,CP,Conditional / Part Building,Issued,2018-07-13T09:23:04.000Z,128 Grovewood Common 
606375.326500000432134,4810308.9,649,RA,Residential Dwelling (Alt/Imp) Building,Issued,2016-01-29T09:10:58.000Z,355 Tudor Ave 
605061.4945,4808867.48,45,RN,Residential Dwelling (New/Add) Building,Issued,2019-01-31T12:51:13.000Z,1164 Bridge Rd 
606293.862499999813735,4812421.2585,430,CA,Commercial (Alt/Imp) Building,Issued,2018-08-23T10:21:12.000Z,586 Argus Rd 
606605.331000000238419,4815274.686499999836,679,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-04-11T10:41:30.000Z,1239 Honeysuckle Cres 
602983.765499999747,4813550.97849999927,569,RN,Residential Dwelling (New/Add) Building,Issued,2018-06-13T10:15:59.000Z,2259 MacLennan Dr 
606660.252999999560416,4810985.536,913,CA,Commercial (Alt/Imp) Building,Issued,2019-03-01T08:32:14.000Z,351 Kerr St 
604748.127999999560416,4817071.39399999939,4,RS,Residential (Secondary) Building,Issued,2019-04-01T16:21:48.000Z,2458 Taylorwood Dr 
609794.0735,4815528.4085,844,RA,Residential Dwelling (Alt/Imp) Building,Issued,2018-07-05T12:15:06.000Z,2350 Deer Run Ave 
602977.231999999843538,4809065.150499999523,197,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-06-03T08:56:51.000Z,1136 Bridlewood Trail 
603829.959499999880791,4805913.243,780,RN,Residential Dwelling (New/Add) Building,Issued,2018-04-11T08:51:36.000Z,2425 Applewood Dr 
608506.857499999925,4814666.57699999958,9,RN,Residential Dwelling (New/Add) Building,Issued,2018-04-06T10:34:15.000Z,1497 Constance Dr 
609721.779500000178814,4813654.5535,714,TH,Town House (New/Add/Alt) Building,Issued,2017-12-13T12:37:50.000Z,10 Maple Grove Dr Unit PH 2 
607988.527499999850988,4816835.723,450,MS,Miscellaneous Building,Issued,2016-12-06T11:36:52.000Z,1263 Valerie Cres 
600028.183500000275671,4811000.57499999925,734,RN,Residential Dwelling (New/Add) Building,Issued,2017-09-14T09:17:27.000Z,2435 Whistling Springs Cres 
605182.901499999687076,4809566.1225,150,RN,Residential Dwelling (New/Add) Building,Issued,2018-06-25T12:38:39.000Z,584 Fourth Line 
605715.762500000186265,4810305.455499999225,284,DP,Demolition,Issued,2019-05-08T15:09:39.000Z,392 Weighton Dr 
602280.310999999754131,4809152.9755,179,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-06-03T09:02:28.000Z,1267 White Lane 
605929.877500000409782,4808105.49499999918,462,RN,Residential Dwelling (New/Add) Building,Issued,2018-05-09T14:56:43.000Z,207 Prince George Cres 
608059.224499999545515,4812872.2015,653,DP,Demolition,Issued,2018-12-18T16:48:49.000Z,304 Poplar Dr 
609721.779500000178814,4813654.5535,699,AN,Residential Apartment (New/Add) Building,Issued,2012-04-04T15:01:00.000Z,10 Maple Grove Dr Unit PH 1 
606377.1305,4818871.6445,397,CA,Commercial (Alt/Imp) Building,Issued,2018-11-02T14:53:09.000Z,2440 Winston Park Dr 
605428.251500000245869,4813105.95199999958,894,RA,Residential Dwelling (Alt/Imp) Building,Issued,2017-05-12T11:00:21.000Z,1280 Napier Cres 
608542.346,4817129.433499999344,770,RA,Residential Dwelling (Alt/Imp) Building,Issued,2013-06-18T12:42:08.000Z,2635 Fonthill Dr 
600131.65500000026077,4809208.168,691,RA,Residential Dwelling (Alt/Imp) Building,Issued,2014-04-10T09:25:58.000Z,2230 Amberglen Crt 
604413.4435,4808344.797,93,RN,Residential Dwelling (New/Add) Building,Issued,2018-09-11T09:50:24.000Z,1383 Wren Ave 
609721.779500000178814,4813654.5535,723,AN,Residential Apartment (New/Add) Building,Issued,2018-04-11T09:51:55.000Z,10 Maple Grove Dr Unit 30 
605111.672500000335276,4815291.3485,414,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-03-07T15:10:00.000Z,2139 Granby Dr 
607995.166500000283122,4810967.45,361,RN,Residential Dwelling (New/Add) Building,Issued,2018-12-13T16:03:52.000Z,22 George St 
602607.699500000104308,4815365.598,898,TH,Town House (New/Add/Alt) Building,Conditional,2017-03-29T17:24:34.000Z,3098 Post Rd 
602765.145499999634922,4815406.4305,740,RN,Residential Dwelling (New/Add) Building,Conditional,2017-03-08T10:47:07.000Z,104 Wheat Boom Dr 
609721.779500000178814,4813654.5535,724,RO,Residential (Other) Building,Issued,2016-09-29T10:41:59.000Z,10 Maple Grove Dr 
607213.111499999649823,4810767.911499999464,730,RA,Residential Dwelling (Alt/Imp) Building,Issued,2017-06-22T16:01:11.000Z,35 Rebecca St 
602575.883500000461936,4815295.9395,977,RN,Residential Dwelling (New/Add) Building,Conditional,2017-03-22T18:27:07.000Z,3098 Millicent Ave 
604363.542500000447035,4805533.7485,321,CN,Commercial (New/Add) Building,Issued,2018-01-12T11:40:42.000Z,2441 Lakeshore Rd W 
604149.446499999613,4806936.094499999657,41,DP,Demolition,Issued,2019-05-06T10:13:16.000Z,373 Stanfield Dr 
606502.481999999843538,4819024.528,183,FR,Fire Retrofit,Issued,2012-04-05T16:54:19.000Z,2568 Bristol Cir 
603769.475499999709427,4814819.2235,471,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-05-02T13:30:00.000Z,173 Littlewood Dr  
604755.423499999567866,4812960.85899999924,568,AH,Accessory Unit in House,Conditional,2016-07-27T16:36:45.000Z,1006 McCraney St E 
604924.136,4809516.584499999881,308,CN,Commercial (New/Add) Building,Issued,2018-07-03T16:46:41.000Z,1060 Speers Rd 
602850.104500000365078,4806175.3715,234,RS,Residential (Secondary) Building,Issued,2017-08-29T11:50:33.000Z,499 Valhalla Crt 
608701.311499999836087,4815038.88,992,CA,Commercial (Alt/Imp) Building,Issued,2017-06-26T16:09:54.000Z,511 Maple Grove Dr 
605396.824500000104308,4809472.7225,647,DP,Demolition,Issued,2018-07-20T10:17:32.000Z,529 Fourth Line 
602173.372000000439584,4814927.2035,748,RN,Residential Dwelling (New/Add) Building,Conditional,2014-02-14T16:25:37.000Z,165 Masterman Cres 
606902.167999999597669,4814511.039499999955,655,CA,Commercial (Alt/Imp) Building,Issued,2018-05-03T09:17:48.000Z,1170 Invicta Dr 
603414.802000000141561,4809736.274,219,RA,Residential Dwelling (Alt/Imp) Building,Issued,2018-07-19T12:25:54.000Z,1263 Fieldcrest Lane 
599144.552000000141561,4809917.9525,756,CA,Commercial (Alt/Imp) Building,Issued,2019-01-24T11:48:34.000Z,2525 Old Bronte Rd 
606205.423499999567866,4809483.444,491,RN,Residential Dwelling (New/Add) Building,Conditional,2017-09-01T12:48:30.000Z,157 Sybella Dr 
601677.463000000454485,4814803.739,2,RN,Residential Dwelling (New/Add) Building,Conditional,2018-02-01T10:36:23.000Z,3279 Charles Fay Pass 
609061.254999999888241,4815264.512,320,RA,Residential Dwelling (Alt/Imp) Building,Issued,2017-03-28T16:22:18.000Z,441 Canterbury Cres 
609090.781499999575317,4816183.6345,137,DN,Industrial (New/Add) Building,Issued,2009-03-10T11:39:02.000Z,2336 Royal Windsor Dr 
602832.951999999582767,4815213.958499999717,729,RN,Residential Dwelling (New/Add) Building,Conditional,2017-04-20T10:46:49.000Z,57 Huguenot Rd 
604450.804999999701977,4805762.016,504,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-03-27T11:21:41.000Z,2360 Sovereign St 
602520.838000000454485,4811550.0225,529,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-01-08T08:34:28.000Z,2051 Oak Hollow 
609721.779500000178814,4813654.5535,716,TH,Town House (New/Add/Alt) Building,Issued,2017-12-13T12:37:29.000Z,10 Maple Grove Dr Unit PH 2 
605908.088499999605119,4811021.330499999225,812,CA,Commercial (Alt/Imp) Building,Issued,2018-01-03T15:52:34.000Z,225 Speers Rd 
605304.4775,4812894.898,651,RN,Residential Dwelling (New/Add) Building,Issued,2016-07-26T10:27:36.000Z,1242 Montclair Dr 
606238.377999999560416,4811330.491499999538,275,CA,Commercial (Alt/Imp) Building,Issued,2018-08-24T12:59:02.000Z,71 Speers Rd 
601514.030500000342727,4814910.9755,749,RN,Residential Dwelling (New/Add) Building,Issued,2019-05-17T14:54:14.000Z,247 Polly Dr 
602536.877500000409782,4812885.63099999912,109,RS,Residential (Secondary) Building,Issued,2019-05-09T09:59:35.000Z,2272 Mowat Ave Unit 2 
603767.192499999888241,4815401.719,783,PS,Plumbing Only,Issued,2017-07-05T08:30:57.000Z,201 Oak Walk Dr 
602536.877500000409782,4812885.63099999912,112,RS,Residential (Secondary) Building,Issued,2019-05-08T17:17:30.000Z,2272 Mowat Ave Unit 2 
607698.906999999657273,4810790.659499999136,479,CA,Commercial (Alt/Imp) Building,Issued,2018-02-13T12:56:41.000Z,56 Water St 
606761.15500000026077,4815351.125499999151,236,RA,Residential Dwelling (Alt/Imp) Building,Issued,2018-01-05T10:27:21.000Z,1296 Lakeview Dr 
609721.779500000178814,4813654.5535,704,TH,Town House (New/Add/Alt) Building,Issued,2017-12-13T15:25:48.000Z,10 Maple Grove Dr Unit PH 2 
603767.192499999888241,4815401.719,786,PS,Plumbing Only,Issued,2019-05-15T08:39:01.000Z,261 Oak Walk Dr 
607367.685999999754131,4810318.4625,205,RA,Residential Dwelling (Alt/Imp) Building,Issued,2017-01-09T11:47:34.000Z,51 Brant St 
606529.543499999679625,4810165.14699999988,652,SN,Institutional (New/Add) Building,Issued,2016-09-13T12:07:03.000Z,290 Ortona Gate 
609721.779500000178814,4813654.5535,701,AN,Residential Apartment (New/Add) Building,Issued,2012-04-04T14:59:56.000Z,10 Maple Grove Dr Unit PH 1 
605557.506,4815608.4765,558,RA,Residential Dwelling (Alt/Imp) Building,Issued,2018-11-12T14:17:34.000Z,2082 Grosvenor St 
608594.92,4813468.87199999951,550,RN,Residential Dwelling (New/Add) Building,Issued,2019-05-02T13:14:09.000Z,288 Benita Crt 
606631.1195,4810117.1685,437,TH,Town House (New/Add/Alt) Building,Conditional,2014-06-09T14:51:37.000Z,271 Rebecca St 
601901.924999999813735,4814441.4975,332,AH,Accessory Unit in House,Issued,2018-10-26T16:48:35.000Z,3121 Hines Dr 
601692.003499999642372,4814773.29,907,RN,Residential Dwelling (New/Add) Building,Conditional,2018-02-01T10:33:32.000Z,3267 Charles Fay Pass 
602380.205500000156462,4815680.538499999791,334,RN,Residential Dwelling (New/Add) Building,Conditional,2017-10-19T14:45:53.000Z,3202 Post Rd 
602035.229000000283122,4814107.456499999389,28,TH,Town House (New/Add/Alt) Building,Conditional,2015-11-18T12:11:02.000Z,3002 Preserve Dr Unit 37 
598599.724999999627471,4808985.89599999972,751,RA,Residential Dwelling (Alt/Imp) Building,Issued,2019-05-17T08:59:22.000Z,3250 Stalybridge Dr 
602765.424499999731779,4815278.909499999136,177,RN,Residential Dwelling (New/Add) Building,Conditional,2017-04-20T11:36:08.000Z,3053 Post Rd 
610088.879499999806285,4814982.1325,830,PS,Plumbing Only,Issued,2018-10-11T16:29:57.000Z,197 Digby Rd 
608512.915500000119209,4814806.992,887,CA,Commercial (Alt/Imp) Building,Issued,2015-09-25T09:07:07.000Z,1540 Cornwall Rd 
603990.190499999560416,4804423.926,656,RA,Residential Dwelling (Alt/Imp) Building,Issued,2018-02-21T15:56:30.000Z,64 Cudmore Rd 
601502.504999999888241,4813043.287499999627,904,AH,Accessory Unit in House,Issued,2016-01-13T11:04:35.000Z,2407 Valley Heights Cres  
602298.489,4815681.639499999583,128,RN,Residential Dwelling (New/Add) Building,Conditional,2017-10-19T14:47:35.000Z,89 Threshing Mill Blvd 
606831.888500000350177,4809663.562,48,RA,Residential Dwelling (Alt/Imp) Building,Issued,2013-04-23T14:36:53.000Z,38 Shorewood Pl 
598150.890999999828637,4809724.63399999961,736,DA,Industrial (Alt/Imp) Building,Issued,2017-08-11T16:19:16.000Z,3239 Dundas St W 
607798.417500000447035,4813854.6875,343,RN,Residential Dwelling (New/Add) Building,Issued,2018-12-19T15:07:00.000Z,1198 Cynthia Lane 
606238.377999999560416,4811330.491499999538,277,CA,Commercial (Alt/Imp) Building,Issued,2018-12-06T16:34:06.000Z,71 Speers Rd 
607401.493499999866,4818375.2715,689,CA,Commercial (Alt/Imp) Building,Issued,2019-01-08T13:22:12.000Z,2030 Bristol Cir 
605908.088499999605119,4811021.330499999225,811,CA,Commercial (Alt/Imp) Building,Issued,2017-09-29T12:22:07.000Z,225 Speers Rd 
608557.348000000230968,4813347.3125,34,RN,Residential Dwelling (New/Add) Building,Issued,2018-12-21T10:24:31.000Z,1238 Braeside Dr 
603980.212500000372529,4810000.9645,460,CA,Commercial (Alt/Imp) Building,Issued,2018-05-25T09:05:06.000Z,1155 North Service Rd W 
603975.484000000171363,4810826.17799999937,530,RA,Residential Dwelling (Alt/Imp) Building,Issued,2016-04-19T10:58:19.000Z,1001 Roxborough Dr 
607390.808500000275671,4810862.876,790,FR,Fire Retrofit,Issued,2018-03-19T10:22:52.000Z,125 Forsythe St 
608384.7105,4814868.854499999434,19,CA,Commercial (Alt/Imp) Building,Issued,2009-07-22T08:40:02.000Z,1495 Cornwall Rd  
604193.328499999828637,4812470.593,680,SA,Institutional (Alt/Imp) Building,Issued,2017-05-23T11:31:47.000Z,1434 Oxford Ave 
610181.895999999716878,4815049.4195,573,RN,Residential Dwelling (New/Add) Building,Issued,2019-04-30T16:02:26.000Z,208 Arichat Rd 
604395.694500000216067,4806015.7035,973,DP,Demolition,Issued,2017-07-27T10:58:35.000Z,2311 Belyea St 
605384.998999999836087,4812111.0075,336,RN,Residential Dwelling (New/Add) Building,Issued,2019-03-19T14:59:58.000Z,37 Rancliffe Rd 
610445.75800000037998,4815113.73299999908,146,RN,Residential Dwelling (New/Add) Building,Issued,2015-09-24T17:19:03.000Z,2389 Canso Rd 
606180.697499999776483,4809147.592499999329,423,RN,Residential Dwelling (New/Add) Building,Issued,2016-08-29T12:44:37.000Z,529 Lakeshore Rd W 
607840.015499999747,4813866.148,82,RN,Residential Dwelling (New/Add) Building,Issued,2018-04-16T09:50:04.000Z,516 Morrison Rd 
609425.128999999724329,4812976.7485,759,FD,Fire Damage,Issued,2019-03-25T12:16:21.000Z,38 Ennisclare Dr W 
601424.190499999560416,4814555.777,385,RN,Residential Dwelling (New/Add) Building,Conditional,2018-01-17T17:53:48.000Z,295 Ironside Dr 
605908.088499999605119,4811021.330499999225,821,CA,Commercial (Alt/Imp) Building,Issued,2017-07-12T11:01:40.000Z,209 Speers Rd 
602773.727,4815143.058499999344,44,RN,Residential Dwelling (New/Add) Building,Conditional,2017-03-28T18:41:53.000Z,3072 Parsonage Cres 
601425.480499999597669,4814447.0185,726,RN,Residential Dwelling (New/Add) Building,Conditional,2017-11-10T14:23:24.000Z,319 John Cramp Path 
605338.25650000013411,4810096.8745,513,CA,Commercial (Alt/Imp) Building,Issued,2017-01-31T14:51:10.000Z,510 Speers Rd 
601273.701500000432134,4814509.2235,77,RN,Residential Dwelling (New/Add) Building,Conditional,2018-01-17T18:06:14.000Z,339 Harold Dent Trail 
603267.15500000026077,4806345.235,592,RA,Residential Dwelling (Alt/Imp) Building,Issued,2017-04-07T08:36:08.000Z,537 Tipperton Cres 
601408.387000000104308,4814780.7155,663,TH,Town House (New/Add/Alt) Building,Issued,2018-02-26T14:47:43.000Z,3336 Carding Mill Trail 
603016.552000000141561,4812628.355499999598,972,RS,Residential (Secondary) Building,Issued,2019-02-28T17:25:13.000Z,458 Stratford Rd 
605940.21100000012666,4812592.777499999851,482,DP,Demolition,Issued,2016-11-30T10:06:27.000Z,1063 Churchill Ave 
609721.779500000178814,4813654.5535,709,TH,Town House (New/Add/Alt) Building,Issued,2017-11-02T11:52:33.000Z,10 Maple Grove Dr Unit PH 2 
602781.957000000402331,4815262.64299999923,543,RN,Residential Dwelling (New/Add) Building,Conditional,2017-04-20T11:35:48.000Z,3045 Post Rd 
602536.877500000409782,4812885.63099999912,104,RS,Residential (Secondary) Building,Issued,2019-05-09T10:02:40.000Z,2272 Mowat Ave Unit 2 
602530.745500000193715,4808257.1455,327,DN,Industrial (New/Add) Building,Issued,2014-10-10T14:25:46.000Z,2195 North Service Rd W 
609721.779500000178814,4813654.5535,708,TH,Town House (New/Add/Alt) Building,Issued,2017-12-13T12:38:14.000Z,10 Maple Grove Dr Unit PH 2 
606191.82050000037998,4812912.412499999627,365,CA,Commercial (Alt/Imp) Building,Issued,2019-03-05T15:06:00.000Z,240 Leighland Ave 
603732.497999999672174,4815552.0785,876,TE,Tent,Issued,2019-03-25T10:27:00.000Z,201 Oak Walk Dr 
605605.514000000432134,4808861.8825,854,RN,Residential Dwelling (New/Add) Building,Issued,2019-04-17T10:21:03.000Z,1066 Selby Ave 
604418.350999999791384,4816812.12,81,AN,Residential Apartment (New/Add) Building,Issued,2012-03-28T08:15:37.000Z,2480 Prince Michael Dr  
602677.182500000111759,4804328.5055,172,TH,Town House (New/Add/Alt) Building,Issued,2013-12-18T11:05:22.000Z,266 Vellwood Common 
602536.877500000409782,4812885.63099999912,115,RS,Residential (Secondary) Building,Issued,2019-05-09T10:31:23.000Z,2272 Mowat Ave Unit 2 
