OBJECTID,PERMITNUMBER,DESCRIPTION,APPLIEDDATE,ISSUEDDATE,COMPLETEDDATE,STATUSCURRENT,ORIGINALADDRESS1,ORIGINALADDRESS2,ORIGINALCITY,ORIGINALSTATE,ORIGINALZIP,PERMITCLASS,WORKCLASS
60,16-100614-00-C3,"Alterations to the 13th and 14th floors (single tenancy) for the existing tenant, ""MINISTRY OF LABOUR"".",2016-01-11T00:00:00.000Z,2016-02-08T00:00:00.000Z,,Issued,119 KING W,NULL,HAMILTON,ON,L8P 4Y7,Offices,Alteration
62,16-101513-00-C3,"Alterations to the 3rd floor to renovate office, ""WSP GROUP INC"". Alterations include architectural, mechanical and electrical work.",2016-01-21T00:00:00.000Z,2016-02-19T00:00:00.000Z,2016-06-10T00:00:00.000Z,Closed,4 HUGHSON S,NULL,HAMILTON,ON,NULL,Offices,Alteration
63,16-107056-00-C3,"Alterations to vacant unit (previously known as Suite 108A) to subdivide into two suites: Suite 106A and Suite 107A.  Alterations include the interior fit-out of Unit 107A for an office, ""DR. OHBI"".",2016-03-18T00:00:00.000Z,2016-04-21T00:00:00.000Z,,Revised,175 LONGWOOD S,NULL,HAMILTON,ON,L8S 1S4,Offices,Alteration
64,16-107059-00-C3,Alterations to replace the fire alarm control panel and annunciator panel in the existing office building.,2016-03-18T00:00:00.000Z,2016-04-19T00:00:00.000Z,,Issued,154 MAIN E,NULL,HAMILTON,ON,NULL,Offices,Alteration
65,16-102368-00-C3,"Alterations to the 2nd floor of the existing building for ""HORIZON UTILITIES INC"".",2016-01-28T00:00:00.000Z,2016-07-30T00:00:00.000Z,,Issued,55 JOHN N,NULL,HAMILTON,ON,NULL,Offices,Alteration
66,16-104970-01-C3,REVISED TO EDIT OWNER INFORMATION. Alterations to the ground floor offices (CCOHS Offices) of the existing 2-storey commercial building to construct a new meeting room.,2016-04-25T00:00:00.000Z,2016-04-25T00:00:00.000Z,2016-06-14T00:00:00.000Z,Closed,135 HUNTER E,NULL,HAMILTON,ON,NULL,Offices,Alteration
67,16-108465-00-C3,Alterations to the exterior of the one storey offices building to install new panel system to cover the existing windows and wall (including the exposed basement wall) on the West front elevation.,2016-04-05T00:00:00.000Z,2016-08-29T00:00:00.000Z,,Issued,414 VICTORIA N,NULL,HAMILTON,ON,NULL,Offices,Alteration
68,16-111792-00-C3,Alterations to exterior of City Hall to repair and waterproof pedestrian concrete pathway.,2016-05-06T00:00:00.000Z,2016-06-07T00:00:00.000Z,,Issued,71 MAIN W,NULL,HAMILTON,ON,L8P 4Y5,Offices,Alteration
69,16-124634-00-C3,Alterations to Unit 419 of the existing 4-storey building to create 3 rooms within the office suite.,2016-08-18T00:00:00.000Z,2016-11-15T00:00:00.000Z,,Issued,1100 SOUTH SERVICE,A,STONEY CREEK,ON,NULL,Offices,Alteration
70,16-124441-00-C3,"Alterations to the existing 1-storey office building to expand utility room and create a new lunch room for ""COGECO CONNEXION"".",2016-08-16T00:00:00.000Z,2016-08-26T00:00:00.000Z,,Issued,695 LAWRENCE,NULL,HAMILTON,ON,NULL,Offices,Alteration
71,16-125037-00-C3,"Alterations to the sprinkler system of floors 21 to 23, ""HAMILTON HEALTH SCIENCES"" ",2016-08-23T00:00:00.000Z,2016-11-05T00:00:00.000Z,2016-12-15T00:00:00.000Z,Closed,100 KING W,NULL,HAMILTON,ON,L8P 1A1,Offices,Alteration
72,16-120343-00-C3,"Alterations to the existing commercial building, floors 21, 22 and 23 for the interior fit-out to create offices ""HAMILTON HEALTH SCIENCES"". ",2016-07-29T00:00:00.000Z,2016-09-23T00:00:00.000Z,2016-12-22T00:00:00.000Z,Closed,100 KING W,NULL,HAMILTON,ON,L8P 1A1,Offices,Alteration
73,16-118337-00-C3,"Alterations to the lower level of the 8-storey commercial building for ""LIFELABS MEDICAL LABORATORY SERVICES"".",2016-07-11T00:00:00.000Z,2016-08-25T00:00:00.000Z,,Issued,25 CHARLTON E,NULL,HAMILTON,ON,NULL,Offices,Alteration
74,16-119175-00-C3,Alterations to the sprinkler system in Unit 403.,2016-07-19T00:00:00.000Z,2016-08-17T00:00:00.000Z,2016-08-31T00:00:00.000Z,Closed,55 HEAD,NULL,DUNDAS,NULL,NULL,Offices,Alteration
75,16-119179-00-C3,Alterations to the sprinkler system in Units 1 and 2 (Units 101 and 102).,2016-07-19T00:00:00.000Z,2016-08-17T00:00:00.000Z,2016-08-31T00:00:00.000Z,Closed,55 HEAD,NULL,DUNDAS,NULL,NULL,Offices,Alteration
76,16-123617-00-C3,Alterations to existing Unit 101 for a doctor's office and associated pharmacy.,2016-08-02T00:00:00.000Z,2016-12-01T00:00:00.000Z,,Issued,1120 BARTON E,NULL,HAMILTON,ON,NULL,Offices,Alteration
77,16-118520-00-C3,Alterations to the shell building on the second and third floor for the interior fit-out of the office.,2016-07-12T00:00:00.000Z,2016-09-02T00:00:00.000Z,,Issued,825 NORTH SERVICE,NULL,STONEY CREEK,ON,NULL,Offices,Alteration
78,16-123782-00-C3,"Alterations to unit 305 of the 3-storey commercial building to create medical office ""DR. JENEY"".",2016-08-10T00:00:00.000Z,2016-09-27T00:00:00.000Z,,Issued,1550 UPPER JAMES,NULL,HAMILTON,ON,L9B 1K3,Offices,Alteration
81,16-126311-00-C3,Alterations to the first floor of the 2-storey commercial building to renovate “INVESTORS GROUP”.,2016-09-02T00:00:00.000Z,2016-09-22T00:00:00.000Z,2016-12-15T00:00:00.000Z,Closed,469 WILSON E,NULL,ANCASTER,NULL,NULL,Offices,Alteration
79,16-125555-00-C3,Alterations to the interior of the offices Unit 203.,2016-08-26T00:00:00.000Z,2016-09-21T00:00:00.000Z,2016-10-28T00:00:00.000Z,Closed,659 UPPER JAMES,E,HAMILTON,ON,NULL,Offices,Alteration
80,16-126199-00-C3,"Alterations to Unit 11 of the 2-storey commercial building to create a new law office ""FULLER LANDAU LLP"".",2016-08-31T00:00:00.000Z,2016-09-29T00:00:00.000Z,2017-01-06T00:00:00.000Z,Closed,45 GODERICH,NULL,HAMILTON,ON,NULL,Offices,Alteration
82,16-124931-00-C3,Alterations to the interior Suite 1 of the existing 1-storey commercial building for a tenant fit-up of an office suite. ,2016-08-22T00:00:00.000Z,2016-10-31T00:00:00.000Z,,Issued,310 LIMERIDGE W,NULL,HAMILTON,ON,NULL,Offices,Alteration
83,16-116267-00-C3,"Alterations to Unit 6A for a dental office, ""DR. NIHAD RASHID"".",2016-06-21T00:00:00.000Z,2016-07-19T00:00:00.000Z,2016-10-19T00:00:00.000Z,Closed,49 KING E,NULL,DUNDAS,NULL,L9H 1B7,Offices,Alteration
84,16-113261-00-C3,Alterations to the 1-storey office building to replace exterior cladding and windows and to install a new roof hatch.,2016-05-19T00:00:00.000Z,2016-06-20T00:00:00.000Z,2017-01-23T00:00:00.000Z,Closed,370 KENORA,NULL,HAMILTON,ON,NULL,Offices,Alteration
85,16-113277-00-C3,Alterations to the interior 59 m2 of Unit C of the commercial building to accommodate for a denture office.,2016-05-19T00:00:00.000Z,2016-06-23T00:00:00.000Z,,Issued,314 QUEENSTON,F,HAMILTON,ON,L8K 1H5,Offices,Alteration
86,16-112883-00-C3,Alterations to the exterior for brick repairs and to install new EIFS cladding.,2016-05-16T00:00:00.000Z,2016-08-04T00:00:00.000Z,2017-01-25T00:00:00.000Z,Closed,467 BEACH,NULL,HAMILTON,ON,NULL,Offices,Alteration
87,15-106030-01-C3,PERMIT REVISED to alter the interior layout of the medical offices and pharmacy.  Alterations to the existing 2-storey commercial building to create medical offices and a pharmacy.,2016-05-12T00:00:00.000Z,2016-06-10T00:00:00.000Z,2017-01-20T00:00:00.000Z,Closed,847 BARTON E,NULL,HAMILTON,ON,NULL,Offices,Alteration
88,16-116033-00-C3,Alterations to the interior of the existing building to add glass panels to existing openings at the top of an interior wall located on the ground floor (Finance Dept.).,2016-06-16T00:00:00.000Z,2016-07-23T00:00:00.000Z,2016-11-02T00:00:00.000Z,Closed,71 MAIN W,NULL,HAMILTON,ON,L8P 4Y5,Offices,Alteration
89,16-107056-01-C3,"PERMIT REVISED for adding a ceiling tile system and dropping four (4) sprinkler heads. Alterations to vacant unit (previously known as Suite 108A) to subdivide into two suites: Suite 106A and Suite 107A.  Alterations include the interior fit-out of Unit 107A for an office, ""DR. OHBI"".",2016-05-16T00:00:00.000Z,2016-05-18T00:00:00.000Z,2016-06-20T00:00:00.000Z,Closed,175 LONGWOOD S,NULL,HAMILTON,ON,L8S 1S4,Offices,Alteration
90,16-112327-00-C3,"HILLFIELD STRATHALLAN COLLEGE: To install 36, 1.6 m2 solar collectors on the roof of the transportation office building.",2016-05-11T00:00:00.000Z,2016-05-30T00:00:00.000Z,2016-06-14T00:00:00.000Z,Closed,299 FENNELL W,NULL,HAMILTON,ON,NULL,Offices,Alteration
91,16-114470-00-C3,"Alterations to the existing building for the interior fit-out of Unit 403 for an office, ""DF/NET SOFTWARE ULC"". ",2016-05-31T00:00:00.000Z,2016-06-24T00:00:00.000Z,2016-08-31T00:00:00.000Z,Closed,55 HEAD,NULL,DUNDAS,NULL,NULL,Offices,Alteration
92,16-109036-01-C3,"PERMIT REVISED to correct permit description to: Alterations to Unit 204 of the 2-storey commercial building for ""LIFELABS"". Alterations to the ground floor of the 1-storey commercial building for ""LIFELABS"".",2016-05-27T00:00:00.000Z,2016-05-27T00:00:00.000Z,2016-12-08T00:00:00.000Z,Closed,60 HATT,NULL,DUNDAS,ON,NULL,Offices,Alteration
93,16-116292-00-C3,Alterations to the interior of the office building to replace perimeter electric heating.,2016-06-21T00:00:00.000Z,2016-08-24T00:00:00.000Z,,Issued,163 CENTENNIAL N,NULL,HAMILTON,ON,NULL,Offices,Alteration
94,16-108323-01-C3,PERMIT REVISED Install new loading dock with lift table and replace section of the floor slab within the loading bay area as per plan approved. Original permit : Alterations to the existing commercial building as per plan approved. To move the loading dock door and connect new trench drains to existing. To construct a new wall partition between the loading dock and distribution area and  To add a new hydraulic lift table at the loading dock.,2016-05-27T00:00:00.000Z,2016-06-27T00:00:00.000Z,2016-08-30T00:00:00.000Z,Closed,44 FRID,NULL,HAMILTON,ON,L8P 4M4,Offices,Alteration
95,16-111987-00-C3,"Alterations to Unit 204 of the 2-storey commercial building to create ""Office"".",2016-05-09T00:00:00.000Z,2016-07-20T00:00:00.000Z,,Occupancy,2668 BINBROOK,NULL,GLANBROOK,ON,NULL,Offices,Alteration
99,16-118782-00-C3,Alterations to the 21st to 24th floor of the existing office building for washroom upgrades and new rated corridor (landlord work only).,2016-07-14T00:00:00.000Z,2016-08-23T00:00:00.000Z,,Issued,100 KING W,NULL,HAMILTON,ON,L8P 1A1,Offices,Alteration
