,FACILITY,Address,TOWN,COUNTY,TYPE,the_geom,LONGITUDE,LATITUDE
15,Hants Community Hospital,89 Payzant Drive,Windsor,Hants,Community,POINT (-64.12037375298009 44.98638355369311),-64.12037375298009,44.98638355369311
16,Queens General Hospital,175 School Street,Liverpool,Queens,Community,POINT (-64.70559426892093 44.03765341536023),-64.70559426892093,44.03765341536023
17,Soldiers Memorial Hospital,462 Main Street,Middleton,Annapolis,Community,POINT (-65.05933935701924 44.94673391509305),-65.05933935701924,44.94673391509305
18,Roseway Hospital,1606 Lake Road,Sandy Point,Shelburne,Community,POINT (-65.30953110510069 43.74999033372275),-65.30953110510069,43.74999033372275
19,Western Kings Memorial Health Centre,121 Orchard Street,Berwick,Kings,Community Health Centre,POINT (-64.73657929405101 45.0366967359491),-64.73657929405101,45.0366967359491
20,Guysborough Memorial Hospital,10560 Route 16,Guysborough,Guysborough,Community,POINT (-61.5071355034544 45.40234081804432),-61.5071355034544,45.40234081804432
21,Yarmouth Regional Hospital,60 Vancouver Street,Yarmouth,Yarmouth,Regional,POINT (-66.12156874783281 43.850524495228235),-66.12156874783281,43.850524495228235
22,Annapolis Community Health Centre,821 St. George Street,Annapolis Royal,Annapolis,Community Health Centre,POINT (-65.50180436685771 44.73657466491257),-65.50180436685771,44.73657466491257
23,Valley Regional Hospital,150 Exhibition Street,Kentville,Kings,Regional,POINT (-64.500889798259 45.08266472523682),-64.500889798259,45.08266472523682
24,North Cumberland Memorial Hospital,260 Gulf Shore Road,Pugwash,Cumberland,Community,POINT (-63.658904768367535 45.85615154386532),-63.658904768367535,45.85615154386532
25,Cumberland Regional Health Care Centre,19428 Highway 2,Upper Nappan,Cumberland,Regional,POINT (-64.19769949378933 45.803440001139904),-64.19769949378933,45.803440001139904
26,Cobequid Community Health Centre,40 Freer Lane,Sackville,Halifax,Community Health Centre,POINT (-63.6586009337315 44.756916674813866),-63.6586009337315,44.756916674813866
27,Integrated Chronic Care Service,3064 Highway 2,Fall River,Halifax,Environmental Health,POINT (-63.60599522342205 44.81001215566181),-63.60599522342205,44.81001215566181
28,Fishermen's Memorial Hospital,14 High Street,Lunenburg,Lunenburg,Community,POINT (-64.32695243762808 44.3822758294343),-64.32695243762808,44.3822758294343
29,South Shore Regional Hospital,90 Glen Allan Drive,Bridgewater,Lunenburg,Regional,POINT (-64.51077334456812 44.38313653214071),-64.51077334456812,44.38313653214071
30,South Cumberland Community Care Centre,50 Jenks Avenue,Parrsboro,Cumberland,Community,POINT (-64.32593916226105 45.409087171378324),-64.32593916226105,45.409087171378324
31,Lillian Fraser Memorial Hospital,110 Blair Avenue,Tatamagouche,Colchester,Community,POINT (-63.29635970402658 45.71153621241759),-63.29635970402658,45.71153621241759
32,Twin Oaks Memorial Hospital,7704 Highway 7,Musquodoboit Harbour,Halifax,Community,POINT (-63.158333445666635 44.78303534971087),-63.158333445666635,44.78303534971087
33,Bayview Memorial Health Centre,3375 Highway 209,Advocate Harbour,Cumberland,Community Health Centre,POINT (-64.79483503032003 45.34621190232823),-64.79483503032003,45.34621190232823
34,All Saints Springhill Hospital,10 Princess Street,Springhill,Cumberland,Community,POINT (-64.05159762320923 45.650499307025406),-64.05159762320923,45.650499307025406
35,Digby General Hospital,75 Warwick Street,Digby,Digby,Community,POINT (-65.76166737432966 44.616533787903755),-65.76166737432966,44.616533787903755
36,IWK Health Centre,5850/5980 University Avenue,Halifax,Halifax,Tertiary,POINT (-63.582908847707046 44.63765107239818),-63.582908847707046,44.63765107239818
37,East Coast Forensic Hospital,88 Gloria McCluskey Avenue,Dartmouth,Halifax,Rehabilitation,POINT (-63.59190651331347 44.721318006872465),-63.59190651331347,44.721318006872465
38,QEII - Victoria General (VG) Site,1278 South Park Street,Halifax,Halifax,Tertiary,POINT (-63.580402405169465 44.63840489234355),-63.580402405169465,44.63840489234355
39,The Nova Scotia Hospital,300 Pleasant Street,Dartmouth,Halifax,Tertiary,POINT (-63.54888485020512 44.652052389368194),-63.54888485020512,44.652052389368194
40,Eastern Shore Memorial Hospital,22637 Highway 7,Sheet Harbour,Halifax,Community,POINT (-62.53286404867581 44.920663210921994),-62.53286404867581,44.920663210921994
41,Musquodoboit Valley Memorial Hospital,492 Archibald Brook Road,Middle Musquodoboit,Halifax,Community,POINT (-63.14037764272095 45.04028911493914),-63.14037764272095,45.04028911493914
42,QEII - Halifax Infirmary Site,1796 Summer Street,Halifax,Halifax,Tertiary,POINT (-63.58709674369862 44.64541455900125),-63.58709674369862,44.64541455900125
43,Nova Scotia Rehabilitation Centre,1341 Summer Street,Halifax,Halifax,Rehabilitation,POINT (-63.58183283938107 44.63970342623116),-63.58183283938107,44.63970342623116
44,Dartmouth General Hospital,325 Pleasant Street,Dartmouth,Halifax,Regional,POINT (-63.547621423330824 44.653987611022856),-63.547621423330824,44.653987611022856
45,Kings Regional Health & Regional Rehabilitation Centre,1349 County Home Road,Cambridge,Kings,Rehabilitation,POINT (-64.666451591963 45.05736471404286),-64.666451591963,45.05736471404286
46,Colchester East Hants Health Centre,600 Abenaki Road,Truro,Colchester,Regional,POINT (-63.303384805904166 45.34952312863823),-63.303384805904166,45.34952312863823
47,St. Anne's Community and Nursing,2313 Highway 206,Arichat,Richmond,Out Patient/ Nursing Home,POINT (-61.03191108211205 45.51104210652296),-61.03191108211205,45.51104210652296
