,FID,Name,Type,Manager,Address,Phone,geometry,LONGITUDE,LATITUDE
16,17,Pharmacie - Hopital Dr. Georges-L. Dumont,Institutional Pharmacy,Melanie Cote,"330 Avenue Uiversite, Moncton NB",(506) 862-4200,POINT (-64.78717110699995 46.09806568600004),-64.78717110699995,46.09806568600004
17,18,Pharmacy - The Moncton Hospital,Institutional Pharmacy,Natalie Branch,"135 Macbeath Avenue, Moncton NB",,POINT (-64.80564891399996 46.10480409300004),-64.80564891399996,46.10480409300004
18,19,Phoenix Center ,Community Pharmacy,,"353 High Street, Moncton NB",(506) 854-4673,POINT (-64.79338990499997 46.09592140900003),-64.79338990499997,46.09592140900003
19,20,Shoppers Drug Mart # 182,Community Pharmacy,Nicholas Steylen,"45 Vaughan Harvey Blvd. , Moncton NB",(506) 857-8702,POINT (-64.78850440499997 46.08256954100005),-64.78850440499997,46.08256954100005
20,21,Shoppers Drug Mart # 588,Community Pharmacy,Trevor Bourque,"350 St. George Street , Moncton NB",(506) 857-6330,POINT (-64.78678095399994 46.09007302600003),-64.78678095399994,46.09007302600003
21,22,Shoppers Drug Mart # 593,Community Pharmacy,Cynthia Jayne Gillam," 1633 Mountain Road, Moncton NB",(506) 858-0055,POINT (-64.83893521999994 46.11718911600008),-64.83893521999994,46.11718911600008
22,23,Shoppers Drug Mart # 184,Community Pharmacy,Nicholas Steylen," 860 Mountain Road PO Box 25066, Moncton NB",(506) 857-9700,POINT (-64.81132904699996 46.10038224000004),-64.81132904699996,46.10038224000004
23,24,Shoppers Drug Mart # 590 ,Community Pharmacy,Deirdre Kyle,"320 Elmwood Drive , Moncton NB",(506) 383-8303,POINT (-64.77442431199995 46.11326520300003),-64.77442431199995,46.11326520300003
24,25,Shoppers Drug Mart # 2011,Community Pharmacy,Timothy Dunn,"681 Mountain Road , Moncton NB",(506) 382-8615,POINT (-64.80298028399994 46.09980515000007),-64.80298028399994,46.09980515000007
25,26,Sobeys Elmwood #783,Community Pharmacy,Shannon MacKinnon,"77 Filles De Jesus Avenue , Moncton NB",(506) 855-6925,POINT (-64.76811036199996 46.12256770900007),-64.76811036199996,46.12256770900007
26,27,,Community Pharmacy, Cory Morris," 1380 Mountain Road, Moncton NB",(506) 854-7727,POINT (-64.83215768399998 46.10931613100007),-64.83215768399998,46.10931613100007
27,28,Sobeys Pharmacy ,Community Pharmacy,Kassandra Campbell,"55 Vaughan Harvey Boulevard, Moncton NB",(506) 855-0253,POINT (-64.78777176299997 46.08447248900006),-64.78777176299997,46.08447248900006
28,29,Staples Drugs,Community Pharmacy,John Staples,"321 St George Street , Moncton NB",(506) 857-4150,POINT (-64.78672895899996 46.09051306400005),-64.78672895899996,46.09051306400005
29,30,The Medicine Shoppe # 174 ,Community Pharmacy,Alida Rautenbach,"90 Mapleton Road , Moncton NB",(506) 869-5221,POINT (-64.82463108999997 46.10880907800004),-64.82463108999997,46.10880907800004
30,31,The Medicine Shoppe # 219,Community Pharmacy,Natasha King,"960 St. George Blvd , Moncton NB",(506) 852-8082,POINT (-64.82125805199996 46.08242686600005),-64.82125805199996,46.08242686600005
31,32,The Medicine Shoppe Pharmacy,Community Pharmacy,Tammy Davis-Gallant,"120 Shediac Road , Moncton NB",(506) 858-6161,POINT (-64.76212235899993 46.10301188200003),-64.76212235899993,46.10301188200003
32,33,Wal-Mart Pharmacy,Community Pharmacy,Nicole Lidstone,"25 Plaza Boulevard, Moncton NB",(506) 853-7664,POINT (-64.82911232599997 46.11405383600004),-64.82911232599997,46.11405383600004
33,34,Dieppe Guardian 556615,Community Pharmacy,Nicole Barkhouse,"185 Acadie Avenue, Dieppe NB",(506) 384-6343,POINT (-64.74228706499997 46.09181974300003),-64.74228706499997,46.09181974300003
34,35,Express Scripts Canada Pharmacy,Community Pharmacy,Alan Strashok," 1040 Champlain Street, Dieppe NB",(888) 204-4876,POINT (-64.70645980799998 46.10350840600006),-64.70645980799998,46.10350840600006
35,36,Familiprix Dieppe ,Community Pharmacy,Nicole Williams,"318 rue Amirault , Dieppe NB",506) 830-2555,POINT (-64.73264303799994 46.08482217200003),-64.73264303799994,46.08482217200003
36,37,Jean Coutu #337,Community Pharmacy,Erin Kierstead,"600 Blvd Dieppe , Dieppe NB",(506) 854-7474,POINT (-64.69980470799999 46.09759700600006),-64.69980470799999,46.09759700600006
37,38,Jean Coutu Pharmacy,Community Pharmacy,Dennis Abud,"123 Champlain Street , Dieppe NB",(506) 859-1990,POINT (-64.75268226799994 46.09490493600003),-64.75268226799994,46.09490493600003
38,39,Shoppers Drug Mart # 181,Community Pharmacy,Keith Bernard,"477 Paul Street , Dieppe NB",(506) 857-0820,POINT (-64.75952434799996 46.09634936900005),-64.75952434799996,46.09634936900005
39,40,Shoppers Drug Mart 2005,Community Pharmacy,Sylvie Després,"18 Champlain St , Dieppe NB",(506) 389-1680,POINT (-64.75858088099994 46.09276639400008),-64.75858088099994,46.09276639400008
40,41,Sobeys Pharmacy #602 ,Community Pharmacy,Yackoub Khalil,"477 Paul Street, Dieppe NB",(506) 857-8019,POINT (-64.76298207499997 46.09535671200007),-64.76298207499997,46.09535671200007
41,42,Wal-Mart Pharmacy,Community Pharmacy,Joshua Sharpe,"477 Paul Street, Dieppe NB",(506) 855-6011,POINT (-64.76086295699997 46.09725831600008),-64.76086295699997,46.09725831600008
42,43,Ford's Pharmacy/Jean Coutu Pharmacy,Community Pharmacy,David Wadden,"438 Coverdale Road, Dieppe NB",(506) 853-0825,POINT (-64.80175983399994 46.06386568300007),-64.80175983399994,46.06386568300007
43,44,Loblaw Pharmacy # 361,Community Pharmacy,Jenna MacLellan,"425 Coverdale Road, Dieppe NB",(506) 387-5085,POINT (-64.80117737799998 46.06512816900005),-64.80117737799998,46.06512816900005
44,45,Riverview Guardian Pharmacy,Community Pharmacy,Jonathan Walsh,"645 Pinewood Road, Dieppe NB",(506) 386-2111,POINT (-64.78998074199995 46.05206809500004),-64.78998074199995,46.05206809500004
45,46,Shoppers Drug Mart # 185,Community Pharmacy,Stephen Kelloway,"500 Coverdale Road, Dieppe NB",(506) 857-6380,POINT (-64.80644858099998 46.06272886900007),-64.80644858099998,46.06272886900007
46,47,Sobeys Pharmacy # 736,Community Pharmacy,Candice Langille,"1160 Findlay Boulevard, Dieppe NB",,POINT (-64.79456267299997 46.04932998000004),-64.79456267299997,46.04932998000004
