OBJECTID,DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,PRESC,PRIM,SEC,FORM_PRO,ADULTE,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,STYLE_CART,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+
38,20201019,19600,Cons. de l'Éduc. du Lac-Simon,Conseil de l'Éducation du Lac-Simon,"1013, ave Amikwiche",,89804,Lac-Simon,R,J0Y3M0,1,1,1,1,0,École gouvernementale,Gouvernemental,,-77.354355,48.059588,Préscolaire - Primaire - Secondaire - Formation professionnelle,1_Gouv,1,1,1,1,1
40,20201019,23600,École secondaire Uashkaikan,École secondaire Uashkaikan du conseil de bande de Betsiamites,"63, rue Messek ",,96802,Pessamit,R,G0H1B0,0,0,1,0,0,École gouvernementale,Gouvernemental,,-68.640776,48.943445,Secondaire,1_Gouv,0,0,1,1,0
53,20201019,26600,École Uauitshitun Natashquan,École Uauitshitun de Natashquan,132 rue Tettaut,,98806,Nutashkuan,R,G0G2E0,1,1,1,0,0,École gouvernementale,Gouvernemental,,-61.803333,50.135586,Préscolaire - Primaire - Secondaire,1_Gouv,1,1,1,1,0
57,20201019,27600,École primaire Johnny Pilot,École primaire Johnny Pilot du conseil des Montagnais de Sept-Iles et Maliotenam,"100, Pashin C.P. 8000",,97802,Uashat,R,G4R5V2,1,1,0,0,0,École gouvernementale,Gouvernemental,,-66.397243,50.223665,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
58,20201019,28600,Kanatamat Tshitipenitamunu,Kanatamat Tshitipenitamunu,"224, rue Lorraine C.P. 1000",,97808,Matimekosh,R,G0G2T0,1,1,1,1,0,École gouvernementale,Gouvernemental,,-66.814273,54.800687,Préscolaire - Primaire - Secondaire - Formation professionnelle,1_Gouv,1,1,1,1,1
62,20201019,29600,École secondaire Manikanetish,École secondaire Manikanetish du conseil des Montagnais de Sept-Îles et Maliotenam,"1, rue Ukuiass C.P. 8000",,97802,Uashat,R,G4R4K1,0,0,1,1,0,École gouvernementale,Gouvernemental,http://www.ecolemanikanetish.com,-66.404776,50.220238,Secondaire - Formation professionnelle,1_Gouv,0,0,1,1,1
68,20201019,30600,Jimmy Sandy Memorial School,Jimmy Sandy Memorial School,C.P. 5152,,97806,Kawawachikamach,TK,G0G2Z0,1,1,1,0,0,École gouvernementale,Gouvernemental,,-66.76057,54.862952,Préscolaire - Primaire - Secondaire,1_Gouv,1,1,1,1,0
69,20201019,31600,École Olamen,École Olamen du Conseil des Montagnais (La Romaine),"1, rue Principale",C.P. 222,98804,La Romaine,R,G0G1M0,1,1,1,0,0,École gouvernementale,Gouvernemental,,-60.67581,50.218032,Préscolaire - Primaire - Secondaire,1_Gouv,1,1,1,1,0
73,20201019,32600,École Pakuaushipu,École Pakua Shipi,C. P. 68,,98012,Saint-Augustin,M,G0G2R0,1,1,1,0,0,École gouvernementale,Gouvernemental,,-58.671687,51.224324,Préscolaire - Primaire - Secondaire,1_Gouv,1,1,1,1,0
78,20201019,34600,Inst. tourisme hôt. du Québec,Institut de tourisme et d'hôtellerie du Québec,3535 rue Saint-Denis,,66023,Montréal,V,H2X3P1,0,0,0,1,0,École gouvernementale,Gouvernemental,,-73.568679,45.51798,Formation professionnelle,1_Gouv,0,0,0,0,1
82,20201019,36600,Kateri School,Kateri School,C.P. 1000,,67802,Kahnawake,R,J0L1B0,1,1,0,0,0,École gouvernementale,Gouvernemental,,-73.678769,45.41456,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
85,20201019,37600,Kahnawake Survival School,Kahnawake Survival School,Nation Mohawk C.P. 1978,,67802,Kahnawake,R,J0L1B0,0,0,1,0,0,École gouvernementale,Gouvernemental,,-73.613722,45.397137,Secondaire,1_Gouv,0,0,1,1,0
86,20201019,38600,École Teueikan,École Teueikan,29 rue Tshiash Innuat,,98808,Mingan,R,G0G1V0,1,1,1,0,0,École gouvernementale,Gouvernemental,,-64.03127,50.291708,Préscolaire - Primaire - Secondaire,1_Gouv,1,1,1,1,0
87,20201019,39600,Karonhianonha School,Karonhianonha School, C.P. 100,,67802,Kahnawake,R,J0L1B0,0,1,0,0,0,École gouvernementale,Gouvernemental,,-73.686357,45.40714,Primaire,1_Gouv,0,1,0,0,0
88,20201019,40600,CDFM Huron-Wendat,Centre de développement de la formation et de la main-d'oeuvre Huron-Wendat,"100, rue de l'Ours",,23802,Wendake,R,G0A4V0,0,0,0,0,1,École gouvernementale,Gouvernemental,,-71.35423,46.866002,Éducation aux adultes,1_Gouv,0,0,0,0,0
92,20201019,41600,Ratihen:te High School,Ratihen:te High School,681A Ste-Philomène,,72802,Kanesatake,EI,J0N1E0,1,1,1,0,1,École gouvernementale,Gouvernemental,,-74.129978,45.483669,Préscolaire - Primaire - Secondaire - Éducation aux adultes,1_Gouv,1,1,1,1,0
93,20201019,42600,École Mikizicec,École Mikizicec,"15, Okonum Mikana",,89802,Kitcisakik,EI,J9P7C5,0,1,0,0,0,École gouvernementale,Gouvernemental,http://www.kitcisakik.ca,-77.458741,47.538799,Primaire,1_Gouv,0,1,0,0,0
94,20201019,43600,Centre régional d'éducation Kitci-Amik,Centre régional d'éducation des adultes Kitci-Amik,1030 boul. Cicip,,89804,Lac-Simon,R,J0Y3M0,0,0,0,0,1,École gouvernementale,Gouvernemental,http://www.cdrhpnq.qc.ca/index.html,-77.352735,48.058527,Éducation aux adultes,1_Gouv,0,0,0,0,0
99,20201019,44600,Centre rég. éducation adultes Kahnawake,Centre régional d'éducation pour adultes Kahnawake,"2, route River",,67802,Kahnawake,R,J0L1B0,0,0,0,0,1,École gouvernementale,Gouvernemental,,-73.620568,45.395115,Éducation aux adultes,1_Gouv,0,0,0,0,0
100,20201019,45600,Centre rég. d'éducation adultes Listuguj,Centre régional d'éducation pour adultes Listuguj,"2, Promenade Pacific",,6804,Listuguj,R,G0C2R0,0,0,0,0,1,École gouvernementale,Gouvernemental,,-66.703738,48.012985,Éducation aux adultes,1_Gouv,0,0,0,0,0
103,20201019,46600,CREA Uashat mak Mani-Utenam,Centre régional d'éducation des adultes de Uashat mak Mani-Utenam,"265, boul. des Montagnais",,97802,Uashat,R,G4R4L9,0,0,0,0,1,École gouvernementale,Gouvernemental,,-66.399294,50.225884,Éducation aux adultes,1_Gouv,0,0,0,0,0
104,20201019,47600,Rotiwennakéhte School,Rotiwennakéhte School,"407, rue Saint-Michel",,72802,Kanesatake,EI,J0N1E0,1,1,0,0,0,École gouvernementale,Gouvernemental,www.monecole-myschool.com/rotiwennakehte,-74.103899,45.465405,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
107,20201019,48600,Amo Ososwan School,Amo Ososwan School,117 Kakinwawigak Mikana,,85070,Laforce,M,J0Z2J0,1,1,0,0,0,École gouvernementale,Gouvernemental,,-78.564754,47.577644,Préscolaire - Primaire,1_Gouv,1,1,0,0,0
